* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control. Timing signal peak level -18.8 dBFS, measurement signal peak level -13.4 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Feb 12, 2026 9:02:14 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0866 ms (-30 mm, -1.17 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset Clock adjustment: 1.9 ppm
* Measurement: 7hz Zero2 Stock L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 98.712 178.7590
20.299999 98.755 179.4244
20.600000 98.864 179.4687
20.900000 98.946 178.8004
21.200001 98.933 177.6995
21.400000 98.862 176.9450
21.799999 98.606 175.8934
22.000000 98.455 175.7229
22.400000 98.201 176.0022
22.700001 98.092 176.3985
23.000000 98.043 176.6024
23.299999 98.016 176.4722
23.600000 97.978 176.0661
24.000000 97.893 175.3750
24.299999 97.822 174.8962
24.700001 97.753 174.3106
25.000000 97.727 173.8226
25.400000 97.707 173.0598
25.799999 97.689 172.2977
26.200001 97.700 171.6452
26.500000 97.752 171.1081
26.900000 97.870 169.9625
27.200001 97.946 168.6137
27.600000 97.931 166.3432
28.000000 97.712 164.2767
28.500000 97.230 163.5347
29.000000 96.884 165.4455
29.500000 96.975 167.7950
30.000000 97.260 168.0500
30.400000 97.349 166.9868
30.700001 97.284 166.1869
31.100000 97.104 165.8894
31.500000 96.985 166.5913
32.000000 97.087 167.5582
32.500000 97.319 167.0450
33.000000 97.410 165.2358
33.500000 97.300 163.5100
34.000000 97.133 162.7057
34.500000 97.047 162.5213
35.000000 97.033 162.3350
35.500000 97.025 162.1242
36.000000 97.037 162.1320
36.500000 97.125 162.1593
37.000000 97.261 161.7167
37.500000 97.346 160.7097
38.200001 97.273 159.2413
38.700001 97.136 158.7720
39.500000 96.943 158.8550
40.000000 96.851 158.9080
40.599998 96.707 158.8441
41.200001 96.513 159.0842
41.799999 96.365 159.8679
42.500000 96.374 160.5124
43.099998 96.434 159.8688
43.700001 96.378 158.4913
44.400002 96.188 157.3034
45.000000 96.087 156.7941
45.500000 96.074 156.1995
46.200001 96.059 154.8358
46.799999 96.020 153.4955
47.500000 95.956 151.6818
48.200001 95.747 149.8054
48.700001 95.485 149.3268
49.400002 95.207 150.5780
50.000000 95.248 152.0589
50.799999 95.426 152.2424
51.500000 95.424 151.8539
52.200001 95.410 152.0787
53.000000 95.470 151.9822
53.799999 95.422 151.4301
54.500000 95.336 151.4530
55.200001 95.324 151.5012
56.000000 95.299 150.9650
57.000000 95.179 150.4667
58.000000 95.142 150.0788
59.000000 95.052 149.0363
60.000000 94.876 148.7106
60.799999 94.812 148.8084
61.500000 94.765 148.6618
62.200001 94.682 148.6489
63.000000 94.616 149.0338
64.000000 94.617 149.2796
65.000000 94.588 149.2849
66.000000 94.577 149.2757
67.000000 94.537 148.7531
68.000000 94.408 148.3477
69.000000 94.280 148.4484
70.000000 94.199 148.6508
71.000000 94.143 148.7384
72.000000 94.095 148.6849
73.000000 94.035 148.5071
74.000000 93.957 148.3622
75.000000 93.887 148.3527
76.199997 93.829 148.2355
77.500000 93.739 147.9742
78.800003 93.638 147.9320
80.000000 93.548 147.9494
81.199997 93.471 148.1374
82.500000 93.427 148.1491
83.800003 93.362 147.8281
85.000000 93.268 147.5369
86.199997 93.175 147.4615
87.500000 93.098 147.4083
88.500000 93.032 147.3871
90.000000 92.936 147.5429
91.199997 92.869 147.7216
92.500000 92.814 147.8669
93.800003 92.751 147.7882
95.000000 92.667 147.8525
96.199997 92.607 148.0553
97.500000 92.547 148.1279
98.800003 92.468 148.2262
100.000000 92.401 148.3608
101.500000 92.332 148.3455
103.000000 92.261 148.1231
104.400002 92.186 148.0058
106.000000 92.123 148.2093
107.500000 92.080 148.4388
109.000000 92.014 148.5609
110.599998 91.908 148.4522
112.000000 91.798 148.2806
113.800003 91.690 148.3884
115.000000 91.668 148.7828
117.199997 91.675 150.2044
118.000000 91.695 151.0388
120.599998 91.825 151.4432
122.000000 91.614 150.4943
124.099998 91.279 150.1151
125.000000 91.199 149.9846
126.500000 91.115 149.7757
128.000000 91.060 149.8361
131.500000 90.952 150.2607
132.000000 90.929 150.2380
134.000000 90.823 149.9262
136.000000 90.692 149.7577
138.000000 90.591 150.2635
140.000000 90.547 151.1855
143.000000 90.603 151.5322
145.000000 90.629 151.3604
147.500000 90.803 151.1772
150.000000 90.728 149.6736
152.500000 90.362 150.7730
155.000000 90.097 152.4892
157.500000 89.933 153.8314
160.000000 89.795 153.8512
162.500000 89.680 153.2796
165.000000 89.608 153.2506
167.500000 89.672 154.6712
170.000000 89.782 155.6001
172.500000 89.683 155.4255
175.000000 89.511 155.7502
177.500000 89.401 156.4190
180.000000 89.281 157.0584
182.500000 89.142 157.6343
185.000000 89.036 158.1614
187.500000 88.941 159.0175
190.000000 88.845 160.3093
192.500000 88.813 161.3569
195.000000 88.877 161.8257
197.500000 89.047 162.3865
200.000000 89.267 162.8550
203.000000 89.374 163.0143
206.000000 89.348 163.0500
209.000000 89.317 162.7206
212.000000 89.285 162.4591
214.000000 89.252 162.4832
218.000000 89.150 162.6586
220.000000 89.094 162.6957
224.000000 89.000 162.9511
227.000000 88.941 163.1297
230.000000 88.874 163.2495
233.000000 88.809 163.4355
236.000000 88.753 163.6903
240.000000 88.687 164.0681
243.000000 88.640 164.3874
247.000000 88.581 164.7292
250.000000 88.534 164.9846
254.000000 88.480 165.6526
258.000000 88.442 166.2294
262.000000 88.384 166.5058
265.000000 88.327 166.7542
269.000000 88.263 167.3936
272.000000 88.240 167.8252
276.000000 88.214 168.3046
280.000000 88.174 168.8114
285.000000 88.109 169.2382
290.000000 88.073 169.6754
295.000000 88.044 170.2162
300.000000 88.003 170.5436
304.000000 87.959 171.0085
307.000000 87.925 171.4694
311.000000 87.899 171.9893
315.000000 87.883 172.4362
320.000000 87.842 172.8443
325.000000 87.790 173.3430
330.000000 87.752 173.9559
335.000000 87.726 174.5127
340.000000 87.701 175.0286
345.000000 87.679 175.4815
350.000000 87.658 175.8725
355.000000 87.641 176.2729
360.000000 87.622 176.7617
365.000000 87.593 177.3538
370.000000 87.563 177.8754
375.000000 87.537 178.3206
382.000000 87.511 178.9284
387.000000 87.493 179.3233
395.000000 87.456 -179.9107
400.000000 87.428 -179.4688
406.000000 87.397 -179.0192
412.000000 87.377 -178.5261
418.000000 87.360 -177.9994
425.000000 87.328 -177.3601
431.000000 87.300 -176.8573
437.000000 87.286 -176.3550
444.000000 87.268 -175.7131
450.000000 87.247 -175.1813
455.000000 87.231 -174.7373
462.000000 87.210 -174.0676
468.000000 87.190 -173.5396
475.000000 87.174 -172.9871
482.000000 87.169 -172.4294
487.000000 87.162 -172.0237
494.000000 87.145 -171.4278
500.000000 87.134 -170.9272
508.000000 87.116 -170.3071
515.000000 87.098 -169.7827
522.000000 87.084 -169.1753
530.000000 87.065 -168.5446
538.000000 87.034 -167.8855
545.000000 87.012 -167.2459
552.000000 86.999 -166.6399
560.000000 86.996 -166.0647
570.000000 86.987 -165.2086
580.000000 86.966 -164.3359
590.000000 86.951 -163.4855
600.000000 86.934 -162.6695
608.000000 86.923 -162.0348
615.000000 86.915 -161.5054
622.000000 86.909 -160.9018
630.000000 86.906 -160.1641
640.000000 86.907 -159.2949
650.000000 86.902 -158.4294
660.000000 86.906 -157.6028
670.000000 86.913 -156.8427
680.000000 86.915 -156.0138
690.000000 86.915 -155.1167
700.000000 86.913 -154.3034
710.000000 86.911 -153.4712
720.000000 86.920 -152.6199
730.000000 86.934 -151.7241
740.000000 86.949 -150.8251
750.000000 86.964 -149.9801
762.000000 86.981 -149.0046
775.000000 86.999 -147.9551
788.000000 87.024 -146.8500
800.000000 87.057 -145.7861
812.000000 87.093 -144.7090
825.000000 87.132 -143.5587
838.000000 87.171 -142.4385
850.000000 87.215 -141.4307
862.000000 87.262 -140.4803
875.000000 87.313 -139.4644
885.000000 87.356 -138.6145
900.000000 87.423 -137.3637
912.000000 87.480 -136.4291
925.000000 87.546 -135.4404
938.000000 87.613 -134.4543
950.000000 87.680 -133.5949
962.000000 87.753 -132.7521
975.000000 87.827 -131.8243
988.000000 87.897 -130.9474
1000.000000 87.967 -130.1599
1015.000000 88.053 -129.1977
1030.000000 88.143 -128.2571
1044.000000 88.232 -127.4437
1060.000000 88.331 -126.5756
1075.000000 88.427 -125.7866
1090.000000 88.525 -124.9913
1106.000000 88.625 -124.1694
1120.000000 88.711 -123.4953
1138.000000 88.816 -122.6990
1150.000000 88.886 -122.2080
1172.000000 89.018 -121.3286
1180.000000 89.067 -121.0264
1206.000000 89.224 -120.0533
1220.000000 89.304 -119.5471
1241.000000 89.432 -118.8208
1250.000000 89.492 -118.5310
1265.000000 89.595 -118.0587
1280.000000 89.692 -117.5660
1315.000000 89.874 -116.4700
1320.000000 89.898 -116.3197
1340.000000 89.993 -115.7260
1360.000000 90.093 -115.1122
1380.000000 90.195 -114.4807
1400.000000 90.296 -113.9019
1430.000000 90.440 -113.0798
1450.000000 90.533 -112.5338
1475.000000 90.654 -111.8420
1500.000000 90.773 -111.1062
1525.000000 90.886 -110.3776
1550.000000 90.993 -109.6768
1575.000000 91.098 -108.9749
1600.000000 91.207 -108.2823
1625.000000 91.309 -107.6247
1650.000000 91.406 -106.9859
1675.000000 91.505 -106.3289
1700.000000 91.607 -105.6771
1725.000000 91.709 -105.0423
1750.000000 91.811 -104.4408
1775.000000 91.913 -103.8509
1800.000000 92.011 -103.2586
1825.000000 92.110 -102.6941
1850.000000 92.213 -102.1397
1875.000000 92.315 -101.5833
1900.000000 92.417 -101.0471
1925.000000 92.522 -100.5239
1950.000000 92.626 -100.0214
1975.000000 92.728 -99.5495
2000.000000 92.829 -99.1046
2030.000000 92.952 -98.5874
2060.000000 93.077 -98.0891
2090.000000 93.199 -97.6090
2120.000000 93.318 -97.1416
2140.000000 93.397 -96.8415
2180.000000 93.555 -96.3214
2200.000000 93.633 -96.0939
2240.000000 93.786 -95.6857
2270.000000 93.898 -95.4025
2300.000000 94.005 -95.1234
2330.000000 94.106 -94.8590
2360.000000 94.206 -94.6201
2400.000000 94.335 -94.3578
2430.000000 94.429 -94.1784
2470.000000 94.550 -93.9603
2500.000000 94.636 -93.8221
2540.000000 94.744 -93.6670
2580.000000 94.843 -93.5232
2620.000000 94.936 -93.4069
2650.000000 95.001 -93.3394
2690.000000 95.082 -93.2733
2720.000000 95.138 -93.2195
2760.000000 95.205 -93.1555
2800.000000 95.263 -93.1135
2850.000000 95.325 -93.0489
2900.000000 95.374 -92.9850
2950.000000 95.414 -92.9410
3000.000000 95.443 -92.8637
3040.000000 95.458 -92.7985
3070.000000 95.464 -92.7562
3110.000000 95.462 -92.6710
3150.000000 95.449 -92.5608
3200.000000 95.420 -92.4207
3250.000000 95.376 -92.2548
3300.000000 95.313 -92.0548
3350.000000 95.238 -91.8103
3400.000000 95.165 -91.5324
3450.000000 95.096 -91.2215
3500.000000 95.028 -90.8530
3550.000000 94.955 -90.4208
3600.000000 94.874 -89.9525
3650.000000 94.776 -89.4713
3700.000000 94.659 -88.9968
3750.000000 94.529 -88.5241
3820.000000 94.338 -87.8519
3870.000000 94.210 -87.3411
3950.000000 94.044 -86.4536
4000.000000 93.959 -85.8515
4060.000000 93.873 -85.0940
4120.000000 93.794 -84.2999
4180.000000 93.710 -83.4749
4250.000000 93.599 -82.4549
4310.000000 93.491 -81.5332
4370.000000 93.376 -80.6217
4440.000000 93.229 -79.5835
4500.000000 93.088 -78.6972
4550.000000 92.957 -77.9499
4620.000000 92.758 -76.8691
4680.000000 92.576 -75.8689
4750.000000 92.353 -74.5987
4820.000000 92.117 -73.2311
4870.000000 91.945 -72.1799
4940.000000 91.701 -70.5639
5000.000000 91.495 -69.0446
5080.000000 91.235 -66.8873
5150.000000 91.030 -64.8794
5220.000000 90.847 -62.8086
5300.000000 90.658 -60.3883
