* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control. Timing signal peak level -19.2 dBFS, measurement signal peak level -12.8 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Feb 12, 2026 9:03:30 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0959 ms (-33 mm, -1.29 in) using estimated IR delay relative to Acoustic reference played from  R with no timing offset Clock adjustment: 2.5 ppm
* Measurement: 7hz Zero2 Stock R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 98.443 -178.9934
20.299999 98.055 -179.2318
20.600000 97.801 -178.6139
20.900000 97.717 -177.7651
21.200001 97.768 -177.2573
21.400000 97.841 -177.2398
21.799999 97.992 -177.8865
22.000000 98.050 -178.4205
22.400000 98.125 -179.5836
22.700001 98.160 179.6104
23.000000 98.188 178.9007
23.299999 98.215 178.2776
23.600000 98.237 177.7389
24.000000 98.261 177.1724
24.299999 98.284 176.8494
24.700001 98.333 176.4263
25.000000 98.376 175.9846
25.400000 98.403 175.1381
25.799999 98.341 174.1873
26.200001 98.172 173.6283
26.500000 98.013 173.7750
26.900000 97.858 174.7975
27.200001 97.851 175.8673
27.600000 98.003 176.8693
28.000000 98.237 176.7008
28.500000 98.420 174.9083
29.000000 98.343 172.5883
29.500000 98.077 171.1566
30.000000 97.834 171.0327
30.400000 97.758 171.3414
30.700001 97.764 171.4203
31.100000 97.800 171.1056
31.500000 97.808 170.4083
32.000000 97.746 169.4485
32.500000 97.636 168.8013
33.000000 97.540 168.5524
33.500000 97.500 168.4505
34.000000 97.521 168.0123
34.500000 97.533 166.8025
35.000000 97.407 164.9468
35.500000 97.051 163.3958
36.000000 96.542 163.4927
36.500000 96.167 165.7132
37.000000 96.188 168.5161
37.500000 96.516 169.5912
38.200001 96.912 167.3528
38.700001 96.923 164.5164
39.500000 96.514 160.7872
40.000000 96.138 159.9958
40.599998 95.803 160.8746
41.200001 95.810 162.4147
41.799999 96.069 162.5553
42.500000 96.264 160.7463
43.099998 96.215 159.3121
43.700001 96.148 158.9509
44.400002 96.220 158.9084
45.000000 96.300 158.4117
45.500000 96.306 157.9859
46.200001 96.288 157.9781
46.799999 96.323 158.3082
47.500000 96.410 158.5617
48.200001 96.515 158.4892
48.700001 96.588 158.0308
49.400002 96.588 156.6596
50.000000 96.391 155.4615
50.799999 95.950 155.8292
51.500000 95.784 157.9387
52.200001 95.933 159.0664
53.000000 96.061 158.0211
53.799999 95.955 156.5432
54.500000 95.808 155.7518
55.200001 95.650 155.2979
56.000000 95.497 155.5568
57.000000 95.564 156.0826
58.000000 95.684 155.0507
59.000000 95.657 153.8100
60.000000 95.573 152.8548
60.799999 95.477 152.4661
61.500000 95.434 152.2849
62.200001 95.407 151.8132
63.000000 95.319 151.0930
64.000000 95.177 150.6686
65.000000 95.072 150.4209
66.000000 94.947 150.3685
67.000000 94.866 150.7507
68.000000 94.855 150.9950
69.000000 94.839 150.9185
70.000000 94.792 150.7653
71.000000 94.723 150.6376
72.000000 94.650 150.5820
73.000000 94.594 150.4352
74.000000 94.513 150.1077
75.000000 94.410 150.0064
76.199997 94.326 149.8907
77.500000 94.196 149.6747
78.800003 94.088 149.7909
80.000000 94.021 149.6850
81.199997 93.951 149.5311
82.500000 93.902 149.2938
83.800003 93.818 148.9027
85.000000 93.720 148.9094
86.199997 93.645 149.0786
87.500000 93.573 149.2068
88.500000 93.511 149.2137
90.000000 93.394 149.1479
91.199997 93.286 149.2021
92.500000 93.211 149.4130
93.800003 93.170 149.3220
95.000000 93.128 149.1953
96.199997 93.127 148.9966
97.500000 93.117 148.2500
98.800003 93.009 147.6597
100.000000 92.909 147.9344
101.500000 92.848 148.4211
103.000000 92.799 149.1964
104.400002 92.813 149.4183
106.000000 92.705 149.0476
107.500000 92.579 149.4982
109.000000 92.541 149.6371
110.599998 92.415 149.3443
112.000000 92.296 149.2835
113.800003 92.179 148.8162
115.000000 92.146 148.6567
117.199997 92.322 149.2379
118.000000 92.474 149.5992
120.599998 92.666 147.9140
122.000000 92.281 148.3331
124.099998 91.860 150.3226
125.000000 91.749 150.5767
126.500000 91.611 150.5540
128.000000 91.547 150.3407
131.500000 91.464 150.3430
132.000000 91.447 150.4127
134.000000 91.357 150.6220
136.000000 91.259 150.7433
138.000000 91.159 150.6242
140.000000 91.009 150.7538
143.000000 90.853 151.7360
145.000000 90.814 152.1242
147.500000 90.784 152.7302
150.000000 90.802 152.6282
152.500000 90.697 152.6683
155.000000 90.613 153.1792
157.500000 90.536 153.4258
160.000000 90.485 153.2536
162.500000 90.372 153.1169
165.000000 90.277 154.1566
167.500000 90.232 154.9377
170.000000 90.199 154.8250
172.500000 90.192 154.7767
175.000000 90.195 154.8015
177.500000 90.114 155.1296
180.000000 90.010 155.5561
182.500000 89.908 155.9976
185.000000 89.825 156.5392
187.500000 89.750 156.9638
190.000000 89.667 157.2552
192.500000 89.583 157.6060
195.000000 89.500 157.7886
197.500000 89.420 157.7505
200.000000 89.381 157.7637
203.000000 89.350 158.0989
206.000000 89.292 158.7673
209.000000 89.211 159.2470
212.000000 89.135 159.6597
214.000000 89.100 160.0043
218.000000 89.063 160.7164
220.000000 89.041 161.0594
224.000000 88.965 161.7236
227.000000 88.932 162.1652
230.000000 88.932 162.4600
233.000000 88.916 162.6469
236.000000 88.870 162.6858
240.000000 88.790 162.8177
243.000000 88.747 163.3072
247.000000 88.704 163.9030
250.000000 88.657 164.0884
254.000000 88.602 164.7031
258.000000 88.536 165.5618
262.000000 88.448 166.0546
265.000000 88.416 166.2622
269.000000 88.387 166.5396
272.000000 88.370 166.7865
276.000000 88.332 167.1425
280.000000 88.259 167.5867
285.000000 88.203 168.2168
290.000000 88.180 168.8165
295.000000 88.115 169.4322
300.000000 88.034 170.0948
304.000000 87.990 170.9299
307.000000 87.978 171.2911
311.000000 87.974 171.5976
315.000000 87.966 172.1082
320.000000 87.938 172.7456
325.000000 87.913 173.2802
330.000000 87.892 173.7324
335.000000 87.846 174.3343
340.000000 87.794 174.8107
345.000000 87.743 175.2068
350.000000 87.715 175.6757
355.000000 87.705 176.0942
360.000000 87.677 176.6201
365.000000 87.638 177.1614
370.000000 87.605 177.6858
375.000000 87.572 178.1707
382.000000 87.528 178.9327
387.000000 87.511 179.4525
395.000000 87.473 -179.7808
400.000000 87.450 -179.3303
406.000000 87.428 -178.8396
412.000000 87.402 -178.2458
418.000000 87.380 -177.5367
425.000000 87.358 -176.8243
431.000000 87.343 -176.3024
437.000000 87.323 -175.7630
444.000000 87.294 -175.1579
450.000000 87.277 -174.6041
455.000000 87.264 -174.1344
462.000000 87.239 -173.5249
468.000000 87.225 -172.9640
475.000000 87.213 -172.2668
482.000000 87.193 -171.6666
487.000000 87.178 -171.2425
494.000000 87.153 -170.5972
500.000000 87.136 -170.0763
508.000000 87.121 -169.4245
515.000000 87.112 -168.7706
522.000000 87.107 -168.1333
530.000000 87.094 -167.3867
538.000000 87.075 -166.6638
545.000000 87.063 -166.0779
552.000000 87.050 -165.4943
560.000000 87.031 -164.8028
570.000000 87.020 -163.9166
580.000000 87.018 -163.0025
590.000000 87.018 -162.1554
600.000000 87.010 -161.2806
608.000000 87.001 -160.5281
615.000000 86.993 -159.8544
622.000000 86.987 -159.2095
630.000000 86.986 -158.4902
640.000000 86.989 -157.6426
650.000000 86.995 -156.7974
660.000000 86.996 -155.8812
670.000000 86.995 -155.0178
680.000000 86.995 -154.1672
690.000000 86.998 -153.3271
700.000000 87.007 -152.4799
710.000000 87.021 -151.5736
720.000000 87.025 -150.6592
730.000000 87.045 -149.7799
740.000000 87.067 -148.9249
750.000000 87.086 -148.0326
762.000000 87.105 -146.9391
775.000000 87.136 -145.8113
788.000000 87.177 -144.6730
800.000000 87.210 -143.5714
812.000000 87.243 -142.4893
825.000000 87.286 -141.3300
838.000000 87.333 -140.2207
850.000000 87.385 -139.2002
862.000000 87.440 -138.1718
875.000000 87.493 -137.1154
885.000000 87.535 -136.3137
900.000000 87.615 -135.1313
912.000000 87.682 -134.1536
925.000000 87.752 -133.1242
938.000000 87.822 -132.1511
950.000000 87.890 -131.2581
962.000000 87.958 -130.3740
975.000000 88.035 -129.4614
988.000000 88.113 -128.5458
1000.000000 88.186 -127.7296
1015.000000 88.280 -126.7428
1030.000000 88.376 -125.7948
1044.000000 88.468 -124.9518
1060.000000 88.569 -124.0304
1075.000000 88.666 -123.2209
1090.000000 88.765 -122.4378
1106.000000 88.874 -121.6227
1120.000000 88.965 -120.9519
1138.000000 89.079 -120.1257
1150.000000 89.155 -119.5967
1172.000000 89.287 -118.6608
1180.000000 89.335 -118.3242
1206.000000 89.490 -117.3267
1220.000000 89.577 -116.8129
1241.000000 89.713 -116.0671
1250.000000 89.774 -115.7584
1265.000000 89.876 -115.2507
1280.000000 89.974 -114.7595
1315.000000 90.166 -113.6665
1320.000000 90.192 -113.5024
1340.000000 90.294 -112.8565
1360.000000 90.402 -112.2293
1380.000000 90.509 -111.6283
1400.000000 90.615 -111.0279
1430.000000 90.774 -110.1538
1450.000000 90.878 -109.5754
1475.000000 91.008 -108.8513
1500.000000 91.134 -108.1402
1525.000000 91.256 -107.4294
1550.000000 91.372 -106.7325
1575.000000 91.486 -106.0561
1600.000000 91.603 -105.3911
1625.000000 91.717 -104.7222
1650.000000 91.828 -104.0640
1675.000000 91.931 -103.4282
1700.000000 92.034 -102.8003
1725.000000 92.143 -102.1859
1750.000000 92.251 -101.6038
1775.000000 92.359 -101.0498
1800.000000 92.469 -100.4962
1825.000000 92.579 -99.9475
1850.000000 92.686 -99.4284
1875.000000 92.791 -98.9448
1900.000000 92.897 -98.4729
1925.000000 93.003 -97.9983
1950.000000 93.111 -97.5491
1975.000000 93.220 -97.1291
2000.000000 93.327 -96.7267
2030.000000 93.449 -96.2693
2060.000000 93.570 -95.8413
2090.000000 93.691 -95.4329
2120.000000 93.810 -95.0686
2140.000000 93.888 -94.8419
2180.000000 94.041 -94.4122
2200.000000 94.116 -94.2175
2240.000000 94.265 -93.8996
2270.000000 94.374 -93.6827
2300.000000 94.479 -93.4954
2330.000000 94.580 -93.3470
2360.000000 94.675 -93.2147
2400.000000 94.791 -93.0786
2430.000000 94.870 -93.0021
2470.000000 94.969 -92.8833
2500.000000 95.038 -92.8127
2540.000000 95.123 -92.7438
2580.000000 95.197 -92.6834
2620.000000 95.260 -92.6192
2650.000000 95.303 -92.5745
2690.000000 95.355 -92.5251
2720.000000 95.388 -92.4786
2760.000000 95.424 -92.4196
2800.000000 95.451 -92.3642
2850.000000 95.475 -92.2618
2900.000000 95.490 -92.1085
2950.000000 95.495 -91.9413
3000.000000 95.486 -91.7327
3040.000000 95.472 -91.5417
3070.000000 95.458 -91.3897
3110.000000 95.435 -91.1659
3150.000000 95.404 -90.9103
3200.000000 95.351 -90.5560
3250.000000 95.286 -90.1748
3300.000000 95.207 -89.7600
3350.000000 95.121 -89.2981
3400.000000 95.038 -88.8068
3450.000000 94.959 -88.2844
3500.000000 94.889 -87.7233
3550.000000 94.812 -87.1371
3600.000000 94.721 -86.5124
3650.000000 94.613 -85.8400
3700.000000 94.490 -85.1195
3750.000000 94.358 -84.3723
3820.000000 94.179 -83.3363
3870.000000 94.069 -82.6264
3950.000000 93.940 -81.4971
4000.000000 93.877 -80.7953
4060.000000 93.814 -79.9381
4120.000000 93.753 -79.0699
4180.000000 93.680 -78.1778
4250.000000 93.583 -77.1219
4310.000000 93.486 -76.1632
4370.000000 93.378 -75.1511
4440.000000 93.243 -73.9766
4500.000000 93.122 -72.9814
4550.000000 93.013 -72.1684
4620.000000 92.849 -71.0641
4680.000000 92.695 -70.1194
4750.000000 92.497 -68.9770
4820.000000 92.284 -67.7579
4870.000000 92.124 -66.8187
4940.000000 91.890 -65.4141
5000.000000 91.685 -64.1323
5080.000000 91.411 -62.2870
5150.000000 91.177 -60.5029
5220.000000 90.959 -58.5451
