* Measurement data measured by REW V5.31.3
* Source: Scarlett Solo USB, Scarlett Solo USB , L, volume: no control. Timing signal peak level -19.0 dBFS, measurement signal peak level -15.3 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Dec 31, 2025 9:48:48 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0362 ms (-12 mm, -0.49 in) using estimated IR delay relative to Acoustic reference played from Qudelix-5K R with no timing offset Clock adjustment: -33.2 ppm
* Measurement: 7hz x Crinacle Zero 2 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 100.884 -152.9523
20.299999 100.888 -153.8864
20.600000 100.890 -154.7995
20.900000 100.891 -155.6931
21.200001 100.891 -156.5687
21.400000 100.889 -157.1429
21.799999 100.885 -158.2696
22.000000 100.881 -158.8229
22.400000 100.873 -159.9119
22.700001 100.866 -160.7152
23.000000 100.857 -161.5083
23.299999 100.847 -162.2911
23.600000 100.835 -163.0629
24.000000 100.819 -164.0734
24.299999 100.805 -164.8169
24.700001 100.787 -165.7903
25.000000 100.774 -166.5081
25.400000 100.755 -167.4499
25.799999 100.736 -168.3735
26.200001 100.717 -169.2767
26.500000 100.701 -169.9393
26.900000 100.681 -170.8022
27.200001 100.665 -171.4338
27.600000 100.644 -172.2558
28.000000 100.623 -173.0556
28.500000 100.595 -174.0262
29.000000 100.566 -174.9660
29.500000 100.536 -175.8752
30.000000 100.503 -176.7531
30.400000 100.476 -177.4341
30.700001 100.455 -177.9340
31.100000 100.427 -178.5880
31.500000 100.398 -179.2295
32.000000 100.361 179.9850
32.500000 100.323 179.2177
33.000000 100.284 178.4686
33.500000 100.245 177.7375
34.000000 100.205 177.0247
34.500000 100.166 176.3305
35.000000 100.126 175.6552
35.500000 100.087 174.9982
36.000000 100.048 174.3598
36.500000 100.009 173.7401
37.000000 99.969 173.1386
37.500000 99.929 172.5552
38.200001 99.872 171.7679
38.700001 99.831 171.2254
39.500000 99.765 170.3880
40.000000 99.723 169.8821
40.599998 99.672 169.2913
41.200001 99.621 168.7160
41.799999 99.570 168.1543
42.500000 99.510 167.5150
43.099998 99.459 166.9816
43.700001 99.407 166.4633
44.400002 99.348 165.8786
45.000000 99.297 165.3938
45.500000 99.254 165.0004
46.200001 99.195 164.4660
46.799999 99.144 164.0233
47.500000 99.085 163.5237
48.200001 99.026 163.0411
48.700001 98.983 162.7063
49.400002 98.924 162.2503
50.000000 98.873 161.8705
50.799999 98.805 161.3792
51.500000 98.746 160.9626
52.200001 98.687 160.5579
53.000000 98.620 160.1093
53.799999 98.554 159.6765
54.500000 98.496 159.3110
55.200001 98.438 158.9570
56.000000 98.372 158.5653
57.000000 98.290 158.0938
58.000000 98.209 157.6400
59.000000 98.128 157.2026
60.000000 98.047 156.7843
60.799999 97.983 156.4633
61.500000 97.927 156.1907
62.200001 97.872 155.9260
63.000000 97.809 155.6328
64.000000 97.731 155.2790
65.000000 97.653 154.9404
66.000000 97.576 154.6157
67.000000 97.500 154.3039
68.000000 97.424 154.0070
69.000000 97.349 153.7239
70.000000 97.275 153.4522
71.000000 97.200 153.1919
72.000000 97.127 152.9428
73.000000 97.053 152.7043
74.000000 96.981 152.4750
75.000000 96.909 152.2545
76.199997 96.824 152.0021
77.500000 96.733 151.7450
78.800003 96.644 151.5045
80.000000 96.562 151.2957
81.199997 96.481 151.0976
82.500000 96.394 150.8939
83.800003 96.308 150.7026
85.000000 96.229 150.5372
86.199997 96.151 150.3816
87.500000 96.068 150.2226
88.500000 96.005 150.1064
90.000000 95.911 149.9422
91.199997 95.836 149.8209
92.500000 95.756 149.6996
93.800003 95.678 149.5889
95.000000 95.606 149.4944
96.199997 95.535 149.4059
97.500000 95.459 149.3159
98.800003 95.383 149.2332
100.000000 95.314 149.1653
101.500000 95.229 149.0906
103.000000 95.145 149.0241
104.400002 95.067 148.9704
106.000000 94.979 148.9186
107.500000 94.897 148.8779
109.000000 94.816 148.8442
110.599998 94.731 148.8171
112.000000 94.657 148.8015
113.800003 94.562 148.7929
115.000000 94.500 148.7939
117.199997 94.386 148.8089
118.000000 94.344 148.8188
120.599998 94.211 148.8707
122.000000 94.140 148.9088
124.099998 94.035 148.9895
125.000000 93.990 149.0349
126.500000 93.916 149.1237
128.000000 93.844 149.2285
131.500000 93.685 149.5323
132.000000 93.664 149.5799
134.000000 93.585 149.7677
136.000000 93.510 149.9321
138.000000 93.436 150.0641
140.000000 93.359 150.1774
143.000000 93.238 150.3595
145.000000 93.154 150.5126
147.500000 93.047 150.7487
150.000000 92.940 151.0414
152.500000 92.834 151.4053
155.000000 92.732 151.8590
157.500000 92.640 152.4165
160.000000 92.569 153.0689
162.500000 92.525 153.7723
165.000000 92.514 154.4393
167.500000 92.530 154.9621
170.000000 92.562 155.2602
172.500000 92.591 155.3240
175.000000 92.604 155.2142
177.500000 92.593 155.0187
180.000000 92.562 154.8107
182.500000 92.515 154.6357
185.000000 92.458 154.5125
187.500000 92.395 154.4413
190.000000 92.329 154.4159
192.500000 92.263 154.4311
195.000000 92.197 154.4821
197.500000 92.132 154.5610
200.000000 92.069 154.6609
203.000000 91.995 154.8016
206.000000 91.923 154.9584
209.000000 91.853 155.1285
212.000000 91.784 155.3129
214.000000 91.739 155.4431
218.000000 91.652 155.7181
220.000000 91.609 155.8628
224.000000 91.528 156.1646
227.000000 91.469 156.4016
230.000000 91.412 156.6478
233.000000 91.357 156.9009
236.000000 91.304 157.1588
240.000000 91.238 157.5094
243.000000 91.192 157.7755
247.000000 91.135 158.1216
250.000000 91.095 158.3676
254.000000 91.045 158.6768
258.000000 90.994 158.9667
262.000000 90.944 159.2409
265.000000 90.905 159.4430
269.000000 90.853 159.7167
272.000000 90.814 159.9269
276.000000 90.763 160.2134
280.000000 90.713 160.5066
285.000000 90.652 160.8818
290.000000 90.594 161.2614
295.000000 90.539 161.6426
300.000000 90.486 162.0222
304.000000 90.445 162.3265
307.000000 90.415 162.5550
311.000000 90.376 162.8573
315.000000 90.339 163.1566
320.000000 90.293 163.5297
325.000000 90.248 163.9045
330.000000 90.206 164.2825
335.000000 90.165 164.6649
340.000000 90.125 165.0518
345.000000 90.087 165.4433
350.000000 90.053 165.8394
355.000000 90.022 166.2375
360.000000 89.996 166.6266
365.000000 89.973 166.9928
370.000000 89.952 167.3298
375.000000 89.931 167.6411
382.000000 89.899 168.0573
387.000000 89.873 168.3530
395.000000 89.829 168.8337
400.000000 89.802 169.1404
406.000000 89.771 169.5125
412.000000 89.742 169.8894
418.000000 89.713 170.2679
425.000000 89.681 170.7079
431.000000 89.654 171.0844
437.000000 89.629 171.4571
444.000000 89.602 171.8928
450.000000 89.579 172.2676
455.000000 89.560 172.5790
462.000000 89.536 173.0110
468.000000 89.515 173.3749
475.000000 89.492 173.7961
482.000000 89.470 174.2155
487.000000 89.455 174.5129
494.000000 89.435 174.9247
500.000000 89.418 175.2729
508.000000 89.397 175.7349
515.000000 89.379 176.1377
522.000000 89.362 176.5378
530.000000 89.343 176.9894
538.000000 89.325 177.4377
545.000000 89.310 177.8271
552.000000 89.296 178.2125
560.000000 89.281 178.6528
570.000000 89.264 179.2010
580.000000 89.249 179.7493
590.000000 89.234 -179.7038
600.000000 89.222 -179.1537
608.000000 89.212 -178.7130
615.000000 89.205 -178.3288
622.000000 89.198 -177.9453
630.000000 89.191 -177.5081
640.000000 89.184 -176.9613
650.000000 89.180 -176.4102
660.000000 89.176 -175.8596
670.000000 89.173 -175.3127
680.000000 89.173 -174.7664
690.000000 89.175 -174.2195
700.000000 89.178 -173.6700
710.000000 89.183 -173.1179
720.000000 89.191 -172.5670
730.000000 89.200 -172.0189
740.000000 89.212 -171.4712
750.000000 89.225 -170.9227
762.000000 89.245 -170.2650
775.000000 89.269 -169.5561
788.000000 89.298 -168.8462
800.000000 89.328 -168.1908
812.000000 89.362 -167.5406
825.000000 89.403 -166.8466
838.000000 89.449 -166.1623
850.000000 89.494 -165.5416
862.000000 89.543 -164.9332
875.000000 89.600 -164.2879
885.000000 89.648 -163.8043
900.000000 89.723 -163.1008
912.000000 89.787 -162.5583
925.000000 89.858 -161.9931
938.000000 89.934 -161.4536
950.000000 90.006 -160.9754
962.000000 90.080 -160.5195
975.000000 90.163 -160.0522
988.000000 90.248 -159.6104
1000.000000 90.328 -159.2271
1015.000000 90.429 -158.7804
1030.000000 90.532 -158.3677
1044.000000 90.630 -158.0163
1060.000000 90.741 -157.6539
1075.000000 90.847 -157.3518
1090.000000 90.952 -157.0825
1106.000000 91.063 -156.8286
1120.000000 91.159 -156.6354
1138.000000 91.282 -156.4242
1150.000000 91.363 -156.3065
1172.000000 91.508 -156.1353
1180.000000 91.560 -156.0836
1206.000000 91.724 -155.9566
1220.000000 91.810 -155.9127
1241.000000 91.935 -155.8688
1250.000000 91.988 -155.8582
1265.000000 92.074 -155.8502
1280.000000 92.157 -155.8509
1315.000000 92.347 -155.8855
1320.000000 92.373 -155.8931
1340.000000 92.476 -155.9282
1360.000000 92.576 -155.9748
1380.000000 92.675 -156.0268
1400.000000 92.771 -156.0804
1430.000000 92.913 -156.1662
1450.000000 93.006 -156.2219
1475.000000 93.120 -156.2938
1500.000000 93.234 -156.3662
1525.000000 93.346 -156.4418
1550.000000 93.457 -156.5227
1575.000000 93.567 -156.6038
1600.000000 93.677 -156.6841
1625.000000 93.788 -156.7696
1650.000000 93.897 -156.8606
1675.000000 94.007 -156.9642
1700.000000 94.116 -157.0848
1725.000000 94.225 -157.2161
1750.000000 94.334 -157.3594
1775.000000 94.443 -157.5151
1800.000000 94.552 -157.6826
1825.000000 94.661 -157.8609
1850.000000 94.769 -158.0516
1875.000000 94.876 -158.2592
1900.000000 94.983 -158.4810
1925.000000 95.090 -158.7149
1950.000000 95.196 -158.9617
1975.000000 95.302 -159.2242
2000.000000 95.405 -159.5036
2030.000000 95.527 -159.8620
2060.000000 95.648 -160.2424
2090.000000 95.766 -160.6462
2120.000000 95.882 -161.0747
2140.000000 95.957 -161.3721
2180.000000 96.105 -161.9904
2200.000000 96.177 -162.3116
2240.000000 96.318 -162.9790
2270.000000 96.419 -163.5014
2300.000000 96.517 -164.0455
2330.000000 96.610 -164.6077
2360.000000 96.698 -165.1837
2400.000000 96.809 -165.9740
2430.000000 96.887 -166.5827
2470.000000 96.983 -167.4177
2500.000000 97.049 -168.0650
2540.000000 97.129 -168.9572
2580.000000 97.199 -169.8694
2620.000000 97.261 -170.7987
2650.000000 97.302 -171.5084
2690.000000 97.350 -172.4610
2720.000000 97.380 -173.1695
2760.000000 97.413 -174.1081
2800.000000 97.437 -175.0473
2850.000000 97.457 -176.2133
2900.000000 97.466 -177.3574
2950.000000 97.464 -178.4686
3000.000000 97.453 -179.5397
3040.000000 97.440 179.6295
3070.000000 97.427 179.0254
3110.000000 97.404 178.2397
3150.000000 97.377 177.4740
3200.000000 97.337 176.5512
3250.000000 97.292 175.6676
3300.000000 97.241 174.8221
3350.000000 97.187 174.0186
3400.000000 97.128 173.2558
3450.000000 97.065 172.5317
3500.000000 97.001 171.8454
3550.000000 96.935 171.2025
3600.000000 96.869 170.5989
3650.000000 96.804 170.0178
3700.000000 96.740 169.4428
3750.000000 96.679 168.8633
3820.000000 96.590 168.0361
3870.000000 96.523 167.4431
3950.000000 96.406 166.5215
4000.000000 96.328 165.9698
4060.000000 96.232 165.3343
4120.000000 96.134 164.7222
4180.000000 96.033 164.1209
4250.000000 95.910 163.4387
4310.000000 95.801 162.8764
4370.000000 95.690 162.3383
4440.000000 95.558 161.7163
4500.000000 95.441 161.1711
4550.000000 95.340 160.7085
4620.000000 95.188 160.0674
4680.000000 95.046 159.5416
4750.000000 94.869 158.9823
4820.000000 94.680 158.4929
4870.000000 94.541 158.1902
4940.000000 94.337 157.8439
5000.000000 94.157 157.6309
5080.000000 93.908 157.4939
5150.000000 93.688 157.5435
5220.000000 93.472 157.7560
5300.000000 93.239 158.1569
5380.000000 93.027 158.6649
5450.000000 92.854 159.1567
