* Measurement data measured by REW V5.31.3
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250. Timing signal peak level -32.4 dBFS, measurement signal peak level -27.0 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Dec 6, 2025 4:36:25 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: stock tips; Delay -0.0790 ms (-27 mm, -1.07 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset
* Measurement: 7hz x Crinacle Zero:2 L
* Smoothing: 1/24 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 39.782 162.0530
0.368865 39.780 162.0297
0.371538 39.777 161.9956
0.374230 39.774 161.9562
0.376942 39.771 161.9140
0.379673 39.768 161.8700
0.382424 39.765 161.8244
0.385196 39.761 161.7774
0.387987 39.758 161.7288
0.390798 39.755 161.6788
0.393630 39.751 161.6273
0.396483 39.748 161.5742
0.399356 39.745 161.5196
0.402250 39.741 161.4634
0.405165 39.738 161.4057
0.408101 39.734 161.3464
0.411058 39.731 161.2854
0.414037 39.727 161.2229
0.417037 39.724 161.1587
0.420059 39.720 161.0929
0.423103 39.716 161.0254
0.426169 39.713 160.9563
0.429257 39.709 160.8854
0.432368 39.705 160.8129
0.435501 39.702 160.7386
0.438656 39.698 160.6626
0.441835 39.694 160.5849
0.445037 39.690 160.5053
0.448262 39.686 160.4241
0.451510 39.683 160.3410
0.454782 39.679 160.2561
0.458077 39.675 160.1695
0.461397 39.671 160.0810
0.464740 39.667 159.9907
0.468108 39.663 159.8985
0.471500 39.659 159.8045
0.474917 39.655 159.7086
0.478358 39.651 159.6109
0.481825 39.646 159.5113
0.485316 39.642 159.4099
0.488833 39.638 159.3065
0.492375 39.634 159.2012
0.495943 39.630 159.0941
0.499537 39.625 158.9851
0.503157 39.621 158.8741
0.506803 39.617 158.7613
0.510475 39.612 158.6466
0.514175 39.608 158.5299
0.517900 39.604 158.4114
0.521653 39.599 158.2910
0.525434 39.595 158.1687
0.529241 39.590 158.0445
0.533076 39.586 157.9184
0.536939 39.581 157.7905
0.540830 39.576 157.6607
0.544749 39.572 157.5291
0.548696 39.567 157.3956
0.552673 39.562 157.2603
0.556677 39.557 157.1232
0.560711 39.553 156.9844
0.564774 39.548 156.8438
0.568867 39.543 156.7015
0.572989 39.538 156.5574
0.577141 39.533 156.4117
0.581324 39.528 156.2644
0.585536 39.523 156.1154
0.589779 39.518 155.9648
0.594053 39.513 155.8127
0.598358 39.508 155.6592
0.602694 39.503 155.5041
0.607061 39.498 155.3477
0.611460 39.492 155.1899
0.615891 39.487 155.0308
0.620354 39.482 154.8705
0.624849 39.476 154.7089
0.629377 39.471 154.5463
0.633938 39.466 154.3826
0.638532 39.460 154.2179
0.643159 39.455 154.0524
0.647819 39.449 153.8860
0.652514 39.443 153.7188
0.657242 39.438 153.5510
0.662005 39.432 153.3826
0.666802 39.426 153.2138
0.671634 39.421 153.0446
0.676501 39.415 152.8752
0.681403 39.409 152.7056
0.686341 39.403 152.5359
0.691314 39.397 152.3664
0.696324 39.391 152.1971
0.701370 39.385 152.0281
0.706452 39.379 151.8596
0.711571 39.373 151.6917
0.716728 39.367 151.5246
0.721921 39.361 151.3584
0.727153 39.356 151.1930
0.732422 39.352 151.0285
0.737729 39.350 150.8643
0.743075 39.349 150.7001
0.748460 39.349 150.5355
0.753883 39.349 150.3705
0.759346 39.349 150.2050
0.764849 39.349 150.0389
0.770391 39.349 149.8723
0.775974 39.349 149.7050
0.781597 39.349 149.5371
0.787261 39.349 149.3685
0.792966 39.350 149.1992
0.798712 39.350 149.0292
0.804500 39.351 148.8584
0.810329 39.351 148.6868
0.816201 39.352 148.5145
0.822116 39.353 148.3412
0.828073 39.354 148.1671
0.834074 39.355 147.9922
0.840118 39.357 147.8163
0.846206 39.358 147.6394
0.852338 39.360 147.4616
0.858514 39.362 147.2827
0.864735 39.365 147.1029
0.871001 39.367 146.9220
0.877313 39.371 146.7401
0.883670 39.374 146.5570
0.890074 39.378 146.3728
0.896524 39.382 146.1876
0.903020 39.387 146.0012
0.909564 39.392 145.8136
0.916155 39.397 145.6249
0.922794 39.403 145.4350
0.929481 39.410 145.2440
0.936216 39.417 145.0517
0.943000 39.425 144.8582
0.949834 39.433 144.6636
0.956717 39.442 144.4677
0.963649 39.452 144.2707
0.970632 39.462 144.0725
0.977666 39.474 143.8731
0.984750 39.486 143.6726
0.991886 39.499 143.4709
0.999074 39.512 143.2682
1.006314 39.527 143.0643
1.013606 39.543 142.8594
1.020951 39.560 142.6534
1.028349 39.578 142.4465
1.035801 39.597 142.2386
1.043307 39.617 142.0298
1.050867 39.638 141.8202
1.058482 39.661 141.6098
1.066152 39.685 141.3987
1.073878 39.710 141.1870
1.081660 39.737 140.9749
1.089498 39.765 140.7629
1.097393 39.795 140.5522
1.105345 39.826 140.3446
1.113355 39.859 140.1423
1.121423 39.893 139.9463
1.129549 39.928 139.7568
1.137734 39.965 139.5735
1.145979 40.004 139.3962
1.154283 40.044 139.2244
1.162647 40.085 139.0576
1.171072 40.128 138.8953
1.179558 40.172 138.7370
1.188106 40.217 138.5823
1.196715 40.265 138.4306
1.205387 40.313 138.2813
1.214122 40.363 138.1339
1.222920 40.415 137.9879
1.231782 40.468 137.8427
1.240708 40.523 137.6977
1.249699 40.579 137.5523
1.258754 40.637 137.4058
1.267876 40.696 137.2578
1.277063 40.756 137.1075
1.286318 40.819 136.9544
1.295639 40.882 136.7978
1.305027 40.948 136.6370
1.314484 41.015 136.4715
1.324009 41.083 136.3006
1.333604 41.153 136.1236
1.343268 41.224 135.9399
1.353002 41.297 135.7489
1.362806 41.372 135.5499
1.372681 41.448 135.3423
1.382628 41.525 135.1255
1.392647 41.604 134.8988
1.402739 41.685 134.6617
1.412904 41.767 134.4135
1.423142 41.850 134.1538
1.433455 41.935 133.8821
1.443843 42.021 133.5984
1.454305 42.109 133.3034
1.464844 42.199 132.9998
1.475459 42.291 132.6927
1.486150 42.385 132.3870
1.496920 42.482 132.0850
1.507767 42.582 131.7871
1.518693 42.684 131.4927
1.529698 42.789 131.2012
1.540783 42.897 130.9115
1.551948 43.007 130.6229
1.563194 43.119 130.3343
1.574521 43.234 130.0448
1.585931 43.351 129.7535
1.597423 43.471 129.4595
1.608999 43.592 129.1618
1.620658 43.716 128.8595
1.632402 43.842 128.5519
1.644232 43.969 128.2378
1.656146 44.099 127.9166
1.668147 44.230 127.5873
1.680235 44.363 127.2492
1.692411 44.497 126.9013
1.704675 44.633 126.5429
1.717028 44.770 126.1732
1.729470 44.909 125.7915
1.742003 45.048 125.3969
1.754626 45.188 124.9889
1.767341 45.330 124.5667
1.780147 45.471 124.1298
1.793047 45.614 123.6776
1.806040 45.756 123.2102
1.819128 45.899 122.7284
1.832310 46.043 122.2352
1.845587 46.188 121.7361
1.858961 46.335 121.2360
1.872432 46.483 120.7373
1.886001 46.633 120.2402
1.899667 46.785 119.7446
1.913433 46.939 119.2497
1.927299 47.095 118.7549
1.941265 47.253 118.2593
1.955332 47.412 117.7622
1.969501 47.572 117.2627
1.983773 47.734 116.7602
1.998148 47.897 116.2536
2.012627 48.062 115.7424
2.027212 48.228 115.2256
2.041902 48.394 114.7024
2.056698 48.562 114.1722
2.071602 48.730 113.6340
2.086614 48.899 113.0870
2.101734 49.069 112.5306
2.116964 49.239 111.9640
2.132304 49.409 111.3864
2.147756 49.579 110.7971
2.163320 49.750 110.1957
2.178996 49.920 109.5824
2.194786 50.090 108.9587
2.210690 50.261 108.3281
2.226710 50.432 107.6949
2.242845 50.603 107.0613
2.259098 50.776 106.4281
2.275468 50.949 105.7955
2.291957 51.122 105.1632
2.308566 51.297 104.5307
2.325295 51.472 103.8976
2.342145 51.647 103.2635
2.359117 51.823 102.6278
2.376212 52.000 101.9899
2.393431 52.176 101.3492
2.410775 52.353 100.7053
2.428244 52.531 100.0573
2.445840 52.708 99.4048
2.463564 52.886 98.7469
2.481416 53.063 98.0831
2.499397 53.241 97.4126
2.517509 53.418 96.7350
2.535752 53.596 96.0497
2.554127 53.773 95.3571
2.572635 53.950 94.6586
2.591277 54.127 93.9565
2.610055 54.304 93.2528
2.628968 54.480 92.5485
2.648019 54.657 91.8439
2.667208 54.833 91.1392
2.686535 55.010 90.4343
2.706003 55.186 89.7293
2.725612 55.362 89.0239
2.745363 55.538 88.3180
2.765257 55.714 87.6114
2.785295 55.890 86.9036
2.805478 56.066 86.1944
2.825808 56.241 85.4833
2.846285 56.417 84.7701
2.866910 56.592 84.0541
2.887685 56.766 83.3351
2.908611 56.941 82.6126
2.929688 57.115 81.8869
2.950917 57.289 81.1585
2.972301 57.463 80.4284
2.993839 57.636 79.6973
3.015534 57.808 78.9659
3.037386 57.980 78.2343
3.059396 58.151 77.5029
3.081565 58.322 76.7718
3.103896 58.493 76.0411
3.126388 58.663 75.3109
3.149043 58.833 74.5811
3.171862 59.003 73.8517
3.194847 59.172 73.1225
3.217998 59.341 72.3934
3.241317 59.509 71.6643
3.264805 59.678 70.9347
3.288463 59.846 70.2046
3.312293 60.013 69.4738
3.336295 60.180 68.7424
3.360471 60.347 68.0106
3.384822 60.512 67.2788
3.409350 60.677 66.5473
3.434056 60.842 65.8166
3.458940 61.006 65.0867
3.484005 61.169 64.3580
3.509252 61.332 63.6306
3.534681 61.495 62.9045
3.560295 61.657 62.1799
3.586094 61.819 61.4567
3.612081 61.981 60.7350
3.638255 62.142 60.0145
3.664620 62.303 59.2951
3.691175 62.464 58.5765
3.717923 62.624 57.8586
3.744864 62.783 57.1413
3.772001 62.942 56.4250
3.799335 63.101 55.7098
3.826866 63.258 54.9959
3.854597 63.416 54.2834
3.882529 63.572 53.5725
3.910664 63.729 52.8633
3.939002 63.885 52.1557
3.967546 64.041 51.4500
3.996296 64.197 50.7459
4.025255 64.353 50.0434
4.054423 64.508 49.3424
4.083804 64.663 48.6427
4.113396 64.818 47.9442
4.143204 64.971 47.2472
4.173227 65.125 46.5514
4.203468 65.278 45.8571
4.233928 65.430 45.1642
4.264609 65.583 44.4726
4.295512 65.735 43.7824
4.326639 65.887 43.0934
4.357992 66.039 42.4056
4.389572 66.190 41.7188
4.421380 66.341 41.0332
4.453419 66.492 40.3487
4.485691 66.643 39.6653
4.518196 66.793 38.9830
4.550936 66.943 38.3019
4.583914 67.093 37.6217
4.617131 67.242 36.9425
4.650589 67.391 36.2640
4.684289 67.539 35.5862
4.718233 67.688 34.9089
4.752424 67.836 34.2320
4.786862 67.984 33.5555
4.821549 68.132 32.8793
4.856488 68.279 32.2037
4.891680 68.426 31.5287
4.927127 68.573 30.8542
4.962831 68.719 30.1803
4.998794 68.865 29.5068
5.035017 69.011 28.8337
5.071503 69.156 28.1608
5.108253 69.301 27.4879
5.145270 69.446 26.8150
5.182555 69.590 26.1419
5.220110 69.734 25.4687
5.257937 69.877 24.7955
5.296038 70.020 24.1225
5.334415 70.163 23.4498
5.373071 70.305 22.7775
5.412006 70.447 22.1057
5.451224 70.589 21.4342
5.490725 70.730 20.7629
5.530514 70.870 20.0915
5.570590 71.010 19.4199
5.610957 71.150 18.7481
5.651616 71.289 18.0764
5.692570 71.428 17.4050
5.733821 71.566 16.7341
5.775370 71.704 16.0641
5.817221 71.841 15.3948
5.859375 71.978 14.7263
5.901834 72.115 14.0581
5.944602 72.250 13.3901
5.987679 72.386 12.7222
6.031068 72.521 12.0547
6.074771 72.655 11.3878
6.118792 72.789 10.7217
6.163131 72.923 10.0567
6.207792 73.056 9.3927
6.252776 73.189 8.7296
6.298086 73.321 8.0671
6.343725 73.453 7.4051
6.389694 73.584 6.7436
6.435996 73.715 6.0826
6.482634 73.845 5.4224
6.529610 73.976 4.7630
6.576926 74.106 4.1045
6.624585 74.235 3.4467
6.672590 74.364 2.7893
6.720942 74.493 2.1324
6.769645 74.621 1.4758
6.818700 74.749 0.8195
6.868111 74.877 0.1635
6.917881 75.004 -0.4923
6.968010 75.131 -1.1480
7.018504 75.257 -1.8037
