* Measurement data measured by REW V5.31.3
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250. Timing signal peak level -32.7 dBFS, measurement signal peak level -26.7 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Dec 6, 2025 4:36:52 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: stock tips; Delay -0.0830 ms (-28 mm, -1.12 in) using estimated IR delay relative to Acoustic reference played from  R with no timing offset Clock adjustment: 1.7 ppm
* Measurement: 7hz x Crinacle Zero:2 R
* Smoothing: 1/24 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 38.744 163.6918
0.368865 38.742 163.6709
0.371538 38.740 163.6403
0.374230 38.738 163.6049
0.376942 38.735 163.5671
0.379673 38.732 163.5277
0.382424 38.730 163.4868
0.385196 38.727 163.4447
0.387987 38.724 163.4012
0.390798 38.721 163.3564
0.393630 38.718 163.3102
0.396483 38.716 163.2628
0.399356 38.713 163.2139
0.402250 38.710 163.1637
0.405165 38.707 163.1120
0.408101 38.704 163.0590
0.411058 38.701 163.0045
0.414037 38.698 162.9486
0.417037 38.695 162.8913
0.420059 38.692 162.8325
0.423103 38.689 162.7722
0.426169 38.686 162.7104
0.429257 38.683 162.6472
0.432368 38.680 162.5824
0.435501 38.677 162.5161
0.438656 38.674 162.4483
0.441835 38.671 162.3790
0.445037 38.667 162.3080
0.448262 38.664 162.2355
0.451510 38.661 162.1615
0.454782 38.658 162.0858
0.458077 38.655 162.0085
0.461397 38.651 161.9296
0.464740 38.648 161.8492
0.468108 38.645 161.7670
0.471500 38.641 161.6833
0.474917 38.638 161.5979
0.478358 38.634 161.5108
0.481825 38.631 161.4221
0.485316 38.628 161.3318
0.488833 38.624 161.2398
0.492375 38.621 161.1461
0.495943 38.617 161.0507
0.499537 38.613 160.9537
0.503157 38.610 160.8549
0.506803 38.606 160.7546
0.510475 38.603 160.6525
0.514175 38.599 160.5487
0.517900 38.595 160.4433
0.521653 38.591 160.3362
0.525434 38.588 160.2274
0.529241 38.584 160.1170
0.533076 38.580 160.0049
0.536939 38.576 159.8912
0.540830 38.572 159.7758
0.544749 38.569 159.6588
0.548696 38.565 159.5402
0.552673 38.561 159.4200
0.556677 38.557 159.2982
0.560711 38.553 159.1749
0.564774 38.549 159.0500
0.568867 38.545 158.9235
0.572989 38.541 158.7956
0.577141 38.536 158.6662
0.581324 38.532 158.5353
0.585536 38.528 158.4030
0.589779 38.524 158.2693
0.594053 38.520 158.1343
0.598358 38.515 157.9979
0.602694 38.511 157.8603
0.607061 38.507 157.7214
0.611460 38.502 157.5813
0.615891 38.498 157.4401
0.620354 38.494 157.2977
0.624849 38.489 157.1544
0.629377 38.485 157.0100
0.633938 38.480 156.8647
0.638532 38.476 156.7185
0.643159 38.471 156.5715
0.647819 38.466 156.4238
0.652514 38.462 156.2755
0.657242 38.457 156.1265
0.662005 38.452 155.9771
0.666802 38.448 155.8272
0.671634 38.443 155.6770
0.676501 38.438 155.5266
0.681403 38.433 155.3760
0.686341 38.428 155.2254
0.691314 38.423 155.0748
0.696324 38.418 154.9245
0.701370 38.413 154.7744
0.706452 38.408 154.6247
0.711571 38.403 154.4756
0.716728 38.398 154.3271
0.721921 38.393 154.1794
0.727153 38.389 154.0325
0.732422 38.386 153.8862
0.737729 38.385 153.7404
0.743075 38.386 153.5946
0.748460 38.387 153.4487
0.753883 38.388 153.3025
0.759346 38.389 153.1560
0.764849 38.391 153.0091
0.770391 38.392 152.8619
0.775974 38.394 152.7142
0.781597 38.395 152.5661
0.787261 38.397 152.4175
0.792966 38.399 152.2684
0.798712 38.401 152.1188
0.804500 38.403 151.9686
0.810329 38.405 151.8178
0.816201 38.408 151.6663
0.822116 38.410 151.5143
0.828073 38.413 151.3615
0.834074 38.416 151.2080
0.840118 38.419 151.0537
0.846206 38.422 150.8987
0.852338 38.426 150.7429
0.858514 38.430 150.5862
0.864735 38.434 150.4286
0.871001 38.439 150.2702
0.877313 38.444 150.1108
0.883670 38.449 149.9504
0.890074 38.455 149.7891
0.896524 38.461 149.6268
0.903020 38.467 149.4634
0.909564 38.474 149.2989
0.916155 38.482 149.1333
0.922794 38.490 148.9667
0.929481 38.498 148.7989
0.936216 38.507 148.6299
0.943000 38.517 148.4597
0.949834 38.527 148.2884
0.956717 38.538 148.1158
0.963649 38.550 147.9420
0.970632 38.562 147.7669
0.977666 38.576 147.5906
0.984750 38.589 147.4131
0.991886 38.604 147.2343
0.999074 38.620 147.0542
1.006314 38.636 146.8728
1.013606 38.654 146.6902
1.020951 38.672 146.5063
1.028349 38.692 146.3212
1.035801 38.713 146.1348
1.043307 38.734 145.9472
1.050867 38.757 145.7585
1.058482 38.781 145.5685
1.066152 38.807 145.3774
1.073878 38.834 145.1853
1.081660 38.862 144.9923
1.089498 38.891 144.7989
1.097393 38.922 144.6060
1.105345 38.955 144.4157
1.113355 38.989 144.2299
1.121423 39.024 144.0495
1.129549 39.060 143.8749
1.137734 39.098 143.7058
1.145979 39.138 143.5419
1.154283 39.179 143.3826
1.162647 39.221 143.2278
1.171072 39.265 143.0768
1.179558 39.310 142.9291
1.188106 39.356 142.7844
1.196715 39.404 142.6422
1.205387 39.454 142.5018
1.214122 39.504 142.3629
1.222920 39.557 142.2249
1.231782 39.610 142.0872
1.240708 39.666 141.9494
1.249699 39.722 141.8108
1.258754 39.781 141.6709
1.267876 39.840 141.5291
1.277063 39.901 141.3848
1.286318 39.964 141.2376
1.295639 40.028 141.0867
1.305027 40.094 140.9316
1.314484 40.161 140.7717
1.324009 40.229 140.6064
1.333604 40.299 140.4350
1.343268 40.371 140.2571
1.353002 40.444 140.0720
1.362806 40.518 139.8790
1.372681 40.594 139.6777
1.382628 40.671 139.4674
1.392647 40.750 139.2476
1.402739 40.830 139.0177
1.412904 40.912 138.7771
1.423142 40.995 138.5254
1.433455 41.079 138.2622
1.443843 41.165 137.9873
1.454305 41.252 137.7016
1.464844 41.341 137.4074
1.475459 41.432 137.1096
1.486150 41.526 136.8127
1.496920 41.621 136.5189
1.507767 41.720 136.2285
1.518693 41.821 135.9411
1.529698 41.924 135.6559
1.540783 42.030 135.3721
1.551948 42.138 135.0889
1.563194 42.248 134.8054
1.574521 42.361 134.5206
1.585931 42.476 134.2339
1.597423 42.593 133.9442
1.608999 42.712 133.6508
1.620658 42.834 133.3528
1.632402 42.957 133.0493
1.644232 43.082 132.7396
1.656146 43.209 132.4228
1.668147 43.337 132.0981
1.680235 43.467 131.7649
1.692411 43.599 131.4222
1.704675 43.732 131.0693
1.717028 43.866 130.7056
1.729470 44.002 130.3303
1.742003 44.139 129.9427
1.754626 44.276 129.5422
1.767341 44.414 129.1281
1.780147 44.553 128.6999
1.793047 44.693 128.2572
1.806040 44.833 127.7999
1.819128 44.973 127.3288
1.832310 45.114 126.8468
1.845587 45.257 126.3591
1.858961 45.401 125.8704
1.872432 45.546 125.3827
1.886001 45.694 124.8964
1.899667 45.844 124.4113
1.913433 45.995 123.9268
1.927299 46.148 123.4421
1.941265 46.302 122.9565
1.955332 46.458 122.4692
1.969501 46.616 121.9796
1.983773 46.775 121.4868
1.998148 46.936 120.9900
2.012627 47.097 120.4886
2.027212 47.260 119.9817
2.041902 47.424 119.4687
2.056698 47.589 118.9487
2.071602 47.754 118.4211
2.086614 47.920 117.8850
2.101734 48.087 117.3398
2.116964 48.255 116.7848
2.132304 48.422 116.2192
2.147756 48.590 115.6425
2.163320 48.758 115.0542
2.178996 48.926 114.4546
2.194786 49.094 113.8452
2.210690 49.262 113.2293
2.226710 49.431 112.6111
2.242845 49.601 111.9928
2.259098 49.771 111.3752
2.275468 49.942 110.7582
2.291957 50.114 110.1415
2.308566 50.287 109.5248
2.325295 50.460 108.9075
2.342145 50.634 108.2891
2.359117 50.808 107.6691
2.376212 50.983 107.0470
2.393431 51.159 106.4221
2.410775 51.334 105.7938
2.428244 51.510 105.1616
2.445840 51.687 104.5248
2.463564 51.863 103.8828
2.481416 52.040 103.2349
2.499397 52.216 102.5805
2.517509 52.393 101.9190
2.535752 52.569 101.2502
2.554127 52.746 100.5743
2.572635 52.922 99.8928
2.591277 53.098 99.2084
2.610055 53.274 98.5228
2.628968 53.451 97.8371
2.648019 53.627 97.1514
2.667208 53.803 96.4659
2.686535 53.980 95.7804
2.706003 54.156 95.0949
2.725612 54.332 94.4090
2.745363 54.509 93.7225
2.765257 54.685 93.0351
2.785295 54.861 92.3465
2.805478 55.037 91.6563
2.825808 55.213 90.9641
2.846285 55.389 90.2694
2.866910 55.564 89.5718
2.887685 55.740 88.8709
2.908611 55.915 88.1665
2.929688 56.091 87.4588
2.950917 56.266 86.7487
2.972301 56.440 86.0374
2.993839 56.614 85.3257
3.015534 56.788 84.6140
3.037386 56.961 83.9026
3.059396 57.134 83.1915
3.081565 57.307 82.4807
3.103896 57.479 81.7704
3.126388 57.651 81.0603
3.149043 57.823 80.3505
3.171862 57.994 79.6407
3.194847 58.166 78.9308
3.217998 58.337 78.2205
3.241317 58.507 77.5095
3.264805 58.678 76.7978
3.288463 58.848 76.0851
3.312293 59.018 75.3715
3.336295 59.188 74.6576
3.360471 59.357 73.9436
3.384822 59.525 73.2299
3.409350 59.693 72.5168
3.434056 59.860 71.8045
3.458940 60.027 71.0930
3.484005 60.194 70.3825
3.509252 60.360 69.6730
3.534681 60.526 68.9645
3.560295 60.691 68.2570
3.586094 60.856 67.5503
3.612081 61.021 66.8443
3.638255 61.186 66.1390
3.664620 61.351 65.4343
3.691175 61.515 64.7301
3.717923 61.679 64.0266
3.744864 61.842 63.3239
3.772001 62.004 62.6222
3.799335 62.167 61.9216
3.826866 62.328 61.2222
3.854597 62.489 60.5240
3.882529 62.650 59.8270
3.910664 62.811 59.1312
3.939002 62.971 58.4366
3.967546 63.131 57.7431
3.996296 63.291 57.0506
4.025255 63.451 56.3592
4.054423 63.611 55.6688
4.083804 63.770 54.9795
4.113396 63.929 54.2914
4.143204 64.087 53.6046
4.173227 64.245 52.9190
4.203468 64.402 52.2345
4.233928 64.559 51.5512
4.264609 64.716 50.8689
4.295512 64.872 50.1874
4.326639 65.029 49.5068
4.357992 65.185 48.8268
4.389572 65.341 48.1474
4.421380 65.497 47.4687
4.453419 65.653 46.7910
4.485691 65.808 46.1143
4.518196 65.963 45.4386
4.550936 66.117 44.7638
4.583914 66.271 44.0898
4.617131 66.425 43.4164
4.650589 66.578 42.7435
4.684289 66.732 42.0709
4.718233 66.885 41.3984
4.752424 67.038 40.7260
4.786862 67.191 40.0536
4.821549 67.343 39.3816
4.856488 67.495 38.7100
4.891680 67.647 38.0388
4.927127 67.799 37.3681
4.962831 67.950 36.6977
4.998794 68.100 36.0275
5.035017 68.251 35.3573
5.071503 68.401 34.6870
5.108253 68.551 34.0163
5.145270 68.701 33.3453
5.182555 68.850 32.6739
5.220110 68.999 32.0024
5.257937 69.147 31.3309
5.296038 69.295 30.6593
5.334415 69.443 29.9878
5.373071 69.591 29.3163
5.412006 69.738 28.6448
5.451224 69.884 27.9731
5.490725 70.031 27.3011
5.530514 70.176 26.6286
5.570590 70.322 25.9557
5.610957 70.467 25.2825
5.651616 70.611 24.6090
5.692570 70.755 23.9355
5.733821 70.899 23.2621
5.775370 71.042 22.5888
5.817221 71.185 21.9158
5.859375 71.328 21.2427
5.901834 71.470 20.5694
5.944602 71.611 19.8959
5.987679 71.752 19.2220
6.031068 71.893 18.5481
6.074771 72.032 17.8743
6.118792 72.172 17.2009
6.163131 72.311 16.5278
6.207792 72.450 15.8551
6.252776 72.588 15.1826
6.298086 72.726 14.5100
6.343725 72.863 13.8374
6.389694 73.000 13.1648
6.435996 73.136 12.4924
6.482634 73.272 11.8203
6.529610 73.408 11.1487
6.576926 73.543 10.4774
6.624585 73.678 9.8065
6.672590 73.812 9.1355
6.720942 73.946 8.4646
6.769645 74.079 7.7937
6.818700 74.212 7.1230
6.868111 74.344 6.4525
6.917881 74.476 5.7822
6.968010 74.608 5.1121
