* Measurement data measured by REW V5.31.3
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250. Timing signal peak level -31.3 dBFS, measurement signal peak level -25.3 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Dec 6, 2025 4:10:51 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: stock tips; stock tips Delay -0.0716 ms (-25 mm, -0.97 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset
* Measurement: Crinear Daybreak L
* Smoothing: 1/24 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 41.463 162.0352
0.368865 41.457 162.0139
0.371538 41.449 161.9827
0.374230 41.440 161.9463
0.376942 41.430 161.9072
0.379673 41.420 161.8661
0.382424 41.410 161.8233
0.385196 41.400 161.7787
0.387987 41.390 161.7325
0.390798 41.380 161.6846
0.393630 41.370 161.6350
0.396483 41.360 161.5837
0.399356 41.349 161.5306
0.402250 41.339 161.4758
0.405165 41.328 161.4192
0.408101 41.318 161.3609
0.411058 41.307 161.3007
0.414037 41.296 161.2388
0.417037 41.286 161.1750
0.420059 41.275 161.1093
0.423103 41.264 161.0419
0.426169 41.253 160.9725
0.429257 41.242 160.9013
0.432368 41.230 160.8282
0.435501 41.219 160.7531
0.438656 41.208 160.6762
0.441835 41.196 160.5973
0.445037 41.185 160.5165
0.448262 41.173 160.4338
0.451510 41.161 160.3491
0.454782 41.149 160.2624
0.458077 41.138 160.1737
0.461397 41.126 160.0831
0.464740 41.114 159.9905
0.468108 41.101 159.8958
0.471500 41.089 159.7992
0.474917 41.077 159.7006
0.478358 41.064 159.6000
0.481825 41.052 159.4973
0.485316 41.039 159.3927
0.488833 41.027 159.2860
0.492375 41.014 159.1773
0.495943 41.001 159.0666
0.499537 40.988 158.9539
0.503157 40.975 158.8392
0.506803 40.962 158.7225
0.510475 40.949 158.6039
0.514175 40.935 158.4832
0.517900 40.922 158.3606
0.521653 40.908 158.2360
0.525434 40.895 158.1095
0.529241 40.881 157.9811
0.533076 40.867 157.8508
0.536939 40.853 157.7186
0.540830 40.839 157.5845
0.544749 40.825 157.4487
0.548696 40.811 157.3110
0.552673 40.796 157.1715
0.556677 40.782 157.0303
0.560711 40.767 156.8875
0.564774 40.753 156.7429
0.568867 40.738 156.5968
0.572989 40.723 156.4490
0.577141 40.708 156.2998
0.581324 40.693 156.1491
0.585536 40.678 155.9969
0.589779 40.662 155.8434
0.594053 40.647 155.6886
0.598358 40.632 155.5327
0.602694 40.616 155.3755
0.607061 40.600 155.2173
0.611460 40.584 155.0581
0.615891 40.568 154.8979
0.620354 40.552 154.7370
0.624849 40.536 154.5754
0.629377 40.520 154.4131
0.633938 40.503 154.2504
0.638532 40.487 154.0872
0.643159 40.470 153.9238
0.647819 40.453 153.7603
0.652514 40.436 153.5967
0.657242 40.419 153.4332
0.662005 40.402 153.2701
0.666802 40.385 153.1073
0.671634 40.367 152.9451
0.676501 40.350 152.7837
0.681403 40.332 152.6233
0.686341 40.314 152.4639
0.691314 40.296 152.3059
0.696324 40.278 152.1494
0.701370 40.260 151.9946
0.706452 40.242 151.8418
0.711571 40.223 151.6911
0.716728 40.204 151.5428
0.721921 40.186 151.3971
0.727153 40.166 151.2538
0.732422 40.146 151.1126
0.737729 40.125 150.9724
0.743075 40.103 150.8320
0.748460 40.080 150.6909
0.753883 40.056 150.5486
0.759346 40.032 150.4053
0.764849 40.007 150.2607
0.770391 39.982 150.1151
0.775974 39.956 149.9682
0.781597 39.930 149.8203
0.787261 39.903 149.6712
0.792966 39.875 149.5211
0.798712 39.847 149.3699
0.804500 39.819 149.2177
0.810329 39.790 149.0645
0.816201 39.760 148.9104
0.822116 39.731 148.7553
0.828073 39.700 148.5994
0.834074 39.670 148.4427
0.840118 39.638 148.2853
0.846206 39.607 148.1272
0.852338 39.575 147.9684
0.858514 39.543 147.8092
0.864735 39.510 147.6495
0.871001 39.478 147.4894
0.877313 39.445 147.3290
0.883670 39.411 147.1685
0.890074 39.378 147.0079
0.896524 39.344 146.8473
0.903020 39.310 146.6870
0.909564 39.276 146.5269
0.916155 39.242 146.3673
0.922794 39.208 146.2083
0.929481 39.174 146.0502
0.936216 39.140 145.8929
0.943000 39.105 145.7368
0.949834 39.071 145.5821
0.956717 39.037 145.4289
0.963649 39.004 145.2775
0.970632 38.970 145.1281
0.977666 38.937 144.9810
0.984750 38.904 144.8364
0.991886 38.871 144.6947
0.999074 38.839 144.5560
1.006314 38.807 144.4207
1.013606 38.776 144.2892
1.020951 38.745 144.1618
1.028349 38.715 144.0388
1.035801 38.686 143.9206
1.043307 38.657 143.8076
1.050867 38.629 143.7001
1.058482 38.602 143.5987
1.066152 38.576 143.5037
1.073878 38.551 143.4157
1.081660 38.528 143.3350
1.089498 38.505 143.2625
1.097393 38.483 143.1990
1.105345 38.462 143.1458
1.113355 38.441 143.1043
1.121423 38.420 143.0750
1.129549 38.400 143.0582
1.137734 38.379 143.0538
1.145979 38.359 143.0618
1.154283 38.338 143.0818
1.162647 38.318 143.1137
1.171072 38.298 143.1573
1.179558 38.279 143.2122
1.188106 38.260 143.2782
1.196715 38.241 143.3550
1.205387 38.223 143.4422
1.214122 38.205 143.5394
1.222920 38.189 143.6461
1.231782 38.172 143.7619
1.240708 38.157 143.8864
1.249699 38.143 144.0188
1.258754 38.129 144.1588
1.267876 38.117 144.3055
1.277063 38.106 144.4583
1.286318 38.096 144.6166
1.295639 38.087 144.7794
1.305027 38.080 144.9460
1.314484 38.074 145.1155
1.324009 38.070 145.2869
1.333604 38.068 145.4593
1.343268 38.067 145.6315
1.353002 38.069 145.8027
1.362806 38.073 145.9715
1.372681 38.079 146.1368
1.382628 38.087 146.2975
1.392647 38.098 146.4521
1.402739 38.111 146.5995
1.412904 38.128 146.7384
1.423142 38.147 146.8673
1.433455 38.169 146.9851
1.443843 38.195 147.0909
1.454305 38.224 147.1851
1.464844 38.256 147.2700
1.475459 38.293 147.3514
1.486150 38.333 147.4350
1.496920 38.377 147.5236
1.507767 38.425 147.6174
1.518693 38.477 147.7158
1.529698 38.532 147.8177
1.540783 38.592 147.9219
1.551948 38.655 148.0271
1.563194 38.721 148.1319
1.574521 38.791 148.2351
1.585931 38.864 148.3352
1.597423 38.941 148.4309
1.608999 39.021 148.5208
1.620658 39.103 148.6036
1.632402 39.189 148.6778
1.644232 39.278 148.7420
1.656146 39.370 148.7950
1.668147 39.464 148.8353
1.680235 39.561 148.8617
1.692411 39.660 148.8727
1.704675 39.761 148.8672
1.717028 39.865 148.8439
1.729470 39.970 148.8015
1.742003 40.077 148.7387
1.754626 40.186 148.6546
1.767341 40.296 148.5478
1.780147 40.407 148.4175
1.793047 40.520 148.2627
1.806040 40.633 148.0831
1.819128 40.747 147.8795
1.832310 40.862 147.6554
1.845587 40.980 147.4173
1.858961 41.101 147.1712
1.872432 41.225 146.9196
1.886001 41.353 146.6631
1.899667 41.484 146.4012
1.913433 41.618 146.1330
1.927299 41.756 145.8576
1.941265 41.896 145.5741
1.955332 42.040 145.2815
1.969501 42.186 144.9789
1.983773 42.334 144.6654
1.998148 42.485 144.3399
2.012627 42.638 144.0016
2.027212 42.793 143.6497
2.041902 42.950 143.2831
2.056698 43.108 142.9010
2.071602 43.267 142.5025
2.086614 43.427 142.0868
2.101734 43.589 141.6530
2.116964 43.750 141.2002
2.132304 43.912 140.7276
2.147756 44.074 140.2344
2.163320 44.235 139.7202
2.178996 44.396 139.1851
2.194786 44.557 138.6308
2.210690 44.718 138.0614
2.226710 44.879 137.4817
2.242845 45.042 136.8948
2.259098 45.206 136.3018
2.275468 45.371 135.7033
2.291957 45.537 135.0992
2.308566 45.705 134.4895
2.325295 45.873 133.8741
2.342145 46.042 133.2527
2.359117 46.213 132.6251
2.376212 46.384 131.9909
2.393431 46.555 131.3499
2.410775 46.728 130.7016
2.428244 46.901 130.0455
2.445840 47.074 129.3812
2.463564 47.248 128.7083
2.481416 47.421 128.0261
2.499397 47.595 127.3341
2.517509 47.769 126.6318
2.535752 47.943 125.9189
2.554127 48.117 125.1955
2.572635 48.290 124.4630
2.591277 48.464 123.7236
2.610055 48.638 122.9793
2.628968 48.812 122.2314
2.648019 48.986 121.4806
2.667208 49.161 120.7274
2.686535 49.335 119.9721
2.706003 49.510 119.2151
2.725612 49.685 118.4564
2.745363 49.860 117.6964
2.765257 50.035 116.9349
2.785295 50.211 116.1720
2.805478 50.386 115.4075
2.825808 50.562 114.6415
2.846285 50.737 113.8736
2.866910 50.913 113.1036
2.887685 51.088 112.3313
2.908611 51.264 111.5565
2.929688 51.439 110.7793
2.950917 51.614 110.0001
2.972301 51.789 109.2197
2.993839 51.964 108.4387
3.015534 52.139 107.6578
3.037386 52.313 106.8772
3.059396 52.487 106.0974
3.081565 52.661 105.3185
3.103896 52.835 104.5409
3.126388 53.009 103.7645
3.149043 53.182 102.9896
3.171862 53.356 102.2162
3.194847 53.529 101.4442
3.217998 53.703 100.6737
3.241317 53.876 99.9046
3.264805 54.050 99.1367
3.288463 54.223 98.3700
3.312293 54.397 97.6046
3.336295 54.570 96.8406
3.360471 54.742 96.0783
3.384822 54.915 95.3179
3.409350 55.087 94.5597
3.434056 55.259 93.8038
3.458940 55.430 93.0504
3.484005 55.601 92.2996
3.509252 55.773 91.5515
3.534681 55.944 90.8061
3.560295 56.115 90.0635
3.586094 56.286 89.3236
3.612081 56.457 88.5865
3.638255 56.629 87.8523
3.664620 56.800 87.1210
3.691175 56.972 86.3929
3.717923 57.143 85.6683
3.744864 57.314 84.9472
3.772001 57.484 84.2295
3.799335 57.654 83.5149
3.826866 57.825 82.8034
3.854597 57.995 82.0945
3.882529 58.165 81.3883
3.910664 58.335 80.6843
3.939002 58.505 79.9824
3.967546 58.676 79.2825
3.996296 58.846 78.5844
4.025255 59.017 77.8885
4.054423 59.187 77.1953
4.083804 59.358 76.5055
4.113396 59.528 75.8192
4.143204 59.699 75.1362
4.173227 59.869 74.4561
4.203468 60.039 73.7785
4.233928 60.210 73.1028
4.264609 60.380 72.4286
4.295512 60.550 71.7554
4.326639 60.721 71.0827
4.357992 60.891 70.4105
4.389572 61.062 69.7389
4.421380 61.233 69.0685
4.453419 61.404 68.4003
4.485691 61.574 67.7345
4.518196 61.745 67.0711
4.550936 61.916 66.4094
4.583914 62.086 65.7490
4.617131 62.257 65.0893
4.650589 62.427 64.4297
4.684289 62.597 63.7698
4.718233 62.768 63.1091
4.752424 62.938 62.4476
4.786862 63.109 61.7859
4.821549 63.279 61.1249
4.856488 63.449 60.4649
4.891680 63.619 59.8059
4.927127 63.789 59.1476
4.962831 63.958 58.4896
4.998794 64.128 57.8316
5.035017 64.297 57.1730
5.071503 64.466 56.5134
5.108253 64.635 55.8528
5.145270 64.804 55.1913
5.182555 64.972 54.5294
5.220110 65.141 53.8676
5.257937 65.308 53.2061
5.296038 65.476 52.5446
5.334415 65.643 51.8832
5.373071 65.810 51.2216
5.412006 65.977 50.5596
5.451224 66.143 49.8969
5.490725 66.309 49.2336
5.530514 66.475 48.5698
5.570590 66.641 47.9058
5.610957 66.805 47.2418
5.651616 66.970 46.5779
5.692570 67.134 45.9140
5.733821 67.298 45.2501
5.775370 67.461 44.5862
5.817221 67.624 43.9220
5.859375 67.787 43.2577
5.901834 67.950 42.5934
5.944602 68.112 41.9291
5.987679 68.273 41.2650
6.031068 68.434 40.6011
6.074771 68.595 39.9372
6.118792 68.755 39.2733
6.163131 68.916 38.6092
6.207792 69.075 37.9449
6.252776 69.235 37.2806
6.298086 69.394 36.6163
6.343725 69.553 35.9522
6.389694 69.711 35.2881
6.435996 69.869 34.6239
6.482634 70.027 33.9592
6.529610 70.184 33.2940
6.576926 70.342 32.6281
6.624585 70.499 31.9615
6.672590 70.655 31.2946
6.720942 70.811 30.6274
6.769645 70.967 29.9597
6.818700 71.123 29.2912
6.868111 71.278 28.6217
6.917881 71.432 27.9509
6.968010 71.587 27.2787
7.018504 71.741 26.6054
