* Measurement data measured by REW V5.31.3
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250. Timing signal peak level -31.7 dBFS, measurement signal peak level -25.3 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Dec 6, 2025 4:11:23 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: stock tips; Delay -0.0827 ms (-28 mm, -1.12 in) using estimated IR delay relative to Acoustic reference played from  R with no timing offset Clock adjustment: 1.0 ppm
* Measurement: Crinear Daybreak R
* Smoothing: 1/24 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 40.622 162.8510
0.368865 40.617 162.8310
0.371538 40.610 162.8017
0.374230 40.602 162.7676
0.376942 40.593 162.7309
0.379673 40.585 162.6924
0.382424 40.576 162.6523
0.385196 40.567 162.6107
0.387987 40.558 162.5675
0.390798 40.549 162.5228
0.393630 40.540 162.4765
0.396483 40.531 162.4287
0.399356 40.522 162.3793
0.402250 40.513 162.3283
0.405165 40.503 162.2757
0.408101 40.494 162.2215
0.411058 40.485 162.1656
0.414037 40.475 162.1081
0.417037 40.466 162.0489
0.420059 40.456 161.9880
0.423103 40.446 161.9255
0.426169 40.437 161.8612
0.429257 40.427 161.7953
0.432368 40.417 161.7275
0.435501 40.407 161.6581
0.438656 40.397 161.5869
0.441835 40.387 161.5139
0.445037 40.377 161.4392
0.448262 40.366 161.3627
0.451510 40.356 161.2844
0.454782 40.346 161.2043
0.458077 40.335 161.1224
0.461397 40.324 161.0387
0.464740 40.314 160.9532
0.468108 40.303 160.8658
0.471500 40.292 160.7766
0.474917 40.281 160.6856
0.478358 40.270 160.5927
0.481825 40.259 160.4980
0.485316 40.248 160.4014
0.488833 40.237 160.3031
0.492375 40.226 160.2028
0.495943 40.215 160.1007
0.499537 40.203 159.9968
0.503157 40.192 159.8911
0.506803 40.180 159.7835
0.510475 40.168 159.6740
0.514175 40.157 159.5628
0.517900 40.145 159.4498
0.521653 40.133 159.3350
0.525434 40.121 159.2184
0.529241 40.109 159.1000
0.533076 40.096 158.9799
0.536939 40.084 158.8580
0.540830 40.072 158.7345
0.544749 40.059 158.6093
0.548696 40.047 158.4824
0.552673 40.034 158.3538
0.556677 40.021 158.2237
0.560711 40.008 158.0920
0.564774 39.995 157.9588
0.568867 39.982 157.8240
0.572989 39.969 157.6878
0.577141 39.956 157.5502
0.581324 39.943 157.4113
0.585536 39.929 157.2710
0.589779 39.916 157.1295
0.594053 39.902 156.9867
0.598358 39.889 156.8429
0.602694 39.875 156.6979
0.607061 39.861 156.5520
0.611460 39.847 156.4051
0.615891 39.833 156.2573
0.620354 39.819 156.1088
0.624849 39.804 155.9596
0.629377 39.790 155.8099
0.633938 39.775 155.6596
0.638532 39.761 155.5089
0.643159 39.746 155.3580
0.647819 39.731 155.2069
0.652514 39.716 155.0557
0.657242 39.701 154.9046
0.662005 39.686 154.7537
0.666802 39.671 154.6032
0.671634 39.655 154.4532
0.676501 39.640 154.3038
0.681403 39.624 154.1552
0.686341 39.609 154.0076
0.691314 39.593 153.8611
0.696324 39.577 153.7159
0.701370 39.561 153.5723
0.706452 39.545 153.4304
0.711571 39.528 153.2904
0.716728 39.512 153.1525
0.721921 39.495 153.0169
0.727153 39.479 152.8835
0.732422 39.462 152.7520
0.737729 39.445 152.6216
0.743075 39.428 152.4914
0.748460 39.411 152.3609
0.753883 39.393 152.2299
0.759346 39.375 152.0983
0.764849 39.357 151.9662
0.770391 39.338 151.8334
0.775974 39.318 151.7000
0.781597 39.298 151.5661
0.787261 39.278 151.4315
0.792966 39.257 151.2964
0.798712 39.237 151.1608
0.804500 39.215 151.0246
0.810329 39.194 150.8879
0.816201 39.172 150.7507
0.822116 39.150 150.6130
0.828073 39.127 150.4748
0.834074 39.104 150.3363
0.840118 39.081 150.1973
0.846206 39.058 150.0580
0.852338 39.035 149.9184
0.858514 39.012 149.7785
0.864735 38.988 149.6383
0.871001 38.964 149.4980
0.877313 38.941 149.3576
0.883670 38.917 149.2171
0.890074 38.893 149.0766
0.896524 38.869 148.9362
0.903020 38.846 148.7959
0.909564 38.822 148.6559
0.916155 38.799 148.5162
0.922794 38.775 148.3768
0.929481 38.752 148.2380
0.936216 38.729 148.0998
0.943000 38.707 147.9623
0.949834 38.685 147.8256
0.956717 38.663 147.6899
0.963649 38.642 147.5553
0.970632 38.621 147.4219
0.977666 38.600 147.2899
0.984750 38.580 147.1594
0.991886 38.561 147.0307
0.999074 38.543 146.9038
1.006314 38.525 146.7789
1.013606 38.508 146.6563
1.020951 38.493 146.5361
1.028349 38.478 146.4186
1.035801 38.464 146.3039
1.043307 38.451 146.1923
1.050867 38.439 146.0840
1.058482 38.429 145.9792
1.066152 38.419 145.8782
1.073878 38.412 145.7813
1.081660 38.405 145.6888
1.089498 38.401 145.6013
1.097393 38.397 145.5199
1.105345 38.395 145.4462
1.113355 38.394 145.3819
1.121423 38.394 145.3280
1.129549 38.394 145.2847
1.137734 38.396 145.2516
1.145979 38.398 145.2287
1.154283 38.401 145.2154
1.162647 38.405 145.2115
1.171072 38.410 145.2164
1.179558 38.416 145.2298
1.188106 38.423 145.2512
1.196715 38.431 145.2800
1.205387 38.440 145.3157
1.214122 38.451 145.3577
1.222920 38.462 145.4055
1.231782 38.475 145.4584
1.240708 38.489 145.5158
1.249699 38.504 145.5769
1.258754 38.521 145.6410
1.267876 38.539 145.7074
1.277063 38.558 145.7753
1.286318 38.579 145.8438
1.295639 38.602 145.9121
1.305027 38.626 145.9794
1.314484 38.652 146.0446
1.324009 38.680 146.1069
1.333604 38.709 146.1653
1.343268 38.741 146.2188
1.353002 38.774 146.2665
1.362806 38.809 146.3072
1.372681 38.847 146.3399
1.382628 38.886 146.3636
1.392647 38.928 146.3773
1.402739 38.972 146.3798
1.412904 39.018 146.3701
1.423142 39.067 146.3471
1.433455 39.118 146.3101
1.443843 39.172 146.2584
1.454305 39.228 146.1927
1.464844 39.287 146.1157
1.475459 39.350 146.0333
1.486150 39.416 145.9513
1.496920 39.486 145.8723
1.507767 39.560 145.7968
1.518693 39.637 145.7241
1.529698 39.717 145.6532
1.540783 39.801 145.5829
1.551948 39.889 145.5122
1.563194 39.979 145.4398
1.574521 40.073 145.3645
1.585931 40.171 145.2852
1.597423 40.271 145.2006
1.608999 40.374 145.1095
1.620658 40.480 145.0108
1.632402 40.589 144.9033
1.644232 40.700 144.7859
1.656146 40.814 144.6574
1.668147 40.931 144.5167
1.680235 41.049 144.3627
1.692411 41.170 144.1944
1.704675 41.293 144.0107
1.717028 41.417 143.8105
1.729470 41.544 143.5930
1.742003 41.671 143.3571
1.754626 41.800 143.1020
1.767341 41.930 142.8268
1.780147 42.061 142.5306
1.793047 42.193 142.2130
1.806040 42.325 141.8737
1.819128 42.458 141.5140
1.832310 42.592 141.1373
1.845587 42.727 140.7502
1.858961 42.866 140.3587
1.872432 43.006 139.9654
1.886001 43.150 139.5709
1.899667 43.297 139.1747
1.913433 43.446 138.7760
1.927299 43.598 138.3739
1.941265 43.752 137.9674
1.955332 43.909 137.5557
1.969501 44.067 137.1377
1.983773 44.228 136.7126
1.998148 44.391 136.2794
2.012627 44.556 135.8373
2.027212 44.723 135.3852
2.041902 44.891 134.9223
2.056698 45.060 134.4477
2.071602 45.230 133.9606
2.086614 45.401 133.4600
2.101734 45.573 132.9452
2.116964 45.746 132.4153
2.132304 45.919 131.8695
2.147756 46.092 131.3071
2.163320 46.265 130.7277
2.178996 46.437 130.1316
2.194786 46.610 129.5207
2.210690 46.783 128.8994
2.226710 46.957 128.2729
2.242845 47.131 127.6440
2.259098 47.307 127.0139
2.275468 47.484 126.3825
2.291957 47.662 125.7498
2.308566 47.842 125.1152
2.325295 48.022 124.4784
2.342145 48.203 123.8388
2.359117 48.384 123.1959
2.376212 48.567 122.5491
2.393431 48.750 121.8978
2.410775 48.933 121.2414
2.428244 49.117 120.5793
2.445840 49.302 119.9108
2.463564 49.486 119.2352
2.481416 49.671 118.5519
2.499397 49.856 117.8601
2.517509 50.041 117.1592
2.535752 50.226 116.4491
2.554127 50.411 115.7300
2.572635 50.595 115.0039
2.591277 50.780 114.2738
2.610055 50.965 113.5420
2.628968 51.150 112.8096
2.648019 51.335 112.0771
2.667208 51.520 111.3446
2.686535 51.705 110.6121
2.706003 51.891 109.8795
2.725612 52.076 109.1465
2.745363 52.262 108.4130
2.765257 52.447 107.6787
2.785295 52.633 106.9433
2.805478 52.818 106.2063
2.825808 53.004 105.4673
2.846285 53.189 104.7259
2.866910 53.375 103.9817
2.887685 53.560 103.2342
2.908611 53.745 102.4833
2.929688 53.930 101.7292
2.950917 54.115 100.9733
2.972301 54.299 100.2168
2.993839 54.483 99.4607
3.015534 54.667 98.7055
3.037386 54.850 97.9513
3.059396 55.033 97.1983
3.081565 55.216 96.4464
3.103896 55.399 95.6956
3.126388 55.581 94.9458
3.149043 55.763 94.1968
3.171862 55.945 93.4484
3.194847 56.126 92.7004
3.217998 56.308 91.9525
3.241317 56.489 91.2045
3.264805 56.670 90.4560
3.288463 56.851 89.7072
3.312293 57.031 88.9582
3.336295 57.212 88.2098
3.360471 57.391 87.4625
3.384822 57.570 86.7167
3.409350 57.749 85.9726
3.434056 57.927 85.2302
3.458940 58.105 84.4895
3.484005 58.282 83.7507
3.509252 58.460 83.0136
3.534681 58.636 82.2782
3.560295 58.813 81.5443
3.586094 58.989 80.8119
3.612081 59.166 80.0807
3.638255 59.342 79.3506
3.664620 59.518 78.6217
3.691175 59.693 77.8944
3.717923 59.868 77.1689
3.744864 60.043 76.4455
3.772001 60.217 75.7242
3.799335 60.391 75.0051
3.826866 60.564 74.2879
3.854597 60.737 73.5726
3.882529 60.909 72.8592
3.910664 61.082 72.1473
3.939002 61.254 71.4370
3.967546 61.426 70.7279
3.996296 61.598 70.0200
4.025255 61.770 69.3134
4.054423 61.941 68.6084
4.083804 62.112 67.9054
4.113396 62.283 67.2046
4.143204 62.454 66.5059
4.173227 62.624 65.8092
4.203468 62.793 65.1143
4.233928 62.963 64.4209
4.264609 63.132 63.7288
4.295512 63.301 63.0377
4.326639 63.470 62.3474
4.357992 63.638 61.6578
4.389572 63.807 60.9687
4.421380 63.975 60.2808
4.453419 64.143 59.5943
4.485691 64.311 58.9096
4.518196 64.479 58.2265
4.550936 64.646 57.5449
4.583914 64.812 56.8644
4.617131 64.979 56.1847
4.650589 65.145 55.5055
4.684289 65.312 54.8264
4.718233 65.478 54.1473
4.752424 65.643 53.4681
4.786862 65.809 52.7891
4.821549 65.974 52.1108
4.856488 66.140 51.4334
4.891680 66.304 50.7570
4.927127 66.469 50.0813
4.962831 66.633 49.4060
4.998794 66.796 48.7309
5.035017 66.960 48.0556
5.071503 67.123 47.3798
5.108253 67.286 46.7034
5.145270 67.449 46.0266
5.182555 67.612 45.3496
5.220110 67.774 44.6728
5.257937 67.935 43.9963
5.296038 68.097 43.3199
5.334415 68.258 42.6434
5.373071 68.418 41.9668
5.412006 68.578 41.2897
5.451224 68.738 40.6119
5.490725 68.898 39.9334
5.530514 69.057 39.2543
5.570590 69.216 38.5747
5.610957 69.375 37.8949
5.651616 69.533 37.2148
5.692570 69.690 36.5346
5.733821 69.847 35.8540
5.775370 70.004 35.1730
5.817221 70.160 34.4915
5.859375 70.316 33.8092
5.901834 70.472 33.1263
5.944602 70.627 32.4428
5.987679 70.781 31.7588
6.031068 70.935 31.0744
6.074771 71.088 30.3898
6.118792 71.241 29.7048
6.163131 71.394 29.0195
6.207792 71.546 28.3337
6.252776 71.698 27.6474
6.298086 71.849 26.9604
6.343725 72.000 26.2729
6.389694 72.150 25.5850
6.435996 72.299 24.8967
6.482634 72.448 24.2083
6.529610 72.596 23.5197
6.576926 72.745 22.8309
6.624585 72.892 22.1417
6.672590 73.039 21.4519
6.720942 73.185 20.7617
6.769645 73.331 20.0711
6.818700 73.476 19.3805
6.868111 73.621 18.6897
6.917881 73.765 17.9990
6.968010 73.909 17.3082
