* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: 0.810. Timing signal peak level -20.5 dBFS, measurement signal peak level -16.8 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Feb 12, 2026 7:50:27 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0271 ms (-9.3 mm, -0.37 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset Clock adjustment: 2.5 ppm
* Measurement: Crinear Daybreak Shortwide L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 98.080 -166.7047
20.299999 97.944 -165.2458
20.600000 97.977 -164.1276
20.900000 98.086 -163.8087
21.200001 98.175 -164.2401
21.400000 98.194 -164.7641
21.799999 98.134 -165.8351
22.000000 98.075 -166.2037
22.400000 97.977 -166.5088
22.700001 97.963 -166.5711
23.000000 98.002 -166.7798
23.299999 98.065 -167.3020
23.600000 98.116 -168.1321
24.000000 98.124 -169.4579
24.299999 98.090 -170.3863
24.700001 98.029 -171.3474
25.000000 98.000 -171.8913
25.400000 97.996 -172.5695
25.799999 98.014 -173.3672
26.200001 98.019 -174.2868
26.500000 98.004 -174.9705
26.900000 97.968 -175.7605
27.200001 97.939 -176.2359
27.600000 97.912 -176.7507
28.000000 97.899 -177.1987
28.500000 97.899 -177.7430
29.000000 97.917 -178.3464
29.500000 97.941 -179.1205
30.000000 97.939 179.9390
30.400000 97.902 179.2340
30.700001 97.861 178.8482
31.100000 97.820 178.5652
31.500000 97.823 178.4076
32.000000 97.888 177.9689
32.500000 97.946 177.0330
33.000000 97.925 175.9269
33.500000 97.843 175.1804
34.000000 97.783 174.8630
34.500000 97.777 174.5267
35.000000 97.760 173.8640
35.500000 97.665 173.1606
36.000000 97.515 172.9115
36.500000 97.402 173.1711
37.000000 97.374 173.4665
37.500000 97.389 173.3578
38.200001 97.374 172.5630
38.700001 97.326 171.7796
39.500000 97.184 170.3708
40.000000 97.053 169.6691
40.599998 96.924 169.3217
41.200001 96.924 169.0693
41.799999 97.005 168.1181
42.500000 97.008 166.3919
43.099998 96.938 165.4361
43.700001 96.949 165.0523
44.400002 97.074 164.1879
45.000000 97.111 162.9654
45.500000 97.059 162.2369
46.200001 96.997 162.1065
46.799999 97.029 162.1345
47.500000 97.041 161.7402
48.200001 96.958 161.6464
48.700001 96.921 161.9759
49.400002 96.955 162.1921
50.000000 96.958 161.6523
50.799999 96.771 160.9601
51.500000 96.582 161.5068
52.200001 96.593 162.2705
53.000000 96.713 161.4752
53.799999 96.633 159.5188
54.500000 96.412 158.4535
55.200001 96.239 158.2786
56.000000 96.178 158.1986
57.000000 96.174 157.5853
58.000000 96.169 156.8314
59.000000 96.164 156.2093
60.000000 96.158 155.6318
60.799999 96.134 155.2183
61.500000 96.105 154.8929
62.200001 96.062 154.4588
63.000000 95.965 153.8879
64.000000 95.802 153.5355
65.000000 95.686 153.3451
66.000000 95.580 152.8444
67.000000 95.461 152.3407
68.000000 95.374 151.8883
69.000000 95.299 151.3444
70.000000 95.214 150.9321
71.000000 95.145 150.7307
72.000000 95.094 150.5304
73.000000 95.033 150.3139
74.000000 94.971 150.1604
75.000000 94.914 149.9310
76.199997 94.827 149.5987
77.500000 94.737 149.3234
78.800003 94.660 149.0315
80.000000 94.603 148.7227
81.199997 94.526 148.2857
82.500000 94.402 148.0366
83.800003 94.259 148.0665
85.000000 94.137 148.3108
86.199997 94.039 148.4553
87.500000 93.941 148.4360
88.500000 93.876 148.2737
90.000000 93.787 147.9004
91.199997 93.734 147.6009
92.500000 93.672 147.2512
93.800003 93.566 147.2050
95.000000 93.477 147.5900
96.199997 93.421 147.8533
97.500000 93.332 147.5408
98.800003 93.154 147.2714
100.000000 93.038 147.3759
101.500000 92.932 146.9623
103.000000 92.784 146.8254
104.400002 92.697 147.2474
106.000000 92.667 147.3734
107.500000 92.638 147.2538
109.000000 92.614 147.1040
110.599998 92.591 147.0886
112.000000 92.548 147.1831
113.800003 92.400 147.2237
115.000000 92.243 147.1612
117.199997 91.961 146.1526
118.000000 91.864 145.2592
120.599998 91.410 144.9438
122.000000 91.511 146.6147
124.099998 91.709 147.5353
125.000000 91.730 147.9200
126.500000 91.707 148.3766
128.000000 91.627 148.4817
131.500000 91.453 148.6201
132.000000 91.441 148.6905
134.000000 91.389 149.0220
136.000000 91.291 149.3280
138.000000 91.201 149.6123
140.000000 91.173 149.5089
143.000000 91.067 148.9739
145.000000 90.983 149.4592
147.500000 91.015 151.1244
150.000000 91.070 153.5088
152.500000 90.864 154.9514
155.000000 90.448 154.2000
157.500000 90.229 152.2469
160.000000 90.415 152.6936
162.500000 90.545 153.7479
165.000000 90.326 154.1839
167.500000 90.240 152.6848
170.000000 90.284 151.5202
172.500000 90.305 153.3841
175.000000 90.168 155.7118
177.500000 90.062 156.6217
180.000000 90.063 156.1317
182.500000 90.069 156.5903
185.000000 90.011 157.4712
187.500000 89.920 158.0918
190.000000 89.830 158.2451
192.500000 89.815 158.6320
195.000000 89.862 158.7317
197.500000 89.870 158.6393
200.000000 89.854 158.7292
203.000000 89.835 158.8649
206.000000 89.824 159.1396
209.000000 89.790 159.5559
212.000000 89.774 159.6954
214.000000 89.772 159.6953
218.000000 89.718 160.2204
220.000000 89.663 160.5832
224.000000 89.589 160.7559
227.000000 89.566 160.6546
230.000000 89.546 160.9058
233.000000 89.535 161.1929
236.000000 89.520 161.4631
240.000000 89.483 161.9249
243.000000 89.454 162.2303
247.000000 89.434 162.6208
250.000000 89.428 162.8945
254.000000 89.410 163.1287
258.000000 89.370 163.3694
262.000000 89.311 163.6545
265.000000 89.282 163.9301
269.000000 89.256 164.1714
272.000000 89.231 164.3871
276.000000 89.190 164.8379
280.000000 89.144 165.0681
285.000000 89.139 165.2214
290.000000 89.158 165.4886
295.000000 89.153 165.9677
300.000000 89.132 166.4404
304.000000 89.112 166.5522
307.000000 89.096 166.6281
311.000000 89.073 166.7397
315.000000 89.048 166.9758
320.000000 89.030 167.3104
325.000000 89.020 167.5485
330.000000 88.985 167.8394
335.000000 88.929 168.0728
340.000000 88.906 168.2425
345.000000 88.925 168.4162
350.000000 88.926 168.5385
355.000000 88.904 168.7258
360.000000 88.880 168.9958
365.000000 88.868 169.2226
370.000000 88.853 169.4110
375.000000 88.825 169.5951
382.000000 88.801 169.8708
387.000000 88.795 170.1663
395.000000 88.785 170.5109
400.000000 88.766 170.7195
406.000000 88.741 170.9802
412.000000 88.721 171.1262
418.000000 88.703 171.2466
425.000000 88.682 171.5056
431.000000 88.650 171.7895
437.000000 88.618 172.0375
444.000000 88.609 172.2922
450.000000 88.596 172.4981
455.000000 88.583 172.7607
462.000000 88.567 172.9485
468.000000 88.530 173.0660
475.000000 88.498 173.3182
482.000000 88.488 173.6668
487.000000 88.474 173.8094
494.000000 88.434 174.0378
500.000000 88.392 174.2450
508.000000 88.360 174.4453
515.000000 88.361 174.6484
522.000000 88.358 174.8285
530.000000 88.341 175.0646
538.000000 88.302 175.3179
545.000000 88.262 175.5997
552.000000 88.237 175.8637
560.000000 88.212 176.0713
570.000000 88.144 176.4259
580.000000 88.094 176.9052
590.000000 88.068 177.3477
600.000000 88.033 177.6595
608.000000 88.002 177.8301
615.000000 87.976 178.0533
622.000000 87.949 178.3464
630.000000 87.921 178.7133
640.000000 87.874 179.0922
650.000000 87.827 179.4792
660.000000 87.780 179.9242
670.000000 87.739 -179.5713
680.000000 87.695 -179.0202
690.000000 87.651 -178.4477
700.000000 87.623 -178.0031
710.000000 87.596 -177.5269
720.000000 87.566 -176.9534
730.000000 87.539 -176.4373
740.000000 87.505 -175.9755
750.000000 87.467 -175.4483
762.000000 87.434 -174.7318
775.000000 87.399 -173.8513
788.000000 87.355 -172.9395
800.000000 87.328 -172.2457
812.000000 87.314 -171.4211
825.000000 87.296 -170.5552
838.000000 87.277 -169.7270
850.000000 87.266 -168.9107
862.000000 87.265 -168.0390
875.000000 87.267 -167.0903
885.000000 87.272 -166.3634
900.000000 87.283 -165.3041
912.000000 87.298 -164.4409
925.000000 87.319 -163.5669
938.000000 87.344 -162.7225
950.000000 87.371 -161.8910
962.000000 87.403 -161.0324
975.000000 87.450 -160.2171
988.000000 87.505 -159.4292
1000.000000 87.552 -158.7001
1015.000000 87.622 -157.8302
1030.000000 87.696 -157.0048
1044.000000 87.759 -156.2670
1060.000000 87.838 -155.4635
1075.000000 87.917 -154.7615
1090.000000 87.994 -154.0965
1106.000000 88.079 -153.4392
1120.000000 88.159 -152.9410
1138.000000 88.259 -152.3010
1150.000000 88.324 -151.8543
1172.000000 88.443 -151.2153
1180.000000 88.480 -151.0179
1206.000000 88.604 -150.3194
1220.000000 88.681 -149.9937
1241.000000 88.809 -149.5654
1250.000000 88.870 -149.3713
1265.000000 88.970 -149.0279
1280.000000 89.054 -148.7400
1315.000000 89.210 -148.1247
1320.000000 89.231 -148.0396
1340.000000 89.315 -147.7119
1360.000000 89.400 -147.3900
1380.000000 89.487 -147.1161
1400.000000 89.578 -146.8451
1430.000000 89.709 -146.2881
1450.000000 89.796 -145.9573
1475.000000 89.899 -145.6062
1500.000000 89.998 -145.2485
1525.000000 90.100 -144.7965
1550.000000 90.196 -144.3679
1575.000000 90.288 -143.9787
1600.000000 90.383 -143.6122
1625.000000 90.476 -143.2114
1650.000000 90.570 -142.8032
1675.000000 90.662 -142.4165
1700.000000 90.753 -142.0467
1725.000000 90.848 -141.6850
1750.000000 90.942 -141.3154
1775.000000 91.040 -140.9282
1800.000000 91.139 -140.5546
1825.000000 91.241 -140.2083
1850.000000 91.344 -139.8778
1875.000000 91.446 -139.5681
1900.000000 91.552 -139.2525
1925.000000 91.663 -138.9545
1950.000000 91.775 -138.6719
1975.000000 91.888 -138.3846
2000.000000 92.006 -138.1123
2030.000000 92.150 -137.8017
2060.000000 92.297 -137.5210
2090.000000 92.446 -137.2721
2120.000000 92.597 -137.0547
2140.000000 92.699 -136.9292
2180.000000 92.910 -136.7150
2200.000000 93.018 -136.6283
2240.000000 93.242 -136.4691
2270.000000 93.411 -136.4267
2300.000000 93.580 -136.4328
2330.000000 93.749 -136.4764
2360.000000 93.918 -136.5856
2400.000000 94.148 -136.7888
2430.000000 94.321 -136.9849
2470.000000 94.552 -137.3647
2500.000000 94.724 -137.7112
2540.000000 94.951 -138.2352
2580.000000 95.171 -138.8329
2620.000000 95.385 -139.5528
2650.000000 95.541 -140.1612
2690.000000 95.742 -141.0503
2720.000000 95.886 -141.7692
2760.000000 96.068 -142.7952
2800.000000 96.238 -143.8868
2850.000000 96.430 -145.3533
2900.000000 96.598 -146.8829
2950.000000 96.739 -148.4659
3000.000000 96.857 -150.1146
3040.000000 96.934 -151.4577
3070.000000 96.981 -152.4717
3110.000000 97.027 -153.8240
3150.000000 97.054 -155.1644
3200.000000 97.055 -156.8088
3250.000000 97.024 -158.4275
3300.000000 96.965 -159.9835
3350.000000 96.884 -161.4494
3400.000000 96.792 -162.8211
3450.000000 96.696 -164.0952
3500.000000 96.598 -165.2631
3550.000000 96.492 -166.3304
3600.000000 96.368 -167.2984
3650.000000 96.224 -168.1906
3700.000000 96.062 -168.9949
3750.000000 95.891 -169.7153
3820.000000 95.655 -170.6171
3870.000000 95.503 -171.1994
3950.000000 95.317 -172.0728
4000.000000 95.226 -172.5753
4060.000000 95.135 -173.1369
4120.000000 95.054 -173.6899
4180.000000 94.969 -174.2348
4250.000000 94.855 -174.8553
4310.000000 94.741 -175.3702
4370.000000 94.611 -175.8503
4440.000000 94.442 -176.3494
4500.000000 94.282 -176.7217
4550.000000 94.141 -176.9752
4620.000000 93.939 -177.2250
4680.000000 93.765 -177.3367
4750.000000 93.566 -177.3791
4820.000000 93.375 -177.3307
4870.000000 93.245 -177.2523
4940.000000 93.076 -177.1106
5000.000000 92.945 -176.9844
5080.000000 92.787 -176.8459
5150.000000 92.664 -176.7679
5220.000000 92.559 -176.7419
5300.000000 92.448 -176.7793
