* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: 0.810. Timing signal peak level -20.0 dBFS, measurement signal peak level -16.1 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Feb 12, 2026 7:52:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0307 ms (-11 mm, -0.41 in) using estimated IR delay relative to Acoustic reference played from  R with no timing offset
* Measurement: Crinear Daybreak Shortwide R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 99.156 -175.7884
20.299999 98.890 -174.6430
20.600000 98.814 -173.2525
20.900000 98.880 -172.3866
21.200001 98.986 -172.3477
21.400000 99.034 -172.6989
21.799999 99.034 -173.8020
22.000000 98.993 -174.3425
22.400000 98.887 -175.1584
22.700001 98.831 -175.6298
23.000000 98.804 -176.1863
23.299999 98.781 -176.9509
23.600000 98.732 -177.8847
24.000000 98.600 -179.0681
24.299999 98.471 -179.6443
24.700001 98.329 -179.8583
25.000000 98.292 -179.7758
25.400000 98.346 -179.8256
25.799999 98.453 179.5569
26.200001 98.525 178.4055
26.500000 98.524 177.4293
26.900000 98.454 176.3488
27.200001 98.380 175.8651
27.600000 98.302 175.6583
28.000000 98.282 175.7107
28.500000 98.328 175.6525
29.000000 98.385 175.2210
29.500000 98.400 174.6280
30.000000 98.391 174.1625
30.400000 98.398 173.8636
30.700001 98.420 173.5711
31.100000 98.457 172.9561
31.500000 98.469 172.0596
32.000000 98.410 170.7820
32.500000 98.277 169.7585
33.000000 98.134 169.2442
33.500000 98.047 169.0723
34.000000 98.031 168.8454
34.500000 98.047 168.3069
35.000000 98.052 167.4933
35.500000 98.027 166.5993
36.000000 97.982 165.7816
36.500000 97.936 165.0756
37.000000 97.896 164.4601
37.500000 97.861 163.9489
38.200001 97.841 163.4134
38.700001 97.863 162.9608
39.500000 97.880 161.7014
40.000000 97.806 160.8893
40.599998 97.656 160.6279
41.200001 97.578 161.2616
41.799999 97.650 161.9525
42.500000 97.802 161.8954
43.099998 97.878 161.3199
43.700001 97.902 160.6258
44.400002 97.879 159.7046
45.000000 97.794 158.9271
45.500000 97.686 158.4901
46.200001 97.548 158.2239
46.799999 97.467 158.0000
47.500000 97.381 157.5543
48.200001 97.302 157.0791
48.700001 97.270 156.6755
49.400002 97.238 155.8376
50.000000 97.183 155.0086
50.799999 97.095 154.2462
51.500000 97.071 153.7590
52.200001 97.062 153.0229
53.000000 96.979 152.1842
53.799999 96.859 151.9366
54.500000 96.792 152.0198
55.200001 96.749 151.9930
56.000000 96.683 151.7700
57.000000 96.567 151.4809
58.000000 96.471 151.2552
59.000000 96.405 150.5948
60.000000 96.293 149.7691
60.799999 96.219 149.2783
61.500000 96.169 148.7246
62.200001 96.088 148.1448
63.000000 95.976 147.8298
64.000000 95.899 147.7427
65.000000 95.836 147.4950
66.000000 95.748 147.3503
67.000000 95.677 147.2231
68.000000 95.605 146.9120
69.000000 95.509 146.5636
70.000000 95.407 146.3536
71.000000 95.324 146.2308
72.000000 95.263 146.0475
73.000000 95.200 145.7164
74.000000 95.113 145.3836
75.000000 95.020 145.1774
76.199997 94.913 144.9649
77.500000 94.798 144.7180
78.800003 94.668 144.4697
80.000000 94.567 144.3971
81.199997 94.496 144.1401
82.500000 94.405 143.7202
83.800003 94.291 143.4044
85.000000 94.188 143.3675
86.199997 94.104 143.4133
87.500000 94.012 143.4244
88.500000 93.930 143.4083
90.000000 93.798 143.3559
91.199997 93.692 143.3406
92.500000 93.607 143.3546
93.800003 93.537 143.3019
95.000000 93.472 143.3203
96.199997 93.398 143.3848
97.500000 93.311 143.5196
98.800003 93.222 143.4662
100.000000 93.116 143.3041
101.500000 92.992 143.3240
103.000000 92.913 143.4729
104.400002 92.848 143.6087
106.000000 92.721 143.8312
107.500000 92.592 144.1005
109.000000 92.499 143.9285
110.599998 92.440 143.4386
112.000000 92.428 143.2802
113.800003 92.417 143.8964
115.000000 92.352 144.6247
117.199997 91.899 145.4573
118.000000 91.590 145.9149
120.599998 91.239 151.1353
122.000000 91.485 148.9401
124.099998 91.583 145.4987
125.000000 91.610 145.0217
126.500000 91.618 145.2216
128.000000 91.569 146.0928
131.500000 91.356 146.7850
132.000000 91.318 146.6812
134.000000 91.193 146.4056
136.000000 91.113 146.5420
138.000000 91.102 146.8347
140.000000 91.062 146.5707
143.000000 90.947 146.5272
145.000000 90.792 147.3304
147.500000 90.680 147.7002
150.000000 90.549 147.6730
152.500000 90.470 147.3624
155.000000 90.422 148.7945
157.500000 90.226 149.6431
160.000000 90.097 151.4295
162.500000 90.102 151.0312
165.000000 90.191 151.5826
167.500000 90.219 151.1283
170.000000 89.978 151.9947
172.500000 90.034 153.4595
175.000000 90.103 153.0651
177.500000 89.943 154.1180
180.000000 89.909 155.6881
182.500000 89.950 155.0599
185.000000 89.854 154.2261
187.500000 89.734 155.2343
190.000000 89.772 156.5934
192.500000 89.833 156.4777
195.000000 89.725 155.9072
197.500000 89.516 156.2760
200.000000 89.379 157.4396
203.000000 89.441 158.7978
206.000000 89.600 158.8004
209.000000 89.652 158.2565
212.000000 89.651 157.9279
214.000000 89.621 157.8336
218.000000 89.521 158.0034
220.000000 89.468 158.1188
224.000000 89.393 158.5449
227.000000 89.362 159.1208
230.000000 89.357 159.7544
233.000000 89.365 160.1675
236.000000 89.360 160.4954
240.000000 89.308 161.0776
243.000000 89.249 161.3999
247.000000 89.181 161.5702
250.000000 89.160 161.7579
254.000000 89.173 162.1786
258.000000 89.172 162.6313
262.000000 89.114 162.8673
265.000000 89.095 162.7998
269.000000 89.122 162.8565
272.000000 89.142 163.1715
276.000000 89.143 163.4636
280.000000 89.114 163.7053
285.000000 89.047 164.2856
290.000000 89.004 164.5480
295.000000 88.962 164.8991
300.000000 88.960 165.4418
304.000000 88.940 165.6874
307.000000 88.918 165.8142
311.000000 88.895 165.9916
315.000000 88.884 166.2631
320.000000 88.877 166.6077
325.000000 88.852 166.8932
330.000000 88.818 167.1255
335.000000 88.765 167.2533
340.000000 88.739 167.5149
345.000000 88.740 167.8010
350.000000 88.738 167.9911
355.000000 88.734 168.2112
360.000000 88.727 168.5723
365.000000 88.719 168.9213
370.000000 88.696 169.2945
375.000000 88.644 169.5379
382.000000 88.608 169.6230
387.000000 88.608 169.7476
395.000000 88.600 170.1148
400.000000 88.581 170.3785
406.000000 88.552 170.6245
412.000000 88.540 170.8517
418.000000 88.513 171.1222
425.000000 88.467 171.3096
431.000000 88.441 171.5213
437.000000 88.414 171.7960
444.000000 88.393 172.0797
450.000000 88.392 172.2150
455.000000 88.381 172.3094
462.000000 88.338 172.5576
468.000000 88.305 172.8563
475.000000 88.280 173.1627
482.000000 88.264 173.3719
487.000000 88.249 173.5834
494.000000 88.215 173.9318
500.000000 88.184 174.2083
508.000000 88.141 174.4973
515.000000 88.117 174.7883
522.000000 88.090 174.9330
530.000000 88.051 175.1215
538.000000 88.028 175.5248
545.000000 88.026 175.9089
552.000000 88.022 176.2151
560.000000 88.013 176.5439
570.000000 87.948 176.9071
580.000000 87.878 177.3156
590.000000 87.830 177.7373
600.000000 87.771 178.0822
608.000000 87.740 178.3861
615.000000 87.715 178.7521
622.000000 87.689 179.1557
630.000000 87.662 179.5444
640.000000 87.633 -179.9167
650.000000 87.609 -179.3633
660.000000 87.580 -178.8149
670.000000 87.542 -178.3658
680.000000 87.522 -177.9419
690.000000 87.506 -177.5337
700.000000 87.489 -177.1644
710.000000 87.456 -176.8363
720.000000 87.407 -176.4171
730.000000 87.360 -175.8127
740.000000 87.315 -175.2837
750.000000 87.261 -174.8012
762.000000 87.196 -174.1147
775.000000 87.147 -173.2538
788.000000 87.101 -172.3495
800.000000 87.061 -171.5075
812.000000 87.027 -170.6940
825.000000 87.005 -169.7304
838.000000 86.990 -168.6803
850.000000 86.964 -167.8401
862.000000 86.945 -166.8912
875.000000 86.947 -165.7614
885.000000 86.951 -164.9321
900.000000 86.967 -163.7850
912.000000 86.981 -162.8791
925.000000 87.003 -161.9388
938.000000 87.038 -161.0500
950.000000 87.070 -160.1688
962.000000 87.102 -159.3147
975.000000 87.150 -158.4182
988.000000 87.201 -157.5036
1000.000000 87.251 -156.6647
1015.000000 87.319 -155.6966
1030.000000 87.392 -154.7960
1044.000000 87.464 -153.9861
1060.000000 87.552 -153.0579
1075.000000 87.634 -152.2256
1090.000000 87.725 -151.5245
1106.000000 87.823 -150.8872
1120.000000 87.912 -150.3025
1138.000000 88.022 -149.5735
1150.000000 88.091 -149.1143
1172.000000 88.210 -148.4093
1180.000000 88.257 -148.1740
1206.000000 88.412 -147.4045
1220.000000 88.495 -147.0198
1241.000000 88.620 -146.5443
1250.000000 88.677 -146.3536
1265.000000 88.776 -146.0458
1280.000000 88.868 -145.7483
1315.000000 89.051 -145.0561
1320.000000 89.076 -144.9586
1340.000000 89.168 -144.6120
1360.000000 89.251 -144.2868
1380.000000 89.337 -143.9433
1400.000000 89.440 -143.6210
1430.000000 89.583 -143.2808
1450.000000 89.673 -142.9809
1475.000000 89.792 -142.4761
1500.000000 89.892 -141.9569
1525.000000 89.993 -141.5748
1550.000000 90.093 -141.2041
1575.000000 90.190 -140.8161
1600.000000 90.289 -140.3810
1625.000000 90.389 -139.9842
1650.000000 90.484 -139.6078
1675.000000 90.578 -139.2120
1700.000000 90.674 -138.8203
1725.000000 90.767 -138.4985
1750.000000 90.856 -138.1802
1775.000000 90.952 -137.8394
1800.000000 91.055 -137.4538
1825.000000 91.152 -137.0455
1850.000000 91.249 -136.6944
1875.000000 91.352 -136.3513
1900.000000 91.458 -136.0307
1925.000000 91.569 -135.6912
1950.000000 91.683 -135.3403
1975.000000 91.796 -135.0415
2000.000000 91.908 -134.7573
2030.000000 92.048 -134.4049
2060.000000 92.197 -134.0615
2090.000000 92.348 -133.7567
2120.000000 92.501 -133.4882
2140.000000 92.605 -133.3393
2180.000000 92.820 -133.1415
2200.000000 92.930 -133.0663
2240.000000 93.155 -132.9133
2270.000000 93.322 -132.8158
2300.000000 93.487 -132.7897
2330.000000 93.655 -132.8043
2360.000000 93.824 -132.8570
2400.000000 94.056 -133.0220
2430.000000 94.229 -133.2128
2470.000000 94.459 -133.5375
2500.000000 94.632 -133.8366
2540.000000 94.857 -134.3450
2580.000000 95.078 -134.9470
2620.000000 95.294 -135.6268
2650.000000 95.452 -136.1986
2690.000000 95.654 -137.0439
2720.000000 95.798 -137.7356
2760.000000 95.983 -138.7299
2800.000000 96.153 -139.8275
2850.000000 96.347 -141.3006
2900.000000 96.514 -142.8351
2950.000000 96.655 -144.4554
3000.000000 96.770 -146.1335
3040.000000 96.842 -147.4992
3070.000000 96.881 -148.5298
3110.000000 96.916 -149.8984
3150.000000 96.932 -151.2460
3200.000000 96.922 -152.8973
3250.000000 96.880 -154.4854
3300.000000 96.806 -155.9939
3350.000000 96.711 -157.4308
3400.000000 96.605 -158.7558
3450.000000 96.495 -159.9667
3500.000000 96.384 -161.0875
3550.000000 96.264 -162.1016
3600.000000 96.124 -162.9948
3650.000000 95.966 -163.7887
3700.000000 95.790 -164.5039
3750.000000 95.607 -165.1314
3820.000000 95.352 -165.8831
3870.000000 95.189 -166.3696
3950.000000 94.985 -167.0616
4000.000000 94.883 -167.4257
4060.000000 94.780 -167.8211
4120.000000 94.686 -168.2056
4180.000000 94.592 -168.5754
4250.000000 94.473 -168.9922
4310.000000 94.354 -169.3223
4370.000000 94.221 -169.6361
4440.000000 94.048 -169.9563
4500.000000 93.887 -170.1773
4550.000000 93.746 -170.3163
4620.000000 93.544 -170.4097
4680.000000 93.371 -170.4178
4750.000000 93.167 -170.3216
4820.000000 92.969 -170.1290
4870.000000 92.834 -169.9517
4940.000000 92.656 -169.6439
5000.000000 92.513 -169.3354
5080.000000 92.344 -168.9364
5150.000000 92.218 -168.6150
5220.000000 92.109 -168.2990
5300.000000 91.999 -167.9728
5380.000000 91.901 -167.6890
5450.000000 91.814 -167.4676
