* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: 0.810. Timing signal peak level -21.2 dBFS, measurement signal peak level -17.6 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Feb 12, 2026 7:40:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0975 ms (-33 mm, -1.32 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset Clock adjustment: 2.5 ppm
* Measurement: Crinear Daybreak Stock L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 97.764 -160.4363
20.299999 97.774 -160.8180
20.600000 97.807 -161.2338
20.900000 97.853 -161.7561
21.200001 97.897 -162.3957
21.400000 97.918 -162.8645
21.799999 97.939 -163.8076
22.000000 97.941 -164.2424
22.400000 97.940 -164.9986
22.700001 97.949 -165.4987
23.000000 97.969 -166.0079
23.299999 97.995 -166.5834
23.600000 98.017 -167.2461
24.000000 98.024 -168.2116
24.299999 98.007 -168.9150
24.700001 97.969 -169.7168
25.000000 97.943 -170.2025
25.400000 97.931 -170.7823
25.799999 97.944 -171.4365
26.200001 97.958 -172.2583
26.500000 97.954 -172.9540
26.900000 97.924 -173.8664
27.200001 97.889 -174.4616
27.600000 97.847 -175.1033
28.000000 97.826 -175.6452
28.500000 97.824 -176.3545
29.000000 97.823 -177.1452
29.500000 97.811 -177.8782
30.000000 97.809 -178.4738
30.400000 97.826 -178.9325
30.700001 97.846 -179.3284
31.100000 97.868 -179.9439
31.500000 97.870 179.4011
32.000000 97.845 178.6864
32.500000 97.816 178.1715
33.000000 97.806 177.7540
33.500000 97.810 177.2575
34.000000 97.806 176.6166
34.500000 97.774 175.9205
35.000000 97.718 175.3184
35.500000 97.663 174.8694
36.000000 97.631 174.4595
36.500000 97.622 173.8929
37.000000 97.607 173.1153
37.500000 97.563 172.2913
38.200001 97.491 171.3314
38.700001 97.465 170.6084
39.500000 97.379 169.0617
40.000000 97.246 168.3178
40.599998 97.088 168.2491
41.200001 97.067 168.6284
41.799999 97.152 168.4738
42.500000 97.193 167.5812
43.099998 97.161 166.9471
43.700001 97.143 166.5403
44.400002 97.138 165.9313
45.000000 97.099 165.4051
45.500000 97.061 165.1413
46.200001 97.046 164.8351
46.799999 97.037 164.4097
47.500000 96.995 163.9515
48.200001 96.969 163.6507
48.700001 96.966 163.3486
49.400002 96.939 162.7607
50.000000 96.887 162.3004
50.799999 96.817 161.7882
51.500000 96.745 161.3200
52.200001 96.655 160.9894
53.000000 96.583 160.7605
53.799999 96.539 160.3458
54.500000 96.488 159.8763
55.200001 96.438 159.4329
56.000000 96.389 158.8684
57.000000 96.308 158.1320
58.000000 96.213 157.5976
59.000000 96.125 157.3693
60.000000 96.091 157.1282
60.799999 96.049 156.5453
61.500000 95.946 156.0724
62.200001 95.824 156.0037
63.000000 95.749 156.1712
64.000000 95.719 155.9492
65.000000 95.663 155.4351
66.000000 95.591 154.9869
67.000000 95.522 154.6015
68.000000 95.464 154.2419
69.000000 95.405 153.8992
70.000000 95.344 153.5872
71.000000 95.272 153.2667
72.000000 95.187 153.0472
73.000000 95.113 152.8956
74.000000 95.045 152.6937
75.000000 94.974 152.4754
76.199997 94.893 152.2458
77.500000 94.805 151.9113
78.800003 94.695 151.6309
80.000000 94.602 151.4671
81.199997 94.516 151.2040
82.500000 94.407 150.9203
83.800003 94.308 150.8087
85.000000 94.240 150.6788
86.199997 94.167 150.4955
87.500000 94.077 150.4296
88.500000 94.014 150.4401
90.000000 93.924 150.3843
91.199997 93.840 150.2654
92.500000 93.740 150.1879
93.800003 93.646 150.1391
95.000000 93.566 150.1221
96.199997 93.492 150.0899
97.500000 93.409 150.0630
98.800003 93.336 150.0612
100.000000 93.263 149.9319
101.500000 93.149 149.8883
103.000000 93.052 149.9596
104.400002 92.977 149.9922
106.000000 92.891 150.0232
107.500000 92.823 150.1135
109.000000 92.749 150.1014
110.599998 92.653 150.2230
112.000000 92.579 150.3834
113.800003 92.480 150.5578
115.000000 92.409 150.7236
117.199997 92.259 151.0721
118.000000 92.197 151.2448
120.599998 92.063 151.9171
122.000000 92.016 151.7674
124.099998 91.913 151.4797
125.000000 91.873 151.4643
126.500000 91.825 151.5418
128.000000 91.783 151.6556
131.500000 91.626 152.1371
132.000000 91.598 152.2530
134.000000 91.505 152.7554
136.000000 91.435 153.0074
138.000000 91.346 153.1384
140.000000 91.255 153.3714
143.000000 91.158 153.8746
145.000000 91.110 154.1559
147.500000 91.021 154.4811
150.000000 90.908 154.9284
152.500000 90.822 155.2530
155.000000 90.761 155.4139
157.500000 90.713 155.7532
160.000000 90.663 156.1207
162.500000 90.582 156.5432
165.000000 90.529 157.2107
167.500000 90.516 157.8129
170.000000 90.497 158.1740
172.500000 90.460 158.4374
175.000000 90.419 158.6625
177.500000 90.342 158.9132
180.000000 90.239 159.3315
182.500000 90.161 159.8487
185.000000 90.115 160.1966
187.500000 90.061 160.4549
190.000000 89.989 160.7790
192.500000 89.925 161.1099
195.000000 89.884 161.5151
197.500000 89.877 162.0201
200.000000 89.878 162.3655
203.000000 89.839 162.5543
206.000000 89.793 162.8122
209.000000 89.752 163.2645
212.000000 89.708 163.8339
214.000000 89.679 164.1248
218.000000 89.643 164.5675
220.000000 89.625 164.7796
224.000000 89.580 165.1955
227.000000 89.551 165.5126
230.000000 89.528 165.9153
233.000000 89.501 166.3148
236.000000 89.476 166.5942
240.000000 89.456 166.9605
243.000000 89.422 167.3525
247.000000 89.366 168.0164
250.000000 89.335 168.3672
254.000000 89.310 168.7771
258.000000 89.290 169.1031
262.000000 89.268 169.3928
265.000000 89.246 169.7262
269.000000 89.202 170.2804
272.000000 89.169 170.6498
276.000000 89.146 171.0050
280.000000 89.139 171.2960
285.000000 89.121 172.0005
290.000000 89.098 172.6562
295.000000 89.097 173.2676
300.000000 89.078 173.4187
304.000000 89.064 173.7992
307.000000 89.067 174.1685
311.000000 89.081 174.5505
315.000000 89.091 174.9300
320.000000 89.103 175.4232
325.000000 89.104 175.6439
330.000000 89.082 175.8072
335.000000 89.090 176.0712
340.000000 89.097 176.3883
345.000000 89.067 176.6918
350.000000 89.022 176.9615
355.000000 88.988 177.1188
360.000000 88.962 177.3268
365.000000 88.943 177.6472
370.000000 88.925 177.9939
375.000000 88.907 178.3514
382.000000 88.888 178.8221
387.000000 88.859 179.1252
395.000000 88.829 179.6229
400.000000 88.826 179.8909
406.000000 88.808 -179.7764
412.000000 88.784 -179.3996
418.000000 88.759 -179.0832
425.000000 88.726 -178.7281
431.000000 88.700 -178.4072
437.000000 88.683 -178.0414
444.000000 88.655 -177.6781
450.000000 88.625 -177.3245
455.000000 88.602 -176.9902
462.000000 88.582 -176.5325
468.000000 88.568 -176.1843
475.000000 88.546 -175.8737
482.000000 88.523 -175.4373
487.000000 88.508 -175.0978
494.000000 88.473 -174.6988
500.000000 88.439 -174.3834
508.000000 88.393 -173.9727
515.000000 88.362 -173.5774
522.000000 88.344 -173.1788
530.000000 88.319 -172.6728
538.000000 88.277 -172.1561
545.000000 88.248 -171.6881
552.000000 88.221 -171.2089
560.000000 88.185 -170.6798
570.000000 88.172 -170.0619
580.000000 88.163 -169.4732
590.000000 88.133 -168.9030
600.000000 88.099 -168.3813
608.000000 88.074 -167.9218
615.000000 88.044 -167.5086
622.000000 88.002 -167.1338
630.000000 87.952 -166.7201
640.000000 87.906 -166.0960
650.000000 87.862 -165.3929
660.000000 87.815 -164.6894
670.000000 87.773 -163.9067
680.000000 87.744 -163.1616
690.000000 87.704 -162.4868
700.000000 87.660 -161.7285
710.000000 87.623 -160.8669
720.000000 87.592 -160.0945
730.000000 87.572 -159.4326
740.000000 87.538 -158.7640
750.000000 87.493 -158.0143
762.000000 87.452 -157.0134
775.000000 87.418 -155.8962
788.000000 87.388 -154.6770
800.000000 87.356 -153.5863
812.000000 87.342 -152.5241
825.000000 87.322 -151.2921
838.000000 87.296 -150.1039
850.000000 87.289 -149.0320
862.000000 87.290 -147.9042
875.000000 87.286 -146.6698
885.000000 87.288 -145.7331
900.000000 87.303 -144.3276
912.000000 87.325 -143.1518
925.000000 87.358 -141.9387
938.000000 87.392 -140.7953
950.000000 87.423 -139.7245
962.000000 87.454 -138.5734
975.000000 87.502 -137.3589
988.000000 87.557 -136.2434
1000.000000 87.606 -135.2557
1015.000000 87.660 -134.0483
1030.000000 87.721 -132.8253
1044.000000 87.789 -131.7316
1060.000000 87.879 -130.5575
1075.000000 87.963 -129.5312
1090.000000 88.048 -128.5105
1106.000000 88.141 -127.4458
1120.000000 88.224 -126.5777
1138.000000 88.326 -125.5026
1150.000000 88.392 -124.8409
1172.000000 88.512 -123.7329
1180.000000 88.556 -123.3240
1206.000000 88.703 -122.0263
1220.000000 88.783 -121.3448
1241.000000 88.905 -120.3893
1250.000000 88.961 -119.9939
1265.000000 89.057 -119.3362
1280.000000 89.147 -118.7158
1315.000000 89.308 -117.3190
1320.000000 89.329 -117.1178
1340.000000 89.413 -116.3042
1360.000000 89.494 -115.5245
1380.000000 89.580 -114.7343
1400.000000 89.675 -113.9213
1430.000000 89.813 -112.7428
1450.000000 89.905 -111.9774
1475.000000 90.018 -110.9835
1500.000000 90.123 -110.0080
1525.000000 90.223 -109.0187
1550.000000 90.324 -108.0158
1575.000000 90.424 -107.0191
1600.000000 90.523 -106.0377
1625.000000 90.621 -105.0515
1650.000000 90.717 -104.0469
1675.000000 90.819 -103.0681
1700.000000 90.921 -102.1016
1725.000000 91.018 -101.1362
1750.000000 91.122 -100.1851
1775.000000 91.228 -99.2564
1800.000000 91.334 -98.3216
1825.000000 91.440 -97.3992
1850.000000 91.548 -96.4916
1875.000000 91.656 -95.6059
1900.000000 91.768 -94.7426
1925.000000 91.884 -93.8624
1950.000000 92.003 -92.9822
1975.000000 92.125 -92.1241
2000.000000 92.252 -91.2847
2030.000000 92.404 -90.2840
2060.000000 92.555 -89.3054
2090.000000 92.710 -88.3714
2120.000000 92.872 -87.4641
2140.000000 92.981 -86.8674
2180.000000 93.205 -85.7331
2200.000000 93.319 -85.1908
2240.000000 93.555 -84.1451
2270.000000 93.733 -83.4030
2300.000000 93.911 -82.7164
2330.000000 94.091 -82.0757
2360.000000 94.272 -81.4774
2400.000000 94.517 -80.7872
2430.000000 94.701 -80.3250
2470.000000 94.947 -79.7647
2500.000000 95.129 -79.4148
2540.000000 95.371 -79.0550
2580.000000 95.608 -78.7953
2620.000000 95.838 -78.6298
2650.000000 96.005 -78.5739
2690.000000 96.219 -78.5773
2720.000000 96.374 -78.6216
2760.000000 96.571 -78.7638
2800.000000 96.757 -78.9807
2850.000000 96.969 -79.3224
2900.000000 97.157 -79.7605
2950.000000 97.323 -80.2637
3000.000000 97.464 -80.8113
3040.000000 97.557 -81.2785
3070.000000 97.616 -81.6382
3110.000000 97.680 -82.1190
3150.000000 97.727 -82.5891
3200.000000 97.762 -83.1553
3250.000000 97.765 -83.7063
3300.000000 97.735 -84.2024
3350.000000 97.685 -84.6341
3400.000000 97.628 -84.9930
3450.000000 97.566 -85.2632
3500.000000 97.503 -85.4597
3550.000000 97.433 -85.5832
3600.000000 97.347 -85.6271
3650.000000 97.242 -85.6097
3700.000000 97.116 -85.5424
3750.000000 96.979 -85.4339
3820.000000 96.786 -85.2265
3870.000000 96.661 -85.0581
3950.000000 96.512 -84.7742
4000.000000 96.435 -84.6036
4060.000000 96.352 -84.4146
4120.000000 96.265 -84.2400
4180.000000 96.161 -84.0548
4250.000000 96.005 -83.8044
4310.000000 95.839 -83.5250
4370.000000 95.644 -83.1596
4440.000000 95.382 -82.5570
4500.000000 95.135 -81.8520
4550.000000 94.918 -81.1215
4620.000000 94.610 -79.8621
4680.000000 94.353 -78.5837
4750.000000 94.070 -76.8963
4820.000000 93.815 -75.0434
4870.000000 93.650 -73.6633
4940.000000 93.441 -71.6867
5000.000000 93.282 -69.9986
5080.000000 93.097 -67.7986
5150.000000 92.961 -65.9373
