* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: 0.810. Timing signal peak level -21.2 dBFS, measurement signal peak level -16.6 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Feb 12, 2026 7:41:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0932 ms (-32 mm, -1.26 in) using estimated IR delay relative to Acoustic reference played from  R with no timing offset Clock adjustment: 1.6 ppm
* Measurement: Crinear Daybreak Stock R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 98.952 -169.7759
20.299999 98.959 -170.4801
20.600000 98.960 -171.1750
20.900000 98.955 -171.8380
21.200001 98.948 -172.4566
21.400000 98.943 -172.8444
21.799999 98.938 -173.5763
22.000000 98.937 -173.9304
22.400000 98.939 -174.6391
22.700001 98.942 -175.1842
23.000000 98.944 -175.7456
23.299999 98.944 -176.3195
23.600000 98.940 -176.8964
24.000000 98.927 -177.6472
24.299999 98.912 -178.1801
24.700001 98.890 -178.8372
25.000000 98.876 -179.2943
25.400000 98.865 -179.8810
25.799999 98.860 179.5213
26.200001 98.854 178.8893
26.500000 98.845 178.3999
26.900000 98.823 177.7612
27.200001 98.802 177.3198
27.600000 98.773 176.8018
28.000000 98.751 176.3466
28.500000 98.737 175.7806
29.000000 98.729 175.1282
29.500000 98.710 174.3941
30.000000 98.672 173.6743
30.400000 98.636 173.1647
30.700001 98.610 172.8222
31.100000 98.583 172.3884
31.500000 98.563 171.9363
32.000000 98.542 171.2989
32.500000 98.515 170.5883
33.000000 98.474 169.8703
33.500000 98.421 169.2380
34.000000 98.371 168.7534
34.500000 98.343 168.3769
35.000000 98.342 167.9637
35.500000 98.347 167.3998
36.000000 98.330 166.7461
36.500000 98.288 166.1938
37.000000 98.249 165.8394
37.500000 98.233 165.5580
38.200001 98.215 165.0064
38.700001 98.167 164.6399
39.500000 98.089 164.5547
40.000000 98.102 164.5360
40.599998 98.145 164.0059
41.200001 98.118 163.0363
41.799999 98.009 162.2149
42.500000 97.881 161.7094
43.099998 97.806 161.3011
43.700001 97.729 160.7820
44.400002 97.635 160.2846
45.000000 97.590 159.9196
45.500000 97.576 159.4801
46.200001 97.541 158.6390
46.799999 97.483 157.9474
47.500000 97.412 157.3501
48.200001 97.358 156.8677
48.700001 97.323 156.5332
49.400002 97.268 156.0984
50.000000 97.216 155.7863
50.799999 97.145 155.4460
51.500000 97.085 155.1902
52.200001 97.028 154.9474
53.000000 96.971 154.6239
53.799999 96.913 154.2007
54.500000 96.855 153.7885
55.200001 96.794 153.4014
56.000000 96.732 152.9935
57.000000 96.669 152.4708
58.000000 96.611 152.0222
59.000000 96.576 151.5482
60.000000 96.506 150.9209
60.799999 96.419 150.7643
61.500000 96.387 150.7805
62.200001 96.375 150.4648
63.000000 96.294 149.7975
64.000000 96.120 149.5108
65.000000 96.015 149.6032
66.000000 95.933 149.3645
67.000000 95.835 149.0453
68.000000 95.744 148.7155
69.000000 95.649 148.3937
70.000000 95.557 148.1932
71.000000 95.485 148.0545
72.000000 95.421 147.8366
73.000000 95.343 147.5857
74.000000 95.260 147.4022
75.000000 95.181 147.1979
76.199997 95.077 146.9099
77.500000 94.961 146.7023
78.800003 94.861 146.5473
80.000000 94.774 146.4033
81.199997 94.685 146.2836
82.500000 94.587 146.2164
83.800003 94.491 146.1352
85.000000 94.399 146.0043
86.199997 94.301 145.8744
87.500000 94.202 145.7608
88.500000 94.126 145.6624
90.000000 94.016 145.6062
91.199997 93.936 145.5917
92.500000 93.854 145.5706
93.800003 93.769 145.5074
95.000000 93.683 145.4583
96.199997 93.594 145.4466
97.500000 93.501 145.5154
98.800003 93.423 145.5923
100.000000 93.352 145.6393
101.500000 93.265 145.6818
103.000000 93.168 145.6927
104.400002 93.075 145.7714
106.000000 92.981 145.8444
107.500000 92.887 145.8806
109.000000 92.791 146.0167
110.599998 92.694 146.1905
112.000000 92.609 146.3326
113.800003 92.506 146.4643
115.000000 92.436 146.5389
117.199997 92.324 146.9471
118.000000 92.303 147.1285
120.599998 92.211 147.2164
122.000000 92.104 147.3896
124.099998 91.970 147.8055
125.000000 91.919 147.8958
126.500000 91.836 148.0244
128.000000 91.760 148.2117
131.500000 91.602 148.7158
132.000000 91.575 148.7882
134.000000 91.468 149.1331
136.000000 91.379 149.4981
138.000000 91.311 149.7460
140.000000 91.236 149.9504
143.000000 91.114 150.4377
145.000000 91.046 150.8426
147.500000 90.964 151.1455
150.000000 90.849 151.4830
152.500000 90.767 152.0147
155.000000 90.707 152.5388
157.500000 90.645 153.0279
160.000000 90.551 153.4966
162.500000 90.482 154.0243
165.000000 90.446 154.3437
167.500000 90.432 154.5519
170.000000 90.395 154.7290
172.500000 90.346 155.1850
175.000000 90.294 155.7272
177.500000 90.230 156.3570
180.000000 90.175 156.8452
182.500000 90.102 157.1533
185.000000 90.027 157.5847
187.500000 89.973 158.0424
190.000000 89.917 158.6224
192.500000 89.850 159.3182
195.000000 89.803 159.8380
197.500000 89.777 159.9714
200.000000 89.757 159.9811
203.000000 89.717 160.4962
206.000000 89.705 161.0504
209.000000 89.670 161.2173
212.000000 89.615 161.5765
214.000000 89.587 161.8673
218.000000 89.546 162.3070
220.000000 89.518 162.5451
224.000000 89.452 163.0822
227.000000 89.431 163.4493
230.000000 89.413 163.8336
233.000000 89.373 164.2907
236.000000 89.334 164.7229
240.000000 89.303 165.2225
243.000000 89.271 165.5841
247.000000 89.232 166.1304
250.000000 89.228 166.4552
254.000000 89.202 166.8036
258.000000 89.159 167.6247
262.000000 89.143 168.1766
265.000000 89.139 168.1390
269.000000 89.093 168.2813
272.000000 89.061 168.7682
276.000000 89.061 169.5532
280.000000 89.194 170.5428
285.000000 89.258 171.3531
290.000000 89.040 171.2452
295.000000 88.906 171.9853
300.000000 88.926 172.3856
304.000000 88.956 172.3845
307.000000 88.952 172.3957
311.000000 88.935 172.5181
315.000000 88.938 173.0262
320.000000 88.924 173.7880
325.000000 88.905 174.0228
330.000000 88.902 173.8984
335.000000 88.892 173.7567
340.000000 88.889 174.2231
345.000000 88.873 175.0807
350.000000 88.847 175.6704
355.000000 88.830 176.0717
360.000000 88.800 176.4085
365.000000 88.777 176.7153
370.000000 88.765 176.9874
375.000000 88.745 177.3184
382.000000 88.721 177.7941
387.000000 88.701 178.1044
395.000000 88.669 178.5717
400.000000 88.646 178.9059
406.000000 88.616 179.3387
412.000000 88.599 179.7082
418.000000 88.584 -179.9858
425.000000 88.555 -179.5559
431.000000 88.524 -179.1018
437.000000 88.499 -178.7163
444.000000 88.474 -178.4058
450.000000 88.455 -178.0492
455.000000 88.440 -177.7148
462.000000 88.397 -177.2989
468.000000 88.367 -176.9165
475.000000 88.343 -176.4944
482.000000 88.319 -176.0876
487.000000 88.296 -175.8145
494.000000 88.253 -175.4100
500.000000 88.221 -174.9810
508.000000 88.194 -174.3562
515.000000 88.179 -173.8271
522.000000 88.165 -173.2562
530.000000 88.152 -172.7528
538.000000 88.134 -172.2988
545.000000 88.118 -171.9013
552.000000 88.094 -171.5262
560.000000 88.056 -171.1718
570.000000 88.019 -170.6081
580.000000 87.986 -170.0103
590.000000 87.947 -169.4336
600.000000 87.898 -168.8677
608.000000 87.866 -168.3112
615.000000 87.837 -167.7876
622.000000 87.805 -167.3239
630.000000 87.773 -166.8084
640.000000 87.732 -166.0396
650.000000 87.690 -165.2894
660.000000 87.661 -164.5504
670.000000 87.634 -163.8022
680.000000 87.611 -163.1244
690.000000 87.593 -162.5289
700.000000 87.564 -162.0143
710.000000 87.529 -161.4192
720.000000 87.482 -160.7350
730.000000 87.426 -160.0424
740.000000 87.373 -159.3397
750.000000 87.320 -158.5448
762.000000 87.260 -157.5134
775.000000 87.209 -156.3453
788.000000 87.166 -155.1472
800.000000 87.131 -153.9676
812.000000 87.093 -152.7919
825.000000 87.065 -151.4992
838.000000 87.054 -150.1992
850.000000 87.046 -148.9656
862.000000 87.033 -147.7266
875.000000 87.023 -146.4419
885.000000 87.025 -145.4436
900.000000 87.042 -143.9116
912.000000 87.059 -142.7190
925.000000 87.083 -141.3951
938.000000 87.105 -140.0651
950.000000 87.130 -138.8861
962.000000 87.175 -137.7311
975.000000 87.232 -136.4900
988.000000 87.288 -135.2805
1000.000000 87.339 -134.1707
1015.000000 87.407 -132.8647
1030.000000 87.481 -131.6200
1044.000000 87.557 -130.4758
1060.000000 87.653 -129.2389
1075.000000 87.746 -128.1064
1090.000000 87.838 -127.0186
1106.000000 87.936 -125.9427
1120.000000 88.022 -125.0662
1138.000000 88.135 -124.0016
1150.000000 88.211 -123.2930
1172.000000 88.356 -122.0326
1180.000000 88.405 -121.5982
1206.000000 88.564 -120.2705
1220.000000 88.651 -119.6124
1241.000000 88.785 -118.6652
1250.000000 88.846 -118.2746
1265.000000 88.950 -117.6302
1280.000000 89.046 -116.9530
1315.000000 89.231 -115.4533
1320.000000 89.255 -115.2531
1340.000000 89.349 -114.4808
1360.000000 89.445 -113.7128
1380.000000 89.554 -112.9438
1400.000000 89.659 -112.1681
1430.000000 89.812 -111.0425
1450.000000 89.908 -110.2517
1475.000000 90.020 -109.2897
1500.000000 90.132 -108.3333
1525.000000 90.243 -107.3813
1550.000000 90.350 -106.4143
1575.000000 90.457 -105.4311
1600.000000 90.565 -104.4737
1625.000000 90.670 -103.5240
1650.000000 90.772 -102.5979
1675.000000 90.875 -101.6870
1700.000000 90.981 -100.7722
1725.000000 91.085 -99.8399
1750.000000 91.186 -98.9343
1775.000000 91.290 -98.0471
1800.000000 91.398 -97.1429
1825.000000 91.502 -96.2379
1850.000000 91.607 -95.3584
1875.000000 91.719 -94.4744
1900.000000 91.834 -93.5910
1925.000000 91.952 -92.7140
1950.000000 92.072 -91.8596
1975.000000 92.193 -91.0138
2000.000000 92.315 -90.1640
2030.000000 92.471 -89.1590
2060.000000 92.632 -88.2065
2090.000000 92.794 -87.2895
2120.000000 92.956 -86.4059
2140.000000 93.065 -85.8374
2180.000000 93.288 -84.7267
2200.000000 93.405 -84.2010
2240.000000 93.643 -83.1769
2270.000000 93.821 -82.4387
2300.000000 94.000 -81.7598
2330.000000 94.182 -81.1385
2360.000000 94.367 -80.5695
2400.000000 94.615 -79.8871
2430.000000 94.803 -79.4264
2470.000000 95.049 -78.9154
2500.000000 95.234 -78.6039
2540.000000 95.482 -78.2713
2580.000000 95.723 -78.0242
2620.000000 95.957 -77.8946
2650.000000 96.129 -77.8652
2690.000000 96.350 -77.9154
2720.000000 96.511 -78.0120
2760.000000 96.715 -78.2242
2800.000000 96.904 -78.5076
2850.000000 97.119 -78.9555
2900.000000 97.312 -79.5173
2950.000000 97.476 -80.1419
3000.000000 97.614 -80.8315
3040.000000 97.703 -81.4095
3070.000000 97.758 -81.8425
3110.000000 97.813 -82.4193
3150.000000 97.848 -82.9901
3200.000000 97.864 -83.6694
3250.000000 97.849 -84.3053
3300.000000 97.803 -84.8607
3350.000000 97.736 -85.3356
3400.000000 97.658 -85.7485
3450.000000 97.580 -86.0687
3500.000000 97.500 -86.2835
3550.000000 97.411 -86.4237
3600.000000 97.305 -86.4885
3650.000000 97.180 -86.4798
3700.000000 97.035 -86.4013
3750.000000 96.880 -86.2754
3820.000000 96.662 -86.0326
3870.000000 96.520 -85.8258
3950.000000 96.340 -85.4559
4000.000000 96.247 -85.2019
4060.000000 96.148 -84.9002
4120.000000 96.048 -84.6132
4180.000000 95.937 -84.3206
4250.000000 95.782 -83.9576
4310.000000 95.620 -83.6137
4370.000000 95.428 -83.2083
4440.000000 95.166 -82.6124
4500.000000 94.920 -81.9572
4550.000000 94.702 -81.2779
4620.000000 94.386 -80.1042
4680.000000 94.114 -78.9069
4750.000000 93.807 -77.2968
4820.000000 93.517 -75.4887
4870.000000 93.324 -74.1069
4940.000000 93.073 -72.0869
5000.000000 92.880 -70.3041
5080.000000 92.656 -67.9338
5150.000000 92.487 -65.8996
5220.000000 92.342 -63.9146
