* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, , 0, volume: 0.138. Timing signal peak level -36.2 dBFS, measurement signal peak level -30.0 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Nov 21, 2025 11:42:35 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ALL USING SOFTEARS UC MEDIUM; Delay -0.0828 ms (-28 mm, -1.12 in) using estimated IR delay relative to Acoustic reference played from  R with no timing offset Clock adjustment: 1.3 ppm
* Measurement: R Crinear Daybreak Nov 21
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 86.036 -128.0993
20.299999 86.061 -129.1805
20.600000 86.084 -130.1576
20.900000 86.110 -131.0353
21.200001 86.147 -131.8459
21.400000 86.178 -132.3790
21.799999 86.252 -133.4754
22.000000 86.291 -134.0567
22.400000 86.366 -135.2926
22.700001 86.413 -136.2576
23.000000 86.450 -137.2196
23.299999 86.479 -138.1535
23.600000 86.502 -139.0480
24.000000 86.528 -140.1757
24.299999 86.546 -140.9781
24.700001 86.570 -141.9996
25.000000 86.591 -142.7394
25.400000 86.622 -143.7119
25.799999 86.656 -144.7009
26.200001 86.687 -145.7278
26.500000 86.706 -146.5137
26.900000 86.720 -147.5485
27.200001 86.725 -148.2874
27.600000 86.729 -149.2063
28.000000 86.737 -150.0708
28.500000 86.753 -151.1410
29.000000 86.768 -152.2330
29.500000 86.776 -153.3041
30.000000 86.781 -154.3145
30.400000 86.788 -155.1020
30.700001 86.795 -155.7042
31.100000 86.800 -156.5310
31.500000 86.796 -157.3574
32.000000 86.780 -158.3172
32.500000 86.765 -159.1645
33.000000 86.762 -159.9734
33.500000 86.766 -160.8389
34.000000 86.762 -161.7647
34.500000 86.745 -162.6619
35.000000 86.723 -163.4680
35.500000 86.711 -164.2147
36.000000 86.707 -164.9824
36.500000 86.704 -165.8052
37.000000 86.693 -166.6511
37.500000 86.671 -167.4678
38.200001 86.633 -168.4894
38.700001 86.611 -169.1202
39.500000 86.598 -170.1135
40.000000 86.592 -170.8350
40.599998 86.561 -171.7339
41.200001 86.515 -172.4633
41.799999 86.491 -173.0712
42.500000 86.484 -173.9836
43.099998 86.447 -174.9080
43.700001 86.389 -175.6445
44.400002 86.350 -176.3365
45.000000 86.330 -177.0654
45.500000 86.296 -177.6493
46.200001 86.266 -178.1719
46.799999 86.303 -178.7177
47.500000 86.323 -179.9886
48.200001 86.212 178.8381
48.700001 86.113 178.5789
49.400002 86.071 178.5588
50.000000 86.076 178.1196
50.799999 85.996 177.3209
51.500000 85.918 177.0420
52.200001 85.891 176.5776
53.000000 85.808 175.6996
53.799999 85.724 175.2172
54.500000 85.716 174.5002
55.200001 85.645 173.4825
56.000000 85.566 173.1286
57.000000 85.642 172.0469
58.000000 85.485 171.4376
59.000000 85.806 172.1396
60.000000 85.931 167.6136
60.799999 85.333 166.3985
61.500000 85.112 168.7502
62.200001 85.272 169.4250
63.000000 85.222 168.3093
64.000000 85.041 168.4515
65.000000 85.004 167.8254
66.000000 84.855 167.2158
67.000000 84.797 166.7466
68.000000 84.714 166.0447
69.000000 84.648 165.6494
70.000000 84.600 165.1799
71.000000 84.514 164.7458
72.000000 84.432 164.6644
73.000000 84.392 164.3269
74.000000 84.294 163.8217
75.000000 84.207 163.5482
76.199997 84.118 163.0152
77.500000 84.021 162.5879
78.800003 83.944 162.0432
80.000000 83.851 161.6873
81.199997 83.758 161.3661
82.500000 83.664 161.3204
83.800003 83.589 160.8141
85.000000 83.463 160.5989
86.199997 83.386 160.3434
87.500000 83.303 159.9711
88.500000 83.225 159.5522
90.000000 83.137 159.5481
91.199997 83.065 159.2954
92.500000 83.053 159.3101
93.800003 82.797 159.0526
95.000000 82.833 160.6979
96.199997 82.838 159.4668
97.500000 82.691 159.4560
98.800003 82.571 158.6898
100.000000 82.462 158.8438
101.500000 82.495 158.6854
103.000000 82.347 156.7402
104.400002 82.014 158.1017
106.000000 82.011 158.9549
107.500000 82.115 158.8129
109.000000 81.938 157.5221
110.599998 81.717 157.2542
112.000000 81.547 158.0502
113.800003 81.509 158.9306
115.000000 81.462 158.8449
117.199997 81.389 157.6050
118.000000 81.313 158.4595
120.599998 80.954 157.4181
122.000000 80.949 159.1464
124.099998 80.959 159.2731
125.000000 80.872 161.7609
126.500000 81.009 160.1422
128.000000 81.048 162.3065
131.500000 81.172 160.9085
132.000000 80.901 160.4731
134.000000 80.782 162.9861
136.000000 80.937 162.3936
138.000000 80.764 162.1971
140.000000 80.559 162.1298
143.000000 81.023 162.2819
145.000000 80.757 157.1019
147.500000 80.702 161.8968
150.000000 80.411 162.8079
152.500000 80.367 162.1287
155.000000 80.389 161.5062
157.500000 80.391 162.7941
160.000000 80.265 163.1517
162.500000 80.186 163.1178
165.000000 80.135 163.4753
167.500000 79.993 164.5219
170.000000 79.902 163.7430
172.500000 79.912 163.4632
175.000000 79.958 164.6783
177.500000 79.862 166.6349
180.000000 79.115 175.1308
182.500000 79.440 166.2427
185.000000 79.540 165.1139
187.500000 79.639 165.2808
190.000000 79.597 165.7703
192.500000 79.511 165.9527
195.000000 79.486 165.8650
197.500000 79.487 166.4395
200.000000 79.412 166.8237
203.000000 79.367 166.8762
206.000000 79.344 167.3118
209.000000 79.275 167.6738
212.000000 79.227 167.8887
214.000000 79.216 168.0783
218.000000 79.192 168.4643
220.000000 79.160 168.6859
224.000000 79.109 169.1648
227.000000 79.092 169.4641
230.000000 79.067 169.5787
233.000000 79.024 169.9320
236.000000 78.982 170.2744
240.000000 78.696 168.8834
243.000000 78.881 170.5880
247.000000 78.911 171.2937
250.000000 78.847 171.6189
254.000000 78.829 171.9637
258.000000 78.760 172.2683
262.000000 78.744 172.6920
265.000000 78.716 173.0825
269.000000 78.661 173.5779
272.000000 78.657 173.9645
276.000000 78.651 174.4817
280.000000 78.621 175.3418
285.000000 78.678 176.2043
290.000000 78.718 176.7479
295.000000 78.837 177.2847
300.000000 78.150 179.0455
304.000000 78.907 176.4582
307.000000 78.922 176.5132
311.000000 78.857 176.8398
315.000000 78.867 176.5524
320.000000 78.830 176.7574
325.000000 78.806 176.7193
330.000000 78.776 176.9502
335.000000 78.760 177.2706
340.000000 78.741 177.4261
345.000000 78.691 177.6163
350.000000 78.665 177.8871
355.000000 78.665 177.9297
360.000000 78.845 178.5106
365.000000 78.601 178.6157
370.000000 78.597 178.6128
375.000000 78.546 178.9401
382.000000 78.537 179.2225
387.000000 78.506 179.3597
395.000000 78.468 179.7675
400.000000 78.450 179.9343
406.000000 78.435 -179.6771
412.000000 78.408 -179.5245
418.000000 78.361 -178.9739
425.000000 78.343 -179.0107
431.000000 78.323 -178.6365
437.000000 78.328 -178.3192
444.000000 78.291 -178.1141
450.000000 78.265 -177.6859
455.000000 78.252 -177.7343
462.000000 78.214 -177.3045
468.000000 78.192 -177.0264
475.000000 78.168 -176.8645
482.000000 78.154 -176.3881
487.000000 78.125 -176.1508
494.000000 78.101 -175.7831
500.000000 78.074 -175.6467
508.000000 78.045 -175.3953
515.000000 77.994 -175.0660
522.000000 77.975 -174.7104
530.000000 77.953 -174.5352
538.000000 77.849 -174.3849
545.000000 77.951 -173.7568
552.000000 77.845 -173.4902
560.000000 77.816 -172.9958
570.000000 77.793 -172.5413
580.000000 77.732 -172.2388
590.000000 77.679 -171.7719
600.000000 77.877 -170.8899
608.000000 77.630 -170.7800
615.000000 77.597 -170.4595
622.000000 77.567 -170.0464
630.000000 77.532 -169.6911
640.000000 77.491 -169.1703
650.000000 77.449 -168.6161
660.000000 76.819 -166.9299
670.000000 77.368 -167.3614
680.000000 77.338 -166.8660
690.000000 77.312 -166.5418
700.000000 77.286 -165.7964
710.000000 77.251 -165.2972
720.000000 77.473 -164.2461
730.000000 77.201 -164.3726
740.000000 77.180 -163.8288
750.000000 77.128 -163.3398
762.000000 77.059 -162.9991
775.000000 77.039 -162.2119
788.000000 76.950 -161.5699
800.000000 76.894 -160.7267
812.000000 76.835 -159.8389
825.000000 76.797 -159.0505
838.000000 76.752 -157.7762
850.000000 76.719 -157.1924
862.000000 76.663 -156.3965
875.000000 76.626 -155.4601
885.000000 76.630 -154.6091
900.000000 76.657 -149.1066
912.000000 76.546 -152.4685
925.000000 76.533 -151.5422
938.000000 76.520 -150.6381
950.000000 76.535 -149.7578
962.000000 76.529 -148.8066
975.000000 76.507 -147.8912
988.000000 76.535 -146.8724
1000.000000 76.539 -145.9055
1015.000000 76.572 -144.9983
1030.000000 76.567 -143.8396
1044.000000 76.557 -142.6080
1060.000000 76.606 -141.4467
1075.000000 76.614 -140.3944
1090.000000 76.642 -139.3684
1106.000000 76.679 -138.2781
1120.000000 76.708 -137.4021
1138.000000 76.773 -136.0703
1150.000000 76.777 -135.3438
1172.000000 76.854 -134.0550
1180.000000 76.855 -133.2437
1206.000000 76.957 -131.8501
1220.000000 76.999 -130.8386
1241.000000 77.062 -129.5853
1250.000000 77.125 -129.1692
1265.000000 77.211 -128.2673
1280.000000 77.194 -127.2751
1315.000000 77.321 -125.3682
1320.000000 77.333 -125.1070
1340.000000 77.435 -123.9875
1360.000000 77.483 -122.8093
1380.000000 77.773 -125.5757
1400.000000 77.641 -120.8221
1430.000000 77.778 -119.1844
1450.000000 77.849 -118.1313
1475.000000 77.962 -116.8570
1500.000000 78.307 -115.2605
1525.000000 78.190 -114.4574
1550.000000 78.286 -113.2509
1575.000000 78.399 -112.2950
1600.000000 78.527 -111.1783
1625.000000 78.609 -110.1213
1650.000000 78.756 -108.9681
1675.000000 78.882 -107.8956
1700.000000 78.968 -106.8645
1725.000000 79.099 -105.9033
1750.000000 79.218 -105.0642
1775.000000 79.348 -103.9504
1800.000000 79.327 -103.7092
1825.000000 79.565 -102.1273
1850.000000 79.683 -101.1997
1875.000000 79.795 -100.3628
1900.000000 79.936 -99.3604
1925.000000 80.029 -98.5581
1950.000000 80.170 -97.7484
1975.000000 80.293 -96.7939
2000.000000 80.407 -96.0111
2030.000000 80.570 -95.0686
2060.000000 80.719 -94.1123
2090.000000 80.875 -93.2517
2120.000000 81.040 -92.2861
2140.000000 81.154 -91.8198
2180.000000 81.388 -90.6362
2200.000000 81.488 -90.2254
2240.000000 81.713 -89.1484
2270.000000 81.888 -88.4390
2300.000000 82.083 -87.8065
2330.000000 82.216 -87.2344
2360.000000 82.404 -86.5847
2400.000000 82.590 -86.5760
2430.000000 82.821 -85.4238
2470.000000 83.040 -84.8480
2500.000000 83.198 -84.4924
2540.000000 83.431 -84.0594
2580.000000 83.677 -82.9644
2620.000000 83.877 -83.4323
2650.000000 84.034 -83.2282
2690.000000 84.255 -82.9495
2720.000000 84.441 -82.9609
2760.000000 84.638 -83.6625
2800.000000 84.850 -83.0616
2850.000000 85.130 -83.3144
2900.000000 85.368 -83.8206
2950.000000 85.601 -84.5429
3000.000000 85.776 -85.7295
3040.000000 85.905 -86.1638
3070.000000 85.992 -86.7933
3110.000000 86.074 -87.5539
3150.000000 86.142 -88.3896
3200.000000 86.188 -89.3945
3250.000000 86.220 -90.3027
3300.000000 86.234 -92.0162
3350.000000 86.181 -92.0999
3400.000000 86.130 -92.8268
3450.000000 86.065 -93.4346
3500.000000 85.981 -93.9515
3550.000000 85.881 -94.3590
3600.000000 85.846 -94.3260
3650.000000 85.691 -94.8978
3700.000000 85.588 -94.9628
3750.000000 85.490 -95.0638
3820.000000 85.339 -95.0847
3870.000000 85.239 -95.1075
3950.000000 85.079 -95.0822
4000.000000 84.962 -95.0403
4060.000000 84.821 -95.0223
4120.000000 84.649 -95.0366
4180.000000 84.471 -94.9727
4250.000000 84.253 -94.8087
4310.000000 84.050 -94.6041
4370.000000 83.805 -94.3074
4440.000000 83.438 -93.5754
4500.000000 83.252 -92.7167
4550.000000 83.022 -92.5418
4620.000000 82.657 -91.5760
4680.000000 82.364 -90.2168
4750.000000 82.150 -88.5330
4820.000000 81.889 -86.7252
4870.000000 81.719 -85.3949
4940.000000 81.493 -83.3223
