* Measurement data measured by REW V5.31.3
* Source: Scarlett Solo USB, Scarlett Solo USB , L, volume: no control. Timing signal peak level -21.5 dBFS, measurement signal peak level -15.6 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Dec 30, 2025 3:11:58 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0429 ms (-15 mm, -0.58 in) using estimated IR delay relative to Acoustic reference played from Qudelix-5K L with no timing offset Clock adjustment: 26.8 ppm
* Measurement: DUNU x Koto Ito Candy L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 100.632 -150.1361
20.299999 100.645 -151.0096
20.600000 100.656 -151.8644
20.900000 100.667 -152.7038
21.200001 100.676 -153.5298
21.400000 100.680 -154.0734
21.799999 100.688 -155.1429
22.000000 100.690 -155.6683
22.400000 100.692 -156.7006
22.700001 100.693 -157.4596
23.000000 100.692 -158.2074
23.299999 100.690 -158.9453
23.600000 100.687 -159.6745
24.000000 100.682 -160.6331
24.299999 100.677 -161.3412
24.700001 100.670 -162.2689
25.000000 100.663 -162.9507
25.400000 100.654 -163.8385
25.799999 100.645 -164.7013
26.200001 100.638 -165.5410
26.500000 100.633 -166.1585
26.900000 100.628 -166.9702
27.200001 100.625 -167.5725
27.600000 100.621 -168.3682
28.000000 100.616 -169.1547
28.500000 100.609 -170.1222
29.000000 100.599 -171.0701
29.500000 100.586 -171.9964
30.000000 100.571 -172.8982
30.400000 100.557 -173.6002
30.700001 100.545 -174.1152
31.100000 100.530 -174.7881
31.500000 100.513 -175.4476
32.000000 100.492 -176.2587
32.500000 100.471 -177.0596
33.000000 100.448 -177.8508
33.500000 100.424 -178.6288
34.000000 100.398 -179.3897
34.500000 100.373 179.8671
35.000000 100.347 179.1395
35.500000 100.321 178.4266
36.000000 100.295 177.7297
36.500000 100.268 177.0502
37.000000 100.241 176.3875
37.500000 100.213 175.7405
38.200001 100.174 174.8605
38.700001 100.145 174.2502
39.500000 100.099 173.3004
40.000000 100.070 172.7194
40.599998 100.034 172.0341
41.200001 99.997 171.3642
41.799999 99.960 170.7105
42.500000 99.918 169.9640
43.099998 99.882 169.3334
43.700001 99.845 168.7112
44.400002 99.802 168.0001
45.000000 99.764 167.4066
45.500000 99.732 166.9236
46.200001 99.687 166.2636
46.799999 99.649 165.7097
47.500000 99.604 165.0750
48.200001 99.559 164.4548
48.700001 99.526 164.0202
49.400002 99.480 163.4193
50.000000 99.440 162.9095
50.799999 99.385 162.2433
51.500000 99.336 161.6759
52.200001 99.287 161.1205
53.000000 99.231 160.4997
53.799999 99.174 159.8954
54.500000 99.124 159.3780
55.200001 99.073 158.8708
56.000000 99.014 158.3067
57.000000 98.941 157.6240
58.000000 98.868 156.9592
59.000000 98.795 156.3093
60.000000 98.721 155.6772
60.799999 98.662 155.1866
61.500000 98.610 154.7658
62.200001 98.558 154.3513
63.000000 98.499 153.8867
64.000000 98.424 153.3212
65.000000 98.349 152.7706
66.000000 98.274 152.2343
67.000000 98.198 151.7140
68.000000 98.122 151.2097
69.000000 98.045 150.7217
70.000000 97.969 150.2498
71.000000 97.893 149.7918
72.000000 97.818 149.3459
73.000000 97.743 148.9107
74.000000 97.668 148.4843
75.000000 97.594 148.0638
76.199997 97.505 147.5668
77.500000 97.408 147.0436
78.800003 97.310 146.5385
80.000000 97.220 146.0889
81.199997 97.130 145.6557
82.500000 97.032 145.2018
83.800003 96.934 144.7634
85.000000 96.844 144.3758
86.199997 96.755 144.0030
87.500000 96.659 143.6057
88.500000 96.586 143.3033
90.000000 96.474 142.8644
91.199997 96.385 142.5282
92.500000 96.288 142.1790
93.800003 96.192 141.8452
95.000000 96.104 141.5483
96.199997 96.017 141.2595
97.500000 95.922 140.9552
98.800003 95.826 140.6635
100.000000 95.739 140.4064
101.500000 95.630 140.1000
103.000000 95.521 139.8076
104.400002 95.421 139.5468
106.000000 95.306 139.2627
107.500000 95.199 139.0091
109.000000 95.093 138.7677
110.599998 94.980 138.5253
112.000000 94.881 138.3244
113.800003 94.755 138.0817
115.000000 94.671 137.9296
117.199997 94.519 137.6693
118.000000 94.464 137.5799
120.599998 94.285 137.3094
122.000000 94.189 137.1787
124.099998 94.045 137.0011
125.000000 93.984 136.9313
126.500000 93.883 136.8228
128.000000 93.781 136.7238
131.500000 93.545 136.5327
132.000000 93.511 136.5101
134.000000 93.376 136.4311
136.000000 93.239 136.3723
138.000000 93.102 136.3422
140.000000 92.963 136.3497
143.000000 92.754 136.4535
145.000000 92.615 136.6065
147.500000 92.447 136.9222
150.000000 92.299 137.3752
152.500000 92.184 137.8843
155.000000 92.099 138.3105
157.500000 92.033 138.5604
160.000000 91.966 138.6385
162.500000 91.888 138.6267
165.000000 91.799 138.6059
167.500000 91.705 138.5659
170.000000 91.603 138.5026
172.500000 91.493 138.4688
175.000000 91.379 138.4939
177.500000 91.266 138.5596
180.000000 91.155 138.6417
182.500000 91.048 138.7303
185.000000 90.942 138.8239
187.500000 90.836 138.9240
190.000000 90.729 139.0324
192.500000 90.621 139.1578
195.000000 90.514 139.3040
197.500000 90.409 139.4699
200.000000 90.304 139.6551
203.000000 90.180 139.9029
206.000000 90.058 140.1845
209.000000 89.942 140.5069
212.000000 89.835 140.8438
214.000000 89.768 141.0490
218.000000 89.634 141.4116
220.000000 89.566 141.5941
224.000000 89.431 141.9858
227.000000 89.331 142.2984
230.000000 89.234 142.6250
233.000000 89.138 142.9626
236.000000 89.045 143.3075
240.000000 88.926 143.7802
243.000000 88.839 144.1444
247.000000 88.727 144.6378
250.000000 88.645 145.0120
254.000000 88.539 145.5199
258.000000 88.437 146.0347
262.000000 88.339 146.5512
265.000000 88.268 146.9429
269.000000 88.175 147.4713
272.000000 88.107 147.8704
276.000000 88.020 148.4049
280.000000 87.937 148.9417
285.000000 87.836 149.6143
290.000000 87.740 150.2876
295.000000 87.648 150.9650
300.000000 87.561 151.6412
304.000000 87.494 152.1793
307.000000 87.446 152.5834
311.000000 87.383 153.1213
315.000000 87.323 153.6553
320.000000 87.251 154.3210
325.000000 87.183 154.9867
330.000000 87.118 155.6525
335.000000 87.057 156.3188
340.000000 86.999 156.9828
345.000000 86.944 157.6411
350.000000 86.892 158.2924
355.000000 86.844 158.9336
360.000000 86.798 159.5664
365.000000 86.754 160.1952
370.000000 86.713 160.8223
375.000000 86.675 161.4511
382.000000 86.627 162.3293
387.000000 86.596 162.9470
395.000000 86.553 163.9060
400.000000 86.528 164.4855
406.000000 86.500 165.1645
412.000000 86.474 165.8309
418.000000 86.450 166.4861
425.000000 86.423 167.2383
431.000000 86.402 167.8739
437.000000 86.382 168.4985
444.000000 86.362 169.2212
450.000000 86.347 169.8370
455.000000 86.335 170.3450
462.000000 86.321 171.0434
468.000000 86.311 171.6259
475.000000 86.301 172.2871
482.000000 86.292 172.9310
487.000000 86.286 173.3827
494.000000 86.277 174.0045
500.000000 86.270 174.5288
508.000000 86.261 175.2225
515.000000 86.252 175.8281
522.000000 86.244 176.4337
530.000000 86.236 177.1267
538.000000 86.230 177.8222
545.000000 86.227 178.4300
552.000000 86.225 179.0343
560.000000 86.226 179.7212
570.000000 86.231 -179.4339
580.000000 86.239 -178.6061
590.000000 86.250 -177.8024
600.000000 86.262 -177.0184
608.000000 86.273 -176.4015
615.000000 86.283 -175.8703
622.000000 86.292 -175.3465
630.000000 86.304 -174.7558
640.000000 86.319 -174.0243
650.000000 86.335 -173.2955
660.000000 86.352 -172.5708
670.000000 86.369 -171.8534
680.000000 86.388 -171.1404
690.000000 86.408 -170.4293
700.000000 86.429 -169.7189
710.000000 86.451 -169.0093
720.000000 86.475 -168.3018
730.000000 86.500 -167.5959
740.000000 86.527 -166.8927
750.000000 86.555 -166.1910
762.000000 86.591 -165.3516
775.000000 86.633 -164.4473
788.000000 86.679 -163.5431
800.000000 86.723 -162.7107
812.000000 86.771 -161.8867
825.000000 86.826 -161.0070
838.000000 86.884 -160.1372
850.000000 86.940 -159.3474
862.000000 87.000 -158.5693
875.000000 87.068 -157.7345
885.000000 87.124 -157.1015
900.000000 87.212 -156.1686
912.000000 87.286 -155.4398
925.000000 87.369 -154.6729
938.000000 87.456 -153.9317
950.000000 87.539 -153.2670
962.000000 87.626 -152.6250
975.000000 87.721 -151.9579
988.000000 87.820 -151.3196
1000.000000 87.913 -150.7584
1015.000000 88.031 -150.0938
1030.000000 88.151 -149.4700
1044.000000 88.264 -148.9298
1060.000000 88.393 -148.3621
1075.000000 88.514 -147.8760
1090.000000 88.635 -147.4320
1106.000000 88.763 -147.0011
1120.000000 88.873 -146.6592
1138.000000 89.012 -146.2618
1150.000000 89.103 -146.0222
1172.000000 89.266 -145.6346
1180.000000 89.323 -145.5062
1206.000000 89.505 -145.1354
1220.000000 89.598 -144.9605
1241.000000 89.734 -144.7212
1250.000000 89.790 -144.6281
1265.000000 89.881 -144.4851
1280.000000 89.970 -144.3526
1315.000000 90.164 -144.0747
1320.000000 90.191 -144.0373
1340.000000 90.295 -143.8919
1360.000000 90.394 -143.7582
1380.000000 90.488 -143.6327
1400.000000 90.579 -143.5108
1430.000000 90.709 -143.3303
1450.000000 90.792 -143.2015
1475.000000 90.892 -143.0320
1500.000000 90.989 -142.8452
1525.000000 91.084 -142.6433
1550.000000 91.177 -142.4298
1575.000000 91.270 -142.2002
1600.000000 91.362 -141.9568
1625.000000 91.455 -141.7013
1650.000000 91.550 -141.4283
1675.000000 91.647 -141.1428
1700.000000 91.746 -140.8457
1725.000000 91.848 -140.5274
1750.000000 91.953 -140.1907
1775.000000 92.061 -139.8419
1800.000000 92.174 -139.4868
1825.000000 92.290 -139.1300
1850.000000 92.412 -138.7760
1875.000000 92.539 -138.4332
1900.000000 92.671 -138.1128
1925.000000 92.808 -137.8229
1950.000000 92.948 -137.5632
1975.000000 93.090 -137.3323
2000.000000 93.233 -137.1253
2030.000000 93.408 -136.9073
2060.000000 93.587 -136.7253
2090.000000 93.770 -136.5848
2120.000000 93.957 -136.4943
2140.000000 94.083 -136.4653
2180.000000 94.341 -136.4884
2200.000000 94.472 -136.5453
2240.000000 94.735 -136.7564
2270.000000 94.932 -137.0017
2300.000000 95.127 -137.3289
2330.000000 95.319 -137.7392
2360.000000 95.505 -138.2268
2400.000000 95.742 -138.9915
2430.000000 95.910 -139.6406
2470.000000 96.119 -140.5767
2500.000000 96.264 -141.3118
2540.000000 96.444 -142.3099
2580.000000 96.612 -143.3092
2620.000000 96.774 -144.3175
2650.000000 96.895 -145.0958
2690.000000 97.057 -146.1837
2720.000000 97.178 -147.0493
2760.000000 97.337 -148.2947
2800.000000 97.489 -149.6683
2850.000000 97.664 -151.5711
2900.000000 97.813 -153.6602
2950.000000 97.928 -155.9073
3000.000000 98.003 -158.2663
3040.000000 98.032 -160.2000
3070.000000 98.034 -161.6544
3110.000000 98.010 -163.5775
3150.000000 97.958 -165.4538
3200.000000 97.854 -167.6839
3250.000000 97.711 -169.7409
3300.000000 97.534 -171.5922
3350.000000 97.329 -173.2120
3400.000000 97.103 -174.5781
3450.000000 96.865 -175.6854
3500.000000 96.621 -176.5443
3550.000000 96.378 -177.1750
3600.000000 96.139 -177.6087
3650.000000 95.903 -177.8745
3700.000000 95.673 -177.9848
3750.000000 95.449 -177.9397
3820.000000 95.149 -177.6268
3870.000000 94.948 -177.2442
3950.000000 94.652 -176.3965
4000.000000 94.485 -175.7466
4060.000000 94.303 -174.8698
4120.000000 94.142 -173.9024
4180.000000 94.003 -172.8690
4250.000000 93.868 -171.6075
4310.000000 93.776 -170.5083
4370.000000 93.705 -169.4110
4440.000000 93.644 -168.1535
4500.000000 93.611 -167.0981
4550.000000 93.597 -166.2367
4620.000000 93.597 -165.0645
4680.000000 93.616 -164.1059
4750.000000 93.660 -163.0530
4820.000000 93.731 -162.0898
4870.000000 93.797 -161.4743
4940.000000 93.913 -160.7400
5000.000000 94.032 -160.2586
5080.000000 94.218 -159.8868
5150.000000 94.402 -159.8662
5220.000000 94.600 -160.2006
