* Measurement data measured by REW V5.31.3
* Source: Scarlett Solo USB, Scarlett Solo USB , L, volume: no control. Timing signal peak level -22.3 dBFS, measurement signal peak level -15.7 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Dec 30, 2025 3:13:27 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay 0.0425 ms (15 mm, 0.57 in) using estimated IR delay relative to Acoustic reference played from Qudelix-5K R with no timing offset Clock adjustment: -327.2 ppm
* Measurement: DUNU x Koto Ito Candy R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 100.533 -151.3092
20.299999 100.544 -152.2148
20.600000 100.555 -153.1021
20.900000 100.564 -153.9726
21.200001 100.571 -154.8271
21.400000 100.575 -155.3880
21.799999 100.580 -156.4887
22.000000 100.582 -157.0290
22.400000 100.584 -158.0916
22.700001 100.584 -158.8752
23.000000 100.583 -159.6490
23.299999 100.581 -160.4135
23.600000 100.578 -161.1683
24.000000 100.573 -162.1591
24.299999 100.568 -162.8904
24.700001 100.561 -163.8520
25.000000 100.556 -164.5643
25.400000 100.548 -165.5033
25.799999 100.540 -166.4284
26.200001 100.530 -167.3367
26.500000 100.523 -168.0053
26.900000 100.512 -168.8790
27.200001 100.504 -169.5208
27.600000 100.493 -170.3592
28.000000 100.481 -171.1784
28.500000 100.466 -172.1770
29.000000 100.450 -173.1496
29.500000 100.432 -174.0975
30.000000 100.413 -175.0216
30.400000 100.397 -175.7446
30.700001 100.384 -176.2783
31.100000 100.365 -176.9793
31.500000 100.346 -177.6692
32.000000 100.321 -178.5161
32.500000 100.294 -179.3459
33.000000 100.267 179.8405
33.500000 100.239 179.0423
34.000000 100.211 178.2590
34.500000 100.183 177.4907
35.000000 100.155 176.7371
35.500000 100.127 175.9981
36.000000 100.099 175.2738
36.500000 100.070 174.5639
37.000000 100.041 173.8683
37.500000 100.011 173.1874
38.200001 99.967 172.2616
38.700001 99.935 171.6201
39.500000 99.883 170.6231
40.000000 99.850 170.0154
40.599998 99.809 169.3002
41.200001 99.768 168.5998
41.799999 99.726 167.9127
42.500000 99.677 167.1259
43.099998 99.635 166.4642
43.700001 99.593 165.8151
44.400002 99.543 165.0727
45.000000 99.501 164.4479
45.500000 99.464 163.9363
46.200001 99.413 163.2382
46.799999 99.368 162.6578
47.500000 99.316 161.9993
48.200001 99.263 161.3575
48.700001 99.226 160.9076
49.400002 99.172 160.2882
50.000000 99.126 159.7679
50.799999 99.064 159.0904
51.500000 99.011 158.5097
52.200001 98.957 157.9373
53.000000 98.895 157.2946
53.799999 98.832 156.6671
54.500000 98.777 156.1310
55.200001 98.721 155.6075
56.000000 98.658 155.0232
57.000000 98.578 154.3115
58.000000 98.497 153.6203
59.000000 98.415 152.9472
60.000000 98.332 152.2953
60.799999 98.266 151.7914
61.500000 98.208 151.3604
62.200001 98.151 150.9365
63.000000 98.086 150.4604
64.000000 98.005 149.8768
65.000000 97.925 149.3036
66.000000 97.843 148.7410
67.000000 97.760 148.1906
68.000000 97.677 147.6548
69.000000 97.592 147.1367
70.000000 97.506 146.6359
71.000000 97.420 146.1516
72.000000 97.335 145.6818
73.000000 97.250 145.2251
74.000000 97.165 144.7819
75.000000 97.080 144.3515
76.199997 96.977 143.8544
77.500000 96.866 143.3469
78.800003 96.755 142.8757
80.000000 96.655 142.4664
81.199997 96.557 142.0706
82.500000 96.455 141.6437
83.800003 96.354 141.2050
85.000000 96.260 140.7908
86.199997 96.164 140.3779
87.500000 96.058 139.9431
88.500000 95.975 139.6221
90.000000 95.848 139.1669
91.199997 95.744 138.8255
92.500000 95.631 138.4756
93.800003 95.518 138.1426
95.000000 95.413 137.8485
96.199997 95.307 137.5669
97.500000 95.191 137.2730
98.800003 95.073 137.0020
100.000000 94.961 136.7826
101.500000 94.820 136.5555
103.000000 94.676 136.3841
104.400002 94.539 136.2832
106.000000 94.381 136.2531
107.500000 94.234 136.3252
109.000000 94.090 136.5193
110.599998 93.949 136.8869
112.000000 93.846 137.3449
113.800003 93.760 138.0500
115.000000 93.740 138.5030
117.199997 93.771 138.9913
118.000000 93.794 138.9935
120.599998 93.839 138.3907
122.000000 93.825 137.8551
124.099998 93.753 137.0200
125.000000 93.708 136.6919
126.500000 93.621 136.2108
128.000000 93.527 135.8173
131.500000 93.307 135.1458
132.000000 93.276 135.0622
134.000000 93.153 134.7380
136.000000 93.026 134.4419
138.000000 92.897 134.1924
140.000000 92.769 133.9940
143.000000 92.579 133.7741
145.000000 92.456 133.6676
147.500000 92.303 133.5696
150.000000 92.154 133.5046
152.500000 92.007 133.4703
155.000000 91.864 133.4642
157.500000 91.724 133.4832
160.000000 91.588 133.5269
162.500000 91.455 133.5933
165.000000 91.326 133.6782
167.500000 91.199 133.7781
170.000000 91.074 133.8901
172.500000 90.953 134.0135
175.000000 90.834 134.1493
177.500000 90.717 134.2982
180.000000 90.602 134.4598
182.500000 90.491 134.6357
185.000000 90.382 134.8279
187.500000 90.277 135.0331
190.000000 90.174 135.2442
192.500000 90.074 135.4613
195.000000 89.977 135.6852
197.500000 89.882 135.9128
200.000000 89.790 136.1439
203.000000 89.682 136.4283
206.000000 89.578 136.7196
209.000000 89.477 137.0173
212.000000 89.380 137.3198
214.000000 89.317 137.5209
218.000000 89.193 137.9173
220.000000 89.133 138.1132
224.000000 89.014 138.5060
227.000000 88.926 138.8064
230.000000 88.839 139.1146
233.000000 88.753 139.4323
236.000000 88.669 139.7596
240.000000 88.559 140.2146
243.000000 88.479 140.5702
247.000000 88.374 141.0644
250.000000 88.297 141.4529
254.000000 88.196 142.0108
258.000000 88.102 142.6324
262.000000 88.019 143.3226
265.000000 87.970 143.8740
269.000000 87.927 144.5985
272.000000 87.910 145.0760
276.000000 87.897 145.5736
280.000000 87.881 145.9268
285.000000 87.847 146.2595
290.000000 87.798 146.5696
295.000000 87.742 146.9012
300.000000 87.683 147.2551
304.000000 87.636 147.5506
307.000000 87.601 147.7806
311.000000 87.556 148.0946
315.000000 87.513 148.4142
320.000000 87.462 148.8223
325.000000 87.414 149.2364
330.000000 87.369 149.6504
335.000000 87.328 150.0599
340.000000 87.289 150.4625
345.000000 87.252 150.8532
350.000000 87.217 151.2334
355.000000 87.185 151.6079
360.000000 87.155 151.9794
365.000000 87.126 152.3469
370.000000 87.100 152.7085
375.000000 87.075 153.0657
382.000000 87.045 153.5574
387.000000 87.025 153.8956
395.000000 86.995 154.4096
400.000000 86.978 154.7187
406.000000 86.959 155.0779
412.000000 86.942 155.4257
418.000000 86.927 155.7656
425.000000 86.911 156.1543
431.000000 86.899 156.4796
437.000000 86.890 156.7905
444.000000 86.881 157.1387
450.000000 86.875 157.4264
455.000000 86.870 157.6567
462.000000 86.864 157.9630
468.000000 86.860 158.2094
475.000000 86.857 158.4842
482.000000 86.854 158.7497
487.000000 86.852 158.9344
494.000000 86.851 159.1867
500.000000 86.850 159.3949
508.000000 86.850 159.6636
515.000000 86.850 159.8900
522.000000 86.850 160.1057
530.000000 86.851 160.3403
538.000000 86.851 160.5658
545.000000 86.851 160.7557
552.000000 86.851 160.9398
560.000000 86.852 161.1501
570.000000 86.853 161.4164
580.000000 86.856 161.6883
590.000000 86.861 161.9605
600.000000 86.868 162.2269
608.000000 86.874 162.4333
615.000000 86.881 162.6096
622.000000 86.887 162.7817
630.000000 86.896 162.9726
640.000000 86.908 163.2073
650.000000 86.921 163.4468
660.000000 86.934 163.6880
670.000000 86.949 163.9273
680.000000 86.967 164.1643
690.000000 86.986 164.3985
700.000000 87.007 164.6292
710.000000 87.029 164.8542
720.000000 87.052 165.0712
730.000000 87.076 165.2829
740.000000 87.102 165.4941
750.000000 87.128 165.7094
762.000000 87.163 165.9690
775.000000 87.203 166.2496
788.000000 87.247 166.5329
800.000000 87.292 166.7936
812.000000 87.339 167.0446
825.000000 87.394 167.3013
838.000000 87.451 167.5459
850.000000 87.507 167.7627
862.000000 87.565 167.9727
875.000000 87.631 168.1980
885.000000 87.686 168.3695
900.000000 87.772 168.6190
912.000000 87.845 168.8060
925.000000 87.928 168.9894
938.000000 88.014 169.1469
950.000000 88.097 169.2706
962.000000 88.182 169.3705
975.000000 88.276 169.4514
988.000000 88.373 169.5081
1000.000000 88.465 169.5386
1015.000000 88.582 169.5485
1030.000000 88.701 169.5305
1044.000000 88.815 169.4827
1060.000000 88.946 169.3824
1075.000000 89.071 169.2420
1090.000000 89.194 169.0570
1106.000000 89.325 168.8108
1120.000000 89.437 168.5573
1138.000000 89.579 168.1877
1150.000000 89.672 167.9169
1172.000000 89.838 167.3792
1180.000000 89.897 167.1746
1206.000000 90.083 166.4710
1220.000000 90.180 166.0665
1241.000000 90.321 165.4305
1250.000000 90.379 165.1460
1265.000000 90.473 164.6582
1280.000000 90.564 164.1594
1315.000000 90.764 162.9703
1320.000000 90.791 162.8001
1340.000000 90.897 162.1233
1360.000000 90.999 161.4508
1380.000000 91.098 160.7867
1400.000000 91.193 160.1313
1430.000000 91.330 159.1523
1450.000000 91.418 158.5042
1475.000000 91.525 157.6997
1500.000000 91.629 156.9139
1525.000000 91.729 156.1503
1550.000000 91.829 155.4095
1575.000000 91.928 154.6992
1600.000000 92.029 154.0149
1625.000000 92.131 153.3412
1650.000000 92.234 152.6732
1675.000000 92.339 152.0071
1700.000000 92.446 151.3413
1725.000000 92.554 150.6860
1750.000000 92.665 150.0424
1775.000000 92.780 149.4130
1800.000000 92.898 148.7972
1825.000000 93.021 148.1868
1850.000000 93.149 147.5716
1875.000000 93.283 146.9359
1900.000000 93.422 146.2690
1925.000000 93.567 145.5641
1950.000000 93.716 144.8159
1975.000000 93.866 144.0278
2000.000000 94.018 143.2093
2030.000000 94.201 142.1952
2060.000000 94.388 141.1559
2090.000000 94.579 140.0876
2120.000000 94.773 138.9733
2140.000000 94.904 138.1956
2180.000000 95.170 136.5447
2200.000000 95.303 135.6711
2240.000000 95.572 133.8297
2270.000000 95.773 132.3574
2300.000000 95.972 130.8051
2330.000000 96.167 129.1849
2360.000000 96.357 127.5023
2400.000000 96.599 125.1594
2430.000000 96.772 123.3329
2470.000000 96.989 120.8161
2500.000000 97.142 118.8783
2540.000000 97.333 116.2396
2580.000000 97.511 113.5507
2620.000000 97.679 110.8121
2650.000000 97.799 108.7159
2690.000000 97.949 105.8608
2720.000000 98.055 103.6785
2760.000000 98.184 100.7010
2800.000000 98.295 97.6290
2850.000000 98.404 93.6659
2900.000000 98.477 89.6053
2950.000000 98.508 85.5013
3000.000000 98.496 81.4117
3040.000000 98.456 78.1809
3070.000000 98.408 75.8041
3110.000000 98.319 72.7100
3150.000000 98.206 69.7182
3200.000000 98.033 66.1642
3250.000000 97.832 62.8510
3300.000000 97.611 59.7990
3350.000000 97.375 57.0119
3400.000000 97.133 54.4800
3450.000000 96.890 52.1862
3500.000000 96.650 50.1109
3550.000000 96.417 48.2386
3600.000000 96.193 46.5391
3650.000000 95.978 44.9772
3700.000000 95.774 43.5343
3750.000000 95.583 42.1971
3820.000000 95.335 40.4700
3870.000000 95.170 39.3293
3950.000000 94.927 37.6574
4000.000000 94.789 36.6960
4060.000000 94.639 35.6121
4120.000000 94.507 34.5861
4180.000000 94.393 33.5913
4250.000000 94.284 32.4491
4310.000000 94.210 31.4631
4370.000000 94.152 30.4596
4440.000000 94.102 29.2422
4500.000000 94.073 28.1419
4550.000000 94.058 27.1792
4620.000000 94.045 25.7673
4680.000000 94.041 24.5029
4750.000000 94.044 22.9749
4820.000000 94.057 21.3846
4870.000000 94.073 20.2026
4940.000000 94.104 18.4752
5000.000000 94.138 16.9166
5080.000000 94.193 14.6937
5150.000000 94.251 12.5707
5220.000000 94.312 10.2244
5300.000000 94.377 7.2021
5380.000000 94.421 3.7898
5450.000000 94.423 0.5097
5520.000000 94.372 -2.9822
5600.000000 94.233 -7.0985
5700.000000 93.930 -12.1217
5800.000000 93.500 -16.6372
5900.000000 92.986 -20.3872
6000.000000 92.437 -23.2755
6080.000000 92.001 -24.9804
