* Measurement data measured by REW V5.31.3
* Source: Scarlett Solo USB, Scarlett Solo USB , L, volume: no control. Timing signal peak level -18.9 dBFS, measurement signal peak level -15.9 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Dec 31, 2025 10:09:22 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0570 ms (-20 mm, -0.77 in) using estimated IR delay relative to Acoustic reference played from Qudelix-5K L with no timing offset Clock adjustment: 18.2 ppm
* Measurement: DUNU x Koto Ito S&S L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 100.363 -150.4144
20.299999 100.376 -151.3050
20.600000 100.387 -152.1749
20.900000 100.397 -153.0255
21.200001 100.405 -153.8584
21.400000 100.409 -154.4044
21.799999 100.417 -155.4762
22.000000 100.419 -156.0030
22.400000 100.423 -157.0409
22.700001 100.425 -157.8074
23.000000 100.425 -158.5646
23.299999 100.424 -159.3121
23.600000 100.421 -160.0490
24.000000 100.416 -161.0143
24.299999 100.412 -161.7257
24.700001 100.406 -162.6596
25.000000 100.401 -163.3507
25.400000 100.394 -164.2606
25.799999 100.387 -165.1562
26.200001 100.379 -166.0352
26.500000 100.372 -166.6824
26.900000 100.363 -167.5286
27.200001 100.356 -168.1509
27.600000 100.347 -168.9642
28.000000 100.337 -169.7596
28.500000 100.324 -170.7299
29.000000 100.309 -171.6752
29.500000 100.293 -172.5949
30.000000 100.275 -173.4880
30.400000 100.260 -174.1840
30.700001 100.248 -174.6966
31.100000 100.232 -175.3702
31.500000 100.215 -176.0342
32.000000 100.192 -176.8519
32.500000 100.168 -177.6550
33.000000 100.143 -178.4428
33.500000 100.118 -179.2158
34.000000 100.091 -179.9745
34.500000 100.065 179.2809
35.000000 100.038 178.5513
35.500000 100.011 177.8373
36.000000 99.984 177.1383
36.500000 99.956 176.4532
37.000000 99.928 175.7823
37.500000 99.899 175.1279
38.200001 99.858 174.2424
38.700001 99.828 173.6299
39.500000 99.780 172.6749
40.000000 99.750 172.0916
40.599998 99.713 171.4048
41.200001 99.676 170.7298
41.799999 99.638 170.0622
42.500000 99.593 169.2927
43.099998 99.554 168.6453
43.700001 99.513 168.0116
44.400002 99.466 167.2895
45.000000 99.424 166.6848
45.500000 99.390 166.1916
46.200001 99.340 165.5176
46.799999 99.298 164.9537
47.500000 99.248 164.3106
48.200001 99.196 163.6852
48.700001 99.159 163.2504
49.400002 99.107 162.6564
50.000000 99.062 162.1587
50.799999 99.001 161.5105
51.500000 98.947 160.9592
52.200001 98.894 160.4244
53.000000 98.832 159.8348
53.799999 98.772 159.2674
54.500000 98.721 158.7845
55.200001 98.671 158.3078
56.000000 98.616 157.7627
57.000000 98.546 157.0772
58.000000 98.475 156.3925
59.000000 98.400 155.7175
60.000000 98.323 155.0617
60.799999 98.260 154.5544
61.500000 98.204 154.1216
62.200001 98.148 153.6978
63.000000 98.084 153.2239
64.000000 98.004 152.6456
65.000000 97.923 152.0818
66.000000 97.841 151.5333
67.000000 97.759 151.0002
68.000000 97.675 150.4846
69.000000 97.591 149.9868
70.000000 97.507 149.5034
71.000000 97.421 149.0331
72.000000 97.336 148.5756
73.000000 97.250 148.1288
74.000000 97.163 147.6927
75.000000 97.075 147.2668
76.199997 96.969 146.7691
77.500000 96.852 146.2540
78.800003 96.734 145.7629
80.000000 96.623 145.3264
81.199997 96.509 144.9081
82.500000 96.383 144.4815
83.800003 96.252 144.0879
85.000000 96.129 143.7594
86.199997 96.003 143.4681
87.500000 95.863 143.1965
88.500000 95.753 143.0216
90.000000 95.584 142.8270
91.199997 95.445 142.7447
92.500000 95.291 142.7507
93.800003 95.137 142.8779
95.000000 94.998 143.1172
96.199997 94.866 143.4802
97.500000 94.734 144.0340
98.800003 94.625 144.7831
100.000000 94.559 145.6419
101.500000 94.546 146.8181
103.000000 94.624 147.8144
104.400002 94.756 148.2789
106.000000 94.920 148.1062
107.500000 95.036 147.3923
109.000000 95.095 146.3933
110.599998 95.094 145.2555
112.000000 95.054 144.3165
113.800003 94.965 143.2483
115.000000 94.893 142.6299
117.199997 94.744 141.6686
118.000000 94.688 141.3633
120.599998 94.498 140.5039
122.000000 94.394 140.1263
124.099998 94.239 139.6392
125.000000 94.173 139.4547
126.500000 94.065 139.1747
128.000000 93.958 138.9240
131.500000 93.715 138.4383
132.000000 93.681 138.3793
134.000000 93.545 138.1647
136.000000 93.411 137.9801
138.000000 93.280 137.8199
140.000000 93.150 137.6820
143.000000 92.960 137.5165
145.000000 92.837 137.4306
147.500000 92.685 137.3466
150.000000 92.535 137.2877
152.500000 92.387 137.2535
155.000000 92.241 137.2424
157.500000 92.098 137.2524
160.000000 91.958 137.2848
162.500000 91.821 137.3381
165.000000 91.686 137.4084
167.500000 91.554 137.4935
170.000000 91.423 137.5951
172.500000 91.295 137.7140
175.000000 91.170 137.8478
177.500000 91.047 137.9924
180.000000 90.926 138.1441
182.500000 90.808 138.3033
185.000000 90.692 138.4735
187.500000 90.577 138.6539
190.000000 90.465 138.8406
192.500000 90.354 139.0359
195.000000 90.245 139.2430
197.500000 90.138 139.4612
200.000000 90.032 139.6879
203.000000 89.908 139.9695
206.000000 89.787 140.2615
209.000000 89.668 140.5642
212.000000 89.552 140.8807
214.000000 89.475 141.0986
218.000000 89.327 141.5439
220.000000 89.255 141.7711
224.000000 89.116 142.2354
227.000000 89.014 142.5882
230.000000 88.914 142.9434
233.000000 88.815 143.3021
236.000000 88.718 143.6644
240.000000 88.591 144.1574
243.000000 88.497 144.5377
247.000000 88.374 145.0588
250.000000 88.283 145.4598
254.000000 88.163 146.0163
258.000000 88.047 146.6022
262.000000 87.935 147.2168
265.000000 87.855 147.6969
269.000000 87.754 148.3569
272.000000 87.683 148.8600
276.000000 87.594 149.5340
280.000000 87.511 150.2151
285.000000 87.414 151.0998
290.000000 87.335 152.0378
295.000000 87.284 152.9620
300.000000 87.256 153.7161
304.000000 87.235 154.1548
307.000000 87.212 154.4204
311.000000 87.171 154.7445
315.000000 87.120 155.0769
320.000000 87.051 155.5320
325.000000 86.980 156.0294
330.000000 86.910 156.5568
335.000000 86.844 157.1049
340.000000 86.780 157.6644
345.000000 86.718 158.2285
350.000000 86.660 158.7952
355.000000 86.605 159.3618
360.000000 86.554 159.9272
365.000000 86.505 160.4901
370.000000 86.459 161.0522
375.000000 86.416 161.6124
382.000000 86.359 162.3947
387.000000 86.320 162.9498
395.000000 86.263 163.8250
400.000000 86.230 164.3643
406.000000 86.193 165.0043
412.000000 86.159 165.6386
418.000000 86.126 166.2646
425.000000 86.091 166.9840
431.000000 86.063 167.5909
437.000000 86.038 168.1869
444.000000 86.011 168.8752
450.000000 85.989 169.4612
455.000000 85.972 169.9448
462.000000 85.950 170.6123
468.000000 85.933 171.1746
475.000000 85.916 171.8223
482.000000 85.900 172.4628
487.000000 85.889 172.9150
494.000000 85.876 173.5395
500.000000 85.865 174.0670
508.000000 85.853 174.7601
515.000000 85.844 175.3590
522.000000 85.835 175.9515
530.000000 85.827 176.6198
538.000000 85.820 177.2803
545.000000 85.814 177.8519
552.000000 85.810 178.4172
560.000000 85.807 179.0588
570.000000 85.804 179.8539
580.000000 85.805 -179.3544
590.000000 85.808 -178.5700
600.000000 85.814 -177.7960
608.000000 85.821 -177.1852
615.000000 85.828 -176.6586
622.000000 85.835 -176.1390
630.000000 85.845 -175.5553
640.000000 85.858 -174.8367
650.000000 85.873 -174.1252
660.000000 85.888 -173.4233
670.000000 85.904 -172.7295
680.000000 85.921 -172.0417
690.000000 85.940 -171.3582
700.000000 85.959 -170.6765
710.000000 85.979 -169.9976
720.000000 86.001 -169.3252
730.000000 86.024 -168.6578
740.000000 86.049 -167.9930
750.000000 86.076 -167.3290
762.000000 86.110 -166.5356
775.000000 86.149 -165.6825
788.000000 86.192 -164.8333
800.000000 86.233 -164.0520
812.000000 86.279 -163.2774
825.000000 86.331 -162.4484
838.000000 86.386 -161.6275
850.000000 86.440 -160.8798
862.000000 86.497 -160.1432
875.000000 86.563 -159.3556
885.000000 86.616 -158.7597
900.000000 86.700 -157.8837
912.000000 86.770 -157.1999
925.000000 86.849 -156.4798
938.000000 86.932 -155.7830
950.000000 87.011 -155.1577
962.000000 87.092 -154.5544
975.000000 87.183 -153.9280
988.000000 87.276 -153.3287
1000.000000 87.364 -152.8015
1015.000000 87.475 -152.1781
1030.000000 87.588 -151.5935
1044.000000 87.694 -151.0860
1060.000000 87.815 -150.5510
1075.000000 87.929 -150.0913
1090.000000 88.043 -149.6685
1106.000000 88.162 -149.2575
1120.000000 88.265 -148.9314
1138.000000 88.394 -148.5524
1150.000000 88.479 -148.3239
1172.000000 88.631 -147.9540
1180.000000 88.685 -147.8313
1206.000000 88.854 -147.4760
1220.000000 88.942 -147.3098
1241.000000 89.068 -147.0822
1250.000000 89.120 -146.9925
1265.000000 89.205 -146.8522
1280.000000 89.288 -146.7198
1315.000000 89.470 -146.4440
1320.000000 89.495 -146.4070
1340.000000 89.591 -146.2628
1360.000000 89.683 -146.1282
1380.000000 89.771 -145.9960
1400.000000 89.854 -145.8624
1430.000000 89.974 -145.6579
1450.000000 90.050 -145.5104
1475.000000 90.142 -145.3161
1500.000000 90.231 -145.1035
1525.000000 90.317 -144.8737
1550.000000 90.402 -144.6258
1575.000000 90.486 -144.3553
1600.000000 90.571 -144.0653
1625.000000 90.657 -143.7612
1650.000000 90.743 -143.4369
1675.000000 90.832 -143.0934
1700.000000 90.923 -142.7316
1725.000000 91.017 -142.3461
1750.000000 91.115 -141.9441
1775.000000 91.215 -141.5347
1800.000000 91.318 -141.1225
1825.000000 91.425 -140.7061
1850.000000 91.535 -140.2852
1875.000000 91.648 -139.8669
1900.000000 91.766 -139.4575
1925.000000 91.887 -139.0607
1950.000000 92.012 -138.6777
1975.000000 92.141 -138.3099
2000.000000 92.273 -137.9596
2030.000000 92.435 -137.5677
2060.000000 92.603 -137.2078
2090.000000 92.775 -136.8822
2120.000000 92.952 -136.5994
2140.000000 93.071 -136.4379
2180.000000 93.315 -136.1908
2200.000000 93.439 -136.1101
2240.000000 93.687 -136.0404
2270.000000 93.874 -136.0706
2300.000000 94.059 -136.1770
2330.000000 94.241 -136.3588
2360.000000 94.418 -136.6108
2400.000000 94.645 -137.0495
2430.000000 94.807 -137.4450
2470.000000 95.007 -138.0384
2500.000000 95.147 -138.5176
2540.000000 95.320 -139.1787
2580.000000 95.482 -139.8428
2620.000000 95.639 -140.5110
2650.000000 95.755 -141.0310
2690.000000 95.912 -141.7691
2720.000000 96.030 -142.3657
2760.000000 96.188 -143.2448
2800.000000 96.342 -144.2493
2850.000000 96.524 -145.7035
2900.000000 96.685 -147.3832
2950.000000 96.814 -149.2641
3000.000000 96.902 -151.2886
3040.000000 96.941 -152.9726
3070.000000 96.949 -154.2489
3110.000000 96.931 -155.9445
3150.000000 96.883 -157.5989
3200.000000 96.781 -159.5505
3250.000000 96.639 -161.3241
3300.000000 96.462 -162.8776
3350.000000 96.260 -164.1879
3400.000000 96.038 -165.2562
3450.000000 95.802 -166.0970
3500.000000 95.555 -166.7184
3550.000000 95.301 -167.1165
3600.000000 95.040 -167.2969
3650.000000 94.777 -167.2721
3700.000000 94.516 -167.0527
3750.000000 94.262 -166.6525
3820.000000 93.919 -165.8295
3870.000000 93.683 -165.0820
3950.000000 93.317 -163.6313
4000.000000 93.094 -162.5571
4060.000000 92.835 -161.0617
4120.000000 92.594 -159.3190
4180.000000 92.383 -157.3638
4250.000000 92.184 -154.9166
4310.000000 92.053 -152.7694
4370.000000 91.952 -150.6231
4440.000000 91.868 -148.1488
4500.000000 91.819 -146.0662
4550.000000 91.794 -144.3644
4620.000000 91.781 -142.0309
4680.000000 91.788 -140.0747
4750.000000 91.818 -137.8379
4820.000000 91.874 -135.6595
4870.000000 91.929 -134.1493
4940.000000 92.029 -132.1072
5000.000000 92.136 -130.4356
5080.000000 92.311 -128.3539
5150.000000 92.496 -126.7128
5220.000000 92.711 -125.3004
