* Measurement data measured by REW V5.31.3
* Source: Scarlett Solo USB, Scarlett Solo USB , L, volume: no control. Timing signal peak level -19.5 dBFS, measurement signal peak level -16.1 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Dec 30, 2025 2:43:56 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0429 ms (-15 mm, -0.58 in) using estimated IR delay relative to Acoustic reference played from Qudelix-5K R with no timing offset Clock adjustment: 8.4 ppm
* Measurement: DUNU x Koto Ito S&S R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 100.171 -152.3149
20.299999 100.181 -153.2043
20.600000 100.190 -154.0735
20.900000 100.198 -154.9245
21.200001 100.204 -155.7590
21.400000 100.208 -156.3065
21.799999 100.213 -157.3813
22.000000 100.214 -157.9088
22.400000 100.216 -158.9456
22.700001 100.215 -159.7089
23.000000 100.214 -160.4615
23.299999 100.211 -161.2043
23.600000 100.208 -161.9372
24.000000 100.201 -162.8990
24.299999 100.196 -163.6084
24.700001 100.187 -164.5390
25.000000 100.181 -165.2261
25.400000 100.171 -166.1278
25.799999 100.161 -167.0129
26.200001 100.150 -167.8808
26.500000 100.142 -168.5204
26.900000 100.131 -169.3582
27.200001 100.122 -169.9752
27.600000 100.110 -170.7825
28.000000 100.097 -171.5719
28.500000 100.080 -172.5333
29.000000 100.062 -173.4675
29.500000 100.043 -174.3756
30.000000 100.022 -175.2584
30.400000 100.004 -175.9477
30.700001 99.990 -176.4559
31.100000 99.971 -177.1232
31.500000 99.952 -177.7795
32.000000 99.926 -178.5850
32.500000 99.899 -179.3746
33.000000 99.871 179.8505
33.500000 99.842 179.0896
34.000000 99.813 178.3434
34.500000 99.784 177.6126
35.000000 99.754 176.8966
35.500000 99.725 176.1941
36.000000 99.695 175.5046
36.500000 99.664 174.8295
37.000000 99.633 174.1701
37.500000 99.602 173.5272
38.200001 99.557 172.6530
38.700001 99.524 172.0452
39.500000 99.470 171.0989
40.000000 99.436 170.5231
40.599998 99.393 169.8470
41.200001 99.350 169.1860
41.799999 99.307 168.5400
42.500000 99.255 167.8063
43.099998 99.211 167.1955
43.700001 99.167 166.6019
44.400002 99.117 165.9282
45.000000 99.076 165.3619
45.500000 99.042 164.8950
46.200001 98.995 164.2476
46.799999 98.954 163.6991
47.500000 98.905 163.0677
48.200001 98.855 162.4489
48.700001 98.818 162.0159
49.400002 98.767 161.4210
50.000000 98.722 160.9193
50.799999 98.660 160.2639
51.500000 98.605 159.7067
52.200001 98.550 159.1647
53.000000 98.486 158.5618
53.799999 98.423 157.9753
54.500000 98.367 157.4730
55.200001 98.311 156.9800
56.000000 98.247 156.4310
57.000000 98.166 155.7675
58.000000 98.085 155.1212
59.000000 98.004 154.4925
60.000000 97.922 153.8837
60.799999 97.857 153.4078
61.500000 97.799 153.0013
62.200001 97.742 152.6061
63.000000 97.676 152.1659
64.000000 97.595 151.6270
65.000000 97.513 151.1013
66.000000 97.431 150.5904
67.000000 97.349 150.0956
68.000000 97.267 149.6170
69.000000 97.184 149.1560
70.000000 97.102 148.7110
71.000000 97.020 148.2780
72.000000 96.938 147.8565
73.000000 96.857 147.4443
74.000000 96.776 147.0390
75.000000 96.695 146.6416
76.199997 96.598 146.1776
77.500000 96.492 145.6948
78.800003 96.387 145.2332
80.000000 96.290 144.8226
81.199997 96.193 144.4264
82.500000 96.087 144.0133
83.800003 95.982 143.6166
85.000000 95.884 143.2654
86.199997 95.787 142.9283
87.500000 95.682 142.5776
88.500000 95.602 142.3176
90.000000 95.482 141.9424
91.199997 95.386 141.6556
92.500000 95.282 141.3599
93.800003 95.179 141.0800
95.000000 95.085 140.8331
96.199997 94.991 140.5958
97.500000 94.890 140.3491
98.800003 94.788 140.1145
100.000000 94.694 139.9110
101.500000 94.578 139.6733
103.000000 94.464 139.4512
104.400002 94.357 139.2575
106.000000 94.237 139.0523
107.500000 94.126 138.8716
109.000000 94.015 138.6997
110.599998 93.898 138.5257
112.000000 93.797 138.3816
113.800003 93.667 138.2070
115.000000 93.581 138.0984
117.199997 93.423 137.9170
118.000000 93.365 137.8566
120.599998 93.179 137.6768
122.000000 93.079 137.5933
124.099998 92.928 137.4891
125.000000 92.864 137.4513
126.500000 92.757 137.3970
128.000000 92.651 137.3534
131.500000 92.402 137.2958
132.000000 92.366 137.2928
134.000000 92.223 137.2942
136.000000 92.079 137.3185
138.000000 91.934 137.3708
140.000000 91.787 137.4553
143.000000 91.562 137.6631
145.000000 91.408 137.8783
147.500000 91.214 138.2739
150.000000 91.024 138.8695
152.500000 90.853 139.7202
155.000000 90.731 140.7963
157.500000 90.680 141.8758
160.000000 90.693 142.6260
162.500000 90.721 142.8736
165.000000 90.721 142.7360
167.500000 90.676 142.4495
170.000000 90.596 142.1843
172.500000 90.494 142.0086
175.000000 90.381 141.9307
177.500000 90.263 141.9343
180.000000 90.145 142.0005
182.500000 90.027 142.1194
185.000000 89.911 142.2878
187.500000 89.799 142.4966
190.000000 89.690 142.7353
192.500000 89.585 142.9983
195.000000 89.485 143.2838
197.500000 89.390 143.5863
200.000000 89.299 143.8957
203.000000 89.195 144.2647
206.000000 89.095 144.6253
209.000000 88.999 144.9770
212.000000 88.905 145.3228
214.000000 88.843 145.5533
218.000000 88.721 146.0150
220.000000 88.661 146.2468
224.000000 88.543 146.7190
227.000000 88.457 147.0828
230.000000 88.372 147.4544
233.000000 88.288 147.8316
236.000000 88.207 148.2135
240.000000 88.102 148.7332
243.000000 88.025 149.1289
247.000000 87.927 149.6602
250.000000 87.855 150.0615
254.000000 87.763 150.6033
258.000000 87.673 151.1512
262.000000 87.586 151.7003
265.000000 87.524 152.1135
269.000000 87.442 152.6702
272.000000 87.382 153.0918
276.000000 87.303 153.6594
280.000000 87.228 154.2371
285.000000 87.136 154.9789
290.000000 87.049 155.7516
295.000000 86.968 156.5673
300.000000 86.894 157.4304
304.000000 86.845 158.1503
307.000000 86.815 158.7017
311.000000 86.786 159.4318
315.000000 86.769 160.1306
320.000000 86.762 160.9165
325.000000 86.763 161.5753
330.000000 86.763 162.1161
335.000000 86.754 162.5754
340.000000 86.737 162.9982
345.000000 86.712 163.4154
350.000000 86.682 163.8455
355.000000 86.650 164.2926
360.000000 86.618 164.7542
365.000000 86.587 165.2251
370.000000 86.556 165.7028
375.000000 86.527 166.1887
382.000000 86.490 166.8776
387.000000 86.465 167.3684
395.000000 86.429 168.1476
400.000000 86.408 168.6282
406.000000 86.385 169.2015
412.000000 86.365 169.7710
418.000000 86.346 170.3362
425.000000 86.325 170.9865
431.000000 86.310 171.5354
437.000000 86.296 172.0747
444.000000 86.282 172.6957
450.000000 86.271 173.2227
455.000000 86.264 173.6563
462.000000 86.254 174.2536
468.000000 86.247 174.7561
475.000000 86.241 175.3320
482.000000 86.236 175.8985
487.000000 86.233 176.2972
494.000000 86.230 176.8447
500.000000 86.228 177.3049
508.000000 86.226 177.9096
515.000000 86.225 178.4286
522.000000 86.225 178.9370
530.000000 86.224 179.5092
538.000000 86.224 -179.9236
545.000000 86.225 -179.4312
552.000000 86.226 -178.9444
560.000000 86.227 -178.3922
570.000000 86.230 -177.7074
580.000000 86.234 -177.0246
590.000000 86.238 -176.3439
600.000000 86.244 -175.6658
608.000000 86.249 -175.1244
615.000000 86.254 -174.6514
622.000000 86.259 -174.1787
630.000000 86.266 -173.6411
640.000000 86.277 -172.9722
650.000000 86.289 -172.3006
660.000000 86.302 -171.6319
670.000000 86.317 -170.9691
680.000000 86.333 -170.3090
690.000000 86.351 -169.6508
700.000000 86.370 -168.9936
710.000000 86.391 -168.3377
720.000000 86.413 -167.6837
730.000000 86.436 -167.0324
740.000000 86.461 -166.3831
750.000000 86.487 -165.7344
762.000000 86.521 -164.9583
775.000000 86.560 -164.1230
788.000000 86.602 -163.2890
800.000000 86.644 -162.5206
812.000000 86.689 -161.7565
825.000000 86.740 -160.9361
838.000000 86.795 -160.1232
850.000000 86.849 -159.3812
862.000000 86.905 -158.6471
875.000000 86.970 -157.8607
885.000000 87.024 -157.2649
900.000000 87.107 -156.3884
912.000000 87.177 -155.7029
925.000000 87.256 -154.9790
938.000000 87.338 -154.2770
950.000000 87.417 -153.6465
962.000000 87.498 -153.0360
975.000000 87.588 -152.3978
988.000000 87.681 -151.7835
1000.000000 87.768 -151.2414
1015.000000 87.878 -150.5975
1030.000000 87.990 -149.9872
1044.000000 88.095 -149.4512
1060.000000 88.215 -148.8800
1075.000000 88.329 -148.3836
1090.000000 88.442 -147.9227
1106.000000 88.560 -147.4680
1120.000000 88.663 -147.1018
1138.000000 88.793 -146.6708
1150.000000 88.879 -146.4062
1172.000000 89.032 -145.9672
1180.000000 89.086 -145.8186
1206.000000 89.255 -145.3769
1220.000000 89.343 -145.1619
1241.000000 89.470 -144.8600
1250.000000 89.523 -144.7386
1265.000000 89.608 -144.5451
1280.000000 89.691 -144.3581
1315.000000 89.873 -143.9399
1320.000000 89.898 -143.8812
1340.000000 89.994 -143.6470
1360.000000 90.087 -143.4175
1380.000000 90.176 -143.1870
1400.000000 90.262 -142.9504
1430.000000 90.385 -142.5865
1450.000000 90.465 -142.3310
1475.000000 90.562 -141.9982
1500.000000 90.656 -141.6478
1525.000000 90.749 -141.2832
1550.000000 90.841 -140.9040
1575.000000 90.932 -140.5017
1600.000000 91.024 -140.0785
1625.000000 91.118 -139.6410
1650.000000 91.213 -139.1879
1675.000000 91.311 -138.7245
1700.000000 91.410 -138.2564
1725.000000 91.512 -137.7806
1750.000000 91.618 -137.3020
1775.000000 91.726 -136.8232
1800.000000 91.839 -136.3481
1825.000000 91.954 -135.8810
1850.000000 92.072 -135.4228
1875.000000 92.194 -134.9784
1900.000000 92.320 -134.5498
1925.000000 92.449 -134.1400
1950.000000 92.583 -133.7533
1975.000000 92.719 -133.3925
2000.000000 92.859 -133.0564
2030.000000 93.031 -132.6912
2060.000000 93.208 -132.3686
2090.000000 93.390 -132.0938
2120.000000 93.574 -131.8764
2140.000000 93.699 -131.7655
2180.000000 93.953 -131.6293
2200.000000 94.081 -131.6077
2240.000000 94.338 -131.6633
2270.000000 94.531 -131.7912
2300.000000 94.723 -131.9970
2330.000000 94.913 -132.2843
2360.000000 95.099 -132.6552
2400.000000 95.338 -133.2706
2430.000000 95.509 -133.8127
2470.000000 95.724 -134.6322
2500.000000 95.876 -135.3094
2540.000000 96.065 -136.2829
2580.000000 96.241 -137.3226
2620.000000 96.405 -138.4256
2650.000000 96.522 -139.3004
2690.000000 96.669 -140.5337
2720.000000 96.773 -141.5096
2760.000000 96.901 -142.8909
2800.000000 97.015 -144.3803
2850.000000 97.130 -146.3865
2900.000000 97.208 -148.5170
2950.000000 97.244 -150.7180
3000.000000 97.235 -152.9248
3040.000000 97.195 -154.6593
3070.000000 97.147 -155.9203
3110.000000 97.058 -157.5295
3150.000000 96.945 -159.0319
3200.000000 96.776 -160.7240
3250.000000 96.584 -162.1876
3300.000000 96.374 -163.4209
3350.000000 96.152 -164.4439
3400.000000 95.918 -165.2685
3450.000000 95.675 -165.9005
3500.000000 95.428 -166.3407
3550.000000 95.180 -166.5804
3600.000000 94.936 -166.6282
3650.000000 94.699 -166.5131
3700.000000 94.469 -166.2611
3750.000000 94.248 -165.8896
3820.000000 93.951 -165.2031
3870.000000 93.745 -164.5952
3950.000000 93.424 -163.3754
4000.000000 93.234 -162.4308
4060.000000 93.026 -161.1010
4120.000000 92.851 -159.6055
4180.000000 92.715 -158.0396
4250.000000 92.601 -156.2258
4310.000000 92.534 -154.7306
4370.000000 92.489 -153.2980
4440.000000 92.459 -151.7079
4500.000000 92.449 -150.4172
4550.000000 92.452 -149.3929
4620.000000 92.470 -148.0344
4680.000000 92.497 -146.9438
4750.000000 92.540 -145.7530
4820.000000 92.595 -144.6510
4870.000000 92.642 -143.9161
4940.000000 92.717 -142.9538
5000.000000 92.791 -142.1928
5080.000000 92.905 -141.2892
5150.000000 93.022 -140.6259
5220.000000 93.157 -140.1099
