* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control. Timing signal peak level -21.4 dBFS, measurement signal peak level -17.1 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Feb 12, 2026 8:29:25 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0882 ms (-30 mm, -1.19 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset Clock adjustment: 2.1 ppm
* Measurement: Dunu Ito Candy L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 97.728 -171.3499
20.299999 97.807 -173.1161
20.600000 97.790 -174.6862
20.900000 97.722 -175.7965
21.200001 97.659 -176.4103
21.400000 97.640 -176.6268
21.799999 97.670 -176.9347
22.000000 97.708 -177.1519
22.400000 97.789 -177.8152
22.700001 97.830 -178.4318
23.000000 97.852 -179.0344
23.299999 97.865 -179.5671
23.600000 97.882 179.9493
24.000000 97.909 179.2649
24.299999 97.921 178.6695
24.700001 97.902 177.8311
25.000000 97.860 177.2831
25.400000 97.789 176.7983
25.799999 97.739 176.5688
26.200001 97.733 176.3770
26.500000 97.748 176.1126
26.900000 97.768 175.5327
27.200001 97.766 174.9782
27.600000 97.740 174.2169
28.000000 97.698 173.5374
28.500000 97.651 172.7997
29.000000 97.618 172.0616
29.500000 97.582 171.2867
30.000000 97.537 170.5796
30.400000 97.506 170.1174
30.700001 97.491 169.8178
31.100000 97.486 169.4299
31.500000 97.492 169.0042
32.000000 97.501 168.4023
32.500000 97.500 167.7757
33.000000 97.491 167.1755
33.500000 97.478 166.5929
34.000000 97.452 166.0114
34.500000 97.406 165.4863
35.000000 97.345 165.1191
35.500000 97.292 164.9197
36.000000 97.263 164.7470
36.500000 97.251 164.4411
37.000000 97.234 163.9855
37.500000 97.207 163.4581
38.200001 97.164 162.5495
38.700001 97.106 161.6671
39.500000 96.876 160.4260
40.000000 96.691 160.4165
40.599998 96.594 161.1570
41.200001 96.686 161.5813
41.799999 96.821 160.9160
42.500000 96.842 159.4883
43.099998 96.782 158.6110
43.700001 96.746 158.0729
44.400002 96.734 157.3746
45.000000 96.703 156.7361
45.500000 96.667 156.3378
46.200001 96.642 155.9089
46.799999 96.634 155.4541
47.500000 96.602 154.8794
48.200001 96.566 154.4395
48.700001 96.554 154.1193
49.400002 96.532 153.4879
50.000000 96.474 152.8986
50.799999 96.365 152.4751
51.500000 96.308 152.3788
52.200001 96.289 152.1199
53.000000 96.247 151.5410
53.799999 96.166 151.0300
54.500000 96.098 150.7493
55.200001 96.053 150.4454
56.000000 96.005 149.9282
57.000000 95.931 149.2009
58.000000 95.861 148.3529
59.000000 95.733 147.5362
60.000000 95.616 147.5145
60.799999 95.629 147.6431
61.500000 95.678 147.3465
62.200001 95.697 146.6881
63.000000 95.647 145.8454
64.000000 95.519 145.2512
65.000000 95.410 145.0110
66.000000 95.298 144.7131
67.000000 95.189 144.5175
68.000000 95.114 144.1964
69.000000 95.040 143.7403
70.000000 94.977 143.2610
71.000000 94.912 142.7160
72.000000 94.832 142.2651
73.000000 94.747 141.9532
74.000000 94.664 141.7833
75.000000 94.599 141.5778
76.199997 94.506 141.1101
77.500000 94.394 140.6392
78.800003 94.308 140.1019
80.000000 94.237 139.4319
81.199997 94.119 138.9063
82.500000 94.024 139.0149
83.800003 93.973 138.7887
85.000000 93.861 138.4514
86.199997 93.738 138.2664
87.500000 93.628 137.9632
88.500000 93.554 137.5727
90.000000 93.435 137.0092
91.199997 93.346 136.7580
92.500000 93.245 136.6293
93.800003 93.133 136.5150
95.000000 93.014 136.2578
96.199997 92.890 135.8191
97.500000 92.769 135.2980
98.800003 92.700 135.0214
100.000000 92.683 134.8387
101.500000 92.591 134.6747
103.000000 92.396 134.9598
104.400002 92.180 135.0195
106.000000 91.958 134.4924
107.500000 91.860 133.7690
109.000000 91.840 133.6002
110.599998 91.792 134.7029
112.000000 91.650 136.2011
113.800003 91.349 136.7819
115.000000 91.208 135.2701
117.199997 91.900 128.7015
118.000000 92.461 124.9077
120.599998 92.436 115.0319
122.000000 91.656 122.7039
124.099998 91.135 132.8690
125.000000 90.945 135.2034
126.500000 90.610 136.2125
128.000000 90.282 135.0012
131.500000 90.169 135.8803
132.000000 90.206 136.6281
134.000000 90.282 139.3722
136.000000 90.314 140.4888
138.000000 90.520 138.2257
140.000000 90.634 134.5926
143.000000 90.506 132.2987
145.000000 90.351 131.6509
147.500000 90.601 132.0517
150.000000 90.976 128.6420
152.500000 90.136 130.7438
155.000000 89.523 137.8011
157.500000 89.040 138.0356
160.000000 88.277 134.1616
162.500000 88.255 134.9977
165.000000 88.724 134.0539
167.500000 88.815 136.3756
170.000000 88.725 138.4735
172.500000 88.590 137.5953
175.000000 88.467 136.6640
177.500000 88.341 136.8539
180.000000 88.131 137.1902
182.500000 87.948 137.4278
185.000000 87.840 137.7268
187.500000 87.719 138.2277
190.000000 87.583 138.8419
192.500000 87.508 139.2557
195.000000 87.463 139.6692
197.500000 87.381 140.2084
200.000000 87.256 140.8057
203.000000 87.074 141.0336
206.000000 86.910 141.2336
209.000000 86.785 141.4913
212.000000 86.667 141.9473
214.000000 86.593 142.2621
218.000000 86.451 142.8287
220.000000 86.372 143.1451
224.000000 86.216 144.0173
227.000000 86.104 144.5623
230.000000 85.996 144.9479
233.000000 85.904 145.3088
236.000000 85.819 145.6440
240.000000 85.730 146.2017
243.000000 85.645 146.9052
247.000000 85.491 147.9189
250.000000 85.400 148.3434
254.000000 85.317 149.0602
258.000000 85.239 150.1065
262.000000 85.183 150.7448
265.000000 85.132 151.2125
269.000000 84.996 152.1660
272.000000 84.878 152.9595
276.000000 84.751 153.7556
280.000000 84.656 154.6257
285.000000 84.595 155.4994
290.000000 84.492 156.2527
295.000000 84.374 157.1675
300.000000 84.310 158.0902
304.000000 84.279 158.9325
307.000000 84.230 159.5338
311.000000 84.157 160.3028
315.000000 84.096 161.1260
320.000000 84.043 162.2182
325.000000 84.005 163.1077
330.000000 83.949 164.0710
335.000000 83.887 165.1358
340.000000 83.853 165.9604
345.000000 83.834 166.7137
350.000000 83.801 167.5994
355.000000 83.755 168.3889
360.000000 83.728 169.0484
365.000000 83.735 169.8243
370.000000 83.716 170.6182
375.000000 83.676 171.3530
382.000000 83.634 172.4897
387.000000 83.625 173.2317
395.000000 83.589 174.2254
400.000000 83.567 174.8964
406.000000 83.574 175.8513
412.000000 83.585 176.6734
418.000000 83.584 177.4598
425.000000 83.548 178.3412
431.000000 83.522 178.9172
437.000000 83.507 179.5260
444.000000 83.483 -179.5864
450.000000 83.468 -178.7504
455.000000 83.461 -177.9366
462.000000 83.457 -177.0406
468.000000 83.449 -176.4321
475.000000 83.442 -175.6587
482.000000 83.445 -174.9203
487.000000 83.438 -174.3637
494.000000 83.417 -173.5479
500.000000 83.408 -172.8519
508.000000 83.397 -172.0320
515.000000 83.393 -171.4207
522.000000 83.398 -170.7474
530.000000 83.401 -169.7530
538.000000 83.381 -168.6941
545.000000 83.378 -167.8281
552.000000 83.385 -167.1636
560.000000 83.391 -166.6582
570.000000 83.394 -165.5137
580.000000 83.402 -164.3112
590.000000 83.414 -163.2493
600.000000 83.409 -162.2955
608.000000 83.402 -161.6494
615.000000 83.408 -160.9875
622.000000 83.424 -160.3035
630.000000 83.440 -159.6013
640.000000 83.461 -158.6157
650.000000 83.478 -157.6579
660.000000 83.498 -156.7722
670.000000 83.517 -155.8238
680.000000 83.523 -154.9245
690.000000 83.527 -153.9920
700.000000 83.551 -153.0096
710.000000 83.578 -152.1207
720.000000 83.583 -151.1677
730.000000 83.590 -150.1288
740.000000 83.601 -149.2828
750.000000 83.624 -148.5223
762.000000 83.668 -147.4502
775.000000 83.706 -146.2219
788.000000 83.732 -145.0252
800.000000 83.756 -143.9740
812.000000 83.797 -142.8790
825.000000 83.855 -141.6230
838.000000 83.909 -140.3099
850.000000 83.946 -139.2380
862.000000 83.976 -138.1861
875.000000 84.019 -137.0729
885.000000 84.068 -136.2068
900.000000 84.152 -134.8928
912.000000 84.212 -133.8793
925.000000 84.283 -132.8029
938.000000 84.359 -131.7256
950.000000 84.417 -130.7681
962.000000 84.467 -129.8905
975.000000 84.538 -128.9787
988.000000 84.612 -128.0047
1000.000000 84.692 -127.1316
1015.000000 84.789 -126.0804
1030.000000 84.878 -125.0411
1044.000000 84.962 -124.1657
1060.000000 85.063 -123.2126
1075.000000 85.163 -122.2894
1090.000000 85.263 -121.3609
1106.000000 85.367 -120.3926
1120.000000 85.452 -119.6447
1138.000000 85.556 -118.8066
1150.000000 85.631 -118.2750
1172.000000 85.772 -117.3823
1180.000000 85.821 -117.0351
1206.000000 85.977 -115.8243
1220.000000 86.053 -115.2715
1241.000000 86.177 -114.5100
1250.000000 86.235 -114.1566
1265.000000 86.335 -113.5483
1280.000000 86.426 -112.9779
1315.000000 86.602 -111.6859
1320.000000 86.626 -111.4923
1340.000000 86.718 -110.7527
1360.000000 86.808 -110.0820
1380.000000 86.902 -109.4348
1400.000000 86.992 -108.7457
1430.000000 87.128 -107.7067
1450.000000 87.214 -106.9628
1475.000000 87.314 -106.0406
1500.000000 87.417 -105.1650
1525.000000 87.511 -104.2728
1550.000000 87.606 -103.2817
1575.000000 87.696 -102.2702
1600.000000 87.783 -101.3210
1625.000000 87.873 -100.3334
1650.000000 87.961 -99.3158
1675.000000 88.052 -98.3107
1700.000000 88.146 -97.3106
1725.000000 88.244 -96.3195
1750.000000 88.345 -95.3141
1775.000000 88.451 -94.3258
1800.000000 88.561 -93.3302
1825.000000 88.675 -92.3258
1850.000000 88.792 -91.3544
1875.000000 88.909 -90.3655
1900.000000 89.028 -89.3835
1925.000000 89.154 -88.4074
1950.000000 89.291 -87.4568
1975.000000 89.432 -86.5427
2000.000000 89.573 -85.6108
2030.000000 89.749 -84.5098
2060.000000 89.937 -83.4768
2090.000000 90.133 -82.5301
2120.000000 90.334 -81.6546
2140.000000 90.473 -81.0979
2180.000000 90.754 -80.1233
2200.000000 90.892 -79.7131
2240.000000 91.162 -78.9717
2270.000000 91.369 -78.4639
2300.000000 91.575 -78.0211
2330.000000 91.772 -77.6512
2360.000000 91.962 -77.3575
2400.000000 92.207 -77.0423
2430.000000 92.386 -76.8633
2470.000000 92.614 -76.6577
2500.000000 92.776 -76.5132
2540.000000 92.988 -76.3198
2580.000000 93.201 -76.1186
2620.000000 93.419 -75.9192
2650.000000 93.588 -75.8217
2690.000000 93.823 -75.8125
2720.000000 94.004 -75.8970
2760.000000 94.244 -76.1562
2800.000000 94.478 -76.5995
2850.000000 94.753 -77.3739
2900.000000 95.008 -78.3930
2950.000000 95.249 -79.7288
3000.000000 95.452 -81.5089
3040.000000 95.560 -83.2358
3070.000000 95.597 -84.6206
3110.000000 95.583 -86.4707
3150.000000 95.502 -88.2247
3200.000000 95.325 -90.1612
3250.000000 95.079 -91.7436
3300.000000 94.778 -92.9367
3350.000000 94.448 -93.7483
3400.000000 94.107 -94.2032
3450.000000 93.768 -94.3135
3500.000000 93.437 -94.1088
3550.000000 93.112 -93.6455
3600.000000 92.785 -92.9399
3650.000000 92.453 -92.0301
3700.000000 92.111 -90.9262
3750.000000 91.771 -89.6152
3820.000000 91.321 -87.5198
3870.000000 91.038 -85.8652
3950.000000 90.677 -83.0081
4000.000000 90.501 -81.1057
4060.000000 90.334 -78.7548
4120.000000 90.195 -76.3292
4180.000000 90.076 -73.8792
4250.000000 89.960 -70.9426
4310.000000 89.874 -68.3844
4370.000000 89.798 -65.8506
4440.000000 89.723 -62.9784
4500.000000 89.670 -60.4956
4550.000000 89.632 -58.4167
4620.000000 89.592 -55.5180
4680.000000 89.575 -53.0655
4750.000000 89.576 -50.2558
4820.000000 89.601 -47.4769
4870.000000 89.635 -45.5182
4940.000000 89.702 -42.8679
5000.000000 89.778 -40.6845
5080.000000 89.916 -37.8543
5150.000000 90.077 -35.5051
5220.000000 90.279 -33.3416
5300.000000 90.558 -31.2033
