* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control. Timing signal peak level -21.9 dBFS, measurement signal peak level -17.4 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Feb 12, 2026 8:30:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0963 ms (-33 mm, -1.3 in) using estimated IR delay relative to Acoustic reference played from  R with no timing offset Clock adjustment: 1.1 ppm
* Measurement: Dunu Ito Candy R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 96.896 -170.1461
20.299999 97.364 -171.8677
20.600000 97.643 -174.3038
20.900000 97.737 -176.7170
21.200001 97.698 -178.5529
21.400000 97.641 -179.3181
21.799999 97.560 -179.8823
22.000000 97.565 -179.9286
22.400000 97.660 179.9028
22.700001 97.743 179.4373
23.000000 97.781 178.7286
23.299999 97.750 178.0427
23.600000 97.668 177.6514
24.000000 97.554 177.7845
24.299999 97.520 178.2184
24.700001 97.569 178.7086
25.000000 97.645 178.7118
25.400000 97.725 178.1594
25.799999 97.732 177.2722
26.200001 97.669 176.4619
26.500000 97.606 176.0375
26.900000 97.540 175.6636
27.200001 97.518 175.4006
27.600000 97.511 174.9046
28.000000 97.507 174.1953
28.500000 97.474 173.1564
29.000000 97.415 172.1960
29.500000 97.359 171.4433
30.000000 97.328 170.8422
30.400000 97.326 170.3745
30.700001 97.332 169.9904
31.100000 97.340 169.4254
31.500000 97.338 168.8396
32.000000 97.320 168.1870
32.500000 97.300 167.6852
33.000000 97.296 167.2505
33.500000 97.297 166.7474
34.000000 97.281 166.1815
34.500000 97.243 165.6882
35.000000 97.205 165.3189
35.500000 97.181 164.9371
36.000000 97.150 164.4221
36.500000 97.086 163.8919
37.000000 97.006 163.5638
37.500000 96.951 163.4084
38.200001 96.921 162.9100
38.700001 96.853 162.3044
39.500000 96.642 162.0746
40.000000 96.590 162.5772
40.599998 96.691 162.7690
41.200001 96.809 161.7293
41.799999 96.776 160.1056
42.500000 96.606 158.8943
43.099998 96.513 158.5139
43.700001 96.503 158.0522
44.400002 96.501 157.1126
45.000000 96.473 156.2599
45.500000 96.441 155.6589
46.200001 96.400 155.0116
46.799999 96.378 154.5905
47.500000 96.366 154.0763
48.200001 96.326 153.4789
48.700001 96.266 153.1722
49.400002 96.178 153.0748
50.000000 96.139 153.0872
50.799999 96.105 152.7761
51.500000 96.043 152.3215
52.200001 95.972 151.9622
53.000000 95.923 151.5121
53.799999 95.881 150.8594
54.500000 95.835 150.2796
55.200001 95.793 149.7628
56.000000 95.744 149.2342
57.000000 95.676 148.8278
58.000000 95.626 148.6579
59.000000 95.590 148.5100
60.000000 95.562 147.9843
60.799999 95.470 147.2216
61.500000 95.320 146.8584
62.200001 95.199 146.9708
63.000000 95.168 146.9875
64.000000 95.141 146.1112
65.000000 95.028 145.2988
66.000000 94.942 144.8952
67.000000 94.884 144.4009
68.000000 94.811 143.8618
69.000000 94.714 143.4836
70.000000 94.630 143.3124
71.000000 94.565 143.0431
72.000000 94.492 142.6812
73.000000 94.419 142.2941
74.000000 94.342 141.8904
75.000000 94.268 141.5023
76.199997 94.168 141.0328
77.500000 94.058 140.7375
78.800003 93.951 140.4137
80.000000 93.849 140.2801
81.199997 93.781 140.0290
82.500000 93.686 139.5175
83.800003 93.572 139.0342
85.000000 93.460 138.7108
86.199997 93.366 138.5071
87.500000 93.272 138.2774
88.500000 93.199 138.1221
90.000000 93.088 137.8796
91.199997 93.004 137.6418
92.500000 92.906 137.2552
93.800003 92.791 136.9296
95.000000 92.689 136.7489
96.199997 92.592 136.6179
97.500000 92.486 136.4691
98.800003 92.376 136.3369
100.000000 92.282 136.1748
101.500000 92.172 135.8791
103.000000 92.076 135.6521
104.400002 91.999 135.5598
106.000000 91.911 135.5021
107.500000 91.779 135.4176
109.000000 91.629 135.3320
110.599998 91.476 135.0151
112.000000 91.377 134.7546
113.800003 91.298 134.6604
115.000000 91.234 134.8835
117.199997 90.980 136.1615
118.000000 90.861 137.0745
120.599998 90.831 138.7375
122.000000 90.752 136.8380
124.099998 90.501 134.7120
125.000000 90.426 134.2190
126.500000 90.310 133.8842
128.000000 90.188 134.1425
131.500000 89.867 134.9616
132.000000 89.822 135.0256
134.000000 89.667 135.1266
136.000000 89.538 135.0875
138.000000 89.385 134.9028
140.000000 89.188 134.7985
143.000000 88.949 134.8936
145.000000 88.780 134.4662
147.500000 88.433 134.8597
150.000000 88.259 137.1803
152.500000 88.533 139.3898
155.000000 88.799 139.6204
157.500000 88.898 140.3043
160.000000 88.934 141.5684
162.500000 88.828 141.4402
165.000000 88.474 140.8174
167.500000 88.173 140.7264
170.000000 88.133 140.9886
172.500000 88.192 140.5525
175.000000 88.097 140.3458
177.500000 87.888 140.5858
180.000000 87.632 140.7450
182.500000 87.407 140.8934
185.000000 87.268 141.1218
187.500000 87.176 141.3982
190.000000 87.051 141.7243
192.500000 86.918 142.0540
195.000000 86.776 142.4005
197.500000 86.660 143.2893
200.000000 86.573 143.9645
203.000000 86.484 144.5460
206.000000 86.458 145.2164
209.000000 86.435 146.1647
212.000000 86.327 146.8603
214.000000 86.230 147.0903
218.000000 86.087 147.4226
220.000000 86.041 147.8136
224.000000 85.935 148.8034
227.000000 85.839 149.4290
230.000000 85.737 149.9003
233.000000 85.638 150.4695
236.000000 85.558 151.2325
240.000000 85.472 152.3572
243.000000 85.412 152.8918
247.000000 85.311 153.4282
250.000000 85.231 154.0692
254.000000 85.160 154.8344
258.000000 85.103 155.2256
262.000000 85.039 155.9848
265.000000 84.997 156.7457
269.000000 84.945 157.6088
272.000000 84.896 158.2119
276.000000 84.844 159.0831
280.000000 84.823 160.0508
285.000000 84.691 160.9650
290.000000 84.577 161.6736
295.000000 84.505 162.4178
300.000000 84.435 163.3914
304.000000 84.414 164.3271
307.000000 84.396 165.0519
311.000000 84.365 165.8792
315.000000 84.325 166.6250
320.000000 84.260 167.4471
325.000000 84.207 168.2443
330.000000 84.153 169.1190
335.000000 84.106 169.9447
340.000000 84.081 170.6409
345.000000 84.074 171.3463
350.000000 84.058 172.1933
355.000000 84.034 173.0284
360.000000 84.013 173.9382
365.000000 83.994 174.6551
370.000000 83.963 175.3495
375.000000 83.938 176.0229
382.000000 83.914 176.9189
387.000000 83.897 177.6036
395.000000 83.893 178.6704
400.000000 83.878 179.2775
406.000000 83.871 -179.8722
412.000000 83.867 -179.0861
418.000000 83.860 -178.3505
425.000000 83.847 -177.2652
431.000000 83.831 -176.3820
437.000000 83.825 -175.5975
444.000000 83.833 -174.6586
450.000000 83.856 -173.8451
455.000000 83.865 -173.1062
462.000000 83.829 -172.2737
468.000000 83.823 -171.7846
475.000000 83.844 -171.0091
482.000000 83.865 -170.2141
487.000000 83.876 -169.6882
494.000000 83.887 -168.9776
500.000000 83.899 -168.4120
508.000000 83.913 -167.7402
515.000000 83.921 -167.1186
522.000000 83.937 -166.4971
530.000000 83.953 -165.6276
538.000000 83.946 -164.8450
545.000000 83.941 -164.2706
552.000000 83.937 -163.5759
560.000000 83.919 -162.6705
570.000000 83.913 -161.7887
580.000000 83.921 -160.8779
590.000000 83.931 -159.9339
600.000000 83.930 -158.9253
608.000000 83.933 -158.1991
615.000000 83.934 -157.6087
622.000000 83.933 -156.9498
630.000000 83.942 -156.1377
640.000000 83.956 -155.2542
650.000000 83.967 -154.4022
660.000000 83.972 -153.5251
670.000000 83.986 -152.5941
680.000000 84.005 -151.6727
690.000000 84.025 -150.6560
700.000000 84.041 -149.7555
710.000000 84.059 -148.8395
720.000000 84.083 -147.9037
730.000000 84.091 -147.0198
740.000000 84.096 -146.0308
750.000000 84.128 -145.1031
762.000000 84.171 -143.9858
775.000000 84.189 -142.8134
788.000000 84.231 -141.6492
800.000000 84.287 -140.5735
812.000000 84.313 -139.3943
825.000000 84.340 -138.2470
838.000000 84.390 -137.1883
850.000000 84.447 -136.1054
862.000000 84.499 -134.9311
875.000000 84.550 -133.7850
885.000000 84.597 -132.9286
900.000000 84.675 -131.5980
912.000000 84.739 -130.5473
925.000000 84.814 -129.4867
938.000000 84.881 -128.4726
950.000000 84.941 -127.5285
962.000000 85.015 -126.5588
975.000000 85.094 -125.5316
988.000000 85.161 -124.5332
1000.000000 85.227 -123.5792
1015.000000 85.325 -122.4359
1030.000000 85.436 -121.4408
1044.000000 85.540 -120.5327
1060.000000 85.657 -119.5391
1075.000000 85.766 -118.6715
1090.000000 85.864 -117.7930
1106.000000 85.967 -116.8958
1120.000000 86.059 -116.1713
1138.000000 86.175 -115.2394
1150.000000 86.255 -114.6351
1172.000000 86.409 -113.5981
1180.000000 86.462 -113.2513
1206.000000 86.622 -112.2205
1220.000000 86.705 -111.6766
1241.000000 86.831 -110.8071
1250.000000 86.890 -110.4500
1265.000000 86.992 -109.9040
1280.000000 87.091 -109.3697
1315.000000 87.273 -108.0567
1320.000000 87.297 -107.8727
1340.000000 87.397 -107.1683
1360.000000 87.496 -106.4788
1380.000000 87.598 -105.7576
1400.000000 87.697 -105.0812
1430.000000 87.843 -103.9719
1450.000000 87.936 -103.2364
1475.000000 88.048 -102.3454
1500.000000 88.158 -101.4473
1525.000000 88.274 -100.5441
1550.000000 88.383 -99.5982
1575.000000 88.478 -98.6276
1600.000000 88.576 -97.6885
1625.000000 88.677 -96.7366
1650.000000 88.771 -95.7408
1675.000000 88.872 -94.7292
1700.000000 88.983 -93.7228
1725.000000 89.095 -92.7224
1750.000000 89.205 -91.7235
1775.000000 89.318 -90.7414
1800.000000 89.441 -89.7631
1825.000000 89.566 -88.7997
1850.000000 89.692 -87.8335
1875.000000 89.820 -86.8770
1900.000000 89.955 -85.9455
1925.000000 90.095 -85.0175
1950.000000 90.240 -84.1227
1975.000000 90.392 -83.2565
2000.000000 90.548 -82.4157
2030.000000 90.742 -81.4593
2060.000000 90.940 -80.5401
2090.000000 91.139 -79.6654
2120.000000 91.339 -78.8636
2140.000000 91.478 -78.3750
2180.000000 91.765 -77.4723
2200.000000 91.910 -77.0499
2240.000000 92.201 -76.2937
2270.000000 92.417 -75.8393
2300.000000 92.635 -75.4753
2330.000000 92.853 -75.1929
2360.000000 93.067 -74.9767
2400.000000 93.343 -74.7964
2430.000000 93.544 -74.7519
2470.000000 93.805 -74.7851
2500.000000 93.997 -74.8729
2540.000000 94.245 -75.0830
2580.000000 94.484 -75.3793
2620.000000 94.712 -75.7948
2650.000000 94.877 -76.2003
2690.000000 95.086 -76.8842
2720.000000 95.231 -77.4925
2760.000000 95.404 -78.4199
2800.000000 95.548 -79.4723
2850.000000 95.681 -80.8867
2900.000000 95.762 -82.2961
2950.000000 95.802 -83.6180
3000.000000 95.823 -84.8886
3040.000000 95.828 -85.9779
3070.000000 95.815 -86.8727
3110.000000 95.762 -88.1442
3150.000000 95.655 -89.4258
3200.000000 95.446 -90.8563
3250.000000 95.174 -91.9265
3300.000000 94.859 -92.6233
3350.000000 94.521 -92.9525
3400.000000 94.183 -92.9517
3450.000000 93.856 -92.6626
3500.000000 93.542 -92.0949
3550.000000 93.238 -91.2839
3600.000000 92.930 -90.2864
3650.000000 92.618 -89.1214
3700.000000 92.303 -87.7830
3750.000000 91.991 -86.2922
3820.000000 91.581 -83.9896
3870.000000 91.320 -82.1910
3950.000000 90.999 -79.0979
4000.000000 90.850 -77.0341
4060.000000 90.723 -74.4993
4120.000000 90.642 -71.9623
4180.000000 90.587 -69.5062
4250.000000 90.542 -66.7125
4310.000000 90.507 -64.4317
4370.000000 90.471 -62.2123
4440.000000 90.432 -59.6388
4500.000000 90.405 -57.5005
4550.000000 90.385 -55.7836
4620.000000 90.359 -53.4517
4680.000000 90.339 -51.5182
4750.000000 90.321 -49.3095
4820.000000 90.298 -47.1185
4870.000000 90.281 -45.5563
4940.000000 90.265 -43.3504
5000.000000 90.268 -41.4371
5080.000000 90.303 -38.9010
5150.000000 90.370 -36.7447
5220.000000 90.474 -34.7243
5300.000000 90.633 -32.6629
