* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control. Timing signal peak level -18.8 dBFS, measurement signal peak level -17.1 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Feb 12, 2026 8:22:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0891 ms (-31 mm, -1.2 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset Clock adjustment: 1.3 ppm
* Measurement: Dunu Ito S&S L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 97.200 176.3849
20.299999 96.047 178.9262
20.600000 95.438 -174.8365
20.900000 95.635 -168.5185
21.200001 96.310 -165.4197
21.400000 96.780 -165.3124
21.799999 97.434 -167.9948
22.000000 97.580 -169.9284
22.400000 97.587 -173.4407
22.700001 97.474 -175.1529
23.000000 97.381 -176.0543
23.299999 97.370 -176.5393
23.600000 97.430 -177.0676
24.000000 97.528 -178.1900
24.299999 97.556 -179.1969
24.700001 97.524 179.7120
25.000000 97.487 179.2724
25.400000 97.486 179.0670
25.799999 97.550 178.8629
26.200001 97.623 178.3565
26.500000 97.644 177.8400
26.900000 97.617 177.2386
27.200001 97.575 176.9921
27.600000 97.534 176.9174
28.000000 97.531 176.8912
28.500000 97.548 176.5718
29.000000 97.527 175.9719
29.500000 97.466 175.4387
30.000000 97.425 175.0605
30.400000 97.428 174.6636
30.700001 97.440 174.1997
31.100000 97.443 173.3705
31.500000 97.409 172.4694
32.000000 97.335 171.5777
32.500000 97.288 171.0432
33.000000 97.305 170.5662
33.500000 97.350 169.8561
34.000000 97.366 169.0170
34.500000 97.350 168.3444
35.000000 97.342 167.9070
35.500000 97.350 167.5167
36.000000 97.348 167.0757
36.500000 97.323 166.7023
37.000000 97.300 166.4449
37.500000 97.292 166.1191
38.200001 97.232 165.4147
38.700001 97.133 165.1531
39.500000 97.066 165.4610
40.000000 97.148 165.2657
40.599998 97.227 163.9999
41.200001 97.146 162.4127
41.799999 96.978 161.6017
42.500000 96.894 161.4853
43.099998 96.922 161.0925
43.700001 96.925 160.2783
44.400002 96.864 159.4615
45.000000 96.817 159.0693
45.500000 96.800 158.7781
46.200001 96.779 158.1932
46.799999 96.731 157.5873
47.500000 96.632 157.0685
48.200001 96.546 156.9102
48.700001 96.524 156.8163
49.400002 96.519 156.3762
50.000000 96.492 155.8059
50.799999 96.441 155.1747
51.500000 96.429 154.5555
52.200001 96.393 153.6720
53.000000 96.277 152.9494
53.799999 96.195 152.8968
54.500000 96.201 152.8137
55.200001 96.205 152.3809
56.000000 96.159 151.9151
57.000000 96.119 151.5944
58.000000 96.061 151.0573
59.000000 95.965 151.1248
60.000000 96.029 151.2130
60.799999 96.084 150.2894
61.500000 96.026 149.2559
62.200001 95.910 148.5464
63.000000 95.781 148.0938
64.000000 95.648 147.7134
65.000000 95.541 147.4594
66.000000 95.465 147.1643
67.000000 95.396 146.6359
68.000000 95.300 146.1038
69.000000 95.215 145.8110
70.000000 95.161 145.4662
71.000000 95.098 145.0240
72.000000 95.027 144.6689
73.000000 94.963 144.3541
74.000000 94.903 144.0189
75.000000 94.844 143.6614
76.199997 94.770 143.1566
77.500000 94.673 142.6724
78.800003 94.605 142.2856
80.000000 94.535 141.5829
81.199997 94.396 141.0693
82.500000 94.278 140.9839
83.800003 94.187 140.6738
85.000000 94.089 140.4218
86.199997 94.011 140.1771
87.500000 93.923 139.8494
88.500000 93.853 139.6569
90.000000 93.760 139.4316
91.199997 93.693 139.1568
92.500000 93.597 138.7432
93.800003 93.485 138.4120
95.000000 93.390 138.1520
96.199997 93.308 137.8372
97.500000 93.216 137.4050
98.800003 93.113 137.0816
100.000000 93.029 136.9253
101.500000 92.934 136.7173
103.000000 92.827 136.5460
104.400002 92.718 136.4344
106.000000 92.600 136.3838
107.500000 92.501 136.1505
109.000000 92.398 135.8339
110.599998 92.299 135.5446
112.000000 92.225 135.3857
113.800003 92.111 135.3218
115.000000 92.007 135.4319
117.199997 91.730 135.4156
118.000000 91.584 135.3530
120.599998 91.277 136.4058
122.000000 91.303 135.7973
124.099998 91.269 134.6527
125.000000 91.247 134.4615
126.500000 91.204 134.4063
128.000000 91.140 134.3895
131.500000 90.872 133.7152
132.000000 90.828 133.6117
134.000000 90.682 133.4655
136.000000 90.598 133.6905
138.000000 90.531 134.1075
140.000000 90.422 134.4951
143.000000 90.058 134.4689
145.000000 89.726 134.7351
147.500000 89.406 134.7886
150.000000 89.128 136.8635
152.500000 89.217 137.5411
155.000000 89.437 136.6830
157.500000 90.151 135.9379
160.000000 90.659 133.8970
162.500000 90.055 134.3638
165.000000 89.345 136.6650
167.500000 89.162 136.8807
170.000000 89.218 136.0420
172.500000 89.050 137.7123
175.000000 88.762 138.2895
177.500000 88.417 137.5336
180.000000 88.285 137.1770
182.500000 88.146 137.2122
185.000000 87.917 137.3747
187.500000 87.773 136.9492
190.000000 87.690 137.1568
192.500000 87.519 139.3783
195.000000 87.373 142.4147
197.500000 87.341 142.6058
200.000000 87.210 140.6523
203.000000 87.058 140.1888
206.000000 86.961 141.0206
209.000000 86.872 142.2825
212.000000 86.852 142.7770
214.000000 86.845 142.6212
218.000000 86.841 142.7562
220.000000 86.824 143.0376
224.000000 86.676 143.9131
227.000000 86.542 144.3748
230.000000 86.386 144.7678
233.000000 86.244 145.4423
236.000000 86.154 145.8076
240.000000 86.044 146.1321
243.000000 85.952 146.8410
247.000000 85.835 147.9370
250.000000 85.738 148.4099
254.000000 85.643 148.9944
258.000000 85.586 149.8295
262.000000 85.468 150.7687
265.000000 85.388 151.3124
269.000000 85.298 151.9995
272.000000 85.233 152.4971
276.000000 85.115 153.0257
280.000000 84.944 153.7747
285.000000 84.893 154.6104
290.000000 84.897 155.6577
295.000000 84.805 156.8465
300.000000 84.713 157.9253
304.000000 84.632 158.4155
307.000000 84.571 158.7028
311.000000 84.489 159.1830
315.000000 84.423 159.8017
320.000000 84.375 160.7286
325.000000 84.331 161.6262
330.000000 84.257 162.5516
335.000000 84.159 163.1643
340.000000 84.082 163.9331
345.000000 84.037 164.9196
350.000000 84.002 165.8647
355.000000 83.979 166.7454
360.000000 83.949 167.4312
365.000000 83.912 168.3049
370.000000 83.868 169.2372
375.000000 83.838 170.0148
382.000000 83.799 171.0260
387.000000 83.777 171.6519
395.000000 83.756 172.6675
400.000000 83.724 173.2788
406.000000 83.709 174.1813
412.000000 83.690 175.0928
418.000000 83.648 176.0937
425.000000 83.618 177.0942
431.000000 83.588 177.9423
437.000000 83.573 178.6607
444.000000 83.559 179.2917
450.000000 83.515 -179.8172
455.000000 83.480 -179.0105
462.000000 83.477 -178.0481
468.000000 83.485 -177.2938
475.000000 83.471 -176.6046
482.000000 83.450 -175.9255
487.000000 83.448 -175.3228
494.000000 83.422 -174.3670
500.000000 83.380 -173.5193
508.000000 83.364 -172.4059
515.000000 83.387 -171.5620
522.000000 83.406 -170.7311
530.000000 83.408 -169.7966
538.000000 83.419 -168.9767
545.000000 83.445 -168.2297
552.000000 83.484 -167.4446
560.000000 83.515 -166.6652
570.000000 83.488 -165.7644
580.000000 83.454 -164.8270
590.000000 83.451 -163.8716
600.000000 83.460 -162.9172
608.000000 83.465 -162.0585
615.000000 83.468 -161.3059
622.000000 83.473 -160.6250
630.000000 83.489 -159.8529
640.000000 83.504 -159.0287
650.000000 83.514 -158.1305
660.000000 83.515 -157.1597
670.000000 83.514 -156.2112
680.000000 83.538 -155.3512
690.000000 83.555 -154.3739
700.000000 83.564 -153.3168
710.000000 83.575 -152.3070
720.000000 83.594 -151.4000
730.000000 83.617 -150.4817
740.000000 83.639 -149.5107
750.000000 83.660 -148.6695
762.000000 83.692 -147.6147
775.000000 83.724 -146.3636
788.000000 83.759 -145.0685
800.000000 83.792 -143.8778
812.000000 83.818 -142.7971
825.000000 83.845 -141.6570
838.000000 83.881 -140.4326
850.000000 83.929 -139.3983
862.000000 83.996 -138.2864
875.000000 84.063 -137.1062
885.000000 84.105 -136.2743
900.000000 84.172 -134.9798
912.000000 84.226 -133.8832
925.000000 84.294 -132.8036
938.000000 84.363 -131.7535
950.000000 84.432 -130.7561
962.000000 84.507 -129.8322
975.000000 84.570 -128.8458
988.000000 84.638 -127.7695
1000.000000 84.704 -126.8431
1015.000000 84.795 -125.7169
1030.000000 84.895 -124.6621
1044.000000 84.987 -123.7397
1060.000000 85.105 -122.7924
1075.000000 85.209 -121.8575
1090.000000 85.304 -120.9635
1106.000000 85.413 -120.1662
1120.000000 85.507 -119.4590
1138.000000 85.620 -118.5189
1150.000000 85.691 -117.9227
1172.000000 85.822 -116.9180
1180.000000 85.873 -116.5817
1206.000000 86.029 -115.5660
1220.000000 86.105 -115.0119
1241.000000 86.231 -114.0599
1250.000000 86.290 -113.6704
1265.000000 86.394 -113.0798
1280.000000 86.500 -112.5048
1315.000000 86.684 -111.2535
1320.000000 86.706 -111.0905
1340.000000 86.793 -110.4477
1360.000000 86.881 -109.7513
1380.000000 86.976 -109.0151
1400.000000 87.077 -108.3029
1430.000000 87.208 -107.2524
1450.000000 87.295 -106.5431
1475.000000 87.402 -105.6348
1500.000000 87.500 -104.7447
1525.000000 87.594 -103.8128
1550.000000 87.683 -102.8263
1575.000000 87.772 -101.8395
1600.000000 87.864 -100.8760
1625.000000 87.958 -99.9053
1650.000000 88.049 -98.8885
1675.000000 88.139 -97.8737
1700.000000 88.231 -96.8669
1725.000000 88.325 -95.8181
1750.000000 88.424 -94.8024
1775.000000 88.529 -93.8023
1800.000000 88.637 -92.7589
1825.000000 88.748 -91.7080
1850.000000 88.867 -90.6777
1875.000000 88.989 -89.6383
1900.000000 89.113 -88.6374
1925.000000 89.244 -87.6815
1950.000000 89.379 -86.7435
1975.000000 89.517 -85.8176
2000.000000 89.659 -84.9256
2030.000000 89.834 -83.8696
2060.000000 90.015 -82.8166
2090.000000 90.202 -81.8173
2120.000000 90.395 -80.9019
2140.000000 90.528 -80.3158
2180.000000 90.800 -79.1968
2200.000000 90.938 -78.6847
2240.000000 91.219 -77.7389
2270.000000 91.431 -77.1182
2300.000000 91.645 -76.5808
2330.000000 91.856 -76.1009
2360.000000 92.064 -75.7097
2400.000000 92.340 -75.2785
2430.000000 92.544 -75.0341
2470.000000 92.802 -74.8182
2500.000000 92.986 -74.6824
2540.000000 93.227 -74.5572
2580.000000 93.467 -74.4861
2620.000000 93.708 -74.4422
2650.000000 93.890 -74.4653
2690.000000 94.139 -74.5909
2720.000000 94.330 -74.7692
2760.000000 94.586 -75.1708
2800.000000 94.837 -75.8149
2850.000000 95.126 -76.9586
2900.000000 95.369 -78.4562
2950.000000 95.556 -80.2469
3000.000000 95.670 -82.2146
3040.000000 95.705 -83.8388
3070.000000 95.698 -85.0428
3110.000000 95.645 -86.5882
3150.000000 95.548 -88.0057
3200.000000 95.370 -89.5541
3250.000000 95.146 -90.8230
3300.000000 94.884 -91.8099
3350.000000 94.597 -92.5335
3400.000000 94.297 -93.0185
3450.000000 93.990 -93.2678
3500.000000 93.680 -93.2502
3550.000000 93.365 -92.9864
3600.000000 93.037 -92.4936
3650.000000 92.697 -91.7587
3700.000000 92.345 -90.8254
3750.000000 91.988 -89.7203
3820.000000 91.500 -87.8844
3870.000000 91.176 -86.3390
3950.000000 90.741 -83.4345
4000.000000 90.524 -81.3906
4060.000000 90.323 -78.7983
4120.000000 90.171 -76.1533
4180.000000 90.042 -73.4952
4250.000000 89.915 -70.3969
4310.000000 89.821 -67.7392
4370.000000 89.741 -65.0796
4440.000000 89.661 -61.9905
4500.000000 89.606 -59.3698
4550.000000 89.567 -57.2034
4620.000000 89.529 -54.1869
4680.000000 89.514 -51.6224
4750.000000 89.517 -48.6621
4820.000000 89.546 -45.7528
4870.000000 89.579 -43.7289
4940.000000 89.644 -40.9644
5000.000000 89.723 -38.6512
5080.000000 89.867 -35.7004
5150.000000 90.027 -33.2454
5220.000000 90.229 -30.9598
5300.000000 90.501 -28.6669
