* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control. Timing signal peak level -21.4 dBFS, measurement signal peak level -16.7 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Feb 12, 2026 8:25:10 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0875 ms (-30 mm, -1.18 in) using estimated IR delay relative to Acoustic reference played from  R with no timing offset Clock adjustment: 1.7 ppm
* Measurement: Dunu Ito S&S R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 96.888 -177.6101
20.299999 97.234 -175.9727
20.600000 97.578 -175.9547
20.900000 97.776 -176.9267
21.200001 97.797 -178.0183
21.400000 97.740 -178.4548
21.799999 97.597 -178.2633
22.000000 97.572 -177.7551
22.400000 97.679 -176.7702
22.700001 97.839 -176.6909
23.000000 97.972 -177.3278
23.299999 98.014 -178.4072
23.600000 97.950 -179.4979
24.000000 97.764 179.6457
24.299999 97.630 179.5709
24.700001 97.555 179.8099
25.000000 97.578 179.7883
25.400000 97.641 179.0991
25.799999 97.646 177.7955
26.200001 97.553 176.3971
26.500000 97.438 175.5953
26.900000 97.281 175.0480
27.200001 97.202 174.9792
27.600000 97.183 175.0590
28.000000 97.258 174.9297
28.500000 97.410 173.9961
29.000000 97.495 172.2119
29.500000 97.408 170.2848
30.000000 97.171 169.2610
30.400000 96.982 169.4972
30.700001 96.910 170.1428
31.100000 96.943 171.0712
31.500000 97.077 171.4791
32.000000 97.240 171.0138
32.500000 97.301 170.0210
33.000000 97.288 169.1235
33.500000 97.270 168.3395
34.000000 97.244 167.3842
34.500000 97.154 166.3420
35.000000 97.000 165.6825
35.500000 96.871 165.5981
36.000000 96.834 165.6612
36.500000 96.855 165.3639
37.000000 96.862 164.7274
37.500000 96.850 164.0262
38.200001 96.857 162.6833
38.700001 96.800 161.1080
39.500000 96.357 159.0573
40.000000 95.989 159.6135
40.599998 95.835 161.7438
41.200001 96.018 162.8350
41.799999 96.183 162.1201
42.500000 96.196 161.0453
43.099998 96.264 160.4680
43.700001 96.405 159.1688
44.400002 96.410 156.7961
45.000000 96.257 155.4143
45.500000 96.150 155.0339
46.200001 96.109 154.8016
46.799999 96.079 154.5870
47.500000 96.054 154.8188
48.200001 96.134 155.0894
48.700001 96.192 154.8949
49.400002 96.180 154.5569
50.000000 96.145 154.6808
50.799999 96.160 154.8887
51.500000 96.157 154.7829
52.200001 96.145 154.7067
53.000000 96.166 154.1536
53.799999 96.080 153.0611
54.500000 95.932 152.5391
55.200001 95.845 152.2451
56.000000 95.769 151.5136
57.000000 95.640 150.6254
58.000000 95.551 149.6224
59.000000 95.400 148.9583
60.000000 95.373 148.9305
60.799999 95.394 148.5248
61.500000 95.384 148.2354
62.200001 95.397 147.9958
63.000000 95.403 147.3316
64.000000 95.278 146.5622
65.000000 95.148 146.5020
66.000000 95.057 146.1615
67.000000 94.913 145.7511
68.000000 94.821 145.6060
69.000000 94.783 145.0182
70.000000 94.700 144.3625
71.000000 94.651 144.0929
72.000000 94.638 143.5029
73.000000 94.539 142.9198
74.000000 94.455 143.0006
75.000000 94.446 142.6476
76.199997 94.304 141.7893
77.500000 94.183 141.7407
78.800003 94.119 140.7545
80.000000 93.922 140.2851
81.199997 93.840 140.7808
82.500000 93.855 140.4893
83.800003 93.734 139.7718
85.000000 93.594 139.7413
86.199997 93.510 139.5290
87.500000 93.390 138.9907
88.500000 93.292 138.7284
90.000000 93.191 138.4563
91.199997 93.124 138.2013
92.500000 93.036 138.0482
93.800003 92.944 138.0088
95.000000 92.844 137.8864
96.199997 92.732 137.7702
97.500000 92.633 137.6429
98.800003 92.581 137.3815
100.000000 92.530 136.9465
101.500000 92.430 136.8901
103.000000 92.351 137.1374
104.400002 92.239 136.8879
106.000000 92.009 136.5324
107.500000 91.861 136.2127
109.000000 91.773 135.6084
110.599998 91.699 135.4338
112.000000 91.616 135.7459
113.800003 91.429 136.2786
115.000000 91.271 136.0668
117.199997 90.998 132.7911
118.000000 90.881 130.5818
120.599998 90.104 129.7046
122.000000 90.288 133.5372
124.099998 90.689 135.4608
125.000000 90.740 135.9376
126.500000 90.688 136.3965
128.000000 90.552 136.4943
131.500000 90.296 135.3993
132.000000 90.254 135.3096
134.000000 90.067 135.4912
136.000000 89.872 136.0786
138.000000 89.768 136.3257
140.000000 89.721 135.8424
143.000000 89.542 135.9482
145.000000 89.377 137.1277
147.500000 89.107 138.5118
150.000000 88.905 140.2543
152.500000 88.927 139.7404
155.000000 88.882 137.9630
157.500000 88.875 136.9730
160.000000 88.847 136.7814
162.500000 88.660 137.6927
165.000000 88.478 138.9947
167.500000 88.352 139.3432
170.000000 88.282 139.2102
172.500000 88.189 138.9625
175.000000 88.062 139.3048
177.500000 87.931 139.8469
180.000000 87.788 140.2638
182.500000 87.620 140.6303
185.000000 87.474 141.0569
187.500000 87.354 141.4327
190.000000 87.230 141.7893
192.500000 87.071 142.1079
195.000000 86.923 142.5966
197.500000 86.849 142.9422
200.000000 86.783 143.1357
203.000000 86.694 143.9996
206.000000 86.604 144.8384
209.000000 86.497 145.3521
212.000000 86.401 145.5303
214.000000 86.338 145.7889
218.000000 86.240 146.8470
220.000000 86.182 147.3823
224.000000 86.008 148.2867
227.000000 85.887 148.9712
230.000000 85.818 149.4698
233.000000 85.760 149.9791
236.000000 85.674 150.6307
240.000000 85.555 151.5530
243.000000 85.517 152.1114
247.000000 85.474 152.7215
250.000000 85.406 153.2833
254.000000 85.313 154.2112
258.000000 85.239 154.8558
262.000000 85.148 155.6194
265.000000 85.069 156.3286
269.000000 84.952 157.0593
272.000000 84.877 157.7280
276.000000 84.834 158.2885
280.000000 84.808 158.3914
285.000000 84.708 159.7531
290.000000 84.608 161.2487
295.000000 84.543 162.1842
300.000000 84.555 163.0898
304.000000 84.504 163.5813
307.000000 84.452 163.9702
311.000000 84.407 164.7528
315.000000 84.369 165.5695
320.000000 84.316 166.2791
325.000000 84.271 167.0536
330.000000 84.282 167.9461
335.000000 84.298 168.6826
340.000000 84.269 169.4828
345.000000 84.193 170.1566
350.000000 84.145 171.0733
355.000000 84.109 171.9985
360.000000 84.083 172.7150
365.000000 84.082 173.2782
370.000000 84.084 173.9167
375.000000 84.065 174.6967
382.000000 84.016 175.8796
387.000000 84.012 176.6613
395.000000 83.992 177.7900
400.000000 83.977 178.4110
406.000000 83.961 179.3727
412.000000 83.951 -179.7393
418.000000 83.936 -178.9995
425.000000 83.899 -178.2141
431.000000 83.892 -177.5021
437.000000 83.902 -176.7125
444.000000 83.926 -175.7391
450.000000 83.929 -175.1954
455.000000 83.915 -174.6871
462.000000 83.913 -173.9682
468.000000 83.907 -173.4296
475.000000 83.898 -172.7639
482.000000 83.898 -171.8311
487.000000 83.895 -171.1532
494.000000 83.895 -170.4182
500.000000 83.911 -169.8905
508.000000 83.924 -169.1293
515.000000 83.921 -168.4396
522.000000 83.924 -167.7468
530.000000 83.927 -166.9796
538.000000 83.918 -166.2738
545.000000 83.923 -165.5900
552.000000 83.926 -164.8815
560.000000 83.895 -164.1152
570.000000 83.909 -163.2927
580.000000 83.948 -162.2705
590.000000 83.955 -161.2575
600.000000 83.951 -160.4344
608.000000 83.961 -159.8592
615.000000 83.965 -159.2093
622.000000 83.969 -158.5148
630.000000 83.980 -157.7890
640.000000 83.986 -156.9376
650.000000 83.971 -156.1057
660.000000 83.966 -155.1620
670.000000 83.987 -153.9653
680.000000 83.996 -152.9671
690.000000 84.012 -152.0469
700.000000 84.034 -151.0630
710.000000 84.059 -150.1657
720.000000 84.089 -149.3018
730.000000 84.127 -148.4217
740.000000 84.156 -147.5583
750.000000 84.175 -146.6528
762.000000 84.201 -145.5605
775.000000 84.224 -144.4590
788.000000 84.261 -143.3121
800.000000 84.286 -142.2339
812.000000 84.324 -141.1472
825.000000 84.377 -140.0295
838.000000 84.432 -138.8850
850.000000 84.482 -137.7951
862.000000 84.527 -136.7117
875.000000 84.583 -135.6681
885.000000 84.633 -134.8691
900.000000 84.694 -133.5701
912.000000 84.747 -132.5236
925.000000 84.816 -131.4427
938.000000 84.895 -130.3150
950.000000 84.981 -129.3493
962.000000 85.060 -128.4509
975.000000 85.135 -127.4174
988.000000 85.216 -126.4047
1000.000000 85.299 -125.5931
1015.000000 85.407 -124.6021
1030.000000 85.509 -123.6096
1044.000000 85.599 -122.6679
1060.000000 85.703 -121.6153
1075.000000 85.806 -120.7552
1090.000000 85.911 -119.9205
1106.000000 86.020 -119.0807
1120.000000 86.112 -118.4400
1138.000000 86.223 -117.5548
1150.000000 86.300 -117.0076
1172.000000 86.438 -116.0888
1180.000000 86.489 -115.7489
1206.000000 86.657 -114.6928
1220.000000 86.747 -114.2018
1241.000000 86.881 -113.3952
1250.000000 86.943 -113.0543
1265.000000 87.047 -112.5396
1280.000000 87.140 -112.0590
1315.000000 87.321 -110.7875
1320.000000 87.345 -110.6055
1340.000000 87.436 -109.9092
1360.000000 87.530 -109.2477
1380.000000 87.634 -108.5716
1400.000000 87.742 -107.9121
1430.000000 87.884 -106.9274
1450.000000 87.976 -106.2269
1475.000000 88.087 -105.3328
1500.000000 88.205 -104.4658
1525.000000 88.315 -103.6117
1550.000000 88.418 -102.7506
1575.000000 88.516 -101.8790
1600.000000 88.613 -100.9596
1625.000000 88.709 -100.0107
1650.000000 88.807 -99.1170
1675.000000 88.907 -98.1969
1700.000000 89.010 -97.2149
1725.000000 89.117 -96.2557
1750.000000 89.228 -95.2889
1775.000000 89.339 -94.3101
1800.000000 89.453 -93.3601
1825.000000 89.574 -92.4275
1850.000000 89.703 -91.4814
1875.000000 89.834 -90.5565
1900.000000 89.968 -89.6480
1925.000000 90.109 -88.7590
1950.000000 90.255 -87.9153
1975.000000 90.404 -87.0853
2000.000000 90.556 -86.2627
2030.000000 90.744 -85.3284
2060.000000 90.939 -84.4336
2090.000000 91.139 -83.5922
2120.000000 91.345 -82.7963
2140.000000 91.485 -82.2843
2180.000000 91.769 -81.4013
2200.000000 91.915 -81.0063
2240.000000 92.210 -80.2830
2270.000000 92.432 -79.8320
2300.000000 92.653 -79.4636
2330.000000 92.874 -79.1913
2360.000000 93.095 -78.9885
2400.000000 93.384 -78.8497
2430.000000 93.596 -78.8332
2470.000000 93.876 -78.9166
2500.000000 94.078 -79.0525
2540.000000 94.341 -79.3335
2580.000000 94.595 -79.7416
2620.000000 94.839 -80.2579
2650.000000 95.017 -80.7310
2690.000000 95.243 -81.5238
2720.000000 95.403 -82.2307
2760.000000 95.600 -83.3183
2800.000000 95.769 -84.5782
2850.000000 95.934 -86.3528
2900.000000 96.038 -88.2842
2950.000000 96.070 -90.3070
3000.000000 96.030 -92.2826
3040.000000 95.949 -93.7483
3070.000000 95.861 -94.7707
3110.000000 95.712 -95.9851
3150.000000 95.532 -97.0109
3200.000000 95.268 -97.9893
3250.000000 94.979 -98.6062
3300.000000 94.676 -98.9358
3350.000000 94.371 -99.0251
3400.000000 94.076 -98.9322
3450.000000 93.788 -98.6699
3500.000000 93.504 -98.2190
3550.000000 93.221 -97.5952
3600.000000 92.929 -96.7868
3650.000000 92.631 -95.8275
3700.000000 92.321 -94.7352
3750.000000 92.005 -93.5250
3820.000000 91.566 -91.6072
3870.000000 91.278 -90.0276
3950.000000 90.893 -87.1180
4000.000000 90.707 -85.0840
4060.000000 90.541 -82.5326
4120.000000 90.425 -79.9355
4180.000000 90.342 -77.3509
4250.000000 90.265 -74.4001
4310.000000 90.210 -71.9740
4370.000000 90.165 -69.5816
4440.000000 90.123 -66.8358
4500.000000 90.094 -64.5437
4550.000000 90.075 -62.6734
4620.000000 90.062 -60.1256
4680.000000 90.058 -58.0137
4750.000000 90.064 -55.6177
4820.000000 90.077 -53.3093
4870.000000 90.090 -51.7141
4940.000000 90.119 -49.5321
5000.000000 90.158 -47.7025
5080.000000 90.224 -45.3801
5150.000000 90.303 -43.4214
5220.000000 90.410 -41.5546
