* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control. Timing signal peak level -22.1 dBFS, measurement signal peak level -17.5 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Feb 12, 2026 8:40:29 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0891 ms (-31 mm, -1.2 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset Clock adjustment: 1.7 ppm
* Measurement: Dunu Ito stock gray L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 97.853 -171.1886
20.299999 97.874 -171.6978
20.600000 97.898 -172.2488
20.900000 97.921 -172.8450
21.200001 97.941 -173.4834
21.400000 97.951 -173.9243
21.799999 97.958 -174.8046
22.000000 97.956 -175.2258
22.400000 97.948 -176.0052
22.700001 97.944 -176.5455
23.000000 97.945 -177.0784
23.299999 97.947 -177.6306
23.600000 97.944 -178.2060
24.000000 97.923 -178.9591
24.299999 97.895 -179.4549
24.700001 97.855 -179.9673
25.000000 97.835 179.7433
25.400000 97.832 179.3866
25.799999 97.847 178.9470
26.200001 97.861 178.3816
26.500000 97.861 177.9080
26.900000 97.849 177.2773
27.200001 97.834 176.8276
27.600000 97.815 176.2457
28.000000 97.793 175.6545
28.500000 97.753 174.9211
29.000000 97.702 174.2805
29.500000 97.663 173.7308
30.000000 97.641 173.1223
30.400000 97.618 172.5380
30.700001 97.588 172.0901
31.100000 97.532 171.5956
31.500000 97.477 171.3046
32.000000 97.455 171.1299
32.500000 97.497 170.8081
33.000000 97.552 170.0796
33.500000 97.561 169.0991
34.000000 97.518 168.2430
34.500000 97.466 167.7037
35.000000 97.447 167.3293
35.500000 97.447 166.8911
36.000000 97.432 166.3962
36.500000 97.403 166.0201
37.000000 97.394 165.7681
37.500000 97.410 165.3927
38.200001 97.373 164.5137
38.700001 97.259 164.1892
39.500000 97.142 165.0643
40.000000 97.253 165.6056
40.599998 97.460 164.9063
41.200001 97.509 163.0729
41.799999 97.354 161.5490
42.500000 97.160 161.0446
43.099998 97.117 160.8162
43.700001 97.095 160.0965
44.400002 96.993 159.2103
45.000000 96.914 158.8930
45.500000 96.905 158.6967
46.200001 96.930 157.9588
46.799999 96.899 156.9846
47.500000 96.774 156.1238
48.200001 96.643 155.9938
48.700001 96.604 156.1703
49.400002 96.628 156.2185
50.000000 96.660 155.8358
50.799999 96.647 155.0501
51.500000 96.599 154.4395
52.200001 96.542 153.9349
53.000000 96.472 153.5252
53.799999 96.433 153.2033
54.500000 96.411 152.7369
55.200001 96.357 152.1530
56.000000 96.263 151.6714
57.000000 96.176 151.3379
58.000000 96.136 150.6287
59.000000 96.011 149.4151
60.000000 95.807 148.9708
60.799999 95.750 149.0001
61.500000 95.738 148.6179
62.200001 95.684 148.1752
63.000000 95.634 148.0999
64.000000 95.677 147.9238
65.000000 95.689 147.3188
66.000000 95.655 146.8876
67.000000 95.608 146.4542
68.000000 95.534 146.0090
69.000000 95.445 145.5592
70.000000 95.342 145.1357
71.000000 95.247 144.7694
72.000000 95.163 144.3611
73.000000 95.079 144.0072
74.000000 95.009 143.7595
75.000000 94.953 143.5047
76.199997 94.881 143.1341
77.500000 94.791 142.7328
78.800003 94.696 142.2792
80.000000 94.615 141.8414
81.199997 94.537 141.2639
82.500000 94.431 140.7529
83.800003 94.339 140.5009
85.000000 94.276 140.2505
86.199997 94.202 139.9104
87.500000 94.103 139.5576
88.500000 94.018 139.3041
90.000000 93.893 139.0349
91.199997 93.811 138.8339
92.500000 93.733 138.6078
93.800003 93.660 138.2952
95.000000 93.572 138.0134
96.199997 93.483 137.8071
97.500000 93.389 137.5161
98.800003 93.290 137.2136
100.000000 93.203 137.0067
101.500000 93.120 136.7982
103.000000 93.047 136.3860
104.400002 92.925 135.9078
106.000000 92.772 135.8568
107.500000 92.675 135.7990
109.000000 92.579 135.5944
110.599998 92.458 135.5187
112.000000 92.364 135.5486
113.800003 92.248 135.3636
115.000000 92.168 135.1142
117.199997 92.071 134.4385
118.000000 92.049 134.0282
120.599998 91.807 132.9121
122.000000 91.673 133.5051
124.099998 91.550 134.1138
125.000000 91.489 134.2634
126.500000 91.379 134.4218
128.000000 91.263 134.4485
131.500000 91.002 134.3697
132.000000 90.971 134.3257
134.000000 90.865 134.1401
136.000000 90.770 133.9989
138.000000 90.657 134.2892
140.000000 90.558 134.8737
143.000000 90.383 134.9045
145.000000 90.185 134.4255
147.500000 89.791 133.3855
150.000000 89.386 133.9735
152.500000 89.434 134.6277
155.000000 89.500 134.6699
157.500000 89.305 135.4576
160.000000 89.017 136.6201
162.500000 88.982 136.4998
165.000000 88.985 135.3896
167.500000 88.950 135.8613
170.000000 88.869 136.5816
172.500000 88.682 136.7677
175.000000 88.456 137.1835
177.500000 88.257 137.4604
180.000000 88.017 137.4586
182.500000 87.826 138.4686
185.000000 87.819 139.9466
187.500000 87.865 140.7968
190.000000 87.854 141.1591
192.500000 87.829 141.4356
195.000000 87.842 141.5359
197.500000 87.832 141.4293
200.000000 87.759 141.3958
203.000000 87.604 141.5853
206.000000 87.440 141.8920
209.000000 87.281 142.1790
212.000000 87.140 142.3928
214.000000 87.049 142.5841
218.000000 86.879 143.3410
220.000000 86.812 143.7780
224.000000 86.698 144.2801
227.000000 86.585 144.6675
230.000000 86.467 145.1703
233.000000 86.358 145.7188
236.000000 86.256 146.2578
240.000000 86.102 146.8915
243.000000 86.008 147.5426
247.000000 85.908 148.2041
250.000000 85.851 148.6395
254.000000 85.784 149.5839
258.000000 85.653 150.1783
262.000000 85.485 150.6555
265.000000 85.411 151.4032
269.000000 85.374 152.4370
272.000000 85.369 153.0852
276.000000 85.293 153.5842
280.000000 85.141 153.6125
285.000000 85.014 154.6121
290.000000 84.953 156.1617
295.000000 84.950 157.6453
300.000000 84.856 158.1366
304.000000 84.736 157.7425
307.000000 84.679 158.1812
311.000000 84.628 159.4726
315.000000 84.604 160.6155
320.000000 84.555 161.5884
325.000000 84.442 162.3452
330.000000 84.337 163.1722
335.000000 84.239 164.2323
340.000000 84.195 165.1305
345.000000 84.186 165.4983
350.000000 84.172 166.2745
355.000000 84.160 167.1870
360.000000 84.115 167.9882
365.000000 84.076 168.8983
370.000000 84.040 169.9477
375.000000 84.022 170.6657
382.000000 84.010 171.4668
387.000000 83.990 172.3265
395.000000 83.913 173.6440
400.000000 83.898 174.3514
406.000000 83.890 175.0767
412.000000 83.858 175.9754
418.000000 83.825 176.7029
425.000000 83.836 177.6439
431.000000 83.839 178.7817
437.000000 83.829 179.8001
444.000000 83.828 -179.5030
450.000000 83.839 -178.9939
455.000000 83.812 -178.2269
462.000000 83.764 -177.3636
468.000000 83.750 -176.8591
475.000000 83.767 -176.0750
482.000000 83.780 -175.3075
487.000000 83.764 -174.7488
494.000000 83.738 -173.9850
500.000000 83.733 -173.4566
508.000000 83.725 -172.5746
515.000000 83.721 -171.7861
522.000000 83.723 -171.0323
530.000000 83.709 -170.2333
538.000000 83.702 -169.3103
545.000000 83.709 -168.4825
552.000000 83.709 -167.7896
560.000000 83.710 -167.0645
570.000000 83.692 -165.9858
580.000000 83.694 -165.0511
590.000000 83.708 -164.0408
600.000000 83.719 -162.9104
608.000000 83.729 -162.1902
615.000000 83.743 -161.6521
622.000000 83.757 -161.0933
630.000000 83.752 -160.3787
640.000000 83.739 -159.4384
650.000000 83.746 -158.4672
660.000000 83.767 -157.4224
670.000000 83.787 -156.4751
680.000000 83.797 -155.6114
690.000000 83.807 -154.7622
700.000000 83.816 -153.7368
710.000000 83.832 -152.7305
720.000000 83.859 -151.8978
730.000000 83.883 -150.9900
740.000000 83.891 -149.9881
750.000000 83.896 -149.0711
762.000000 83.922 -148.0448
775.000000 83.961 -146.9431
788.000000 83.996 -145.7452
800.000000 84.028 -144.5595
812.000000 84.055 -143.4386
825.000000 84.094 -142.2124
838.000000 84.148 -141.0949
850.000000 84.191 -140.0539
862.000000 84.233 -138.9609
875.000000 84.295 -137.7643
885.000000 84.346 -136.8773
900.000000 84.423 -135.5206
912.000000 84.474 -134.4744
925.000000 84.519 -133.3837
938.000000 84.580 -132.3205
950.000000 84.654 -131.3142
962.000000 84.727 -130.3045
975.000000 84.792 -129.3600
988.000000 84.858 -128.4364
1000.000000 84.933 -127.5331
1015.000000 85.040 -126.4492
1030.000000 85.152 -125.4005
1044.000000 85.239 -124.5237
1060.000000 85.340 -123.5150
1075.000000 85.442 -122.6230
1090.000000 85.547 -121.7752
1106.000000 85.659 -120.9271
1120.000000 85.749 -120.2686
1138.000000 85.852 -119.3653
1150.000000 85.924 -118.7475
1172.000000 86.067 -117.7172
1180.000000 86.118 -117.3721
1206.000000 86.275 -116.3338
1220.000000 86.361 -115.8226
1241.000000 86.497 -114.9979
1250.000000 86.552 -114.6326
1265.000000 86.643 -114.0414
1280.000000 86.732 -113.4768
1315.000000 86.915 -112.2624
1320.000000 86.939 -112.0868
1340.000000 87.030 -111.3976
1360.000000 87.118 -110.7568
1380.000000 87.212 -110.1404
1400.000000 87.312 -109.4464
1430.000000 87.456 -108.3756
1450.000000 87.544 -107.7090
1475.000000 87.646 -106.8537
1500.000000 87.744 -105.9515
1525.000000 87.838 -105.0317
1550.000000 87.929 -104.1206
1575.000000 88.022 -103.2073
1600.000000 88.109 -102.2518
1625.000000 88.191 -101.2582
1650.000000 88.280 -100.2818
1675.000000 88.372 -99.3298
1700.000000 88.463 -98.3687
1725.000000 88.561 -97.3753
1750.000000 88.663 -96.3699
1775.000000 88.767 -95.4104
1800.000000 88.873 -94.4232
1825.000000 88.984 -93.4241
1850.000000 89.094 -92.4610
1875.000000 89.208 -91.5132
1900.000000 89.329 -90.6061
1925.000000 89.457 -89.7085
1950.000000 89.590 -88.7784
1975.000000 89.725 -87.8514
2000.000000 89.864 -86.9649
2030.000000 90.035 -85.9483
2060.000000 90.210 -84.9635
2090.000000 90.393 -84.0241
2120.000000 90.581 -83.1284
2140.000000 90.709 -82.5594
2180.000000 90.969 -81.5009
2200.000000 91.102 -81.0170
2240.000000 91.374 -80.1497
2270.000000 91.581 -79.5647
2300.000000 91.789 -79.0604
2330.000000 91.996 -78.6358
2360.000000 92.201 -78.2687
2400.000000 92.465 -77.8860
2430.000000 92.655 -77.6903
2470.000000 92.901 -77.5010
2500.000000 93.080 -77.3861
2540.000000 93.313 -77.2535
2580.000000 93.540 -77.1549
2620.000000 93.771 -77.0946
2650.000000 93.949 -77.0947
2690.000000 94.195 -77.2030
2720.000000 94.383 -77.4034
2760.000000 94.634 -77.8355
2800.000000 94.876 -78.4762
2850.000000 95.158 -79.6193
2900.000000 95.406 -81.1075
2950.000000 95.594 -82.8882
3000.000000 95.710 -84.8889
3040.000000 95.749 -86.5681
3070.000000 95.744 -87.8279
3110.000000 95.694 -89.4624
3150.000000 95.597 -90.9919
3200.000000 95.414 -92.7092
3250.000000 95.172 -94.1529
3300.000000 94.879 -95.2859
3350.000000 94.556 -96.0898
3400.000000 94.219 -96.5585
3450.000000 93.880 -96.7258
3500.000000 93.548 -96.6017
3550.000000 93.216 -96.2084
3600.000000 92.878 -95.5646
3650.000000 92.534 -94.6904
3700.000000 92.182 -93.6245
3750.000000 91.832 -92.4062
3820.000000 91.369 -90.4055
3870.000000 91.074 -88.7911
3950.000000 90.692 -86.0040
4000.000000 90.493 -84.1884
4060.000000 90.298 -81.9189
4120.000000 90.138 -79.5472
4180.000000 89.992 -77.1164
4250.000000 89.834 -74.1991
4310.000000 89.712 -71.6684
4370.000000 89.602 -69.1114
4440.000000 89.487 -66.1089
4500.000000 89.402 -63.5077
4550.000000 89.343 -61.3498
4620.000000 89.281 -58.3553
4680.000000 89.245 -55.8020
4750.000000 89.224 -52.8554
4820.000000 89.227 -49.9623
4870.000000 89.242 -47.9274
4940.000000 89.279 -45.1332
5000.000000 89.335 -42.8107
5080.000000 89.445 -39.7936
5150.000000 89.581 -37.2520
5220.000000 89.759 -34.9000
