* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control. Timing signal peak level -21.2 dBFS, measurement signal peak level -17.2 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Feb 12, 2026 8:38:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0918 ms (-31 mm, -1.24 in) using estimated IR delay relative to Acoustic reference played from  R with no timing offset Clock adjustment: 1.2 ppm
* Measurement: Dunu Ito stock gray R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 98.391 -174.4479
20.299999 97.883 -174.0871
20.600000 97.641 -172.3978
20.900000 97.712 -170.8936
21.200001 97.951 -170.7199
21.400000 98.101 -171.4229
21.799999 98.218 -174.0169
22.000000 98.162 -175.4332
22.400000 97.889 -177.5071
22.700001 97.665 -178.0622
23.000000 97.533 -177.9752
23.299999 97.530 -177.8042
23.600000 97.615 -178.0545
24.000000 97.732 -179.2671
24.299999 97.752 179.4498
24.700001 97.681 177.8802
25.000000 97.598 177.0880
25.400000 97.528 176.5224
25.799999 97.539 176.1124
26.200001 97.591 175.4708
26.500000 97.618 174.8200
26.900000 97.613 173.9370
27.200001 97.584 173.4250
27.600000 97.546 173.0443
28.000000 97.541 172.9014
28.500000 97.588 172.6893
29.000000 97.643 172.1716
29.500000 97.649 171.4953
30.000000 97.608 171.0164
30.400000 97.583 170.8294
30.700001 97.586 170.6760
31.100000 97.606 170.2306
31.500000 97.597 169.4181
32.000000 97.466 168.2708
32.500000 97.218 167.8403
33.000000 97.026 168.5460
33.500000 97.052 169.4545
34.000000 97.219 169.1983
34.500000 97.303 167.6570
35.000000 97.194 165.9791
35.500000 96.998 165.2587
36.000000 96.917 165.3982
36.500000 97.007 165.2746
37.000000 97.125 164.2473
37.500000 97.134 162.8532
38.200001 97.033 161.8790
38.700001 97.057 161.8526
39.500000 97.255 160.9765
40.000000 97.296 159.7486
40.599998 97.194 158.6090
41.200001 97.058 158.3991
41.799999 96.990 158.6064
42.500000 96.927 158.6786
43.099998 96.841 158.8696
43.700001 96.800 159.2560
44.400002 96.837 159.1276
45.000000 96.818 158.2284
45.500000 96.712 157.4081
46.200001 96.516 156.9890
46.799999 96.452 157.0655
47.500000 96.497 156.4933
48.200001 96.483 155.1393
48.700001 96.405 154.3454
49.400002 96.322 153.8503
50.000000 96.333 153.4235
50.799999 96.311 152.3373
51.500000 96.195 151.8298
52.200001 96.146 152.0323
53.000000 96.204 151.8169
53.799999 96.183 150.9736
54.500000 96.099 150.5408
55.200001 96.045 150.3121
56.000000 95.989 149.8545
57.000000 95.871 149.3384
58.000000 95.753 149.1011
59.000000 95.657 149.0887
60.000000 95.621 148.8424
60.799999 95.561 148.2492
61.500000 95.462 147.8520
62.200001 95.377 147.6722
63.000000 95.327 147.3589
64.000000 95.268 146.6305
65.000000 95.199 145.9569
66.000000 95.142 145.3637
67.000000 95.091 144.8210
68.000000 95.038 144.2779
69.000000 94.954 143.8601
70.000000 94.866 143.6577
71.000000 94.784 143.4700
72.000000 94.704 143.2398
73.000000 94.628 142.9281
74.000000 94.552 142.5833
75.000000 94.487 142.2214
76.199997 94.407 141.8368
77.500000 94.352 141.5997
78.800003 94.312 140.9917
80.000000 94.205 140.3220
81.199997 94.067 139.8923
82.500000 93.913 139.6436
83.800003 93.797 139.5206
85.000000 93.709 139.2516
86.199997 93.624 138.9792
87.500000 93.541 138.6385
88.500000 93.467 138.3631
90.000000 93.353 138.0231
91.199997 93.255 137.8025
92.500000 93.165 137.6736
93.800003 93.078 137.3383
95.000000 92.966 137.1439
96.199997 92.874 137.1389
97.500000 92.798 137.0091
98.800003 92.713 136.6957
100.000000 92.614 136.3975
101.500000 92.484 136.1039
103.000000 92.355 135.6720
104.400002 92.200 135.3524
106.000000 92.070 135.3332
107.500000 91.990 135.3322
109.000000 91.932 135.3034
110.599998 91.830 135.2950
112.000000 91.718 135.4272
113.800003 91.573 135.4520
115.000000 91.501 135.2855
117.199997 91.453 134.1415
118.000000 91.436 133.4800
120.599998 91.123 132.1129
122.000000 90.959 133.2631
124.099998 90.867 134.4200
125.000000 90.817 134.5303
126.500000 90.696 134.5347
128.000000 90.566 134.6318
131.500000 90.325 134.7388
132.000000 90.292 134.7583
134.000000 90.184 134.6493
136.000000 90.100 134.4440
138.000000 90.017 134.8683
140.000000 89.933 136.0372
143.000000 89.574 136.6991
145.000000 89.321 136.9164
147.500000 89.425 135.4310
150.000000 89.444 132.6176
152.500000 89.224 134.5703
155.000000 89.110 137.0816
157.500000 88.754 137.5370
160.000000 88.169 137.8804
162.500000 88.110 138.7599
165.000000 88.337 137.7978
167.500000 88.534 138.1819
170.000000 88.537 138.7598
172.500000 88.297 138.8500
175.000000 88.059 139.2354
177.500000 87.935 139.8889
180.000000 87.825 140.3778
182.500000 87.632 140.5981
185.000000 87.441 140.9467
187.500000 87.297 141.3371
190.000000 87.172 141.8369
192.500000 87.072 142.4046
195.000000 87.002 142.9852
197.500000 86.915 143.4005
200.000000 86.785 143.9361
203.000000 86.681 144.5157
206.000000 86.604 144.6238
209.000000 86.516 145.0093
212.000000 86.447 145.6301
214.000000 86.402 146.0045
218.000000 86.276 146.7462
220.000000 86.212 147.1296
224.000000 86.073 147.8534
227.000000 85.969 148.7408
230.000000 85.879 149.5786
233.000000 85.792 150.0370
236.000000 85.716 150.3528
240.000000 85.646 151.1404
243.000000 85.586 151.8867
247.000000 85.489 152.9659
250.000000 85.430 153.6309
254.000000 85.340 154.4479
258.000000 85.252 155.3361
262.000000 85.178 155.9885
265.000000 85.132 156.4542
269.000000 85.074 156.9733
272.000000 85.023 157.3582
276.000000 84.964 158.0848
280.000000 84.924 158.6183
285.000000 84.807 159.8953
290.000000 84.712 161.4288
295.000000 84.678 162.1751
300.000000 84.606 162.5715
304.000000 84.583 163.0606
307.000000 84.553 163.8663
311.000000 84.493 164.9245
315.000000 84.453 165.5615
320.000000 84.413 166.1739
325.000000 84.401 167.1424
330.000000 84.423 168.0854
335.000000 84.390 169.2442
340.000000 84.268 170.1963
345.000000 84.164 170.4469
350.000000 84.144 171.1353
355.000000 84.136 171.9814
360.000000 84.095 172.8120
365.000000 84.048 173.5725
370.000000 83.982 174.0750
375.000000 83.939 174.8493
382.000000 83.911 176.5437
387.000000 83.915 177.8057
395.000000 83.960 179.4810
400.000000 84.030 -179.6095
406.000000 84.119 -178.8004
412.000000 84.175 -178.3127
418.000000 84.197 -177.9298
425.000000 84.222 -177.5124
431.000000 84.234 -177.1240
437.000000 84.219 -176.5412
444.000000 84.191 -175.7672
450.000000 84.183 -175.1497
455.000000 84.198 -174.5509
462.000000 84.210 -173.6750
468.000000 84.188 -173.1859
475.000000 84.161 -172.5923
482.000000 84.151 -171.7545
487.000000 84.163 -171.2634
494.000000 84.189 -170.7583
500.000000 84.195 -170.3149
508.000000 84.186 -169.4819
515.000000 84.195 -168.7361
522.000000 84.203 -168.0595
530.000000 84.203 -167.3042
538.000000 84.189 -166.6122
545.000000 84.187 -166.0150
552.000000 84.197 -165.3759
560.000000 84.203 -164.7063
570.000000 84.183 -163.9308
580.000000 84.172 -163.0808
590.000000 84.179 -162.0677
600.000000 84.188 -161.1401
608.000000 84.195 -160.4206
615.000000 84.194 -159.7617
622.000000 84.187 -159.1466
630.000000 84.187 -158.4130
640.000000 84.194 -157.4283
650.000000 84.221 -156.5951
660.000000 84.252 -155.7285
670.000000 84.259 -154.8104
680.000000 84.257 -153.9476
690.000000 84.264 -153.0816
700.000000 84.287 -152.1988
710.000000 84.309 -151.2978
720.000000 84.320 -150.3694
730.000000 84.342 -149.5690
740.000000 84.364 -148.6976
750.000000 84.384 -147.8085
762.000000 84.402 -146.7320
775.000000 84.435 -145.6201
788.000000 84.478 -144.5815
800.000000 84.502 -143.5845
812.000000 84.530 -142.4552
825.000000 84.584 -141.2314
838.000000 84.639 -140.1028
850.000000 84.684 -139.1077
862.000000 84.734 -138.0624
875.000000 84.806 -136.9219
885.000000 84.859 -136.0665
900.000000 84.922 -134.8101
912.000000 84.969 -133.8197
925.000000 85.024 -132.8091
938.000000 85.085 -131.8134
950.000000 85.157 -130.8477
962.000000 85.235 -129.8852
975.000000 85.315 -128.9112
988.000000 85.390 -127.9699
1000.000000 85.458 -127.1067
1015.000000 85.562 -126.1059
1030.000000 85.670 -125.0866
1044.000000 85.762 -124.2071
1060.000000 85.859 -123.2633
1075.000000 85.962 -122.3276
1090.000000 86.064 -121.5048
1106.000000 86.175 -120.7442
1120.000000 86.266 -120.0223
1138.000000 86.373 -119.1283
1150.000000 86.454 -118.6147
1172.000000 86.603 -117.7077
1180.000000 86.656 -117.3686
1206.000000 86.821 -116.3022
1220.000000 86.908 -115.8132
1241.000000 87.045 -115.0691
1250.000000 87.102 -114.7256
1265.000000 87.199 -114.1579
1280.000000 87.295 -113.6455
1315.000000 87.487 -112.5245
1320.000000 87.512 -112.3589
1340.000000 87.608 -111.6992
1360.000000 87.707 -111.0867
1380.000000 87.810 -110.4863
1400.000000 87.910 -109.8393
1430.000000 88.059 -108.8559
1450.000000 88.151 -108.2362
1475.000000 88.261 -107.3950
1500.000000 88.370 -106.5749
1525.000000 88.473 -105.7416
1550.000000 88.575 -104.8776
1575.000000 88.682 -104.0332
1600.000000 88.780 -103.1669
1625.000000 88.875 -102.2773
1650.000000 88.977 -101.3769
1675.000000 89.076 -100.5099
1700.000000 89.173 -99.6427
1725.000000 89.279 -98.7289
1750.000000 89.389 -97.8263
1775.000000 89.501 -96.9179
1800.000000 89.615 -96.0214
1825.000000 89.735 -95.1257
1850.000000 89.859 -94.2118
1875.000000 89.984 -93.3231
1900.000000 90.114 -92.4716
1925.000000 90.249 -91.6369
1950.000000 90.390 -90.8136
1975.000000 90.535 -90.0216
2000.000000 90.686 -89.2654
2030.000000 90.869 -88.3938
2060.000000 91.058 -87.5568
2090.000000 91.252 -86.7633
2120.000000 91.451 -86.0303
2140.000000 91.587 -85.5861
2180.000000 91.863 -84.7537
2200.000000 92.002 -84.3749
2240.000000 92.289 -83.7349
2270.000000 92.507 -83.3327
2300.000000 92.720 -83.0136
2330.000000 92.929 -82.7860
2360.000000 93.138 -82.6280
2400.000000 93.415 -82.5208
2430.000000 93.619 -82.5137
2470.000000 93.881 -82.6000
2500.000000 94.071 -82.7244
2540.000000 94.322 -82.9590
2580.000000 94.567 -83.3136
2620.000000 94.806 -83.7824
2650.000000 94.982 -84.2306
2690.000000 95.212 -84.9787
2720.000000 95.377 -85.6629
2760.000000 95.580 -86.7521
2800.000000 95.757 -88.0240
2850.000000 95.927 -89.8251
2900.000000 96.034 -91.8162
2950.000000 96.069 -93.8872
3000.000000 96.033 -95.9375
3040.000000 95.955 -97.4889
3070.000000 95.871 -98.5728
3110.000000 95.726 -99.8913
3150.000000 95.547 -101.0355
3200.000000 95.283 -102.1956
3250.000000 94.983 -103.0456
3300.000000 94.654 -103.5732
3350.000000 94.309 -103.7990
3400.000000 93.969 -103.7548
3450.000000 93.640 -103.4416
3500.000000 93.326 -102.8766
3550.000000 93.022 -102.0839
3600.000000 92.717 -101.1186
3650.000000 92.406 -99.9828
3700.000000 92.093 -98.7075
3750.000000 91.784 -97.3077
3820.000000 91.380 -95.1379
3870.000000 91.129 -93.4750
3950.000000 90.812 -90.6755
4000.000000 90.660 -88.8340
4060.000000 90.518 -86.5754
4120.000000 90.407 -84.3056
4180.000000 90.311 -82.0386
4250.000000 90.211 -79.4047
4310.000000 90.132 -77.1343
4370.000000 90.059 -74.8720
4440.000000 89.986 -72.2435
4500.000000 89.933 -70.0181
4550.000000 89.894 -68.1996
4620.000000 89.848 -65.6870
4680.000000 89.822 -63.6064
4750.000000 89.801 -61.2565
4820.000000 89.790 -58.9742
4870.000000 89.791 -57.3544
4940.000000 89.802 -55.1194
5000.000000 89.822 -53.2842
5080.000000 89.872 -50.9388
5150.000000 89.943 -48.9588
5220.000000 90.040 -47.0907
