* Measurement data measured by REW V5.31.3
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250. Timing signal peak level -31.7 dBFS, measurement signal peak level -26.7 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Dec 6, 2025 4:02:03 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: stock tips; s&s tips Delay -0.0893 ms (-31 mm, -1.21 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset Clock adjustment: 1.0 ppm
* Measurement: Dunu x Koto Ito L
* Smoothing: 1/24 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 40.568 159.4730
0.368865 40.567 159.4493
0.371538 40.565 159.4145
0.374230 40.562 159.3742
0.376942 40.560 159.3310
0.379673 40.557 159.2858
0.382424 40.555 159.2388
0.385196 40.552 159.1902
0.387987 40.550 159.1400
0.390798 40.547 159.0881
0.393630 40.545 159.0345
0.396483 40.542 158.9792
0.399356 40.540 158.9222
0.402250 40.537 158.8636
0.405165 40.534 158.8031
0.408101 40.532 158.7410
0.411058 40.529 158.6770
0.414037 40.526 158.6113
0.417037 40.524 158.5439
0.420059 40.521 158.4746
0.423103 40.518 158.4035
0.426169 40.515 158.3305
0.429257 40.513 158.2558
0.432368 40.510 158.1791
0.435501 40.507 158.1007
0.438656 40.504 158.0203
0.441835 40.501 157.9381
0.445037 40.498 157.8540
0.448262 40.495 157.7679
0.451510 40.492 157.6800
0.454782 40.489 157.5902
0.458077 40.486 157.4984
0.461397 40.483 157.4047
0.464740 40.480 157.3091
0.468108 40.477 157.2115
0.471500 40.474 157.1120
0.474917 40.471 157.0105
0.478358 40.468 156.9071
0.481825 40.465 156.8018
0.485316 40.462 156.6945
0.488833 40.459 156.5852
0.492375 40.455 156.4741
0.495943 40.452 156.3609
0.499537 40.449 156.2459
0.503157 40.446 156.1289
0.506803 40.442 156.0101
0.510475 40.439 155.8893
0.514175 40.436 155.7666
0.517900 40.432 155.6421
0.521653 40.429 155.5156
0.525434 40.425 155.3874
0.529241 40.422 155.2573
0.533076 40.419 155.1254
0.536939 40.415 154.9918
0.540830 40.412 154.8564
0.544749 40.408 154.7192
0.548696 40.404 154.5804
0.552673 40.401 154.4399
0.556677 40.397 154.2978
0.560711 40.394 154.1541
0.564774 40.390 154.0089
0.568867 40.386 153.8621
0.572989 40.382 153.7139
0.577141 40.379 153.5643
0.581324 40.375 153.4134
0.585536 40.371 153.2612
0.589779 40.367 153.1077
0.594053 40.363 152.9531
0.598358 40.359 152.7974
0.602694 40.355 152.6407
0.607061 40.352 152.4830
0.611460 40.348 152.3245
0.615891 40.344 152.1652
0.620354 40.340 152.0052
0.624849 40.335 151.8447
0.629377 40.331 151.6836
0.633938 40.327 151.5221
0.638532 40.323 151.3603
0.643159 40.319 151.1984
0.647819 40.315 151.0364
0.652514 40.310 150.8745
0.657242 40.306 150.7128
0.662005 40.302 150.5514
0.666802 40.297 150.3905
0.671634 40.293 150.2303
0.676501 40.289 150.0708
0.681403 40.284 149.9122
0.686341 40.280 149.7547
0.691314 40.275 149.5985
0.696324 40.271 149.4438
0.701370 40.266 149.2906
0.706452 40.262 149.1393
0.711571 40.257 148.9900
0.716728 40.252 148.8428
0.721921 40.248 148.6980
0.727153 40.244 148.5556
0.732422 40.242 148.4154
0.737729 40.242 148.2768
0.743075 40.243 148.1392
0.748460 40.245 148.0022
0.753883 40.247 147.8656
0.759346 40.250 147.7295
0.764849 40.252 147.5938
0.770391 40.254 147.4584
0.775974 40.257 147.3234
0.781597 40.259 147.1888
0.787261 40.262 147.0545
0.792966 40.265 146.9205
0.798712 40.267 146.7870
0.804500 40.270 146.6537
0.810329 40.273 146.5208
0.816201 40.277 146.3882
0.822116 40.280 146.2560
0.828073 40.284 146.1241
0.834074 40.288 145.9925
0.840118 40.292 145.8613
0.846206 40.296 145.7304
0.852338 40.301 145.5998
0.858514 40.306 145.4696
0.864735 40.311 145.3398
0.871001 40.317 145.2103
0.877313 40.323 145.0812
0.883670 40.329 144.9525
0.890074 40.336 144.8242
0.896524 40.343 144.6963
0.903020 40.351 144.5688
0.909564 40.360 144.4418
0.916155 40.368 144.3152
0.922794 40.378 144.1891
0.929481 40.388 144.0635
0.936216 40.399 143.9384
0.943000 40.410 143.8138
0.949834 40.422 143.6899
0.956717 40.435 143.5665
0.963649 40.449 143.4438
0.970632 40.464 143.3217
0.977666 40.479 143.2004
0.984750 40.496 143.0798
0.991886 40.513 142.9599
0.999074 40.532 142.8409
1.006314 40.551 142.7227
1.013606 40.572 142.6055
1.020951 40.594 142.4892
1.028349 40.617 142.3738
1.035801 40.641 142.2596
1.043307 40.667 142.1464
1.050867 40.694 142.0344
1.058482 40.722 141.9236
1.066152 40.752 141.8141
1.073878 40.784 141.7059
1.081660 40.817 141.5994
1.089498 40.852 141.4950
1.097393 40.888 141.3939
1.105345 40.927 141.2982
1.113355 40.967 141.2101
1.121423 41.009 141.1308
1.129549 41.052 141.0604
1.137734 41.098 140.9985
1.145979 41.145 140.9448
1.154283 41.193 140.8986
1.162647 41.244 140.8594
1.171072 41.296 140.8265
1.179558 41.350 140.7994
1.188106 41.406 140.7774
1.196715 41.463 140.7599
1.205387 41.522 140.7461
1.214122 41.583 140.7355
1.222920 41.645 140.7273
1.231782 41.710 140.7208
1.240708 41.776 140.7154
1.249699 41.843 140.7102
1.258754 41.913 140.7045
1.267876 41.984 140.6976
1.277063 42.057 140.6888
1.286318 42.131 140.6773
1.295639 42.207 140.6622
1.305027 42.285 140.6429
1.314484 42.364 140.6186
1.324009 42.445 140.5884
1.333604 42.528 140.5517
1.343268 42.612 140.5076
1.353002 42.698 140.4554
1.362806 42.785 140.3943
1.372681 42.873 140.3236
1.382628 42.964 140.2426
1.392647 43.055 140.1504
1.402739 43.148 140.0464
1.412904 43.243 139.9300
1.423142 43.339 139.8004
1.433455 43.436 139.6572
1.443843 43.534 139.5003
1.454305 43.634 139.3304
1.464844 43.735 139.1503
1.475459 43.839 138.9655
1.486150 43.945 138.7813
1.496920 44.054 138.5999
1.507767 44.165 138.4218
1.518693 44.280 138.2463
1.529698 44.397 138.0727
1.540783 44.516 137.8998
1.551948 44.638 137.7267
1.563194 44.763 137.5524
1.574521 44.890 137.3758
1.585931 45.020 137.1960
1.597423 45.151 137.0120
1.608999 45.285 136.8229
1.620658 45.421 136.6276
1.632402 45.559 136.4253
1.644232 45.699 136.2151
1.656146 45.840 135.9961
1.668147 45.983 135.7674
1.680235 46.128 135.5281
1.692411 46.274 135.2776
1.704675 46.422 135.0148
1.717028 46.570 134.7392
1.729470 46.719 134.4500
1.742003 46.870 134.1463
1.754626 47.021 133.8277
1.767341 47.172 133.4933
1.780147 47.324 133.1426
1.793047 47.476 132.7752
1.806040 47.628 132.3911
1.819128 47.780 131.9911
1.832310 47.932 131.5783
1.845587 48.085 131.1581
1.858961 48.239 130.7355
1.872432 48.395 130.3127
1.886001 48.552 129.8900
1.899667 48.711 129.4673
1.913433 48.871 129.0437
1.927299 49.032 128.6185
1.941265 49.195 128.1911
1.955332 49.359 127.7606
1.969501 49.524 127.3263
1.983773 49.691 126.8873
1.998148 49.858 126.4430
2.012627 50.027 125.9925
2.027212 50.196 125.5351
2.041902 50.366 125.0701
2.056698 50.537 124.5966
2.071602 50.708 124.1141
2.086614 50.880 123.6216
2.101734 51.052 123.1187
2.116964 51.224 122.6044
2.132304 51.397 122.0781
2.147756 51.570 121.5393
2.163320 51.742 120.9875
2.178996 51.915 120.4229
2.194786 52.087 119.8470
2.210690 52.260 119.2633
2.226710 52.433 118.6757
2.242845 52.606 118.0865
2.259098 52.779 117.4966
2.275468 52.953 116.9060
2.291957 53.127 116.3143
2.308566 53.302 115.7213
2.325295 53.477 115.1265
2.342145 53.652 114.5296
2.359117 53.828 113.9299
2.376212 54.003 113.3271
2.393431 54.180 112.7205
2.410775 54.356 112.1097
2.428244 54.532 111.4941
2.445840 54.709 110.8731
2.463564 54.885 110.2461
2.481416 55.062 109.6126
2.499397 55.239 108.9720
2.517509 55.415 108.3236
2.535752 55.592 107.6674
2.554127 55.769 107.0035
2.572635 55.945 106.3335
2.591277 56.121 105.6596
2.610055 56.298 104.9839
2.628968 56.474 104.3071
2.648019 56.649 103.6295
2.667208 56.825 102.9513
2.686535 57.001 102.2724
2.706003 57.176 101.5926
2.725612 57.351 100.9119
2.745363 57.527 100.2299
2.765257 57.702 99.5465
2.785295 57.877 98.8613
2.805478 58.052 98.1740
2.825808 58.226 97.4843
2.846285 58.401 96.7918
2.866910 58.576 96.0962
2.887685 58.751 95.3970
2.908611 58.925 94.6941
2.929688 59.100 93.9879
2.950917 59.274 93.2793
2.972301 59.448 92.5695
2.993839 59.622 91.8592
3.015534 59.795 91.1488
3.037386 59.968 90.4385
3.059396 60.140 89.7283
3.081565 60.312 89.0181
3.103896 60.484 88.3080
3.126388 60.656 87.5977
3.149043 60.827 86.8873
3.171862 60.998 86.1765
3.194847 61.170 85.4650
3.217998 61.341 84.7528
3.241317 61.512 84.0395
3.264805 61.683 83.3250
3.288463 61.854 82.6093
3.312293 62.024 81.8928
3.336295 62.195 81.1762
3.360471 62.365 80.4600
3.384822 62.534 79.7444
3.409350 62.703 79.0296
3.434056 62.872 78.3155
3.458940 63.041 77.6021
3.484005 63.209 76.8894
3.509252 63.377 76.1772
3.534681 63.545 75.4655
3.560295 63.712 74.7540
3.586094 63.880 74.0425
3.612081 64.047 73.3310
3.638255 64.215 72.6193
3.664620 64.383 71.9076
3.691175 64.550 71.1964
3.717923 64.717 70.4860
3.744864 64.884 69.7769
3.772001 65.050 69.0689
3.799335 65.216 68.3620
3.826866 65.382 67.6561
3.854597 65.547 66.9509
3.882529 65.713 66.2464
3.910664 65.878 65.5422
3.939002 66.043 64.8382
3.967546 66.208 64.1341
3.996296 66.373 63.4298
4.025255 66.538 62.7253
4.054423 66.703 62.0212
4.083804 66.867 61.3178
4.113396 67.032 60.6155
4.143204 67.196 59.9142
4.173227 67.359 59.2139
4.203468 67.523 58.5144
4.233928 67.686 57.8154
4.264609 67.849 57.1167
4.295512 68.012 56.4179
4.326639 68.175 55.7189
4.357992 68.338 55.0194
4.389572 68.500 54.3193
4.421380 68.663 53.6189
4.453419 68.825 52.9187
4.485691 68.987 52.2189
4.518196 69.148 51.5197
4.550936 69.309 50.8209
4.583914 69.470 50.1226
4.617131 69.631 49.4246
4.650589 69.791 48.7266
4.684289 69.951 48.0285
4.718233 70.111 47.3301
4.752424 70.271 46.6312
4.786862 70.430 45.9317
4.821549 70.589 45.2320
4.856488 70.747 44.5321
4.891680 70.905 43.8324
4.927127 71.063 43.1329
4.962831 71.220 42.4339
4.998794 71.377 41.7354
5.035017 71.533 41.0374
5.071503 71.689 40.3398
5.108253 71.845 39.6425
5.145270 72.000 38.9453
5.182555 72.155 38.2479
5.220110 72.309 37.5505
5.257937 72.462 36.8532
5.296038 72.615 36.1564
5.334415 72.768 35.4605
5.373071 72.920 34.7657
5.412006 73.072 34.0722
5.451224 73.223 33.3800
5.490725 73.374 32.6891
5.530514 73.524 31.9991
5.570590 73.674 31.3098
5.610957 73.823 30.6211
5.651616 73.972 29.9333
5.692570 74.120 29.2468
5.733821 74.268 28.5618
5.775370 74.415 27.8787
5.817221 74.562 27.1975
5.859375 74.708 26.5183
5.901834 74.854 25.8408
5.944602 75.000 25.1648
5.987679 75.145 24.4900
6.031068 75.289 23.8168
6.074771 75.434 23.1450
6.118792 75.577 22.4748
6.163131 75.721 21.8064
6.207792 75.864 21.1397
6.252776 76.007 20.4748
6.298086 76.150 19.8114
6.343725 76.292 19.1496
6.389694 76.434 18.4890
6.435996 76.576 17.8296
6.482634 76.717 17.1711
6.529610 76.858 16.5134
6.576926 76.999 15.8563
6.624585 77.140 15.1999
6.672590 77.280 14.5444
6.720942 77.421 13.8895
6.769645 77.561 13.2350
6.818700 77.700 12.5807
6.868111 77.839 11.9261
6.917881 77.979 11.2710
6.968010 78.117 10.6153
