* Measurement data measured by REW V5.31.3
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250. Timing signal peak level -32.5 dBFS, measurement signal peak level -26.9 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Dec 6, 2025 4:03:01 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: stock tips; Delay -0.0306 ms (-10 mm, -0.41 in) using estimated IR delay relative to Acoustic reference played from  R with no timing offset Clock adjustment: 0.7 ppm
* Measurement: Dunu x Koto Ito R
* Smoothing: 1/24 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 41.998 156.9678
0.368865 41.996 156.9398
0.371538 41.993 156.8986
0.374230 41.990 156.8510
0.376942 41.987 156.7999
0.379673 41.984 156.7464
0.382424 41.980 156.6908
0.385196 41.977 156.6332
0.387987 41.974 156.5737
0.390798 41.970 156.5121
0.393630 41.967 156.4485
0.396483 41.963 156.3829
0.399356 41.960 156.3153
0.402250 41.957 156.2456
0.405165 41.953 156.1738
0.408101 41.950 156.0999
0.411058 41.946 156.0239
0.414037 41.943 155.9457
0.417037 41.939 155.8654
0.420059 41.935 155.7830
0.423103 41.932 155.6983
0.426169 41.928 155.6115
0.429257 41.924 155.5224
0.432368 41.921 155.4311
0.435501 41.917 155.3376
0.438656 41.913 155.2418
0.441835 41.909 155.1437
0.445037 41.905 155.0434
0.448262 41.902 154.9408
0.451510 41.898 154.8359
0.454782 41.894 154.7287
0.458077 41.890 154.6191
0.461397 41.886 154.5073
0.464740 41.882 154.3931
0.468108 41.878 154.2765
0.471500 41.874 154.1577
0.474917 41.870 154.0365
0.478358 41.866 153.9129
0.481825 41.862 153.7870
0.485316 41.857 153.6588
0.488833 41.853 153.5282
0.492375 41.849 153.3952
0.495943 41.845 153.2600
0.499537 41.840 153.1224
0.503157 41.836 152.9825
0.506803 41.832 152.8403
0.510475 41.827 152.6958
0.514175 41.823 152.5490
0.517900 41.818 152.3999
0.521653 41.814 152.2486
0.525434 41.809 152.0951
0.529241 41.805 151.9393
0.533076 41.800 151.7814
0.536939 41.796 151.6214
0.540830 41.791 151.4592
0.544749 41.786 151.2949
0.548696 41.782 151.1286
0.552673 41.777 150.9603
0.556677 41.772 150.7900
0.560711 41.767 150.6178
0.564774 41.762 150.4437
0.568867 41.757 150.2678
0.572989 41.753 150.0901
0.577141 41.748 149.9107
0.581324 41.743 149.7297
0.585536 41.738 149.5471
0.589779 41.733 149.3630
0.594053 41.727 149.1775
0.598358 41.722 148.9907
0.602694 41.717 148.8026
0.607061 41.712 148.6133
0.611460 41.707 148.4230
0.615891 41.701 148.2316
0.620354 41.696 148.0395
0.624849 41.691 147.8465
0.629377 41.685 147.6530
0.633938 41.680 147.4588
0.638532 41.674 147.2643
0.643159 41.669 147.0696
0.647819 41.663 146.8747
0.652514 41.658 146.6799
0.657242 41.652 146.4852
0.662005 41.646 146.2909
0.666802 41.640 146.0970
0.671634 41.635 145.9039
0.676501 41.629 145.7115
0.681403 41.623 145.5202
0.686341 41.617 145.3302
0.691314 41.611 145.1416
0.696324 41.605 144.9546
0.701370 41.599 144.7694
0.706452 41.593 144.5863
0.711571 41.587 144.4055
0.716728 41.581 144.2272
0.721921 41.575 144.0516
0.727153 41.569 143.8787
0.732422 41.565 143.7080
0.737729 41.561 143.5388
0.743075 41.559 143.3700
0.748460 41.557 143.2011
0.753883 41.555 143.0320
0.759346 41.553 142.8624
0.764849 41.551 142.6925
0.770391 41.548 142.5221
0.775974 41.546 142.3514
0.781597 41.543 142.1803
0.787261 41.541 142.0089
0.792966 41.538 141.8371
0.798712 41.536 141.6649
0.804500 41.533 141.4925
0.810329 41.531 141.3198
0.816201 41.528 141.1469
0.822116 41.525 140.9737
0.828073 41.523 140.8004
0.834074 41.521 140.6269
0.840118 41.518 140.4533
0.846206 41.516 140.2796
0.852338 41.514 140.1059
0.858514 41.512 139.9323
0.864735 41.511 139.7588
0.871001 41.509 139.5854
0.877313 41.508 139.4122
0.883670 41.507 139.2393
0.890074 41.506 139.0668
0.896524 41.506 138.8947
0.903020 41.506 138.7231
0.909564 41.507 138.5521
0.916155 41.508 138.3817
0.922794 41.509 138.2122
0.929481 41.511 138.0436
0.936216 41.513 137.8760
0.943000 41.516 137.7094
0.949834 41.520 137.5441
0.956717 41.524 137.3802
0.963649 41.529 137.2177
0.970632 41.535 137.0569
0.977666 41.541 136.8978
0.984750 41.548 136.7406
0.991886 41.556 136.5854
0.999074 41.566 136.4325
1.006314 41.576 136.2820
1.013606 41.587 136.1340
1.020951 41.599 135.9887
1.028349 41.612 135.8463
1.035801 41.627 135.7070
1.043307 41.643 135.5709
1.050867 41.660 135.4383
1.058482 41.678 135.3094
1.066152 41.698 135.1843
1.073878 41.720 135.0633
1.081660 41.743 134.9467
1.089498 41.768 134.8351
1.097393 41.794 134.7295
1.105345 41.822 134.6316
1.113355 41.852 134.5433
1.121423 41.882 134.4655
1.129549 41.915 134.3980
1.137734 41.949 134.3408
1.145979 41.984 134.2933
1.154283 42.020 134.2551
1.162647 42.059 134.2257
1.171072 42.098 134.2045
1.179558 42.139 134.1909
1.188106 42.182 134.1844
1.196715 42.226 134.1843
1.205387 42.271 134.1901
1.214122 42.319 134.2010
1.222920 42.367 134.2166
1.231782 42.418 134.2359
1.240708 42.469 134.2585
1.249699 42.523 134.2835
1.258754 42.578 134.3102
1.267876 42.635 134.3378
1.277063 42.693 134.3657
1.286318 42.753 134.3929
1.295639 42.814 134.4188
1.305027 42.878 134.4425
1.314484 42.942 134.4632
1.324009 43.009 134.4801
1.333604 43.077 134.4923
1.343268 43.147 134.4990
1.353002 43.219 134.4994
1.362806 43.292 134.4925
1.372681 43.367 134.4777
1.382628 43.444 134.4539
1.392647 43.522 134.4205
1.402739 43.602 134.3766
1.412904 43.684 134.3214
1.423142 43.768 134.2542
1.433455 43.853 134.1743
1.443843 43.940 134.0815
1.454305 44.029 133.9765
1.464844 44.121 133.8622
1.475459 44.214 133.7440
1.486150 44.311 133.6273
1.496920 44.410 133.5145
1.507767 44.513 133.4059
1.518693 44.619 133.3008
1.529698 44.728 133.1983
1.540783 44.840 133.0973
1.551948 44.954 132.9967
1.563194 45.072 132.8953
1.574521 45.192 132.7921
1.585931 45.315 132.6860
1.597423 45.441 132.5759
1.608999 45.568 132.4608
1.620658 45.699 132.3396
1.632402 45.831 132.2112
1.644232 45.966 132.0747
1.656146 46.102 131.9292
1.668147 46.241 131.7736
1.680235 46.381 131.6070
1.692411 46.523 131.4285
1.704675 46.666 131.2372
1.717028 46.811 131.0324
1.729470 46.956 130.8131
1.742003 47.103 130.5785
1.754626 47.250 130.3280
1.767341 47.398 130.0608
1.780147 47.547 129.7762
1.793047 47.695 129.4738
1.806040 47.844 129.1536
1.819128 47.993 128.8164
1.832310 48.142 128.4656
1.845587 48.292 128.1069
1.858961 48.444 127.7455
1.872432 48.598 127.3838
1.886001 48.753 127.0221
1.899667 48.910 126.6599
1.913433 49.069 126.2964
1.927299 49.230 125.9309
1.941265 49.392 125.5623
1.955332 49.556 125.1898
1.969501 49.721 124.8126
1.983773 49.887 124.4297
1.998148 50.055 124.0403
2.012627 50.224 123.6436
2.027212 50.394 123.2388
2.041902 50.565 122.8249
2.056698 50.737 122.4012
2.071602 50.909 121.9670
2.086614 51.082 121.5213
2.101734 51.255 121.0635
2.116964 51.429 120.5928
2.132304 51.602 120.1085
2.147756 51.776 119.6099
2.163320 51.949 119.0967
2.178996 52.122 118.5690
2.194786 52.295 118.0285
2.210690 52.468 117.4788
2.226710 52.642 116.9244
2.242845 52.815 116.3677
2.259098 52.990 115.8096
2.275468 53.164 115.2499
2.291957 53.339 114.6885
2.308566 53.515 114.1250
2.325295 53.691 113.5589
2.342145 53.867 112.9898
2.359117 54.043 112.4171
2.376212 54.220 111.8403
2.393431 54.397 111.2588
2.410775 54.574 110.6722
2.428244 54.752 110.0797
2.445840 54.929 109.4809
2.463564 55.107 108.8751
2.481416 55.285 108.2617
2.499397 55.462 107.6401
2.517509 55.640 107.0097
2.535752 55.817 106.3703
2.554127 55.995 105.7223
2.572635 56.172 105.0671
2.591277 56.349 104.4073
2.610055 56.526 103.7448
2.628968 56.703 103.0806
2.648019 56.879 102.4150
2.667208 57.055 101.7482
2.686535 57.232 101.0800
2.706003 57.408 100.4105
2.725612 57.583 99.7394
2.745363 57.759 99.0666
2.765257 57.935 98.3917
2.785295 58.110 97.7146
2.805478 58.285 97.0349
2.825808 58.461 96.3523
2.846285 58.636 95.6663
2.866910 58.811 94.9767
2.887685 58.986 94.2830
2.908611 59.161 93.5852
2.929688 59.336 92.8835
2.950917 59.510 92.1788
2.972301 59.685 91.4725
2.993839 59.858 90.7652
3.015534 60.032 90.0573
3.037386 60.205 89.3490
3.059396 60.377 88.6405
3.081565 60.549 87.9317
3.103896 60.721 87.2226
3.126388 60.893 86.5131
3.149043 61.064 85.8031
3.171862 61.235 85.0925
3.194847 61.406 84.3811
3.217998 61.577 83.6686
3.241317 61.748 82.9549
3.264805 61.919 82.2398
3.288463 62.090 81.5233
3.312293 62.261 80.8057
3.336295 62.431 80.0878
3.360471 62.601 79.3699
3.384822 62.770 78.6523
3.409350 62.939 77.9352
3.434056 63.107 77.2187
3.458940 63.275 76.5027
3.484005 63.443 75.7873
3.509252 63.611 75.0722
3.534681 63.778 74.3576
3.560295 63.946 73.6431
3.586094 64.113 72.9287
3.612081 64.280 72.2142
3.638255 64.447 71.4996
3.664620 64.615 70.7851
3.691175 64.782 70.0709
3.717923 64.948 69.3575
3.744864 65.114 68.6452
3.772001 65.280 67.9340
3.799335 65.446 67.2238
3.826866 65.611 66.5146
3.854597 65.776 65.8061
3.882529 65.941 65.0982
3.910664 66.106 64.3906
3.939002 66.271 63.6833
3.967546 66.435 62.9759
3.996296 66.600 62.2684
4.025255 66.764 61.5608
4.054423 66.929 60.8536
4.083804 67.093 60.1473
4.113396 67.257 59.4420
4.143204 67.421 58.7379
4.173227 67.584 58.0347
4.203468 67.748 57.3323
4.233928 67.910 56.6304
4.264609 68.073 55.9288
4.295512 68.236 55.2272
4.326639 68.399 54.5253
4.357992 68.561 53.8229
4.389572 68.724 53.1200
4.421380 68.886 52.4168
4.453419 69.048 51.7139
4.485691 69.210 51.0115
4.518196 69.371 50.3098
4.550936 69.532 49.6085
4.583914 69.693 48.9076
4.617131 69.854 48.2069
4.650589 70.014 47.5062
4.684289 70.174 46.8052
4.718233 70.334 46.1037
4.752424 70.494 45.4015
4.786862 70.654 44.6987
4.821549 70.813 43.9956
4.856488 70.972 43.2924
4.891680 71.130 42.5893
4.927127 71.288 41.8865
4.962831 71.446 41.1838
4.998794 71.603 40.4815
5.035017 71.760 39.7792
5.071503 71.916 39.0771
5.108253 72.073 38.3748
5.145270 72.228 37.6723
5.182555 72.384 36.9693
5.220110 72.539 36.2661
5.257937 72.693 35.5628
5.296038 72.847 34.8598
5.334415 73.000 34.1574
5.373071 73.153 33.4556
5.412006 73.305 32.7547
5.451224 73.457 32.0546
5.490725 73.609 31.3552
5.530514 73.760 30.6561
5.570590 73.911 29.9572
5.610957 74.060 29.2586
5.651616 74.210 28.5605
5.692570 74.359 27.8633
5.733821 74.507 27.1672
5.775370 74.655 26.4725
5.817221 74.802 25.7794
5.859375 74.949 25.0877
5.901834 75.096 24.3971
5.944602 75.241 23.7074
5.987679 75.387 23.0185
6.031068 75.531 22.3307
6.074771 75.676 21.6442
6.118792 75.819 20.9591
6.163131 75.963 20.2757
6.207792 76.106 19.5940
6.252776 76.249 18.9138
6.298086 76.391 18.2349
6.343725 76.532 17.5572
6.389694 76.674 16.8806
6.435996 76.814 16.2052
6.482634 76.955 15.5311
6.529610 77.095 14.8583
6.576926 77.234 14.1867
6.624585 77.374 13.5163
6.672590 77.512 12.8469
6.720942 77.651 12.1784
6.769645 77.789 11.5108
6.818700 77.927 10.8440
6.868111 78.064 10.1778
6.917881 78.201 9.5121
6.968010 78.337 8.8469
