* Measurement data measured by REW V5.31.3
* Source: Scarlett Solo USB, Scarlett Solo USB , L, volume: no control. Timing signal peak level -19.9 dBFS, measurement signal peak level -16.8 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Dec 31, 2025 9:28:43 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0497 ms (-17 mm, -0.67 in) using estimated IR delay relative to Acoustic reference played from Qudelix-5K L with no timing offset Clock adjustment: 25.6 ppm
* Measurement: Kiwi Cadenza L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 99.497 -152.1758
20.299999 99.504 -153.0088
20.600000 99.508 -153.8197
20.900000 99.509 -154.6119
21.200001 99.509 -155.3879
21.400000 99.507 -155.8973
21.799999 99.501 -156.8997
22.000000 99.496 -157.3935
22.400000 99.485 -158.3685
22.700001 99.476 -159.0902
23.000000 99.465 -159.8047
23.299999 99.454 -160.5121
23.600000 99.442 -161.2121
24.000000 99.426 -162.1327
24.299999 99.414 -162.8127
24.700001 99.398 -163.7044
25.000000 99.386 -164.3612
25.400000 99.371 -165.2194
25.799999 99.357 -166.0552
26.200001 99.342 -166.8662
26.500000 99.331 -167.4570
26.900000 99.317 -168.2209
27.200001 99.305 -168.7763
27.600000 99.290 -169.4945
28.000000 99.274 -170.1893
28.500000 99.252 -171.0285
29.000000 99.228 -171.8386
29.500000 99.200 -172.6222
30.000000 99.171 -173.3819
30.400000 99.145 -173.9751
30.700001 99.126 -174.4131
31.100000 99.099 -174.9898
31.500000 99.071 -175.5592
32.000000 99.036 -176.2616
32.500000 99.001 -176.9539
33.000000 98.967 -177.6357
33.500000 98.932 -178.3043
34.000000 98.897 -178.9560
34.500000 98.864 -179.5887
35.000000 98.831 179.7971
35.500000 98.798 179.2004
36.000000 98.765 178.6209
36.500000 98.732 178.0602
37.000000 98.698 177.5186
37.500000 98.663 176.9952
38.200001 98.612 176.2878
38.700001 98.576 175.7967
39.500000 98.515 175.0301
40.000000 98.477 174.5623
40.599998 98.430 174.0127
41.200001 98.383 173.4753
41.799999 98.337 172.9490
42.500000 98.284 172.3482
43.099998 98.239 171.8460
43.700001 98.194 171.3577
44.400002 98.141 170.8076
45.000000 98.096 170.3531
45.500000 98.058 169.9858
46.200001 98.005 169.4877
46.799999 97.959 169.0739
47.500000 97.906 168.6046
48.200001 97.852 168.1491
48.700001 97.813 167.8321
49.400002 97.760 167.3991
50.000000 97.714 167.0370
50.799999 97.654 166.5662
51.500000 97.601 166.1667
52.200001 97.548 165.7803
53.000000 97.487 165.3552
53.799999 97.426 164.9462
54.500000 97.374 164.6002
55.200001 97.321 164.2651
56.000000 97.261 163.8954
57.000000 97.188 163.4492
58.000000 97.116 163.0172
59.000000 97.045 162.5978
60.000000 96.974 162.1910
60.799999 96.917 161.8803
61.500000 96.867 161.6195
62.200001 96.817 161.3651
63.000000 96.760 161.0804
64.000000 96.690 160.7351
65.000000 96.619 160.4016
66.000000 96.550 160.0803
67.000000 96.481 159.7736
68.000000 96.412 159.4815
69.000000 96.344 159.2049
70.000000 96.276 158.9430
71.000000 96.208 158.6941
72.000000 96.141 158.4576
73.000000 96.075 158.2322
74.000000 96.010 158.0163
75.000000 95.946 157.8071
76.199997 95.872 157.5627
77.500000 95.791 157.3084
78.800003 95.712 157.0669
80.000000 95.638 156.8560
81.199997 95.565 156.6560
82.500000 95.486 156.4516
83.800003 95.408 156.2609
85.000000 95.337 156.0972
86.199997 95.266 155.9438
87.500000 95.191 155.7877
88.500000 95.133 155.6733
90.000000 95.048 155.5113
91.199997 94.980 155.3914
92.500000 94.907 155.2726
93.800003 94.836 155.1642
95.000000 94.770 155.0718
96.199997 94.706 154.9847
97.500000 94.636 154.8956
98.800003 94.567 154.8143
100.000000 94.504 154.7485
101.500000 94.427 154.6777
103.000000 94.350 154.6160
104.400002 94.279 154.5660
106.000000 94.199 154.5177
107.500000 94.125 154.4811
109.000000 94.051 154.4534
110.599998 93.974 154.4352
112.000000 93.908 154.4288
113.800003 93.825 154.4302
115.000000 93.771 154.4330
117.199997 93.672 154.4381
118.000000 93.637 154.4410
120.599998 93.522 154.4637
122.000000 93.461 154.4856
124.099998 93.371 154.5250
125.000000 93.333 154.5448
126.500000 93.270 154.5809
128.000000 93.206 154.6200
131.500000 93.060 154.7271
132.000000 93.039 154.7449
134.000000 92.957 154.8225
136.000000 92.874 154.9104
138.000000 92.793 155.0081
140.000000 92.713 155.1139
143.000000 92.595 155.2773
145.000000 92.516 155.3870
147.500000 92.414 155.5308
150.000000 92.310 155.6907
152.500000 92.203 155.8733
155.000000 92.094 156.0818
157.500000 91.980 156.3212
160.000000 91.860 156.6050
162.500000 91.733 156.9570
165.000000 91.597 157.4103
167.500000 91.451 158.0223
170.000000 91.299 158.8939
172.500000 91.161 160.1548
175.000000 91.074 161.8878
177.500000 91.099 163.9449
180.000000 91.271 165.7729
182.500000 91.541 166.6768
185.000000 91.798 166.4682
187.500000 91.962 165.5771
190.000000 92.024 164.5394
192.500000 92.013 163.6558
195.000000 91.962 163.0057
197.500000 91.893 162.5648
200.000000 91.818 162.2844
203.000000 91.727 162.0999
206.000000 91.640 162.0286
209.000000 91.557 162.0348
212.000000 91.478 162.1000
214.000000 91.428 162.1691
218.000000 91.333 162.3507
220.000000 91.287 162.4585
224.000000 91.200 162.6992
227.000000 91.138 162.8957
230.000000 91.079 163.1028
233.000000 91.021 163.3184
236.000000 90.966 163.5418
240.000000 90.895 163.8510
243.000000 90.844 164.0888
247.000000 90.779 164.4093
250.000000 90.732 164.6510
254.000000 90.672 164.9787
258.000000 90.613 165.3130
262.000000 90.557 165.6477
265.000000 90.516 165.9003
269.000000 90.463 166.2415
272.000000 90.425 166.4992
276.000000 90.375 166.8440
280.000000 90.328 167.1897
285.000000 90.271 167.6223
290.000000 90.217 168.0535
295.000000 90.165 168.4820
300.000000 90.116 168.9061
304.000000 90.077 169.2448
307.000000 90.049 169.4979
311.000000 90.012 169.8318
315.000000 89.976 170.1618
320.000000 89.932 170.5725
325.000000 89.889 170.9865
330.000000 89.846 171.4055
335.000000 89.804 171.8330
340.000000 89.761 172.2727
345.000000 89.720 172.7290
350.000000 89.680 173.2110
355.000000 89.647 173.7260
360.000000 89.622 174.2649
365.000000 89.610 174.7866
370.000000 89.609 175.2358
375.000000 89.608 175.5874
382.000000 89.595 175.9801
387.000000 89.576 176.2488
395.000000 89.536 176.7119
400.000000 89.510 177.0242
406.000000 89.478 177.4148
412.000000 89.449 177.8196
418.000000 89.420 178.2324
425.000000 89.388 178.7170
431.000000 89.362 179.1335
437.000000 89.338 179.5468
444.000000 89.312 -179.9680
450.000000 89.290 -179.5495
455.000000 89.273 -179.2010
462.000000 89.250 -178.7161
468.000000 89.231 -178.3059
475.000000 89.210 -177.8299
482.000000 89.191 -177.3553
487.000000 89.178 -177.0181
494.000000 89.161 -176.5489
500.000000 89.147 -176.1494
508.000000 89.129 -175.6176
515.000000 89.115 -175.1539
522.000000 89.102 -174.6925
530.000000 89.088 -174.1687
538.000000 89.074 -173.6456
545.000000 89.064 -173.1887
552.000000 89.055 -172.7345
560.000000 89.046 -172.2143
570.000000 89.036 -171.5641
580.000000 89.028 -170.9120
590.000000 89.022 -170.2615
600.000000 89.018 -169.6098
608.000000 89.016 -169.0879
615.000000 89.015 -168.6329
622.000000 89.015 -168.1798
630.000000 89.016 -167.6647
640.000000 89.019 -167.0206
650.000000 89.025 -166.3715
660.000000 89.032 -165.7240
670.000000 89.042 -165.0836
680.000000 89.054 -164.4491
690.000000 89.069 -163.8199
700.000000 89.087 -163.1982
710.000000 89.106 -162.5903
720.000000 89.128 -162.0052
730.000000 89.152 -161.4518
740.000000 89.174 -160.9325
750.000000 89.193 -160.4377
762.000000 89.211 -159.8495
775.000000 89.232 -159.2361
788.000000 89.224 -158.9216
800.000000 89.131 -158.3421
812.000000 89.068 -156.9762
825.000000 89.106 -155.4234
838.000000 89.194 -154.1890
850.000000 89.276 -153.2193
862.000000 89.349 -152.3165
875.000000 89.420 -151.4054
885.000000 89.475 -150.7549
900.000000 89.563 -149.8146
912.000000 89.636 -149.0783
925.000000 89.718 -148.3034
938.000000 89.803 -147.5521
950.000000 89.885 -146.8756
962.000000 89.969 -146.2197
975.000000 90.062 -145.5331
988.000000 90.158 -144.8686
1000.000000 90.249 -144.2763
1015.000000 90.365 -143.5633
1030.000000 90.485 -142.8786
1044.000000 90.599 -142.2701
1060.000000 90.734 -141.6156
1075.000000 90.865 -141.0468
1090.000000 91.000 -140.5259
1106.000000 91.146 -140.0327
1120.000000 91.275 -139.6630
1138.000000 91.441 -139.2764
1150.000000 91.550 -139.0760
1172.000000 91.741 -138.8139
1180.000000 91.806 -138.7438
1206.000000 92.005 -138.5826
1220.000000 92.103 -138.5210
1241.000000 92.240 -138.4361
1250.000000 92.295 -138.4001
1265.000000 92.383 -138.3379
1280.000000 92.469 -138.2692
1315.000000 92.657 -138.0917
1320.000000 92.682 -138.0640
1340.000000 92.784 -137.9465
1360.000000 92.883 -137.8264
1380.000000 92.980 -137.7045
1400.000000 93.075 -137.5804
1430.000000 93.215 -137.3959
1450.000000 93.307 -137.2684
1475.000000 93.422 -137.1087
1500.000000 93.537 -136.9475
1525.000000 93.651 -136.7893
1550.000000 93.765 -136.6407
1575.000000 93.878 -136.4991
1600.000000 93.992 -136.3665
1625.000000 94.107 -136.2454
1650.000000 94.222 -136.1337
1675.000000 94.338 -136.0389
1700.000000 94.454 -135.9636
1725.000000 94.570 -135.8997
1750.000000 94.688 -135.8480
1775.000000 94.806 -135.8099
1800.000000 94.924 -135.7838
1825.000000 95.042 -135.7646
1850.000000 95.161 -135.7504
1875.000000 95.281 -135.7452
1900.000000 95.401 -135.7538
1925.000000 95.521 -135.7795
1950.000000 95.641 -135.8201
1975.000000 95.761 -135.8732
2000.000000 95.881 -135.9363
2030.000000 96.023 -136.0270
2060.000000 96.166 -136.1320
2090.000000 96.307 -136.2523
2120.000000 96.447 -136.3939
2140.000000 96.539 -136.5016
2180.000000 96.723 -136.7516
2200.000000 96.814 -136.8968
2240.000000 96.992 -137.2284
2270.000000 97.124 -137.5114
2300.000000 97.253 -137.8268
2330.000000 97.378 -138.1732
2360.000000 97.501 -138.5478
2400.000000 97.659 -139.0916
2430.000000 97.773 -139.5318
2470.000000 97.920 -140.1558
2500.000000 98.025 -140.6496
2540.000000 98.158 -141.3435
2580.000000 98.282 -142.0711
2620.000000 98.399 -142.8315
2650.000000 98.480 -143.4272
2690.000000 98.581 -144.2483
2720.000000 98.651 -144.8736
2760.000000 98.734 -145.7160
2800.000000 98.808 -146.5721
2850.000000 98.887 -147.6531
2900.000000 98.950 -148.7339
2950.000000 98.998 -149.8026
3000.000000 99.031 -150.8472
3040.000000 99.047 -151.6661
3070.000000 99.053 -152.2635
3110.000000 99.052 -153.0368
3150.000000 99.043 -153.7792
3200.000000 99.019 -154.6501
3250.000000 98.984 -155.4523
3300.000000 98.939 -156.1787
3350.000000 98.885 -156.8166
3400.000000 98.826 -157.3626
3450.000000 98.763 -157.8182
3500.000000 98.698 -158.1838
3550.000000 98.635 -158.4524
3600.000000 98.576 -158.6327
3650.000000 98.526 -158.7542
3700.000000 98.488 -158.8609
3750.000000 98.461 -159.0063
3820.000000 98.424 -159.3390
3870.000000 98.387 -159.6378
3950.000000 98.308 -160.0800
4000.000000 98.252 -160.2941
4060.000000 98.188 -160.4960
4120.000000 98.130 -160.6720
4180.000000 98.076 -160.8566
4250.000000 98.015 -161.0990
4310.000000 97.961 -161.3363
4370.000000 97.906 -161.5937
4440.000000 97.836 -161.9176
4500.000000 97.773 -162.2145
4550.000000 97.717 -162.4758
4620.000000 97.633 -162.8579
4680.000000 97.554 -163.1982
4750.000000 97.454 -163.5993
4820.000000 97.343 -163.9966
4870.000000 97.258 -164.2725
4940.000000 97.130 -164.6344
5000.000000 97.011 -164.9051
5080.000000 96.848 -165.1855
5150.000000 96.709 -165.4263
