* Measurement data measured by REW V5.31.3
* Source: Scarlett Solo USB, Scarlett Solo USB , L, volume: no control. Timing signal peak level -20.3 dBFS, measurement signal peak level -16.4 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Dec 30, 2025 3:48:32 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0524 ms (-18 mm, -0.71 in) using estimated IR delay relative to Acoustic reference played from Qudelix-5K R with no timing offset Clock adjustment: 25.0 ppm
* Measurement: Kiwi Cadenza R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 99.855 -152.4662
20.299999 99.860 -153.3235
20.600000 99.862 -154.1558
20.900000 99.862 -154.9669
21.200001 99.860 -155.7608
21.400000 99.857 -156.2820
21.799999 99.848 -157.3079
22.000000 99.842 -157.8135
22.400000 99.828 -158.8123
22.700001 99.815 -159.5520
23.000000 99.802 -160.2850
23.299999 99.787 -161.0118
23.600000 99.772 -161.7326
24.000000 99.752 -162.6833
24.299999 99.737 -163.3876
24.700001 99.718 -164.3134
25.000000 99.703 -164.9964
25.400000 99.685 -165.8896
25.799999 99.668 -166.7603
26.200001 99.651 -167.6059
26.500000 99.639 -168.2226
26.900000 99.622 -169.0210
27.200001 99.610 -169.6014
27.600000 99.593 -170.3512
28.000000 99.576 -171.0742
28.500000 99.552 -171.9435
29.000000 99.525 -172.7783
29.500000 99.496 -173.5815
30.000000 99.463 -174.3561
30.400000 99.436 -174.9590
30.700001 99.415 -175.4041
31.100000 99.386 -175.9911
31.500000 99.357 -176.5725
32.000000 99.319 -177.2920
32.500000 99.281 -178.0022
33.000000 99.243 -178.7016
33.500000 99.205 -179.3880
34.000000 99.168 179.9410
34.500000 99.131 179.2880
35.000000 99.096 178.6540
35.500000 99.060 178.0403
36.000000 99.025 177.4483
36.500000 98.990 176.8782
37.000000 98.954 176.3282
37.500000 98.918 175.7955
38.200001 98.866 175.0757
38.700001 98.827 174.5792
39.500000 98.763 173.8102
40.000000 98.723 173.3414
40.599998 98.674 172.7885
41.200001 98.624 172.2472
41.799999 98.575 171.7183
42.500000 98.519 171.1155
43.099998 98.472 170.6105
43.700001 98.424 170.1191
44.400002 98.369 169.5666
45.000000 98.322 169.1103
45.500000 98.283 168.7406
46.200001 98.228 168.2383
46.799999 98.181 167.8223
47.500000 98.125 167.3523
48.200001 98.069 166.8960
48.700001 98.029 166.5781
49.400002 97.974 166.1451
50.000000 97.926 165.7842
50.799999 97.863 165.3141
51.500000 97.808 164.9134
52.200001 97.753 164.5251
53.000000 97.690 164.0970
53.799999 97.627 163.6846
54.500000 97.572 163.3363
55.200001 97.517 162.9984
56.000000 97.455 162.6233
57.000000 97.378 162.1708
58.000000 97.302 161.7344
59.000000 97.226 161.3151
60.000000 97.150 160.9178
60.799999 97.090 160.6146
61.500000 97.038 160.3578
62.200001 96.985 160.1082
63.000000 96.926 159.8317
64.000000 96.852 159.4970
65.000000 96.779 159.1728
66.000000 96.706 158.8601
67.000000 96.634 158.5601
68.000000 96.563 158.2753
69.000000 96.492 158.0067
70.000000 96.421 157.7501
71.000000 96.350 157.5045
72.000000 96.280 157.2698
73.000000 96.210 157.0449
74.000000 96.141 156.8295
75.000000 96.073 156.6239
76.199997 95.992 156.3915
77.500000 95.905 156.1567
78.800003 95.820 155.9379
80.000000 95.742 155.7452
81.199997 95.665 155.5568
82.500000 95.582 155.3613
83.800003 95.499 155.1791
85.000000 95.423 155.0263
86.199997 95.348 154.8887
87.500000 95.269 154.7507
88.500000 95.209 154.6484
90.000000 95.120 154.4966
91.199997 95.049 154.3787
92.500000 94.972 154.2593
93.800003 94.896 154.1516
95.000000 94.825 154.0626
96.199997 94.754 153.9828
97.500000 94.678 153.9064
98.800003 94.603 153.8415
100.000000 94.534 153.7941
101.500000 94.450 153.7498
103.000000 94.367 153.7196
104.400002 94.291 153.7018
106.000000 94.206 153.6912
107.500000 94.128 153.6884
109.000000 94.052 153.6899
110.599998 93.973 153.6961
112.000000 93.904 153.7040
113.800003 93.817 153.7183
115.000000 93.759 153.7302
117.199997 93.653 153.7594
118.000000 93.615 153.7726
120.599998 93.490 153.8347
122.000000 93.423 153.8777
124.099998 93.322 153.9586
125.000000 93.279 154.0016
126.500000 93.207 154.0835
128.000000 93.136 154.1773
131.500000 92.970 154.4564
132.000000 92.946 154.5050
134.000000 92.852 154.7261
136.000000 92.759 154.9959
138.000000 92.671 155.3256
140.000000 92.590 155.7224
143.000000 92.496 156.4071
145.000000 92.454 156.8618
147.500000 92.422 157.3487
150.000000 92.403 157.6988
152.500000 92.385 157.9178
155.000000 92.363 158.0314
157.500000 92.330 158.0487
160.000000 92.278 158.0323
162.500000 92.211 158.0841
165.000000 92.140 158.2587
167.500000 92.078 158.5450
170.000000 92.036 158.8632
172.500000 92.013 159.0955
175.000000 91.994 159.1826
177.500000 91.964 159.1775
180.000000 91.922 159.1570
182.500000 91.869 159.1644
185.000000 91.812 159.2154
187.500000 91.754 159.3018
190.000000 91.698 159.4087
192.500000 91.645 159.5228
195.000000 91.593 159.6392
197.500000 91.540 159.7582
200.000000 91.488 159.8827
203.000000 91.425 160.0434
206.000000 91.363 160.2204
209.000000 91.304 160.4132
212.000000 91.247 160.6174
214.000000 91.210 160.7556
218.000000 91.138 161.0275
220.000000 91.104 161.1599
224.000000 91.035 161.4197
227.000000 90.984 161.6144
230.000000 90.932 161.8127
233.000000 90.881 162.0160
236.000000 90.830 162.2239
240.000000 90.763 162.5117
243.000000 90.713 162.7361
247.000000 90.649 163.0414
250.000000 90.602 163.2731
254.000000 90.541 163.5896
258.000000 90.482 163.9134
262.000000 90.425 164.2395
265.000000 90.383 164.4868
269.000000 90.329 164.8211
272.000000 90.290 165.0741
276.000000 90.240 165.4128
280.000000 90.191 165.7512
285.000000 90.133 166.1724
290.000000 90.077 166.5913
295.000000 90.023 167.0051
300.000000 89.970 167.4161
304.000000 89.930 167.7468
307.000000 89.899 167.9943
311.000000 89.859 168.3212
315.000000 89.820 168.6463
320.000000 89.772 169.0574
325.000000 89.724 169.4806
330.000000 89.679 169.9190
335.000000 89.634 170.3788
340.000000 89.593 170.8641
345.000000 89.557 171.3764
350.000000 89.531 171.8990
355.000000 89.518 172.3910
360.000000 89.512 172.8089
365.000000 89.506 173.1414
370.000000 89.494 173.4209
375.000000 89.475 173.6890
382.000000 89.439 174.0904
387.000000 89.411 174.4004
395.000000 89.364 174.9246
400.000000 89.336 175.2656
406.000000 89.303 175.6850
412.000000 89.272 176.1143
418.000000 89.243 176.5499
425.000000 89.210 177.0610
431.000000 89.182 177.5004
437.000000 89.157 177.9379
444.000000 89.129 178.4518
450.000000 89.106 178.8946
455.000000 89.087 179.2636
462.000000 89.062 179.7775
468.000000 89.042 -179.7859
475.000000 89.019 -179.2761
482.000000 88.998 -178.7650
487.000000 88.984 -178.4015
494.000000 88.965 -177.8945
500.000000 88.950 -177.4621
508.000000 88.930 -176.8853
515.000000 88.914 -176.3803
522.000000 88.899 -175.8761
530.000000 88.883 -175.3012
538.000000 88.869 -174.7255
545.000000 88.856 -174.2235
552.000000 88.845 -173.7248
560.000000 88.834 -173.1539
570.000000 88.821 -172.4412
580.000000 88.810 -171.7275
590.000000 88.800 -171.0149
600.000000 88.793 -170.2997
608.000000 88.788 -169.7263
615.000000 88.784 -169.2249
622.000000 88.781 -168.7232
630.000000 88.778 -168.1506
640.000000 88.777 -167.4328
650.000000 88.778 -166.7090
660.000000 88.780 -165.9828
670.000000 88.783 -165.2567
680.000000 88.789 -164.5244
690.000000 88.797 -163.7766
700.000000 88.810 -163.0052
710.000000 88.834 -162.2379
720.000000 88.865 -161.6013
730.000000 88.876 -161.1016
740.000000 88.866 -160.4514
750.000000 88.870 -159.6664
762.000000 88.896 -158.7538
775.000000 88.936 -157.8085
788.000000 88.978 -156.8419
800.000000 89.014 -155.9364
812.000000 89.050 -155.0533
825.000000 89.094 -154.1193
838.000000 89.143 -153.1891
850.000000 89.191 -152.3410
862.000000 89.243 -151.5010
875.000000 89.303 -150.5980
885.000000 89.352 -149.9105
900.000000 89.431 -148.8927
912.000000 89.498 -148.0923
925.000000 89.573 -147.2433
938.000000 89.653 -146.4133
950.000000 89.730 -145.6604
962.000000 89.809 -144.9253
975.000000 89.898 -144.1501
988.000000 89.990 -143.3938
1000.000000 90.078 -142.7137
1015.000000 90.192 -141.8890
1030.000000 90.309 -141.0927
1044.000000 90.423 -140.3811
1060.000000 90.557 -139.6092
1075.000000 90.688 -138.9305
1090.000000 90.822 -138.3015
1106.000000 90.968 -137.6923
1120.000000 91.098 -137.2210
1138.000000 91.264 -136.7027
1150.000000 91.373 -136.4119
1172.000000 91.565 -135.9784
1180.000000 91.631 -135.8450
1206.000000 91.833 -135.4834
1220.000000 91.933 -135.3182
1241.000000 92.074 -135.0830
1250.000000 92.131 -134.9843
1265.000000 92.223 -134.8191
1280.000000 92.312 -134.6492
1315.000000 92.508 -134.2373
1320.000000 92.535 -134.1762
1340.000000 92.642 -133.9266
1360.000000 92.746 -133.6770
1380.000000 92.847 -133.4278
1400.000000 92.947 -133.1764
1430.000000 93.094 -132.8024
1450.000000 93.191 -132.5492
1475.000000 93.312 -132.2322
1500.000000 93.432 -131.9134
1525.000000 93.552 -131.5976
1550.000000 93.671 -131.2885
1575.000000 93.791 -130.9855
1600.000000 93.911 -130.6927
1625.000000 94.032 -130.4130
1650.000000 94.153 -130.1408
1675.000000 94.275 -129.8808
1700.000000 94.397 -129.6383
1725.000000 94.520 -129.4064
1750.000000 94.644 -129.1857
1775.000000 94.769 -128.9813
1800.000000 94.895 -128.7975
1825.000000 95.021 -128.6333
1850.000000 95.146 -128.4860
1875.000000 95.273 -128.3569
1900.000000 95.399 -128.2480
1925.000000 95.527 -128.1608
1950.000000 95.655 -128.0958
1975.000000 95.782 -128.0540
2000.000000 95.909 -128.0378
2030.000000 96.060 -128.0566
2060.000000 96.211 -128.1124
2090.000000 96.362 -128.1990
2120.000000 96.512 -128.3187
2140.000000 96.612 -128.4199
2180.000000 96.813 -128.6810
2200.000000 96.912 -128.8431
2240.000000 97.107 -129.2293
2270.000000 97.248 -129.5701
2300.000000 97.386 -129.9590
2330.000000 97.521 -130.3901
2360.000000 97.651 -130.8548
2400.000000 97.819 -131.5228
2430.000000 97.941 -132.0568
2470.000000 98.098 -132.8159
2500.000000 98.211 -133.4244
2540.000000 98.354 -134.2878
2580.000000 98.486 -135.2005
2620.000000 98.607 -136.1583
2650.000000 98.690 -136.9050
2690.000000 98.792 -137.9228
2720.000000 98.862 -138.6920
2760.000000 98.943 -139.7232
2800.000000 99.014 -140.7612
2850.000000 99.087 -142.0502
2900.000000 99.145 -143.3157
2950.000000 99.186 -144.5564
3000.000000 99.212 -145.7697
3040.000000 99.223 -146.7189
3070.000000 99.226 -147.4118
3110.000000 99.221 -148.3129
3150.000000 99.208 -149.1860
3200.000000 99.181 -150.2264
3250.000000 99.144 -151.2090
3300.000000 99.096 -152.1322
3350.000000 99.040 -152.9892
3400.000000 98.978 -153.7756
3450.000000 98.910 -154.4874
3500.000000 98.841 -155.1161
3550.000000 98.773 -155.6539
3600.000000 98.712 -156.1231
3650.000000 98.661 -156.5796
3700.000000 98.617 -157.0806
3750.000000 98.574 -157.6540
3820.000000 98.494 -158.5432
3870.000000 98.421 -159.1720
3950.000000 98.282 -160.0610
4000.000000 98.190 -160.5387
4060.000000 98.080 -161.0562
4120.000000 97.968 -161.5349
4180.000000 97.853 -161.9888
4250.000000 97.715 -162.4772
4310.000000 97.595 -162.8631
4370.000000 97.472 -163.2274
4440.000000 97.327 -163.6471
4500.000000 97.198 -164.0110
4550.000000 97.087 -164.3167
4620.000000 96.924 -164.7413
4680.000000 96.774 -165.0966
4750.000000 96.586 -165.4780
4820.000000 96.383 -165.8033
4870.000000 96.227 -165.9847
4940.000000 95.996 -166.1104
5000.000000 95.794 -166.0204
5080.000000 95.559 -165.7389
5150.000000 95.366 -165.6825
