* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control. Timing signal peak level -18.0 dBFS, measurement signal peak level -14.0 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Feb 12, 2026 9:06:28 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0854 ms (-29 mm, -1.15 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset Clock adjustment: 1.8 ppm
* Measurement: Kiwi Cadenza stock L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 97.007 -170.7263
20.299999 96.862 -172.1735
20.600000 96.712 -173.0473
20.900000 96.594 -173.4368
21.200001 96.530 -173.5492
21.400000 96.517 -173.5852
21.799999 96.531 -173.7636
22.000000 96.544 -173.9343
22.400000 96.557 -174.3751
22.700001 96.553 -174.7133
23.000000 96.544 -175.0334
23.299999 96.534 -175.3796
23.600000 96.517 -175.8142
24.000000 96.450 -176.5307
24.299999 96.344 -177.0221
24.700001 96.140 -177.2340
25.000000 95.987 -176.8807
25.400000 95.894 -175.9585
25.799999 95.977 -175.4638
26.200001 96.129 -176.4123
26.500000 96.156 -178.1464
26.900000 95.925 178.9418
27.200001 95.515 177.2164
27.600000 94.756 177.0940
28.000000 94.125 -179.5714
28.500000 94.189 -173.3755
29.000000 95.006 -171.1195
29.500000 95.707 -173.7175
30.000000 95.938 -177.9378
30.400000 95.885 179.3577
30.700001 95.824 178.0568
31.100000 95.821 176.9513
31.500000 95.918 175.8776
32.000000 96.045 174.0347
32.500000 96.057 172.1019
33.000000 95.976 170.8535
33.500000 95.903 170.4382
34.000000 95.879 170.4386
34.500000 95.874 170.4817
35.000000 95.845 170.4987
35.500000 95.771 170.6158
36.000000 95.656 171.0579
36.500000 95.564 171.9175
37.000000 95.574 172.7733
37.500000 95.676 172.7979
38.200001 95.728 170.8041
38.700001 95.555 168.6865
39.500000 94.981 166.3334
40.000000 94.604 166.0932
40.599998 94.294 166.8612
41.200001 94.234 168.0991
41.799999 94.425 168.7935
42.500000 94.763 168.1766
43.099998 94.992 166.8792
43.700001 95.131 165.4792
44.400002 95.162 164.1759
45.000000 95.078 163.9443
45.500000 95.015 164.6522
46.200001 95.089 166.1683
46.799999 95.244 166.8117
47.500000 95.376 166.7687
48.200001 95.504 166.1289
48.700001 95.592 164.8370
49.400002 95.532 161.8870
50.000000 95.234 159.5855
50.799999 94.798 158.5471
51.500000 94.671 158.3952
52.200001 94.661 157.5872
53.000000 94.594 156.6726
53.799999 94.518 156.8745
54.500000 94.539 157.9939
55.200001 94.681 159.1570
56.000000 94.837 159.5308
57.000000 94.742 159.1044
58.000000 94.216 159.1445
59.000000 93.488 163.7433
60.000000 93.806 169.3062
60.799999 94.286 167.4066
61.500000 94.265 163.6984
62.200001 94.028 160.8777
63.000000 93.820 158.8311
64.000000 93.687 157.1573
65.000000 93.722 156.3289
66.000000 93.780 155.5999
67.000000 93.789 155.4915
68.000000 93.761 155.4368
69.000000 93.632 155.6477
70.000000 93.527 156.0018
71.000000 93.431 155.9787
72.000000 93.367 155.8660
73.000000 93.358 155.4211
74.000000 93.327 154.8182
75.000000 93.277 154.5334
76.199997 93.214 154.5208
77.500000 93.127 154.6765
78.800003 93.034 154.6871
80.000000 92.924 154.3788
81.199997 92.809 154.1644
82.500000 92.739 153.9796
83.800003 92.688 153.7682
85.000000 92.629 153.6693
86.199997 92.558 153.7842
87.500000 92.502 153.9516
88.500000 92.464 153.8785
90.000000 92.374 153.5394
91.199997 92.286 153.4219
92.500000 92.216 153.4766
93.800003 92.168 153.5380
95.000000 92.121 153.4992
96.199997 92.044 153.4983
97.500000 91.977 153.6994
98.800003 91.945 153.6609
100.000000 91.902 153.4190
101.500000 91.837 153.2819
103.000000 91.793 153.3798
104.400002 91.756 153.5543
106.000000 91.667 153.7101
107.500000 91.533 153.9985
109.000000 91.427 154.1064
110.599998 91.352 153.6194
112.000000 91.310 153.3445
113.800003 91.340 153.7744
115.000000 91.335 154.3927
117.199997 91.044 156.6397
118.000000 90.868 158.2254
120.599998 90.994 162.4985
122.000000 90.995 159.1609
124.099998 90.727 155.3504
125.000000 90.695 154.6426
126.500000 90.723 154.2461
128.000000 90.746 154.4973
131.500000 90.618 155.3769
132.000000 90.586 155.3977
134.000000 90.475 155.5065
136.000000 90.423 155.6864
138.000000 90.366 155.8553
140.000000 90.278 155.9893
143.000000 90.153 155.9589
145.000000 90.119 156.0108
147.500000 90.090 155.9551
150.000000 89.998 156.3175
152.500000 89.944 156.7101
155.000000 89.876 156.7977
157.500000 89.788 156.8015
160.000000 89.705 156.9794
162.500000 89.607 157.0708
165.000000 89.538 157.4189
167.500000 89.541 157.8273
170.000000 89.546 158.1732
172.500000 89.502 158.5658
175.000000 89.433 158.7379
177.500000 89.350 158.9527
180.000000 89.267 159.3169
182.500000 89.165 159.8495
185.000000 89.060 160.1935
187.500000 88.968 160.3984
190.000000 88.912 160.6782
192.500000 88.874 160.9783
195.000000 88.821 161.2604
197.500000 88.777 161.5450
200.000000 88.759 161.6099
203.000000 88.709 161.8416
206.000000 88.644 162.5123
209.000000 88.583 163.1139
212.000000 88.542 163.4702
214.000000 88.517 163.6088
218.000000 88.438 163.8694
220.000000 88.396 164.0973
224.000000 88.328 164.6857
227.000000 88.273 165.0268
230.000000 88.226 165.3156
233.000000 88.173 165.5609
236.000000 88.101 165.4996
240.000000 88.006 165.2696
243.000000 87.987 166.2007
247.000000 87.985 167.2957
250.000000 87.954 167.5517
254.000000 87.905 168.0092
258.000000 87.845 168.6144
262.000000 87.778 169.0349
265.000000 87.723 169.2656
269.000000 87.651 169.6037
272.000000 87.613 169.9965
276.000000 87.585 170.7406
280.000000 87.574 171.5826
285.000000 87.482 172.0948
290.000000 87.400 172.5532
295.000000 87.289 172.8558
300.000000 87.147 173.1223
304.000000 87.154 174.1989
307.000000 87.149 175.2326
311.000000 87.104 176.3612
315.000000 87.107 177.0942
320.000000 87.159 177.9883
325.000000 87.252 178.8000
330.000000 87.361 179.0670
335.000000 87.397 179.4937
340.000000 87.350 179.6959
345.000000 87.318 179.6600
350.000000 87.331 -179.8538
355.000000 87.451 -178.4667
360.000000 87.572 -176.6962
365.000000 87.372 -177.6493
370.000000 87.181 -178.3859
375.000000 87.123 -178.1695
382.000000 87.089 -177.4666
387.000000 87.056 -177.0330
395.000000 87.004 -176.3995
400.000000 86.980 -175.8742
406.000000 86.948 -175.2994
412.000000 86.916 -174.7864
418.000000 86.899 -174.3293
425.000000 86.870 -173.6639
431.000000 86.838 -173.0419
437.000000 86.819 -172.3602
444.000000 86.808 -171.7043
450.000000 86.792 -171.1147
455.000000 86.777 -170.6534
462.000000 86.761 -170.0343
468.000000 86.766 -169.4680
475.000000 86.872 -169.1614
482.000000 86.912 -168.7410
487.000000 86.798 -167.8453
494.000000 86.682 -166.8693
500.000000 86.652 -166.3369
508.000000 86.654 -165.6725
515.000000 86.654 -165.0264
522.000000 86.628 -164.3551
530.000000 86.604 -163.6115
538.000000 86.600 -163.1026
545.000000 86.597 -162.3978
552.000000 86.589 -161.5952
560.000000 86.594 -160.9607
570.000000 86.587 -160.0804
580.000000 86.575 -158.8971
590.000000 86.565 -157.8403
600.000000 86.561 -156.9281
608.000000 86.583 -156.2552
615.000000 86.598 -155.6492
622.000000 86.608 -155.0455
630.000000 86.631 -154.3394
640.000000 86.651 -153.4760
650.000000 86.666 -152.8687
660.000000 86.688 -152.3521
670.000000 86.681 -151.0513
680.000000 86.689 -149.9018
690.000000 86.706 -149.0631
700.000000 86.718 -148.1241
710.000000 86.707 -146.7090
720.000000 86.704 -145.0985
730.000000 86.788 -145.0589
740.000000 86.863 -144.8452
750.000000 86.913 -144.2476
762.000000 86.968 -143.6186
775.000000 86.984 -143.0891
788.000000 86.954 -142.7217
800.000000 86.861 -142.1197
812.000000 86.734 -140.6317
825.000000 86.677 -138.4014
838.000000 86.714 -136.3727
850.000000 86.821 -135.0118
862.000000 86.930 -133.8742
875.000000 87.023 -132.6678
885.000000 87.089 -131.6589
900.000000 87.190 -130.0952
912.000000 87.256 -129.1252
925.000000 87.335 -128.1340
938.000000 87.415 -127.0933
950.000000 87.467 -126.1308
962.000000 87.534 -125.1782
975.000000 87.650 -124.1705
988.000000 87.757 -123.1648
1000.000000 87.849 -122.2797
1015.000000 87.961 -121.4051
1030.000000 88.076 -120.3040
1044.000000 88.189 -119.2188
1060.000000 88.318 -118.2578
1075.000000 88.441 -117.5086
1090.000000 88.562 -116.4372
1106.000000 88.692 -115.3066
1120.000000 88.817 -114.5177
1138.000000 88.984 -113.6421
1150.000000 89.091 -113.1233
1172.000000 89.280 -112.3347
1180.000000 89.345 -112.1458
1206.000000 89.537 -111.5621
1220.000000 89.642 -110.9646
1241.000000 89.804 -110.3152
1250.000000 89.877 -110.1105
1265.000000 89.993 -109.7363
1280.000000 90.089 -109.2649
1315.000000 90.267 -108.0468
1320.000000 90.292 -107.8918
1340.000000 90.400 -107.3929
1360.000000 90.510 -106.8458
1380.000000 90.618 -106.2388
1400.000000 90.724 -105.6364
1430.000000 90.873 -104.6456
1450.000000 90.981 -104.0246
1475.000000 91.133 -103.3699
1500.000000 91.265 -102.6663
1525.000000 91.393 -101.9244
1550.000000 91.518 -101.2830
1575.000000 91.646 -100.5082
1600.000000 91.771 -99.6607
1625.000000 91.889 -98.9041
1650.000000 92.013 -98.1253
1675.000000 92.138 -97.3449
1700.000000 92.260 -96.6991
1725.000000 92.386 -96.0956
1750.000000 92.509 -95.4422
1775.000000 92.623 -94.7377
1800.000000 92.740 -94.0572
1825.000000 92.872 -93.4550
1850.000000 93.004 -92.8962
1875.000000 93.131 -92.3164
1900.000000 93.258 -91.7352
1925.000000 93.388 -91.1874
1950.000000 93.519 -90.6658
1975.000000 93.652 -90.1711
2000.000000 93.781 -89.6955
2030.000000 93.939 -89.1893
2060.000000 94.093 -88.6842
2090.000000 94.241 -88.2050
2120.000000 94.395 -87.7674
2140.000000 94.503 -87.4833
2180.000000 94.706 -86.9641
2200.000000 94.802 -86.7358
2240.000000 94.993 -86.3659
2270.000000 95.135 -86.1556
2300.000000 95.277 -85.9200
2330.000000 95.415 -85.6905
2360.000000 95.542 -85.5208
2400.000000 95.706 -85.3492
2430.000000 95.833 -85.2588
2470.000000 95.993 -85.1731
2500.000000 96.103 -85.1145
2540.000000 96.241 -85.1228
2580.000000 96.371 -85.1676
2620.000000 96.495 -85.2437
2650.000000 96.580 -85.3209
2690.000000 96.686 -85.4101
2720.000000 96.757 -85.4785
2760.000000 96.838 -85.5817
2800.000000 96.907 -85.7248
2850.000000 96.986 -85.8627
2900.000000 97.052 -85.9778
2950.000000 97.094 -86.0937
3000.000000 97.118 -86.2312
3040.000000 97.136 -86.2736
3070.000000 97.140 -86.2757
3110.000000 97.132 -86.2452
3150.000000 97.121 -86.1847
3200.000000 97.094 -86.0896
3250.000000 97.044 -85.9330
3300.000000 96.977 -85.6487
3350.000000 96.907 -85.3121
3400.000000 96.841 -84.9557
3450.000000 96.780 -84.5293
3500.000000 96.728 -84.0313
3550.000000 96.676 -83.4754
3600.000000 96.614 -82.8876
3650.000000 96.542 -82.2936
3700.000000 96.455 -81.6569
3750.000000 96.360 -80.9937
3820.000000 96.235 -80.0685
3870.000000 96.163 -79.4059
3950.000000 96.102 -78.3394
4000.000000 96.092 -77.6643
4060.000000 96.107 -76.8729
4120.000000 96.134 -76.1289
4180.000000 96.163 -75.4442
4250.000000 96.186 -74.7445
4310.000000 96.186 -74.2184
4370.000000 96.167 -73.7594
4440.000000 96.125 -73.3107
4500.000000 96.069 -72.9707
4550.000000 96.009 -72.7005
4620.000000 95.905 -72.3335
4680.000000 95.803 -72.0328
4750.000000 95.664 -71.6987
4820.000000 95.497 -71.3438
4870.000000 95.364 -71.0506
4940.000000 95.159 -70.5681
5000.000000 94.965 -70.0665
5080.000000 94.704 -69.2231
5150.000000 94.481 -68.4059
