* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control. Timing signal peak level -18.9 dBFS, measurement signal peak level -14.9 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Feb 12, 2026 9:08:14 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0923 ms (-32 mm, -1.25 in) using estimated IR delay relative to Acoustic reference played from  R with no timing offset Clock adjustment: 1.7 ppm
* Measurement: Kiwi Cadenza stock R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 96.596 -160.6110
20.299999 97.051 -161.9256
20.600000 97.272 -165.1476
20.900000 97.192 -168.9924
21.200001 96.855 -172.2601
21.400000 96.553 -173.6553
21.799999 96.035 -174.1830
22.000000 95.937 -173.6568
22.400000 96.152 -172.9097
22.700001 96.506 -173.7645
23.000000 96.817 -175.8637
23.299999 96.970 -178.4944
23.600000 96.950 179.2477
24.000000 96.817 178.0038
24.299999 96.830 178.4352
24.700001 97.170 179.2839
25.000000 97.574 178.8652
25.400000 97.988 176.4763
25.799999 97.983 173.4114
26.200001 97.530 172.2942
26.500000 97.120 174.2496
26.900000 97.074 -179.7685
27.200001 97.638 -175.6075
27.600000 98.779 -174.4598
28.000000 99.689 -178.2851
28.500000 99.966 173.6820
29.000000 99.239 166.7453
29.500000 97.962 165.1716
30.000000 97.137 169.2243
30.400000 97.139 172.2606
30.700001 97.280 172.6557
31.100000 97.302 171.2872
31.500000 97.016 169.6287
32.000000 96.488 169.4182
32.500000 96.229 170.7480
33.000000 96.257 171.0053
33.500000 96.197 169.8281
34.000000 95.963 169.0215
34.500000 95.822 169.3070
35.000000 95.915 169.1999
35.500000 96.002 167.6395
36.000000 95.845 165.6800
36.500000 95.523 165.0056
37.000000 95.315 165.8671
37.500000 95.336 166.9390
38.200001 95.506 167.3872
38.700001 95.674 167.2961
39.500000 96.120 165.2469
40.000000 96.271 162.0314
40.599998 96.013 157.8281
41.200001 95.389 156.1665
41.799999 94.933 158.0054
42.500000 95.005 160.6884
43.099998 95.202 161.1386
43.700001 95.255 161.0949
44.400002 95.259 162.1269
45.000000 95.393 163.6784
45.500000 95.616 164.6184
46.200001 95.940 164.5157
46.799999 96.053 163.5283
47.500000 95.990 162.8209
48.200001 95.970 162.6890
48.700001 96.003 162.0156
49.400002 95.897 160.1172
50.000000 95.605 158.8886
50.799999 95.243 158.9667
51.500000 95.131 159.3552
52.200001 95.094 159.2110
53.000000 95.063 158.6503
53.799999 94.972 158.1097
54.500000 94.896 158.2882
55.200001 94.959 158.0622
56.000000 94.900 156.0252
57.000000 94.327 154.6457
58.000000 93.996 154.3412
59.000000 93.268 152.4871
60.000000 92.608 158.9464
60.799999 93.349 162.9080
61.500000 93.972 160.4857
62.200001 94.124 156.8420
63.000000 94.038 154.4648
64.000000 93.984 153.6127
65.000000 93.991 153.5670
66.000000 93.977 153.5792
67.000000 93.885 153.7525
68.000000 93.774 154.0679
69.000000 93.685 154.4618
70.000000 93.683 154.3960
71.000000 93.645 153.6261
72.000000 93.552 153.2438
73.000000 93.521 153.2135
74.000000 93.496 153.0473
75.000000 93.439 153.0876
76.199997 93.390 153.2678
77.500000 93.328 153.1177
78.800003 93.220 152.8205
80.000000 93.125 152.7190
81.199997 93.066 152.6156
82.500000 93.022 152.4025
83.800003 92.949 152.0637
85.000000 92.847 152.0168
86.199997 92.781 152.1757
87.500000 92.724 152.0085
88.500000 92.643 151.8929
90.000000 92.532 152.1305
91.199997 92.480 152.3577
92.500000 92.434 152.3151
93.800003 92.343 152.1675
95.000000 92.258 152.2072
96.199997 92.190 152.1526
97.500000 92.104 152.0276
98.800003 92.010 152.0608
100.000000 91.933 152.3543
101.500000 91.904 152.6788
103.000000 91.829 152.6357
104.400002 91.784 153.0114
106.000000 91.762 153.2407
107.500000 91.785 153.4748
109.000000 91.755 153.3442
110.599998 91.660 153.1812
112.000000 91.495 153.0373
113.800003 91.360 153.3677
115.000000 91.348 153.3448
117.199997 91.479 153.7389
118.000000 91.568 153.8362
120.599998 91.624 152.9718
122.000000 91.378 153.1446
124.099998 91.035 153.9859
125.000000 90.930 154.1980
126.500000 90.836 154.3556
128.000000 90.822 154.2640
131.500000 90.720 153.9584
132.000000 90.688 154.0246
134.000000 90.560 154.3556
136.000000 90.456 154.5166
138.000000 90.372 154.5340
140.000000 90.268 154.4080
143.000000 90.196 154.5278
145.000000 90.278 154.7834
147.500000 90.575 155.0050
150.000000 90.534 154.3530
152.500000 90.258 155.9223
155.000000 89.958 156.9781
157.500000 89.641 156.9100
160.000000 89.398 156.2848
162.500000 89.400 156.6778
165.000000 89.553 157.1414
167.500000 89.561 157.7356
170.000000 89.465 158.6294
172.500000 89.432 159.1868
175.000000 89.386 159.3687
177.500000 89.342 159.9035
180.000000 89.299 159.9465
182.500000 89.229 159.7892
185.000000 89.159 159.9154
187.500000 89.083 160.4048
190.000000 89.022 160.9261
192.500000 88.961 161.0398
195.000000 88.915 161.1183
197.500000 88.878 161.0457
200.000000 88.802 161.0862
203.000000 88.711 161.6582
206.000000 88.677 162.2641
209.000000 88.655 162.6961
212.000000 88.619 163.0068
214.000000 88.577 163.1768
218.000000 88.484 163.6246
220.000000 88.453 163.8908
224.000000 88.407 164.3756
227.000000 88.349 164.8445
230.000000 88.297 165.3665
233.000000 88.276 165.9049
236.000000 88.257 166.6579
240.000000 88.211 167.7299
243.000000 88.165 167.5566
247.000000 88.106 167.2953
250.000000 88.083 167.5880
254.000000 88.034 168.0331
258.000000 87.978 168.4867
262.000000 87.945 168.9113
265.000000 87.912 169.2211
269.000000 87.859 169.7194
272.000000 87.813 170.0623
276.000000 87.780 170.3583
280.000000 87.802 170.8417
285.000000 87.744 171.6981
290.000000 87.632 172.6122
295.000000 87.517 173.4084
300.000000 87.401 173.8636
304.000000 87.418 173.8052
307.000000 87.430 174.0926
311.000000 87.427 174.7044
315.000000 87.418 175.1802
320.000000 87.375 175.7294
325.000000 87.329 176.2630
330.000000 87.284 176.6902
335.000000 87.214 177.2500
340.000000 87.179 177.9552
345.000000 87.182 178.4592
350.000000 87.215 178.9990
355.000000 87.429 179.6075
360.000000 87.644 -179.6490
365.000000 87.370 -179.3335
370.000000 87.105 -179.0348
375.000000 87.019 -178.4911
382.000000 86.972 -177.7604
387.000000 86.952 -177.2617
395.000000 86.919 -176.4603
400.000000 86.893 -175.9187
406.000000 86.868 -175.2764
412.000000 86.843 -174.6372
418.000000 86.839 -174.0713
425.000000 86.826 -173.2894
431.000000 86.804 -172.7454
437.000000 86.783 -172.2206
444.000000 86.748 -171.4942
450.000000 86.726 -170.8775
455.000000 86.719 -170.3675
462.000000 86.706 -169.6624
468.000000 86.706 -168.9719
475.000000 86.825 -167.8586
482.000000 86.878 -166.8967
487.000000 86.762 -166.7945
494.000000 86.632 -166.4685
500.000000 86.592 -165.9353
508.000000 86.575 -165.1407
515.000000 86.576 -164.4424
522.000000 86.575 -163.7597
530.000000 86.582 -163.0315
538.000000 86.609 -162.2514
545.000000 86.592 -161.5366
552.000000 86.551 -160.7860
560.000000 86.519 -159.9467
570.000000 86.518 -159.0800
580.000000 86.524 -158.2495
590.000000 86.539 -157.4060
600.000000 86.541 -156.4734
608.000000 86.531 -155.6181
615.000000 86.532 -154.9286
622.000000 86.531 -154.2829
630.000000 86.530 -153.5971
640.000000 86.534 -152.5744
650.000000 86.526 -151.4100
660.000000 86.509 -150.2213
670.000000 86.549 -149.6222
680.000000 86.590 -148.7979
690.000000 86.617 -147.7919
700.000000 86.663 -146.7658
710.000000 86.815 -145.6292
720.000000 86.984 -144.6899
730.000000 86.877 -144.3074
740.000000 86.767 -143.6056
750.000000 86.747 -142.6083
762.000000 86.765 -141.3399
775.000000 86.797 -140.0174
788.000000 86.840 -138.9241
800.000000 86.887 -137.7962
812.000000 86.935 -136.6260
825.000000 86.967 -135.3826
838.000000 86.971 -134.0294
850.000000 87.039 -133.1026
862.000000 87.125 -132.2051
875.000000 87.191 -131.0888
885.000000 87.239 -130.1667
900.000000 87.319 -128.6683
912.000000 87.385 -127.6897
925.000000 87.454 -126.6502
938.000000 87.523 -125.6364
950.000000 87.590 -124.8446
962.000000 87.670 -123.9551
975.000000 87.768 -122.7172
988.000000 87.858 -121.5442
1000.000000 87.940 -120.5636
1015.000000 88.053 -119.3564
1030.000000 88.161 -118.3188
1044.000000 88.259 -117.3818
1060.000000 88.379 -116.1917
1075.000000 88.492 -115.0248
1090.000000 88.626 -114.1775
1106.000000 88.782 -113.3987
1120.000000 88.912 -112.6951
1138.000000 89.069 -111.8136
1150.000000 89.168 -111.2670
1172.000000 89.348 -110.3917
1180.000000 89.407 -110.1174
1206.000000 89.589 -109.2885
1220.000000 89.718 -108.8557
1241.000000 89.891 -108.2981
1250.000000 89.965 -108.0897
1265.000000 90.083 -107.6529
1280.000000 90.183 -107.1011
1315.000000 90.368 -105.8790
1320.000000 90.394 -105.7168
1340.000000 90.508 -105.1676
1360.000000 90.620 -104.6013
1380.000000 90.736 -103.9839
1400.000000 90.855 -103.3913
1430.000000 91.032 -102.6380
1450.000000 91.148 -102.0101
1475.000000 91.290 -101.0130
1500.000000 91.428 -100.1875
1525.000000 91.557 -99.4477
1550.000000 91.681 -98.5525
1575.000000 91.813 -97.8026
1600.000000 91.943 -97.1353
1625.000000 92.068 -96.3919
1650.000000 92.201 -95.6795
1675.000000 92.336 -94.9121
1700.000000 92.462 -94.2337
1725.000000 92.591 -93.6063
1750.000000 92.719 -92.9491
1775.000000 92.837 -92.2869
1800.000000 92.964 -91.6730
1825.000000 93.101 -91.0333
1850.000000 93.237 -90.3933
1875.000000 93.369 -89.8019
1900.000000 93.501 -89.2508
1925.000000 93.632 -88.7161
1950.000000 93.765 -88.2124
1975.000000 93.898 -87.7300
2000.000000 94.034 -87.2829
2030.000000 94.192 -86.7727
2060.000000 94.356 -86.3067
2090.000000 94.517 -85.8746
2120.000000 94.682 -85.4780
2140.000000 94.796 -85.2393
2180.000000 95.002 -84.8040
2200.000000 95.099 -84.6047
2240.000000 95.299 -84.2826
2270.000000 95.450 -84.0924
2300.000000 95.589 -83.9247
2330.000000 95.721 -83.7826
2360.000000 95.854 -83.6842
2400.000000 96.027 -83.5935
2430.000000 96.144 -83.5409
2470.000000 96.291 -83.5114
2500.000000 96.401 -83.5434
2540.000000 96.537 -83.6197
2580.000000 96.658 -83.7224
2620.000000 96.769 -83.8325
2650.000000 96.845 -83.9239
2690.000000 96.935 -84.0308
2720.000000 96.996 -84.1301
2760.000000 97.067 -84.2549
2800.000000 97.130 -84.3590
2850.000000 97.194 -84.5266
2900.000000 97.244 -84.6736
2950.000000 97.279 -84.7136
3000.000000 97.297 -84.6962
3040.000000 97.309 -84.6932
3070.000000 97.310 -84.6599
3110.000000 97.301 -84.5555
3150.000000 97.287 -84.3866
3200.000000 97.264 -84.0954
3250.000000 97.236 -83.7617
3300.000000 97.196 -83.3966
3350.000000 97.155 -83.0024
3400.000000 97.124 -82.5809
3450.000000 97.105 -82.1592
3500.000000 97.096 -81.7563
3550.000000 97.085 -81.3652
3600.000000 97.062 -80.9882
3650.000000 97.025 -80.6227
3700.000000 96.965 -80.2913
3750.000000 96.888 -79.9846
3820.000000 96.778 -79.5438
3870.000000 96.712 -79.2536
3950.000000 96.650 -78.8161
4000.000000 96.631 -78.5631
4060.000000 96.621 -78.2925
4120.000000 96.609 -78.0680
4180.000000 96.581 -77.8818
4250.000000 96.526 -77.7344
4310.000000 96.456 -77.6538
4370.000000 96.357 -77.5924
4440.000000 96.206 -77.5571
4500.000000 96.044 -77.5036
4550.000000 95.883 -77.4016
4620.000000 95.625 -77.1750
4680.000000 95.374 -76.8338
4750.000000 95.055 -76.2237
4820.000000 94.729 -75.3568
4870.000000 94.496 -74.5718
4940.000000 94.171 -73.2059
5000.000000 93.912 -71.7955
5080.000000 93.622 -69.8104
5150.000000 93.388 -68.2795
5220.000000 93.154 -66.7426
