* Measurement data measured by REW V5.31.3
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250. Timing signal peak level -28.5 dBFS, measurement signal peak level -25.1 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Dec 6, 2025 3:53:27 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: stock tips; Delay -0.0258 ms (-8.9 mm, -0.35 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset Clock adjustment: 1.5 ppm
* Measurement: L ZiiGaat Luna L Dec 6
* Smoothing: 1/24 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 33.501 98.5631
0.368865 33.517 98.4203
0.371538 33.541 98.2115
0.374230 33.567 97.9711
0.376942 33.595 97.7146
0.379673 33.624 97.4476
0.382424 33.652 97.1717
0.385196 33.681 96.8876
0.387987 33.710 96.5951
0.390798 33.739 96.2944
0.393630 33.769 95.9853
0.396483 33.799 95.6677
0.399356 33.829 95.3416
0.402250 33.859 95.0070
0.405165 33.889 94.6637
0.408101 33.920 94.3118
0.411058 33.950 93.9511
0.414037 33.981 93.5816
0.417037 34.013 93.2032
0.420059 34.044 92.8160
0.423103 34.076 92.4199
0.426169 34.108 92.0148
0.429257 34.140 91.6008
0.432368 34.172 91.1779
0.435501 34.205 90.7459
0.438656 34.238 90.3050
0.441835 34.271 89.8552
0.445037 34.304 89.3965
0.448262 34.338 88.9288
0.451510 34.372 88.4523
0.454782 34.406 87.9670
0.458077 34.440 87.4729
0.461397 34.475 86.9701
0.464740 34.510 86.4587
0.468108 34.545 85.9388
0.471500 34.580 85.4105
0.474917 34.616 84.8739
0.478358 34.652 84.3291
0.481825 34.688 83.7763
0.485316 34.724 83.2155
0.488833 34.761 82.6470
0.492375 34.798 82.0710
0.495943 34.835 81.4875
0.499537 34.872 80.8969
0.503157 34.910 80.2992
0.506803 34.948 79.6948
0.510475 34.986 79.0838
0.514175 35.025 78.4665
0.517900 35.063 77.8432
0.521653 35.103 77.2141
0.525434 35.142 76.5794
0.529241 35.182 75.9395
0.533076 35.222 75.2946
0.536939 35.262 74.6451
0.540830 35.302 73.9912
0.544749 35.343 73.3333
0.548696 35.384 72.6716
0.552673 35.426 72.0066
0.556677 35.467 71.3385
0.560711 35.509 70.6677
0.564774 35.552 69.9945
0.568867 35.594 69.3192
0.572989 35.637 68.6423
0.577141 35.681 67.9640
0.581324 35.724 67.2846
0.585536 35.768 66.6046
0.589779 35.812 65.9243
0.594053 35.857 65.2440
0.598358 35.902 64.5640
0.602694 35.947 63.8847
0.607061 35.992 63.2064
0.611460 36.038 62.5294
0.615891 36.084 61.8541
0.620354 36.131 61.1807
0.624849 36.178 60.5095
0.629377 36.225 59.8409
0.633938 36.272 59.1751
0.638532 36.320 58.5123
0.643159 36.368 57.8529
0.647819 36.417 57.1971
0.652514 36.466 56.5450
0.657242 36.515 55.8971
0.662005 36.565 55.2533
0.666802 36.615 54.6141
0.671634 36.665 53.9795
0.676501 36.716 53.3497
0.681403 36.767 52.7249
0.686341 36.818 52.1052
0.691314 36.870 51.4908
0.696324 36.922 50.8819
0.701370 36.975 50.2784
0.706452 37.028 49.6803
0.711571 37.081 49.0873
0.716728 37.135 48.4979
0.721921 37.189 47.9073
0.727153 37.244 47.3029
0.732422 37.301 46.6587
0.737729 37.360 45.9450
0.743075 37.420 45.1835
0.748460 37.482 44.3963
0.753883 37.544 43.5947
0.759346 37.607 42.7837
0.764849 37.670 41.9652
0.770391 37.734 41.1402
0.775974 37.799 40.3092
0.781597 37.865 39.4730
0.787261 37.931 38.6318
0.792966 37.998 37.7864
0.798712 38.065 36.9371
0.804500 38.133 36.0844
0.810329 38.202 35.2288
0.816201 38.271 34.3706
0.822116 38.342 33.5103
0.828073 38.412 32.6483
0.834074 38.484 31.7848
0.840118 38.556 30.9203
0.846206 38.629 30.0550
0.852338 38.703 29.1892
0.858514 38.777 28.3230
0.864735 38.853 27.4569
0.871001 38.929 26.5908
0.877313 39.005 25.7251
0.883670 39.083 24.8597
0.890074 39.161 23.9947
0.896524 39.240 23.1304
0.903020 39.320 22.2665
0.909564 39.400 21.4033
0.916155 39.482 20.5405
0.922794 39.564 19.6782
0.929481 39.647 18.8163
0.936216 39.730 17.9546
0.943000 39.815 17.0930
0.949834 39.900 16.2314
0.956717 39.987 15.3694
0.963649 40.074 14.5069
0.970632 40.162 13.6435
0.977666 40.250 12.7792
0.984750 40.340 11.9134
0.991886 40.430 11.0458
0.999074 40.522 10.1762
1.006314 40.614 9.3041
1.013606 40.707 8.4291
1.020951 40.801 7.5507
1.028349 40.896 6.6686
1.035801 40.992 5.7822
1.043307 41.089 4.8910
1.050867 41.186 3.9946
1.058482 41.285 3.0923
1.066152 41.384 2.1836
1.073878 41.485 1.2679
1.081660 41.586 0.3447
1.089498 41.689 -0.5866
1.097393 41.792 -1.5260
1.105345 41.897 -2.4735
1.113355 42.003 -3.4281
1.121423 42.110 -4.3890
1.129549 42.219 -5.3554
1.137734 42.329 -6.3264
1.145979 42.441 -7.3014
1.154283 42.554 -8.2797
1.162647 42.668 -9.2604
1.171072 42.784 -10.2431
1.179558 42.901 -11.2270
1.188106 43.019 -12.2115
1.196715 43.139 -13.1961
1.205387 43.260 -14.1802
1.214122 43.382 -15.1633
1.222920 43.505 -16.1448
1.231782 43.630 -17.1244
1.240708 43.756 -18.1016
1.249699 43.883 -19.0760
1.258754 44.011 -20.0473
1.267876 44.140 -21.0151
1.277063 44.271 -21.9793
1.286318 44.402 -22.9394
1.295639 44.534 -23.8953
1.305027 44.668 -24.8469
1.314484 44.802 -25.7941
1.324009 44.937 -26.7366
1.333604 45.073 -27.6744
1.343268 45.210 -28.6076
1.353002 45.348 -29.5360
1.362806 45.486 -30.4597
1.372681 45.625 -31.3788
1.382628 45.765 -32.2933
1.392647 45.905 -33.2033
1.402739 46.045 -34.1090
1.412904 46.186 -35.0105
1.423142 46.327 -35.9080
1.433455 46.469 -36.8017
1.443843 46.611 -37.6916
1.454305 46.753 -38.5779
1.464844 46.895 -39.4600
1.475459 47.038 -40.3370
1.486150 47.182 -41.2079
1.496920 47.327 -42.0722
1.507767 47.472 -42.9297
1.518693 47.619 -43.7804
1.529698 47.766 -44.6247
1.540783 47.915 -45.4627
1.551948 48.064 -46.2947
1.563194 48.214 -47.1209
1.574521 48.365 -47.9417
1.585931 48.517 -48.7574
1.597423 48.669 -49.5684
1.608999 48.823 -50.3750
1.620658 48.977 -51.1776
1.632402 49.131 -51.9765
1.644232 49.287 -52.7723
1.656146 49.443 -53.5653
1.668147 49.599 -54.3559
1.680235 49.756 -55.1445
1.692411 49.914 -55.9316
1.704675 50.071 -56.7176
1.717028 50.230 -57.5029
1.729470 50.388 -58.2880
1.742003 50.547 -59.0733
1.754626 50.707 -59.8593
1.767341 50.866 -60.6463
1.780147 51.026 -61.4348
1.793047 51.185 -62.2253
1.806040 51.345 -63.0178
1.819128 51.505 -63.8125
1.832310 51.665 -64.6086
1.845587 51.824 -65.4046
1.858961 51.984 -66.1990
1.872432 52.145 -66.9907
1.886001 52.305 -67.7793
1.899667 52.465 -68.5643
1.913433 52.626 -69.3458
1.927299 52.787 -70.1235
1.941265 52.948 -70.8974
1.955332 53.110 -71.6675
1.969501 53.271 -72.4338
1.983773 53.433 -73.1964
1.998148 53.595 -73.9554
2.012627 53.757 -74.7108
2.027212 53.919 -75.4629
2.041902 54.081 -76.2119
2.056698 54.244 -76.9578
2.071602 54.407 -77.7010
2.086614 54.569 -78.4417
2.101734 54.732 -79.1801
2.116964 54.895 -79.9166
2.132304 55.058 -80.6514
2.147756 55.221 -81.3848
2.163320 55.385 -82.1172
2.178996 55.548 -82.8487
2.194786 55.711 -83.5792
2.210690 55.875 -84.3080
2.226710 56.038 -85.0342
2.242845 56.201 -85.7575
2.259098 56.364 -86.4774
2.275468 56.526 -87.1939
2.291957 56.689 -87.9070
2.308566 56.851 -88.6167
2.325295 57.013 -89.3231
2.342145 57.175 -90.0264
2.359117 57.337 -90.7265
2.376212 57.499 -91.4238
2.393431 57.661 -92.1182
2.410775 57.823 -92.8102
2.428244 57.984 -93.4998
2.445840 58.146 -94.1872
2.463564 58.308 -94.8728
2.481416 58.469 -95.5568
2.499397 58.631 -96.2394
2.517509 58.793 -96.9210
2.535752 58.955 -97.6016
2.554127 59.116 -98.2814
2.572635 59.278 -98.9601
2.591277 59.440 -99.6369
2.610055 59.601 -100.3115
2.628968 59.762 -100.9836
2.648019 59.923 -101.6531
2.667208 60.083 -102.3201
2.686535 60.243 -102.9847
2.706003 60.403 -103.6468
2.725612 60.562 -104.3068
2.745363 60.722 -104.9646
2.765257 60.881 -105.6204
2.785295 61.040 -106.2745
2.805478 61.199 -106.9269
2.825808 61.357 -107.5780
2.846285 61.516 -108.2278
2.866910 61.675 -108.8766
2.887685 61.834 -109.5247
2.908611 61.992 -110.1721
2.929688 62.151 -110.8187
2.950917 62.310 -111.4642
2.972301 62.468 -112.1082
2.993839 62.626 -112.7505
3.015534 62.783 -113.3908
3.037386 62.940 -114.0293
3.059396 63.097 -114.6659
3.081565 63.254 -115.3008
3.103896 63.410 -115.9340
3.126388 63.566 -116.5656
3.149043 63.722 -117.1959
3.171862 63.877 -117.8249
3.194847 64.033 -118.4528
3.217998 64.188 -119.0799
3.241317 64.344 -119.7062
3.264805 64.499 -120.3319
3.288463 64.654 -120.9571
3.312293 64.810 -121.5816
3.336295 64.964 -122.2049
3.360471 65.119 -122.8270
3.384822 65.273 -123.4476
3.409350 65.427 -124.0669
3.434056 65.580 -124.6849
3.458940 65.733 -125.3016
3.484005 65.886 -125.9173
3.509252 66.039 -126.5319
3.534681 66.191 -127.1458
3.560295 66.343 -127.7589
3.586094 66.495 -128.3716
3.612081 66.647 -128.9840
3.638255 66.799 -129.5962
3.664620 66.951 -130.2082
3.691175 67.103 -130.8197
3.717923 67.254 -131.4307
3.744864 67.405 -132.0408
3.772001 67.555 -132.6500
3.799335 67.705 -133.2585
3.826866 67.855 -133.8661
3.854597 68.004 -134.4730
3.882529 68.153 -135.0793
3.910664 68.302 -135.6851
3.939002 68.451 -136.2905
3.967546 68.600 -136.8958
3.996296 68.748 -137.5009
4.025255 68.896 -138.1060
4.054423 69.044 -138.7112
4.083804 69.192 -139.3161
4.113396 69.339 -139.9207
4.143204 69.486 -140.5250
4.173227 69.632 -141.1288
4.203468 69.778 -141.7321
4.233928 69.924 -142.3351
4.264609 70.069 -142.9376
4.295512 70.214 -143.5398
4.326639 70.359 -144.1418
4.357992 70.503 -144.7436
4.389572 70.648 -145.3454
4.421380 70.792 -145.9474
4.453419 70.935 -146.5494
4.485691 71.079 -147.1514
4.518196 71.221 -147.7534
4.550936 71.364 -148.3551
4.583914 71.505 -148.9565
4.617131 71.647 -149.5575
4.650589 71.788 -150.1581
4.684289 71.929 -150.7582
4.718233 72.069 -151.3579
4.752424 72.210 -151.9573
4.786862 72.350 -152.5566
4.821549 72.489 -153.1560
4.856488 72.628 -153.7555
4.891680 72.766 -154.3549
4.927127 72.904 -154.9541
4.962831 73.042 -155.5529
4.998794 73.179 -156.1511
5.035017 73.316 -156.7486
5.071503 73.452 -157.3455
5.108253 73.588 -157.9416
5.145270 73.724 -158.5373
5.182555 73.860 -159.1328
5.220110 73.994 -159.7283
5.257937 74.129 -160.3235
5.296038 74.263 -160.9184
5.334415 74.396 -161.5127
5.373071 74.529 -162.1063
5.412006 74.662 -162.6990
5.451224 74.794 -163.2908
5.490725 74.926 -163.8817
5.530514 75.058 -164.4720
5.570590 75.189 -165.0620
5.610957 75.320 -165.6517
5.651616 75.450 -166.2408
5.692570 75.580 -166.8294
5.733821 75.709 -167.4172
5.775370 75.838 -168.0042
5.817221 75.967 -168.5901
5.859375 76.096 -169.1752
5.901834 76.224 -169.7596
5.944602 76.351 -170.3435
5.987679 76.479 -170.9270
6.031068 76.605 -171.5100
6.074771 76.732 -172.0923
6.118792 76.858 -172.6739
