* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, , 0, volume: 0.138. Timing signal peak level -39.8 dBFS, measurement signal peak level -31.7 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Nov 12, 2025 3:44:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0257 ms (-8.8 mm, -0.35 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset
* Measurement: L Moondrop Lan II Ref Nov 12
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 82.745 -118.1321
20.299999 82.823 -119.1942
20.600000 82.876 -120.2115
20.900000 82.912 -121.0966
21.200001 82.947 -121.8145
21.400000 82.978 -122.2176
21.799999 83.071 -122.9661
22.000000 83.132 -123.3761
22.400000 83.264 -124.3794
22.700001 83.353 -125.3018
23.000000 83.420 -126.3149
23.299999 83.462 -127.3376
23.600000 83.480 -128.2927
24.000000 83.484 -129.3768
24.299999 83.485 -130.0342
24.700001 83.499 -130.7464
25.000000 83.525 -131.2141
25.400000 83.583 -131.8525
25.799999 83.659 -132.6142
26.200001 83.731 -133.5551
26.500000 83.770 -134.3503
26.900000 83.789 -135.4131
27.200001 83.782 -136.1145
27.600000 83.763 -136.8267
28.000000 83.762 -137.3093
28.500000 83.813 -137.8419
29.000000 83.900 -138.6083
29.500000 83.969 -139.6584
30.000000 83.995 -140.7695
30.400000 83.994 -141.5488
30.700001 83.991 -142.0417
31.100000 83.995 -142.6063
31.500000 84.015 -143.1332
32.000000 84.059 -143.8613
32.500000 84.105 -144.7587
33.000000 84.126 -145.7886
33.500000 84.107 -146.7464
34.000000 84.069 -147.4008
34.500000 84.061 -147.7362
35.000000 84.113 -148.0322
35.500000 84.203 -148.6053
36.000000 84.277 -149.5046
36.500000 84.302 -150.4971
37.000000 84.286 -151.3063
37.500000 84.268 -151.8263
38.200001 84.290 -152.3089
38.700001 84.334 -152.7589
39.500000 84.378 -153.7729
40.000000 84.371 -154.3504
40.599998 84.368 -154.8343
41.200001 84.401 -155.3871
41.799999 84.422 -156.3069
42.500000 84.339 -157.3918
43.099998 84.229 -157.6771
43.700001 84.202 -157.5225
44.400002 84.275 -157.7412
45.000000 84.317 -158.4343
45.500000 84.313 -159.0312
46.200001 84.309 -159.6656
46.799999 84.332 -160.2740
47.500000 84.341 -161.2014
48.200001 84.317 -162.1163
48.700001 84.293 -162.6962
49.400002 84.253 -163.3596
50.000000 84.233 -163.6899
50.799999 84.298 -164.1641
51.500000 84.376 -165.2802
52.200001 84.323 -166.6616
53.000000 84.157 -167.1332
53.799999 84.133 -166.6170
54.500000 84.223 -166.6430
55.200001 84.264 -167.2153
56.000000 84.229 -167.6987
57.000000 84.199 -167.8634
58.000000 84.179 -168.3324
59.000000 84.093 -168.6310
60.000000 84.099 -168.5418
60.799999 84.171 -169.0821
61.500000 84.186 -169.8823
62.200001 84.176 -170.5309
63.000000 84.189 -171.1733
64.000000 84.194 -172.0907
65.000000 84.176 -172.8582
66.000000 84.124 -173.5438
67.000000 84.039 -173.7014
68.000000 84.025 -173.6661
69.000000 84.023 -174.0447
70.000000 83.999 -174.5130
71.000000 83.977 -175.0164
72.000000 83.966 -175.5219
73.000000 83.969 -176.1370
74.000000 83.944 -176.8196
75.000000 83.890 -177.2173
76.199997 83.846 -177.3288
77.500000 83.820 -177.5261
78.800003 83.773 -177.7442
80.000000 83.742 -177.9834
81.199997 83.715 -178.3383
82.500000 83.696 -178.8412
83.800003 83.660 -179.4039
85.000000 83.619 -179.7283
86.199997 83.591 -179.9036
87.500000 83.576 179.8836
88.500000 83.559 179.6288
90.000000 83.511 179.2169
91.199997 83.471 178.9409
92.500000 83.432 178.5568
93.800003 83.383 178.1782
95.000000 83.342 177.8950
96.199997 83.307 177.6435
97.500000 83.274 177.3666
98.800003 83.238 177.1191
100.000000 83.209 176.9539
101.500000 83.183 176.7144
103.000000 83.142 176.4018
104.400002 83.094 176.1948
106.000000 83.039 176.0007
107.500000 82.996 175.8408
109.000000 82.962 175.5971
110.599998 82.919 175.2764
112.000000 82.875 175.0466
113.800003 82.828 174.9150
115.000000 82.811 174.7988
117.199997 82.774 174.4062
118.000000 82.754 174.2004
120.599998 82.644 173.7472
122.000000 82.605 173.7323
124.099998 82.567 173.6315
125.000000 82.548 173.5865
126.500000 82.516 173.5486
128.000000 82.494 173.4617
131.500000 82.414 172.6484
132.000000 82.391 172.5647
134.000000 82.305 172.5457
136.000000 82.245 172.6929
138.000000 82.189 172.7908
140.000000 82.140 172.7045
143.000000 82.093 172.4081
145.000000 82.071 172.1326
147.500000 82.029 172.0439
150.000000 81.987 171.9075
152.500000 81.919 171.8127
155.000000 81.871 171.8906
157.500000 81.837 171.9054
160.000000 81.790 171.8281
162.500000 81.725 171.7636
165.000000 81.665 171.7303
167.500000 81.605 171.5768
170.000000 81.555 171.5173
172.500000 81.530 171.5537
175.000000 81.499 171.5838
177.500000 81.446 171.5401
180.000000 81.382 171.5165
182.500000 81.337 171.6312
185.000000 81.300 171.6787
187.500000 81.251 171.6658
190.000000 81.209 171.6744
192.500000 81.176 171.6992
195.000000 81.137 171.7938
197.500000 81.091 171.8670
200.000000 81.053 171.8802
203.000000 81.042 171.8704
206.000000 81.019 171.8179
209.000000 80.951 172.0372
212.000000 80.898 172.2777
214.000000 80.874 172.3686
218.000000 80.813 172.5787
220.000000 80.769 172.6737
224.000000 80.697 172.7179
227.000000 80.674 172.7505
230.000000 80.647 172.8779
233.000000 80.608 172.9475
236.000000 80.566 172.9476
240.000000 80.517 173.1259
243.000000 80.485 173.3726
247.000000 80.444 173.6127
250.000000 80.408 173.7902
254.000000 80.360 174.0358
258.000000 80.305 174.1791
262.000000 80.246 174.4094
265.000000 80.216 174.5574
269.000000 80.194 174.6523
272.000000 80.176 174.7950
276.000000 80.139 175.0303
280.000000 80.089 175.1849
285.000000 80.036 175.5033
290.000000 79.993 175.8630
295.000000 79.945 176.1884
300.000000 79.888 176.3586
304.000000 79.871 176.6025
307.000000 79.861 176.8041
311.000000 79.835 176.9969
315.000000 79.795 177.1237
320.000000 79.734 177.3808
325.000000 79.689 177.8120
330.000000 79.683 178.0164
335.000000 79.666 178.2381
340.000000 79.638 178.6536
345.000000 79.596 178.9711
350.000000 79.558 179.3105
355.000000 79.543 179.7725
360.000000 79.530 -179.7542
365.000000 79.518 -179.4415
370.000000 79.520 -179.2992
375.000000 79.518 -179.0270
382.000000 79.473 -178.6554
387.000000 79.451 -178.3802
395.000000 79.431 -177.7938
400.000000 79.425 -177.4977
406.000000 79.412 -177.1519
412.000000 79.390 -176.8372
418.000000 79.363 -176.4517
425.000000 79.341 -176.0145
431.000000 79.335 -175.7369
437.000000 79.330 -175.3422
444.000000 79.318 -174.9460
450.000000 79.296 -174.6520
455.000000 79.275 -174.3663
462.000000 79.253 -173.9438
468.000000 79.242 -173.5528
475.000000 79.229 -173.1543
482.000000 79.221 -172.7817
487.000000 79.216 -172.4693
494.000000 79.207 -172.0225
500.000000 79.206 -171.6580
508.000000 79.198 -171.1835
515.000000 79.192 -170.8164
522.000000 79.189 -170.4377
530.000000 79.193 -170.0136
538.000000 79.192 -169.6121
545.000000 79.188 -169.2607
552.000000 79.188 -168.8643
560.000000 79.185 -168.4171
570.000000 79.174 -167.8641
580.000000 79.182 -167.2524
590.000000 79.194 -166.6705
600.000000 79.202 -166.0995
608.000000 79.213 -165.7065
615.000000 79.213 -165.3286
622.000000 79.214 -164.9553
630.000000 79.223 -164.5573
640.000000 79.233 -164.0675
650.000000 79.249 -163.5070
660.000000 79.265 -162.9868
670.000000 79.280 -162.4931
680.000000 79.304 -161.9439
690.000000 79.326 -161.4044
700.000000 79.342 -160.9243
710.000000 79.362 -160.4590
720.000000 79.380 -159.9606
730.000000 79.404 -159.4648
740.000000 79.431 -158.9823
750.000000 79.457 -158.5359
762.000000 79.485 -157.9970
775.000000 79.513 -157.3852
788.000000 79.546 -156.7612
800.000000 79.578 -156.2075
812.000000 79.617 -155.7075
825.000000 79.665 -155.1765
838.000000 79.713 -154.5703
850.000000 79.751 -154.0468
862.000000 79.782 -153.5507
875.000000 79.821 -153.0073
885.000000 79.855 -152.5738
900.000000 79.907 -151.9259
912.000000 79.950 -151.4603
925.000000 79.993 -150.9572
938.000000 80.041 -150.4378
950.000000 80.091 -149.9711
962.000000 80.137 -149.5365
975.000000 80.183 -149.0396
988.000000 80.233 -148.5459
1000.000000 80.283 -148.0963
1015.000000 80.345 -147.5115
1030.000000 80.406 -146.9702
1044.000000 80.462 -146.4860
1060.000000 80.529 -145.9395
1075.000000 80.593 -145.4258
1090.000000 80.657 -144.9027
1106.000000 80.727 -144.3810
1120.000000 80.788 -143.9449
1138.000000 80.872 -143.3821
1150.000000 80.928 -143.0211
1172.000000 81.026 -142.3789
1180.000000 81.061 -142.1427
1206.000000 81.177 -141.3599
1220.000000 81.241 -140.9515
1241.000000 81.339 -140.3577
1250.000000 81.382 -140.0940
1265.000000 81.456 -139.6476
1280.000000 81.530 -139.2089
1315.000000 81.706 -138.2517
1320.000000 81.732 -138.1208
1340.000000 81.837 -137.6070
1360.000000 81.943 -137.1022
1380.000000 82.048 -136.6018
1400.000000 82.155 -136.1474
1430.000000 82.318 -135.4684
1450.000000 82.429 -135.0359
1475.000000 82.567 -134.5172
1500.000000 82.705 -134.0071
1525.000000 82.849 -133.5198
1550.000000 82.993 -133.0674
1575.000000 83.138 -132.6333
1600.000000 83.284 -132.2031
1625.000000 83.430 -131.8157
1650.000000 83.579 -131.4462
1675.000000 83.731 -131.1011
1700.000000 83.885 -130.7770
1725.000000 84.041 -130.4834
1750.000000 84.199 -130.2213
1775.000000 84.359 -129.9790
1800.000000 84.519 -129.7659
1825.000000 84.679 -129.5710
1850.000000 84.842 -129.4119
1875.000000 85.008 -129.2854
1900.000000 85.176 -129.1989
1925.000000 85.344 -129.1486
1950.000000 85.512 -129.1356
1975.000000 85.681 -129.1594
2000.000000 85.850 -129.2231
2030.000000 86.054 -129.3477
2060.000000 86.257 -129.5242
2090.000000 86.457 -129.7599
2120.000000 86.656 -130.0479
2140.000000 86.788 -130.2704
2180.000000 87.050 -130.7816
2200.000000 87.180 -131.0698
2240.000000 87.434 -131.7260
2270.000000 87.622 -132.2841
2300.000000 87.807 -132.8918
2330.000000 87.989 -133.5446
2360.000000 88.168 -134.2460
2400.000000 88.398 -135.2750
2430.000000 88.566 -136.1198
2470.000000 88.780 -137.3168
2500.000000 88.934 -138.2733
2540.000000 89.128 -139.6327
2580.000000 89.309 -141.0843
2620.000000 89.475 -142.6119
2650.000000 89.589 -143.8003
2690.000000 89.724 -145.4495
2720.000000 89.814 -146.7264
2760.000000 89.919 -148.4610
2800.000000 90.005 -150.2293
2850.000000 90.084 -152.4674
2900.000000 90.132 -154.7197
2950.000000 90.150 -156.9601
3000.000000 90.139 -159.1602
3040.000000 90.110 -160.8827
3070.000000 90.078 -162.1428
3110.000000 90.022 -163.7766
3150.000000 89.952 -165.3484
3200.000000 89.847 -167.2151
3250.000000 89.725 -168.9799
3300.000000 89.588 -170.6399
3350.000000 89.439 -172.1846
3400.000000 89.280 -173.6212
3450.000000 89.115 -174.9539
3500.000000 88.944 -176.1901
3550.000000 88.769 -177.3295
3600.000000 88.589 -178.3749
3650.000000 88.408 -179.3335
3700.000000 88.227 179.7928
3750.000000 88.045 178.9955
3820.000000 87.791 177.9837
3870.000000 87.612 177.3297
3950.000000 87.326 176.3793
4000.000000 87.149 175.8374
4060.000000 86.936 175.2382
4120.000000 86.726 174.6923
4180.000000 86.518 174.1884
4250.000000 86.275 173.6531
4310.000000 86.065 173.2366
4370.000000 85.856 172.8621
4440.000000 85.613 172.4626
4500.000000 85.403 172.1470
4550.000000 85.227 171.9061
4620.000000 84.978 171.6114
4680.000000 84.763 171.4050
4750.000000 84.509 171.2084
4820.000000 84.251 171.0662
4870.000000 84.067 171.0067
4940.000000 83.807 170.9662
