* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, , 0, volume: 0.138. Timing signal peak level -39.2 dBFS, measurement signal peak level -31.3 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Nov 12, 2025 3:45:25 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0338 ms (-12 mm, -0.46 in) using estimated IR delay relative to Acoustic reference played from  R with no timing offset Clock adjustment: 1.1 ppm
* Measurement: R Moondrop Lan II Ref Nov 12
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 83.100 -123.0683
20.299999 83.138 -123.8265
20.600000 83.183 -124.5575
20.900000 83.233 -125.3104
21.200001 83.283 -126.1169
21.400000 83.313 -126.6839
21.799999 83.357 -127.8434
22.000000 83.371 -128.4062
22.400000 83.391 -129.4354
22.700001 83.409 -130.1102
23.000000 83.440 -130.7319
23.299999 83.486 -131.3559
23.600000 83.543 -132.0375
24.000000 83.623 -133.0795
24.299999 83.673 -133.9369
24.700001 83.718 -135.0785
25.000000 83.736 -135.8555
25.400000 83.757 -136.7201
25.799999 83.791 -137.4137
26.200001 83.847 -138.0420
26.500000 83.897 -138.5341
26.900000 83.964 -139.2431
27.200001 84.005 -139.7865
27.600000 84.046 -140.4549
28.000000 84.081 -141.0105
28.500000 84.137 -141.5977
29.000000 84.208 -142.2403
29.500000 84.266 -143.0411
30.000000 84.286 -143.8875
30.400000 84.278 -144.4633
30.700001 84.270 -144.8034
31.100000 84.268 -145.1740
31.500000 84.284 -145.5441
32.000000 84.315 -146.1252
32.500000 84.337 -146.8235
33.000000 84.347 -147.5231
33.500000 84.363 -148.1795
34.000000 84.392 -148.8720
34.500000 84.423 -149.6736
35.000000 84.439 -150.5368
35.500000 84.437 -151.3435
36.000000 84.430 -152.0305
36.500000 84.430 -152.6319
37.000000 84.436 -153.2113
37.500000 84.440 -153.7898
38.200001 84.437 -154.5504
38.700001 84.436 -155.0365
39.500000 84.448 -155.8072
40.000000 84.459 -156.3516
40.599998 84.467 -157.0435
41.200001 84.477 -157.7213
41.799999 84.506 -158.4903
42.500000 84.528 -159.7090
43.099998 84.482 -160.7991
43.700001 84.389 -161.4627
44.400002 84.326 -161.6303
45.000000 84.339 -161.7282
45.500000 84.359 -161.9335
46.200001 84.382 -162.2131
46.799999 84.424 -162.4413
47.500000 84.488 -163.0015
48.200001 84.510 -163.8127
48.700001 84.500 -164.3477
49.400002 84.483 -164.9547
50.000000 84.483 -165.3620
50.799999 84.547 -165.9181
51.500000 84.651 -166.9904
52.200001 84.660 -168.6883
53.000000 84.474 -169.9392
53.799999 84.326 -169.5529
54.500000 84.362 -169.0028
55.200001 84.424 -169.0062
56.000000 84.440 -169.0896
57.000000 84.480 -169.0569
58.000000 84.500 -169.6713
59.000000 84.388 -170.3086
60.000000 84.281 -170.2851
60.799999 84.273 -170.3776
61.500000 84.268 -170.8041
62.200001 84.240 -171.2859
63.000000 84.209 -171.7623
64.000000 84.161 -172.4482
65.000000 84.077 -172.6814
66.000000 84.102 -172.5842
67.000000 84.169 -173.2995
68.000000 84.143 -174.2293
69.000000 84.111 -174.8341
70.000000 84.096 -175.4421
71.000000 84.081 -175.9475
72.000000 84.079 -176.3824
73.000000 84.069 -176.7243
74.000000 84.072 -176.9491
75.000000 84.070 -177.3497
76.199997 84.009 -177.7817
77.500000 83.953 -178.0179
78.800003 83.908 -178.4155
80.000000 83.865 -178.7709
81.199997 83.841 -179.0997
82.500000 83.814 -179.5077
83.800003 83.785 -179.7190
85.000000 83.780 -179.9651
86.199997 83.753 179.6465
87.500000 83.707 179.3284
88.500000 83.677 179.0869
90.000000 83.623 178.6809
91.199997 83.581 178.4771
92.500000 83.555 178.2213
93.800003 83.522 177.9680
95.000000 83.509 177.7428
96.199997 83.482 177.3766
97.500000 83.432 177.1238
98.800003 83.389 176.9830
100.000000 83.354 176.8623
101.500000 83.317 176.7086
103.000000 83.284 176.4330
104.400002 83.243 176.1475
106.000000 83.203 175.8968
107.500000 83.169 175.6625
109.000000 83.135 175.4800
110.599998 83.088 175.2711
112.000000 83.042 175.1497
113.800003 83.000 174.9463
115.000000 82.970 174.7241
117.199997 82.921 174.4855
118.000000 82.907 174.4179
120.599998 82.856 174.2274
122.000000 82.813 174.1103
124.099998 82.754 173.9313
125.000000 82.735 173.8156
126.500000 82.705 173.5791
128.000000 82.664 173.4140
131.500000 82.558 173.5124
132.000000 82.545 173.5279
134.000000 82.498 173.3578
136.000000 82.441 173.0328
138.000000 82.394 172.8148
140.000000 82.349 172.7469
143.000000 82.278 172.7525
145.000000 82.242 172.6903
147.500000 82.215 172.6424
150.000000 82.197 172.6039
152.500000 82.136 172.4855
155.000000 82.067 172.5059
157.500000 82.026 172.4988
160.000000 81.985 172.3582
162.500000 81.918 172.2038
165.000000 81.869 172.2128
167.500000 81.838 172.2621
170.000000 81.788 172.2852
172.500000 81.722 172.2938
175.000000 81.676 172.2918
177.500000 81.653 172.3998
180.000000 81.632 172.5372
182.500000 81.585 172.6081
185.000000 81.534 172.6270
187.500000 81.489 172.5869
190.000000 81.448 172.5769
192.500000 81.414 172.6346
195.000000 81.382 172.7206
197.500000 81.348 172.7846
200.000000 81.307 172.8577
203.000000 81.260 173.1172
206.000000 81.226 173.2770
209.000000 81.185 173.1567
212.000000 81.148 173.0138
214.000000 81.117 173.0403
218.000000 81.050 173.2604
220.000000 81.026 173.3648
224.000000 80.976 173.6584
227.000000 80.922 173.8711
230.000000 80.874 173.9324
233.000000 80.848 173.9945
236.000000 80.829 174.1459
240.000000 80.786 174.2953
243.000000 80.746 174.3784
247.000000 80.696 174.6068
250.000000 80.662 174.8034
254.000000 80.626 174.9548
258.000000 80.591 175.1234
262.000000 80.533 175.4425
265.000000 80.497 175.6432
269.000000 80.479 175.7836
272.000000 80.467 175.8714
276.000000 80.431 176.0241
280.000000 80.394 176.2327
285.000000 80.356 176.5157
290.000000 80.303 176.9381
295.000000 80.240 177.2864
300.000000 80.187 177.5842
304.000000 80.168 177.7169
307.000000 80.159 177.8311
311.000000 80.138 178.0975
315.000000 80.107 178.3987
320.000000 80.075 178.6792
325.000000 80.051 179.0099
330.000000 80.004 179.3728
335.000000 79.962 179.7071
340.000000 79.930 -179.9633
345.000000 79.901 -179.7129
350.000000 79.894 -179.5031
355.000000 79.883 -179.1307
360.000000 79.857 -178.6594
365.000000 79.842 -178.1144
370.000000 79.844 -177.6899
375.000000 79.838 -177.5241
382.000000 79.834 -177.1288
387.000000 79.826 -176.8556
395.000000 79.799 -176.5504
400.000000 79.786 -176.2396
406.000000 79.767 -175.8495
412.000000 79.734 -175.4993
418.000000 79.705 -175.1080
425.000000 79.693 -174.6892
431.000000 79.692 -174.4315
437.000000 79.688 -174.2194
444.000000 79.676 -173.8064
450.000000 79.666 -173.3903
455.000000 79.660 -173.0251
462.000000 79.647 -172.5870
468.000000 79.629 -172.2654
475.000000 79.620 -171.8882
482.000000 79.618 -171.4926
487.000000 79.615 -171.1486
494.000000 79.611 -170.7108
500.000000 79.605 -170.4063
508.000000 79.599 -169.9687
515.000000 79.596 -169.6525
522.000000 79.592 -169.3076
530.000000 79.585 -168.8442
538.000000 79.586 -168.4164
545.000000 79.590 -168.0497
552.000000 79.586 -167.5308
560.000000 79.591 -166.9882
570.000000 79.608 -166.4413
580.000000 79.607 -165.9450
590.000000 79.605 -165.3777
600.000000 79.608 -164.8309
608.000000 79.618 -164.4164
615.000000 79.629 -164.0862
622.000000 79.641 -163.7311
630.000000 79.656 -163.3043
640.000000 79.672 -162.7941
650.000000 79.688 -162.2510
660.000000 79.703 -161.6979
670.000000 79.720 -161.1198
680.000000 79.743 -160.6403
690.000000 79.761 -160.1599
700.000000 79.781 -159.6799
710.000000 79.808 -159.2222
720.000000 79.835 -158.7199
730.000000 79.857 -158.2237
740.000000 79.877 -157.7399
750.000000 79.898 -157.2812
762.000000 79.930 -156.7139
775.000000 79.967 -156.0968
788.000000 80.006 -155.4717
800.000000 80.044 -154.9429
812.000000 80.085 -154.4374
825.000000 80.127 -153.8568
838.000000 80.166 -153.2784
850.000000 80.202 -152.7837
862.000000 80.238 -152.2706
875.000000 80.279 -151.7282
885.000000 80.310 -151.3123
900.000000 80.365 -150.6883
912.000000 80.414 -150.2055
925.000000 80.464 -149.6858
938.000000 80.513 -149.1557
950.000000 80.559 -148.6600
962.000000 80.607 -148.1735
975.000000 80.664 -147.6817
988.000000 80.719 -147.2123
1000.000000 80.765 -146.7530
1015.000000 80.823 -146.1985
1030.000000 80.887 -145.6797
1044.000000 80.946 -145.2000
1060.000000 81.018 -144.6405
1075.000000 81.084 -144.1111
1090.000000 81.150 -143.6054
1106.000000 81.223 -143.0729
1120.000000 81.288 -142.6151
1138.000000 81.373 -142.0545
1150.000000 81.429 -141.6858
1172.000000 81.532 -140.9813
1180.000000 81.570 -140.7354
1206.000000 81.697 -139.9781
1220.000000 81.765 -139.5832
1241.000000 81.867 -139.0054
1250.000000 81.910 -138.7668
1265.000000 81.984 -138.3633
1280.000000 82.058 -137.9531
1315.000000 82.230 -137.0211
1320.000000 82.255 -136.8959
1340.000000 82.357 -136.3832
1360.000000 82.461 -135.8712
1380.000000 82.569 -135.3789
1400.000000 82.681 -134.9129
1430.000000 82.847 -134.2375
1450.000000 82.956 -133.7952
1475.000000 83.093 -133.2772
1500.000000 83.233 -132.7808
1525.000000 83.376 -132.3184
1550.000000 83.520 -131.8594
1575.000000 83.666 -131.4097
1600.000000 83.814 -131.0134
1625.000000 83.963 -130.6351
1650.000000 84.112 -130.2893
1675.000000 84.264 -129.9715
1700.000000 84.417 -129.6743
1725.000000 84.572 -129.3931
1750.000000 84.726 -129.1265
1775.000000 84.881 -128.8942
1800.000000 85.039 -128.6985
1825.000000 85.199 -128.5234
1850.000000 85.360 -128.3783
1875.000000 85.522 -128.2559
1900.000000 85.684 -128.1669
1925.000000 85.846 -128.1062
1950.000000 86.010 -128.0759
1975.000000 86.175 -128.0785
2000.000000 86.340 -128.1216
2030.000000 86.539 -128.2131
2060.000000 86.739 -128.3501
2090.000000 86.941 -128.5448
2120.000000 87.143 -128.7888
2140.000000 87.277 -128.9769
2180.000000 87.544 -129.4442
2200.000000 87.678 -129.7289
2240.000000 87.942 -130.3734
2270.000000 88.138 -130.9279
2300.000000 88.332 -131.5562
2330.000000 88.520 -132.2660
2360.000000 88.702 -133.0453
2400.000000 88.935 -134.1716
2430.000000 89.102 -135.0867
2470.000000 89.312 -136.3998
2500.000000 89.459 -137.4416
2540.000000 89.641 -138.8959
2580.000000 89.808 -140.4234
2620.000000 89.956 -142.0203
2650.000000 90.056 -143.2579
2690.000000 90.172 -144.9471
2720.000000 90.246 -146.2369
2760.000000 90.329 -147.9833
2800.000000 90.390 -149.7461
2850.000000 90.439 -151.9434
2900.000000 90.458 -154.1252
2950.000000 90.448 -156.2719
3000.000000 90.411 -158.3636
3040.000000 90.361 -159.9815
3070.000000 90.315 -161.1583
3110.000000 90.241 -162.6727
3150.000000 90.154 -164.1130
3200.000000 90.031 -165.8095
3250.000000 89.893 -167.3932
3300.000000 89.742 -168.8608
3350.000000 89.583 -170.2173
3400.000000 89.415 -171.4586
3450.000000 89.243 -172.5924
3500.000000 89.068 -173.6199
3550.000000 88.890 -174.5514
3600.000000 88.710 -175.3980
3650.000000 88.531 -176.1617
3700.000000 88.353 -176.8463
3750.000000 88.175 -177.4672
3820.000000 87.928 -178.2319
3870.000000 87.755 -178.7151
3950.000000 87.482 -179.3890
4000.000000 87.313 -179.7460
4060.000000 87.114 179.8864
4120.000000 86.922 179.5779
4180.000000 86.736 179.3041
4250.000000 86.525 178.9897
4310.000000 86.345 178.7192
4370.000000 86.162 178.4606
4440.000000 85.945 178.1962
4500.000000 85.761 177.9999
4550.000000 85.607 177.8627
4620.000000 85.389 177.7088
4680.000000 85.203 177.6011
4750.000000 84.984 177.4912
4820.000000 84.763 177.4189
4870.000000 84.603 177.3887
