* Measurement data measured by REW V5.31.3
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250. Timing signal peak level -32.8 dBFS, measurement signal peak level -25.8 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Dec 6, 2025 3:40:17 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: stock tips; Delay -0.0314 ms (-11 mm, -0.42 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset Clock adjustment: 1.8 ppm
* Measurement: Truthear Gate shortwide L
* Smoothing: 1/24 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 44.245 158.8584
0.368865 44.240 158.8321
0.371538 44.233 158.7935
0.374230 44.225 158.7486
0.376942 44.217 158.7004
0.379673 44.208 158.6498
0.382424 44.200 158.5971
0.385196 44.191 158.5424
0.387987 44.183 158.4856
0.390798 44.174 158.4269
0.393630 44.165 158.3661
0.396483 44.156 158.3033
0.399356 44.147 158.2383
0.402250 44.138 158.1713
0.405165 44.129 158.1022
0.408101 44.120 158.0309
0.411058 44.111 157.9575
0.414037 44.102 157.8819
0.417037 44.092 157.8041
0.420059 44.083 157.7241
0.423103 44.074 157.6419
0.426169 44.064 157.5575
0.429257 44.054 157.4708
0.432368 44.045 157.3818
0.435501 44.035 157.2905
0.438656 44.025 157.1970
0.441835 44.015 157.1011
0.445037 44.005 157.0029
0.448262 43.995 156.9023
0.451510 43.985 156.7995
0.454782 43.975 156.6942
0.458077 43.965 156.5865
0.461397 43.955 156.4765
0.464740 43.944 156.3641
0.468108 43.934 156.2493
0.471500 43.923 156.1320
0.474917 43.913 156.0124
0.478358 43.902 155.8903
0.481825 43.891 155.7659
0.485316 43.880 155.6389
0.488833 43.869 155.5096
0.492375 43.858 155.3778
0.495943 43.847 155.2436
0.499537 43.836 155.1070
0.503157 43.825 154.9680
0.506803 43.814 154.8266
0.510475 43.802 154.6827
0.514175 43.791 154.5365
0.517900 43.779 154.3879
0.521653 43.768 154.2369
0.525434 43.756 154.0836
0.529241 43.744 153.9280
0.533076 43.732 153.7700
0.536939 43.720 153.6098
0.540830 43.708 153.4473
0.544749 43.696 153.2826
0.548696 43.684 153.1157
0.552673 43.671 152.9466
0.556677 43.659 152.7754
0.560711 43.646 152.6022
0.564774 43.634 152.4269
0.568867 43.621 152.2496
0.572989 43.608 152.0703
0.577141 43.595 151.8892
0.581324 43.582 151.7063
0.585536 43.569 151.5216
0.589779 43.556 151.3352
0.594053 43.543 151.1472
0.598358 43.529 150.9577
0.602694 43.516 150.7667
0.607061 43.502 150.5744
0.611460 43.489 150.3807
0.615891 43.475 150.1859
0.620354 43.461 149.9900
0.624849 43.447 149.7931
0.629377 43.433 149.5954
0.633938 43.419 149.3969
0.638532 43.405 149.1979
0.643159 43.390 148.9983
0.647819 43.376 148.7985
0.652514 43.361 148.5984
0.657242 43.347 148.3983
0.662005 43.332 148.1984
0.666802 43.317 147.9987
0.671634 43.302 147.7995
0.676501 43.287 147.6010
0.681403 43.272 147.4034
0.686341 43.256 147.2068
0.691314 43.241 147.0115
0.696324 43.225 146.8177
0.701370 43.210 146.6257
0.706452 43.194 146.4356
0.711571 43.178 146.2477
0.716728 43.162 146.0623
0.721921 43.146 145.8794
0.727153 43.129 145.6991
0.732422 43.112 145.5208
0.737729 43.094 145.3433
0.743075 43.075 145.1651
0.748460 43.056 144.9856
0.753883 43.036 144.8044
0.759346 43.015 144.6215
0.764849 42.994 144.4367
0.770391 42.973 144.2502
0.775974 42.951 144.0619
0.781597 42.928 143.8718
0.787261 42.905 143.6800
0.792966 42.882 143.4865
0.798712 42.858 143.2913
0.804500 42.834 143.0945
0.810329 42.810 142.8960
0.816201 42.785 142.6960
0.822116 42.759 142.4945
0.828073 42.733 142.2915
0.834074 42.707 142.0872
0.840118 42.681 141.8815
0.846206 42.654 141.6745
0.852338 42.627 141.4664
0.858514 42.600 141.2572
0.864735 42.572 141.0470
0.871001 42.544 140.8359
0.877313 42.516 140.6240
0.883670 42.488 140.4115
0.890074 42.460 140.1984
0.896524 42.431 139.9850
0.903020 42.403 139.7713
0.909564 42.374 139.5576
0.916155 42.345 139.3439
0.922794 42.317 139.1305
0.929481 42.288 138.9176
0.936216 42.259 138.7054
0.943000 42.231 138.4941
0.949834 42.202 138.2840
0.956717 42.174 138.0752
0.963649 42.146 137.8681
0.970632 42.118 137.6630
0.977666 42.090 137.4601
0.984750 42.063 137.2598
0.991886 42.036 137.0624
0.999074 42.009 136.8682
1.006314 41.983 136.6777
1.013606 41.958 136.4911
1.020951 41.933 136.3089
1.028349 41.909 136.1316
1.035801 41.885 135.9595
1.043307 41.862 135.7931
1.050867 41.840 135.6329
1.058482 41.819 135.4794
1.066152 41.799 135.3330
1.073878 41.779 135.1945
1.081660 41.761 135.0642
1.089498 41.744 134.9430
1.097393 41.728 134.8316
1.105345 41.712 134.7311
1.113355 41.697 134.6426
1.121423 41.682 134.5665
1.129549 41.667 134.5028
1.137734 41.652 134.4516
1.145979 41.637 134.4126
1.154283 41.622 134.3857
1.162647 41.608 134.3706
1.171072 41.594 134.3672
1.179558 41.580 134.3751
1.188106 41.566 134.3942
1.196715 41.553 134.4241
1.205387 41.541 134.4644
1.214122 41.529 134.5149
1.222920 41.518 134.5751
1.231782 41.508 134.6446
1.240708 41.498 134.7229
1.249699 41.490 134.8097
1.258754 41.482 134.9042
1.267876 41.475 135.0061
1.277063 41.470 135.1146
1.286318 41.466 135.2291
1.295639 41.463 135.3489
1.305027 41.462 135.4733
1.314484 41.462 135.6014
1.324009 41.464 135.7325
1.333604 41.467 135.8657
1.343268 41.473 136.0000
1.353002 41.480 136.1345
1.362806 41.490 136.2681
1.372681 41.501 136.3999
1.382628 41.515 136.5286
1.392647 41.532 136.6532
1.402739 41.551 136.7724
1.412904 41.573 136.8852
1.423142 41.598 136.9903
1.433455 41.626 137.0867
1.443843 41.657 137.1735
1.454305 41.692 137.2511
1.464844 41.730 137.3220
1.475459 41.772 137.3916
1.486150 41.818 137.4655
1.496920 41.867 137.5462
1.507767 41.921 137.6340
1.518693 41.978 137.7282
1.529698 42.039 137.8279
1.540783 42.103 137.9317
1.551948 42.171 138.0385
1.563194 42.243 138.1470
1.574521 42.318 138.2557
1.585931 42.396 138.3635
1.597423 42.478 138.4689
1.608999 42.563 138.5706
1.620658 42.651 138.6672
1.632402 42.742 138.7575
1.644232 42.835 138.8399
1.656146 42.932 138.9133
1.668147 43.031 138.9762
1.680235 43.133 139.0274
1.692411 43.237 139.0655
1.704675 43.343 139.0893
1.717028 43.452 139.0976
1.729470 43.562 139.0891
1.742003 43.674 139.0626
1.754626 43.788 139.0170
1.767341 43.903 138.9513
1.780147 44.019 138.8643
1.793047 44.137 138.7554
1.806040 44.255 138.6241
1.819128 44.374 138.4713
1.832310 44.495 138.3005
1.845587 44.618 138.1181
1.858961 44.744 137.9298
1.872432 44.874 137.7380
1.886001 45.007 137.5432
1.899667 45.144 137.3447
1.913433 45.284 137.1415
1.927299 45.428 136.9326
1.941265 45.574 136.7169
1.955332 45.723 136.4935
1.969501 45.875 136.2611
1.983773 46.029 136.0189
1.998148 46.186 135.7658
2.012627 46.345 135.5009
2.027212 46.505 135.2232
2.041902 46.668 134.9319
2.056698 46.831 134.6259
2.071602 46.996 134.3044
2.086614 47.162 133.9665
2.101734 47.329 133.6115
2.116964 47.495 133.2383
2.132304 47.662 132.8464
2.147756 47.829 132.4348
2.163320 47.995 132.0033
2.178996 48.161 131.5519
2.194786 48.326 131.0826
2.210690 48.491 130.5991
2.226710 48.656 130.1065
2.242845 48.823 129.6074
2.259098 48.990 129.1029
2.275468 49.159 128.5933
2.291957 49.329 128.0786
2.308566 49.499 127.5585
2.325295 49.671 127.0328
2.342145 49.843 126.5012
2.359117 50.016 125.9634
2.376212 50.190 125.4191
2.393431 50.364 124.8677
2.410775 50.539 124.3090
2.428244 50.714 123.7425
2.445840 50.889 123.1678
2.463564 51.065 122.5844
2.481416 51.241 121.9917
2.499397 51.416 121.3894
2.517509 51.592 120.7768
2.535752 51.767 120.1540
2.554127 51.942 119.5210
2.572635 52.117 118.8793
2.591277 52.292 118.2312
2.610055 52.467 117.5786
2.628968 52.642 116.9224
2.648019 52.816 116.2633
2.667208 52.991 115.6015
2.686535 53.166 114.9373
2.706003 53.341 114.2709
2.725612 53.516 113.6023
2.745363 53.690 112.9316
2.765257 53.865 112.2588
2.785295 54.040 111.5838
2.805478 54.215 110.9065
2.825808 54.390 110.2268
2.846285 54.565 109.5445
2.866910 54.740 108.8595
2.887685 54.915 108.1716
2.908611 55.090 107.4808
2.929688 55.265 106.7872
2.950917 55.440 106.0918
2.972301 55.614 105.3955
2.993839 55.788 104.6989
3.015534 55.962 104.0022
3.037386 56.136 103.3057
3.059396 56.309 102.6094
3.081565 56.483 101.9133
3.103896 56.656 101.2175
3.126388 56.829 100.5219
3.149043 57.002 99.8265
3.171862 57.175 99.1313
3.194847 57.348 98.4361
3.217998 57.521 97.7408
3.241317 57.694 97.0454
3.264805 57.867 96.3498
3.288463 58.041 95.6544
3.312293 58.215 94.9596
3.336295 58.388 94.2663
3.360471 58.561 93.5750
3.384822 58.735 92.8858
3.409350 58.907 92.1984
3.434056 59.080 91.5127
3.458940 59.253 90.8285
3.484005 59.425 90.1455
3.509252 59.598 89.4635
3.534681 59.770 88.7822
3.560295 59.943 88.1014
3.586094 60.116 87.4210
3.612081 60.290 86.7406
3.638255 60.464 86.0606
3.664620 60.638 85.3815
3.691175 60.812 84.7045
3.717923 60.986 84.0305
3.744864 61.160 83.3598
3.772001 61.334 82.6919
3.799335 61.508 82.0262
3.826866 61.683 81.3621
3.854597 61.857 80.6988
3.882529 62.031 80.0356
3.910664 62.206 79.3720
3.939002 62.381 78.7072
3.967546 62.556 78.0409
3.996296 62.732 77.3728
4.025255 62.908 76.7036
4.054423 63.084 76.0346
4.083804 63.260 75.3674
4.113396 63.437 74.7026
4.143204 63.613 74.0397
4.173227 63.790 73.3781
4.203468 63.967 72.7167
4.233928 64.144 72.0547
4.264609 64.321 71.3913
4.295512 64.498 70.7254
4.326639 64.675 70.0564
4.357992 64.852 69.3838
4.389572 65.030 68.7078
4.421380 65.208 68.0298
4.453419 65.385 67.3515
4.485691 65.563 66.6735
4.518196 65.741 65.9956
4.550936 65.919 65.3172
4.583914 66.097 64.6377
4.617131 66.274 63.9562
4.650589 66.452 63.2719
4.684289 66.629 62.5840
4.718233 66.807 61.8920
4.752424 66.984 61.1957
4.786862 67.160 60.4958
4.821549 67.337 59.7937
4.856488 67.513 59.0900
4.891680 67.690 58.3850
4.927127 67.865 57.6784
4.962831 68.041 56.9701
4.998794 68.216 56.2595
5.035017 68.391 55.5464
5.071503 68.565 54.8302
5.108253 68.738 54.1106
5.145270 68.912 53.3877
5.182555 69.084 52.6618
5.220110 69.256 51.9335
5.257937 69.428 51.2034
5.296038 69.598 50.4717
5.334415 69.768 49.7387
5.373071 69.938 49.0046
5.412006 70.107 48.2693
5.451224 70.275 47.5327
5.490725 70.442 46.7947
5.530514 70.609 46.0548
5.570590 70.775 45.3130
5.610957 70.940 44.5697
5.651616 71.104 43.8255
5.692570 71.268 43.0809
5.733821 71.430 42.3364
5.775370 71.592 41.5925
5.817221 71.753 40.8493
5.859375 71.914 40.1067
5.901834 72.074 39.3642
5.944602 72.232 38.6213
5.987679 72.390 37.8782
6.031068 72.547 37.1355
6.074771 72.703 36.3938
6.118792 72.859 35.6536
6.163131 73.014 34.9153
6.207792 73.168 34.1792
6.252776 73.322 33.4448
6.298086 73.474 32.7117
6.343725 73.626 31.9796
6.389694 73.777 31.2488
6.435996 73.928 30.5196
6.482634 74.078 29.7926
6.529610 74.227 29.0679
6.576926 74.376 28.3457
6.624585 74.525 27.6258
6.672590 74.673 26.9078
6.720942 74.820 26.1917
6.769645 74.966 25.4773
6.818700 75.112 24.7648
6.868111 75.258 24.0543
6.917881 75.404 23.3458
6.968010 75.549 22.6395
