* Measurement data measured by REW V5.31.3
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250. Timing signal peak level -33.2 dBFS, measurement signal peak level -26.1 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Dec 6, 2025 3:41:02 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: stock tips; Delay -0.0332 ms (-11 mm, -0.45 in) using estimated IR delay relative to Acoustic reference played from  R with no timing offset Clock adjustment: 1.6 ppm
* Measurement: Truthear Gate shortwide R
* Smoothing: 1/24 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 42.375 159.4974
0.368865 42.370 159.4736
0.371538 42.363 159.4386
0.374230 42.355 159.3980
0.376942 42.347 159.3543
0.379673 42.338 159.3083
0.382424 42.330 159.2604
0.385196 42.321 159.2107
0.387987 42.313 159.1590
0.390798 42.304 159.1055
0.393630 42.295 159.0501
0.396483 42.286 158.9928
0.399356 42.277 158.9335
0.402250 42.268 158.8723
0.405165 42.259 158.8092
0.408101 42.250 158.7440
0.411058 42.241 158.6769
0.414037 42.232 158.6077
0.417037 42.223 158.5366
0.420059 42.213 158.4633
0.423103 42.204 158.3881
0.426169 42.194 158.3107
0.429257 42.185 158.2313
0.432368 42.175 158.1498
0.435501 42.165 158.0661
0.438656 42.156 157.9803
0.441835 42.146 157.8924
0.445037 42.136 157.8024
0.448262 42.126 157.7101
0.451510 42.116 157.6157
0.454782 42.106 157.5192
0.458077 42.095 157.4204
0.461397 42.085 157.3195
0.464740 42.075 157.2163
0.468108 42.064 157.1109
0.471500 42.054 157.0034
0.474917 42.043 156.8936
0.478358 42.033 156.7816
0.481825 42.022 156.6673
0.485316 42.011 156.5509
0.488833 42.000 156.4322
0.492375 41.989 156.3114
0.495943 41.978 156.1883
0.499537 41.967 156.0630
0.503157 41.956 155.9355
0.506803 41.945 155.8058
0.510475 41.933 155.6740
0.514175 41.922 155.5400
0.517900 41.910 155.4038
0.521653 41.899 155.2655
0.525434 41.887 155.1251
0.529241 41.875 154.9827
0.533076 41.863 154.8381
0.536939 41.851 154.6915
0.540830 41.839 154.5429
0.544749 41.827 154.3924
0.548696 41.815 154.2399
0.552673 41.802 154.0855
0.556677 41.790 153.9292
0.560711 41.778 153.7712
0.564774 41.765 153.6113
0.568867 41.752 153.4498
0.572989 41.740 153.2866
0.577141 41.727 153.1218
0.581324 41.714 152.9555
0.585536 41.701 152.7877
0.589779 41.688 152.6185
0.594053 41.674 152.4481
0.598358 41.661 152.2764
0.602694 41.648 152.1035
0.607061 41.634 151.9296
0.611460 41.620 151.7547
0.615891 41.607 151.5790
0.620354 41.593 151.4026
0.624849 41.579 151.2255
0.629377 41.565 151.0479
0.633938 41.551 150.8700
0.638532 41.537 150.6918
0.643159 41.522 150.5135
0.647819 41.508 150.3353
0.652514 41.493 150.1572
0.657242 41.479 149.9796
0.662005 41.464 149.8024
0.666802 41.449 149.6260
0.671634 41.434 149.4505
0.676501 41.419 149.2761
0.681403 41.404 149.1030
0.686341 41.389 148.9314
0.691314 41.373 148.7616
0.696324 41.358 148.5938
0.701370 41.342 148.4281
0.706452 41.326 148.2650
0.711571 41.310 148.1045
0.716728 41.294 147.9471
0.721921 41.278 147.7927
0.727153 41.262 147.6415
0.732422 41.246 147.4930
0.737729 41.229 147.3460
0.743075 41.212 147.1993
0.748460 41.195 147.0524
0.753883 41.177 146.9049
0.759346 41.159 146.7567
0.764849 41.140 146.6078
0.770391 41.120 146.4583
0.775974 41.101 146.3081
0.781597 41.080 146.1573
0.787261 41.060 146.0060
0.792966 41.038 145.8541
0.798712 41.017 145.7016
0.804500 40.995 145.5487
0.810329 40.973 145.3954
0.816201 40.950 145.2417
0.822116 40.927 145.0876
0.828073 40.904 144.9333
0.834074 40.880 144.7789
0.840118 40.856 144.6242
0.846206 40.832 144.4695
0.852338 40.808 144.3149
0.858514 40.784 144.1603
0.864735 40.759 144.0060
0.871001 40.734 143.8519
0.877313 40.710 143.6983
0.883670 40.685 143.5452
0.890074 40.660 143.3927
0.896524 40.635 143.2411
0.903020 40.610 143.0903
0.909564 40.586 142.9406
0.916155 40.561 142.7922
0.922794 40.537 142.6451
0.929481 40.513 142.4996
0.936216 40.490 142.3558
0.943000 40.466 142.2140
0.949834 40.443 142.0744
0.956717 40.421 141.9371
0.963649 40.399 141.8024
0.970632 40.377 141.6706
0.977666 40.356 141.5419
0.984750 40.336 141.4165
0.991886 40.317 141.2947
0.999074 40.298 141.1768
1.006314 40.281 141.0631
1.013606 40.264 140.9540
1.020951 40.248 140.8496
1.028349 40.233 140.7504
1.035801 40.220 140.6567
1.043307 40.208 140.5689
1.050867 40.197 140.4872
1.058482 40.188 140.4120
1.066152 40.180 140.3438
1.073878 40.174 140.2830
1.081660 40.169 140.2299
1.089498 40.166 140.1853
1.097393 40.165 140.1504
1.105345 40.165 140.1266
1.113355 40.167 140.1158
1.121423 40.169 140.1188
1.129549 40.173 140.1358
1.137734 40.177 140.1664
1.145979 40.182 140.2105
1.154283 40.189 140.2676
1.162647 40.196 140.3374
1.171072 40.205 140.4193
1.179558 40.215 140.5129
1.188106 40.226 140.6176
1.196715 40.238 140.7329
1.205387 40.251 140.8582
1.214122 40.266 140.9928
1.222920 40.282 141.1361
1.231782 40.299 141.2873
1.240708 40.318 141.4457
1.249699 40.339 141.6104
1.258754 40.361 141.7807
1.267876 40.385 141.9555
1.277063 40.410 142.1341
1.286318 40.437 142.3153
1.295639 40.466 142.4983
1.305027 40.496 142.6819
1.314484 40.529 142.8650
1.324009 40.564 143.0466
1.333604 40.600 143.2254
1.343268 40.639 143.4003
1.353002 40.680 143.5700
1.362806 40.723 143.7333
1.372681 40.768 143.8890
1.382628 40.816 144.0357
1.392647 40.867 144.1722
1.402739 40.919 144.2972
1.412904 40.975 144.4095
1.423142 41.033 144.5077
1.433455 41.094 144.5909
1.443843 41.158 144.6584
1.454305 41.225 144.7108
1.464844 41.295 144.7511
1.475459 41.369 144.7858
1.486150 41.448 144.8212
1.496920 41.530 144.8603
1.507767 41.617 144.9034
1.518693 41.708 144.9496
1.529698 41.803 144.9977
1.540783 41.902 145.0463
1.551948 42.005 145.0941
1.563194 42.112 145.1397
1.574521 42.223 145.1816
1.585931 42.337 145.2185
1.597423 42.455 145.2490
1.608999 42.576 145.2717
1.620658 42.700 145.2854
1.632402 42.827 145.2887
1.644232 42.957 145.2804
1.656146 43.090 145.2592
1.668147 43.225 145.2239
1.680235 43.363 145.1734
1.692411 43.503 145.1065
1.704675 43.644 145.0221
1.717028 43.788 144.9192
1.729470 43.932 144.7967
1.742003 44.078 144.6537
1.754626 44.225 144.4893
1.767341 44.373 144.3027
1.780147 44.521 144.0929
1.793047 44.669 143.8596
1.806040 44.817 143.6025
1.819128 44.965 143.3230
1.832310 45.114 143.0249
1.845587 45.264 142.7151
1.858961 45.415 142.3999
1.872432 45.570 142.0820
1.886001 45.727 141.7619
1.899667 45.886 141.4391
1.913433 46.048 141.1126
1.927299 46.212 140.7816
1.941265 46.379 140.4450
1.955332 46.547 140.1019
1.969501 46.718 139.7511
1.983773 46.890 139.3919
1.998148 47.064 139.0231
2.012627 47.240 138.6440
2.027212 47.417 138.2534
2.041902 47.595 137.8507
2.056698 47.774 137.4349
2.071602 47.954 137.0051
2.086614 48.134 136.5604
2.101734 48.315 136.1001
2.116964 48.497 135.6233
2.132304 48.678 135.1292
2.147756 48.859 134.6171
2.163320 49.039 134.0866
2.178996 49.219 133.5380
2.194786 49.399 132.9733
2.210690 49.578 132.3967
2.226710 49.758 131.8135
2.242845 49.938 131.2265
2.259098 50.119 130.6368
2.275468 50.300 130.0447
2.291957 50.482 129.4497
2.308566 50.665 128.8517
2.325295 50.848 128.2502
2.342145 51.031 127.6446
2.359117 51.215 127.0346
2.376212 51.399 126.4196
2.393431 51.583 125.7989
2.410775 51.768 125.1720
2.428244 51.952 124.5384
2.445840 52.137 123.8972
2.463564 52.322 123.2480
2.481416 52.507 122.5900
2.499397 52.692 121.9226
2.517509 52.877 121.2451
2.535752 53.062 120.5574
2.554127 53.246 119.8596
2.572635 53.431 119.1535
2.591277 53.615 118.4420
2.610055 53.799 117.7272
2.628968 53.982 117.0104
2.648019 54.166 116.2920
2.667208 54.349 115.5722
2.686535 54.532 114.8511
2.706003 54.715 114.1288
2.725612 54.898 113.4050
2.745363 55.081 112.6796
2.765257 55.263 111.9524
2.785295 55.446 111.2231
2.805478 55.628 110.4914
2.825808 55.810 109.7569
2.846285 55.992 109.0192
2.866910 56.173 108.2780
2.887685 56.355 107.5327
2.908611 56.537 106.7832
2.929688 56.718 106.0297
2.950917 56.899 105.2732
2.972301 57.079 104.5148
2.993839 57.259 103.7555
3.015534 57.439 102.9958
3.037386 57.618 102.2359
3.059396 57.797 101.4762
3.081565 57.975 100.7166
3.103896 58.153 99.9572
3.126388 58.330 99.1981
3.149043 58.507 98.4390
3.171862 58.684 97.6800
3.194847 58.861 96.9209
3.217998 59.037 96.1614
3.241317 59.214 95.4012
3.264805 59.390 94.6403
3.288463 59.566 93.8783
3.312293 59.742 93.1155
3.336295 59.917 92.3522
3.360471 60.091 91.5889
3.384822 60.265 90.8261
3.409350 60.439 90.0639
3.434056 60.612 89.3028
3.458940 60.784 88.5428
3.484005 60.956 87.7841
3.509252 61.128 87.0268
3.534681 61.300 86.2710
3.560295 61.471 85.5165
3.586094 61.642 84.7634
3.612081 61.813 84.0116
3.638255 61.983 83.2609
3.664620 62.154 82.5113
3.691175 62.324 81.7627
3.717923 62.494 81.0153
3.744864 62.663 80.2692
3.772001 62.831 79.5246
3.799335 62.999 78.7817
3.826866 63.167 78.0405
3.854597 63.334 77.3011
3.882529 63.501 76.5636
3.910664 63.668 75.8280
3.939002 63.835 75.0942
3.967546 64.001 74.3623
3.996296 64.167 73.6321
4.025255 64.334 72.9037
4.054423 64.500 72.1770
4.083804 64.665 71.4522
4.113396 64.830 70.7292
4.143204 64.995 70.0082
4.173227 65.160 69.2892
4.203468 65.324 68.5722
4.233928 65.487 67.8571
4.264609 65.651 67.1440
4.295512 65.814 66.4327
4.326639 65.977 65.7231
4.357992 66.141 65.0153
4.389572 66.304 64.3091
4.421380 66.467 63.6049
4.453419 66.630 62.9027
4.485691 66.792 62.2026
4.518196 66.954 61.5045
4.550936 67.116 60.8084
4.583914 67.278 60.1141
4.617131 67.439 59.4215
4.650589 67.600 58.7303
4.684289 67.762 58.0405
4.718233 67.923 57.3518
4.752424 68.084 56.6644
4.786862 68.245 55.9785
4.821549 68.406 55.2945
4.856488 68.567 54.6123
4.891680 68.727 53.9320
4.927127 68.888 53.2533
4.962831 69.048 52.5757
4.998794 69.208 51.8992
5.035017 69.368 51.2233
5.071503 69.528 50.5479
5.108253 69.688 49.8729
5.145270 69.848 49.1985
5.182555 70.008 48.5254
5.220110 70.168 47.8536
5.257937 70.328 47.1831
5.296038 70.487 46.5135
5.334415 70.647 45.8444
5.373071 70.806 45.1753
5.412006 70.965 44.5058
5.451224 71.125 43.8356
5.490725 71.284 43.1647
5.530514 71.443 42.4938
5.570590 71.602 41.8232
5.610957 71.762 41.1530
5.651616 71.920 40.4830
5.692570 72.079 39.8126
5.733821 72.238 39.1413
5.775370 72.397 38.4686
5.817221 72.555 37.7941
5.859375 72.714 37.1177
5.901834 72.872 36.4400
5.944602 73.030 35.7613
5.987679 73.188 35.0819
6.031068 73.346 34.4014
6.074771 73.504 33.7196
6.118792 73.661 33.0358
6.163131 73.818 32.3497
6.207792 73.975 31.6609
6.252776 74.131 30.9696
6.298086 74.287 30.2760
6.343725 74.443 29.5804
6.389694 74.599 28.8831
6.435996 74.754 28.1840
6.482634 74.908 27.4828
6.529610 75.062 26.7795
6.576926 75.216 26.0737
6.624585 75.368 25.3652
6.672590 75.521 24.6541
6.720942 75.672 23.9408
6.769645 75.823 23.2255
6.818700 75.974 22.5088
6.868111 76.124 21.7908
6.917881 76.273 21.0718
6.968010 76.421 20.3515
