* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: 0.810. Timing signal peak level -22.2 dBFS, measurement signal peak level -19.3 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Feb 12, 2026 7:31:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0293 ms (-10 mm, -0.4 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset Clock adjustment: 2.2 ppm
* Measurement: Truthear Gate Shortwide L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 95.967 -166.4896
20.299999 95.967 -167.3750
20.600000 95.957 -168.1631
20.900000 95.947 -168.8543
21.200001 95.945 -169.4944
21.400000 95.948 -169.9196
21.799999 95.954 -170.7991
22.000000 95.952 -171.2468
22.400000 95.934 -172.1001
22.700001 95.914 -172.6539
23.000000 95.896 -173.1140
23.299999 95.887 -173.4964
23.600000 95.891 -173.8391
24.000000 95.917 -174.3129
24.299999 95.948 -174.7312
24.700001 95.996 -175.4299
25.000000 96.031 -176.0847
25.400000 96.058 -177.1293
25.799999 96.041 -178.2812
26.200001 95.968 -179.3409
26.500000 95.884 -179.9305
26.900000 95.764 179.6759
27.200001 95.698 179.6451
27.600000 95.670 179.7320
28.000000 95.704 179.6349
28.500000 95.764 178.9572
29.000000 95.758 177.8491
29.500000 95.668 176.8297
30.000000 95.550 176.2167
30.400000 95.479 175.9471
30.700001 95.443 175.7651
31.100000 95.411 175.4616
31.500000 95.381 175.0894
32.000000 95.344 174.6211
32.500000 95.329 174.1611
33.000000 95.341 173.5533
33.500000 95.346 172.7047
34.000000 95.309 171.8080
34.500000 95.238 171.2011
35.000000 95.188 170.9969
35.500000 95.195 170.9350
36.000000 95.235 170.7067
36.500000 95.258 170.3341
37.000000 95.258 170.0585
37.500000 95.268 169.9186
38.200001 95.299 169.4305
38.700001 95.250 168.8133
39.500000 95.006 168.6776
40.000000 94.909 169.4746
40.599998 94.983 170.1988
41.200001 95.120 169.5356
41.799999 95.121 167.8793
42.500000 94.950 166.1136
43.099998 94.781 165.1370
43.700001 94.637 164.4576
44.400002 94.511 164.0093
45.000000 94.472 163.8228
45.500000 94.478 163.6099
46.200001 94.485 163.2932
46.799999 94.500 163.2582
47.500000 94.577 163.1977
48.200001 94.645 162.6311
48.700001 94.636 162.0663
49.400002 94.559 161.3894
50.000000 94.464 160.8943
50.799999 94.283 160.3665
51.500000 94.113 160.4234
52.200001 94.051 160.8898
53.000000 94.150 160.7603
53.799999 94.218 159.2989
54.500000 94.087 157.9999
55.200001 93.869 157.9677
56.000000 93.748 159.1070
57.000000 93.741 159.9602
58.000000 93.582 160.0858
59.000000 93.322 161.2233
60.000000 93.364 161.8222
60.799999 93.395 159.7219
61.500000 93.195 157.4497
62.200001 92.983 155.9783
63.000000 92.897 154.2898
64.000000 92.726 152.4536
65.000000 92.769 153.1876
66.000000 93.123 152.9347
67.000000 93.168 151.9614
68.000000 93.050 152.9371
69.000000 93.025 154.6561
70.000000 93.024 155.6447
71.000000 92.951 155.9190
72.000000 92.836 155.9656
73.000000 92.743 155.8432
74.000000 92.701 155.6627
75.000000 92.725 155.1778
76.199997 92.673 154.1913
77.500000 92.519 154.0443
78.800003 92.394 154.4110
80.000000 92.330 154.4943
81.199997 92.235 154.0262
82.500000 92.130 153.7302
83.800003 92.057 153.4313
85.000000 91.994 153.4717
86.199997 91.958 153.7562
87.500000 91.944 153.9702
88.500000 91.922 153.8427
90.000000 91.842 153.2547
91.199997 91.716 152.7456
92.500000 91.582 152.8106
93.800003 91.553 153.2395
95.000000 91.577 153.1189
96.199997 91.518 152.6983
97.500000 91.391 152.5693
98.800003 91.258 152.6719
100.000000 91.164 153.0389
101.500000 91.167 153.1155
103.000000 91.104 152.3326
104.400002 90.972 152.2438
106.000000 90.895 152.7505
107.500000 90.865 153.0747
109.000000 90.824 153.2558
110.599998 90.773 153.1978
112.000000 90.699 152.7224
113.800003 90.594 152.2260
115.000000 90.581 151.8132
117.199997 90.539 150.8492
118.000000 90.504 150.6489
120.599998 90.203 151.4361
122.000000 90.122 153.0026
124.099998 90.123 153.8224
125.000000 90.098 153.6288
126.500000 90.008 153.3012
128.000000 89.937 153.1121
131.500000 89.755 153.5122
132.000000 89.733 153.8134
134.000000 89.621 154.7686
136.000000 89.386 155.1326
138.000000 89.163 154.9563
140.000000 89.027 154.1859
143.000000 88.878 155.2413
145.000000 88.820 155.7312
147.500000 88.462 156.7003
150.000000 88.788 160.5560
152.500000 88.693 161.5830
155.000000 87.959 164.0476
157.500000 88.592 156.7068
160.000000 89.521 144.1567
162.500000 89.897 151.0971
165.000000 90.296 165.1737
167.500000 90.150 171.5447
170.000000 89.764 171.2430
172.500000 89.963 167.9112
175.000000 90.266 163.8226
177.500000 90.035 161.4917
180.000000 89.651 162.5354
182.500000 89.623 164.3303
185.000000 89.653 163.8188
187.500000 89.592 162.5667
190.000000 89.521 161.6493
192.500000 89.456 161.1519
195.000000 89.366 161.1476
197.500000 89.321 161.6998
200.000000 89.316 161.9982
203.000000 89.253 161.7258
206.000000 89.195 161.4640
209.000000 89.122 161.2361
212.000000 89.050 161.1467
214.000000 89.022 161.0346
218.000000 88.965 161.3359
220.000000 88.891 161.4440
224.000000 88.721 161.7894
227.000000 88.622 162.1079
230.000000 88.531 162.6113
233.000000 88.442 162.8527
236.000000 88.400 162.8712
240.000000 88.378 162.6258
243.000000 88.333 163.4250
247.000000 88.280 164.1878
250.000000 88.208 164.3353
254.000000 88.178 164.7144
258.000000 88.161 164.9963
262.000000 88.080 165.0962
265.000000 88.022 165.1572
269.000000 88.007 165.5152
272.000000 87.999 165.7514
276.000000 87.932 166.1305
280.000000 87.887 166.5230
285.000000 87.868 166.7672
290.000000 87.816 167.1728
295.000000 87.717 167.6708
300.000000 87.615 168.1382
304.000000 87.572 168.4670
307.000000 87.555 168.7251
311.000000 87.533 169.0883
315.000000 87.497 169.4434
320.000000 87.438 169.7813
325.000000 87.376 170.0975
330.000000 87.383 170.5413
335.000000 87.374 171.0862
340.000000 87.347 171.5268
345.000000 87.328 171.8580
350.000000 87.289 172.2490
355.000000 87.273 172.6801
360.000000 87.265 173.1855
365.000000 87.232 173.5730
370.000000 87.192 173.9867
375.000000 87.165 174.4220
382.000000 87.136 174.9055
387.000000 87.120 175.1753
395.000000 87.091 175.8466
400.000000 87.086 176.2260
406.000000 87.086 176.5221
412.000000 87.072 176.8580
418.000000 87.075 177.2065
425.000000 87.062 177.5643
431.000000 87.040 177.9165
437.000000 87.017 178.3870
444.000000 87.000 178.9048
450.000000 86.986 179.3423
455.000000 86.967 179.6852
462.000000 86.945 -179.9211
468.000000 86.935 -179.7162
475.000000 86.910 -179.5028
482.000000 86.870 -179.1151
487.000000 86.849 -178.6937
494.000000 86.838 -178.1617
500.000000 86.823 -177.7734
508.000000 86.793 -177.1992
515.000000 86.781 -176.7972
522.000000 86.778 -176.3828
530.000000 86.764 -175.8090
538.000000 86.756 -175.2798
545.000000 86.752 -174.8742
552.000000 86.747 -174.4516
560.000000 86.740 -173.9562
570.000000 86.726 -173.1925
580.000000 86.728 -172.5397
590.000000 86.727 -171.9329
600.000000 86.719 -171.3601
608.000000 86.708 -170.7984
615.000000 86.707 -170.3165
622.000000 86.714 -169.8951
630.000000 86.723 -169.4464
640.000000 86.724 -168.8318
650.000000 86.734 -168.1547
660.000000 86.741 -167.4889
670.000000 86.742 -166.8803
680.000000 86.747 -166.3029
690.000000 86.755 -165.6381
700.000000 86.760 -164.9829
710.000000 86.772 -164.4003
720.000000 86.793 -163.8209
730.000000 86.822 -163.1299
740.000000 86.846 -162.4800
750.000000 86.865 -161.8632
762.000000 86.890 -161.1862
775.000000 86.919 -160.3742
788.000000 86.956 -159.5127
800.000000 86.994 -158.7715
812.000000 87.041 -158.0305
825.000000 87.083 -157.2758
838.000000 87.111 -156.5089
850.000000 87.129 -155.8096
862.000000 87.165 -154.9812
875.000000 87.221 -153.9768
885.000000 87.274 -153.3037
900.000000 87.367 -152.4967
912.000000 87.440 -151.8138
925.000000 87.514 -151.1244
938.000000 87.580 -150.4115
950.000000 87.647 -149.7591
962.000000 87.716 -149.1890
975.000000 87.797 -148.5490
988.000000 87.880 -147.9359
1000.000000 87.958 -147.4026
1015.000000 88.053 -146.8286
1030.000000 88.142 -146.2552
1044.000000 88.229 -145.7140
1060.000000 88.338 -145.1736
1075.000000 88.444 -144.6884
1090.000000 88.547 -144.2074
1106.000000 88.647 -143.7779
1120.000000 88.731 -143.4098
1138.000000 88.841 -142.9971
1150.000000 88.914 -142.7463
1172.000000 89.045 -142.2907
1180.000000 89.095 -142.1376
1206.000000 89.256 -141.6358
1220.000000 89.342 -141.3824
1241.000000 89.471 -141.0961
1250.000000 89.528 -140.9723
1265.000000 89.630 -140.7663
1280.000000 89.728 -140.5860
1315.000000 89.927 -140.1671
1320.000000 89.955 -140.1081
1340.000000 90.064 -139.8895
1360.000000 90.174 -139.6883
1380.000000 90.285 -139.5472
1400.000000 90.398 -139.4270
1430.000000 90.560 -139.2356
1450.000000 90.666 -139.1075
1475.000000 90.796 -138.9702
1500.000000 90.914 -138.8181
1525.000000 91.025 -138.6645
1550.000000 91.134 -138.4981
1575.000000 91.237 -138.3255
1600.000000 91.338 -138.1398
1625.000000 91.439 -137.9665
1650.000000 91.539 -137.7947
1675.000000 91.642 -137.5800
1700.000000 91.744 -137.3999
1725.000000 91.849 -137.2463
1750.000000 91.954 -137.0869
1775.000000 92.059 -136.9470
1800.000000 92.162 -136.8208
1825.000000 92.268 -136.6747
1850.000000 92.375 -136.5511
1875.000000 92.483 -136.4531
1900.000000 92.596 -136.3676
1925.000000 92.708 -136.3034
1950.000000 92.820 -136.2535
1975.000000 92.936 -136.2176
2000.000000 93.052 -136.2021
2030.000000 93.192 -136.2066
2060.000000 93.332 -136.2454
2090.000000 93.471 -136.3080
2120.000000 93.609 -136.3950
2140.000000 93.703 -136.4606
2180.000000 93.890 -136.6672
2200.000000 93.984 -136.7951
2240.000000 94.171 -137.0602
2270.000000 94.313 -137.2940
2300.000000 94.454 -137.5697
2330.000000 94.590 -137.8901
2360.000000 94.724 -138.2548
2400.000000 94.901 -138.7865
2430.000000 95.031 -139.2097
2470.000000 95.201 -139.8251
2500.000000 95.325 -140.3232
2540.000000 95.485 -141.0509
2580.000000 95.636 -141.8230
2620.000000 95.782 -142.6463
2650.000000 95.886 -143.3026
2690.000000 96.019 -144.2178
2720.000000 96.113 -144.9385
2760.000000 96.230 -145.9297
2800.000000 96.337 -146.9574
2850.000000 96.459 -148.2900
2900.000000 96.563 -149.6500
2950.000000 96.647 -151.0375
3000.000000 96.716 -152.4594
3040.000000 96.760 -153.6078
3070.000000 96.785 -154.4681
3110.000000 96.805 -155.6046
3150.000000 96.809 -156.7393
3200.000000 96.795 -158.1489
3250.000000 96.757 -159.5319
3300.000000 96.694 -160.8686
3350.000000 96.618 -162.1711
3400.000000 96.537 -163.4500
3450.000000 96.454 -164.6732
3500.000000 96.367 -165.8390
3550.000000 96.270 -166.9544
3600.000000 96.151 -168.0274
3650.000000 96.010 -169.0409
3700.000000 95.843 -169.9904
3750.000000 95.661 -170.8817
3820.000000 95.399 -172.0275
3870.000000 95.225 -172.7835
3950.000000 94.991 -173.9037
4000.000000 94.864 -174.5522
4060.000000 94.727 -175.2952
4120.000000 94.590 -175.9841
4180.000000 94.442 -176.6127
4250.000000 94.256 -177.2570
4310.000000 94.082 -177.7194
4370.000000 93.896 -178.1073
4440.000000 93.670 -178.4632
4500.000000 93.470 -178.6742
4550.000000 93.299 -178.8017
4620.000000 93.060 -178.9073
4680.000000 92.857 -178.9238
4750.000000 92.624 -178.8887
4820.000000 92.393 -178.8025
4870.000000 92.230 -178.7062
4940.000000 92.002 -178.5090
5000.000000 91.811 -178.2497
5080.000000 91.582 -177.8101
5150.000000 91.404 -177.4520
5220.000000 91.240 -177.0804
