* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: 0.810. Timing signal peak level -22.3 dBFS, measurement signal peak level -18.5 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Feb 12, 2026 7:33:28 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0324 ms (-11 mm, -0.44 in) using estimated IR delay relative to Acoustic reference played from  R with no timing offset Clock adjustment: 1.6 ppm
* Measurement: Truthear Gate Shortwide R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 96.432 -168.6443
20.299999 96.364 -169.2107
20.600000 96.319 -169.5959
20.900000 96.304 -169.9230
21.200001 96.314 -170.3084
21.400000 96.328 -170.6298
21.799999 96.354 -171.4240
22.000000 96.360 -171.8710
22.400000 96.359 -172.7853
22.700001 96.349 -173.4479
23.000000 96.339 -174.0841
23.299999 96.330 -174.7092
23.600000 96.320 -175.3387
24.000000 96.300 -176.1835
24.299999 96.276 -176.7950
24.700001 96.235 -177.5275
25.000000 96.205 -177.9938
25.400000 96.175 -178.5224
25.799999 96.164 -179.0176
26.200001 96.164 -179.5642
26.500000 96.163 179.9733
26.900000 96.148 179.3264
27.200001 96.126 178.8732
27.600000 96.091 178.3832
28.000000 96.065 178.0297
28.500000 96.066 177.6302
29.000000 96.092 177.0359
29.500000 96.100 176.1805
30.000000 96.058 175.2825
30.400000 95.995 174.7288
30.700001 95.947 174.4543
31.100000 95.899 174.2252
31.500000 95.877 174.0287
32.000000 95.870 173.6619
32.500000 95.855 173.1601
33.000000 95.826 172.6684
33.500000 95.801 172.2518
34.000000 95.795 171.7921
34.500000 95.790 171.1658
35.000000 95.757 170.4495
35.500000 95.696 169.8432
36.000000 95.638 169.4091
36.500000 95.601 169.0110
37.000000 95.567 168.5877
37.500000 95.525 168.3228
38.200001 95.544 168.3384
38.700001 95.665 167.9747
39.500000 95.799 165.6269
40.000000 95.667 163.8505
40.599998 95.343 163.0280
41.200001 95.125 163.8862
41.799999 95.153 164.7792
42.500000 95.240 164.3704
43.099998 95.178 163.5756
43.700001 95.052 163.2312
44.400002 94.947 163.2456
45.000000 94.895 163.1904
45.500000 94.861 163.0392
46.200001 94.828 162.6888
46.799999 94.807 162.2600
47.500000 94.796 161.6158
48.200001 94.789 160.7199
48.700001 94.755 159.9988
49.400002 94.658 159.3008
50.000000 94.588 159.1757
50.799999 94.568 159.2240
51.500000 94.566 159.1931
52.200001 94.561 159.1467
53.000000 94.524 158.9565
53.799999 94.409 159.0109
54.500000 94.326 159.4830
55.200001 94.296 159.7191
56.000000 94.220 159.6163
57.000000 94.118 159.5995
58.000000 94.003 159.4765
59.000000 93.990 160.7646
60.000000 94.397 160.7397
60.799999 94.588 158.3285
61.500000 94.475 156.0904
62.200001 94.179 155.0129
63.000000 93.828 156.0492
64.000000 93.871 158.6640
65.000000 94.130 157.8412
66.000000 93.966 155.6234
67.000000 93.659 154.9176
68.000000 93.470 154.8777
69.000000 93.392 154.6211
70.000000 93.323 154.1158
71.000000 93.264 153.9436
72.000000 93.249 153.9128
73.000000 93.239 153.9083
74.000000 93.222 153.9108
75.000000 93.176 153.9201
76.199997 93.106 154.0861
77.500000 93.035 154.0662
78.800003 92.935 153.9965
80.000000 92.887 153.7751
81.199997 92.796 152.9516
82.500000 92.604 152.4782
83.800003 92.490 152.6826
85.000000 92.455 152.5689
86.199997 92.416 152.4613
87.500000 92.392 152.3672
88.500000 92.353 152.3020
90.000000 92.284 152.5085
91.199997 92.252 152.6497
92.500000 92.204 152.4182
93.800003 92.108 152.1618
95.000000 92.018 152.0956
96.199997 91.944 152.0700
97.500000 91.873 152.0722
98.800003 91.812 152.0797
100.000000 91.752 152.0419
101.500000 91.672 152.0296
103.000000 91.603 151.9902
104.400002 91.533 151.8838
106.000000 91.443 151.8549
107.500000 91.376 151.9492
109.000000 91.319 151.8799
110.599998 91.241 151.8264
112.000000 91.182 151.8630
113.800003 91.110 152.0138
115.000000 91.076 152.2277
117.199997 91.016 152.2754
118.000000 90.968 152.2147
120.599998 90.810 152.4792
122.000000 90.752 152.4533
124.099998 90.670 152.2545
125.000000 90.632 152.1306
126.500000 90.559 152.0480
128.000000 90.494 152.2097
131.500000 90.375 152.6898
132.000000 90.356 152.7333
134.000000 90.281 152.6862
136.000000 90.179 152.4150
138.000000 90.094 152.5086
140.000000 90.037 152.8081
143.000000 89.958 153.3687
145.000000 89.905 153.6272
147.500000 89.836 153.3493
150.000000 89.717 152.8104
152.500000 89.587 152.7818
155.000000 89.567 153.4086
157.500000 89.572 153.8824
160.000000 89.431 154.2027
162.500000 89.210 154.7315
165.000000 89.099 154.8313
167.500000 89.090 155.2411
170.000000 89.165 155.9487
172.500000 89.172 156.3096
175.000000 89.058 156.2798
177.500000 88.878 156.0286
180.000000 88.721 156.0363
182.500000 88.657 156.5887
185.000000 88.582 157.5060
187.500000 88.443 158.4579
190.000000 88.317 158.9832
192.500000 88.278 159.1109
195.000000 88.293 160.0077
197.500000 88.257 161.1113
200.000000 88.177 161.9258
203.000000 88.183 161.5338
206.000000 88.269 161.9601
209.000000 88.375 163.3007
212.000000 88.405 164.7564
214.000000 88.416 165.5021
218.000000 88.302 165.7332
220.000000 88.302 165.3951
224.000000 88.530 164.5262
227.000000 88.580 164.7342
230.000000 88.529 165.5783
233.000000 88.540 166.0869
236.000000 88.511 166.9269
240.000000 88.466 167.9020
243.000000 88.516 166.8737
247.000000 88.485 165.6764
250.000000 88.391 165.2452
254.000000 88.283 164.7721
258.000000 88.196 164.5168
262.000000 88.160 164.8948
265.000000 88.173 165.0288
269.000000 88.118 164.9101
272.000000 88.065 165.2115
276.000000 88.025 165.4666
280.000000 87.983 165.4144
285.000000 87.911 165.8561
290.000000 87.801 166.2867
295.000000 87.753 166.6435
300.000000 87.739 167.0491
304.000000 87.667 167.3712
307.000000 87.601 167.4961
311.000000 87.543 167.7346
315.000000 87.514 168.0527
320.000000 87.486 168.5222
325.000000 87.440 169.0128
330.000000 87.392 169.3704
335.000000 87.342 169.6234
340.000000 87.290 169.9214
345.000000 87.252 170.3436
350.000000 87.208 170.7890
355.000000 87.155 171.3171
360.000000 87.131 171.7741
365.000000 87.104 172.2587
370.000000 87.058 172.7563
375.000000 87.034 173.2488
382.000000 87.037 173.8796
387.000000 87.028 174.2389
395.000000 87.010 174.7856
400.000000 86.990 175.1939
406.000000 86.977 175.5674
412.000000 86.949 175.9068
418.000000 86.920 176.3066
425.000000 86.918 176.9109
431.000000 86.905 177.4631
437.000000 86.886 177.8323
444.000000 86.863 178.2191
450.000000 86.850 178.5952
455.000000 86.834 178.8788
462.000000 86.807 179.2888
468.000000 86.789 179.6364
475.000000 86.759 179.9731
482.000000 86.724 -179.7676
487.000000 86.699 -179.3656
494.000000 86.686 -178.7350
500.000000 86.680 -178.3317
508.000000 86.667 -177.8004
515.000000 86.649 -177.2692
522.000000 86.631 -176.7635
530.000000 86.626 -176.3712
538.000000 86.613 -175.8866
545.000000 86.611 -175.4113
552.000000 86.610 -174.9486
560.000000 86.599 -174.3159
570.000000 86.583 -173.6335
580.000000 86.577 -172.9383
590.000000 86.562 -172.3210
600.000000 86.549 -171.7637
608.000000 86.548 -171.3137
615.000000 86.547 -170.8571
622.000000 86.542 -170.3554
630.000000 86.533 -169.7634
640.000000 86.533 -169.1084
650.000000 86.545 -168.5376
660.000000 86.562 -167.9533
670.000000 86.578 -167.2540
680.000000 86.584 -166.4973
690.000000 86.585 -165.8575
700.000000 86.596 -165.2166
710.000000 86.613 -164.5197
720.000000 86.637 -163.8695
730.000000 86.656 -163.2038
740.000000 86.666 -162.5495
750.000000 86.681 -161.8952
762.000000 86.705 -161.1540
775.000000 86.739 -160.2574
788.000000 86.801 -159.3401
800.000000 86.863 -158.4926
812.000000 86.905 -157.8013
825.000000 86.952 -157.1213
838.000000 87.008 -156.3969
850.000000 87.075 -155.7183
862.000000 87.137 -155.0743
875.000000 87.200 -154.4378
885.000000 87.249 -153.9112
900.000000 87.331 -153.1328
912.000000 87.405 -152.6093
925.000000 87.488 -152.1932
938.000000 87.544 -151.8929
950.000000 87.573 -151.4576
962.000000 87.601 -150.7925
975.000000 87.632 -149.9001
988.000000 87.666 -148.9587
1000.000000 87.697 -148.1539
1015.000000 87.749 -147.3902
1030.000000 87.834 -146.6677
1044.000000 87.919 -146.0018
1060.000000 88.018 -145.2872
1075.000000 88.117 -144.7314
1090.000000 88.216 -144.2275
1106.000000 88.320 -143.7180
1120.000000 88.408 -143.3242
1138.000000 88.514 -142.8234
1150.000000 88.581 -142.4874
1172.000000 88.704 -141.9715
1180.000000 88.750 -141.8206
1206.000000 88.906 -141.3373
1220.000000 88.984 -141.0973
1241.000000 89.111 -140.6803
1250.000000 89.172 -140.5157
1265.000000 89.276 -140.2892
1280.000000 89.371 -140.0908
1315.000000 89.543 -139.6517
1320.000000 89.566 -139.5864
1340.000000 89.662 -139.3029
1360.000000 89.759 -139.0316
1380.000000 89.858 -138.7556
1400.000000 89.963 -138.4881
1430.000000 90.123 -138.1120
1450.000000 90.234 -137.9003
1475.000000 90.362 -137.6249
1500.000000 90.478 -137.3614
1525.000000 90.584 -137.1110
1550.000000 90.695 -136.8869
1575.000000 90.808 -136.6656
1600.000000 90.912 -136.4604
1625.000000 91.016 -136.2027
1650.000000 91.117 -135.9638
1675.000000 91.215 -135.8029
1700.000000 91.313 -135.6333
1725.000000 91.409 -135.4355
1750.000000 91.508 -135.2490
1775.000000 91.609 -135.0635
1800.000000 91.710 -134.8699
1825.000000 91.813 -134.6882
1850.000000 91.917 -134.5147
1875.000000 92.019 -134.3495
1900.000000 92.123 -134.2111
1925.000000 92.234 -134.0896
1950.000000 92.344 -133.9763
1975.000000 92.453 -133.8600
2000.000000 92.565 -133.7662
2030.000000 92.700 -133.6959
2060.000000 92.835 -133.6324
2090.000000 92.970 -133.5822
2120.000000 93.108 -133.5728
2140.000000 93.199 -133.5921
2180.000000 93.379 -133.6620
2200.000000 93.470 -133.7115
2240.000000 93.655 -133.8412
2270.000000 93.794 -133.9732
2300.000000 93.930 -134.1548
2330.000000 94.066 -134.3629
2360.000000 94.199 -134.5907
2400.000000 94.375 -134.9449
2430.000000 94.507 -135.2535
2470.000000 94.679 -135.7335
2500.000000 94.805 -136.1157
2540.000000 94.970 -136.6512
2580.000000 95.130 -137.2548
2620.000000 95.284 -137.9180
2650.000000 95.395 -138.4510
2690.000000 95.538 -139.2055
2720.000000 95.641 -139.8067
2760.000000 95.769 -140.6487
2800.000000 95.889 -141.5348
2850.000000 96.031 -142.7064
2900.000000 96.156 -143.9250
2950.000000 96.264 -145.1805
3000.000000 96.355 -146.4504
3040.000000 96.416 -147.4870
3070.000000 96.455 -148.2861
3110.000000 96.494 -149.3750
3150.000000 96.520 -150.4603
3200.000000 96.530 -151.8014
3250.000000 96.518 -153.1395
3300.000000 96.480 -154.4652
3350.000000 96.425 -155.7775
3400.000000 96.363 -157.0526
3450.000000 96.296 -158.2733
3500.000000 96.227 -159.4455
3550.000000 96.146 -160.5849
3600.000000 96.039 -161.6757
3650.000000 95.906 -162.7016
3700.000000 95.751 -163.6667
3750.000000 95.584 -164.5601
3820.000000 95.352 -165.7042
3870.000000 95.196 -166.4924
3950.000000 94.966 -167.6644
4000.000000 94.829 -168.3565
4060.000000 94.677 -169.1113
4120.000000 94.527 -169.7683
4180.000000 94.369 -170.3188
4250.000000 94.176 -170.8347
4310.000000 94.002 -171.1824
4370.000000 93.820 -171.4783
4440.000000 93.598 -171.7740
4500.000000 93.402 -171.9642
4550.000000 93.237 -172.0875
4620.000000 92.997 -172.2049
4680.000000 92.785 -172.2523
4750.000000 92.540 -172.2392
4820.000000 92.293 -172.1285
4870.000000 92.115 -171.9748
4940.000000 91.868 -171.6765
5000.000000 91.664 -171.3454
5080.000000 91.412 -170.8033
5150.000000 91.211 -170.2338
5220.000000 91.032 -169.6028
