* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: 0.810. Timing signal peak level -23.6 dBFS, measurement signal peak level -19.4 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Feb 12, 2026 7:25:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0275 ms (-9.4 mm, -0.37 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset Clock adjustment: 2.1 ppm
* Measurement: Truthear Gate Stock L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 95.997 -166.1658
20.299999 96.003 -166.9160
20.600000 95.990 -167.6585
20.900000 95.965 -168.3257
21.200001 95.935 -168.8837
21.400000 95.918 -169.1981
21.799999 95.900 -169.7421
22.000000 95.900 -170.0029
22.400000 95.909 -170.5647
22.700001 95.919 -171.0365
23.000000 95.925 -171.5356
23.299999 95.927 -172.0318
23.600000 95.925 -172.4995
24.000000 95.926 -173.0712
24.299999 95.934 -173.4887
24.700001 95.956 -174.0999
25.000000 95.975 -174.6385
25.400000 95.995 -175.4756
25.799999 95.994 -176.3992
26.200001 95.969 -177.3206
26.500000 95.938 -177.9636
26.900000 95.889 -178.7313
27.200001 95.852 -179.2456
27.600000 95.808 -179.8725
28.000000 95.768 179.5496
28.500000 95.727 178.8902
29.000000 95.703 178.2809
29.500000 95.698 177.6456
30.000000 95.702 176.9041
30.400000 95.696 176.2424
30.700001 95.681 175.7462
31.100000 95.646 175.1525
31.500000 95.603 174.6990
32.000000 95.554 174.3561
32.500000 95.534 174.1742
33.000000 95.545 173.9719
33.500000 95.567 173.5977
34.000000 95.569 173.0629
34.500000 95.533 172.5445
35.000000 95.480 172.2039
35.500000 95.443 171.9799
36.000000 95.426 171.6529
36.500000 95.400 171.1399
37.000000 95.353 170.5877
37.500000 95.310 170.0789
38.200001 95.287 168.9599
38.700001 95.214 167.6379
39.500000 94.837 166.0906
40.000000 94.576 166.6058
40.599998 94.523 168.1662
41.200001 94.737 168.6966
41.799999 94.922 167.6294
42.500000 94.920 166.0461
43.099998 94.856 165.3931
43.700001 94.833 165.1238
44.400002 94.824 164.8714
45.000000 94.820 164.7947
45.500000 94.839 164.7521
46.200001 94.870 164.4407
46.799999 94.854 164.0492
47.500000 94.806 163.7510
48.200001 94.771 163.4440
48.700001 94.735 163.0889
49.400002 94.643 162.5896
50.000000 94.552 162.3638
50.799999 94.475 162.2210
51.500000 94.447 161.9379
52.200001 94.422 161.4323
53.000000 94.368 160.7808
53.799999 94.297 160.2982
54.500000 94.242 160.0421
55.200001 94.195 159.8645
56.000000 94.152 159.7281
57.000000 94.117 159.4684
58.000000 94.045 159.0063
59.000000 93.940 158.7682
60.000000 93.847 158.4854
60.799999 93.739 158.3877
61.500000 93.674 158.6892
62.200001 93.687 158.8864
63.000000 93.717 158.4767
64.000000 93.657 157.7758
65.000000 93.583 157.5140
66.000000 93.527 157.2375
67.000000 93.460 156.9172
68.000000 93.390 156.5883
69.000000 93.321 156.3421
70.000000 93.274 156.0473
71.000000 93.209 155.6263
72.000000 93.121 155.4592
73.000000 93.069 155.5504
74.000000 93.050 155.4454
75.000000 92.994 155.0794
76.199997 92.872 154.9781
77.500000 92.795 154.9664
78.800003 92.686 154.6104
80.000000 92.590 154.6210
81.199997 92.549 154.5084
82.500000 92.502 154.2181
83.800003 92.440 153.9739
85.000000 92.375 153.9428
86.199997 92.329 154.0150
87.500000 92.286 153.9899
88.500000 92.244 153.9088
90.000000 92.159 153.7802
91.199997 92.091 153.7882
92.500000 92.038 153.7572
93.800003 91.985 153.5583
95.000000 91.913 153.3751
96.199997 91.852 153.3581
97.500000 91.804 153.1875
98.800003 91.725 152.9953
100.000000 91.645 153.1466
101.500000 91.595 153.5192
103.000000 91.569 153.7341
104.400002 91.537 153.6172
106.000000 91.433 153.3825
107.500000 91.321 153.3777
109.000000 91.238 153.5716
110.599998 91.216 153.6276
112.000000 91.195 153.3358
113.800003 91.105 153.0772
115.000000 91.036 153.2145
117.199997 90.914 153.7450
118.000000 90.874 154.1239
120.599998 90.895 154.5619
122.000000 90.821 154.0268
124.099998 90.675 153.7519
125.000000 90.629 153.6908
126.500000 90.564 153.6400
128.000000 90.511 153.6967
131.500000 90.394 154.0663
132.000000 90.377 154.1318
134.000000 90.318 154.3092
136.000000 90.258 154.2910
138.000000 90.184 154.2563
140.000000 90.118 154.2984
143.000000 90.011 154.3380
145.000000 89.930 154.5504
147.500000 89.863 155.0146
150.000000 89.806 155.2258
152.500000 89.707 155.2973
155.000000 89.612 155.4532
157.500000 89.519 155.5091
160.000000 89.434 155.8827
162.500000 89.391 156.1031
165.000000 89.320 156.3319
167.500000 89.270 156.7602
170.000000 89.236 157.0251
172.500000 89.191 157.1739
175.000000 89.122 157.3633
177.500000 89.011 157.5204
180.000000 88.871 157.8062
182.500000 88.738 158.3392
185.000000 88.613 159.0708
187.500000 88.509 159.7270
190.000000 88.485 160.3097
192.500000 88.595 161.3023
195.000000 88.759 162.1819
197.500000 88.779 162.6539
200.000000 88.722 163.0251
203.000000 88.745 162.9423
206.000000 88.822 162.8761
209.000000 88.891 163.3172
212.000000 88.915 163.3517
214.000000 88.888 163.1582
218.000000 88.807 163.0488
220.000000 88.779 162.9282
224.000000 88.683 162.7703
227.000000 88.609 162.8109
230.000000 88.554 162.8666
233.000000 88.517 162.8871
236.000000 88.463 162.9802
240.000000 88.378 163.4679
243.000000 88.332 163.8148
247.000000 88.274 164.2512
250.000000 88.237 164.5695
254.000000 88.190 164.6815
258.000000 88.133 164.8702
262.000000 88.067 165.0872
265.000000 88.037 165.3516
269.000000 88.011 165.6767
272.000000 87.982 165.8947
276.000000 87.954 166.0988
280.000000 87.945 166.3064
285.000000 87.889 166.7486
290.000000 87.814 167.2149
295.000000 87.767 167.6801
300.000000 87.724 168.1393
304.000000 87.680 168.4834
307.000000 87.655 168.7462
311.000000 87.625 169.0952
315.000000 87.593 169.3876
320.000000 87.555 169.7901
325.000000 87.505 170.2040
330.000000 87.472 170.6255
335.000000 87.439 170.9529
340.000000 87.403 171.2972
345.000000 87.386 171.7029
350.000000 87.359 172.1632
355.000000 87.320 172.6208
360.000000 87.282 173.0237
365.000000 87.266 173.3254
370.000000 87.253 173.7272
375.000000 87.232 174.1667
382.000000 87.190 174.7315
387.000000 87.167 175.0911
395.000000 87.137 175.6708
400.000000 87.126 175.9720
406.000000 87.118 176.4301
412.000000 87.103 176.8095
418.000000 87.071 177.0411
425.000000 87.038 177.4780
431.000000 87.032 177.9918
437.000000 87.028 178.3811
444.000000 87.005 178.7843
450.000000 86.977 179.2116
455.000000 86.959 179.5239
462.000000 86.933 -179.9826
468.000000 86.919 -179.5064
475.000000 86.914 -178.9951
482.000000 86.904 -178.5234
487.000000 86.900 -178.1940
494.000000 86.895 -177.7157
500.000000 86.881 -177.3134
508.000000 86.859 -176.8640
515.000000 86.846 -176.4245
522.000000 86.841 -175.9474
530.000000 86.831 -175.4713
538.000000 86.822 -174.9130
545.000000 86.819 -174.4156
552.000000 86.825 -173.9552
560.000000 86.831 -173.3959
570.000000 86.813 -172.8069
580.000000 86.793 -172.1739
590.000000 86.790 -171.4794
600.000000 86.789 -170.7788
608.000000 86.796 -170.3238
615.000000 86.804 -169.9658
622.000000 86.813 -169.5145
630.000000 86.815 -168.9378
640.000000 86.813 -168.2685
650.000000 86.821 -167.6443
660.000000 86.835 -167.0487
670.000000 86.844 -166.4621
680.000000 86.843 -165.8098
690.000000 86.850 -165.1725
700.000000 86.867 -164.5614
710.000000 86.883 -163.8911
720.000000 86.895 -163.2218
730.000000 86.919 -162.5739
740.000000 86.948 -161.8995
750.000000 86.979 -161.2711
762.000000 87.012 -160.5932
775.000000 87.042 -159.7928
788.000000 87.071 -158.9720
800.000000 87.112 -158.1954
812.000000 87.159 -157.4970
825.000000 87.204 -156.7596
838.000000 87.254 -156.0211
850.000000 87.291 -155.3046
862.000000 87.328 -154.4788
875.000000 87.384 -153.5383
885.000000 87.438 -152.8479
900.000000 87.523 -151.9875
912.000000 87.589 -151.3324
925.000000 87.664 -150.6211
938.000000 87.739 -149.9028
950.000000 87.810 -149.2756
962.000000 87.886 -148.6862
975.000000 87.970 -148.0821
988.000000 88.052 -147.4810
1000.000000 88.127 -146.9573
1015.000000 88.220 -146.3467
1030.000000 88.318 -145.7633
1044.000000 88.412 -145.2672
1060.000000 88.521 -144.7554
1075.000000 88.630 -144.2738
1090.000000 88.736 -143.8194
1106.000000 88.842 -143.3786
1120.000000 88.935 -143.0490
1138.000000 89.049 -142.6275
1150.000000 89.123 -142.3744
1172.000000 89.262 -141.9583
1180.000000 89.315 -141.8112
1206.000000 89.482 -141.3712
1220.000000 89.569 -141.1729
1241.000000 89.701 -140.9119
1250.000000 89.762 -140.7879
1265.000000 89.868 -140.5676
1280.000000 89.970 -140.3693
1315.000000 90.180 -139.9897
1320.000000 90.207 -139.9430
1340.000000 90.318 -139.7755
1360.000000 90.431 -139.6060
1380.000000 90.545 -139.4278
1400.000000 90.657 -139.2921
1430.000000 90.834 -139.1388
1450.000000 90.944 -139.0316
1475.000000 91.078 -138.9412
1500.000000 91.205 -138.8419
1525.000000 91.329 -138.7403
1550.000000 91.448 -138.6288
1575.000000 91.559 -138.5239
1600.000000 91.667 -138.4091
1625.000000 91.774 -138.3143
1650.000000 91.881 -138.2130
1675.000000 91.985 -138.0832
1700.000000 92.092 -137.9963
1725.000000 92.200 -137.9267
1750.000000 92.305 -137.8492
1775.000000 92.412 -137.7653
1800.000000 92.519 -137.7035
1825.000000 92.625 -137.6453
1850.000000 92.734 -137.6000
1875.000000 92.845 -137.5968
1900.000000 92.957 -137.6116
1925.000000 93.068 -137.6247
1950.000000 93.179 -137.6432
1975.000000 93.292 -137.6872
2000.000000 93.406 -137.7651
2030.000000 93.542 -137.8985
2060.000000 93.678 -138.0475
2090.000000 93.812 -138.2127
2120.000000 93.943 -138.3902
2140.000000 94.032 -138.5252
2180.000000 94.209 -138.8614
2200.000000 94.296 -139.0483
2240.000000 94.467 -139.4475
2270.000000 94.593 -139.7658
2300.000000 94.717 -140.1203
2330.000000 94.840 -140.5205
2360.000000 94.959 -140.9536
2400.000000 95.114 -141.5521
2430.000000 95.228 -142.0155
2470.000000 95.371 -142.6760
2500.000000 95.475 -143.2024
2540.000000 95.607 -143.9399
2580.000000 95.735 -144.7029
2620.000000 95.855 -145.4818
2650.000000 95.941 -146.0898
2690.000000 96.049 -146.9219
2720.000000 96.126 -147.5657
2760.000000 96.222 -148.4521
2800.000000 96.311 -149.3507
2850.000000 96.413 -150.4960
2900.000000 96.501 -151.6503
2950.000000 96.576 -152.8118
3000.000000 96.640 -153.9906
3040.000000 96.683 -154.9305
3070.000000 96.711 -155.6324
3110.000000 96.739 -156.5648
3150.000000 96.757 -157.4806
3200.000000 96.764 -158.6147
3250.000000 96.755 -159.7538
3300.000000 96.730 -160.8861
3350.000000 96.695 -162.0025
3400.000000 96.658 -163.1041
3450.000000 96.623 -164.2039
3500.000000 96.590 -165.2900
3550.000000 96.551 -166.3496
3600.000000 96.493 -167.4149
3650.000000 96.415 -168.4735
3700.000000 96.310 -169.5087
3750.000000 96.191 -170.5460
3820.000000 96.015 -171.9990
3870.000000 95.895 -173.0246
3950.000000 95.742 -174.6585
4000.000000 95.661 -175.6776
4060.000000 95.570 -176.8728
4120.000000 95.473 -178.0502
4180.000000 95.358 -179.2109
4250.000000 95.201 179.4858
4310.000000 95.042 178.4438
4370.000000 94.863 177.4618
4440.000000 94.630 176.3990
4500.000000 94.410 175.5523
4550.000000 94.216 174.9049
4620.000000 93.928 174.1357
4680.000000 93.672 173.6075
4750.000000 93.369 173.1372
4820.000000 93.069 172.8101
4870.000000 92.857 172.6726
4940.000000 92.567 172.5889
5000.000000 92.326 172.6180
5080.000000 92.031 172.7515
5150.000000 91.803 172.8328
5220.000000 91.584 172.8666
5300.000000 91.332 172.9167
