* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: 0.810. Timing signal peak level -23.6 dBFS, measurement signal peak level -18.7 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Feb 12, 2026 7:26:17 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0306 ms (-10 mm, -0.41 in) using estimated IR delay relative to Acoustic reference played from  R with no timing offset Clock adjustment: 1.8 ppm
* Measurement: Truthear Gate Stock R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 96.317 -170.0126
20.299999 96.167 -170.2314
20.600000 96.072 -169.9676
20.900000 96.068 -169.5129
21.200001 96.150 -169.2411
21.400000 96.234 -169.2991
21.799999 96.402 -170.0540
22.000000 96.461 -170.6710
22.400000 96.503 -172.0351
22.700001 96.484 -172.9122
23.000000 96.456 -173.5499
23.299999 96.449 -174.0074
23.600000 96.475 -174.4474
24.000000 96.537 -175.2766
24.299999 96.571 -176.1334
24.700001 96.560 -177.4068
25.000000 96.507 -178.2539
25.400000 96.412 -179.0220
25.799999 96.342 -179.4039
26.200001 96.323 -179.6729
26.500000 96.332 -179.9702
26.900000 96.341 179.4466
27.200001 96.330 178.9356
27.600000 96.294 178.2944
28.000000 96.248 177.7649
28.500000 96.197 177.1852
29.000000 96.142 176.6054
29.500000 96.071 176.1063
30.000000 96.012 175.7400
30.400000 95.987 175.4150
30.700001 95.973 175.0689
31.100000 95.939 174.4814
31.500000 95.870 173.9067
32.000000 95.761 173.5030
32.500000 95.703 173.4272
33.000000 95.726 173.2106
33.500000 95.768 172.5198
34.000000 95.757 171.5873
34.500000 95.703 170.8570
35.000000 95.666 170.4360
35.500000 95.671 170.0833
36.000000 95.688 169.6497
36.500000 95.700 169.2290
37.000000 95.723 168.8599
37.500000 95.752 168.4083
38.200001 95.717 167.7823
38.700001 95.641 167.9258
39.500000 95.706 169.1503
40.000000 95.911 169.2132
40.599998 96.103 167.7223
41.200001 96.038 165.5396
41.799999 95.763 164.1581
42.500000 95.449 163.9748
43.099998 95.285 164.1177
43.700001 95.160 164.0659
44.400002 95.046 163.9292
45.000000 95.000 163.6006
45.500000 94.968 163.0365
46.200001 94.868 162.1894
46.799999 94.777 161.8708
47.500000 94.759 161.7241
48.200001 94.787 161.1833
48.700001 94.773 160.6462
49.400002 94.705 160.1270
50.000000 94.650 159.9135
50.799999 94.570 159.5848
51.500000 94.449 159.4332
52.200001 94.333 159.7057
53.000000 94.288 160.0262
53.799999 94.271 159.7865
54.500000 94.221 159.3912
55.200001 94.169 159.1647
56.000000 94.160 158.9825
57.000000 94.179 158.4181
58.000000 94.137 158.1382
59.000000 94.184 158.3621
60.000000 94.219 157.6343
60.799999 94.090 157.3783
61.500000 94.027 157.8922
62.200001 94.066 158.0188
63.000000 94.073 157.2567
64.000000 93.990 156.2881
65.000000 93.927 155.0918
66.000000 93.749 154.0169
67.000000 93.629 153.9753
68.000000 93.602 153.6407
69.000000 93.486 153.4442
70.000000 93.399 154.0331
71.000000 93.377 154.3766
72.000000 93.313 154.3411
73.000000 93.222 154.2753
74.000000 93.123 154.0883
75.000000 93.022 153.9915
76.199997 92.971 153.9581
77.500000 92.967 153.6036
78.800003 92.941 153.0099
80.000000 92.848 152.6763
81.199997 92.762 152.7495
82.500000 92.681 152.7555
83.800003 92.613 152.6612
85.000000 92.546 152.3405
86.199997 92.473 152.0069
87.500000 92.377 151.7287
88.500000 92.314 151.7938
90.000000 92.259 151.7460
91.199997 92.182 151.6586
92.500000 92.090 151.7700
93.800003 92.019 152.0900
95.000000 92.021 152.2764
96.199997 92.020 151.9009
97.500000 91.960 151.4861
98.800003 91.888 151.3352
100.000000 91.814 151.3282
101.500000 91.704 151.5992
103.000000 91.616 152.1898
104.400002 91.584 152.5271
106.000000 91.568 152.3424
107.500000 91.511 151.6331
109.000000 91.404 151.3251
110.599998 91.301 151.2339
112.000000 91.179 151.4897
113.800003 91.070 152.0592
115.000000 91.042 152.1427
117.199997 91.039 151.2986
118.000000 91.050 150.7951
120.599998 90.884 149.5412
122.000000 90.809 150.5397
124.099998 90.806 151.6276
125.000000 90.781 151.8145
126.500000 90.695 152.0148
128.000000 90.599 152.2274
131.500000 90.435 152.4098
132.000000 90.418 152.4712
134.000000 90.378 152.6003
136.000000 90.319 152.4516
138.000000 90.244 152.4455
140.000000 90.182 152.4827
143.000000 90.081 152.8961
145.000000 90.014 153.4620
147.500000 89.902 153.9420
150.000000 89.728 154.3546
152.500000 89.707 154.3260
155.000000 89.770 153.9143
157.500000 89.723 154.1324
160.000000 89.565 155.6768
162.500000 89.447 156.2299
165.000000 89.326 155.8822
167.500000 89.281 155.7955
170.000000 89.266 155.6796
172.500000 89.242 155.8068
175.000000 89.250 155.7250
177.500000 89.214 155.6804
180.000000 89.103 156.0946
182.500000 88.978 156.5259
185.000000 88.852 156.4853
187.500000 88.769 156.5407
190.000000 88.745 156.6972
192.500000 88.694 157.0669
195.000000 88.625 157.5290
197.500000 88.557 157.7178
200.000000 88.498 157.8569
203.000000 88.433 158.3675
206.000000 88.346 159.0313
209.000000 88.239 159.7352
212.000000 88.171 160.6458
214.000000 88.160 161.4069
218.000000 88.190 162.5261
220.000000 88.201 162.7784
224.000000 88.248 163.2354
227.000000 88.289 163.3462
230.000000 88.312 163.2085
233.000000 88.305 163.0257
236.000000 88.243 162.9136
240.000000 88.149 162.8834
243.000000 88.155 162.7135
247.000000 88.134 162.6989
250.000000 88.076 162.9037
254.000000 88.009 163.1924
258.000000 87.947 163.7690
262.000000 87.887 164.3198
265.000000 87.830 164.5068
269.000000 87.777 164.8334
272.000000 87.760 165.0062
276.000000 87.751 165.2589
280.000000 87.743 165.8592
285.000000 87.694 166.1414
290.000000 87.611 166.0776
295.000000 87.547 166.4826
300.000000 87.497 166.8613
304.000000 87.451 167.0983
307.000000 87.424 167.2783
311.000000 87.402 167.6557
315.000000 87.378 168.0461
320.000000 87.349 168.5156
325.000000 87.321 168.8621
330.000000 87.288 169.2380
335.000000 87.245 169.7594
340.000000 87.190 170.2616
345.000000 87.129 170.5321
350.000000 87.086 170.8438
355.000000 87.057 171.1817
360.000000 87.033 171.5119
365.000000 86.992 171.9270
370.000000 86.941 172.3027
375.000000 86.904 172.6725
382.000000 86.868 173.3880
387.000000 86.864 173.9202
395.000000 86.856 174.7367
400.000000 86.822 175.0496
406.000000 86.790 175.4217
412.000000 86.776 175.9832
418.000000 86.759 176.4789
425.000000 86.755 177.0069
431.000000 86.754 177.4892
437.000000 86.748 177.7507
444.000000 86.729 178.1356
450.000000 86.717 178.5193
455.000000 86.712 178.8474
462.000000 86.706 179.3100
468.000000 86.686 179.7127
475.000000 86.656 -179.7686
482.000000 86.637 -179.2781
487.000000 86.626 -178.9597
494.000000 86.615 -178.5435
500.000000 86.605 -178.1599
508.000000 86.584 -177.5862
515.000000 86.566 -177.0629
522.000000 86.547 -176.5434
530.000000 86.532 -175.9656
538.000000 86.518 -175.4865
545.000000 86.507 -175.1140
552.000000 86.505 -174.6132
560.000000 86.513 -174.0572
570.000000 86.492 -173.4058
580.000000 86.479 -172.7363
590.000000 86.480 -172.0885
600.000000 86.478 -171.3634
608.000000 86.483 -170.8283
615.000000 86.487 -170.4664
622.000000 86.480 -170.0846
630.000000 86.471 -169.5593
640.000000 86.481 -168.8434
650.000000 86.488 -168.1293
660.000000 86.503 -167.4869
670.000000 86.511 -166.8521
680.000000 86.512 -166.1550
690.000000 86.528 -165.4950
700.000000 86.546 -164.8639
710.000000 86.565 -164.1866
720.000000 86.594 -163.4991
730.000000 86.613 -162.8109
740.000000 86.627 -162.0857
750.000000 86.641 -161.4441
762.000000 86.670 -160.7137
775.000000 86.719 -159.8591
788.000000 86.774 -159.0354
800.000000 86.828 -158.2057
812.000000 86.879 -157.5274
825.000000 86.940 -156.8132
838.000000 87.006 -156.0960
850.000000 87.058 -155.4646
862.000000 87.112 -154.8533
875.000000 87.179 -154.1788
885.000000 87.233 -153.6660
900.000000 87.316 -152.9017
912.000000 87.398 -152.2962
925.000000 87.479 -151.8837
938.000000 87.517 -151.5233
950.000000 87.540 -150.9265
962.000000 87.569 -150.0903
975.000000 87.603 -149.1339
988.000000 87.644 -148.2452
1000.000000 87.689 -147.5710
1015.000000 87.764 -146.8523
1030.000000 87.856 -146.1468
1044.000000 87.939 -145.5441
1060.000000 88.037 -144.8783
1075.000000 88.135 -144.3523
1090.000000 88.228 -143.7941
1106.000000 88.331 -143.2390
1120.000000 88.422 -142.8308
1138.000000 88.530 -142.3982
1150.000000 88.600 -142.1719
1172.000000 88.738 -141.7296
1180.000000 88.789 -141.5502
1206.000000 88.941 -141.0318
1220.000000 89.021 -140.7810
1241.000000 89.148 -140.4305
1250.000000 89.208 -140.2897
1265.000000 89.311 -140.0511
1280.000000 89.407 -139.8208
1315.000000 89.592 -139.3495
1320.000000 89.617 -139.2861
1340.000000 89.716 -139.0190
1360.000000 89.816 -138.7898
1380.000000 89.916 -138.5985
1400.000000 90.020 -138.3442
1430.000000 90.179 -138.0013
1450.000000 90.282 -137.7180
1475.000000 90.402 -137.3599
1500.000000 90.524 -137.1223
1525.000000 90.655 -136.9496
1550.000000 90.782 -136.7928
1575.000000 90.901 -136.6483
1600.000000 91.017 -136.4838
1625.000000 91.128 -136.3240
1650.000000 91.235 -136.1421
1675.000000 91.338 -135.9566
1700.000000 91.439 -135.7999
1725.000000 91.543 -135.6814
1750.000000 91.651 -135.5395
1775.000000 91.756 -135.3830
1800.000000 91.857 -135.2516
1825.000000 91.958 -135.1452
1850.000000 92.063 -135.0356
1875.000000 92.169 -134.9301
1900.000000 92.276 -134.8213
1925.000000 92.385 -134.7375
1950.000000 92.493 -134.6834
1975.000000 92.602 -134.6366
2000.000000 92.711 -134.5976
2030.000000 92.843 -134.5838
2060.000000 92.978 -134.5926
2090.000000 93.110 -134.6377
2120.000000 93.242 -134.6948
2140.000000 93.330 -134.7435
2180.000000 93.503 -134.9048
2200.000000 93.589 -135.0007
2240.000000 93.766 -135.2259
2270.000000 93.896 -135.4199
2300.000000 94.022 -135.6318
2330.000000 94.147 -135.8785
2360.000000 94.270 -136.1625
2400.000000 94.432 -136.5648
2430.000000 94.551 -136.8922
2470.000000 94.709 -137.3805
2500.000000 94.824 -137.7853
2540.000000 94.971 -138.3635
2580.000000 95.113 -138.9773
2620.000000 95.247 -139.6396
2650.000000 95.344 -140.1560
2690.000000 95.468 -140.8515
2720.000000 95.557 -141.3964
2760.000000 95.669 -142.1649
2800.000000 95.774 -142.9517
2850.000000 95.895 -143.9704
2900.000000 96.004 -145.0205
2950.000000 96.103 -146.0943
3000.000000 96.189 -147.1832
3040.000000 96.249 -148.0699
3070.000000 96.288 -148.7396
3110.000000 96.331 -149.6393
3150.000000 96.363 -150.5429
3200.000000 96.386 -151.6525
3250.000000 96.390 -152.7614
3300.000000 96.376 -153.8658
3350.000000 96.350 -154.9771
3400.000000 96.322 -156.0866
3450.000000 96.294 -157.1642
3500.000000 96.266 -158.2223
3550.000000 96.228 -159.2777
3600.000000 96.170 -160.3167
3650.000000 96.089 -161.3232
3700.000000 95.981 -162.3128
3750.000000 95.856 -163.2919
3820.000000 95.672 -164.6222
3870.000000 95.549 -165.5354
3950.000000 95.399 -166.8972
4000.000000 95.328 -167.7337
4060.000000 95.245 -168.7265
4120.000000 95.150 -169.7105
4180.000000 95.036 -170.6660
4250.000000 94.880 -171.7293
4310.000000 94.726 -172.5637
4370.000000 94.553 -173.3271
4440.000000 94.327 -174.1227
4500.000000 94.120 -174.7027
4550.000000 93.938 -175.1102
4620.000000 93.676 -175.5682
4680.000000 93.451 -175.8470
4750.000000 93.193 -176.0417
4820.000000 92.944 -176.1380
4870.000000 92.771 -176.1761
4940.000000 92.532 -176.1991
5000.000000 92.330 -176.1861
5080.000000 92.066 -176.0928
5150.000000 91.849 -175.9391
5220.000000 91.648 -175.7132
