* Measurement data measured by REW V5.31.3
* Source: Scarlett Solo USB, Scarlett Solo USB , L, volume: no control. Timing signal peak level -13.9 dBFS, measurement signal peak level -13.8 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Dec 31, 2025 10:20:19 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0294 ms (-10 mm, -0.4 in) using estimated IR delay relative to Acoustic reference played from Qudelix-5K L with no timing offset Clock adjustment: -133.8 ppm
* Measurement: XENNS Tea Pro Sancai L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 102.088 38.0648
20.299999 102.099 37.1333
20.600000 102.110 36.2112
20.900000 102.120 35.2995
21.200001 102.130 34.3990
21.400000 102.137 33.8052
21.799999 102.150 32.6341
22.000000 102.157 32.0568
22.400000 102.170 30.9195
22.700001 102.180 30.0817
23.000000 102.189 29.2571
23.299999 102.198 28.4457
23.600000 102.206 27.6474
24.000000 102.216 26.6031
24.299999 102.222 25.8347
24.700001 102.229 24.8295
25.000000 102.233 24.0892
25.400000 102.238 23.1182
25.799999 102.240 22.1631
26.200001 102.241 21.2216
26.500000 102.240 20.5234
26.900000 102.238 19.6027
27.200001 102.236 18.9191
27.600000 102.232 18.0154
28.000000 102.227 17.1192
28.500000 102.219 16.0081
29.000000 102.210 14.9075
29.500000 102.201 13.8198
30.000000 102.191 12.7473
30.400000 102.182 11.9014
30.700001 102.176 11.2742
31.100000 102.167 10.4475
31.500000 102.158 9.6317
32.000000 102.146 8.6269
32.500000 102.133 7.6397
33.000000 102.119 6.6711
33.500000 102.103 5.7212
34.000000 102.086 4.7891
34.500000 102.067 3.8735
35.000000 102.046 2.9739
35.500000 102.023 2.0895
36.000000 101.999 1.2191
36.500000 101.974 0.3618
37.000000 101.948 -0.4827
37.500000 101.920 -1.3138
38.200001 101.880 -2.4550
38.700001 101.851 -3.2535
39.500000 101.802 -4.5006
40.000000 101.770 -5.2590
40.599998 101.732 -6.1470
41.200001 101.692 -7.0103
41.799999 101.651 -7.8492
42.500000 101.603 -8.7986
43.099998 101.560 -9.5881
43.700001 101.516 -10.3556
44.400002 101.463 -11.2233
45.000000 101.418 -11.9436
45.500000 101.379 -12.5283
46.200001 101.324 -13.3224
46.799999 101.276 -13.9794
47.500000 101.221 -14.7185
48.200001 101.165 -15.4314
48.700001 101.126 -15.9255
49.400002 101.070 -16.5964
50.000000 101.022 -17.1534
50.799999 100.958 -17.8743
51.500000 100.901 -18.4856
52.200001 100.844 -19.0771
53.000000 100.776 -19.7280
53.799999 100.708 -20.3523
54.500000 100.647 -20.8760
55.200001 100.587 -21.3798
56.000000 100.517 -21.9331
57.000000 100.429 -22.5938
58.000000 100.340 -23.2238
59.000000 100.251 -23.8264
60.000000 100.162 -24.4006
60.799999 100.090 -24.8406
61.500000 100.027 -25.2125
62.200001 99.964 -25.5718
63.000000 99.893 -25.9670
64.000000 99.804 -26.4386
65.000000 99.714 -26.8867
66.000000 99.625 -27.3123
67.000000 99.535 -27.7156
68.000000 99.445 -28.0985
69.000000 99.356 -28.4612
70.000000 99.266 -28.8057
71.000000 99.177 -29.1334
72.000000 99.087 -29.4435
73.000000 98.998 -29.7355
74.000000 98.910 -30.0098
75.000000 98.822 -30.2680
76.199997 98.716 -30.5580
77.500000 98.602 -30.8475
78.800003 98.489 -31.1126
80.000000 98.385 -31.3381
81.199997 98.281 -31.5442
82.500000 98.169 -31.7451
83.800003 98.058 -31.9237
85.000000 97.956 -32.0688
86.199997 97.854 -32.1949
87.500000 97.745 -32.3107
88.500000 97.662 -32.3871
90.000000 97.538 -32.4825
91.199997 97.440 -32.5415
92.500000 97.334 -32.5867
93.800003 97.230 -32.6116
95.000000 97.135 -32.6199
96.199997 97.041 -32.6158
97.500000 96.941 -32.5973
98.800003 96.840 -32.5632
100.000000 96.749 -32.5167
101.500000 96.636 -32.4390
103.000000 96.525 -32.3434
104.400002 96.423 -32.2375
106.000000 96.308 -32.0966
107.500000 96.201 -31.9463
109.000000 96.095 -31.7785
110.599998 95.983 -31.5811
112.000000 95.887 -31.3952
113.800003 95.765 -31.1374
115.000000 95.683 -30.9518
117.199997 95.535 -30.5787
118.000000 95.481 -30.4312
120.599998 95.302 -29.8988
122.000000 95.204 -29.5640
124.099998 95.056 -28.9810
125.000000 94.993 -28.6947
126.500000 94.889 -28.1549
128.000000 94.789 -27.5212
131.500000 94.601 -25.5999
132.000000 94.583 -25.2783
134.000000 94.550 -23.9422
136.000000 94.580 -22.6958
138.000000 94.660 -21.7819
140.000000 94.753 -21.3101
143.000000 94.849 -21.2023
145.000000 94.871 -21.2996
147.500000 94.857 -21.4337
150.000000 94.811 -21.4630
152.500000 94.753 -21.3291
155.000000 94.699 -21.0760
157.500000 94.653 -20.7828
160.000000 94.614 -20.4861
162.500000 94.578 -20.2004
165.000000 94.541 -19.9094
167.500000 94.503 -19.5817
170.000000 94.470 -19.2153
172.500000 94.447 -18.8411
175.000000 94.430 -18.5036
177.500000 94.414 -18.2141
180.000000 94.397 -17.9481
182.500000 94.379 -17.6846
185.000000 94.361 -17.4175
187.500000 94.345 -17.1479
190.000000 94.329 -16.8796
192.500000 94.316 -16.6146
195.000000 94.304 -16.3519
197.500000 94.295 -16.0933
200.000000 94.287 -15.8411
203.000000 94.279 -15.5502
206.000000 94.274 -15.2751
209.000000 94.271 -15.0148
212.000000 94.268 -14.7683
214.000000 94.268 -14.6125
218.000000 94.266 -14.3234
220.000000 94.265 -14.1866
224.000000 94.264 -13.9246
227.000000 94.263 -13.7360
230.000000 94.261 -13.5502
233.000000 94.258 -13.3665
236.000000 94.255 -13.1858
240.000000 94.251 -12.9461
243.000000 94.247 -12.7604
247.000000 94.242 -12.4994
250.000000 94.239 -12.2906
254.000000 94.237 -11.9816
258.000000 94.240 -11.6240
262.000000 94.253 -11.2173
265.000000 94.275 -10.8911
269.000000 94.326 -10.4812
272.000000 94.380 -10.2532
276.000000 94.462 -10.1367
280.000000 94.538 -10.2479
285.000000 94.601 -10.5737
290.000000 94.630 -10.9227
295.000000 94.638 -11.2084
300.000000 94.637 -11.4268
304.000000 94.633 -11.5624
307.000000 94.630 -11.6472
311.000000 94.626 -11.7458
315.000000 94.621 -11.8320
320.000000 94.616 -11.9268
325.000000 94.611 -12.0122
330.000000 94.607 -12.0911
335.000000 94.602 -12.1655
340.000000 94.597 -12.2384
345.000000 94.591 -12.3116
350.000000 94.584 -12.3864
355.000000 94.579 -12.4619
360.000000 94.573 -12.5378
365.000000 94.566 -12.6157
370.000000 94.559 -12.6930
375.000000 94.552 -12.7661
382.000000 94.542 -12.8633
387.000000 94.533 -12.9323
395.000000 94.519 -13.0428
400.000000 94.510 -13.1127
406.000000 94.499 -13.1956
412.000000 94.488 -13.2753
418.000000 94.476 -13.3538
425.000000 94.461 -13.4492
431.000000 94.447 -13.5315
437.000000 94.434 -13.6146
444.000000 94.417 -13.7064
450.000000 94.403 -13.7830
455.000000 94.390 -13.8453
462.000000 94.371 -13.9321
468.000000 94.355 -14.0059
475.000000 94.336 -14.0869
482.000000 94.317 -14.1610
487.000000 94.302 -14.2102
494.000000 94.282 -14.2754
500.000000 94.265 -14.3287
508.000000 94.241 -14.3918
515.000000 94.219 -14.4388
522.000000 94.197 -14.4822
530.000000 94.172 -14.5266
538.000000 94.146 -14.5624
545.000000 94.123 -14.5879
552.000000 94.101 -14.6085
560.000000 94.076 -14.6238
570.000000 94.046 -14.6351
580.000000 94.016 -14.6329
590.000000 93.986 -14.6207
600.000000 93.956 -14.5996
608.000000 93.933 -14.5776
615.000000 93.912 -14.5568
622.000000 93.892 -14.5342
630.000000 93.869 -14.5045
640.000000 93.840 -14.4558
650.000000 93.812 -14.3897
660.000000 93.783 -14.3090
670.000000 93.755 -14.2178
680.000000 93.728 -14.1136
690.000000 93.703 -13.9921
700.000000 93.679 -13.8519
710.000000 93.655 -13.6960
720.000000 93.634 -13.5292
730.000000 93.615 -13.3519
740.000000 93.598 -13.1628
750.000000 93.583 -12.9579
762.000000 93.570 -12.6940
775.000000 93.559 -12.3915
788.000000 93.554 -12.0665
800.000000 93.554 -11.7552
812.000000 93.559 -11.4419
825.000000 93.569 -11.1096
838.000000 93.582 -10.7877
850.000000 93.596 -10.5024
862.000000 93.612 -10.2234
875.000000 93.630 -9.9196
885.000000 93.646 -9.6847
900.000000 93.674 -9.3289
912.000000 93.699 -9.0429
925.000000 93.731 -8.7363
938.000000 93.768 -8.4358
950.000000 93.806 -8.1616
962.000000 93.848 -7.8979
975.000000 93.896 -7.6262
988.000000 93.949 -7.3667
1000.000000 94.000 -7.1406
1015.000000 94.067 -6.8792
1030.000000 94.138 -6.6403
1044.000000 94.207 -6.4412
1060.000000 94.288 -6.2437
1075.000000 94.367 -6.0849
1090.000000 94.448 -5.9481
1106.000000 94.535 -5.8245
1120.000000 94.613 -5.7373
1138.000000 94.713 -5.6525
1150.000000 94.781 -5.6144
1172.000000 94.906 -5.5856
1180.000000 94.951 -5.5847
1206.000000 95.096 -5.6224
1220.000000 95.175 -5.6672
1241.000000 95.292 -5.7538
1250.000000 95.343 -5.7977
1265.000000 95.427 -5.8788
1280.000000 95.511 -5.9677
1315.000000 95.710 -6.2047
1320.000000 95.739 -6.2413
1340.000000 95.854 -6.3938
1360.000000 95.971 -6.5610
1380.000000 96.090 -6.7422
1400.000000 96.211 -6.9374
1430.000000 96.398 -7.2671
1450.000000 96.526 -7.5066
1475.000000 96.689 -7.8365
1500.000000 96.856 -8.1990
1525.000000 97.026 -8.6011
1550.000000 97.199 -9.0471
1575.000000 97.375 -9.5400
1600.000000 97.553 -10.0934
1625.000000 97.731 -10.7169
1650.000000 97.908 -11.4094
1675.000000 98.082 -12.1731
1700.000000 98.253 -13.0073
1725.000000 98.421 -13.9003
1750.000000 98.583 -14.8492
1775.000000 98.739 -15.8506
1800.000000 98.889 -16.8992
1825.000000 99.032 -17.9872
1850.000000 99.166 -19.1075
1875.000000 99.293 -20.2552
1900.000000 99.412 -21.4249
1925.000000 99.523 -22.6109
1950.000000 99.627 -23.8080
1975.000000 99.723 -25.0121
2000.000000 99.811 -26.2191
2030.000000 99.906 -27.6686
2060.000000 99.992 -29.1124
2090.000000 100.070 -30.5475
2120.000000 100.138 -31.9757
2140.000000 100.179 -32.9236
2180.000000 100.251 -34.8097
2200.000000 100.282 -35.7507
2240.000000 100.334 -37.6295
2270.000000 100.364 -39.0349
2300.000000 100.388 -40.4407
2330.000000 100.404 -41.8419
2360.000000 100.414 -43.2305
2400.000000 100.417 -45.0554
2430.000000 100.412 -46.3992
2470.000000 100.396 -48.1459
2500.000000 100.378 -49.4150
2540.000000 100.346 -51.0446
2580.000000 100.308 -52.5913
2620.000000 100.271 -54.0643
2650.000000 100.245 -55.1436
2690.000000 100.212 -56.5776
2720.000000 100.185 -57.6548
2760.000000 100.142 -59.0867
2800.000000 100.088 -60.4891
2850.000000 100.007 -62.1504
2900.000000 99.918 -63.6808
2950.000000 99.827 -65.0823
3000.000000 99.736 -66.3764
3040.000000 99.667 -67.3518
3070.000000 99.618 -68.0468
3110.000000 99.556 -68.9312
3150.000000 99.499 -69.7739
3200.000000 99.436 -70.7759
3250.000000 99.383 -71.7401
3300.000000 99.339 -72.6847
3350.000000 99.303 -73.6249
3400.000000 99.275 -74.5787
3450.000000 99.252 -75.5577
3500.000000 99.231 -76.5609
3550.000000 99.210 -77.5699
3600.000000 99.190 -78.5698
3650.000000 99.172 -79.5615
3700.000000 99.160 -80.5594
3750.000000 99.155 -81.5861
3820.000000 99.152 -83.1158
3870.000000 99.144 -84.2778
3950.000000 99.114 -86.1993
4000.000000 99.081 -87.3987
4060.000000 99.030 -88.8001
4120.000000 98.969 -90.1357
4180.000000 98.902 -91.3967
4250.000000 98.826 -92.7774
4310.000000 98.764 -93.9033
4370.000000 98.707 -94.9929
4440.000000 98.645 -96.2524
4500.000000 98.597 -97.3435
4550.000000 98.560 -98.2634
4620.000000 98.510 -99.5670
