* Measurement data measured by REW V5.31.3
* Source: Scarlett Solo USB, Scarlett Solo USB , L, volume: no control. Timing signal peak level -14.3 dBFS, measurement signal peak level -13.9 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Dec 31, 2025 10:17:15 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0441 ms (-15 mm, -0.6 in) using estimated IR delay relative to Acoustic reference played from Qudelix-5K R with no timing offset Clock adjustment: 36.8 ppm
* Measurement: XENNS Tea Pro Sancai R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 101.955 38.8073
20.299999 101.967 37.8805
20.600000 101.979 36.9632
20.900000 101.990 36.0558
21.200001 102.001 35.1590
21.400000 102.007 34.5673
21.799999 102.021 33.3995
22.000000 102.027 32.8237
22.400000 102.039 31.6889
22.700001 102.048 30.8528
23.000000 102.057 30.0296
23.299999 102.065 29.2192
23.600000 102.072 28.4213
24.000000 102.082 27.3762
24.299999 102.088 26.6063
24.700001 102.095 25.5979
25.000000 102.099 24.8546
25.400000 102.103 23.8793
25.799999 102.106 22.9202
26.200001 102.107 21.9756
26.500000 102.107 21.2759
26.900000 102.106 20.3541
27.200001 102.104 19.6703
27.600000 102.100 18.7677
28.000000 102.095 17.8738
28.500000 102.088 16.7677
29.000000 102.080 15.6740
29.500000 102.070 14.5940
30.000000 102.060 13.5295
30.400000 102.050 12.6901
30.700001 102.043 12.0679
31.100000 102.034 11.2485
31.500000 102.024 10.4403
32.000000 102.010 9.4453
32.500000 101.996 8.4673
33.000000 101.980 7.5079
33.500000 101.963 6.5682
34.000000 101.944 5.6475
34.500000 101.924 4.7444
35.000000 101.903 3.8578
35.500000 101.879 2.9867
36.000000 101.855 2.1301
36.500000 101.829 1.2869
37.000000 101.802 0.4570
37.500000 101.774 -0.3588
38.200001 101.733 -1.4764
38.700001 101.703 -2.2572
39.500000 101.654 -3.4748
40.000000 101.622 -4.2144
40.599998 101.583 -5.0787
41.200001 101.543 -5.9183
41.799999 101.503 -6.7350
42.500000 101.455 -7.6602
43.099998 101.412 -8.4293
43.700001 101.369 -9.1759
44.400002 101.317 -10.0189
45.000000 101.271 -10.7184
45.500000 101.233 -11.2866
46.200001 101.179 -12.0608
46.799999 101.132 -12.7050
47.500000 101.076 -13.4326
48.200001 101.020 -14.1345
48.700001 100.979 -14.6204
49.400002 100.922 -15.2799
50.000000 100.873 -15.8274
50.799999 100.808 -16.5338
51.500000 100.750 -17.1297
52.200001 100.691 -17.7044
53.000000 100.623 -18.3370
53.799999 100.555 -18.9464
54.500000 100.494 -19.4606
55.200001 100.433 -19.9560
56.000000 100.363 -20.5005
57.000000 100.276 -21.1534
58.000000 100.188 -21.7790
59.000000 100.099 -22.3785
60.000000 100.009 -22.9493
60.799999 99.938 -23.3845
61.500000 99.875 -23.7518
62.200001 99.812 -24.1077
63.000000 99.741 -24.4993
64.000000 99.651 -24.9659
65.000000 99.562 -25.4092
66.000000 99.473 -25.8311
67.000000 99.383 -26.2317
68.000000 99.292 -26.6116
69.000000 99.202 -26.9722
70.000000 99.112 -27.3154
71.000000 99.022 -27.6414
72.000000 98.932 -27.9491
73.000000 98.842 -28.2390
74.000000 98.752 -28.5116
75.000000 98.662 -28.7676
76.199997 98.555 -29.0535
77.500000 98.439 -29.3370
78.800003 98.324 -29.5938
80.000000 98.218 -29.8090
81.199997 98.113 -30.0046
82.500000 97.999 -30.1940
83.800003 97.886 -30.3600
85.000000 97.783 -30.4911
86.199997 97.680 -30.6046
87.500000 97.570 -30.7104
88.500000 97.486 -30.7794
90.000000 97.360 -30.8625
91.199997 97.261 -30.9120
92.500000 97.154 -30.9479
93.800003 97.047 -30.9639
95.000000 96.951 -30.9621
96.199997 96.854 -30.9454
97.500000 96.751 -30.9102
98.800003 96.649 -30.8578
100.000000 96.555 -30.7935
101.500000 96.440 -30.6919
103.000000 96.327 -30.5712
104.400002 96.224 -30.4438
106.000000 96.107 -30.2827
107.500000 95.999 -30.1184
109.000000 95.890 -29.9393
110.599998 95.773 -29.7284
112.000000 95.669 -29.5166
113.800003 95.536 -29.1842
115.000000 95.449 -28.9139
117.199997 95.297 -28.3109
118.000000 95.246 -28.0625
120.599998 95.105 -27.2244
122.000000 95.042 -26.8092
124.099998 94.954 -26.2623
125.000000 94.915 -26.0494
126.500000 94.848 -25.6945
128.000000 94.779 -25.3065
131.500000 94.630 -24.1890
132.000000 94.613 -24.0132
134.000000 94.559 -23.3314
136.000000 94.521 -22.7582
138.000000 94.481 -22.2987
140.000000 94.429 -21.8639
143.000000 94.343 -21.0629
145.000000 94.299 -20.4006
147.500000 94.277 -19.5293
150.000000 94.293 -18.8145
152.500000 94.321 -18.4072
155.000000 94.329 -18.2321
157.500000 94.310 -18.1057
160.000000 94.275 -17.9395
162.500000 94.233 -17.7152
165.000000 94.190 -17.4436
167.500000 94.149 -17.1525
170.000000 94.108 -16.8541
172.500000 94.068 -16.5441
175.000000 94.028 -16.2150
177.500000 93.990 -15.8668
180.000000 93.955 -15.5077
182.500000 93.923 -15.1439
185.000000 93.894 -14.7742
187.500000 93.869 -14.4021
190.000000 93.846 -14.0348
192.500000 93.827 -13.6744
195.000000 93.810 -13.3202
197.500000 93.796 -12.9724
200.000000 93.784 -12.6338
203.000000 93.771 -12.2455
206.000000 93.761 -11.8789
209.000000 93.751 -11.5306
212.000000 93.742 -11.1969
214.000000 93.736 -10.9802
218.000000 93.724 -10.5588
220.000000 93.718 -10.3530
224.000000 93.706 -9.9475
227.000000 93.697 -9.6453
230.000000 93.688 -9.3412
233.000000 93.678 -9.0336
236.000000 93.669 -8.7213
240.000000 93.656 -8.2867
243.000000 93.647 -7.9369
247.000000 93.638 -7.4320
250.000000 93.636 -7.0151
254.000000 93.646 -6.4012
258.000000 93.679 -5.7587
262.000000 93.740 -5.1893
265.000000 93.802 -4.8877
269.000000 93.886 -4.7106
272.000000 93.940 -4.7228
276.000000 93.992 -4.8418
280.000000 94.020 -4.9818
285.000000 94.032 -5.1063
290.000000 94.033 -5.1619
295.000000 94.028 -5.1604
300.000000 94.023 -5.1203
304.000000 94.018 -5.0680
307.000000 94.014 -5.0208
311.000000 94.010 -4.9524
315.000000 94.005 -4.8818
320.000000 94.000 -4.7884
325.000000 93.995 -4.6899
330.000000 93.991 -4.5903
335.000000 93.986 -4.4896
340.000000 93.981 -4.3895
345.000000 93.976 -4.2922
350.000000 93.970 -4.1967
355.000000 93.965 -4.1016
360.000000 93.960 -4.0106
365.000000 93.954 -3.9238
370.000000 93.947 -3.8369
375.000000 93.941 -3.7498
382.000000 93.931 -3.6246
387.000000 93.924 -3.5360
395.000000 93.910 -3.4001
400.000000 93.902 -3.3165
406.000000 93.891 -3.2149
412.000000 93.881 -3.1118
418.000000 93.869 -3.0095
425.000000 93.855 -2.8931
431.000000 93.843 -2.7916
437.000000 93.830 -2.6923
444.000000 93.815 -2.5738
450.000000 93.801 -2.4682
455.000000 93.789 -2.3794
462.000000 93.772 -2.2539
468.000000 93.757 -2.1467
475.000000 93.740 -2.0193
482.000000 93.722 -1.8884
487.000000 93.709 -1.7941
494.000000 93.690 -1.6612
500.000000 93.674 -1.5465
508.000000 93.652 -1.3888
515.000000 93.632 -1.2472
522.000000 93.612 -1.1036
530.000000 93.589 -0.9380
538.000000 93.565 -0.7681
545.000000 93.544 -0.6167
552.000000 93.524 -0.4647
560.000000 93.500 -0.2851
570.000000 93.470 -0.0550
580.000000 93.441 0.1849
590.000000 93.411 0.4360
600.000000 93.381 0.7004
608.000000 93.358 0.9224
615.000000 93.337 1.1240
622.000000 93.317 1.3315
630.000000 93.295 1.5740
640.000000 93.268 1.8904
650.000000 93.242 2.2266
660.000000 93.217 2.5748
670.000000 93.193 2.9270
680.000000 93.171 3.2874
690.000000 93.151 3.6580
700.000000 93.132 4.0410
710.000000 93.112 4.4356
720.000000 93.094 4.8399
730.000000 93.078 5.2538
740.000000 93.062 5.6775
750.000000 93.048 6.1127
762.000000 93.033 6.6493
775.000000 93.019 7.2444
788.000000 93.009 7.8564
800.000000 93.002 8.4368
812.000000 92.999 9.0287
825.000000 93.000 9.6764
838.000000 93.005 10.3325
850.000000 93.013 10.9421
862.000000 93.024 11.5547
875.000000 93.041 12.2248
885.000000 93.058 12.7406
900.000000 93.088 13.5109
912.000000 93.115 14.1238
925.000000 93.149 14.7801
938.000000 93.188 15.4242
950.000000 93.228 16.0114
962.000000 93.270 16.5857
975.000000 93.320 17.1920
988.000000 93.374 17.7848
1000.000000 93.426 18.3176
1015.000000 93.495 18.9612
1030.000000 93.568 19.5831
1044.000000 93.638 20.1392
1060.000000 93.721 20.7445
1075.000000 93.801 21.2845
1090.000000 93.883 21.8002
1106.000000 93.971 22.3246
1120.000000 94.050 22.7612
1138.000000 94.152 23.2938
1150.000000 94.221 23.6307
1172.000000 94.349 24.2124
1180.000000 94.395 24.4160
1206.000000 94.546 25.0447
1220.000000 94.628 25.3634
1241.000000 94.751 25.8245
1250.000000 94.805 26.0153
1265.000000 94.894 26.3245
1280.000000 94.985 26.6252
1315.000000 95.200 27.2804
1320.000000 95.231 27.3685
1340.000000 95.357 27.7094
1360.000000 95.485 28.0248
1380.000000 95.617 28.3138
1400.000000 95.752 28.5768
1430.000000 95.959 28.9117
1450.000000 96.101 29.0967
1475.000000 96.283 29.2753
1500.000000 96.470 29.3929
1525.000000 96.658 29.4412
1550.000000 96.849 29.4146
1575.000000 97.041 29.3195
1600.000000 97.233 29.1565
1625.000000 97.424 28.9252
1650.000000 97.613 28.6354
1675.000000 97.799 28.2878
1700.000000 97.981 27.8806
1725.000000 98.157 27.4210
1750.000000 98.327 26.9075
1775.000000 98.490 26.3437
1800.000000 98.645 25.7355
1825.000000 98.792 25.0898
1850.000000 98.931 24.4137
1875.000000 99.062 23.7106
1900.000000 99.185 22.9854
1925.000000 99.301 22.2425
1950.000000 99.408 21.4858
1975.000000 99.507 20.7197
2000.000000 99.597 19.9503
2030.000000 99.697 19.0268
2060.000000 99.786 18.1090
2090.000000 99.866 17.1990
2120.000000 99.936 16.2959
2140.000000 99.978 15.6997
2180.000000 100.051 14.5250
2200.000000 100.083 13.9456
2240.000000 100.137 12.8046
2270.000000 100.169 11.9670
2300.000000 100.195 11.1410
2330.000000 100.215 10.3285
2360.000000 100.229 9.5333
2400.000000 100.239 8.5005
2430.000000 100.239 7.7490
2470.000000 100.230 6.7852
2500.000000 100.217 6.0974
2540.000000 100.194 5.2359
2580.000000 100.164 4.4464
2620.000000 100.135 3.7106
2650.000000 100.114 3.1687
2690.000000 100.084 2.4385
2720.000000 100.058 1.8890
2760.000000 100.013 1.1722
2800.000000 99.956 0.5013
2850.000000 99.871 -0.2303
2900.000000 99.778 -0.8251
2950.000000 99.680 -1.2837
3000.000000 99.583 -1.6094
3040.000000 99.509 -1.7827
3070.000000 99.456 -1.8619
3110.000000 99.389 -1.9145
3150.000000 99.329 -1.9235
3200.000000 99.264 -1.8912
3250.000000 99.209 -1.8301
3300.000000 99.162 -1.7508
3350.000000 99.121 -1.6510
3400.000000 99.087 -1.5320
3450.000000 99.061 -1.4008
3500.000000 99.043 -1.2663
3550.000000 99.035 -1.1349
3600.000000 99.036 -1.0273
3650.000000 99.044 -0.9753
3700.000000 99.057 -0.9951
3750.000000 99.070 -1.0845
3820.000000 99.085 -1.3093
3870.000000 99.088 -1.5258
3950.000000 99.082 -1.9291
4000.000000 99.069 -2.1958
4060.000000 99.046 -2.5077
4120.000000 99.015 -2.7949
4180.000000 98.979 -3.0530
4250.000000 98.934 -3.3108
4310.000000 98.895 -3.5057
4370.000000 98.858 -3.6838
4440.000000 98.815 -3.8897
4500.000000 98.779 -4.0818
4550.000000 98.750 -4.2581
4620.000000 98.707 -4.5272
4680.000000 98.667 -4.7816
4750.000000 98.615 -5.1116
4820.000000 98.557 -5.4789
4870.000000 98.510 -5.7494
4940.000000 98.434 -6.1196
5000.000000 98.357 -6.4235
5080.000000 98.234 -6.7899
