* Measurement data measured by REW V5.31.3
* Source: Scarlett Solo USB, Scarlett Solo USB , L, volume: no control. Timing signal peak level -13.9 dBFS, measurement signal peak level -13.1 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Dec 30, 2025 3:20:14 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0388 ms (-13 mm, -0.52 in) using estimated IR delay relative to Acoustic reference played from Qudelix-5K L with no timing offset Clock adjustment: 45.9 ppm
* Measurement: XENNS Tea Pro Stock Black L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 102.609 32.9539
20.299999 102.620 32.0471
20.600000 102.630 31.1555
20.900000 102.639 30.2800
21.200001 102.648 29.4210
21.400000 102.654 28.8571
21.799999 102.665 27.7504
22.000000 102.670 27.2073
22.400000 102.679 26.1414
22.700001 102.684 25.3610
23.000000 102.689 24.5981
23.299999 102.693 23.8534
23.600000 102.697 23.1259
24.000000 102.702 22.1787
24.299999 102.707 21.4803
24.700001 102.715 20.5570
25.000000 102.721 19.8651
25.400000 102.729 18.9394
25.799999 102.735 18.0099
26.200001 102.740 17.0802
26.500000 102.742 16.3860
26.900000 102.744 15.4677
27.200001 102.744 14.7855
27.600000 102.743 13.8846
28.000000 102.742 12.9932
28.500000 102.740 11.8919
29.000000 102.736 10.8071
29.500000 102.731 9.7419
30.000000 102.724 8.6970
30.400000 102.718 7.8748
30.700001 102.713 7.2650
31.100000 102.706 6.4601
31.500000 102.697 5.6639
32.000000 102.684 4.6810
32.500000 102.669 3.7120
33.000000 102.653 2.7552
33.500000 102.636 1.8068
34.000000 102.617 0.8640
34.500000 102.598 -0.0725
35.000000 102.577 -0.9999
35.500000 102.557 -1.9172
36.000000 102.537 -2.8265
36.500000 102.518 -3.7303
37.000000 102.498 -4.6294
37.500000 102.478 -5.5214
38.200001 102.449 -6.7526
38.700001 102.427 -7.6172
39.500000 102.389 -8.9719
40.000000 102.363 -9.7994
40.599998 102.330 -10.7726
41.200001 102.294 -11.7251
41.799999 102.255 -12.6580
42.500000 102.206 -13.7234
43.099998 102.161 -14.6193
43.700001 102.114 -15.4995
44.400002 102.057 -16.5029
45.000000 102.006 -17.3387
45.500000 101.962 -18.0181
46.200001 101.901 -18.9462
46.799999 101.848 -19.7201
47.500000 101.785 -20.5933
48.200001 101.722 -21.4316
48.700001 101.676 -22.0095
49.400002 101.610 -22.7880
50.000000 101.553 -23.4246
50.799999 101.478 -24.2337
51.500000 101.411 -24.9124
52.200001 101.344 -25.5645
53.000000 101.265 -26.2729
53.799999 101.186 -26.9426
54.500000 101.117 -27.4976
55.200001 101.047 -28.0231
56.000000 100.968 -28.5917
57.000000 100.869 -29.2606
58.000000 100.770 -29.8830
59.000000 100.672 -30.4675
60.000000 100.573 -31.0198
60.799999 100.493 -31.4384
61.500000 100.423 -31.7899
62.200001 100.352 -32.1266
63.000000 100.271 -32.4907
64.000000 100.170 -32.9174
65.000000 100.068 -33.3164
66.000000 99.966 -33.6879
67.000000 99.864 -34.0330
68.000000 99.762 -34.3529
69.000000 99.661 -34.6494
70.000000 99.559 -34.9255
71.000000 99.458 -35.1813
72.000000 99.357 -35.4161
73.000000 99.257 -35.6316
74.000000 99.157 -35.8284
75.000000 99.058 -36.0076
76.199997 98.940 -36.2021
77.500000 98.813 -36.3876
78.800003 98.687 -36.5459
80.000000 98.572 -36.6688
81.199997 98.457 -36.7710
82.500000 98.334 -36.8596
83.800003 98.212 -36.9261
85.000000 98.099 -36.9664
86.199997 97.989 -36.9865
87.500000 97.871 -36.9878
88.500000 97.781 -36.9749
90.000000 97.647 -36.9336
91.199997 97.543 -36.8837
92.500000 97.430 -36.8145
93.800003 97.319 -36.7274
95.000000 97.219 -36.6300
96.199997 97.120 -36.5226
97.500000 97.015 -36.3989
98.800003 96.910 -36.2614
100.000000 96.815 -36.1199
101.500000 96.697 -35.9260
103.000000 96.582 -35.7119
104.400002 96.476 -35.4926
106.000000 96.358 -35.2211
107.500000 96.250 -34.9486
109.000000 96.145 -34.6606
110.599998 96.036 -34.3374
112.000000 95.944 -34.0438
113.800003 95.831 -33.6562
115.000000 95.757 -33.3933
117.199997 95.626 -32.9041
118.000000 95.579 -32.7224
120.599998 95.429 -32.1260
122.000000 95.349 -31.7965
124.099998 95.232 -31.2784
125.000000 95.183 -31.0483
126.500000 95.103 -30.6548
128.000000 95.024 -30.2487
131.500000 94.847 -29.2485
132.000000 94.823 -29.0989
134.000000 94.726 -28.4786
136.000000 94.633 -27.8147
138.000000 94.546 -27.0906
140.000000 94.469 -26.2930
143.000000 94.387 -24.9821
145.000000 94.363 -24.1078
147.500000 94.365 -23.1580
150.000000 94.383 -22.4653
152.500000 94.394 -22.0045
155.000000 94.386 -21.6633
157.500000 94.360 -21.3412
160.000000 94.322 -20.9847
162.500000 94.281 -20.5842
165.000000 94.239 -20.1456
167.500000 94.199 -19.6797
170.000000 94.163 -19.1973
172.500000 94.131 -18.7072
175.000000 94.103 -18.2183
177.500000 94.078 -17.7344
180.000000 94.056 -17.2561
182.500000 94.037 -16.7848
185.000000 94.021 -16.3193
187.500000 94.008 -15.8639
190.000000 93.998 -15.4253
192.500000 93.991 -15.0062
195.000000 93.985 -14.6019
197.500000 93.982 -14.2092
200.000000 93.979 -13.8309
203.000000 93.976 -13.3983
206.000000 93.975 -12.9883
209.000000 93.975 -12.5948
212.000000 93.976 -12.2135
214.000000 93.976 -11.9653
218.000000 93.978 -11.4874
220.000000 93.980 -11.2598
224.000000 93.985 -10.8243
227.000000 93.990 -10.5126
230.000000 93.995 -10.2128
233.000000 93.999 -9.9241
236.000000 94.003 -9.6461
240.000000 94.009 -9.2919
243.000000 94.014 -9.0367
247.000000 94.020 -8.7091
250.000000 94.025 -8.4746
254.000000 94.030 -8.1733
258.000000 94.034 -7.8772
262.000000 94.038 -7.5865
265.000000 94.041 -7.3710
269.000000 94.044 -7.0790
272.000000 94.046 -6.8513
276.000000 94.050 -6.5306
280.000000 94.057 -6.1809
285.000000 94.079 -5.7055
290.000000 94.125 -5.2625
295.000000 94.188 -4.9916
300.000000 94.245 -4.9509
304.000000 94.274 -5.0112
307.000000 94.284 -5.0620
311.000000 94.290 -5.1088
315.000000 94.289 -5.1232
320.000000 94.285 -5.0994
325.000000 94.280 -5.0381
330.000000 94.275 -4.9568
335.000000 94.270 -4.8676
340.000000 94.265 -4.7723
345.000000 94.260 -4.6759
350.000000 94.256 -4.5799
355.000000 94.252 -4.4868
360.000000 94.247 -4.3993
365.000000 94.242 -4.3153
370.000000 94.236 -4.2311
375.000000 94.231 -4.1467
382.000000 94.222 -4.0269
387.000000 94.215 -3.9398
395.000000 94.202 -3.8091
400.000000 94.194 -3.7318
406.000000 94.184 -3.6364
412.000000 94.174 -3.5350
418.000000 94.164 -3.4316
425.000000 94.150 -3.3124
431.000000 94.138 -3.2092
437.000000 94.126 -3.1068
444.000000 94.111 -2.9827
450.000000 94.098 -2.8726
455.000000 94.086 -2.7779
462.000000 94.070 -2.6442
468.000000 94.055 -2.5299
475.000000 94.037 -2.3916
482.000000 94.019 -2.2468
487.000000 94.006 -2.1411
494.000000 93.988 -1.9902
500.000000 93.971 -1.8582
508.000000 93.950 -1.6766
515.000000 93.931 -1.5125
522.000000 93.911 -1.3439
530.000000 93.889 -1.1464
538.000000 93.866 -0.9443
545.000000 93.845 -0.7637
552.000000 93.826 -0.5803
560.000000 93.804 -0.3652
570.000000 93.776 -0.0930
580.000000 93.749 0.1851
590.000000 93.722 0.4677
600.000000 93.695 0.7601
608.000000 93.673 1.0018
615.000000 93.652 1.2175
622.000000 93.632 1.4375
630.000000 93.609 1.6951
640.000000 93.580 2.0328
650.000000 93.553 2.3926
660.000000 93.525 2.7657
670.000000 93.498 3.1478
680.000000 93.474 3.5410
690.000000 93.451 3.9478
700.000000 93.430 4.3695
710.000000 93.410 4.8030
720.000000 93.393 5.2448
730.000000 93.378 5.6964
740.000000 93.367 6.1572
750.000000 93.358 6.6252
762.000000 93.351 7.1957
775.000000 93.350 7.8128
788.000000 93.354 8.4174
800.000000 93.361 8.9617
812.000000 93.369 9.4872
825.000000 93.377 10.0395
838.000000 93.385 10.5909
850.000000 93.393 11.1063
862.000000 93.402 11.6348
875.000000 93.416 12.2222
885.000000 93.430 12.6790
900.000000 93.458 13.3732
912.000000 93.484 13.9320
925.000000 93.518 14.5331
938.000000 93.556 15.1254
950.000000 93.596 15.6648
962.000000 93.638 16.1921
975.000000 93.689 16.7495
988.000000 93.743 17.2932
1000.000000 93.796 17.7795
1015.000000 93.865 18.3678
1030.000000 93.938 18.9351
1044.000000 94.008 19.4397
1060.000000 94.091 19.9847
1075.000000 94.171 20.4665
1090.000000 94.252 20.9233
1106.000000 94.339 21.3845
1120.000000 94.416 21.7642
1138.000000 94.516 22.2235
1150.000000 94.583 22.5140
1172.000000 94.705 23.0141
1180.000000 94.750 23.1886
1206.000000 94.893 23.7267
1220.000000 94.971 24.0000
1241.000000 95.087 24.3951
1250.000000 95.137 24.5581
1265.000000 95.219 24.8217
1280.000000 95.303 25.0776
1315.000000 95.499 25.6447
1320.000000 95.527 25.7220
1340.000000 95.641 26.0221
1360.000000 95.757 26.3022
1380.000000 95.876 26.5660
1400.000000 95.996 26.8149
1430.000000 96.182 27.1438
1450.000000 96.309 27.3345
1475.000000 96.472 27.5322
1500.000000 96.638 27.6832
1525.000000 96.808 27.7779
1550.000000 96.980 27.8110
1575.000000 97.154 27.7827
1600.000000 97.329 27.6865
1625.000000 97.504 27.5182
1650.000000 97.679 27.2856
1675.000000 97.850 26.9852
1700.000000 98.018 26.6149
1725.000000 98.182 26.1863
1750.000000 98.342 25.7010
1775.000000 98.495 25.1611
1800.000000 98.642 24.5709
1825.000000 98.780 23.9383
1850.000000 98.911 23.2757
1875.000000 99.035 22.5928
1900.000000 99.152 21.8939
1925.000000 99.262 21.1835
1950.000000 99.364 20.4630
1975.000000 99.457 19.7327
2000.000000 99.544 18.9958
2030.000000 99.638 18.1064
2060.000000 99.724 17.2190
2090.000000 99.801 16.3376
2120.000000 99.869 15.4614
2140.000000 99.910 14.8793
2180.000000 99.982 13.7229
2200.000000 100.014 13.1489
2240.000000 100.066 12.0084
2270.000000 100.098 11.1653
2300.000000 100.122 10.3325
2330.000000 100.140 9.5133
2360.000000 100.151 8.7112
2400.000000 100.157 7.6709
2430.000000 100.156 6.9157
2470.000000 100.145 5.9440
2500.000000 100.131 5.2399
2540.000000 100.103 4.3356
2580.000000 100.065 3.4827
2620.000000 100.019 2.6834
2650.000000 99.980 2.1176
2690.000000 99.924 1.4145
2720.000000 99.878 0.9351
2760.000000 99.813 0.3650
2800.000000 99.744 -0.1299
2850.000000 99.656 -0.6453
2900.000000 99.568 -1.0510
2950.000000 99.481 -1.3492
3000.000000 99.399 -1.5435
3040.000000 99.338 -1.6396
3070.000000 99.296 -1.6770
3110.000000 99.243 -1.6891
3150.000000 99.196 -1.6691
3200.000000 99.147 -1.6083
3250.000000 99.107 -1.5228
3300.000000 99.077 -1.4327
3350.000000 99.057 -1.3488
3400.000000 99.046 -1.2847
3450.000000 99.042 -1.2547
3500.000000 99.046 -1.2654
3550.000000 99.055 -1.3202
3600.000000 99.067 -1.4311
3650.000000 99.077 -1.6053
3700.000000 99.086 -1.8394
3750.000000 99.093 -2.1243
3820.000000 99.094 -2.5938
3870.000000 99.088 -2.9700
3950.000000 99.063 -3.6040
4000.000000 99.036 -3.9994
4060.000000 98.992 -4.4368
4120.000000 98.938 -4.7935
4180.000000 98.879 -5.0547
4250.000000 98.816 -5.2340
4310.000000 98.773 -5.3104
4370.000000 98.740 -5.3539
4440.000000 98.714 -5.4130
4500.000000 98.700 -5.5021
4550.000000 98.692 -5.6108
4620.000000 98.681 -5.8207
4680.000000 98.667 -6.0620
4750.000000 98.641 -6.4006
4820.000000 98.606 -6.7826
4870.000000 98.574 -7.0747
4940.000000 98.520 -7.5056
5000.000000 98.461 -7.8999
