* Measurement data measured by REW V5.31.3
* Source: Scarlett Solo USB, Scarlett Solo USB , L, volume: no control. Timing signal peak level -15.2 dBFS, measurement signal peak level -13.0 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Dec 30, 2025 3:21:04 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0378 ms (-13 mm, -0.51 in) using estimated IR delay relative to Acoustic reference played from Qudelix-5K R with no timing offset Clock adjustment: 10.5 ppm
* Measurement: XENNS Tea Pro Stock Black R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 102.718 34.5653
20.299999 102.731 33.6657
20.600000 102.743 32.7808
20.900000 102.755 31.9106
21.200001 102.767 31.0550
21.400000 102.775 30.4927
21.799999 102.790 29.3871
22.000000 102.797 28.8436
22.400000 102.810 27.7745
22.700001 102.820 26.9878
23.000000 102.828 26.2133
23.299999 102.835 25.4498
23.600000 102.842 24.6966
24.000000 102.849 23.7068
24.299999 102.854 22.9746
24.700001 102.858 22.0109
25.000000 102.861 21.2968
25.400000 102.863 20.3541
25.799999 102.864 19.4205
26.200001 102.864 18.4943
26.500000 102.864 17.8043
26.900000 102.863 16.8917
27.200001 102.862 16.2130
27.600000 102.860 15.3161
28.000000 102.858 14.4280
28.500000 102.855 13.3297
29.000000 102.852 12.2461
29.500000 102.849 11.1796
30.000000 102.844 10.1315
30.400000 102.840 9.3063
30.700001 102.837 8.6951
31.100000 102.832 7.8912
31.500000 102.826 7.1004
32.000000 102.817 6.1301
32.500000 102.808 5.1761
33.000000 102.799 4.2326
33.500000 102.788 3.2964
34.000000 102.776 2.3683
34.500000 102.763 1.4495
35.000000 102.750 0.5375
35.500000 102.737 -0.3721
36.000000 102.723 -1.2811
36.500000 102.708 -2.1871
37.000000 102.692 -3.0850
37.500000 102.674 -3.9727
38.200001 102.648 -5.1985
38.700001 102.629 -6.0620
39.500000 102.594 -7.4193
40.000000 102.571 -8.2515
40.599998 102.542 -9.2349
41.200001 102.510 -10.2017
41.799999 102.477 -11.1525
42.500000 102.436 -12.2449
43.099998 102.399 -13.1711
43.700001 102.360 -14.0889
44.400002 102.313 -15.1446
45.000000 102.270 -16.0327
45.500000 102.233 -16.7596
46.200001 102.179 -17.7551
46.799999 102.132 -18.5856
47.500000 102.076 -19.5254
48.200001 102.019 -20.4346
48.700001 101.977 -21.0655
49.400002 101.917 -21.9218
50.000000 101.865 -22.6302
50.799999 101.794 -23.5400
51.500000 101.731 -24.3040
52.200001 101.666 -25.0362
53.000000 101.591 -25.8346
53.799999 101.516 -26.5941
54.500000 101.449 -27.2284
55.200001 101.382 -27.8359
56.000000 101.305 -28.4973
57.000000 101.208 -29.2746
58.000000 101.110 -30.0020
59.000000 101.012 -30.6814
60.000000 100.915 -31.3173
60.799999 100.837 -31.7985
61.500000 100.768 -32.1976
62.200001 100.699 -32.5765
63.000000 100.621 -32.9883
64.000000 100.523 -33.4752
65.000000 100.424 -33.9329
66.000000 100.324 -34.3614
67.000000 100.224 -34.7614
68.000000 100.124 -35.1363
69.000000 100.025 -35.4880
70.000000 99.925 -35.8165
71.000000 99.826 -36.1222
72.000000 99.727 -36.4066
73.000000 99.628 -36.6704
74.000000 99.529 -36.9143
75.000000 99.431 -37.1401
76.199997 99.314 -37.3900
77.500000 99.188 -37.6353
78.800003 99.063 -37.8531
80.000000 98.948 -38.0289
81.199997 98.835 -38.1817
82.500000 98.712 -38.3243
83.800003 98.591 -38.4454
85.000000 98.480 -38.5380
86.199997 98.370 -38.6129
87.500000 98.253 -38.6780
88.500000 98.163 -38.7167
90.000000 98.030 -38.7552
91.199997 97.925 -38.7689
92.500000 97.812 -38.7657
93.800003 97.700 -38.7434
95.000000 97.598 -38.7076
96.199997 97.498 -38.6589
97.500000 97.390 -38.5935
98.800003 97.284 -38.5147
100.000000 97.187 -38.4280
101.500000 97.068 -38.3014
103.000000 96.951 -38.1572
104.400002 96.844 -38.0068
106.000000 96.724 -37.8159
107.500000 96.614 -37.6221
109.000000 96.506 -37.4136
110.599998 96.393 -37.1754
112.000000 96.296 -36.9542
113.800003 96.175 -36.6523
115.000000 96.096 -36.4411
117.199997 95.955 -36.0352
118.000000 95.905 -35.8817
120.599998 95.748 -35.3624
122.000000 95.667 -35.0696
124.099998 95.548 -34.6152
125.000000 95.498 -34.4156
126.500000 95.417 -34.0779
128.000000 95.338 -33.7328
131.500000 95.165 -32.9012
132.000000 95.141 -32.7804
134.000000 95.048 -32.2939
136.000000 94.959 -31.8027
138.000000 94.873 -31.3052
140.000000 94.792 -30.8018
143.000000 94.677 -30.0378
145.000000 94.604 -29.5248
147.500000 94.517 -28.8822
150.000000 94.434 -28.2378
152.500000 94.356 -27.5866
155.000000 94.281 -26.9243
157.500000 94.210 -26.2494
160.000000 94.143 -25.5544
162.500000 94.084 -24.8288
165.000000 94.033 -24.0641
167.500000 93.995 -23.2697
170.000000 93.974 -22.4829
172.500000 93.969 -21.7598
175.000000 93.975 -21.1437
177.500000 93.983 -20.6390
180.000000 93.986 -20.2151
182.500000 93.983 -19.8303
185.000000 93.976 -19.4540
187.500000 93.967 -19.0826
190.000000 93.959 -18.7263
192.500000 93.950 -18.3849
195.000000 93.939 -18.0519
197.500000 93.928 -17.7230
200.000000 93.916 -17.3956
203.000000 93.902 -17.0010
206.000000 93.889 -16.6063
209.000000 93.878 -16.2150
212.000000 93.868 -15.8273
214.000000 93.863 -15.5727
218.000000 93.854 -15.0782
220.000000 93.851 -14.8391
224.000000 93.847 -14.3750
227.000000 93.845 -14.0388
230.000000 93.844 -13.7130
233.000000 93.844 -13.4003
236.000000 93.844 -13.1028
240.000000 93.845 -12.7236
243.000000 93.846 -12.4507
247.000000 93.848 -12.1038
250.000000 93.850 -11.8573
254.000000 93.853 -11.5398
258.000000 93.855 -11.2344
262.000000 93.857 -10.9472
265.000000 93.859 -10.7399
269.000000 93.862 -10.4684
272.000000 93.863 -10.2708
276.000000 93.865 -10.0148
280.000000 93.867 -9.7651
285.000000 93.870 -9.4629
290.000000 93.872 -9.1707
295.000000 93.874 -8.8849
300.000000 93.876 -8.6019
304.000000 93.878 -8.3744
307.000000 93.880 -8.2009
311.000000 93.883 -7.9669
315.000000 93.890 -7.7314
320.000000 93.902 -7.4429
325.000000 93.921 -7.1819
330.000000 93.945 -6.9788
335.000000 93.967 -6.8497
340.000000 93.982 -6.7762
345.000000 93.988 -6.7223
350.000000 93.987 -6.6611
355.000000 93.982 -6.5818
360.000000 93.976 -6.4850
365.000000 93.968 -6.3767
370.000000 93.961 -6.2602
375.000000 93.953 -6.1375
382.000000 93.943 -5.9542
387.000000 93.935 -5.8210
395.000000 93.922 -5.6151
400.000000 93.914 -5.4896
406.000000 93.904 -5.3433
412.000000 93.893 -5.1991
418.000000 93.882 -5.0587
425.000000 93.868 -4.9016
431.000000 93.856 -4.7693
437.000000 93.844 -4.6405
444.000000 93.829 -4.4875
450.000000 93.816 -4.3532
455.000000 93.805 -4.2392
462.000000 93.789 -4.0790
468.000000 93.774 -3.9423
475.000000 93.758 -3.7802
482.000000 93.740 -3.6142
487.000000 93.728 -3.4940
494.000000 93.711 -3.3232
500.000000 93.695 -3.1763
508.000000 93.675 -2.9739
515.000000 93.656 -2.7921
522.000000 93.637 -2.6074
530.000000 93.615 -2.3936
538.000000 93.592 -2.1754
545.000000 93.572 -1.9787
552.000000 93.553 -1.7781
560.000000 93.530 -1.5432
570.000000 93.502 -1.2422
580.000000 93.474 -0.9313
590.000000 93.445 -0.6083
600.000000 93.417 -0.2668
608.000000 93.395 0.0154
615.000000 93.375 0.2673
622.000000 93.356 0.5250
630.000000 93.335 0.8247
640.000000 93.311 1.2087
650.000000 93.288 1.6096
660.000000 93.266 2.0173
670.000000 93.245 2.4243
680.000000 93.225 2.8351
690.000000 93.206 3.2537
700.000000 93.187 3.6831
710.000000 93.169 4.1252
720.000000 93.151 4.5775
730.000000 93.135 5.0389
740.000000 93.120 5.5116
750.000000 93.107 5.9960
762.000000 93.093 6.5900
775.000000 93.081 7.2487
788.000000 93.073 7.9252
800.000000 93.068 8.5635
812.000000 93.067 9.2120
825.000000 93.070 9.9201
838.000000 93.076 10.6367
850.000000 93.086 11.3032
862.000000 93.099 11.9720
875.000000 93.118 12.7011
885.000000 93.136 13.2623
900.000000 93.169 14.1006
912.000000 93.199 14.7667
925.000000 93.234 15.4811
938.000000 93.275 16.1864
950.000000 93.317 16.8292
962.000000 93.362 17.4576
975.000000 93.414 18.1205
988.000000 93.470 18.7668
1000.000000 93.524 19.3469
1015.000000 93.595 20.0480
1030.000000 93.669 20.7250
1044.000000 93.741 21.3323
1060.000000 93.826 21.9954
1075.000000 93.908 22.5876
1090.000000 93.992 23.1544
1106.000000 94.082 23.7338
1120.000000 94.162 24.2176
1138.000000 94.266 24.8112
1150.000000 94.336 25.1888
1172.000000 94.465 25.8467
1180.000000 94.512 26.0789
1206.000000 94.665 26.8009
1220.000000 94.747 27.1697
1241.000000 94.872 27.7055
1250.000000 94.926 27.9281
1265.000000 95.015 28.2902
1280.000000 95.106 28.6434
1315.000000 95.321 29.4318
1320.000000 95.353 29.5410
1340.000000 95.478 29.9682
1360.000000 95.607 30.3734
1380.000000 95.738 30.7575
1400.000000 95.872 31.1208
1430.000000 96.078 31.6153
1450.000000 96.219 31.9125
1475.000000 96.400 32.2356
1500.000000 96.584 32.5025
1525.000000 96.771 32.7052
1550.000000 96.960 32.8380
1575.000000 97.150 32.9039
1600.000000 97.341 32.8992
1625.000000 97.530 32.8145
1650.000000 97.718 32.6510
1675.000000 97.901 32.4070
1700.000000 98.079 32.0880
1725.000000 98.252 31.7085
1750.000000 98.419 31.2726
1775.000000 98.579 30.7842
1800.000000 98.731 30.2474
1825.000000 98.875 29.6699
1850.000000 99.011 29.0594
1875.000000 99.139 28.4198
1900.000000 99.258 27.7550
1925.000000 99.370 27.0712
1950.000000 99.474 26.3738
1975.000000 99.570 25.6664
2000.000000 99.658 24.9528
2030.000000 99.755 24.0916
2060.000000 99.842 23.2335
2090.000000 99.920 22.3818
2120.000000 99.988 21.5345
2140.000000 100.029 20.9734
2180.000000 100.103 19.8668
2200.000000 100.135 19.3216
2240.000000 100.191 18.2446
2270.000000 100.226 17.4475
2300.000000 100.257 16.6548
2330.000000 100.281 15.8666
2360.000000 100.299 15.0854
2400.000000 100.313 14.0583
2430.000000 100.318 13.3021
2470.000000 100.313 12.3207
2500.000000 100.303 11.6068
2540.000000 100.282 10.6869
2580.000000 100.250 9.8125
2620.000000 100.211 8.9816
2650.000000 100.176 8.3849
2690.000000 100.124 7.6313
2720.000000 100.081 7.1042
2760.000000 100.017 6.4523
2800.000000 99.949 5.8571
2850.000000 99.860 5.2056
2900.000000 99.769 4.6652
2950.000000 99.680 4.2355
3000.000000 99.594 3.9111
3040.000000 99.531 3.7138
3070.000000 99.487 3.6012
3110.000000 99.431 3.4867
3150.000000 99.381 3.4019
3200.000000 99.326 3.3281
3250.000000 99.280 3.2792
3300.000000 99.243 3.2468
3350.000000 99.216 3.2241
3400.000000 99.196 3.1972
3450.000000 99.185 3.1514
3500.000000 99.181 3.0744
3550.000000 99.183 2.9633
3600.000000 99.190 2.8071
3650.000000 99.197 2.5902
3700.000000 99.204 2.3120
3750.000000 99.210 1.9824
3820.000000 99.210 1.4509
3870.000000 99.203 1.0373
3950.000000 99.178 0.3644
4000.000000 99.153 -0.0424
4060.000000 99.116 -0.4893
4120.000000 99.076 -0.8694
4180.000000 99.036 -1.1851
4250.000000 99.001 -1.5012
4310.000000 98.981 -1.7867
4370.000000 98.968 -2.1309
4440.000000 98.952 -2.6264
4500.000000 98.933 -3.1226
4550.000000 98.914 -3.5812
4620.000000 98.879 -4.2853
4680.000000 98.841 -4.9412
4750.000000 98.786 -5.7460
4820.000000 98.718 -6.5781
4870.000000 98.661 -7.1824
4940.000000 98.568 -8.0250
5000.000000 98.475 -8.7283
5080.000000 98.331 -9.6149
