* Measurement data measured by REW V5.31.3
* Source: Scarlett Solo USB, Scarlett Solo USB , L, volume: no control. Timing signal peak level -15.1 dBFS, measurement signal peak level -13.0 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Dec 30, 2025 3:23:37 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0167 ms (-5.7 mm, -0.23 in) using estimated IR delay relative to Acoustic reference played from Qudelix-5K L with no timing offset Clock adjustment: -256.4 ppm
* Measurement: XENNS Tea Pro Stock White L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 102.723 35.1184
20.299999 102.736 34.2317
20.600000 102.749 33.3592
20.900000 102.762 32.5007
21.200001 102.774 31.6561
21.400000 102.782 31.1007
21.799999 102.796 30.0082
22.000000 102.804 29.4712
22.400000 102.817 28.4149
22.700001 102.826 27.6378
23.000000 102.834 26.8726
23.299999 102.841 26.1180
23.600000 102.848 25.3734
24.000000 102.856 24.3943
24.299999 102.860 23.6697
24.700001 102.865 22.7158
25.000000 102.868 22.0089
25.400000 102.871 21.0763
25.799999 102.873 20.1531
26.200001 102.874 19.2378
26.500000 102.875 18.5562
26.900000 102.875 17.6539
27.200001 102.874 16.9829
27.600000 102.873 16.0966
28.000000 102.872 15.2209
28.500000 102.870 14.1423
29.000000 102.868 13.0812
29.500000 102.866 12.0361
30.000000 102.863 11.0058
30.400000 102.861 10.1926
30.700001 102.859 9.5895
31.100000 102.855 8.7949
31.500000 102.851 8.0102
32.000000 102.845 7.0404
32.500000 102.838 6.0797
33.000000 102.829 5.1271
33.500000 102.819 4.1841
34.000000 102.806 3.2518
34.500000 102.792 2.3300
35.000000 102.777 1.4182
35.500000 102.761 0.5176
36.000000 102.744 -0.3699
36.500000 102.727 -1.2435
37.000000 102.711 -2.1061
37.500000 102.696 -2.9628
38.200001 102.674 -4.1592
38.700001 102.657 -5.0108
39.500000 102.627 -6.3583
40.000000 102.606 -7.1871
40.599998 102.580 -8.1677
41.200001 102.551 -9.1345
41.799999 102.520 -10.0887
42.500000 102.482 -11.1871
43.099998 102.447 -12.1151
43.700001 102.410 -13.0277
44.400002 102.364 -14.0702
45.000000 102.323 -14.9442
45.500000 102.288 -15.6592
46.200001 102.238 -16.6387
46.799999 102.194 -17.4561
47.500000 102.140 -18.3832
48.200001 102.085 -19.2837
48.700001 102.045 -19.9112
49.400002 101.987 -20.7661
50.000000 101.936 -21.4750
50.799999 101.867 -22.3873
51.500000 101.806 -23.1578
52.200001 101.743 -23.9016
53.000000 101.671 -24.7144
53.799999 101.599 -25.4878
54.500000 101.536 -26.1357
55.200001 101.472 -26.7571
56.000000 101.399 -27.4326
57.000000 101.308 -28.2274
58.000000 101.215 -28.9724
59.000000 101.121 -29.6685
60.000000 101.027 -30.3209
60.799999 100.951 -30.8148
61.500000 100.883 -31.2261
62.200001 100.816 -31.6189
63.000000 100.739 -32.0477
64.000000 100.642 -32.5559
65.000000 100.545 -33.0325
66.000000 100.448 -33.4781
67.000000 100.351 -33.8948
68.000000 100.254 -34.2841
69.000000 100.157 -34.6472
70.000000 100.060 -34.9855
71.000000 99.964 -35.3000
72.000000 99.868 -35.5914
73.000000 99.772 -35.8608
74.000000 99.676 -36.1100
75.000000 99.582 -36.3412
76.199997 99.468 -36.5975
77.500000 99.346 -36.8511
78.800003 99.225 -37.0791
80.000000 99.115 -37.2678
81.199997 99.005 -37.4366
82.500000 98.887 -37.5958
83.800003 98.769 -37.7307
85.000000 98.662 -37.8342
86.199997 98.555 -37.9184
87.500000 98.441 -37.9871
88.500000 98.353 -38.0235
90.000000 98.225 -38.0530
91.199997 98.124 -38.0592
92.500000 98.016 -38.0526
93.800003 97.910 -38.0319
95.000000 97.813 -37.9984
96.199997 97.717 -37.9543
97.500000 97.615 -37.8962
98.800003 97.513 -37.8236
100.000000 97.421 -37.7428
101.500000 97.308 -37.6234
103.000000 97.198 -37.4865
104.400002 97.097 -37.3417
106.000000 96.984 -37.1556
107.500000 96.880 -36.9630
109.000000 96.779 -36.7556
110.599998 96.673 -36.5203
112.000000 96.583 -36.3019
113.800003 96.470 -36.0067
115.000000 96.397 -35.8015
117.199997 96.267 -35.4078
118.000000 96.221 -35.2604
120.599998 96.077 -34.7712
122.000000 96.002 -34.4990
124.099998 95.893 -34.0759
125.000000 95.848 -33.8898
126.500000 95.775 -33.5745
128.000000 95.705 -33.2523
131.500000 95.551 -32.4728
132.000000 95.530 -32.3591
134.000000 95.449 -31.9019
136.000000 95.372 -31.4428
138.000000 95.300 -30.9844
140.000000 95.231 -30.5284
143.000000 95.136 -29.8527
145.000000 95.077 -29.4081
147.500000 95.008 -28.8588
150.000000 94.944 -28.3124
152.500000 94.884 -27.7682
155.000000 94.828 -27.2297
157.500000 94.777 -26.6973
160.000000 94.730 -26.1721
162.500000 94.687 -25.6556
165.000000 94.647 -25.1500
167.500000 94.611 -24.6562
170.000000 94.577 -24.1752
172.500000 94.547 -23.7081
175.000000 94.520 -23.2549
177.500000 94.494 -22.8132
180.000000 94.471 -22.3807
182.500000 94.448 -21.9542
185.000000 94.427 -21.5302
187.500000 94.406 -21.1051
190.000000 94.386 -20.6756
192.500000 94.366 -20.2313
195.000000 94.350 -19.7586
197.500000 94.338 -19.2504
200.000000 94.336 -18.7065
203.000000 94.350 -18.0319
206.000000 94.390 -17.4120
209.000000 94.448 -16.9478
212.000000 94.509 -16.6809
214.000000 94.543 -16.5880
218.000000 94.591 -16.4876
220.000000 94.608 -16.4434
224.000000 94.633 -16.3514
227.000000 94.648 -16.2850
230.000000 94.659 -16.2223
233.000000 94.666 -16.1600
236.000000 94.672 -16.0944
240.000000 94.679 -15.9959
243.000000 94.684 -15.9150
247.000000 94.690 -15.8130
250.000000 94.694 -15.7432
254.000000 94.700 -15.6510
258.000000 94.706 -15.5643
262.000000 94.712 -15.4924
265.000000 94.717 -15.4447
269.000000 94.723 -15.3865
272.000000 94.727 -15.3464
276.000000 94.733 -15.2991
280.000000 94.738 -15.2615
285.000000 94.744 -15.2222
290.000000 94.749 -15.1906
295.000000 94.754 -15.1697
300.000000 94.758 -15.1595
304.000000 94.761 -15.1593
307.000000 94.763 -15.1620
311.000000 94.766 -15.1698
315.000000 94.768 -15.1835
320.000000 94.769 -15.2092
325.000000 94.770 -15.2419
330.000000 94.770 -15.2756
335.000000 94.768 -15.3065
340.000000 94.765 -15.3344
345.000000 94.760 -15.3582
350.000000 94.754 -15.3757
355.000000 94.747 -15.3831
360.000000 94.741 -15.3752
365.000000 94.737 -15.3482
370.000000 94.736 -15.2943
375.000000 94.742 -15.2207
382.000000 94.767 -15.1417
387.000000 94.794 -15.1674
395.000000 94.831 -15.4141
400.000000 94.840 -15.6437
406.000000 94.838 -15.9136
412.000000 94.826 -16.1399
418.000000 94.809 -16.3219
425.000000 94.788 -16.4963
431.000000 94.771 -16.6217
437.000000 94.754 -16.7332
444.000000 94.735 -16.8478
450.000000 94.719 -16.9373
455.000000 94.705 -17.0094
462.000000 94.685 -17.1084
468.000000 94.668 -17.1918
475.000000 94.647 -17.2836
482.000000 94.627 -17.3677
487.000000 94.612 -17.4233
494.000000 94.591 -17.4945
500.000000 94.573 -17.5494
508.000000 94.549 -17.6111
515.000000 94.528 -17.6568
522.000000 94.507 -17.6962
530.000000 94.483 -17.7350
538.000000 94.460 -17.7689
545.000000 94.439 -17.7952
552.000000 94.418 -17.8212
560.000000 94.395 -17.8476
570.000000 94.365 -17.8759
580.000000 94.335 -17.8936
590.000000 94.305 -17.9027
600.000000 94.276 -17.8982
608.000000 94.253 -17.8846
615.000000 94.232 -17.8682
622.000000 94.211 -17.8455
630.000000 94.187 -17.8121
640.000000 94.158 -17.7609
650.000000 94.130 -17.6952
660.000000 94.102 -17.6157
670.000000 94.074 -17.5283
680.000000 94.049 -17.4283
690.000000 94.024 -17.3116
700.000000 94.001 -17.1767
710.000000 93.979 -17.0237
720.000000 93.959 -16.8552
730.000000 93.943 -16.6738
740.000000 93.929 -16.4808
750.000000 93.918 -16.2761
762.000000 93.909 -16.0215
775.000000 93.905 -15.7455
788.000000 93.906 -15.4707
800.000000 93.912 -15.2209
812.000000 93.921 -14.9833
825.000000 93.933 -14.7428
838.000000 93.944 -14.5068
850.000000 93.955 -14.2836
862.000000 93.967 -14.0483
875.000000 93.983 -13.7808
885.000000 93.999 -13.5703
900.000000 94.028 -13.2524
912.000000 94.056 -13.0023
925.000000 94.090 -12.7433
938.000000 94.130 -12.4974
950.000000 94.172 -12.2776
962.000000 94.217 -12.0707
975.000000 94.269 -11.8627
988.000000 94.325 -11.6676
1000.000000 94.379 -11.5017
1015.000000 94.451 -11.3134
1030.000000 94.527 -11.1455
1044.000000 94.601 -11.0123
1060.000000 94.688 -10.8907
1075.000000 94.774 -10.8082
1090.000000 94.860 -10.7557
1106.000000 94.954 -10.7332
1120.000000 95.036 -10.7418
1138.000000 95.141 -10.7847
1150.000000 95.212 -10.8318
1172.000000 95.342 -10.9560
1180.000000 95.389 -11.0093
1206.000000 95.541 -11.2105
1220.000000 95.623 -11.3335
1241.000000 95.745 -11.5298
1250.000000 95.798 -11.6188
1265.000000 95.886 -11.7736
1280.000000 95.974 -11.9360
1315.000000 96.180 -12.3596
1320.000000 96.210 -12.4243
1340.000000 96.329 -12.6917
1360.000000 96.450 -12.9789
1380.000000 96.572 -13.2831
1400.000000 96.695 -13.5997
1430.000000 96.885 -14.1012
1450.000000 97.015 -14.4534
1475.000000 97.181 -14.9199
1500.000000 97.352 -15.4207
1525.000000 97.526 -15.9690
1550.000000 97.702 -16.5798
1575.000000 97.880 -17.2559
1600.000000 98.059 -18.0010
1625.000000 98.238 -18.8148
1650.000000 98.415 -19.6912
1675.000000 98.590 -20.6293
1700.000000 98.761 -21.6255
1725.000000 98.928 -22.6700
1750.000000 99.089 -23.7625
1775.000000 99.245 -24.9055
1800.000000 99.393 -26.0997
1825.000000 99.533 -27.3405
1850.000000 99.665 -28.6192
1875.000000 99.790 -29.9285
1900.000000 99.907 -31.2612
1925.000000 100.015 -32.6114
1950.000000 100.115 -33.9728
1975.000000 100.207 -35.3408
2000.000000 100.291 -36.7098
2030.000000 100.383 -38.3514
2060.000000 100.465 -39.9845
2090.000000 100.538 -41.6082
2120.000000 100.602 -43.2286
2140.000000 100.640 -44.3093
2180.000000 100.707 -46.4693
2200.000000 100.736 -47.5475
2240.000000 100.783 -49.6986
2270.000000 100.811 -51.3055
2300.000000 100.832 -52.9088
2330.000000 100.846 -54.5042
2360.000000 100.854 -56.0851
2400.000000 100.856 -58.1650
2430.000000 100.852 -59.6982
2470.000000 100.836 -61.7010
2500.000000 100.819 -63.1730
2540.000000 100.788 -65.0989
2580.000000 100.747 -66.9829
2620.000000 100.697 -68.8284
2650.000000 100.655 -70.1909
2690.000000 100.594 -71.9656
2720.000000 100.545 -73.2512
2760.000000 100.476 -74.9010
2800.000000 100.403 -76.4818
2850.000000 100.308 -78.3551
2900.000000 100.212 -80.1077
2950.000000 100.117 -81.7411
3000.000000 100.025 -83.2751
3040.000000 99.957 -84.4514
3070.000000 99.909 -85.3040
3110.000000 99.848 -86.4076
3150.000000 99.794 -87.4771
3200.000000 99.735 -88.7672
3250.000000 99.685 -90.0224
3300.000000 99.646 -91.2595
3350.000000 99.616 -92.4897
3400.000000 99.595 -93.7305
3450.000000 99.582 -94.9980
3500.000000 99.575 -96.3046
3550.000000 99.573 -97.6564
3600.000000 99.573 -99.0649
3650.000000 99.570 -100.5417
3700.000000 99.564 -102.0825
3750.000000 99.553 -103.6722
3820.000000 99.523 -105.9497
3870.000000 99.490 -107.5826
3950.000000 99.415 -110.1257
4000.000000 99.360 -111.6416
4060.000000 99.292 -113.3734
4120.000000 99.227 -115.0277
4180.000000 99.166 -116.6462
4250.000000 99.100 -118.5248
4310.000000 99.044 -120.1350
4370.000000 98.987 -121.7346
4440.000000 98.920 -123.5933
4500.000000 98.864 -125.1927
4550.000000 98.817 -126.5367
