* Measurement data measured by REW V5.31.3
* Source: Scarlett Solo USB, Scarlett Solo USB , L, volume: no control. Timing signal peak level -15.3 dBFS, measurement signal peak level -12.9 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Dec 30, 2025 3:24:21 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0197 ms (-6.8 mm, -0.27 in) using estimated IR delay relative to Acoustic reference played from Qudelix-5K R with no timing offset Clock adjustment: -53.0 ppm
* Measurement: XENNS Tea Pro Stock White R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 102.817 35.7135
20.299999 102.830 34.8233
20.600000 102.843 33.9481
20.900000 102.856 33.0879
21.200001 102.869 32.2424
21.400000 102.877 31.6867
21.799999 102.892 30.5941
22.000000 102.899 30.0568
22.400000 102.913 28.9998
22.700001 102.922 28.2219
23.000000 102.931 27.4557
23.299999 102.938 26.7005
23.600000 102.945 25.9551
24.000000 102.953 24.9749
24.299999 102.957 24.2493
24.700001 102.962 23.2934
25.000000 102.965 22.5847
25.400000 102.968 21.6496
25.799999 102.969 20.7245
26.200001 102.971 19.8081
26.500000 102.971 19.1265
26.900000 102.971 18.2251
27.200001 102.971 17.5549
27.600000 102.971 16.6693
28.000000 102.970 15.7930
28.500000 102.969 14.7118
29.000000 102.968 13.6472
29.500000 102.967 12.6002
30.000000 102.965 11.5712
30.400000 102.963 10.7610
30.700001 102.961 10.1609
31.100000 102.959 9.3700
31.500000 102.955 8.5885
32.000000 102.951 7.6221
32.500000 102.944 6.6655
33.000000 102.937 5.7184
33.500000 102.927 4.7817
34.000000 102.917 3.8551
34.500000 102.905 2.9369
35.000000 102.893 2.0252
35.500000 102.880 1.1196
36.000000 102.866 0.2209
36.500000 102.852 -0.6699
37.000000 102.837 -1.5524
37.500000 102.822 -2.4268
38.200001 102.799 -3.6377
38.700001 102.782 -4.4921
39.500000 102.753 -5.8383
40.000000 102.733 -6.6664
40.599998 102.708 -7.6479
41.200001 102.681 -8.6176
41.799999 102.653 -9.5764
42.500000 102.618 -10.6835
43.099998 102.586 -11.6227
43.700001 102.553 -12.5513
44.400002 102.511 -13.6184
45.000000 102.474 -14.5178
45.500000 102.442 -15.2559
46.200001 102.395 -16.2706
46.799999 102.354 -17.1220
47.500000 102.304 -18.0919
48.200001 102.252 -19.0341
48.700001 102.214 -19.6892
49.400002 102.159 -20.5819
50.000000 102.110 -21.3255
50.799999 102.044 -22.2861
51.500000 101.984 -23.0966
52.200001 101.923 -23.8790
53.000000 101.852 -24.7399
53.799999 101.780 -25.5654
54.500000 101.716 -26.2568
55.200001 101.652 -26.9177
56.000000 101.578 -27.6376
57.000000 101.485 -28.4880
58.000000 101.391 -29.2869
59.000000 101.296 -30.0358
60.000000 101.200 -30.7334
60.799999 101.123 -31.2579
61.500000 101.055 -31.6945
62.200001 100.987 -32.1106
63.000000 100.910 -32.5618
64.000000 100.813 -33.0919
65.000000 100.715 -33.5865
66.000000 100.618 -34.0481
67.000000 100.520 -34.4789
68.000000 100.422 -34.8815
69.000000 100.324 -35.2563
70.000000 100.227 -35.6060
71.000000 100.129 -35.9324
72.000000 100.032 -36.2347
73.000000 99.935 -36.5148
74.000000 99.838 -36.7745
75.000000 99.742 -37.0144
76.199997 99.627 -37.2788
77.500000 99.504 -37.5384
78.800003 99.381 -37.7714
80.000000 99.268 -37.9612
81.199997 99.156 -38.1288
82.500000 99.036 -38.2877
83.800003 98.916 -38.4247
85.000000 98.806 -38.5316
86.199997 98.698 -38.6193
87.500000 98.581 -38.6953
88.500000 98.492 -38.7415
90.000000 98.360 -38.7917
91.199997 98.256 -38.8131
92.500000 98.144 -38.8177
93.800003 98.033 -38.8053
95.000000 97.933 -38.7799
96.199997 97.834 -38.7426
97.500000 97.728 -38.6884
98.800003 97.622 -38.6182
100.000000 97.527 -38.5384
101.500000 97.409 -38.4202
103.000000 97.294 -38.2850
104.400002 97.189 -38.1431
106.000000 97.070 -37.9615
107.500000 96.961 -37.7753
109.000000 96.854 -37.5760
110.599998 96.743 -37.3503
112.000000 96.647 -37.1411
113.800003 96.528 -36.8552
115.000000 96.450 -36.6552
117.199997 96.312 -36.2707
118.000000 96.262 -36.1259
120.599998 96.107 -35.6385
122.000000 96.026 -35.3676
124.099998 95.909 -34.9457
125.000000 95.860 -34.7592
126.500000 95.781 -34.4429
128.000000 95.704 -34.1207
131.500000 95.533 -33.3464
132.000000 95.510 -33.2336
134.000000 95.418 -32.7778
136.000000 95.329 -32.3144
138.000000 95.245 -31.8441
140.000000 95.164 -31.3703
143.000000 95.051 -30.6541
145.000000 94.980 -30.1732
147.500000 94.896 -29.5731
150.000000 94.816 -28.9775
152.500000 94.741 -28.3837
155.000000 94.671 -27.7931
157.500000 94.605 -27.2091
160.000000 94.544 -26.6310
162.500000 94.486 -26.0567
165.000000 94.432 -25.4867
167.500000 94.381 -24.9178
170.000000 94.334 -24.3508
172.500000 94.289 -23.7845
175.000000 94.247 -23.2158
177.500000 94.206 -22.6425
180.000000 94.168 -22.0619
182.500000 94.135 -21.4673
185.000000 94.107 -20.8521
187.500000 94.086 -20.2191
190.000000 94.074 -19.5789
192.500000 94.073 -18.9483
195.000000 94.084 -18.3510
197.500000 94.104 -17.8154
200.000000 94.129 -17.3624
203.000000 94.159 -16.9257
206.000000 94.184 -16.5753
209.000000 94.202 -16.2674
212.000000 94.215 -15.9689
214.000000 94.222 -15.7712
218.000000 94.237 -15.3915
220.000000 94.245 -15.2127
224.000000 94.264 -14.8830
227.000000 94.276 -14.6648
230.000000 94.285 -14.4723
233.000000 94.291 -14.2954
236.000000 94.294 -14.1225
240.000000 94.297 -13.8916
243.000000 94.298 -13.7205
247.000000 94.299 -13.4966
250.000000 94.299 -13.3325
254.000000 94.300 -13.1151
258.000000 94.301 -12.9019
262.000000 94.302 -12.7033
265.000000 94.303 -12.5632
269.000000 94.304 -12.3835
272.000000 94.305 -12.2528
276.000000 94.306 -12.0850
280.000000 94.307 -11.9254
285.000000 94.308 -11.7379
290.000000 94.309 -11.5613
295.000000 94.309 -11.3929
300.000000 94.308 -11.2344
304.000000 94.307 -11.1110
307.000000 94.306 -11.0188
311.000000 94.304 -10.8982
315.000000 94.303 -10.7821
320.000000 94.300 -10.6400
325.000000 94.298 -10.4950
330.000000 94.295 -10.3444
335.000000 94.293 -10.1855
340.000000 94.292 -10.0187
345.000000 94.294 -9.8418
350.000000 94.300 -9.6632
355.000000 94.312 -9.4990
360.000000 94.329 -9.3668
365.000000 94.348 -9.2847
370.000000 94.368 -9.2583
375.000000 94.385 -9.2804
382.000000 94.396 -9.3630
387.000000 94.397 -9.4293
395.000000 94.386 -9.5102
400.000000 94.375 -9.5411
406.000000 94.361 -9.5602
412.000000 94.347 -9.5582
418.000000 94.331 -9.5382
425.000000 94.313 -9.5054
431.000000 94.297 -9.4720
437.000000 94.281 -9.4352
444.000000 94.263 -9.3827
450.000000 94.247 -9.3306
455.000000 94.234 -9.2833
462.000000 94.215 -9.2157
468.000000 94.199 -9.1577
475.000000 94.179 -9.0864
482.000000 94.159 -9.0096
487.000000 94.146 -8.9524
494.000000 94.126 -8.8694
500.000000 94.108 -8.7955
508.000000 94.085 -8.6924
515.000000 94.065 -8.5970
522.000000 94.044 -8.4943
530.000000 94.020 -8.3698
538.000000 93.996 -8.2397
545.000000 93.975 -8.1219
552.000000 93.954 -8.0008
560.000000 93.930 -7.8567
570.000000 93.900 -7.6691
580.000000 93.869 -7.4669
590.000000 93.838 -7.2549
600.000000 93.808 -7.0297
608.000000 93.785 -6.8378
615.000000 93.764 -6.6625
622.000000 93.744 -6.4816
630.000000 93.722 -6.2692
640.000000 93.696 -5.9945
650.000000 93.672 -5.7070
660.000000 93.649 -5.4147
670.000000 93.627 -5.1232
680.000000 93.606 -4.8279
690.000000 93.586 -4.5237
700.000000 93.566 -4.2091
710.000000 93.547 -3.8830
720.000000 93.529 -3.5461
730.000000 93.512 -3.2000
740.000000 93.496 -2.8419
750.000000 93.482 -2.4730
762.000000 93.467 -2.0181
775.000000 93.454 -1.5113
788.000000 93.444 -0.9828
800.000000 93.439 -0.4812
812.000000 93.436 0.0300
825.000000 93.438 0.5923
838.000000 93.443 1.1611
850.000000 93.451 1.6887
862.000000 93.463 2.2190
875.000000 93.481 2.7963
885.000000 93.499 3.2408
900.000000 93.530 3.9054
912.000000 93.559 4.4315
925.000000 93.595 4.9938
938.000000 93.636 5.5444
950.000000 93.678 6.0425
962.000000 93.724 6.5260
975.000000 93.777 7.0345
988.000000 93.833 7.5305
1000.000000 93.889 7.9733
1015.000000 93.961 8.5031
1030.000000 94.037 9.0093
1044.000000 94.111 9.4581
1060.000000 94.198 9.9414
1075.000000 94.282 10.3646
1090.000000 94.369 10.7622
1106.000000 94.461 11.1617
1120.000000 94.543 11.4872
1138.000000 94.649 11.8779
1150.000000 94.721 12.1223
1172.000000 94.854 12.5405
1180.000000 94.902 12.6875
1206.000000 95.060 13.1392
1220.000000 95.145 13.3654
1241.000000 95.273 13.6859
1250.000000 95.328 13.8148
1265.000000 95.421 14.0188
1280.000000 95.513 14.2128
1315.000000 95.734 14.6157
1320.000000 95.766 14.6686
1340.000000 95.895 14.8695
1360.000000 96.026 15.0428
1380.000000 96.161 15.1877
1400.000000 96.297 15.3060
1430.000000 96.507 15.4257
1450.000000 96.650 15.4703
1475.000000 96.832 15.4742
1500.000000 97.019 15.4199
1525.000000 97.208 15.3060
1550.000000 97.399 15.1208
1575.000000 97.592 14.8625
1600.000000 97.784 14.5326
1625.000000 97.974 14.1234
1650.000000 98.162 13.6380
1675.000000 98.347 13.0802
1700.000000 98.527 12.4549
1725.000000 98.701 11.7716
1750.000000 98.869 11.0308
1775.000000 99.031 10.2366
1800.000000 99.184 9.3954
1825.000000 99.329 8.5164
1850.000000 99.465 7.6063
1875.000000 99.593 6.6708
1900.000000 99.713 5.7166
1925.000000 99.824 4.7474
1950.000000 99.927 3.7651
1975.000000 100.022 2.7747
2000.000000 100.109 1.7814
2030.000000 100.203 0.5872
2060.000000 100.288 -0.6011
2090.000000 100.363 -1.7816
2120.000000 100.429 -2.9580
2140.000000 100.468 -3.7388
2180.000000 100.537 -5.2863
2200.000000 100.567 -6.0519
2240.000000 100.617 -7.5635
2270.000000 100.647 -8.6764
2300.000000 100.671 -9.7726
2330.000000 100.690 -10.8489
2360.000000 100.703 -11.9037
2400.000000 100.712 -13.2870
2430.000000 100.713 -14.3101
2470.000000 100.705 -15.6445
2500.000000 100.693 -16.6194
2540.000000 100.668 -17.8835
2580.000000 100.633 -19.0978
2620.000000 100.589 -20.2532
2650.000000 100.551 -21.0803
2690.000000 100.495 -22.1252
2720.000000 100.448 -22.8571
2760.000000 100.380 -23.7653
2800.000000 100.308 -24.6014
2850.000000 100.213 -25.5396
2900.000000 100.117 -26.3627
2950.000000 100.021 -27.0803
3000.000000 99.927 -27.7102
3040.000000 99.857 -28.1688
3070.000000 99.807 -28.4871
3110.000000 99.743 -28.8817
3150.000000 99.684 -29.2433
3200.000000 99.618 -29.6469
3250.000000 99.561 -30.0087
3300.000000 99.512 -30.3427
3350.000000 99.471 -30.6598
3400.000000 99.440 -30.9738
3450.000000 99.415 -31.3049
3500.000000 99.398 -31.6656
3550.000000 99.387 -32.0548
3600.000000 99.380 -32.4828
3650.000000 99.375 -32.9611
3700.000000 99.370 -33.4882
3750.000000 99.363 -34.0573
3820.000000 99.347 -34.9076
3870.000000 99.329 -35.5341
3950.000000 99.289 -36.5290
4000.000000 99.259 -37.1329
4060.000000 99.222 -37.8323
4120.000000 99.184 -38.5145
4180.000000 99.146 -39.2017
4250.000000 99.098 -40.0309
4310.000000 99.051 -40.7709
4370.000000 98.993 -41.5068
4440.000000 98.913 -42.3170
4500.000000 98.839 -42.9470
4550.000000 98.778 -43.4269
4620.000000 98.696 -44.0557
4680.000000 98.631 -44.5936
4750.000000 98.556 -45.2545
4820.000000 98.479 -45.9756
