* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control. Timing signal peak level -14.6 dBFS, measurement signal peak level -12.3 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Feb 12, 2026 9:10:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0691 ms (-24 mm, -0.93 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset Clock adjustment: 10.8 ppm
* Measurement: XENNS Tea Pro black L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 101.563 -4.9501
20.299999 101.475 -5.0497
20.600000 101.421 -5.0706
20.900000 101.395 -5.1891
21.200001 101.376 -5.4917
21.400000 101.357 -5.7900
21.799999 101.293 -6.5241
22.000000 101.247 -6.9108
22.400000 101.140 -7.6344
22.700001 101.055 -8.0991
23.000000 100.975 -8.4808
23.299999 100.909 -8.7744
23.600000 100.867 -8.9949
24.000000 100.865 -9.2809
24.299999 100.906 -9.6210
24.700001 100.992 -10.4130
25.000000 101.050 -11.2615
25.400000 101.078 -12.4984
25.799999 101.049 -13.4327
26.200001 101.027 -13.7523
26.500000 101.070 -13.6854
26.900000 101.241 -13.7097
27.200001 101.424 -14.2014
27.600000 101.638 -15.7108
28.000000 101.709 -17.8836
28.500000 101.523 -20.4063
29.000000 101.133 -21.4001
29.500000 100.798 -20.5332
30.000000 100.700 -19.0499
30.400000 100.746 -18.4745
30.700001 100.783 -18.5924
31.100000 100.765 -19.2550
31.500000 100.645 -20.0209
32.000000 100.403 -20.4096
32.500000 100.201 -19.9271
33.000000 100.162 -19.2203
33.500000 100.257 -19.2947
34.000000 100.326 -20.3921
34.500000 100.257 -21.7155
35.000000 100.113 -22.2172
35.500000 100.090 -21.8281
36.000000 100.279 -21.7853
36.500000 100.518 -23.2013
37.000000 100.569 -25.7252
37.500000 100.341 -27.9183
38.200001 99.826 -28.1323
38.700001 99.647 -26.5744
39.500000 99.774 -24.8133
40.000000 99.884 -24.9205
40.599998 99.937 -25.6119
41.200001 99.930 -26.5098
41.799999 99.858 -27.4644
42.500000 99.715 -28.1577
43.099998 99.647 -28.4016
43.700001 99.649 -29.0150
44.400002 99.576 -30.3337
45.000000 99.406 -31.0308
45.500000 99.288 -30.9845
46.200001 99.259 -30.8152
46.799999 99.259 -31.2233
47.500000 99.170 -31.7574
48.200001 99.078 -31.7209
48.700001 99.066 -31.6179
49.400002 99.082 -31.8375
50.000000 99.076 -32.3547
50.799999 99.008 -33.2273
51.500000 98.887 -33.8419
52.200001 98.751 -34.0210
53.000000 98.666 -34.0361
53.799999 98.609 -34.4990
54.500000 98.510 -35.1451
55.200001 98.375 -35.6921
56.000000 98.215 -36.1134
57.000000 98.103 -36.1912
58.000000 98.251 -37.4211
59.000000 98.150 -41.4628
60.000000 97.434 -42.6258
60.799999 97.177 -39.2864
61.500000 97.438 -37.2238
62.200001 97.710 -37.4315
63.000000 97.775 -38.4304
64.000000 97.694 -38.6105
65.000000 97.633 -38.2150
66.000000 97.568 -38.2294
67.000000 97.427 -38.5175
68.000000 97.279 -38.6633
69.000000 97.175 -38.9753
70.000000 97.087 -39.4448
71.000000 97.009 -39.9108
72.000000 96.925 -40.2795
73.000000 96.833 -40.3495
74.000000 96.767 -40.2354
75.000000 96.712 -40.3241
76.199997 96.605 -40.6671
77.500000 96.463 -40.9896
78.800003 96.334 -41.2585
80.000000 96.239 -41.4679
81.199997 96.147 -41.7408
82.500000 96.013 -41.8589
83.800003 95.894 -41.6062
85.000000 95.829 -41.5933
86.199997 95.726 -41.9191
87.500000 95.586 -41.9819
88.500000 95.502 -41.9780
90.000000 95.379 -42.0615
91.199997 95.280 -42.1306
92.500000 95.168 -42.1372
93.800003 95.072 -42.0746
95.000000 94.977 -42.0184
96.199997 94.865 -41.8564
97.500000 94.733 -41.5430
98.800003 94.604 -41.3013
100.000000 94.477 -41.2629
101.500000 94.316 -41.2649
103.000000 94.206 -40.9957
104.400002 94.192 -40.8271
106.000000 94.129 -41.1793
107.500000 93.979 -41.3262
109.000000 93.822 -41.3052
110.599998 93.748 -41.3774
112.000000 93.726 -41.5487
113.800003 93.661 -40.9630
115.000000 93.564 -40.0236
117.199997 93.048 -38.3746
118.000000 92.728 -37.2893
120.599998 92.562 -31.1077
122.000000 92.792 -34.2098
124.099998 92.769 -38.5042
125.000000 92.776 -39.1426
126.500000 92.783 -39.2428
128.000000 92.727 -38.6227
131.500000 92.443 -37.7870
132.000000 92.396 -37.8015
134.000000 92.236 -37.6927
136.000000 92.145 -37.0995
138.000000 92.095 -35.9137
140.000000 92.108 -34.3867
143.000000 92.063 -33.8468
145.000000 92.003 -34.5468
147.500000 91.986 -37.3679
150.000000 91.797 -38.2870
152.500000 91.600 -33.2083
155.000000 91.609 -29.4144
157.500000 91.519 -29.6887
160.000000 91.403 -31.9102
162.500000 91.303 -31.7046
165.000000 91.324 -29.8513
167.500000 91.287 -28.8153
170.000000 91.247 -28.4527
172.500000 91.209 -28.2520
175.000000 91.131 -27.8950
177.500000 91.004 -27.1716
180.000000 90.898 -26.6650
182.500000 90.814 -26.2826
185.000000 90.748 -25.8732
187.500000 90.686 -25.2686
190.000000 90.657 -24.7363
192.500000 90.629 -24.4129
195.000000 90.581 -23.8768
197.500000 90.525 -23.1203
200.000000 90.483 -22.4457
203.000000 90.471 -22.1154
206.000000 90.445 -21.8976
209.000000 90.406 -21.2874
212.000000 90.354 -20.5979
214.000000 90.311 -20.1489
218.000000 90.257 -19.2490
220.000000 90.244 -18.8420
224.000000 90.220 -18.1350
227.000000 90.219 -17.6174
230.000000 90.227 -17.2757
233.000000 90.207 -16.8799
236.000000 90.139 -16.1018
240.000000 90.043 -15.0981
243.000000 90.035 -14.9546
247.000000 90.051 -14.6183
250.000000 90.046 -14.2195
254.000000 90.036 -13.8513
258.000000 90.024 -13.3447
262.000000 89.996 -12.7360
265.000000 89.983 -12.3383
269.000000 89.968 -11.9127
272.000000 89.948 -11.4860
276.000000 89.938 -10.6302
280.000000 89.948 -9.8948
285.000000 89.989 -9.2557
290.000000 89.964 -8.6202
295.000000 89.994 -7.8234
300.000000 90.068 -7.1024
304.000000 90.037 -7.0398
307.000000 90.011 -6.9065
311.000000 90.002 -6.6514
315.000000 89.986 -6.3757
320.000000 89.965 -5.9705
325.000000 89.971 -5.5522
330.000000 89.968 -5.1707
335.000000 89.954 -4.8865
340.000000 89.945 -4.5274
345.000000 89.935 -4.1252
350.000000 89.911 -3.6562
355.000000 89.808 -2.5649
360.000000 89.674 -1.2155
365.000000 89.764 -1.7449
370.000000 89.856 -2.1049
375.000000 89.879 -1.9094
382.000000 89.890 -1.4000
387.000000 89.889 -1.0557
395.000000 89.878 -0.4807
400.000000 89.868 -0.0709
406.000000 89.853 0.3717
412.000000 89.839 0.7021
418.000000 89.838 1.0690
425.000000 89.824 1.5546
431.000000 89.809 1.9733
437.000000 89.803 2.3939
444.000000 89.798 2.9165
450.000000 89.791 3.3323
455.000000 89.784 3.6450
462.000000 89.768 4.0759
468.000000 89.756 4.3588
475.000000 89.750 4.1627
482.000000 89.741 4.2963
487.000000 89.728 5.2090
494.000000 89.717 6.0885
500.000000 89.708 6.4650
508.000000 89.692 6.9591
515.000000 89.683 7.4406
522.000000 89.676 7.8833
530.000000 89.663 8.4393
538.000000 89.636 9.0682
545.000000 89.626 9.4944
552.000000 89.629 9.8865
560.000000 89.630 10.4353
570.000000 89.613 11.0127
580.000000 89.595 11.6298
590.000000 89.581 12.2605
600.000000 89.581 12.8405
608.000000 89.570 13.4339
615.000000 89.557 13.9375
622.000000 89.546 14.3959
630.000000 89.541 14.8983
640.000000 89.545 15.5526
650.000000 89.562 16.1912
660.000000 89.582 16.9199
670.000000 89.540 17.6349
680.000000 89.507 18.3414
690.000000 89.493 19.0718
700.000000 89.477 19.8555
710.000000 89.443 21.0068
720.000000 89.406 22.3188
730.000000 89.437 22.5134
740.000000 89.473 22.8624
750.000000 89.487 23.5378
762.000000 89.495 24.4941
775.000000 89.512 25.5732
788.000000 89.528 26.5890
800.000000 89.549 27.5115
812.000000 89.577 28.4456
825.000000 89.625 29.4721
838.000000 89.693 30.3946
850.000000 89.715 31.2835
862.000000 89.732 32.1944
875.000000 89.765 33.1376
885.000000 89.794 33.8326
900.000000 89.834 34.9013
912.000000 89.877 35.7744
925.000000 89.923 36.6991
938.000000 89.967 37.5832
950.000000 90.004 38.3531
962.000000 90.052 39.1183
975.000000 90.120 40.0952
988.000000 90.175 41.0535
1000.000000 90.229 41.8445
1015.000000 90.301 42.7037
1030.000000 90.378 43.6918
1044.000000 90.453 44.6294
1060.000000 90.529 45.6014
1075.000000 90.595 46.4312
1090.000000 90.692 47.2567
1106.000000 90.805 48.1136
1120.000000 90.892 48.8138
1138.000000 90.991 49.6625
1150.000000 91.057 50.2333
1172.000000 91.193 51.2824
1180.000000 91.251 51.6417
1206.000000 91.428 52.7644
1220.000000 91.486 53.3393
1241.000000 91.604 54.1923
1250.000000 91.669 54.5551
1265.000000 91.777 55.1495
1280.000000 91.869 55.7501
1315.000000 92.063 57.2117
1320.000000 92.090 57.4115
1340.000000 92.194 58.1144
1360.000000 92.306 58.8336
1380.000000 92.430 59.5407
1400.000000 92.559 60.2422
1430.000000 92.764 61.1959
1450.000000 92.894 61.9409
1475.000000 93.045 62.9747
1500.000000 93.207 63.8619
1525.000000 93.370 64.6748
1550.000000 93.539 65.3811
1575.000000 93.711 66.1917
1600.000000 93.884 67.0385
1625.000000 94.058 67.7790
1650.000000 94.237 68.4177
1675.000000 94.419 68.9958
1700.000000 94.598 69.5895
1725.000000 94.778 70.1470
1750.000000 94.960 70.6126
1775.000000 95.141 70.9428
1800.000000 95.321 71.2365
1825.000000 95.506 71.5223
1850.000000 95.689 71.7381
1875.000000 95.868 71.9089
1900.000000 96.043 72.0195
1925.000000 96.216 72.0711
1950.000000 96.386 72.0941
1975.000000 96.549 72.0664
2000.000000 96.707 71.9684
2030.000000 96.894 71.8147
2060.000000 97.072 71.5643
2090.000000 97.238 71.2321
2120.000000 97.394 70.8815
2140.000000 97.493 70.6204
2180.000000 97.673 70.0628
2200.000000 97.754 69.7722
2240.000000 97.904 69.1696
2270.000000 98.004 68.7082
2300.000000 98.091 68.1783
2330.000000 98.167 67.6228
2360.000000 98.230 67.0713
2400.000000 98.296 66.3468
2430.000000 98.336 65.8353
2470.000000 98.371 65.1833
2500.000000 98.387 64.7097
2540.000000 98.390 64.1123
2580.000000 98.369 63.5776
2620.000000 98.333 63.1292
2650.000000 98.298 62.8415
2690.000000 98.241 62.5379
2720.000000 98.192 62.3803
2760.000000 98.118 62.2642
2800.000000 98.036 62.2546
2850.000000 97.933 62.3627
2900.000000 97.828 62.6231
2950.000000 97.724 63.0347
3000.000000 97.624 63.5535
3040.000000 97.552 64.0570
3070.000000 97.502 64.4846
3110.000000 97.440 65.1053
3150.000000 97.376 65.7572
3200.000000 97.299 66.6070
3250.000000 97.230 67.4780
3300.000000 97.161 68.4072
3350.000000 97.103 69.3245
3400.000000 97.063 70.2493
3450.000000 97.041 71.1320
3500.000000 97.035 71.9662
3550.000000 97.034 72.7472
3600.000000 97.025 73.4808
3650.000000 97.004 74.1355
3700.000000 96.964 74.7005
3750.000000 96.909 75.2010
3820.000000 96.821 75.8141
3870.000000 96.763 76.1923
3950.000000 96.697 76.8039
4000.000000 96.660 77.1885
4060.000000 96.619 77.6828
4120.000000 96.571 78.2821
4180.000000 96.511 79.0211
4250.000000 96.432 80.0771
4310.000000 96.362 81.1142
4370.000000 96.297 82.2579
4440.000000 96.237 83.6772
4500.000000 96.200 84.9004
4550.000000 96.180 85.8567
4620.000000 96.164 87.0693
4680.000000 96.157 88.0175
4750.000000 96.149 89.0009
4820.000000 96.135 89.8630
4870.000000 96.117 90.3905
4940.000000 96.075 91.0482
5000.000000 96.028 91.5671
5080.000000 95.945 92.2227
5150.000000 95.851 92.7912
