* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control. Timing signal peak level -19.1 dBFS, measurement signal peak level -12.5 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Feb 12, 2026 9:11:25 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0252 ms (-8.7 mm, -0.34 in) using estimated IR delay relative to Acoustic reference played from  R with no timing offset Clock adjustment: 1.6 ppm
* Measurement: XENNS Tea Pro black R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 101.531 -5.7401
20.299999 101.387 -6.4377
20.600000 101.283 -6.5580
20.900000 101.259 -6.3757
21.200001 101.316 -6.2721
21.400000 101.378 -6.3921
21.799999 101.491 -7.1531
22.000000 101.514 -7.7041
22.400000 101.470 -8.7519
22.700001 101.384 -9.2048
23.000000 101.297 -9.2769
23.299999 101.249 -9.1011
23.600000 101.250 -8.9377
24.000000 101.286 -9.1108
24.299999 101.289 -9.5610
24.700001 101.218 -10.2704
25.000000 101.126 -10.6237
25.400000 101.023 -10.7713
25.799999 101.006 -10.9890
26.200001 101.036 -11.9319
26.500000 101.013 -13.2129
26.900000 100.824 -15.2214
27.200001 100.549 -16.3593
27.600000 100.101 -16.5067
28.000000 99.793 -14.8868
28.500000 99.900 -12.3405
29.000000 100.370 -12.2217
29.500000 100.717 -14.7740
30.000000 100.728 -17.9044
30.400000 100.582 -19.5132
30.700001 100.481 -19.9879
31.100000 100.454 -20.0525
31.500000 100.550 -20.2083
32.000000 100.704 -21.1813
32.500000 100.745 -22.6469
33.000000 100.662 -23.7724
33.500000 100.543 -24.1602
34.000000 100.466 -24.0306
34.500000 100.450 -23.8541
35.000000 100.467 -24.0186
35.500000 100.461 -24.6870
36.000000 100.369 -25.6776
36.500000 100.176 -26.4698
37.000000 99.952 -26.5883
37.500000 99.822 -26.1594
38.200001 99.870 -26.1367
38.700001 99.931 -27.2298
39.500000 99.804 -29.7930
40.000000 99.605 -30.7886
40.599998 99.394 -30.8635
41.200001 99.332 -30.2328
41.799999 99.415 -29.7974
42.500000 99.548 -30.1372
43.099998 99.572 -30.8015
43.700001 99.508 -31.1782
44.400002 99.425 -31.0591
45.000000 99.385 -30.9244
45.500000 99.348 -30.9818
46.200001 99.270 -31.2108
46.799999 99.207 -31.5939
47.500000 99.111 -32.5127
48.200001 98.928 -33.5371
48.700001 98.776 -33.8977
49.400002 98.650 -33.9327
50.000000 98.647 -34.0580
50.799999 98.678 -34.7513
51.500000 98.668 -35.3850
52.200001 98.648 -35.5933
53.000000 98.679 -35.5378
53.799999 98.713 -35.7916
54.500000 98.666 -36.0461
55.200001 98.605 -36.0863
56.000000 98.551 -36.6282
57.000000 98.325 -37.8296
58.000000 98.145 -39.1252
59.000000 97.790 -42.2690
60.000000 97.048 -41.9388
60.799999 97.006 -38.9293
61.500000 97.306 -38.4016
62.200001 97.484 -39.3443
63.000000 97.547 -40.0414
64.000000 97.636 -40.3583
65.000000 97.647 -40.5670
66.000000 97.606 -40.5922
67.000000 97.498 -40.8069
68.000000 97.341 -41.0045
69.000000 97.192 -41.2874
70.000000 97.065 -41.7101
71.000000 96.969 -42.1982
72.000000 96.904 -42.6456
73.000000 96.857 -43.0515
74.000000 96.791 -43.3389
75.000000 96.708 -43.3553
76.199997 96.601 -43.3270
77.500000 96.446 -43.3042
78.800003 96.296 -43.3102
80.000000 96.179 -43.4729
81.199997 96.073 -43.8010
82.500000 95.954 -44.0294
83.800003 95.854 -44.0576
85.000000 95.776 -44.0861
86.199997 95.689 -44.1872
87.500000 95.583 -44.3967
88.500000 95.481 -44.6206
90.000000 95.313 -44.8304
91.199997 95.188 -44.9105
92.500000 95.084 -44.9833
93.800003 94.978 -45.2250
95.000000 94.865 -45.2108
96.199997 94.779 -45.0170
97.500000 94.702 -44.8584
98.800003 94.609 -44.8256
100.000000 94.499 -44.7089
101.500000 94.383 -44.5161
103.000000 94.278 -44.4958
104.400002 94.193 -44.5104
106.000000 94.055 -44.6257
107.500000 93.906 -44.2850
109.000000 93.787 -44.1309
110.599998 93.656 -44.2429
112.000000 93.574 -44.2646
113.800003 93.519 -43.9934
115.000000 93.464 -43.4813
117.199997 93.181 -41.3544
118.000000 93.037 -39.9204
120.599998 93.079 -36.2557
122.000000 93.013 -38.6612
124.099998 92.675 -41.4373
125.000000 92.599 -41.9419
126.500000 92.552 -42.2952
128.000000 92.498 -42.1621
131.500000 92.278 -41.1389
132.000000 92.252 -41.0530
134.000000 92.202 -40.8066
136.000000 92.151 -40.5950
138.000000 91.987 -39.9684
140.000000 91.786 -39.0649
143.000000 91.804 -37.9886
145.000000 92.008 -36.9155
147.500000 92.422 -34.4824
150.000000 92.390 -35.5709
152.500000 91.788 -34.6788
155.000000 91.487 -34.6498
157.500000 91.264 -34.7603
160.000000 90.904 -34.8094
162.500000 90.552 -32.6135
165.000000 90.735 -30.9194
167.500000 91.025 -30.7172
170.000000 91.095 -30.8868
172.500000 90.950 -30.2948
175.000000 90.823 -29.3922
177.500000 90.743 -29.1318
180.000000 90.667 -29.1401
182.500000 90.613 -29.0545
185.000000 90.549 -28.9258
187.500000 90.458 -28.6279
190.000000 90.382 -28.2333
192.500000 90.322 -27.8425
195.000000 90.288 -27.3456
197.500000 90.272 -26.8895
200.000000 90.253 -26.4373
203.000000 90.202 -25.8160
206.000000 90.146 -25.1293
209.000000 90.101 -24.4893
212.000000 90.061 -23.9111
214.000000 90.035 -23.5394
218.000000 89.996 -22.8056
220.000000 89.979 -22.4900
224.000000 89.937 -21.9857
227.000000 89.908 -21.4315
230.000000 89.871 -20.8442
233.000000 89.833 -20.4468
236.000000 89.849 -20.0044
240.000000 89.913 -19.2669
243.000000 89.855 -18.8726
247.000000 89.759 -18.3710
250.000000 89.734 -18.0497
254.000000 89.713 -17.5742
258.000000 89.682 -16.9643
262.000000 89.664 -16.4294
265.000000 89.657 -16.1420
269.000000 89.645 -15.6558
272.000000 89.630 -15.1807
276.000000 89.616 -14.6169
280.000000 89.617 -14.0546
285.000000 89.598 -13.4260
290.000000 89.590 -12.9583
295.000000 89.580 -12.5334
300.000000 89.564 -12.3833
304.000000 89.581 -11.6271
307.000000 89.605 -11.1481
311.000000 89.620 -10.7911
315.000000 89.622 -10.5649
320.000000 89.619 -10.3266
325.000000 89.616 -9.8953
330.000000 89.618 -9.5685
335.000000 89.609 -9.2457
340.000000 89.592 -8.8761
345.000000 89.577 -8.5491
350.000000 89.603 -8.2385
355.000000 89.768 -8.0839
360.000000 89.949 -7.9537
365.000000 89.771 -7.4097
370.000000 89.583 -6.9117
375.000000 89.528 -6.5675
382.000000 89.507 -6.1475
387.000000 89.501 -5.8043
395.000000 89.496 -5.3434
400.000000 89.486 -5.1058
406.000000 89.473 -4.7238
412.000000 89.462 -4.2927
418.000000 89.450 -3.9148
425.000000 89.441 -3.5853
431.000000 89.439 -3.2883
437.000000 89.426 -3.0149
444.000000 89.417 -2.6533
450.000000 89.417 -2.3829
455.000000 89.415 -2.0934
462.000000 89.401 -1.6505
468.000000 89.389 -1.1768
475.000000 89.398 -0.1212
482.000000 89.404 0.6107
487.000000 89.379 0.2379
494.000000 89.354 0.0532
500.000000 89.339 0.2976
508.000000 89.321 0.7311
515.000000 89.311 1.1422
522.000000 89.304 1.5333
530.000000 89.294 1.8591
538.000000 89.287 2.0924
545.000000 89.278 2.5092
552.000000 89.265 3.0067
560.000000 89.251 3.4638
570.000000 89.222 4.0132
580.000000 89.205 4.5699
590.000000 89.190 5.0955
600.000000 89.174 5.7327
608.000000 89.165 6.0946
615.000000 89.155 6.3952
622.000000 89.147 6.7390
630.000000 89.141 7.1757
640.000000 89.132 7.7921
650.000000 89.111 8.5554
660.000000 89.085 9.4069
670.000000 89.095 9.7403
680.000000 89.099 10.1616
690.000000 89.094 10.7172
700.000000 89.083 11.2698
710.000000 89.021 11.6033
720.000000 88.950 11.8180
730.000000 89.016 12.7572
740.000000 89.078 13.5840
750.000000 89.092 14.2171
762.000000 89.096 15.0153
775.000000 89.094 15.8706
788.000000 89.100 16.6975
800.000000 89.121 17.4304
812.000000 89.146 18.1870
825.000000 89.179 19.1224
838.000000 89.229 20.1570
850.000000 89.240 20.8801
862.000000 89.242 21.5090
875.000000 89.272 22.2768
885.000000 89.296 22.9379
900.000000 89.339 23.9013
912.000000 89.387 24.7061
925.000000 89.435 25.5055
938.000000 89.479 26.2621
950.000000 89.520 26.8992
962.000000 89.570 27.5375
975.000000 89.642 28.3935
988.000000 89.708 29.1667
1000.000000 89.765 29.7987
1015.000000 89.834 30.4806
1030.000000 89.910 31.2851
1044.000000 89.986 32.0916
1060.000000 90.069 32.8910
1075.000000 90.134 33.5916
1090.000000 90.225 34.2366
1106.000000 90.335 34.8862
1120.000000 90.420 35.4357
1138.000000 90.523 36.0623
1150.000000 90.592 36.4877
1172.000000 90.722 37.2217
1180.000000 90.775 37.4472
1206.000000 90.948 38.1231
1220.000000 91.015 38.6603
1241.000000 91.140 39.3077
1250.000000 91.202 39.5148
1265.000000 91.309 39.9127
1280.000000 91.412 40.4330
1315.000000 91.636 41.4371
1320.000000 91.664 41.5652
1340.000000 91.766 42.0891
1360.000000 91.880 42.5992
1380.000000 92.006 43.1220
1400.000000 92.137 43.6517
1430.000000 92.322 44.3408
1450.000000 92.461 44.8090
1475.000000 92.660 45.3954
1500.000000 92.844 45.9276
1525.000000 93.029 46.4708
1550.000000 93.206 47.0489
1575.000000 93.387 47.4665
1600.000000 93.581 47.7829
1625.000000 93.770 48.1059
1650.000000 93.951 48.3961
1675.000000 94.136 48.6720
1700.000000 94.327 48.8358
1725.000000 94.521 48.8967
1750.000000 94.716 48.9359
1775.000000 94.914 48.9961
1800.000000 95.110 48.9546
1825.000000 95.298 48.8141
1850.000000 95.485 48.6409
1875.000000 95.669 48.4008
1900.000000 95.852 48.0886
1925.000000 96.033 47.7218
1950.000000 96.205 47.2861
1975.000000 96.371 46.7818
2000.000000 96.533 46.2738
2030.000000 96.717 45.6483
2060.000000 96.898 44.9209
2090.000000 97.070 44.1395
2120.000000 97.228 43.3152
2140.000000 97.328 42.7493
2180.000000 97.511 41.5540
2200.000000 97.591 40.9197
2240.000000 97.740 39.6451
2270.000000 97.837 38.6965
2300.000000 97.925 37.7022
2330.000000 98.002 36.6870
2360.000000 98.066 35.6752
2400.000000 98.129 34.3163
2430.000000 98.168 33.3415
2470.000000 98.204 32.0688
2500.000000 98.221 31.1079
2540.000000 98.223 29.9085
2580.000000 98.205 28.7880
2620.000000 98.174 27.7252
2650.000000 98.143 26.9867
2690.000000 98.089 26.0703
2720.000000 98.043 25.4391
2760.000000 97.974 24.6860
2800.000000 97.903 24.0769
2850.000000 97.807 23.4550
2900.000000 97.708 22.9445
2950.000000 97.613 22.5476
3000.000000 97.520 22.3444
3040.000000 97.448 22.2343
3070.000000 97.398 22.1666
3110.000000 97.338 22.0913
3150.000000 97.285 22.0912
3200.000000 97.219 22.1731
3250.000000 97.153 22.2841
3300.000000 97.090 22.3552
3350.000000 97.033 22.4709
3400.000000 96.992 22.5690
3450.000000 96.971 22.6559
3500.000000 96.966 22.7058
3550.000000 96.965 22.7091
3600.000000 96.954 22.6548
3650.000000 96.931 22.5606
3700.000000 96.889 22.4196
3750.000000 96.832 22.2355
3820.000000 96.751 21.9056
3870.000000 96.703 21.6360
3950.000000 96.666 21.2432
4000.000000 96.661 21.0060
4060.000000 96.670 20.7036
4120.000000 96.678 20.4167
4180.000000 96.680 20.1844
4250.000000 96.676 20.0015
4310.000000 96.665 19.8789
4370.000000 96.652 19.7654
4440.000000 96.638 19.6063
4500.000000 96.630 19.4548
4550.000000 96.620 19.3081
4620.000000 96.604 19.0406
4680.000000 96.592 18.7219
4750.000000 96.574 18.2427
4820.000000 96.547 17.6516
4870.000000 96.519 17.2058
4940.000000 96.467 16.5605
5000.000000 96.411 15.9548
5080.000000 96.319 15.0481
