* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control. Timing signal peak level -14.9 dBFS, measurement signal peak level -12.4 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Feb 12, 2026 9:19:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0792 ms (-27 mm, -1.07 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset Clock adjustment: 1.9 ppm
* Measurement: XENNS Tea Pro sanc balanced L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 99.466 10.0966
20.299999 99.387 8.9847
20.600000 99.313 8.2649
20.900000 99.281 7.7964
21.200001 99.301 7.3099
21.400000 99.330 6.8574
21.799999 99.359 5.5937
22.000000 99.333 4.8827
22.400000 99.182 3.7744
22.700001 99.020 3.5846
23.000000 98.895 4.0311
23.299999 98.874 4.7926
23.600000 98.972 5.2888
24.000000 99.175 4.7464
24.299999 99.258 3.4257
24.700001 99.159 1.2574
25.000000 98.946 0.0826
25.400000 98.661 -0.2399
25.799999 98.640 0.0437
26.200001 98.921 -1.2542
26.500000 99.149 -4.1371
26.900000 99.163 -10.1360
27.200001 98.808 -15.2488
27.600000 97.751 -20.5988
28.000000 96.201 -20.6168
28.500000 95.025 -9.0204
29.000000 96.221 2.4810
29.500000 97.941 2.1558
30.000000 98.810 -3.6733
30.400000 98.898 -8.0082
30.700001 98.769 -9.8246
31.100000 98.606 -10.0533
31.500000 98.673 -8.8752
32.000000 99.016 -8.0845
32.500000 99.262 -8.9020
33.000000 99.200 -9.8097
33.500000 98.978 -9.2504
34.000000 98.879 -7.5759
34.500000 98.943 -6.6642
35.000000 98.904 -7.3452
35.500000 98.537 -8.2498
36.000000 97.950 -7.1224
36.500000 97.620 -3.4618
37.000000 97.878 -0.3248
37.500000 98.396 -0.7971
38.200001 98.660 -6.0395
38.700001 98.386 -9.7344
39.500000 97.812 -11.5704
40.000000 97.801 -11.1893
40.599998 98.129 -11.9965
41.200001 98.456 -15.1844
41.799999 98.442 -19.6141
42.500000 97.865 -22.7867
43.099998 97.355 -21.1318
43.700001 97.488 -17.8093
44.400002 98.101 -18.1057
45.000000 98.254 -21.1929
45.500000 98.054 -23.2057
46.200001 97.729 -23.5090
46.799999 97.661 -22.8995
47.500000 97.662 -22.5277
48.200001 97.724 -22.0609
48.700001 97.849 -22.1396
49.400002 97.950 -23.3850
50.000000 97.828 -24.5341
50.799999 97.564 -24.6018
51.500000 97.432 -24.0245
52.200001 97.333 -23.5306
53.000000 97.286 -22.8226
53.799999 97.355 -22.7085
54.500000 97.384 -23.2426
55.200001 97.369 -23.6196
56.000000 97.404 -23.7850
57.000000 97.450 -24.6362
58.000000 97.215 -24.5166
59.000000 97.273 -21.0046
60.000000 97.873 -21.4783
60.799999 97.825 -25.2706
61.500000 97.328 -27.0253
62.200001 96.884 -26.4980
63.000000 96.686 -25.8240
64.000000 96.528 -26.4635
65.000000 96.415 -27.3679
66.000000 96.338 -28.5013
67.000000 96.267 -29.3134
68.000000 96.221 -29.7720
69.000000 96.174 -29.8979
70.000000 96.128 -29.8409
71.000000 96.082 -29.8192
72.000000 96.024 -30.0772
73.000000 95.930 -30.4391
74.000000 95.850 -30.6686
75.000000 95.800 -31.0454
76.199997 95.715 -31.5347
77.500000 95.606 -31.7865
78.800003 95.474 -31.9783
80.000000 95.320 -32.0504
81.199997 95.185 -31.9266
82.500000 95.095 -31.9189
83.800003 95.034 -32.0289
85.000000 94.986 -32.1884
86.199997 94.924 -32.2852
87.500000 94.825 -32.5022
88.500000 94.698 -32.5890
90.000000 94.534 -32.3605
91.199997 94.489 -32.4735
92.500000 94.440 -33.4687
93.800003 94.280 -34.2935
95.000000 94.146 -34.2777
96.199997 94.070 -33.8488
97.500000 94.036 -33.5431
98.800003 93.932 -33.4003
100.000000 93.776 -33.0233
101.500000 93.514 -32.0182
103.000000 93.344 -30.5394
104.400002 93.364 -29.7336
106.000000 93.479 -31.1148
107.500000 93.407 -32.9523
109.000000 93.263 -33.3383
110.599998 93.195 -32.5274
112.000000 93.154 -32.0186
113.800003 93.019 -32.6667
115.000000 92.846 -33.2552
117.199997 92.929 -33.5603
118.000000 93.093 -34.2594
120.599998 93.022 -37.2911
122.000000 92.699 -34.8828
124.099998 92.497 -32.0494
125.000000 92.387 -31.6605
126.500000 92.176 -31.1203
128.000000 92.042 -30.3760
131.500000 91.883 -29.2807
132.000000 91.827 -29.2256
134.000000 91.511 -29.2582
136.000000 91.199 -29.0514
138.000000 91.126 -28.8669
140.000000 91.151 -28.4162
143.000000 91.190 -27.3235
145.000000 91.151 -26.8911
147.500000 91.291 -26.4856
150.000000 91.308 -27.1954
152.500000 91.159 -25.4670
155.000000 90.956 -23.3719
157.500000 90.653 -22.3812
160.000000 90.256 -23.0558
162.500000 90.294 -23.2300
165.000000 90.714 -23.3737
167.500000 91.124 -21.5325
170.000000 91.235 -20.2919
172.500000 90.958 -19.6886
175.000000 90.692 -19.4138
177.500000 90.588 -19.3481
180.000000 90.569 -19.1626
182.500000 90.503 -18.9695
185.000000 90.406 -18.5016
187.500000 90.359 -17.9161
190.000000 90.364 -17.3568
192.500000 90.363 -16.7859
195.000000 90.346 -16.2126
197.500000 90.310 -15.8423
200.000000 90.267 -15.3937
203.000000 90.240 -14.9800
206.000000 90.210 -14.6313
209.000000 90.188 -14.2069
212.000000 90.152 -13.7053
214.000000 90.124 -13.3787
218.000000 90.067 -12.8293
220.000000 90.043 -12.5708
224.000000 90.023 -12.0127
227.000000 90.026 -11.4454
230.000000 90.022 -10.8555
233.000000 90.001 -10.2823
236.000000 89.961 -9.5300
240.000000 89.917 -8.3984
243.000000 89.929 -8.3763
247.000000 89.933 -8.5324
250.000000 89.920 -8.1713
254.000000 89.898 -7.5635
258.000000 89.883 -6.9858
262.000000 89.856 -6.4130
265.000000 89.831 -6.2725
269.000000 89.827 -6.0856
272.000000 89.850 -5.5424
276.000000 89.843 -4.6660
280.000000 89.796 -4.1024
285.000000 89.825 -3.6946
290.000000 89.869 -3.1505
295.000000 89.797 -2.7482
300.000000 89.725 -2.6057
304.000000 89.756 -1.9593
307.000000 89.794 -1.5017
311.000000 89.811 -1.0660
315.000000 89.812 -0.6327
320.000000 89.809 -0.1290
325.000000 89.789 0.1606
330.000000 89.784 0.6202
335.000000 89.780 1.2842
340.000000 89.760 1.6889
345.000000 89.761 1.9100
350.000000 89.753 2.3682
355.000000 89.623 3.3051
360.000000 89.476 4.2475
365.000000 89.610 3.9449
370.000000 89.744 3.7810
375.000000 89.751 4.0560
382.000000 89.742 4.6415
387.000000 89.746 5.0361
395.000000 89.752 5.5124
400.000000 89.740 5.7932
406.000000 89.736 6.2830
412.000000 89.726 6.7735
418.000000 89.719 7.2158
425.000000 89.726 7.6893
431.000000 89.729 8.0500
437.000000 89.709 8.4015
444.000000 89.694 8.8832
450.000000 89.694 9.2789
455.000000 89.693 9.6035
462.000000 89.681 10.0327
468.000000 89.684 10.2652
475.000000 89.733 10.0576
482.000000 89.749 10.1394
487.000000 89.701 11.0262
494.000000 89.661 11.9425
500.000000 89.652 12.4653
508.000000 89.632 13.0952
515.000000 89.623 13.5363
522.000000 89.622 13.9351
530.000000 89.627 14.4751
538.000000 89.639 14.9023
545.000000 89.623 15.3171
552.000000 89.601 15.8273
560.000000 89.598 16.3834
570.000000 89.578 17.0873
580.000000 89.556 17.7372
590.000000 89.553 18.4342
600.000000 89.558 19.1245
608.000000 89.543 19.6469
615.000000 89.528 20.0794
622.000000 89.517 20.5076
630.000000 89.508 21.0425
640.000000 89.492 21.7075
650.000000 89.463 22.2546
660.000000 89.438 22.8170
670.000000 89.459 23.7544
680.000000 89.468 24.5128
690.000000 89.461 25.2173
700.000000 89.443 26.0234
710.000000 89.373 26.9807
720.000000 89.291 27.9922
730.000000 89.368 28.6138
740.000000 89.444 29.2827
750.000000 89.463 30.0636
762.000000 89.473 30.9981
775.000000 89.497 31.9794
788.000000 89.519 33.0458
800.000000 89.539 34.0091
812.000000 89.566 34.9466
825.000000 89.612 36.0441
838.000000 89.667 37.1932
850.000000 89.686 37.9096
862.000000 89.698 38.6586
875.000000 89.722 39.6530
885.000000 89.746 40.4437
900.000000 89.788 41.6779
912.000000 89.818 42.5221
925.000000 89.860 43.4603
938.000000 89.907 44.4292
950.000000 89.952 45.2335
962.000000 90.000 46.0927
975.000000 90.053 47.1721
988.000000 90.111 48.1703
1000.000000 90.167 49.0543
1015.000000 90.226 50.1454
1030.000000 90.307 51.1110
1044.000000 90.394 51.9863
1060.000000 90.487 52.9417
1075.000000 90.578 53.6992
1090.000000 90.666 54.6594
1106.000000 90.755 55.7256
1120.000000 90.831 56.5021
1138.000000 90.934 57.4194
1150.000000 91.004 58.0316
1172.000000 91.133 59.1830
1180.000000 91.179 59.6345
1206.000000 91.324 61.0442
1220.000000 91.409 61.4787
1241.000000 91.545 62.2591
1250.000000 91.607 62.5970
1265.000000 91.714 63.2196
1280.000000 91.816 63.9493
1315.000000 91.998 65.4819
1320.000000 92.025 65.6895
1340.000000 92.149 66.5052
1360.000000 92.273 67.3180
1380.000000 92.397 68.1362
1400.000000 92.527 68.9733
1430.000000 92.730 70.3085
1450.000000 92.864 71.0723
1475.000000 93.025 71.8677
1500.000000 93.193 72.7666
1525.000000 93.361 73.6975
1550.000000 93.542 74.6387
1575.000000 93.711 75.4797
1600.000000 93.872 76.2476
1625.000000 94.042 77.0244
1650.000000 94.218 77.7532
1675.000000 94.396 78.4705
1700.000000 94.576 79.0768
1725.000000 94.759 79.6546
1750.000000 94.939 80.1881
1775.000000 95.119 80.6250
1800.000000 95.302 81.0154
1825.000000 95.479 81.3149
1850.000000 95.654 81.5650
1875.000000 95.828 81.8099
1900.000000 96.001 82.0233
1925.000000 96.170 82.1562
1950.000000 96.333 82.1948
1975.000000 96.491 82.2167
2000.000000 96.645 82.1909
2030.000000 96.824 82.0591
2060.000000 96.993 81.9051
2090.000000 97.154 81.7144
2120.000000 97.298 81.4755
2140.000000 97.386 81.2903
2180.000000 97.557 80.8640
2200.000000 97.639 80.6303
2240.000000 97.785 80.1145
2270.000000 97.881 79.6963
2300.000000 97.958 79.2970
2330.000000 98.018 78.9143
2360.000000 98.070 78.5281
2400.000000 98.127 78.0329
2430.000000 98.154 77.6314
2470.000000 98.173 77.1560
2500.000000 98.177 76.8642
2540.000000 98.178 76.5641
2580.000000 98.174 76.3161
2620.000000 98.159 76.0635
2650.000000 98.139 75.8764
2690.000000 98.097 75.6652
2720.000000 98.054 75.5101
2760.000000 97.982 75.3530
2800.000000 97.901 75.3396
2850.000000 97.786 75.5369
2900.000000 97.663 75.9132
2950.000000 97.543 76.3961
3000.000000 97.423 77.0758
3040.000000 97.339 77.6956
3070.000000 97.278 78.1981
3110.000000 97.199 78.9193
3150.000000 97.121 79.6850
3200.000000 97.023 80.6848
3250.000000 96.926 81.7419
3300.000000 96.828 82.8762
3350.000000 96.741 84.0546
3400.000000 96.675 85.2697
3450.000000 96.636 86.4748
3500.000000 96.620 87.6370
3550.000000 96.612 88.7169
3600.000000 96.599 89.6966
3650.000000 96.572 90.6077
3700.000000 96.522 91.4590
3750.000000 96.455 92.2450
3820.000000 96.352 93.2585
3870.000000 96.286 93.9597
3950.000000 96.218 95.1015
4000.000000 96.190 95.8224
4060.000000 96.164 96.7367
4120.000000 96.138 97.7239
4180.000000 96.111 98.7848
4250.000000 96.075 100.1246
4310.000000 96.033 101.3062
4370.000000 95.994 102.5108
4440.000000 95.955 103.9349
4500.000000 95.921 105.1555
4550.000000 95.895 106.1223
4620.000000 95.861 107.4479
4680.000000 95.835 108.5708
4750.000000 95.807 109.7719
4820.000000 95.777 110.8819
4870.000000 95.750 111.6255
4940.000000 95.703 112.5329
5000.000000 95.650 113.2284
5080.000000 95.552 114.1165
5150.000000 95.446 114.9058
5220.000000 95.321 115.7733
5300.000000 95.157 116.9048
