* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control. Timing signal peak level -16.9 dBFS, measurement signal peak level -12.7 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Feb 12, 2026 9:20:05 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0230 ms (-7.9 mm, -0.31 in) using estimated IR delay relative to Acoustic reference played from  R with no timing offset Clock adjustment: 1.6 ppm
* Measurement: XENNS Tea Pro sanc balanced R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 98.279 9.1568
20.299999 97.838 12.6805
20.600000 97.923 16.9249
20.900000 98.431 19.3007
21.200001 99.019 18.8629
21.400000 99.321 17.3145
21.799999 99.562 12.6920
22.000000 99.500 10.2518
22.400000 99.108 6.3145
22.700001 98.719 4.6926
23.000000 98.385 4.2001
23.299999 98.191 4.4033
23.600000 98.151 4.7441
24.000000 98.283 4.7250
24.299999 98.470 4.1284
24.700001 98.771 2.4214
25.000000 98.977 0.4747
25.400000 99.112 -2.6117
25.799999 99.009 -5.1978
26.200001 98.751 -5.7589
26.500000 98.653 -4.3752
26.900000 98.961 -1.3981
27.200001 99.527 -0.1692
27.600000 100.382 -1.5408
28.000000 100.935 -5.7936
28.500000 100.871 -12.1599
29.000000 100.048 -15.5936
29.500000 99.135 -13.1442
30.000000 98.995 -7.8121
30.400000 99.325 -5.8491
30.700001 99.528 -6.2781
31.100000 99.519 -8.1510
31.500000 99.172 -9.7878
32.000000 98.525 -9.5122
32.500000 98.108 -6.6694
33.000000 98.186 -3.8853
33.500000 98.564 -3.7167
34.000000 98.872 -6.4813
34.500000 98.830 -10.7483
35.000000 98.349 -14.0434
35.500000 97.685 -13.6990
36.000000 97.483 -9.5176
36.500000 98.059 -5.8552
37.000000 98.883 -6.0670
37.500000 99.401 -8.9650
38.200001 99.510 -13.0373
38.700001 99.416 -14.6945
39.500000 99.166 -16.7713
40.000000 98.769 -17.7900
40.599998 98.042 -16.7749
41.200001 97.505 -12.4026
41.799999 97.584 -7.8446
42.500000 98.065 -7.1786
43.099998 98.252 -10.1053
43.700001 98.089 -13.8381
44.400002 97.719 -17.0505
45.000000 97.558 -19.1575
45.500000 97.539 -21.4618
46.200001 97.397 -25.6158
46.799999 97.021 -28.3883
47.500000 96.485 -28.3565
48.200001 96.327 -24.9667
48.700001 96.571 -22.5390
49.400002 97.088 -21.6490
50.000000 97.303 -22.6885
50.799999 97.177 -22.8612
51.500000 97.210 -20.9380
52.200001 97.566 -20.5681
53.000000 97.742 -23.4171
53.799999 97.441 -26.2951
54.500000 97.050 -27.2148
55.200001 96.691 -26.5935
56.000000 96.544 -23.9231
57.000000 96.962 -22.1562
58.000000 97.033 -23.1003
59.000000 97.105 -20.2034
60.000000 97.786 -20.7051
60.799999 97.813 -24.7504
61.500000 97.396 -27.0708
62.200001 96.973 -27.5176
63.000000 96.673 -27.4895
64.000000 96.443 -27.7643
65.000000 96.337 -28.4503
66.000000 96.244 -29.1619
67.000000 96.233 -29.6066
68.000000 96.217 -30.2529
69.000000 96.149 -30.6113
70.000000 96.055 -30.8156
71.000000 95.943 -30.8403
72.000000 95.859 -31.0260
73.000000 95.764 -31.4939
74.000000 95.673 -32.0216
75.000000 95.584 -32.5397
76.199997 95.496 -32.8957
77.500000 95.426 -33.1326
78.800003 95.363 -33.3395
80.000000 95.261 -33.7753
81.199997 95.103 -33.9494
82.500000 94.964 -33.9769
83.800003 94.846 -34.0549
85.000000 94.784 -34.2172
86.199997 94.705 -34.6185
87.500000 94.609 -34.6359
88.500000 94.569 -34.7076
90.000000 94.448 -35.0598
91.199997 94.318 -35.1740
92.500000 94.174 -35.1416
93.800003 94.075 -35.0854
95.000000 94.011 -35.1754
96.199997 93.959 -35.2551
97.500000 93.927 -35.2120
98.800003 93.905 -35.3796
100.000000 93.837 -35.6624
101.500000 93.710 -35.9639
103.000000 93.576 -36.3638
104.400002 93.407 -36.5103
106.000000 93.269 -35.8372
107.500000 93.177 -35.1665
109.000000 93.028 -34.8452
110.599998 92.847 -34.7269
112.000000 92.748 -35.1934
113.800003 92.742 -35.8293
115.000000 92.776 -35.6232
117.199997 92.819 -31.9135
118.000000 92.896 -29.3356
120.599998 93.368 -26.9449
122.000000 92.947 -29.7746
124.099998 92.128 -32.5348
125.000000 91.931 -33.2550
126.500000 91.840 -33.8970
128.000000 91.840 -33.9331
131.500000 91.641 -31.9265
132.000000 91.605 -31.7474
134.000000 91.490 -31.8050
136.000000 91.455 -32.1942
138.000000 91.467 -32.1291
140.000000 91.439 -31.6752
143.000000 91.203 -31.0596
145.000000 91.015 -29.6330
147.500000 90.879 -28.4332
150.000000 90.656 -27.7366
152.500000 90.613 -27.5280
155.000000 90.609 -27.4902
157.500000 90.463 -26.5543
160.000000 90.291 -24.6139
162.500000 90.398 -24.1778
165.000000 90.500 -24.9913
167.500000 90.585 -24.9316
170.000000 90.619 -24.6069
172.500000 90.604 -24.1677
175.000000 90.556 -23.5031
177.500000 90.488 -22.8444
180.000000 90.393 -22.5884
182.500000 90.299 -22.5032
185.000000 90.229 -22.3464
187.500000 90.170 -21.9839
190.000000 90.121 -21.5696
192.500000 90.084 -21.2630
195.000000 90.052 -21.0334
197.500000 90.031 -20.7653
200.000000 90.007 -20.5110
203.000000 89.947 -20.0463
206.000000 89.876 -19.3926
209.000000 89.814 -18.7767
212.000000 89.784 -18.1704
214.000000 89.780 -17.7914
218.000000 89.765 -17.2385
220.000000 89.744 -17.0168
224.000000 89.692 -16.3379
227.000000 89.658 -15.8201
230.000000 89.647 -15.4952
233.000000 89.642 -15.1837
236.000000 89.578 -14.5820
240.000000 89.478 -13.7362
243.000000 89.520 -13.6741
247.000000 89.599 -13.4022
250.000000 89.611 -12.7744
254.000000 89.588 -12.3725
258.000000 89.544 -12.2679
262.000000 89.522 -11.7559
265.000000 89.552 -11.4302
269.000000 89.584 -11.4149
272.000000 89.552 -10.9308
276.000000 89.558 -10.1418
280.000000 89.597 -9.9401
285.000000 89.595 -9.5828
290.000000 89.549 -8.7575
295.000000 89.576 -8.6470
300.000000 89.608 -8.2426
304.000000 89.591 -7.8419
307.000000 89.564 -7.5822
311.000000 89.554 -7.3929
315.000000 89.553 -7.1827
320.000000 89.541 -6.7251
325.000000 89.505 -6.5455
330.000000 89.478 -6.2816
335.000000 89.489 -6.2062
340.000000 89.490 -5.9950
345.000000 89.464 -5.3236
350.000000 89.437 -4.9137
355.000000 89.301 -4.3687
360.000000 89.145 -3.9175
365.000000 89.306 -3.9315
370.000000 89.442 -3.8633
375.000000 89.466 -3.5782
382.000000 89.462 -3.1312
387.000000 89.461 -2.8224
395.000000 89.467 -2.4279
400.000000 89.459 -2.2340
406.000000 89.442 -1.9727
412.000000 89.423 -1.7441
418.000000 89.414 -1.4341
425.000000 89.398 -0.9777
431.000000 89.388 -0.6687
437.000000 89.391 -0.3782
444.000000 89.392 -0.0524
450.000000 89.394 0.1454
455.000000 89.397 0.2815
462.000000 89.388 0.5469
468.000000 89.403 0.7879
475.000000 89.476 0.5695
482.000000 89.488 0.5276
487.000000 89.412 1.2468
494.000000 89.341 1.9376
500.000000 89.335 2.3154
508.000000 89.326 2.7429
515.000000 89.306 3.0389
522.000000 89.303 3.3425
530.000000 89.306 3.7021
538.000000 89.305 3.9633
545.000000 89.289 4.2643
552.000000 89.266 4.5981
560.000000 89.242 4.9608
570.000000 89.239 5.4548
580.000000 89.241 5.9008
590.000000 89.233 6.3567
600.000000 89.221 6.8293
608.000000 89.196 7.1747
615.000000 89.180 7.5029
622.000000 89.174 7.8408
630.000000 89.167 8.2364
640.000000 89.154 8.7010
650.000000 89.133 9.1066
660.000000 89.108 9.4139
670.000000 89.121 10.2407
680.000000 89.127 10.8991
690.000000 89.127 11.4343
700.000000 89.114 11.9881
710.000000 89.040 12.5541
720.000000 88.958 13.1979
730.000000 89.041 13.6459
740.000000 89.107 14.1051
750.000000 89.121 14.6984
762.000000 89.138 15.4359
775.000000 89.162 16.2028
788.000000 89.163 16.9827
800.000000 89.162 17.7257
812.000000 89.176 18.4670
825.000000 89.211 19.2938
838.000000 89.268 20.2193
850.000000 89.268 20.9004
862.000000 89.266 21.5775
875.000000 89.297 22.3739
885.000000 89.331 23.0107
900.000000 89.385 23.9951
912.000000 89.421 24.6979
925.000000 89.461 25.4144
938.000000 89.502 26.0862
950.000000 89.550 26.6200
962.000000 89.609 27.1984
975.000000 89.670 28.0820
988.000000 89.725 28.8642
1000.000000 89.778 29.5283
1015.000000 89.839 30.4011
1030.000000 89.919 31.1510
1044.000000 89.998 31.7289
1060.000000 90.082 32.3028
1075.000000 90.164 32.7693
1090.000000 90.255 33.4656
1106.000000 90.346 34.2187
1120.000000 90.417 34.7794
1138.000000 90.519 35.4385
1150.000000 90.594 35.8347
1172.000000 90.736 36.5743
1180.000000 90.789 36.8989
1206.000000 90.953 37.8242
1220.000000 91.023 38.0099
1241.000000 91.144 38.4507
1250.000000 91.200 38.6312
1265.000000 91.304 38.9767
1280.000000 91.415 39.4161
1315.000000 91.630 40.4615
1320.000000 91.659 40.5909
1340.000000 91.783 40.9536
1360.000000 91.908 41.3378
1380.000000 92.041 41.7751
1400.000000 92.185 42.2186
1430.000000 92.420 42.8970
1450.000000 92.563 43.2946
1475.000000 92.717 43.7548
1500.000000 92.883 44.1688
1525.000000 93.066 44.6041
1550.000000 93.260 44.9571
1575.000000 93.437 45.3101
1600.000000 93.611 45.6683
1625.000000 93.798 45.9510
1650.000000 93.985 46.1415
1675.000000 94.177 46.2875
1700.000000 94.365 46.3843
1725.000000 94.555 46.4126
1750.000000 94.744 46.4097
1775.000000 94.930 46.3476
1800.000000 95.118 46.1860
1825.000000 95.301 46.0074
1850.000000 95.482 45.7696
1875.000000 95.665 45.4483
1900.000000 95.849 45.0560
1925.000000 96.026 44.6325
1950.000000 96.197 44.1727
1975.000000 96.364 43.6406
2000.000000 96.519 43.0507
2030.000000 96.695 42.3138
2060.000000 96.864 41.4956
2090.000000 97.024 40.6275
2120.000000 97.177 39.7273
2140.000000 97.274 39.1079
2180.000000 97.445 37.8159
2200.000000 97.518 37.1425
2240.000000 97.653 35.7686
2270.000000 97.739 34.7325
2300.000000 97.820 33.6873
2330.000000 97.891 32.6350
2360.000000 97.944 31.5869
2400.000000 97.994 30.1911
2430.000000 98.020 29.2157
2470.000000 98.040 27.9785
2500.000000 98.045 27.0808
2540.000000 98.040 25.9225
2580.000000 98.024 24.8098
2620.000000 98.004 23.7135
2650.000000 97.982 22.8995
2690.000000 97.938 21.8158
2720.000000 97.894 21.0640
2760.000000 97.821 20.1679
2800.000000 97.731 19.3625
2850.000000 97.604 18.4854
2900.000000 97.471 17.7991
2950.000000 97.338 17.3383
3000.000000 97.203 17.0483
3040.000000 97.107 16.9990
3070.000000 97.042 17.0145
3110.000000 96.963 17.0797
3150.000000 96.890 17.1726
3200.000000 96.811 17.3042
3250.000000 96.743 17.4245
3300.000000 96.673 17.5768
3350.000000 96.611 17.7068
3400.000000 96.561 17.8019
3450.000000 96.522 17.8760
3500.000000 96.500 17.9313
3550.000000 96.482 17.9817
3600.000000 96.457 18.0148
3650.000000 96.422 17.9985
3700.000000 96.371 17.9551
3750.000000 96.311 17.8928
3820.000000 96.226 17.7764
3870.000000 96.182 17.6506
3950.000000 96.160 17.3663
4000.000000 96.167 17.1334
4060.000000 96.190 16.8757
4120.000000 96.216 16.6254
4180.000000 96.235 16.3627
4250.000000 96.249 16.0695
4310.000000 96.250 15.8468
4370.000000 96.245 15.6118
4440.000000 96.227 15.2877
4500.000000 96.201 14.9979
4550.000000 96.175 14.7821
4620.000000 96.138 14.4213
4680.000000 96.104 14.0372
4750.000000 96.056 13.5553
4820.000000 96.001 13.0153
4870.000000 95.959 12.6020
4940.000000 95.889 12.0182
5000.000000 95.815 11.4811
5080.000000 95.694 10.7325
5150.000000 95.571 10.1385
