* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control. Timing signal peak level -15.0 dBFS, measurement signal peak level -12.0 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Feb 12, 2026 9:16:26 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0702 ms (-24 mm, -0.95 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset Clock adjustment: 11.0 ppm
* Measurement: XENNS Tea Pro white L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 101.351 -3.3242
20.299999 101.412 -4.6643
20.600000 101.460 -6.0391
20.900000 101.487 -7.3972
21.200001 101.484 -8.6580
21.400000 101.463 -9.3896
21.799999 101.380 -10.4150
22.000000 101.327 -10.6307
22.400000 101.239 -10.3790
22.700001 101.237 -9.7247
23.000000 101.315 -9.0035
23.299999 101.457 -8.5967
23.600000 101.605 -8.7467
24.000000 101.686 -9.6924
24.299999 101.600 -10.4976
24.700001 101.308 -10.7891
25.000000 101.055 -10.0577
25.400000 100.857 -8.3137
25.799999 100.852 -7.3135
26.200001 100.784 -8.1782
26.500000 100.484 -9.5447
26.900000 99.611 -10.1243
27.200001 98.724 -7.4425
27.600000 98.013 2.1149
28.000000 98.711 12.3779
28.500000 100.560 14.2169
29.000000 101.751 6.3396
29.500000 101.847 -4.3250
30.000000 101.079 -12.8343
30.400000 100.260 -16.0533
30.700001 99.825 -16.4867
31.100000 99.670 -16.2725
31.500000 99.820 -17.1215
32.000000 99.954 -19.7225
32.500000 99.893 -21.8509
33.000000 99.896 -22.4044
33.500000 100.118 -22.6390
34.000000 100.363 -23.6891
34.500000 100.436 -24.9449
35.000000 100.397 -25.3909
35.500000 100.404 -25.1579
36.000000 100.469 -25.1677
36.500000 100.471 -25.7579
37.000000 100.345 -26.4319
37.500000 100.137 -26.6097
38.200001 99.876 -25.7802
38.700001 99.820 -24.8132
39.500000 100.028 -24.4893
40.000000 100.186 -25.8765
40.599998 100.158 -28.3888
41.200001 99.891 -29.8704
41.799999 99.687 -29.3855
42.500000 99.815 -28.5522
43.099998 99.981 -29.4324
43.700001 99.927 -30.9113
44.400002 99.669 -31.3830
45.000000 99.531 -30.7858
45.500000 99.504 -30.5063
46.200001 99.433 -30.8921
46.799999 99.293 -31.2480
47.500000 99.168 -31.3882
48.200001 99.107 -31.9416
48.700001 99.035 -32.5403
49.400002 98.906 -32.9144
50.000000 98.886 -32.7532
50.799999 99.008 -33.1242
51.500000 99.046 -34.2891
52.200001 98.923 -35.1632
53.000000 98.737 -35.0509
53.799999 98.613 -34.6259
54.500000 98.485 -34.4482
55.200001 98.343 -34.1988
56.000000 98.246 -34.2116
57.000000 98.165 -35.4129
58.000000 98.095 -38.2036
59.000000 97.700 -42.2672
60.000000 96.974 -41.9237
60.799999 96.987 -38.6390
61.500000 97.352 -37.8541
62.200001 97.583 -38.7580
63.000000 97.634 -39.5566
64.000000 97.637 -39.6195
65.000000 97.579 -39.3988
66.000000 97.469 -39.0020
67.000000 97.345 -38.6899
68.000000 97.233 -38.7571
69.000000 97.108 -39.2217
70.000000 96.989 -39.7703
71.000000 96.888 -40.3416
72.000000 96.799 -40.7403
73.000000 96.732 -40.9533
74.000000 96.669 -41.0587
75.000000 96.599 -41.1262
76.199997 96.487 -41.2623
77.500000 96.338 -41.3942
78.800003 96.203 -41.5865
80.000000 96.089 -41.8627
81.199997 95.990 -42.0826
82.500000 95.893 -42.2454
83.800003 95.793 -42.3274
85.000000 95.687 -42.3832
86.199997 95.570 -42.3192
87.500000 95.469 -42.2268
88.500000 95.397 -42.3107
90.000000 95.272 -42.3732
91.199997 95.185 -42.3624
92.500000 95.084 -42.4236
93.800003 94.974 -42.4648
95.000000 94.870 -42.5079
96.199997 94.768 -42.5466
97.500000 94.655 -42.5463
98.800003 94.548 -42.4148
100.000000 94.459 -42.2530
101.500000 94.349 -42.0444
103.000000 94.251 -41.8680
104.400002 94.161 -41.8005
106.000000 94.046 -41.7263
107.500000 93.917 -41.5453
109.000000 93.784 -41.3367
110.599998 93.645 -41.2443
112.000000 93.554 -41.2083
113.800003 93.485 -41.1209
115.000000 93.442 -40.7910
117.199997 93.309 -39.0665
118.000000 93.261 -37.9630
120.599998 93.321 -36.3722
122.000000 93.135 -37.7039
124.099998 92.769 -38.6552
125.000000 92.681 -38.8067
126.500000 92.606 -38.9151
128.000000 92.551 -38.8143
131.500000 92.370 -37.9640
132.000000 92.340 -37.8876
134.000000 92.218 -37.5870
136.000000 92.116 -37.0393
138.000000 92.024 -36.2876
140.000000 91.894 -35.6301
143.000000 91.667 -35.0408
145.000000 91.524 -34.9353
147.500000 91.392 -34.4248
150.000000 91.335 -33.7135
152.500000 91.256 -33.4139
155.000000 91.093 -32.8699
157.500000 90.956 -32.4971
160.000000 90.834 -32.9395
162.500000 90.745 -32.1310
165.000000 90.804 -30.3070
167.500000 90.780 -28.5604
170.000000 90.669 -26.8810
172.500000 90.582 -26.1054
175.000000 90.523 -25.5004
177.500000 90.481 -24.5470
180.000000 90.469 -23.3910
182.500000 90.515 -22.6495
185.000000 90.608 -22.2833
187.500000 90.701 -21.9390
190.000000 90.760 -21.7094
192.500000 90.748 -21.6678
195.000000 90.712 -21.6357
197.500000 90.636 -21.6965
200.000000 90.522 -21.4016
203.000000 90.451 -20.8224
206.000000 90.441 -20.5094
209.000000 90.425 -20.1951
212.000000 90.389 -19.7307
214.000000 90.366 -19.3438
218.000000 90.334 -18.6652
220.000000 90.306 -18.3546
224.000000 90.237 -17.5811
227.000000 90.201 -17.0744
230.000000 90.178 -16.6266
233.000000 90.183 -16.1218
236.000000 90.220 -15.5889
240.000000 90.248 -14.9165
243.000000 90.186 -14.6105
247.000000 90.100 -14.1238
250.000000 90.083 -13.5848
254.000000 90.062 -12.7791
258.000000 90.045 -12.3229
262.000000 90.020 -11.9596
265.000000 89.988 -11.4542
269.000000 89.969 -10.8359
272.000000 89.971 -10.5951
276.000000 89.978 -10.2853
280.000000 89.972 -9.8522
285.000000 89.967 -9.0648
290.000000 89.965 -8.4417
295.000000 89.932 -8.2135
300.000000 89.901 -8.3625
304.000000 89.894 -7.6624
307.000000 89.890 -7.1302
311.000000 89.866 -6.7367
315.000000 89.848 -6.2947
320.000000 89.865 -5.7946
325.000000 89.874 -5.2336
330.000000 89.871 -4.8098
335.000000 89.891 -4.6000
340.000000 89.913 -4.2560
345.000000 89.915 -3.7159
350.000000 89.932 -3.3036
355.000000 90.051 -3.5748
360.000000 90.171 -3.9871
365.000000 90.020 -2.7935
370.000000 89.878 -1.7200
375.000000 89.842 -1.1361
382.000000 89.837 -0.5084
387.000000 89.833 -0.0767
395.000000 89.811 0.3746
400.000000 89.813 0.6963
406.000000 89.821 1.1371
412.000000 89.824 1.5949
418.000000 89.830 2.0501
425.000000 89.821 2.4745
431.000000 89.819 2.7342
437.000000 89.813 3.0910
444.000000 89.804 3.4774
450.000000 89.790 3.8112
455.000000 89.783 4.1261
462.000000 89.778 4.5975
468.000000 89.794 5.0614
475.000000 89.888 5.9324
482.000000 89.916 6.5750
487.000000 89.828 6.5769
494.000000 89.743 6.7340
500.000000 89.719 7.0484
508.000000 89.697 7.5872
515.000000 89.686 8.0168
522.000000 89.683 8.4421
530.000000 89.672 8.9323
538.000000 89.646 9.4028
545.000000 89.641 9.8914
552.000000 89.636 10.4197
560.000000 89.622 11.0212
570.000000 89.623 11.6146
580.000000 89.624 12.2228
590.000000 89.619 12.8877
600.000000 89.620 13.5980
608.000000 89.605 14.0824
615.000000 89.593 14.4775
622.000000 89.587 14.9114
630.000000 89.582 15.4412
640.000000 89.569 16.0876
650.000000 89.570 16.8135
660.000000 89.586 17.5854
670.000000 89.547 18.2286
680.000000 89.522 18.9041
690.000000 89.517 19.6078
700.000000 89.510 20.4273
710.000000 89.502 21.6640
720.000000 89.490 23.0682
730.000000 89.494 23.1825
740.000000 89.509 23.4564
750.000000 89.521 24.1324
762.000000 89.532 25.0839
775.000000 89.551 26.1417
788.000000 89.564 27.1428
800.000000 89.578 28.0150
812.000000 89.605 28.9177
825.000000 89.643 29.7943
838.000000 89.675 30.5054
850.000000 89.708 31.5098
862.000000 89.752 32.5164
875.000000 89.797 33.4348
885.000000 89.824 34.2057
900.000000 89.863 35.3836
912.000000 89.896 36.1486
925.000000 89.942 37.0648
938.000000 89.992 38.0615
950.000000 90.046 39.0430
962.000000 90.102 39.9808
975.000000 90.152 40.7760
988.000000 90.200 41.5852
1000.000000 90.256 42.3807
1015.000000 90.337 43.4681
1030.000000 90.411 44.3860
1044.000000 90.481 45.1189
1060.000000 90.579 46.0244
1075.000000 90.687 46.8024
1090.000000 90.769 47.6229
1106.000000 90.844 48.5443
1120.000000 90.918 49.2906
1138.000000 91.019 50.1731
1150.000000 91.083 50.7454
1172.000000 91.208 51.8242
1180.000000 91.260 52.2473
1206.000000 91.425 53.5287
1220.000000 91.501 53.9431
1241.000000 91.637 54.7263
1250.000000 91.703 55.0999
1265.000000 91.807 55.6939
1280.000000 91.897 56.2523
1315.000000 92.098 57.7170
1320.000000 92.125 57.9090
1340.000000 92.230 58.6012
1360.000000 92.343 59.3099
1380.000000 92.464 60.0305
1400.000000 92.589 60.7689
1430.000000 92.768 61.7625
1450.000000 92.901 62.4781
1475.000000 93.077 63.4601
1500.000000 93.245 64.3307
1525.000000 93.415 65.1937
1550.000000 93.582 66.0895
1575.000000 93.754 66.8294
1600.000000 93.933 67.4727
1625.000000 94.112 68.1625
1650.000000 94.285 68.8373
1675.000000 94.462 69.4704
1700.000000 94.638 69.9919
1725.000000 94.808 70.4376
1750.000000 94.987 70.8786
1775.000000 95.177 71.2618
1800.000000 95.363 71.5372
1825.000000 95.543 71.7965
1850.000000 95.723 72.0060
1875.000000 95.899 72.1596
1900.000000 96.069 72.2533
1925.000000 96.237 72.2900
1950.000000 96.404 72.3163
1975.000000 96.565 72.2768
2000.000000 96.722 72.1477
2030.000000 96.905 71.9384
2060.000000 97.072 71.7033
2090.000000 97.225 71.4299
2120.000000 97.371 71.0950
2140.000000 97.462 70.8461
2180.000000 97.637 70.3040
2200.000000 97.723 70.0169
2240.000000 97.872 69.3862
2270.000000 97.964 68.8669
2300.000000 98.046 68.3559
2330.000000 98.118 67.8469
2360.000000 98.178 67.3235
2400.000000 98.241 66.6166
2430.000000 98.274 66.1156
2470.000000 98.301 65.4709
2500.000000 98.311 65.0121
2540.000000 98.304 64.4494
2580.000000 98.277 63.9632
2620.000000 98.237 63.5389
2650.000000 98.198 63.2766
2690.000000 98.133 63.0100
2720.000000 98.080 62.8920
2760.000000 98.005 62.8176
2800.000000 97.929 62.8001
2850.000000 97.823 62.9210
2900.000000 97.710 63.2136
2950.000000 97.599 63.6578
3000.000000 97.496 64.2039
3040.000000 97.418 64.7433
3070.000000 97.364 65.1858
3110.000000 97.299 65.8187
3150.000000 97.232 66.5033
3200.000000 97.147 67.4063
3250.000000 97.063 68.3275
3300.000000 96.986 69.2673
3350.000000 96.913 70.2359
3400.000000 96.860 71.1652
3450.000000 96.826 72.0497
3500.000000 96.806 72.9329
3550.000000 96.785 73.7906
3600.000000 96.752 74.6097
3650.000000 96.705 75.4058
3700.000000 96.639 76.1623
3750.000000 96.561 76.9194
3820.000000 96.460 77.9900
3870.000000 96.409 78.7018
3950.000000 96.372 79.7008
4000.000000 96.365 80.2886
4060.000000 96.362 80.9686
4120.000000 96.349 81.6647
4180.000000 96.328 82.4479
4250.000000 96.291 83.4732
4310.000000 96.245 84.4304
4370.000000 96.193 85.4602
4440.000000 96.128 86.7134
4500.000000 96.075 87.8121
4550.000000 96.040 88.7653
4620.000000 96.007 90.0977
4680.000000 95.984 91.1906
4750.000000 95.967 92.3549
4820.000000 95.957 93.3769
4870.000000 95.942 94.0137
4940.000000 95.907 94.8241
5000.000000 95.860 95.4424
5080.000000 95.775 96.2030
5150.000000 95.687 96.9158
5220.000000 95.584 97.7050
