* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control. Timing signal peak level -13.5 dBFS, measurement signal peak level -9.1 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Feb 12, 2026 9:17:17 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0254 ms (-8.7 mm, -0.34 in) using estimated IR delay relative to Acoustic reference played from  R with no timing offset Clock adjustment: 1.8 ppm
* Measurement: XENNS Tea Pro white R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 102.038 -5.2380
20.299999 101.939 -6.3896
20.600000 101.808 -6.9604
20.900000 101.720 -6.9915
21.200001 101.719 -6.8597
21.400000 101.758 -6.9106
21.799999 101.845 -7.6129
22.000000 101.852 -8.1946
22.400000 101.752 -9.3027
22.700001 101.613 -9.6816
23.000000 101.489 -9.5824
23.299999 101.432 -9.2870
23.600000 101.436 -9.2188
24.000000 101.425 -9.8281
24.299999 101.323 -10.5494
24.700001 101.055 -11.0193
25.000000 100.854 -10.6609
25.400000 100.770 -9.8630
25.799999 100.896 -10.4228
26.200001 100.933 -13.3738
26.500000 100.681 -16.6104
26.900000 99.789 -20.1929
27.200001 98.738 -20.1079
27.600000 97.455 -12.7253
28.000000 97.597 -0.0999
28.500000 99.510 6.3336
29.000000 101.104 1.0122
29.500000 101.651 -8.0848
30.000000 101.369 -15.6772
30.400000 100.900 -18.8376
30.700001 100.628 -19.5158
31.100000 100.516 -19.3412
31.500000 100.619 -19.3752
32.000000 100.763 -20.3188
32.500000 100.789 -21.3306
33.000000 100.783 -21.7880
33.500000 100.801 -22.1374
34.000000 100.752 -22.7406
34.500000 100.554 -23.0906
35.000000 100.273 -22.3969
35.500000 100.085 -20.6213
36.000000 100.109 -18.7793
36.500000 100.301 -18.1265
37.000000 100.498 -19.1217
37.500000 100.552 -21.2322
38.200001 100.351 -24.1083
38.700001 100.185 -25.2598
39.500000 100.177 -26.9329
40.000000 100.191 -28.7607
40.599998 100.022 -30.7278
41.200001 99.793 -30.8544
41.799999 99.820 -29.6951
42.500000 100.108 -29.6902
43.099998 100.201 -31.1479
43.700001 100.047 -32.3892
44.400002 99.784 -32.4895
45.000000 99.651 -32.2118
45.500000 99.576 -32.4025
46.200001 99.409 -33.2650
46.799999 99.210 -33.9841
47.500000 99.018 -34.6554
48.200001 98.871 -35.5688
48.700001 98.737 -36.1097
49.400002 98.576 -35.8544
50.000000 98.637 -35.0450
50.799999 98.924 -35.5264
51.500000 98.960 -37.3566
52.200001 98.712 -38.1714
53.000000 98.485 -37.0411
53.799999 98.459 -36.2300
54.500000 98.366 -36.2224
55.200001 98.254 -35.6844
56.000000 98.353 -35.3236
57.000000 98.525 -37.3577
58.000000 98.549 -39.6716
59.000000 98.640 -43.0292
60.000000 98.181 -45.9235
60.799999 97.800 -43.9340
61.500000 97.940 -41.9474
62.200001 98.106 -42.3269
63.000000 97.945 -43.2752
64.000000 97.674 -42.2179
65.000000 97.599 -41.2615
66.000000 97.517 -41.1608
67.000000 97.424 -41.4594
68.000000 97.315 -41.9348
69.000000 97.216 -42.3795
70.000000 97.122 -42.7372
71.000000 97.044 -42.9870
72.000000 96.961 -43.3005
73.000000 96.842 -43.4845
74.000000 96.732 -43.3914
75.000000 96.657 -43.3566
76.199997 96.573 -43.6165
77.500000 96.447 -44.1041
78.800003 96.278 -44.4122
80.000000 96.131 -44.3250
81.199997 96.044 -44.2522
82.500000 95.949 -44.6257
83.800003 95.812 -45.0260
85.000000 95.697 -45.1981
86.199997 95.616 -45.4376
87.500000 95.505 -45.6846
88.500000 95.419 -45.6575
90.000000 95.283 -45.5949
91.199997 95.151 -45.3997
92.500000 95.033 -45.1736
93.800003 94.904 -45.3757
95.000000 94.748 -45.3428
96.199997 94.646 -45.0951
97.500000 94.577 -45.0006
98.800003 94.514 -45.0388
100.000000 94.450 -45.1564
101.500000 94.363 -45.4180
103.000000 94.238 -45.7264
104.400002 94.133 -45.5983
106.000000 94.009 -45.7235
107.500000 93.851 -45.4454
109.000000 93.742 -45.2230
110.599998 93.653 -45.3024
112.000000 93.590 -45.1289
113.800003 93.530 -44.4135
115.000000 93.430 -43.6645
117.199997 92.959 -41.9313
118.000000 92.697 -40.7414
120.599998 92.716 -35.5312
122.000000 92.897 -38.9211
124.099998 92.741 -43.2690
125.000000 92.676 -43.8618
126.500000 92.605 -43.5431
128.000000 92.560 -42.5566
131.500000 92.336 -41.7600
132.000000 92.301 -41.7582
134.000000 92.201 -41.7076
136.000000 92.124 -41.3880
138.000000 92.003 -40.6821
140.000000 91.899 -40.0513
143.000000 91.770 -40.0212
145.000000 91.697 -39.5443
147.500000 91.565 -38.7731
150.000000 91.367 -37.3571
152.500000 91.246 -36.7279
155.000000 91.084 -36.6501
157.500000 90.911 -36.3427
160.000000 90.755 -35.5256
162.500000 90.692 -34.9077
165.000000 90.665 -34.3589
167.500000 90.690 -33.8505
170.000000 90.675 -33.4184
172.500000 90.634 -32.7156
175.000000 90.590 -32.2192
177.500000 90.523 -31.6815
180.000000 90.451 -31.1544
182.500000 90.343 -30.5279
185.000000 90.242 -29.7351
187.500000 90.174 -29.0759
190.000000 90.113 -28.5869
192.500000 90.046 -28.1637
195.000000 89.982 -27.8259
197.500000 89.960 -27.3752
200.000000 89.972 -26.8766
203.000000 89.960 -25.9893
206.000000 89.921 -25.2285
209.000000 89.869 -24.8776
212.000000 89.842 -24.4554
214.000000 89.825 -24.0396
218.000000 89.775 -22.9979
220.000000 89.764 -22.5262
224.000000 89.758 -21.8954
227.000000 89.743 -21.4496
230.000000 89.722 -20.8240
233.000000 89.697 -20.2755
236.000000 89.673 -20.2076
240.000000 89.640 -20.2792
243.000000 89.624 -19.4866
247.000000 89.603 -18.5181
250.000000 89.578 -18.1514
254.000000 89.562 -17.5552
258.000000 89.543 -16.8474
262.000000 89.528 -16.3225
265.000000 89.543 -16.0936
269.000000 89.553 -15.7604
272.000000 89.521 -15.2758
276.000000 89.486 -14.6591
280.000000 89.507 -14.2614
285.000000 89.486 -13.7565
290.000000 89.430 -13.3392
295.000000 89.385 -12.7151
300.000000 89.312 -11.9839
304.000000 89.386 -11.2700
307.000000 89.450 -10.9242
311.000000 89.477 -10.5988
315.000000 89.493 -10.1039
320.000000 89.517 -9.8448
325.000000 89.541 -9.5867
330.000000 89.540 -9.2772
335.000000 89.487 -8.7313
340.000000 89.472 -8.2852
345.000000 89.491 -8.1680
350.000000 89.531 -7.9523
355.000000 89.702 -7.9062
360.000000 89.870 -7.8711
365.000000 89.683 -7.3807
370.000000 89.498 -6.8301
375.000000 89.441 -6.4590
382.000000 89.408 -6.1809
387.000000 89.395 -5.9080
395.000000 89.387 -5.3755
400.000000 89.383 -5.0303
406.000000 89.383 -4.6589
412.000000 89.373 -4.2847
418.000000 89.345 -3.8993
425.000000 89.337 -3.4799
431.000000 89.352 -3.2104
437.000000 89.357 -2.9565
444.000000 89.342 -2.5637
450.000000 89.324 -2.2494
455.000000 89.316 -1.9949
462.000000 89.309 -1.5979
468.000000 89.277 -1.3288
475.000000 89.162 -1.0695
482.000000 89.103 -0.8059
487.000000 89.176 -0.4919
494.000000 89.240 -0.0370
500.000000 89.238 0.3092
508.000000 89.220 0.7493
515.000000 89.211 1.1777
522.000000 89.212 1.5894
530.000000 89.205 2.0101
538.000000 89.190 2.5630
545.000000 89.181 2.8433
552.000000 89.169 3.0762
560.000000 89.149 3.4531
570.000000 89.133 4.0075
580.000000 89.117 4.5726
590.000000 89.105 4.9797
600.000000 89.106 5.4340
608.000000 89.086 5.9418
615.000000 89.068 6.3818
622.000000 89.056 6.8048
630.000000 89.049 7.2723
640.000000 89.053 7.8418
650.000000 89.075 8.5106
660.000000 89.095 9.1906
670.000000 89.052 9.6641
680.000000 89.021 10.1907
690.000000 89.015 10.7389
700.000000 89.001 11.3318
710.000000 88.931 12.0472
720.000000 88.853 12.8000
730.000000 88.930 13.2466
740.000000 88.997 13.6817
750.000000 89.016 14.2781
762.000000 89.023 15.0671
775.000000 89.019 15.8729
788.000000 89.037 16.7340
800.000000 89.062 17.4988
812.000000 89.080 18.2749
825.000000 89.097 19.1821
838.000000 89.117 20.2640
850.000000 89.144 20.9061
862.000000 89.176 21.4933
875.000000 89.214 22.3077
885.000000 89.248 22.9525
900.000000 89.306 23.8989
912.000000 89.335 24.6860
925.000000 89.373 25.4808
938.000000 89.433 26.2471
950.000000 89.500 27.0538
962.000000 89.558 27.8365
975.000000 89.601 28.4875
988.000000 89.652 29.1892
1000.000000 89.708 29.9065
1015.000000 89.782 30.8452
1030.000000 89.866 31.5370
1044.000000 89.948 32.1185
1060.000000 90.037 32.9251
1075.000000 90.135 33.7682
1090.000000 90.221 34.3378
1106.000000 90.303 34.8226
1120.000000 90.381 35.3302
1138.000000 90.481 36.0119
1150.000000 90.548 36.4450
1172.000000 90.685 37.1497
1180.000000 90.741 37.3607
1206.000000 90.917 38.0439
1220.000000 90.988 38.6013
1241.000000 91.117 39.2635
1250.000000 91.183 39.4911
1265.000000 91.293 39.8968
1280.000000 91.390 40.3645
1315.000000 91.599 41.4277
1320.000000 91.628 41.5555
1340.000000 91.742 41.9680
1360.000000 91.864 42.4325
1380.000000 91.994 42.9330
1400.000000 92.132 43.4161
1430.000000 92.364 44.1825
1450.000000 92.506 44.6383
1475.000000 92.663 45.1443
1500.000000 92.836 45.6679
1525.000000 93.020 46.1277
1550.000000 93.217 46.6205
1575.000000 93.394 47.0186
1600.000000 93.567 47.3264
1625.000000 93.751 47.6089
1650.000000 93.933 47.8916
1675.000000 94.116 48.1440
1700.000000 94.310 48.2573
1725.000000 94.512 48.3077
1750.000000 94.705 48.3600
1775.000000 94.889 48.3965
1800.000000 95.074 48.3412
1825.000000 95.264 48.1682
1850.000000 95.453 47.9261
1875.000000 95.638 47.6594
1900.000000 95.817 47.3442
1925.000000 95.994 46.9606
1950.000000 96.169 46.5391
1975.000000 96.335 46.0742
2000.000000 96.497 45.5405
2030.000000 96.683 44.8533
2060.000000 96.855 44.0846
2090.000000 97.019 43.2516
2120.000000 97.172 42.4029
2140.000000 97.269 41.8341
2180.000000 97.443 40.6154
2200.000000 97.522 39.9664
2240.000000 97.666 38.6584
2270.000000 97.758 37.6392
2300.000000 97.842 36.6351
2330.000000 97.917 35.6425
2360.000000 97.979 34.6523
2400.000000 98.042 33.3450
2430.000000 98.074 32.3600
2470.000000 98.100 31.0654
2500.000000 98.105 30.0853
2540.000000 98.099 28.8579
2580.000000 98.077 27.7195
2620.000000 98.043 26.6394
2650.000000 98.009 25.8907
2690.000000 97.952 24.9794
2720.000000 97.900 24.3517
2760.000000 97.821 23.6001
2800.000000 97.733 22.9362
2850.000000 97.624 22.2344
2900.000000 97.512 21.7203
2950.000000 97.407 21.3652
3000.000000 97.310 21.1417
3040.000000 97.230 21.0498
3070.000000 97.171 21.0042
3110.000000 97.097 20.9571
3150.000000 97.030 20.9771
3200.000000 96.950 21.0471
3250.000000 96.868 21.1540
3300.000000 96.791 21.2868
3350.000000 96.721 21.4078
3400.000000 96.665 21.5700
3450.000000 96.625 21.7131
3500.000000 96.599 21.8223
3550.000000 96.577 21.8930
3600.000000 96.545 21.9291
3650.000000 96.502 21.9454
3700.000000 96.438 21.9337
3750.000000 96.365 21.8974
3820.000000 96.260 21.8687
3870.000000 96.198 21.8857
3950.000000 96.166 21.9101
4000.000000 96.178 21.8905
4060.000000 96.210 21.8226
4120.000000 96.245 21.7123
4180.000000 96.268 21.5917
4250.000000 96.286 21.4615
4310.000000 96.295 21.3546
4370.000000 96.297 21.2559
4440.000000 96.291 21.1562
4500.000000 96.284 21.0229
4550.000000 96.276 20.9001
4620.000000 96.260 20.6962
4680.000000 96.245 20.4509
4750.000000 96.224 20.0858
4820.000000 96.193 19.6512
4870.000000 96.160 19.2867
4940.000000 96.101 18.7306
5000.000000 96.038 18.2470
5080.000000 95.934 17.6105
