* Measurement data measured by REW V5.31.3
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250. Timing signal peak level -28.1 dBFS, measurement signal peak level -23.5 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Dec 6, 2025 5:05:34 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: stock tips; Delay -0.0900 ms (-31 mm, -1.22 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset
* Measurement: Xenns Tea Pro L
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 30.883 133.2619
0.732422 30.540 40.3538
1.098633 39.419 -21.5636
1.464844 46.237 -49.6376
1.831055 51.364 -69.0128
2.197266 55.489 -84.5410
2.563477 58.939 -97.7829
2.929688 61.887 -109.4542
3.295898 64.440 -119.9397
3.662109 66.670 -129.4584
4.028320 68.633 -138.1410
4.394531 70.373 -146.0767
4.760742 71.928 -153.3419
5.126953 73.330 -160.0132
5.493164 74.602 -166.1678
5.859375 75.764 -171.8764
6.225586 76.829 -177.1973
6.591797 77.811 177.8240
6.958008 78.719 173.1489
7.324219 79.563 168.7390
7.690430 80.350 164.5546
8.056641 81.086 160.5585
8.422852 81.773 156.7231
8.789062 82.414 153.0334
9.155273 83.012 149.4847
9.521484 83.571 146.0748
9.887695 84.096 142.7965
10.253906 84.591 139.6359
10.620117 85.058 136.5761
10.986328 85.499 133.6034
11.352539 85.914 130.7113
11.718750 86.306 127.8997
12.084961 86.676 125.1698
12.451172 87.027 122.5201
12.817383 87.359 119.9453
13.183594 87.674 117.4384
13.549805 87.974 114.9947
13.916016 88.259 112.6122
14.282227 88.529 110.2911
14.648438 88.786 108.0306
15.014648 89.030 105.8277
15.380859 89.263 103.6781
15.747070 89.484 101.5788
16.113281 89.694 99.5292
16.479492 89.894 97.5303
16.845703 90.084 95.5822
17.211914 90.265 93.6823
17.578125 90.438 91.8250
17.944336 90.603 90.0046
18.310547 90.761 88.2177
18.676758 90.910 86.4646
19.042969 91.051 84.7477
19.409180 91.184 83.0691
19.775391 91.311 81.4286
20.141602 91.431 79.8245
20.507812 91.545 78.2555
20.874023 91.654 76.7210
21.240234 91.757 75.2208
21.606445 91.857 73.7533
21.972656 91.952 72.3139
22.338867 92.044 70.8970
22.705078 92.132 69.4987
23.071289 92.214 68.1204
23.437500 92.291 66.7676
23.803711 92.363 65.4473
24.169922 92.431 64.1622
24.536133 92.497 62.9089
24.902344 92.561 61.6791
25.268555 92.622 60.4650
25.634766 92.681 59.2638
26.000977 92.735 58.0789
26.367188 92.785 56.9166
26.733398 92.832 55.7814
27.099609 92.876 54.6728
27.465820 92.919 53.5862
27.832031 92.960 52.5164
28.198242 92.999 51.4612
28.564453 93.035 50.4216
28.930664 93.068 49.4004
29.296875 93.099 48.3987
29.663086 93.129 47.4151
30.029297 93.157 46.4465
30.395508 93.184 45.4909
30.761719 93.208 44.5481
31.127930 93.230 43.6200
31.494141 93.251 42.7076
31.860352 93.270 41.8102
32.226562 93.287 40.9261
32.592773 93.302 40.0544
32.958984 93.315 39.1973
33.325195 93.326 38.3585
33.691406 93.336 37.5408
34.057617 93.345 36.7430
34.423828 93.355 35.9594
34.790039 93.364 35.1828
35.156250 93.373 34.4087
35.522461 93.379 33.6384
35.888672 93.384 32.8773
36.254883 93.386 32.1312
36.621094 93.387 31.4027
36.987305 93.388 30.6894
37.353516 93.388 29.9868
37.719727 93.389 29.2909
38.085938 93.388 28.6006
38.452148 93.387 27.9172
38.818359 93.384 27.2424
39.184570 93.380 26.5776
39.550781 93.375 25.9233
39.916992 93.370 25.2806
40.283203 93.364 24.6498
40.649414 93.358 24.0302
41.015625 93.351 23.4188
41.381836 93.345 22.8118
41.748047 93.338 22.2070
42.114258 93.329 21.6056
42.480469 93.318 21.0126
42.846680 93.306 20.4335
43.212891 93.293 19.8710
43.579102 93.279 19.3243
43.945312 93.265 18.7900
44.311523 93.252 18.2642
44.677734 93.239 17.7439
45.043945 93.225 17.2275
45.410156 93.212 16.7142
45.776367 93.197 16.2035
46.142578 93.182 15.6968
46.508789 93.166 15.1972
46.875000 93.149 14.7078
47.241211 93.133 14.2286
47.607422 93.117 13.7558
47.973633 93.102 13.2830
48.339844 93.086 12.8058
48.706055 93.069 12.3262
49.072266 93.051 11.8519
49.438477 93.030 11.3928
49.804688 93.009 10.9537
50.170898 92.989 10.5308
50.537109 92.971 10.1140
50.903320 92.953 9.6940
51.269531 92.934 9.2697
51.635742 92.913 8.8500
52.001953 92.891 8.4475
52.368164 92.868 8.0673
52.734375 92.848 7.7008
53.100586 92.830 7.3290
53.466797 92.813 6.9362
53.833008 92.794 6.5234
54.199219 92.769 6.1102
54.565430 92.740 5.7206
54.931641 92.711 5.3629
55.297852 92.686 5.0210
55.664062 92.664 4.6656
56.030273 92.642 4.2804
56.396484 92.615 3.8801
56.762695 92.583 3.5026
57.128906 92.550 3.1754
57.495117 92.525 2.8849
57.861328 92.510 2.5747
58.227539 92.500 2.1853
58.593750 92.483 1.7061
58.959961 92.449 1.1971
59.326172 92.396 0.7607
59.692383 92.336 0.4753
60.058594 92.288 0.3391
60.424805 92.263 0.2634
60.791016 92.259 0.1294
61.157227 92.264 -0.1326
61.523438 92.260 -0.5043
61.889648 92.240 -0.9036
62.255859 92.208 -1.2480
62.622070 92.174 -1.5078
62.988281 92.147 -1.7158
63.354492 92.129 -1.9315
63.720703 92.113 -2.1931
64.086914 92.093 -2.4943
64.453125 92.066 -2.7987
64.819336 92.033 -3.0727
65.185547 92.000 -3.3085
65.551758 91.971 -3.5234
65.917969 91.944 -3.7409
66.284180 91.918 -3.9730
66.650391 91.892 -4.2155
67.016602 91.863 -4.4570
67.382812 91.834 -4.6904
67.749023 91.806 -4.9174
68.115234 91.779 -5.1453
68.481445 91.752 -5.3796
68.847656 91.724 -5.6188
69.213867 91.695 -5.8542
69.580078 91.664 -6.0752
69.946289 91.634 -6.2770
70.312500 91.606 -6.4651
70.678711 91.580 -6.6528
71.044922 91.556 -6.8527
71.411133 91.531 -7.0654
71.777344 91.502 -7.2773
72.143555 91.471 -7.4705
72.509766 91.441 -7.6383
72.875977 91.414 -7.7946
73.242188 91.390 -7.9647
73.608398 91.365 -8.1641
73.974609 91.335 -8.3805
74.340820 91.297 -8.5781
74.707031 91.257 -8.7224
75.073242 91.221 -8.8094
75.439453 91.194 -8.8743
75.805664 91.178 -8.9707
76.171875 91.165 -9.1348
76.538086 91.148 -9.3616
76.904297 91.122 -9.6125
77.270508 91.088 -9.8430
77.636719 91.052 -10.0311
78.002930 91.018 -10.1847
78.369141 90.987 -10.3270
78.735352 90.960 -10.4752
79.101562 90.932 -10.6302
79.467773 90.904 -10.7834
79.833984 90.877 -10.9291
80.200195 90.850 -11.0706
80.566406 90.825 -11.2148
80.932617 90.799 -11.3636
81.298828 90.771 -11.5095
81.665039 90.743 -11.6429
82.031250 90.715 -11.7609
82.397461 90.688 -11.8698
82.763672 90.663 -11.9803
83.129883 90.639 -12.0998
83.496094 90.614 -12.2272
83.862305 90.588 -12.3570
84.228516 90.560 -12.4833
84.594727 90.531 -12.6033
84.960938 90.502 -12.7164
85.327148 90.473 -12.8221
85.693359 90.444 -12.9216
86.059570 90.417 -13.0188
86.425781 90.391 -13.1207
86.791992 90.365 -13.2339
87.158203 90.339 -13.3583
87.524414 90.310 -13.4860
87.890625 90.280 -13.6055
88.256836 90.248 -13.7084
88.623047 90.218 -13.7950
88.989258 90.190 -13.8734
89.355469 90.164 -13.9535
89.721680 90.139 -14.0411
90.087891 90.114 -14.1366
90.454102 90.088 -14.2355
90.820312 90.061 -14.3322
91.186523 90.033 -14.4210
91.552734 90.004 -14.4986
91.918945 89.976 -14.5651
92.285156 89.950 -14.6252
92.651367 89.925 -14.6866
93.017578 89.901 -14.7561
93.383789 89.875 -14.8335
93.750000 89.849 -14.9119
94.116211 89.820 -14.9816
94.482422 89.792 -15.0385
94.848633 89.765 -15.0879
95.214844 89.740 -15.1400
95.581055 89.714 -15.2014
95.947266 89.688 -15.2683
96.313477 89.660 -15.3290
96.679688 89.631 -15.3746
97.045898 89.604 -15.4077
97.412109 89.581 -15.4421
97.778320 89.559 -15.4923
98.144531 89.536 -15.5618
98.510742 89.510 -15.6385
98.876953 89.482 -15.7032
99.243164 89.452 -15.7435
99.609375 89.426 -15.7633
99.975586 89.403 -15.7799
100.341797 89.383 -15.8120
100.708008 89.363 -15.8676
101.074219 89.341 -15.9398
101.440430 89.316 -16.0133
101.806641 89.288 -16.0742
102.172852 89.259 -16.1167
102.539062 89.232 -16.1439
102.905273 89.206 -16.1630
103.271484 89.181 -16.1805
103.637695 89.158 -16.2007
104.003906 89.135 -16.2253
104.370117 89.112 -16.2548
104.736328 89.089 -16.2874
105.102539 89.065 -16.3205
105.468750 89.041 -16.3521
105.834961 89.016 -16.3821
106.201172 88.992 -16.4120
106.567383 88.967 -16.4424
106.933594 88.940 -16.4694
107.299805 88.913 -16.4858
107.666016 88.886 -16.4862
108.032227 88.862 -16.4734
108.398438 88.840 -16.4601
108.764648 88.821 -16.4623
109.130859 88.801 -16.4869
109.497070 88.779 -16.5251
109.863281 88.753 -16.5564
110.229492 88.725 -16.5631
110.595703 88.700 -16.5446
110.961914 88.679 -16.5199
111.328125 88.661 -16.5145
111.694336 88.643 -16.5411
112.060547 88.622 -16.5897
112.426758 88.596 -16.6346
112.792969 88.566 -16.6530
113.159180 88.537 -16.6404
113.525391 88.512 -16.6115
113.891602 88.489 -16.5848
114.257812 88.468 -16.5682
114.624023 88.446 -16.5542
114.990234 88.424 -16.5322
115.356445 88.404 -16.5025
115.722656 88.388 -16.4797
116.088867 88.373 -16.4809
116.455078 88.356 -16.5083
116.821289 88.335 -16.5439
117.187500 88.310 -16.5605
117.553711 88.284 -16.5432
117.919922 88.262 -16.5013
118.286133 88.246 -16.4631
118.652344 88.232 -16.4539
119.018555 88.216 -16.4769
119.384766 88.195 -16.5111
119.750977 88.169 -16.5270
120.117188 88.142 -16.5067
120.483398 88.117 -16.4551
120.849609 88.096 -16.3926
121.215820 88.078 -16.3391
121.582031 88.061 -16.3015
121.948242 88.044 -16.2736
122.314453 88.025 -16.2452
122.680664 88.006 -16.2120
123.046875 87.987 -16.1775
123.413086 87.969 -16.1471
123.779297 87.951 -16.1221
124.145508 87.931 -16.0980
124.511719 87.911 -16.0690
124.877930 87.891 -16.0340
125.244141 87.873 -15.9979
125.610352 87.855 -15.9678
125.976562 87.838 -15.9474
126.342773 87.819 -15.9341
126.708984 87.799 -15.9209
127.075195 87.778 -15.9009
127.441406 87.757 -15.8712
127.807617 87.736 -15.8333
128.173828 87.717 -15.7909
128.540039 87.700 -15.7484
128.906250 87.683 -15.7099
129.272461 87.667 -15.6781
129.638672 87.650 -15.6526
130.004883 87.632 -15.6282
130.371094 87.613 -15.5950
130.737305 87.593 -15.5441
131.103516 87.576 -15.4752
131.469727 87.563 -15.4017
131.835938 87.554 -15.3456
132.202148 87.547 -15.3251
132.568359 87.536 -15.3408
132.934570 87.519 -15.3713
133.300781 87.495 -15.3842
133.666992 87.468 -15.3538
134.033203 87.443 -15.2775
134.399414 87.423 -15.1768
134.765625 87.410 -15.0825
135.131836 87.399 -15.0159
135.498047 87.387 -14.9772
135.864258 87.373 -14.9506
136.230469 87.357 -14.9191
136.596680 87.340 -14.8760
136.962891 87.324 -14.8271
137.329102 87.309 -14.7820
137.695312 87.294 -14.7434
138.061523 87.277 -14.7053
138.427734 87.260 -14.6586
138.793945 87.243 -14.5988
139.160156 87.228 -14.5302
139.526367 87.215 -14.4618
139.892578 87.204 -14.4009
140.258789 87.193 -14.3500
140.625000 87.182 -14.3076
140.991211 87.170 -14.2714
141.357422 87.157 -14.2393
141.723633 87.143 -14.2073
142.089844 87.127 -14.1688
142.456055 87.110 -14.1184
142.822266 87.095 -14.0562
143.188477 87.081 -13.9902
143.554688 87.068 -13.9313
143.920898 87.055 -13.8839
