* Measurement data measured by REW V5.31.3
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250. Timing signal peak level -28.0 dBFS, measurement signal peak level -23.1 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Dec 6, 2025 5:06:06 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: stock tips; Delay -0.0895 ms (-31 mm, -1.21 in) using estimated IR delay relative to Acoustic reference played from  R with no timing offset
* Measurement: Xenns Tea Pro R
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 25.589 154.0988
0.732422 19.212 9.7850
1.098633 36.460 -40.5795
1.464844 45.039 -59.8561
1.831055 51.183 -75.9749
2.197266 55.982 -90.5685
2.563477 59.851 -103.9381
2.929688 63.022 -116.1184
3.295898 65.658 -127.0869
3.662109 67.883 -136.8474
4.028320 69.800 -145.4727
4.394531 71.489 -153.1139
4.760742 73.007 -159.9725
5.126953 74.388 -166.2475
5.493164 75.650 -172.0869
5.859375 76.802 -177.5712
6.225586 77.855 177.2701
6.591797 78.819 172.4269
6.958008 79.707 167.8819
7.324219 80.531 163.6013
7.690430 81.301 159.5408
8.056641 82.020 155.6585
8.422852 82.694 151.9239
8.789062 83.323 148.3207
9.155273 83.910 144.8433
9.521484 84.458 141.4914
9.887695 84.971 138.2640
10.253906 85.452 135.1558
10.620117 85.907 132.1548
10.986328 86.338 129.2447
11.352539 86.745 126.4096
11.718750 87.129 123.6418
12.084961 87.490 120.9439
12.451172 87.830 118.3253
12.817383 88.151 115.7916
13.183594 88.457 113.3363
13.549805 88.749 110.9413
13.916016 89.029 108.5879
14.282227 89.292 106.2711
14.648438 89.539 104.0045
15.014648 89.769 101.8103
15.380859 89.988 99.6999
15.747070 90.200 97.6595
16.113281 90.407 95.6559
16.479492 90.605 93.6598
16.845703 90.790 91.6711
17.211914 90.957 89.7242
17.578125 91.110 87.8653
17.944336 91.256 86.1155
18.310547 91.403 84.4478
18.676758 91.555 82.7983
19.042969 91.706 81.1096
19.409180 91.845 79.3743
19.775391 91.965 77.6439
20.141602 92.066 75.9953
20.507812 92.159 74.4748
20.874023 92.258 73.0604
21.240234 92.366 71.6721
21.606445 92.480 70.2274
21.972656 92.586 68.7014
22.338867 92.672 67.1453
22.705078 92.736 65.6521
23.071289 92.789 64.2937
23.437500 92.845 63.0729
23.803711 92.913 61.9211
24.169922 92.994 60.7459
24.536133 93.078 59.4919
24.902344 93.151 58.1693
25.268555 93.208 56.8374
25.634766 93.251 55.5601
26.000977 93.287 54.3680
26.367188 93.323 53.2493
26.733398 93.362 52.1696
27.099609 93.403 51.1009
27.465820 93.443 50.0369
27.832031 93.479 48.9874
28.198242 93.513 47.9616
28.564453 93.547 46.9571
28.930664 93.581 45.9615
29.296875 93.614 44.9638
29.663086 93.644 43.9629
30.029297 93.669 42.9680
30.395508 93.690 41.9911
30.761719 93.707 41.0389
31.127930 93.723 40.1111
31.494141 93.737 39.2033
31.860352 93.750 38.3124
32.226562 93.762 37.4379
32.592773 93.773 36.5802
32.958984 93.783 35.7379
33.325195 93.793 34.9072
33.691406 93.802 34.0844
34.057617 93.809 33.2690
34.423828 93.815 32.4642
34.790039 93.819 31.6747
35.156250 93.821 30.9031
35.522461 93.823 30.1474
35.888672 93.825 29.4027
36.254883 93.826 28.6645
36.621094 93.826 27.9327
36.987305 93.823 27.2118
37.353516 93.818 26.5077
37.719727 93.813 25.8231
38.085938 93.807 25.1549
38.452148 93.802 24.4960
38.818359 93.797 23.8392
39.184570 93.791 23.1822
39.550781 93.784 22.5282
39.916992 93.774 21.8829
40.283203 93.763 21.2502
40.649414 93.752 20.6288
41.015625 93.741 20.0143
41.381836 93.730 19.4025
41.748047 93.717 18.7935
42.114258 93.703 18.1926
42.480469 93.688 17.6069
42.846680 93.672 17.0403
43.212891 93.657 16.4899
43.579102 93.645 15.9476
43.945312 93.633 15.4049
44.311523 93.620 14.8586
44.677734 93.607 14.3131
45.043945 93.591 13.7776
45.410156 93.573 13.2594
45.776367 93.555 12.7598
46.142578 93.538 12.2728
46.508789 93.521 11.7913
46.875000 93.504 11.3120
47.241211 93.486 10.8378
47.607422 93.466 10.3728
47.973633 93.446 9.9172
48.339844 93.426 9.4657
48.706055 93.406 9.0114
49.072266 93.385 8.5534
49.438477 93.361 8.0986
49.804688 93.336 7.6556
50.170898 93.311 7.2263
50.537109 93.288 6.8014
50.903320 93.266 6.3674
51.269531 93.243 5.9182
51.635742 93.217 5.4626
52.001953 93.187 5.0204
52.368164 93.155 4.6097
52.734375 93.125 4.2352
53.100586 93.098 3.8857
53.466797 93.077 3.5416
53.833008 93.060 3.1857
54.199219 93.044 2.8091
54.565430 93.028 2.4131
54.931641 93.007 2.0077
55.297852 92.983 1.6102
55.664062 92.954 1.2411
56.030273 92.925 0.9125
56.396484 92.899 0.6161
56.762695 92.878 0.3218
57.128906 92.860 -0.0051
57.495117 92.838 -0.3732
57.861328 92.805 -0.7488
58.227539 92.761 -1.0686
58.593750 92.716 -1.2849
58.959961 92.682 -1.4094
59.326172 92.667 -1.5228
59.692383 92.669 -1.7294
60.058594 92.674 -2.0874
60.424805 92.664 -2.5691
60.791016 92.632 -3.0787
61.157227 92.582 -3.5148
61.523438 92.528 -3.8317
61.889648 92.483 -4.0604
62.255859 92.451 -4.2748
62.622070 92.426 -4.5326
62.988281 92.400 -4.8379
63.354492 92.369 -5.1525
63.720703 92.334 -5.4365
64.086914 92.302 -5.6823
64.453125 92.275 -5.9160
64.819336 92.253 -6.1699
65.185547 92.231 -6.4541
65.551758 92.205 -6.7511
65.917969 92.175 -7.0341
66.284180 92.143 -7.2891
66.650391 92.113 -7.5212
67.016602 92.084 -7.7446
67.382812 92.056 -7.9669
67.749023 92.027 -8.1854
68.115234 91.998 -8.3950
68.481445 91.969 -8.5979
68.847656 91.942 -8.8031
69.213867 91.914 -9.0173
69.580078 91.884 -9.2359
69.946289 91.853 -9.4471
70.312500 91.821 -9.6443
70.678711 91.791 -9.8352
71.044922 91.763 -10.0373
71.411133 91.734 -10.2612
71.777344 91.701 -10.4973
72.143555 91.664 -10.7200
72.509766 91.626 -10.9083
72.875977 91.591 -11.0665
73.242188 91.562 -11.2254
73.608398 91.536 -11.4183
73.974609 91.507 -11.6516
74.340820 91.470 -11.8922
74.707031 91.425 -12.0881
75.073242 91.380 -12.2054
75.439453 91.344 -12.2570
75.805664 91.320 -12.2979
76.171875 91.308 -12.3896
76.538086 91.298 -12.5597
76.904297 91.281 -12.7884
77.270508 91.256 -13.0299
77.636719 91.225 -13.2466
78.002930 91.192 -13.4307
78.369141 91.160 -13.5981
78.735352 91.129 -13.7648
79.101562 91.097 -13.9287
79.467773 91.063 -14.0746
79.833984 91.030 -14.1934
80.200195 91.001 -14.2971
80.566406 90.976 -14.4130
80.932617 90.953 -14.5616
81.298828 90.927 -14.7389
81.665039 90.895 -14.9172
82.031250 90.859 -15.0670
82.397461 90.823 -15.1772
82.763672 90.791 -15.2616
83.129883 90.764 -15.3458
83.496094 90.740 -15.4495
83.862305 90.716 -15.5763
84.228516 90.690 -15.7186
84.594727 90.661 -15.8660
84.960938 90.630 -16.0092
85.327148 90.597 -16.1393
85.693359 90.562 -16.2477
86.059570 90.528 -16.3314
86.425781 90.497 -16.3996
86.791992 90.470 -16.4720
87.158203 90.444 -16.5657
87.524414 90.417 -16.6792
87.890625 90.385 -16.7913
88.256836 90.352 -16.8768
88.623047 90.320 -16.9301
88.989258 90.295 -16.9751
89.355469 90.275 -17.0499
89.721680 90.255 -17.1766
90.087891 90.229 -17.3405
90.454102 90.194 -17.4982
90.820312 90.153 -17.6074
91.186523 90.114 -17.6570
91.552734 90.081 -17.6735
91.918945 90.056 -17.6993
92.285156 90.034 -17.7611
92.651367 90.010 -17.8533
93.017578 89.982 -17.9486
93.383789 89.951 -18.0233
93.750000 89.922 -18.0753
94.116211 89.896 -18.1219
94.482422 89.872 -18.1827
94.848633 89.848 -18.2623
95.214844 89.821 -18.3484
95.581055 89.792 -18.4233
95.947266 89.762 -18.4779
96.313477 89.733 -18.5175
96.679688 89.708 -18.5568
97.045898 89.684 -18.6086
97.412109 89.659 -18.6769
97.778320 89.631 -18.7534
98.144531 89.601 -18.8239
98.510742 89.569 -18.8745
98.876953 89.537 -18.9005
99.243164 89.509 -18.9111
99.609375 89.484 -18.9271
99.975586 89.463 -18.9692
100.341797 89.440 -19.0436
100.708008 89.412 -19.1353
101.074219 89.380 -19.2156
101.440430 89.344 -19.2616
101.806641 89.312 -19.2740
102.172852 89.284 -19.2776
102.539062 89.261 -19.3020
102.905273 89.237 -19.3571
103.271484 89.208 -19.4238
103.637695 89.175 -19.4685
104.003906 89.142 -19.4695
104.370117 89.113 -19.4360
104.736328 89.093 -19.4009
105.102539 89.077 -19.3966
105.468750 89.061 -19.4320
105.834961 89.041 -19.4904
106.201172 89.018 -19.5458
106.567383 88.991 -19.5829
106.933594 88.965 -19.6018
107.299805 88.939 -19.6100
107.666016 88.913 -19.6097
108.032227 88.888 -19.5972
108.398438 88.864 -19.5723
108.764648 88.844 -19.5461
109.130859 88.826 -19.5371
109.497070 88.808 -19.5557
109.863281 88.786 -19.5945
110.229492 88.760 -19.6317
110.595703 88.730 -19.6486
110.961914 88.700 -19.6422
111.328125 88.673 -19.6251
111.694336 88.646 -19.6104
112.060547 88.620 -19.5999
112.426758 88.594 -19.5865
112.792969 88.568 -19.5666
113.159180 88.545 -19.5499
113.525391 88.524 -19.5525
113.891602 88.501 -19.5789
114.257812 88.473 -19.6115
114.624023 88.442 -19.6203
114.990234 88.411 -19.5876
115.356445 88.386 -19.5272
115.722656 88.369 -19.4775
116.088867 88.356 -19.4738
116.455078 88.340 -19.5181
116.821289 88.316 -19.5760
117.187500 88.285 -19.6020
117.553711 88.254 -19.5724
117.919922 88.228 -19.5035
118.286133 88.210 -19.4374
118.652344 88.196 -19.4090
119.018555 88.180 -19.4216
119.384766 88.158 -19.4467
119.750977 88.130 -19.4471
120.117188 88.102 -19.4048
120.483398 88.078 -19.3312
120.849609 88.060 -19.2579
121.215820 88.046 -19.2151
121.582031 88.032 -19.2129
121.948242 88.014 -19.2385
122.314453 87.990 -19.2657
122.680664 87.962 -19.2700
123.046875 87.933 -19.2401
123.413086 87.908 -19.1827
123.779297 87.887 -19.1182
124.145508 87.871 -19.0701
124.511719 87.857 -19.0538
124.877930 87.841 -19.0687
125.244141 87.821 -19.0977
125.610352 87.795 -19.1155
125.976562 87.766 -19.0997
126.342773 87.738 -19.0421
126.708984 87.714 -18.9513
127.075195 87.697 -18.8506
127.441406 87.685 -18.7668
127.807617 87.676 -18.7194
128.173828 87.666 -18.7106
128.540039 87.651 -18.7251
128.906250 87.629 -18.7358
129.272461 87.603 -18.7182
129.638672 87.577 -18.6631
130.004883 87.554 -18.5822
130.371094 87.535 -18.5007
130.737305 87.519 -18.4402
131.103516 87.502 -18.4041
131.469727 87.481 -18.3755
131.835938 87.457 -18.3309
132.202148 87.434 -18.2580
132.568359 87.414 -18.1663
132.934570 87.400 -18.0805
133.300781 87.389 -18.0225
133.666992 87.378 -17.9963
134.033203 87.365 -17.9879
134.399414 87.349 -17.9778
134.765625 87.332 -17.9572
135.131836 87.315 -17.9312
135.498047 87.300 -17.9094
135.864258 87.283 -17.8928
136.230469 87.263 -17.8692
136.596680 87.243 -17.8235
136.962891 87.224 -17.7524
137.329102 87.208 -17.6705
137.695312 87.195 -17.5992
138.061523 87.183 -17.5505
138.427734 87.167 -17.5156
138.793945 87.147 -17.4731
139.160156 87.126 -17.4066
139.526367 87.106 -17.3185
139.892578 87.089 -17.2266
140.258789 87.074 -17.1489
140.625000 87.059 -17.0891
140.991211 87.041 -17.0370
141.357422 87.023 -16.9813
141.723633 87.005 -16.9203
142.089844 86.989 -16.8618
142.456055 86.973 -16.8124
142.822266 86.958 -16.7705
143.188477 86.943 -16.7305
143.554688 86.929 -16.6939
