* Measurement data measured by REW V5.31.3
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250. Timing signal peak level -28.6 dBFS, measurement signal peak level -25.2 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Dec 6, 2025 3:54:40 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: stock tips; Delay -0.0240 ms (-8.2 mm, -0.32 in) using estimated IR delay relative to Acoustic reference played from  R with no timing offset Clock adjustment: 1.7 ppm
* Measurement: R ZiiGaat Luna R Dec 6
* Smoothing: 1/24 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 35.389 133.8600
0.368865 35.381 133.7716
0.371538 35.371 133.6420
0.374230 35.359 133.4922
0.376942 35.346 133.3317
0.379673 35.333 133.1637
0.382424 35.320 132.9894
0.385196 35.307 132.8089
0.387987 35.294 132.6222
0.390798 35.281 132.4292
0.393630 35.268 132.2296
0.396483 35.254 132.0234
0.399356 35.241 131.8103
0.402250 35.227 131.5903
0.405165 35.214 131.3631
0.408101 35.200 131.1287
0.411058 35.186 130.8867
0.414037 35.172 130.6370
0.417037 35.158 130.3795
0.420059 35.144 130.1138
0.423103 35.129 129.8399
0.426169 35.115 129.5576
0.429257 35.100 129.2665
0.432368 35.086 128.9666
0.435501 35.071 128.6575
0.438656 35.056 128.3390
0.441835 35.041 128.0110
0.445037 35.026 127.6731
0.448262 35.011 127.3252
0.451510 34.996 126.9669
0.454782 34.980 126.5981
0.458077 34.965 126.2184
0.461397 34.949 125.8276
0.464740 34.934 125.4254
0.468108 34.918 125.0116
0.471500 34.902 124.5858
0.474917 34.886 124.1477
0.478358 34.869 123.6972
0.481825 34.853 123.2338
0.485316 34.837 122.7573
0.488833 34.820 122.2673
0.492375 34.804 121.7637
0.495943 34.787 121.2460
0.499537 34.770 120.7139
0.503157 34.753 120.1672
0.506803 34.736 119.6055
0.510475 34.719 119.0285
0.514175 34.701 118.4359
0.517900 34.684 117.8274
0.521653 34.666 117.2028
0.525434 34.648 116.5616
0.529241 34.630 115.9037
0.533076 34.612 115.2288
0.536939 34.594 114.5366
0.540830 34.576 113.8268
0.544749 34.557 113.0992
0.548696 34.539 112.3537
0.552673 34.520 111.5899
0.556677 34.501 110.8078
0.560711 34.482 110.0072
0.564774 34.463 109.1880
0.568867 34.444 108.3501
0.572989 34.425 107.4935
0.577141 34.405 106.6181
0.581324 34.386 105.7239
0.585536 34.366 104.8111
0.589779 34.346 103.8798
0.594053 34.326 102.9301
0.598358 34.305 101.9622
0.602694 34.285 100.9765
0.607061 34.265 99.9732
0.611460 34.244 98.9528
0.615891 34.223 97.9157
0.620354 34.202 96.8624
0.624849 34.181 95.7935
0.629377 34.160 94.7097
0.633938 34.138 93.6116
0.638532 34.117 92.5001
0.643159 34.095 91.3759
0.647819 34.073 90.2399
0.652514 34.051 89.0932
0.657242 34.029 87.9366
0.662005 34.006 86.7713
0.666802 33.984 85.5983
0.671634 33.961 84.4188
0.676501 33.938 83.2339
0.681403 33.915 82.0448
0.686341 33.892 80.8528
0.691314 33.869 79.6590
0.696324 33.845 78.4646
0.701370 33.821 77.2710
0.706452 33.797 76.0792
0.711571 33.774 74.8901
0.716728 33.750 73.7037
0.721921 33.728 72.5176
0.727153 33.712 71.3224
0.732422 33.707 70.0963
0.737729 33.721 68.8097
0.743075 33.749 67.4708
0.748460 33.784 66.0934
0.753883 33.824 64.6862
0.759346 33.868 63.2539
0.764849 33.916 61.7995
0.770391 33.966 60.3253
0.775974 34.020 58.8335
0.781597 34.077 57.3262
0.787261 34.137 55.8056
0.792966 34.200 54.2741
0.798712 34.267 52.7340
0.804500 34.336 51.1874
0.810329 34.409 49.6368
0.816201 34.484 48.0843
0.822116 34.563 46.5322
0.828073 34.645 44.9826
0.834074 34.729 43.4374
0.840118 34.817 41.8986
0.846206 34.908 40.3680
0.852338 35.001 38.8472
0.858514 35.097 37.3378
0.864735 35.197 35.8410
0.871001 35.299 34.3581
0.877313 35.403 32.8901
0.883670 35.511 31.4379
0.890074 35.620 30.0022
0.896524 35.733 28.5836
0.903020 35.848 27.1826
0.909564 35.965 25.7993
0.916155 36.085 24.4340
0.922794 36.207 23.0866
0.929481 36.331 21.7572
0.936216 36.457 20.4454
0.943000 36.585 19.1511
0.949834 36.715 17.8737
0.956717 36.847 16.6130
0.963649 36.980 15.3683
0.970632 37.115 14.1390
0.977666 37.252 12.9244
0.984750 37.389 11.7240
0.991886 37.528 10.5368
0.999074 37.668 9.3622
1.006314 37.809 8.1993
1.013606 37.951 7.0473
1.020951 38.093 5.9053
1.028349 38.236 4.7724
1.035801 38.379 3.6477
1.043307 38.522 2.5303
1.050867 38.665 1.4193
1.058482 38.807 0.3138
1.066152 38.949 -0.7871
1.073878 39.091 -1.8844
1.081660 39.232 -2.9788
1.089498 39.371 -4.0710
1.097393 39.511 -5.1608
1.105345 39.651 -6.2473
1.113355 39.792 -7.3288
1.121423 39.936 -8.4038
1.129549 40.082 -9.4715
1.137734 40.231 -10.5310
1.145979 40.382 -11.5819
1.154283 40.535 -12.6237
1.162647 40.691 -13.6560
1.171072 40.849 -14.6785
1.179558 41.009 -15.6910
1.188106 41.172 -16.6932
1.196715 41.336 -17.6849
1.205387 41.503 -18.6661
1.214122 41.671 -19.6367
1.222920 41.841 -20.5966
1.231782 42.013 -21.5459
1.240708 42.187 -22.4847
1.249699 42.362 -23.4130
1.258754 42.539 -24.3310
1.267876 42.717 -25.2388
1.277063 42.896 -26.1367
1.286318 43.077 -27.0247
1.295639 43.258 -27.9033
1.305027 43.441 -28.7726
1.314484 43.624 -29.6330
1.324009 43.808 -30.4846
1.333604 43.992 -31.3280
1.343268 44.177 -32.1633
1.353002 44.362 -32.9909
1.362806 44.547 -33.8112
1.372681 44.731 -34.6245
1.382628 44.916 -35.4313
1.392647 45.100 -36.2319
1.402739 45.283 -37.0267
1.412904 45.465 -37.8161
1.423142 45.647 -38.6005
1.433455 45.827 -39.3802
1.443843 46.005 -40.1556
1.454305 46.182 -40.9266
1.464844 46.357 -41.6925
1.475459 46.532 -42.4518
1.486150 46.705 -43.2030
1.496920 46.878 -43.9456
1.507767 47.050 -44.6796
1.518693 47.222 -45.4053
1.529698 47.393 -46.1231
1.540783 47.564 -46.8338
1.551948 47.735 -47.5377
1.563194 47.905 -48.2354
1.574521 48.075 -48.9274
1.585931 48.244 -49.6145
1.597423 48.413 -50.2969
1.608999 48.582 -50.9755
1.620658 48.750 -51.6506
1.632402 48.918 -52.3228
1.644232 49.086 -52.9928
1.656146 49.254 -53.6610
1.668147 49.422 -54.3279
1.680235 49.589 -54.9941
1.692411 49.757 -55.6602
1.704675 49.924 -56.3266
1.717028 50.091 -56.9938
1.729470 50.259 -57.6625
1.742003 50.426 -58.3329
1.754626 50.594 -59.0058
1.767341 50.761 -59.6814
1.780147 50.929 -60.3603
1.793047 51.097 -61.0429
1.806040 51.266 -61.7294
1.819128 51.435 -62.4198
1.832310 51.604 -63.1130
1.845587 51.773 -63.8071
1.858961 51.941 -64.5003
1.872432 52.109 -65.1914
1.886001 52.277 -65.8801
1.899667 52.443 -66.5661
1.913433 52.610 -67.2495
1.927299 52.776 -67.9303
1.941265 52.941 -68.6086
1.955332 53.107 -69.2847
1.969501 53.271 -69.9585
1.983773 53.436 -70.6304
1.998148 53.600 -71.3005
2.012627 53.764 -71.9690
2.027212 53.927 -72.6363
2.041902 54.091 -73.3025
2.056698 54.254 -73.9679
2.071602 54.417 -74.6329
2.086614 54.581 -75.2977
2.101734 54.744 -75.9628
2.116964 54.907 -76.6283
2.132304 55.071 -77.2948
2.147756 55.234 -77.9624
2.163320 55.398 -78.6316
2.178996 55.562 -79.3024
2.194786 55.727 -79.9745
2.210690 55.891 -80.6470
2.226710 56.055 -81.3186
2.242845 56.219 -81.9886
2.259098 56.382 -82.6566
2.275468 56.545 -83.3227
2.291957 56.707 -83.9869
2.308566 56.869 -84.6492
2.325295 57.031 -85.3099
2.342145 57.192 -85.9691
2.359117 57.353 -86.6269
2.376212 57.514 -87.2837
2.393431 57.674 -87.9396
2.410775 57.835 -88.5948
2.428244 57.995 -89.2498
2.445840 58.155 -89.9046
2.463564 58.315 -90.5597
2.481416 58.476 -91.2153
2.499397 58.636 -91.8718
2.517509 58.796 -92.5294
2.535752 58.957 -93.1884
2.554127 59.117 -93.8488
2.572635 59.278 -94.5100
2.591277 59.438 -95.1711
2.610055 59.598 -95.8315
2.628968 59.758 -96.4908
2.648019 59.917 -97.1490
2.667208 60.076 -97.8060
2.686535 60.234 -98.4620
2.706003 60.393 -99.1170
2.725612 60.551 -99.7712
2.745363 60.708 -100.4247
2.765257 60.866 -101.0777
2.785295 61.023 -101.7305
2.805478 61.180 -102.3831
2.825808 61.337 -103.0360
2.846285 61.494 -103.6892
2.866910 61.651 -104.3432
2.887685 61.808 -104.9980
2.908611 61.966 -105.6538
2.929688 62.123 -106.3106
2.950917 62.280 -106.9680
2.972301 62.436 -107.6252
2.993839 62.593 -108.2820
3.015534 62.748 -108.9383
3.037386 62.904 -109.5938
3.059396 63.059 -110.2487
3.081565 63.214 -110.9030
3.103896 63.369 -111.5566
3.126388 63.523 -112.2098
3.149043 63.677 -112.8626
3.171862 63.831 -113.5151
3.194847 63.985 -114.1676
3.217998 64.139 -114.8201
3.241317 64.293 -115.4729
3.264805 64.446 -116.1261
3.288463 64.600 -116.7799
3.312293 64.754 -117.4340
3.336295 64.907 -118.0882
3.360471 65.060 -118.7421
3.384822 65.212 -119.3956
3.409350 65.364 -120.0488
3.434056 65.516 -120.7014
3.458940 65.668 -121.3535
3.484005 65.819 -122.0051
3.509252 65.970 -122.6564
3.534681 66.120 -123.3073
3.560295 66.271 -123.9580
3.586094 66.421 -124.6086
3.612081 66.572 -125.2592
3.638255 66.722 -125.9100
3.664620 66.872 -126.5611
3.691175 67.022 -127.2123
3.717923 67.172 -127.8636
3.744864 67.321 -128.5148
3.772001 67.470 -129.1656
3.799335 67.618 -129.8162
3.826866 67.766 -130.4662
3.854597 67.914 -131.1158
3.882529 68.062 -131.7649
3.910664 68.209 -132.4136
3.939002 68.356 -133.0618
3.967546 68.503 -133.7096
3.996296 68.650 -134.3572
4.025255 68.796 -135.0046
4.054423 68.943 -135.6521
4.083804 69.089 -136.2995
4.113396 69.235 -136.9468
4.143204 69.380 -137.5939
4.173227 69.525 -138.2406
4.203468 69.669 -138.8868
4.233928 69.814 -139.5325
4.264609 69.958 -140.1775
4.295512 70.101 -140.8219
4.326639 70.245 -141.4656
4.357992 70.388 -142.1088
4.389572 70.531 -142.7515
4.421380 70.674 -143.3940
4.453419 70.817 -144.0363
4.485691 70.959 -144.6785
4.518196 71.101 -145.3204
4.550936 71.242 -145.9618
4.583914 71.383 -146.6026
4.617131 71.524 -147.2426
4.650589 71.664 -147.8818
4.684289 71.804 -148.5201
4.718233 71.944 -149.1574
4.752424 72.084 -149.7940
4.786862 72.223 -150.4300
4.821549 72.362 -151.0657
4.856488 72.501 -151.7010
4.891680 72.639 -152.3359
4.927127 72.777 -152.9702
4.962831 72.914 -153.6036
4.998794 73.052 -154.2361
5.035017 73.189 -154.8675
5.071503 73.325 -155.4978
5.108253 73.462 -156.1270
5.145270 73.598 -156.7553
5.182555 73.734 -157.3830
5.220110 73.869 -158.0101
5.257937 74.004 -158.6367
5.296038 74.139 -159.2625
5.334415 74.273 -159.8873
5.373071 74.407 -160.5111
5.412006 74.541 -161.1336
5.451224 74.674 -161.7549
5.490725 74.808 -162.3751
5.530514 74.940 -162.9942
5.570590 75.073 -163.6127
5.610957 75.205 -164.2304
5.651616 75.337 -164.8474
5.692570 75.469 -165.4633
5.733821 75.600 -166.0783
5.775370 75.731 -166.6920
5.817221 75.861 -167.3045
5.859375 75.992 -167.9158
5.901834 76.122 -168.5262
5.944602 76.252 -169.1358
5.987679 76.381 -169.7446
6.031068 76.510 -170.3526
6.074771 76.639 -170.9596
6.118792 76.768 -171.5656
