* Measurement data measured by REW V5.31.3
* Source: Scarlett Solo USB, Scarlett Solo USB , L, volume: no control. Timing signal peak level -15.1 dBFS, measurement signal peak level -14.8 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Dec 30, 2025 3:37:26 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0913 ms (-31 mm, -1.23 in) using estimated IR delay relative to Acoustic reference played from Qudelix-5K L with no timing offset Clock adjustment: 22.1 ppm
* Measurement: Ziigaat Luna Coffee L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 101.200 29.0598
20.299999 101.218 28.4132
20.600000 101.235 27.7777
20.900000 101.252 27.1512
21.200001 101.267 26.5325
21.400000 101.277 26.1239
21.799999 101.295 25.3160
22.000000 101.303 24.9171
22.400000 101.319 24.1302
22.700001 101.329 23.5502
23.000000 101.339 22.9784
23.299999 101.349 22.4138
23.600000 101.358 21.8555
24.000000 101.370 21.1203
24.299999 101.378 20.5762
24.700001 101.389 19.8618
25.000000 101.396 19.3352
25.400000 101.405 18.6455
25.799999 101.414 17.9686
26.200001 101.422 17.3035
26.500000 101.427 16.8118
26.900000 101.434 16.1658
27.200001 101.439 15.6888
27.600000 101.445 15.0624
28.000000 101.449 14.4467
28.500000 101.454 13.6917
29.000000 101.457 12.9523
29.500000 101.459 12.2270
30.000000 101.460 11.5132
30.400000 101.461 10.9493
30.700001 101.460 10.5309
31.100000 101.459 9.9792
31.500000 101.458 9.4353
32.000000 101.455 8.7660
32.500000 101.452 8.1067
33.000000 101.449 7.4564
33.500000 101.445 6.8156
34.000000 101.440 6.1856
34.500000 101.435 5.5680
35.000000 101.429 4.9626
35.500000 101.422 4.3683
36.000000 101.415 3.7834
36.500000 101.407 3.2080
37.000000 101.398 2.6425
37.500000 101.389 2.0870
38.200001 101.374 1.3232
38.700001 101.363 0.7858
39.500000 101.344 -0.0585
40.000000 101.331 -0.5748
40.599998 101.316 -1.1835
41.200001 101.300 -1.7819
41.799999 101.284 -2.3701
42.500000 101.264 -3.0427
43.099998 101.247 -3.6079
43.700001 101.230 -4.1629
44.400002 101.209 -4.7965
45.000000 101.190 -5.3285
45.500000 101.174 -5.7653
46.200001 101.151 -6.3662
46.799999 101.130 -6.8697
47.500000 101.105 -7.4437
48.200001 101.079 -8.0070
48.700001 101.061 -8.4029
49.400002 101.034 -8.9462
50.000000 101.012 -9.4023
50.799999 100.981 -10.0017
51.500000 100.953 -10.5174
52.200001 100.925 -11.0200
53.000000 100.891 -11.5779
53.799999 100.858 -12.1227
54.500000 100.828 -12.5894
55.200001 100.797 -13.0454
56.000000 100.762 -13.5546
57.000000 100.717 -14.1741
58.000000 100.673 -14.7794
59.000000 100.626 -15.3719
60.000000 100.579 -15.9435
60.799999 100.541 -16.3875
61.500000 100.508 -16.7687
62.200001 100.475 -17.1429
63.000000 100.436 -17.5610
64.000000 100.387 -18.0695
65.000000 100.337 -18.5625
66.000000 100.288 -19.0430
67.000000 100.237 -19.5106
68.000000 100.186 -19.9634
69.000000 100.134 -20.4020
70.000000 100.082 -20.8296
71.000000 100.030 -21.2466
72.000000 99.977 -21.6509
73.000000 99.924 -22.0427
74.000000 99.871 -22.4251
75.000000 99.817 -22.7974
76.199997 99.752 -23.2267
77.500000 99.681 -23.6745
78.800003 99.609 -24.1035
80.000000 99.543 -24.4830
81.199997 99.476 -24.8455
82.500000 99.404 -25.2188
83.800003 99.331 -25.5729
85.000000 99.265 -25.8840
86.199997 99.200 -26.1812
87.500000 99.130 -26.4929
88.500000 99.077 -26.7316
90.000000 98.998 -27.0908
91.199997 98.935 -27.3806
92.500000 98.864 -27.6926
93.800003 98.791 -27.9933
95.000000 98.722 -28.2550
96.199997 98.652 -28.5021
97.500000 98.577 -28.7601
98.800003 98.500 -29.0045
100.000000 98.428 -29.2145
101.500000 98.338 -29.4578
103.000000 98.248 -29.6835
104.400002 98.163 -29.8807
106.000000 98.066 -30.0869
107.500000 97.974 -30.2616
109.000000 97.881 -30.4194
110.599998 97.781 -30.5658
112.000000 97.693 -30.6737
113.800003 97.578 -30.7829
115.000000 97.500 -30.8369
117.199997 97.358 -30.8895
118.000000 97.305 -30.8898
120.599998 97.136 -30.8058
122.000000 97.048 -30.7074
124.099998 96.923 -30.5204
125.000000 96.871 -30.4362
126.500000 96.785 -30.2897
128.000000 96.699 -30.1218
131.500000 96.501 -29.5782
132.000000 96.473 -29.4793
134.000000 96.368 -29.0217
136.000000 96.276 -28.4754
138.000000 96.200 -27.8585
140.000000 96.145 -27.1955
143.000000 96.105 -26.1984
145.000000 96.105 -25.5836
147.500000 96.132 -24.9253
150.000000 96.187 -24.4374
152.500000 96.261 -24.1777
155.000000 96.344 -24.2022
157.500000 96.419 -24.5394
160.000000 96.467 -25.1489
162.500000 96.477 -25.9169
165.000000 96.445 -26.7224
167.500000 96.380 -27.4778
170.000000 96.288 -28.1393
172.500000 96.177 -28.6802
175.000000 96.055 -29.0729
177.500000 95.930 -29.3271
180.000000 95.808 -29.4774
182.500000 95.691 -29.5504
185.000000 95.578 -29.5682
187.500000 95.470 -29.5480
190.000000 95.365 -29.4948
192.500000 95.262 -29.4058
195.000000 95.163 -29.2831
197.500000 95.066 -29.1321
200.000000 94.973 -28.9590
203.000000 94.865 -28.7264
206.000000 94.761 -28.4711
209.000000 94.663 -28.1925
212.000000 94.569 -27.8892
214.000000 94.510 -27.6804
218.000000 94.398 -27.2673
220.000000 94.344 -27.0638
224.000000 94.238 -26.6547
227.000000 94.162 -26.3409
230.000000 94.087 -26.0165
233.000000 94.013 -25.6819
236.000000 93.942 -25.3359
240.000000 93.854 -24.8607
243.000000 93.791 -24.5042
247.000000 93.709 -24.0344
250.000000 93.650 -23.6795
254.000000 93.574 -23.1952
258.000000 93.502 -22.7018
262.000000 93.434 -22.2123
265.000000 93.385 -21.8485
269.000000 93.323 -21.3619
272.000000 93.278 -20.9976
276.000000 93.221 -20.5155
280.000000 93.166 -20.0367
285.000000 93.099 -19.4432
290.000000 93.036 -18.8480
295.000000 92.975 -18.2456
300.000000 92.917 -17.6422
304.000000 92.874 -17.1536
307.000000 92.842 -16.7835
311.000000 92.802 -16.2872
315.000000 92.764 -15.7865
320.000000 92.721 -15.1506
325.000000 92.685 -14.5024
330.000000 92.655 -13.8477
335.000000 92.635 -13.2003
340.000000 92.625 -12.5859
345.000000 92.621 -12.0410
350.000000 92.619 -11.5786
355.000000 92.613 -11.1823
360.000000 92.600 -10.8186
365.000000 92.581 -10.4555
370.000000 92.558 -10.0742
375.000000 92.535 -9.6730
382.000000 92.503 -9.0811
387.000000 92.482 -8.6496
395.000000 92.451 -7.9558
400.000000 92.434 -7.5239
406.000000 92.416 -7.0083
412.000000 92.400 -6.4972
418.000000 92.386 -5.9918
425.000000 92.371 -5.4128
431.000000 92.360 -4.9249
437.000000 92.350 -4.4453
444.000000 92.341 -3.8918
450.000000 92.334 -3.4245
455.000000 92.329 -3.0393
462.000000 92.323 -2.5074
468.000000 92.318 -2.0605
475.000000 92.314 -1.5458
482.000000 92.312 -1.0369
487.000000 92.310 -0.6785
494.000000 92.309 -0.1857
500.000000 92.309 0.2295
508.000000 92.310 0.7770
515.000000 92.311 1.2482
522.000000 92.313 1.7106
530.000000 92.315 2.2303
538.000000 92.318 2.7441
545.000000 92.322 3.1874
552.000000 92.326 3.6236
560.000000 92.332 4.1175
570.000000 92.341 4.7255
580.000000 92.350 5.3285
590.000000 92.360 5.9228
600.000000 92.371 6.5137
608.000000 92.381 6.9814
615.000000 92.389 7.3863
622.000000 92.398 7.7883
630.000000 92.408 8.2436
640.000000 92.423 8.8099
650.000000 92.439 9.3783
660.000000 92.456 9.9440
670.000000 92.473 10.5010
680.000000 92.492 11.0536
690.000000 92.513 11.6061
700.000000 92.534 12.1602
710.000000 92.556 12.7136
720.000000 92.579 13.2620
730.000000 92.604 13.8043
740.000000 92.631 14.3438
750.000000 92.658 14.8824
762.000000 92.694 15.5249
775.000000 92.736 16.2148
788.000000 92.780 16.9022
800.000000 92.824 17.5352
812.000000 92.871 18.1615
825.000000 92.925 18.8258
838.000000 92.982 19.4788
850.000000 93.037 20.0684
862.000000 93.095 20.6437
875.000000 93.162 21.2541
885.000000 93.216 21.7107
900.000000 93.301 22.3751
912.000000 93.371 22.8892
925.000000 93.451 23.4238
938.000000 93.533 23.9334
950.000000 93.613 24.3839
962.000000 93.694 24.8090
975.000000 93.784 25.2388
988.000000 93.876 25.6394
1000.000000 93.961 25.9802
1015.000000 94.070 26.3674
1030.000000 94.179 26.7159
1044.000000 94.281 27.0022
1060.000000 94.397 27.2843
1075.000000 94.506 27.5062
1090.000000 94.614 27.6913
1106.000000 94.726 27.8505
1120.000000 94.822 27.9575
1138.000000 94.943 28.0540
1150.000000 95.021 28.0942
1172.000000 95.160 28.1219
1180.000000 95.209 28.1208
1206.000000 95.361 28.0737
1220.000000 95.438 28.0247
1241.000000 95.550 27.9308
1250.000000 95.595 27.8830
1265.000000 95.669 27.7965
1280.000000 95.740 27.7063
1315.000000 95.896 27.4840
1320.000000 95.918 27.4520
1340.000000 96.000 27.3226
1360.000000 96.078 27.1849
1380.000000 96.153 27.0450
1400.000000 96.225 26.9074
1430.000000 96.330 26.6995
1450.000000 96.398 26.5624
1475.000000 96.480 26.3907
1500.000000 96.562 26.2235
1525.000000 96.642 26.0574
1550.000000 96.721 25.8907
1575.000000 96.800 25.7260
1600.000000 96.879 25.5573
1625.000000 96.958 25.3801
1650.000000 97.038 25.1982
1675.000000 97.118 25.0068
1700.000000 97.198 24.8032
1725.000000 97.279 24.5920
1750.000000 97.362 24.3702
1775.000000 97.445 24.1350
1800.000000 97.529 23.8857
1825.000000 97.613 23.6284
1850.000000 97.698 23.3657
1875.000000 97.783 23.0942
1900.000000 97.870 22.8080
1925.000000 97.957 22.5027
1950.000000 98.045 22.1771
1975.000000 98.132 21.8297
2000.000000 98.218 21.4590
2030.000000 98.321 20.9789
2060.000000 98.423 20.4630
2090.000000 98.524 19.9094
2120.000000 98.622 19.3115
2140.000000 98.686 18.8889
2180.000000 98.809 17.9910
2200.000000 98.868 17.5154
2240.000000 98.980 16.5110
2270.000000 99.057 15.7135
2300.000000 99.128 14.8774
2330.000000 99.191 14.0059
2360.000000 99.247 13.1037
2400.000000 99.306 11.8555
2430.000000 99.339 10.8920
2470.000000 99.367 9.5900
2500.000000 99.374 8.6128
2540.000000 99.367 7.3250
2580.000000 99.339 6.0747
2620.000000 99.293 4.8740
2650.000000 99.246 4.0096
2690.000000 99.172 2.9205
2720.000000 99.108 2.1646
2760.000000 99.013 1.2406
2800.000000 98.910 0.4033
2850.000000 98.774 -0.5277
2900.000000 98.632 -1.3354
2950.000000 98.487 -2.0313
3000.000000 98.340 -2.6288
3040.000000 98.223 -3.0493
3070.000000 98.133 -3.3285
3110.000000 98.010 -3.6552
3150.000000 97.885 -3.9298
3200.000000 97.725 -4.1912
3250.000000 97.562 -4.3565
3300.000000 97.394 -4.4215
3350.000000 97.225 -4.3726
3400.000000 97.055 -4.1997
3450.000000 96.886 -3.9000
3500.000000 96.722 -3.4706
3550.000000 96.563 -2.9006
3600.000000 96.413 -2.1868
3650.000000 96.276 -1.3361
3700.000000 96.154 -0.3546
3750.000000 96.055 0.7493
3820.000000 95.959 2.4519
3870.000000 95.928 3.7317
3950.000000 95.948 5.7603
4000.000000 96.002 6.9204
4060.000000 96.103 8.1086
4120.000000 96.230 9.0212
4180.000000 96.367 9.6340
4250.000000 96.523 9.9980
4310.000000 96.643 10.0618
4370.000000 96.744 9.9655
4440.000000 96.837 9.7195
4500.000000 96.898 9.4349
4550.000000 96.938 9.1671
4620.000000 96.979 8.7696
4680.000000 97.003 8.4108
4750.000000 97.020 7.9760
4820.000000 97.026 7.5210
4870.000000 97.025 7.1827
4940.000000 97.014 6.6900
5000.000000 96.995 6.2421
5080.000000 96.953 5.5977
5150.000000 96.898 4.9940
5220.000000 96.822 4.3723
