* Measurement data measured by REW V5.31.3
* Source: Scarlett Solo USB, Scarlett Solo USB , L, volume: no control. Timing signal peak level -15.4 dBFS, measurement signal peak level -14.6 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Dec 30, 2025 3:38:55 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0712 ms (-24 mm, -0.96 in) using estimated IR delay relative to Acoustic reference played from Qudelix-5K R with no timing offset Clock adjustment: 33.9 ppm
* Measurement: Ziigaat Luna Coffee R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 101.278 30.2549
20.299999 101.294 29.5858
20.600000 101.310 28.9262
20.900000 101.325 28.2760
21.200001 101.339 27.6365
21.400000 101.348 27.2173
21.799999 101.364 26.3988
22.000000 101.372 26.0006
22.400000 101.387 25.2266
22.700001 101.399 24.6644
23.000000 101.410 24.1163
23.299999 101.421 23.5811
23.600000 101.431 23.0593
24.000000 101.443 22.3868
24.299999 101.451 21.9022
24.700001 101.462 21.2841
25.000000 101.471 20.8402
25.400000 101.485 20.2686
25.799999 101.503 19.7100
26.200001 101.524 19.1505
26.500000 101.541 18.7221
26.900000 101.565 18.1306
27.200001 101.583 17.6692
27.600000 101.605 17.0334
28.000000 101.622 16.3849
28.500000 101.636 15.5793
29.000000 101.646 14.8003
29.500000 101.653 14.0538
30.000000 101.659 13.3351
30.400000 101.664 12.7762
30.700001 101.668 12.3654
31.100000 101.674 11.8254
31.500000 101.680 11.2892
32.000000 101.686 10.6147
32.500000 101.690 9.9340
33.000000 101.689 9.2585
33.500000 101.684 8.6027
34.000000 101.677 7.9688
34.500000 101.670 7.3463
35.000000 101.662 6.7257
35.500000 101.653 6.1071
36.000000 101.643 5.4967
36.500000 101.632 4.8972
37.000000 101.622 4.3058
37.500000 101.613 3.7186
38.200001 101.600 2.9049
38.700001 101.590 2.3345
39.500000 101.576 1.4462
40.000000 101.567 0.9069
40.599998 101.556 0.2762
41.200001 101.544 -0.3359
41.799999 101.533 -0.9314
42.500000 101.519 -1.6115
43.099998 101.505 -2.1849
43.700001 101.490 -2.7472
44.400002 101.470 -3.3843
45.000000 101.452 -3.9152
45.500000 101.438 -4.3508
46.200001 101.417 -4.9542
46.799999 101.399 -5.4644
47.500000 101.377 -6.0483
48.200001 101.356 -6.6193
48.700001 101.340 -7.0195
49.400002 101.319 -7.5688
50.000000 101.300 -8.0280
50.799999 101.276 -8.6257
51.500000 101.256 -9.1428
52.200001 101.235 -9.6580
53.000000 101.209 -10.2395
53.799999 101.181 -10.8090
54.500000 101.155 -11.2969
55.200001 101.128 -11.7731
56.000000 101.097 -12.3036
57.000000 101.058 -12.9539
58.000000 101.018 -13.5914
59.000000 100.976 -14.2139
60.000000 100.934 -14.8148
60.799999 100.899 -15.2770
61.500000 100.869 -15.6719
62.200001 100.839 -16.0604
63.000000 100.805 -16.4957
64.000000 100.761 -17.0243
65.000000 100.717 -17.5386
66.000000 100.672 -18.0421
67.000000 100.626 -18.5336
68.000000 100.579 -19.0090
69.000000 100.532 -19.4686
70.000000 100.485 -19.9174
71.000000 100.438 -20.3561
72.000000 100.391 -20.7820
73.000000 100.343 -21.1940
74.000000 100.296 -21.5925
75.000000 100.249 -21.9803
76.199997 100.192 -22.4360
77.500000 100.129 -22.9178
78.800003 100.066 -23.3827
80.000000 100.006 -23.7941
81.199997 99.947 -24.1890
82.500000 99.883 -24.6012
83.800003 99.818 -24.9994
85.000000 99.759 -25.3498
86.199997 99.700 -25.6857
87.500000 99.637 -26.0405
88.500000 99.589 -26.3089
90.000000 99.516 -26.7030
91.199997 99.459 -27.0107
92.500000 99.396 -27.3371
93.800003 99.332 -27.6552
95.000000 99.273 -27.9410
96.199997 99.213 -28.2177
97.500000 99.146 -28.5034
98.800003 99.079 -28.7737
100.000000 99.017 -29.0099
101.500000 98.940 -29.2878
103.000000 98.865 -29.5488
104.400002 98.795 -29.7814
106.000000 98.715 -30.0386
107.500000 98.640 -30.2745
109.000000 98.563 -30.5000
110.599998 98.482 -30.7263
112.000000 98.410 -30.9127
113.800003 98.318 -31.1349
115.000000 98.257 -31.2712
117.199997 98.144 -31.4955
118.000000 98.103 -31.5712
120.599998 97.970 -31.7988
122.000000 97.897 -31.9012
124.099998 97.788 -32.0251
125.000000 97.742 -32.0679
126.500000 97.664 -32.1276
128.000000 97.587 -32.1738
131.500000 97.407 -32.2207
132.000000 97.381 -32.2191
134.000000 97.279 -32.1888
136.000000 97.177 -32.1188
138.000000 97.078 -32.0090
140.000000 96.982 -31.8528
143.000000 96.849 -31.5274
145.000000 96.771 -31.2650
147.500000 96.687 -30.9366
150.000000 96.611 -30.6449
152.500000 96.536 -30.3470
155.000000 96.468 -30.0023
157.500000 96.410 -29.6252
160.000000 96.370 -29.2307
162.500000 96.352 -28.8728
165.000000 96.353 -28.6445
167.500000 96.359 -28.6038
170.000000 96.353 -28.7246
172.500000 96.327 -28.8955
175.000000 96.293 -29.0201
177.500000 96.264 -29.1438
180.000000 96.235 -29.3754
182.500000 96.192 -29.7069
185.000000 96.129 -30.0521
187.500000 96.049 -30.3429
190.000000 95.959 -30.5516
192.500000 95.865 -30.6783
195.000000 95.771 -30.7357
197.500000 95.679 -30.7411
200.000000 95.590 -30.7056
203.000000 95.486 -30.6195
206.000000 95.386 -30.4953
209.000000 95.291 -30.3458
212.000000 95.202 -30.1798
214.000000 95.144 -30.0646
218.000000 95.031 -29.8322
220.000000 94.975 -29.7109
224.000000 94.865 -29.4459
227.000000 94.785 -29.2219
230.000000 94.706 -28.9788
233.000000 94.629 -28.7243
236.000000 94.556 -28.4604
240.000000 94.464 -28.0971
243.000000 94.398 -27.8170
247.000000 94.313 -27.4323
250.000000 94.252 -27.1389
254.000000 94.173 -26.7449
258.000000 94.100 -26.3531
262.000000 94.030 -25.9689
265.000000 93.978 -25.6765
269.000000 93.911 -25.2804
272.000000 93.863 -24.9863
276.000000 93.802 -24.5971
280.000000 93.744 -24.2076
285.000000 93.673 -23.7169
290.000000 93.606 -23.2234
295.000000 93.542 -22.7285
300.000000 93.482 -22.2300
304.000000 93.437 -21.8236
307.000000 93.406 -21.5128
311.000000 93.366 -21.0914
315.000000 93.331 -20.6722
320.000000 93.292 -20.1647
325.000000 93.259 -19.6810
330.000000 93.232 -19.2245
335.000000 93.207 -18.8033
340.000000 93.180 -18.4205
345.000000 93.150 -18.0568
350.000000 93.119 -17.6880
355.000000 93.088 -17.3074
360.000000 93.059 -16.9219
365.000000 93.030 -16.5402
370.000000 93.002 -16.1571
375.000000 92.976 -15.7648
382.000000 92.943 -15.2105
387.000000 92.921 -14.8186
395.000000 92.890 -14.1968
400.000000 92.872 -13.8146
406.000000 92.851 -13.3672
412.000000 92.834 -12.9280
418.000000 92.818 -12.4891
425.000000 92.802 -11.9803
431.000000 92.789 -11.5590
437.000000 92.777 -11.1562
444.000000 92.767 -10.6924
450.000000 92.759 -10.2948
455.000000 92.752 -9.9663
462.000000 92.744 -9.5132
468.000000 92.739 -9.1344
475.000000 92.733 -8.7009
482.000000 92.728 -8.2772
487.000000 92.726 -7.9816
494.000000 92.723 -7.5748
500.000000 92.722 -7.2280
508.000000 92.720 -6.7662
515.000000 92.720 -6.3684
522.000000 92.721 -5.9810
530.000000 92.722 -5.5510
538.000000 92.725 -5.1277
545.000000 92.727 -4.7612
552.000000 92.731 -4.3998
560.000000 92.736 -3.9896
570.000000 92.744 -3.4865
580.000000 92.753 -2.9948
590.000000 92.762 -2.5112
600.000000 92.773 -2.0256
608.000000 92.782 -1.6377
615.000000 92.790 -1.3021
622.000000 92.799 -0.9728
630.000000 92.810 -0.6047
640.000000 92.825 -0.1489
650.000000 92.841 0.3094
660.000000 92.856 0.7689
670.000000 92.874 1.2214
680.000000 92.893 1.6661
690.000000 92.913 2.1041
700.000000 92.934 2.5406
710.000000 92.956 2.9814
720.000000 92.980 3.4213
730.000000 93.006 3.8537
740.000000 93.033 4.2787
750.000000 93.061 4.7014
762.000000 93.098 5.2086
775.000000 93.140 5.7485
788.000000 93.185 6.2825
800.000000 93.228 6.7721
812.000000 93.276 7.2562
825.000000 93.330 7.7673
838.000000 93.387 8.2667
850.000000 93.443 8.7173
862.000000 93.502 9.1575
875.000000 93.570 9.6174
885.000000 93.624 9.9557
900.000000 93.710 10.4437
912.000000 93.782 10.8163
925.000000 93.862 11.1958
938.000000 93.945 11.5458
950.000000 94.025 11.8480
962.000000 94.107 12.1279
975.000000 94.198 12.4024
988.000000 94.290 12.6473
1000.000000 94.377 12.8453
1015.000000 94.486 13.0558
1030.000000 94.597 13.2272
1044.000000 94.699 13.3485
1060.000000 94.817 13.4399
1075.000000 94.927 13.4819
1090.000000 95.035 13.4849
1106.000000 95.148 13.4450
1120.000000 95.245 13.3735
1138.000000 95.366 13.2402
1150.000000 95.445 13.1282
1172.000000 95.584 12.8765
1180.000000 95.633 12.7754
1206.000000 95.785 12.4164
1220.000000 95.863 12.2029
1241.000000 95.975 11.8672
1250.000000 96.021 11.7192
1265.000000 96.094 11.4683
1280.000000 96.164 11.2147
1315.000000 96.317 10.6053
1320.000000 96.338 10.5173
1340.000000 96.419 10.1674
1360.000000 96.495 9.8187
1380.000000 96.568 9.4766
1400.000000 96.637 9.1427
1430.000000 96.738 8.6537
1450.000000 96.802 8.3395
1475.000000 96.881 7.9531
1500.000000 96.957 7.5767
1525.000000 97.032 7.2079
1550.000000 97.106 6.8467
1575.000000 97.180 6.4966
1600.000000 97.253 6.1562
1625.000000 97.326 5.8201
1650.000000 97.399 5.4879
1675.000000 97.472 5.1497
1700.000000 97.547 4.8007
1725.000000 97.621 4.4494
1750.000000 97.696 4.0941
1775.000000 97.771 3.7307
1800.000000 97.847 3.3529
1825.000000 97.923 2.9606
1850.000000 97.999 2.5558
1875.000000 98.076 2.1351
1900.000000 98.153 1.6998
1925.000000 98.231 1.2479
1950.000000 98.308 0.7753
1975.000000 98.384 0.2803
2000.000000 98.461 -0.2354
2030.000000 98.551 -0.8855
2060.000000 98.641 -1.5683
2090.000000 98.728 -2.2843
2120.000000 98.813 -3.0408
2140.000000 98.868 -3.5674
2180.000000 98.974 -4.6708
2200.000000 99.024 -5.2506
2240.000000 99.119 -6.4626
2270.000000 99.184 -7.4106
2300.000000 99.243 -8.3948
2330.000000 99.295 -9.4133
2360.000000 99.340 -10.4626
2400.000000 99.387 -11.9077
2430.000000 99.412 -13.0184
2470.000000 99.429 -14.5178
2500.000000 99.429 -15.6476
2540.000000 99.413 -17.1517
2580.000000 99.377 -18.6295
2620.000000 99.322 -20.0640
2650.000000 99.270 -21.1113
2690.000000 99.187 -22.4546
2720.000000 99.115 -23.4022
2760.000000 99.008 -24.5805
2800.000000 98.891 -25.6746
2850.000000 98.737 -26.9242
2900.000000 98.578 -28.0425
2950.000000 98.415 -29.0400
3000.000000 98.252 -29.9368
3040.000000 98.122 -30.6011
3070.000000 98.024 -31.0659
3110.000000 97.892 -31.6423
3150.000000 97.760 -32.1682
3200.000000 97.592 -32.7478
3250.000000 97.422 -33.2430
3300.000000 97.249 -33.6440
3350.000000 97.074 -33.9371
3400.000000 96.898 -34.1226
3450.000000 96.722 -34.1978
3500.000000 96.547 -34.1571
3550.000000 96.377 -33.9837
3600.000000 96.213 -33.6539
3650.000000 96.058 -33.1611
3700.000000 95.914 -32.5143
3750.000000 95.788 -31.7177
3820.000000 95.650 -30.3732
3870.000000 95.585 -29.2853
3950.000000 95.551 -27.4392
4000.000000 95.577 -26.3080
4060.000000 95.655 -25.0771
4120.000000 95.773 -24.0797
4180.000000 95.916 -23.3911
4250.000000 96.094 -22.9998
4310.000000 96.237 -22.9841
4370.000000 96.362 -23.1976
4440.000000 96.480 -23.6570
4500.000000 96.557 -24.1685
4550.000000 96.606 -24.6426
4620.000000 96.653 -25.3406
4680.000000 96.676 -25.9509
4750.000000 96.687 -26.6609
4820.000000 96.686 -27.3722
4870.000000 96.677 -27.8848
4940.000000 96.655 -28.6121
