* Measurement data measured by REW V5.31.3
* Source: Scarlett Solo USB, Scarlett Solo USB , L, volume: no control. Timing signal peak level -14.8 dBFS, measurement signal peak level -14.5 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Dec 30, 2025 3:34:38 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0339 ms (-12 mm, -0.46 in) using estimated IR delay relative to Acoustic reference played from Qudelix-5K L with no timing offset Clock adjustment: -35.8 ppm
* Measurement: Ziigaat Luna Stock Clear L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 101.433 30.9022
20.299999 101.452 30.2511
20.600000 101.470 29.6113
20.900000 101.486 28.9819
21.200001 101.501 28.3624
21.400000 101.511 27.9545
21.799999 101.530 27.1497
22.000000 101.538 26.7524
22.400000 101.555 25.9670
22.700001 101.567 25.3854
23.000000 101.579 24.8097
23.299999 101.590 24.2400
23.600000 101.600 23.6763
24.000000 101.613 22.9349
24.299999 101.622 22.3875
24.700001 101.634 21.6695
25.000000 101.643 21.1396
25.400000 101.655 20.4435
25.799999 101.666 19.7576
26.200001 101.676 19.0814
26.500000 101.683 18.5817
26.900000 101.692 17.9265
27.200001 101.698 17.4440
27.600000 101.705 16.8119
28.000000 101.711 16.1907
28.500000 101.718 15.4271
29.000000 101.724 14.6771
29.500000 101.728 13.9409
30.000000 101.732 13.2172
30.400000 101.734 12.6453
30.700001 101.735 12.2196
31.100000 101.736 11.6562
31.500000 101.736 11.0986
32.000000 101.735 10.4111
32.500000 101.734 9.7349
33.000000 101.733 9.0687
33.500000 101.731 8.4111
34.000000 101.729 7.7626
34.500000 101.726 7.1252
35.000000 101.722 6.4999
35.500000 101.718 5.8860
36.000000 101.713 5.2809
36.500000 101.708 4.6833
37.000000 101.702 4.0938
37.500000 101.695 3.5133
38.200001 101.683 2.7174
38.700001 101.674 2.1603
39.500000 101.658 1.2855
40.000000 101.648 0.7467
40.599998 101.636 0.1067
41.200001 101.622 -0.5241
41.799999 101.607 -1.1428
42.500000 101.590 -1.8490
43.099998 101.575 -2.4443
43.700001 101.560 -3.0321
44.400002 101.540 -3.7048
45.000000 101.523 -4.2671
45.500000 101.508 -4.7266
46.200001 101.487 -5.3609
46.799999 101.468 -5.8983
47.500000 101.445 -6.5148
48.200001 101.421 -7.1154
48.700001 101.404 -7.5343
49.400002 101.379 -8.1102
50.000000 101.358 -8.5963
50.799999 101.329 -9.2330
51.500000 101.303 -9.7765
52.200001 101.276 -10.3064
53.000000 101.245 -10.8983
53.799999 101.213 -11.4781
54.500000 101.184 -11.9756
55.200001 101.155 -12.4622
56.000000 101.121 -13.0043
57.000000 101.078 -13.6649
58.000000 101.036 -14.3103
59.000000 100.992 -14.9423
60.000000 100.947 -15.5568
60.799999 100.910 -16.0297
61.500000 100.878 -16.4307
62.200001 100.846 -16.8229
63.000000 100.809 -17.2634
64.000000 100.763 -17.8027
65.000000 100.715 -18.3275
66.000000 100.667 -18.8375
67.000000 100.618 -19.3333
68.000000 100.568 -19.8162
69.000000 100.518 -20.2869
70.000000 100.467 -20.7433
71.000000 100.415 -21.1868
72.000000 100.364 -21.6188
73.000000 100.312 -22.0372
74.000000 100.259 -22.4400
75.000000 100.208 -22.8300
76.199997 100.145 -23.2850
77.500000 100.077 -23.7604
78.800003 100.008 -24.2174
80.000000 99.945 -24.6246
81.199997 99.881 -25.0202
82.500000 99.811 -25.4327
83.800003 99.742 -25.8290
85.000000 99.677 -26.1835
86.199997 99.612 -26.5255
87.500000 99.541 -26.8810
88.500000 99.485 -27.1445
90.000000 99.403 -27.5236
91.199997 99.337 -27.8145
92.500000 99.265 -28.1177
93.800003 99.193 -28.4067
95.000000 99.128 -28.6622
96.199997 99.061 -28.9125
97.500000 98.988 -29.1717
98.800003 98.915 -29.4148
100.000000 98.848 -29.6272
101.500000 98.765 -29.8793
103.000000 98.682 -30.1140
104.400002 98.606 -30.3213
106.000000 98.518 -30.5460
107.500000 98.435 -30.7440
109.000000 98.352 -30.9298
110.599998 98.265 -31.1161
112.000000 98.189 -31.2700
113.800003 98.091 -31.4575
115.000000 98.025 -31.5756
117.199997 97.904 -31.7759
118.000000 97.859 -31.8434
120.599998 97.714 -32.0419
122.000000 97.635 -32.1335
124.099998 97.515 -32.2454
125.000000 97.463 -32.2838
126.500000 97.376 -32.3357
128.000000 97.288 -32.3721
131.500000 97.082 -32.3901
132.000000 97.052 -32.3842
134.000000 96.930 -32.3367
136.000000 96.806 -32.2446
138.000000 96.680 -32.0978
140.000000 96.552 -31.8779
143.000000 96.359 -31.3619
145.000000 96.234 -30.8586
147.500000 96.092 -29.9968
150.000000 95.989 -28.8481
152.500000 95.961 -27.5157
155.000000 96.028 -26.3269
157.500000 96.166 -25.7120
160.000000 96.307 -25.8314
162.500000 96.393 -26.4709
165.000000 96.408 -27.2946
167.500000 96.365 -28.0686
170.000000 96.285 -28.6992
172.500000 96.186 -29.1733
175.000000 96.078 -29.5131
177.500000 95.967 -29.7454
180.000000 95.855 -29.8919
182.500000 95.745 -29.9652
185.000000 95.640 -29.9759
187.500000 95.538 -29.9375
190.000000 95.440 -29.8663
192.500000 95.344 -29.7726
195.000000 95.251 -29.6553
197.500000 95.160 -29.5172
200.000000 95.070 -29.3657
203.000000 94.963 -29.1655
206.000000 94.861 -28.9436
209.000000 94.760 -28.7015
212.000000 94.660 -28.4368
214.000000 94.593 -28.2473
218.000000 94.462 -27.8347
220.000000 94.398 -27.6104
224.000000 94.273 -27.1265
227.000000 94.179 -26.7240
230.000000 94.087 -26.2786
233.000000 93.997 -25.7866
236.000000 93.911 -25.2366
240.000000 93.807 -24.3801
243.000000 93.743 -23.6335
247.000000 93.692 -22.5215
250.000000 93.692 -21.6757
254.000000 93.746 -20.7657
258.000000 93.828 -20.3456
262.000000 93.883 -20.4019
265.000000 93.888 -20.5883
269.000000 93.853 -20.8057
272.000000 93.805 -20.8781
276.000000 93.729 -20.8442
280.000000 93.651 -20.6901
285.000000 93.556 -20.3826
290.000000 93.469 -19.9954
295.000000 93.390 -19.5582
300.000000 93.317 -19.0945
304.000000 93.263 -18.7062
307.000000 93.225 -18.4086
311.000000 93.178 -18.0096
315.000000 93.133 -17.6128
320.000000 93.080 -17.1209
325.000000 93.032 -16.6279
330.000000 92.988 -16.1323
335.000000 92.947 -15.6358
340.000000 92.909 -15.1425
345.000000 92.873 -14.6586
350.000000 92.839 -14.1809
355.000000 92.809 -13.7092
360.000000 92.782 -13.2441
365.000000 92.756 -12.7874
370.000000 92.732 -12.3356
375.000000 92.709 -11.8892
382.000000 92.681 -11.2737
387.000000 92.662 -10.8424
395.000000 92.634 -10.1714
400.000000 92.618 -9.7662
406.000000 92.601 -9.2905
412.000000 92.586 -8.8212
418.000000 92.572 -8.3624
425.000000 92.558 -7.8445
431.000000 92.547 -7.4100
437.000000 92.537 -6.9868
444.000000 92.528 -6.5024
450.000000 92.521 -6.0939
455.000000 92.515 -5.7595
462.000000 92.509 -5.3025
468.000000 92.504 -4.9215
475.000000 92.500 -4.4835
482.000000 92.497 -4.0518
487.000000 92.495 -3.7499
494.000000 92.494 -3.3376
500.000000 92.493 -2.9919
508.000000 92.493 -2.5358
515.000000 92.493 -2.1432
522.000000 92.494 -1.7577
530.000000 92.496 -1.3257
538.000000 92.499 -0.9030
545.000000 92.502 -0.5383
552.000000 92.506 -0.1800
560.000000 92.511 0.2237
570.000000 92.518 0.7177
580.000000 92.527 1.2039
590.000000 92.536 1.6807
600.000000 92.547 2.1531
608.000000 92.556 2.5268
615.000000 92.565 2.8496
622.000000 92.573 3.1689
630.000000 92.584 3.5287
640.000000 92.598 3.9734
650.000000 92.615 4.4185
660.000000 92.631 4.8611
670.000000 92.648 5.2949
680.000000 92.667 5.7253
690.000000 92.687 6.1547
700.000000 92.708 6.5825
710.000000 92.730 7.0090
720.000000 92.754 7.4313
730.000000 92.780 7.8500
740.000000 92.807 8.2664
750.000000 92.835 8.6798
762.000000 92.871 9.1726
775.000000 92.914 9.6998
788.000000 92.958 10.2253
800.000000 93.003 10.7088
812.000000 93.050 11.1866
825.000000 93.104 11.6927
838.000000 93.162 12.1891
850.000000 93.219 12.6354
862.000000 93.278 13.0708
875.000000 93.345 13.5322
885.000000 93.400 13.8746
900.000000 93.487 14.3674
912.000000 93.559 14.7423
925.000000 93.640 15.1273
938.000000 93.724 15.4882
950.000000 93.805 15.8011
962.000000 93.888 16.0909
975.000000 93.980 16.3788
988.000000 94.073 16.6403
1000.000000 94.161 16.8539
1015.000000 94.272 17.0832
1030.000000 94.384 17.2737
1044.000000 94.489 17.4139
1060.000000 94.608 17.5303
1075.000000 94.719 17.5976
1090.000000 94.830 17.6293
1106.000000 94.945 17.6258
1120.000000 95.045 17.5909
1138.000000 95.169 17.5073
1150.000000 95.250 17.4278
1172.000000 95.394 17.2386
1180.000000 95.444 17.1602
1206.000000 95.602 16.8657
1220.000000 95.683 16.6838
1241.000000 95.799 16.3928
1250.000000 95.847 16.2621
1265.000000 95.924 16.0383
1280.000000 95.998 15.8118
1315.000000 96.162 15.2742
1320.000000 96.184 15.1973
1340.000000 96.270 14.8914
1360.000000 96.353 14.5853
1380.000000 96.433 14.2873
1400.000000 96.510 13.9987
1430.000000 96.621 13.5771
1450.000000 96.693 13.3054
1475.000000 96.781 12.9716
1500.000000 96.867 12.6478
1525.000000 96.951 12.3314
1550.000000 97.034 12.0221
1575.000000 97.117 11.7296
1600.000000 97.200 11.4552
1625.000000 97.283 11.1906
1650.000000 97.366 10.9338
1675.000000 97.450 10.6755
1700.000000 97.534 10.4105
1725.000000 97.618 10.1447
1750.000000 97.703 9.8744
1775.000000 97.789 9.5987
1800.000000 97.875 9.3183
1825.000000 97.962 9.0339
1850.000000 98.048 8.7455
1875.000000 98.134 8.4485
1900.000000 98.220 8.1445
1925.000000 98.306 7.8356
1950.000000 98.392 7.5238
1975.000000 98.477 7.2108
2000.000000 98.562 6.8972
2030.000000 98.664 6.5178
2060.000000 98.767 6.1385
2090.000000 98.875 5.7606
2120.000000 98.987 5.3708
2140.000000 99.067 5.0939
2180.000000 99.238 4.4540
2200.000000 99.328 4.0635
2240.000000 99.506 3.0975
2270.000000 99.631 2.2156
2300.000000 99.742 1.2255
2330.000000 99.838 0.1597
2360.000000 99.917 -0.9536
2400.000000 99.998 -2.4811
2430.000000 100.041 -3.6430
2470.000000 100.077 -5.1934
2500.000000 100.089 -6.3475
2540.000000 100.084 -7.8631
2580.000000 100.058 -9.3317
2620.000000 100.012 -10.7384
2650.000000 99.966 -11.7490
2690.000000 99.891 -13.0253
2720.000000 99.826 -13.9169
2760.000000 99.728 -15.0151
2800.000000 99.622 -16.0164
2850.000000 99.481 -17.1289
2900.000000 99.337 -18.0915
2950.000000 99.193 -18.9268
3000.000000 99.053 -19.6606
3040.000000 98.943 -20.1958
3070.000000 98.861 -20.5684
3110.000000 98.750 -21.0315
3150.000000 98.638 -21.4545
3200.000000 98.495 -21.9139
3250.000000 98.349 -22.2898
3300.000000 98.201 -22.5757
3350.000000 98.051 -22.7587
3400.000000 97.900 -22.8308
3450.000000 97.749 -22.7856
3500.000000 97.601 -22.6185
3550.000000 97.458 -22.3180
3600.000000 97.322 -21.8832
3650.000000 97.197 -21.3232
3700.000000 97.087 -20.6425
3750.000000 96.995 -19.8503
3820.000000 96.906 -18.5959
3870.000000 96.874 -17.6390
3950.000000 96.881 -16.1085
4000.000000 96.922 -15.2267
4060.000000 97.003 -14.3208
4120.000000 97.109 -13.6326
4180.000000 97.228 -13.1934
4250.000000 97.368 -12.9816
4310.000000 97.481 -13.0217
4370.000000 97.581 -13.2133
4440.000000 97.680 -13.5730
4500.000000 97.752 -13.9643
4550.000000 97.804 -14.3356
4620.000000 97.865 -14.9141
4680.000000 97.907 -15.4643
4750.000000 97.944 -16.1666
4820.000000 97.968 -16.9359
4870.000000 97.976 -17.5260
4940.000000 97.974 -18.4034
5000.000000 97.957 -19.1977
