* Measurement data measured by REW V5.31.3
* Source: Scarlett Solo USB, Scarlett Solo USB , L, volume: no control. Timing signal peak level -14.5 dBFS, measurement signal peak level -14.3 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Dec 30, 2025 3:35:16 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0024 ms (-0.81 mm, -0.03 in) using estimated IR delay relative to Acoustic reference played from Qudelix-5K R with no timing offset Clock adjustment: -235.2 ppm
* Measurement: Ziigaat Luna Stock Clear R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 101.558 31.8338
20.299999 101.577 31.1758
20.600000 101.596 30.5294
20.900000 101.614 29.8937
21.200001 101.630 29.2673
21.400000 101.641 28.8542
21.799999 101.661 28.0383
22.000000 101.671 27.6354
22.400000 101.688 26.8403
22.700001 101.701 26.2537
23.000000 101.712 25.6750
23.299999 101.724 25.1036
23.600000 101.735 24.5385
24.000000 101.749 23.7936
24.299999 101.758 23.2416
24.700001 101.771 22.5160
25.000000 101.780 21.9805
25.400000 101.791 21.2786
25.799999 101.802 20.5891
26.200001 101.813 19.9105
26.500000 101.820 19.4080
26.900000 101.830 18.7466
27.200001 101.837 18.2576
27.600000 101.846 17.6150
28.000000 101.854 16.9828
28.500000 101.864 16.2057
29.000000 101.872 15.4416
29.500000 101.879 14.6898
30.000000 101.885 13.9505
30.400000 101.889 13.3683
30.700001 101.891 12.9367
31.100000 101.894 12.3675
31.500000 101.896 11.8046
32.000000 101.898 11.1096
32.500000 101.899 10.4253
33.000000 101.899 9.7528
33.500000 101.899 9.0916
34.000000 101.899 8.4398
34.500000 101.897 7.7969
35.000000 101.896 7.1639
35.500000 101.893 6.5408
36.000000 101.891 5.9260
36.500000 101.888 5.3173
37.000000 101.884 4.7145
37.500000 101.880 4.1193
38.200001 101.872 3.3007
38.700001 101.865 2.7258
39.500000 101.854 1.8195
40.000000 101.847 1.2610
40.599998 101.837 0.6003
41.200001 101.826 -0.0481
41.799999 101.814 -0.6833
42.500000 101.801 -1.4098
43.099998 101.789 -2.0229
43.700001 101.776 -2.6278
44.400002 101.761 -3.3203
45.000000 101.746 -3.9012
45.500000 101.734 -4.3781
46.200001 101.717 -5.0375
46.799999 101.701 -5.5962
47.500000 101.682 -6.2389
48.200001 101.661 -6.8695
48.700001 101.646 -7.3120
49.400002 101.624 -7.9216
50.000000 101.606 -8.4365
50.799999 101.580 -9.1111
51.500000 101.556 -9.6870
52.200001 101.533 -10.2490
53.000000 101.505 -10.8772
53.799999 101.478 -11.4912
54.500000 101.452 -12.0167
55.200001 101.427 -12.5306
56.000000 101.396 -13.1025
57.000000 101.359 -13.7992
58.000000 101.321 -14.4838
59.000000 101.281 -15.1534
60.000000 101.241 -15.8088
60.799999 101.208 -16.3244
61.500000 101.178 -16.7651
62.200001 101.148 -17.1954
63.000000 101.114 -17.6765
64.000000 101.071 -18.2651
65.000000 101.028 -18.8390
66.000000 100.984 -19.3960
67.000000 100.939 -19.9333
68.000000 100.895 -20.4549
69.000000 100.849 -20.9630
70.000000 100.803 -21.4575
71.000000 100.756 -21.9392
72.000000 100.709 -22.4103
73.000000 100.662 -22.8728
74.000000 100.614 -23.3224
75.000000 100.566 -23.7592
76.199997 100.509 -24.2723
77.500000 100.446 -24.8097
78.800003 100.383 -25.3267
80.000000 100.324 -25.7863
81.199997 100.266 -26.2296
82.500000 100.204 -26.6978
83.800003 100.141 -27.1560
85.000000 100.081 -27.5661
86.199997 100.021 -27.9620
87.500000 99.956 -28.3746
88.500000 99.905 -28.6816
90.000000 99.830 -29.1307
91.199997 99.770 -29.4832
92.500000 99.705 -29.8567
93.800003 99.640 -30.2214
95.000000 99.580 -30.5521
96.199997 99.518 -30.8727
97.500000 99.451 -31.2049
98.800003 99.384 -31.5255
100.000000 99.321 -31.8113
101.500000 99.243 -32.1550
103.000000 99.164 -32.4834
104.400002 99.091 -32.7755
106.000000 99.007 -33.0917
107.500000 98.928 -33.3723
109.000000 98.850 -33.6412
110.599998 98.766 -33.9171
112.000000 98.692 -34.1493
113.800003 98.597 -34.4348
115.000000 98.533 -34.6165
117.199997 98.416 -34.9257
118.000000 98.374 -35.0311
120.599998 98.234 -35.3533
122.000000 98.158 -35.5055
124.099998 98.042 -35.7062
125.000000 97.993 -35.7820
126.500000 97.910 -35.8942
128.000000 97.827 -35.9875
131.500000 97.633 -36.1194
132.000000 97.606 -36.1273
134.000000 97.496 -36.1276
136.000000 97.388 -36.0763
138.000000 97.283 -35.9719
140.000000 97.184 -35.8121
143.000000 97.050 -35.4810
145.000000 96.973 -35.2136
147.500000 96.893 -34.8507
150.000000 96.832 -34.4837
152.500000 96.789 -34.1399
155.000000 96.767 -33.8567
157.500000 96.762 -33.6936
160.000000 96.765 -33.7048
162.500000 96.765 -33.8923
165.000000 96.750 -34.2169
167.500000 96.715 -34.6100
170.000000 96.661 -34.9993
172.500000 96.593 -35.3470
175.000000 96.519 -35.6562
177.500000 96.441 -35.9343
180.000000 96.358 -36.1732
182.500000 96.274 -36.3698
185.000000 96.190 -36.5312
187.500000 96.106 -36.6663
190.000000 96.023 -36.7868
192.500000 95.939 -36.8921
195.000000 95.854 -36.9774
197.500000 95.768 -37.0406
200.000000 95.683 -37.0842
203.000000 95.580 -37.1108
206.000000 95.479 -37.1127
209.000000 95.379 -37.0908
212.000000 95.279 -37.0432
214.000000 95.212 -36.9968
218.000000 95.081 -36.8654
220.000000 95.017 -36.7792
224.000000 94.892 -36.5730
227.000000 94.800 -36.3932
230.000000 94.710 -36.1882
233.000000 94.621 -35.9567
236.000000 94.535 -35.6959
240.000000 94.423 -35.2910
243.000000 94.343 -34.9427
247.000000 94.244 -34.4067
250.000000 94.180 -33.9432
254.000000 94.114 -33.2456
258.000000 94.080 -32.5129
262.000000 94.085 -31.8762
265.000000 94.107 -31.5521
269.000000 94.143 -31.3900
272.000000 94.159 -31.4470
276.000000 94.156 -31.6515
280.000000 94.122 -31.8728
285.000000 94.052 -32.0577
290.000000 93.969 -32.1191
295.000000 93.883 -32.0760
300.000000 93.800 -31.9528
304.000000 93.737 -31.8115
307.000000 93.691 -31.6885
311.000000 93.633 -31.5083
315.000000 93.579 -31.3162
320.000000 93.515 -31.0649
325.000000 93.457 -30.8037
330.000000 93.403 -30.5374
335.000000 93.353 -30.2689
340.000000 93.306 -30.0012
345.000000 93.262 -29.7373
350.000000 93.220 -29.4816
355.000000 93.182 -29.2334
360.000000 93.147 -28.9900
365.000000 93.113 -28.7512
370.000000 93.081 -28.5140
375.000000 93.051 -28.2786
382.000000 93.012 -27.9504
387.000000 92.986 -27.7211
395.000000 92.948 -27.3687
400.000000 92.927 -27.1552
406.000000 92.904 -26.9084
412.000000 92.883 -26.6678
418.000000 92.864 -26.4349
425.000000 92.844 -26.1797
431.000000 92.828 -25.9703
437.000000 92.814 -25.7727
444.000000 92.799 -25.5485
450.000000 92.787 -25.3610
455.000000 92.778 -25.2074
462.000000 92.766 -24.9982
468.000000 92.756 -24.8273
475.000000 92.746 -24.6332
482.000000 92.739 -24.4441
487.000000 92.734 -24.3127
494.000000 92.729 -24.1360
500.000000 92.726 -23.9921
508.000000 92.723 -23.8085
515.000000 92.721 -23.6558
522.000000 92.719 -23.5123
530.000000 92.718 -23.3596
538.000000 92.718 -23.2142
545.000000 92.718 -23.0928
552.000000 92.720 -22.9786
560.000000 92.722 -22.8517
570.000000 92.726 -22.6992
580.000000 92.731 -22.5497
590.000000 92.737 -22.4044
600.000000 92.746 -22.2622
608.000000 92.754 -22.1517
615.000000 92.761 -22.0602
622.000000 92.769 -21.9738
630.000000 92.779 -21.8793
640.000000 92.792 -21.7659
650.000000 92.807 -21.6539
660.000000 92.822 -21.5433
670.000000 92.837 -21.4391
680.000000 92.854 -21.3392
690.000000 92.871 -21.2388
700.000000 92.891 -21.1345
710.000000 92.911 -21.0296
720.000000 92.934 -20.9257
730.000000 92.959 -20.8248
740.000000 92.986 -20.7288
750.000000 93.015 -20.6356
762.000000 93.051 -20.5314
775.000000 93.092 -20.4308
788.000000 93.136 -20.3337
800.000000 93.179 -20.2451
812.000000 93.225 -20.1616
825.000000 93.277 -20.0781
838.000000 93.334 -20.0001
850.000000 93.389 -19.9363
862.000000 93.448 -19.8818
875.000000 93.515 -19.8328
885.000000 93.570 -19.8083
900.000000 93.657 -19.7953
912.000000 93.729 -19.8081
925.000000 93.809 -19.8502
938.000000 93.893 -19.9213
950.000000 93.972 -20.0082
962.000000 94.054 -20.1215
975.000000 94.144 -20.2733
988.000000 94.236 -20.4500
1000.000000 94.323 -20.6379
1015.000000 94.432 -20.9049
1030.000000 94.543 -21.2050
1044.000000 94.646 -21.5212
1060.000000 94.765 -21.9256
1075.000000 94.876 -22.3463
1090.000000 94.985 -22.8051
1106.000000 95.100 -23.3364
1120.000000 95.199 -23.8368
1138.000000 95.323 -24.5227
1150.000000 95.403 -25.0049
1172.000000 95.545 -25.9353
1180.000000 95.595 -26.2839
1206.000000 95.749 -27.4512
1220.000000 95.829 -28.0986
1241.000000 95.942 -29.0786
1250.000000 95.989 -29.5001
1265.000000 96.064 -30.2028
1280.000000 96.138 -30.9042
1315.000000 96.300 -32.5439
1320.000000 96.322 -32.7784
1340.000000 96.407 -33.7166
1360.000000 96.489 -34.6603
1380.000000 96.567 -35.6050
1400.000000 96.642 -36.5444
1430.000000 96.750 -37.9447
1450.000000 96.820 -38.8625
1475.000000 96.904 -39.9924
1500.000000 96.986 -41.0968
1525.000000 97.068 -42.1790
1550.000000 97.149 -43.2493
1575.000000 97.231 -44.3116
1600.000000 97.311 -45.3723
1625.000000 97.393 -46.4365
1650.000000 97.474 -47.5037
1675.000000 97.555 -48.5745
1700.000000 97.637 -49.6508
1725.000000 97.718 -50.7262
1750.000000 97.801 -51.8009
1775.000000 97.885 -52.8759
1800.000000 97.969 -53.9541
1825.000000 98.054 -55.0383
1850.000000 98.139 -56.1306
1875.000000 98.224 -57.2349
1900.000000 98.311 -58.3557
1925.000000 98.398 -59.4993
1950.000000 98.484 -60.6672
1975.000000 98.570 -61.8578
2000.000000 98.656 -63.0687
2030.000000 98.756 -64.5494
2060.000000 98.856 -66.0568
2090.000000 98.954 -67.5903
2120.000000 99.049 -69.1544
2140.000000 99.111 -70.2131
2180.000000 99.229 -72.3644
2200.000000 99.286 -73.4584
2240.000000 99.392 -75.6865
2270.000000 99.466 -77.3896
2300.000000 99.533 -79.1199
2330.000000 99.595 -80.8729
2360.000000 99.650 -82.6425
2400.000000 99.714 -85.0242
2430.000000 99.757 -86.8267
2470.000000 99.805 -89.2546
2500.000000 99.834 -91.1036
2540.000000 99.859 -93.6140
2580.000000 99.863 -96.1592
2620.000000 99.844 -98.7153
2650.000000 99.813 -100.6272
2690.000000 99.751 -103.1388
2720.000000 99.690 -104.9694
2760.000000 99.595 -107.3178
2800.000000 99.488 -109.5587
2850.000000 99.342 -112.2081
2900.000000 99.190 -114.6971
2950.000000 99.036 -117.0444
3000.000000 98.884 -119.2655
3040.000000 98.765 -120.9673
3070.000000 98.677 -122.2018
3110.000000 98.558 -123.7996
3150.000000 98.440 -125.3455
3200.000000 98.290 -127.2081
3250.000000 98.138 -129.0021
3300.000000 97.984 -130.7174
3350.000000 97.828 -132.3353
3400.000000 97.671 -133.8485
3450.000000 97.516 -135.2537
3500.000000 97.362 -136.5457
3550.000000 97.213 -137.7120
3600.000000 97.069 -138.7485
3650.000000 96.932 -139.6604
3700.000000 96.804 -140.4489
3750.000000 96.691 -141.1122
3820.000000 96.563 -141.8477
3870.000000 96.499 -142.2584
3950.000000 96.455 -142.8066
4000.000000 96.467 -143.1578
4060.000000 96.523 -143.6725
4120.000000 96.618 -144.3658
4180.000000 96.738 -145.3080
4250.000000 96.895 -146.7546
4310.000000 97.028 -148.2744
4370.000000 97.150 -149.9967
4440.000000 97.273 -152.1888
4500.000000 97.362 -154.1735
4550.000000 97.425 -155.8801
4620.000000 97.497 -158.3259
