* Measurement data measured by REW V5.31.3
* Source: Scarlett Solo USB, Scarlett Solo USB , L, volume: no control. Timing signal peak level -14.7 dBFS, measurement signal peak level -14.4 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Dec 30, 2025 3:31:55 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0923 ms (-32 mm, -1.25 in) using estimated IR delay relative to Acoustic reference played from Qudelix-5K L with no timing offset Clock adjustment: 27.8 ppm
* Measurement: Ziigaat Luna Stock Gray L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 101.499 31.2449
20.299999 101.518 30.6006
20.600000 101.536 29.9676
20.900000 101.553 29.3442
21.200001 101.569 28.7292
21.400000 101.579 28.3233
21.799999 101.598 27.5208
22.000000 101.607 27.1240
22.400000 101.624 26.3403
22.700001 101.636 25.7614
23.000000 101.647 25.1896
23.299999 101.658 24.6243
23.600000 101.669 24.0645
24.000000 101.683 23.3257
24.299999 101.693 22.7776
24.700001 101.705 22.0565
25.000000 101.714 21.5240
25.400000 101.725 20.8266
25.799999 101.736 20.1430
26.200001 101.746 19.4720
26.500000 101.754 18.9767
26.900000 101.763 18.3262
27.200001 101.770 17.8458
27.600000 101.778 17.2155
28.000000 101.785 16.5964
28.500000 101.793 15.8364
29.000000 101.800 15.0889
29.500000 101.805 14.3519
30.000000 101.809 13.6257
30.400000 101.811 13.0539
30.700001 101.812 12.6306
31.100000 101.812 12.0728
31.500000 101.813 11.5208
32.000000 101.814 10.8362
32.500000 101.814 10.1580
33.000000 101.813 9.4885
33.500000 101.811 8.8299
34.000000 101.810 8.1813
34.500000 101.807 7.5419
35.000000 101.804 6.9127
35.500000 101.800 6.2960
36.000000 101.796 5.6918
36.500000 101.792 5.0978
37.000000 101.786 4.5114
37.500000 101.780 3.9320
38.200001 101.770 3.1344
38.700001 101.762 2.5751
39.500000 101.748 1.6955
40.000000 101.739 1.1539
40.599998 101.726 0.5134
41.200001 101.713 -0.1145
41.799999 101.700 -0.7300
42.500000 101.685 -1.4370
43.099998 101.671 -2.0359
43.700001 101.656 -2.6251
44.400002 101.638 -3.2963
45.000000 101.622 -3.8585
45.500000 101.608 -4.3198
46.200001 101.587 -4.9541
46.799999 101.569 -5.4853
47.500000 101.548 -6.0925
48.200001 101.526 -6.6909
48.700001 101.509 -7.1127
49.400002 101.486 -7.6917
50.000000 101.465 -8.1763
50.799999 101.437 -8.8101
51.500000 101.412 -9.3548
52.200001 101.387 -9.8879
53.000000 101.356 -10.4812
53.799999 101.326 -11.0602
54.500000 101.298 -11.5563
55.200001 101.270 -12.0411
56.000000 101.237 -12.5812
57.000000 101.196 -13.2383
58.000000 101.156 -13.8787
59.000000 101.114 -14.5087
60.000000 101.070 -15.1223
60.799999 101.034 -15.5921
61.500000 101.003 -15.9895
62.200001 100.972 -16.3789
63.000000 100.936 -16.8164
64.000000 100.891 -17.3511
65.000000 100.845 -17.8734
66.000000 100.798 -18.3828
67.000000 100.751 -18.8776
68.000000 100.702 -19.3553
69.000000 100.654 -19.8160
70.000000 100.605 -20.2645
71.000000 100.557 -20.7017
72.000000 100.508 -21.1272
73.000000 100.458 -21.5420
74.000000 100.409 -21.9440
75.000000 100.359 -22.3316
76.199997 100.299 -22.7806
77.500000 100.233 -23.2510
78.800003 100.167 -23.7028
80.000000 100.106 -24.1050
81.199997 100.045 -24.4972
82.500000 99.977 -24.9058
83.800003 99.910 -25.2996
85.000000 99.848 -25.6496
86.199997 99.786 -25.9845
87.500000 99.718 -26.3341
88.500000 99.667 -26.5953
90.000000 99.588 -26.9734
91.199997 99.526 -27.2619
92.500000 99.459 -27.5621
93.800003 99.392 -27.8503
95.000000 99.330 -28.1069
96.199997 99.268 -28.3560
97.500000 99.200 -28.6143
98.800003 99.131 -28.8600
100.000000 99.069 -29.0785
101.500000 98.990 -29.3438
103.000000 98.912 -29.5974
104.400002 98.840 -29.8208
106.000000 98.757 -30.0596
107.500000 98.680 -30.2688
109.000000 98.603 -30.4670
110.599998 98.521 -30.6648
112.000000 98.449 -30.8281
113.800003 98.357 -31.0238
115.000000 98.296 -31.1453
117.199997 98.185 -31.3524
118.000000 98.145 -31.4216
120.599998 98.015 -31.6234
122.000000 97.945 -31.7220
124.099998 97.841 -31.8552
125.000000 97.797 -31.9057
126.500000 97.724 -31.9829
128.000000 97.651 -32.0532
131.500000 97.483 -32.1826
132.000000 97.460 -32.1979
134.000000 97.366 -32.2532
136.000000 97.272 -32.2953
138.000000 97.179 -32.3239
140.000000 97.088 -32.3416
143.000000 96.952 -32.3472
145.000000 96.862 -32.3388
147.500000 96.750 -32.3127
150.000000 96.640 -32.2689
152.500000 96.531 -32.2070
155.000000 96.423 -32.1251
157.500000 96.317 -32.0268
160.000000 96.213 -31.9188
162.500000 96.110 -31.7973
165.000000 96.009 -31.6579
167.500000 95.908 -31.5045
170.000000 95.808 -31.3371
172.500000 95.710 -31.1494
175.000000 95.614 -30.9391
177.500000 95.519 -30.7122
180.000000 95.427 -30.4775
182.500000 95.340 -30.2451
185.000000 95.254 -30.0186
187.500000 95.169 -29.7947
190.000000 95.084 -29.5685
192.500000 94.997 -29.3303
195.000000 94.912 -29.0756
197.500000 94.827 -28.8063
200.000000 94.742 -28.5251
203.000000 94.640 -28.1701
206.000000 94.540 -27.7903
209.000000 94.440 -27.3783
212.000000 94.341 -26.9274
214.000000 94.275 -26.5989
218.000000 94.147 -25.8568
220.000000 94.087 -25.4330
224.000000 93.981 -24.4585
227.000000 93.925 -23.6261
230.000000 93.900 -22.7649
233.000000 93.908 -21.9894
236.000000 93.941 -21.4275
240.000000 93.986 -21.0911
243.000000 93.998 -21.0647
247.000000 93.973 -21.1193
250.000000 93.931 -21.1283
254.000000 93.858 -21.0388
258.000000 93.777 -20.8336
262.000000 93.695 -20.5490
265.000000 93.636 -20.2971
269.000000 93.559 -19.9185
272.000000 93.505 -19.6102
276.000000 93.437 -19.1785
280.000000 93.372 -18.7314
285.000000 93.297 -18.1591
290.000000 93.227 -17.5789
295.000000 93.163 -16.9971
300.000000 93.103 -16.4192
304.000000 93.057 -15.9561
307.000000 93.025 -15.6102
311.000000 92.983 -15.1550
315.000000 92.943 -14.7054
320.000000 92.895 -14.1500
325.000000 92.850 -13.6007
330.000000 92.807 -13.0505
335.000000 92.766 -12.5011
340.000000 92.727 -11.9526
345.000000 92.689 -11.4057
350.000000 92.654 -10.8631
355.000000 92.620 -10.3207
360.000000 92.588 -9.7740
365.000000 92.557 -9.2223
370.000000 92.528 -8.6581
375.000000 92.502 -8.0674
382.000000 92.474 -7.1824
387.000000 92.466 -6.5081
395.000000 92.486 -5.4437
400.000000 92.521 -4.9002
406.000000 92.568 -4.4714
412.000000 92.598 -4.2346
418.000000 92.602 -4.0494
425.000000 92.585 -3.7747
431.000000 92.564 -3.4682
437.000000 92.543 -3.1154
444.000000 92.522 -2.6679
450.000000 92.506 -2.2662
455.000000 92.495 -1.9261
462.000000 92.481 -1.4492
468.000000 92.471 -1.0448
475.000000 92.461 -0.5786
482.000000 92.454 -0.1179
487.000000 92.450 0.2073
494.000000 92.446 0.6586
500.000000 92.443 1.0398
508.000000 92.441 1.5411
515.000000 92.440 1.9746
522.000000 92.439 2.4034
530.000000 92.440 2.8867
538.000000 92.442 3.3643
545.000000 92.444 3.7736
552.000000 92.448 4.1752
560.000000 92.453 4.6326
570.000000 92.460 5.1995
580.000000 92.469 5.7616
590.000000 92.478 6.3170
600.000000 92.489 6.8694
608.000000 92.498 7.3064
615.000000 92.507 7.6859
622.000000 92.516 8.0620
630.000000 92.526 8.4871
640.000000 92.541 9.0153
650.000000 92.557 9.5461
660.000000 92.573 10.0737
670.000000 92.591 10.5960
680.000000 92.610 11.1154
690.000000 92.631 11.6347
700.000000 92.652 12.1548
710.000000 92.675 12.6737
720.000000 92.699 13.1880
730.000000 92.725 13.6979
740.000000 92.752 14.2051
750.000000 92.781 14.7102
762.000000 92.818 15.3125
775.000000 92.861 15.9573
788.000000 92.906 16.6002
800.000000 92.950 17.1924
812.000000 92.998 17.7787
825.000000 93.053 18.4021
838.000000 93.111 19.0151
850.000000 93.168 19.5704
862.000000 93.227 20.1131
875.000000 93.295 20.6886
885.000000 93.350 21.1199
900.000000 93.437 21.7465
912.000000 93.509 22.2286
925.000000 93.590 22.7272
938.000000 93.675 23.1996
950.000000 93.755 23.6156
962.000000 93.838 24.0061
975.000000 93.930 24.4001
988.000000 94.023 24.7657
1000.000000 94.111 25.0756
1015.000000 94.222 25.4252
1030.000000 94.334 25.7356
1044.000000 94.438 25.9859
1060.000000 94.558 26.2238
1075.000000 94.669 26.4026
1090.000000 94.779 26.5427
1106.000000 94.894 26.6511
1120.000000 94.993 26.7113
1138.000000 95.117 26.7476
1150.000000 95.198 26.7469
1172.000000 95.341 26.6974
1180.000000 95.391 26.6691
1206.000000 95.548 26.5385
1220.000000 95.629 26.4437
1241.000000 95.745 26.2787
1250.000000 95.793 26.1996
1265.000000 95.869 26.0594
1280.000000 95.942 25.9159
1315.000000 96.105 25.5884
1320.000000 96.127 25.5449
1340.000000 96.214 25.3811
1360.000000 96.296 25.2267
1380.000000 96.376 25.0824
1400.000000 96.453 24.9492
1430.000000 96.564 24.7620
1450.000000 96.635 24.6482
1475.000000 96.723 24.5151
1500.000000 96.809 24.3975
1525.000000 96.894 24.2917
1550.000000 96.978 24.1938
1575.000000 97.062 24.1062
1600.000000 97.146 24.0311
1625.000000 97.231 23.9644
1650.000000 97.315 23.9037
1675.000000 97.401 23.8408
1700.000000 97.486 23.7713
1725.000000 97.573 23.6991
1750.000000 97.660 23.6213
1775.000000 97.749 23.5366
1800.000000 97.838 23.4426
1825.000000 97.928 23.3391
1850.000000 98.019 23.2246
1875.000000 98.110 23.0941
1900.000000 98.202 22.9457
1925.000000 98.294 22.7787
1950.000000 98.387 22.5916
1975.000000 98.479 22.3820
2000.000000 98.571 22.1505
2030.000000 98.680 21.8406
2060.000000 98.789 21.4968
2090.000000 98.895 21.1169
2120.000000 98.999 20.6962
2140.000000 99.066 20.3936
2180.000000 99.196 19.7373
2200.000000 99.259 19.3833
2240.000000 99.375 18.6240
2270.000000 99.456 18.0131
2300.000000 99.530 17.3666
2330.000000 99.595 16.6898
2360.000000 99.651 15.9880
2400.000000 99.709 15.0236
2430.000000 99.741 14.2911
2470.000000 99.766 13.3313
2500.000000 99.772 12.6437
2540.000000 99.766 11.7998
2580.000000 99.752 11.0619
2620.000000 99.740 10.4005
2650.000000 99.735 9.8977
2690.000000 99.730 9.1465
2720.000000 99.717 8.5211
2760.000000 99.678 7.6548
2800.000000 99.614 6.8249
2850.000000 99.508 5.9198
2900.000000 99.388 5.1851
2950.000000 99.260 4.6001
3000.000000 99.129 4.1392
3040.000000 99.025 3.8401
3070.000000 98.946 3.6550
3110.000000 98.838 3.4547
3150.000000 98.729 3.3076
3200.000000 98.590 3.2090
3250.000000 98.448 3.2051
3300.000000 98.305 3.2998
3350.000000 98.160 3.5005
3400.000000 98.015 3.8073
3450.000000 97.872 4.2172
3500.000000 97.733 4.7296
3550.000000 97.599 5.3538
3600.000000 97.472 6.0914
3650.000000 97.353 6.9302
3700.000000 97.245 7.8623
3750.000000 97.150 8.8837
3820.000000 97.041 10.4471
3870.000000 96.982 11.6528
3950.000000 96.928 13.7234
4000.000000 96.927 15.0687
4060.000000 96.968 16.6558
4120.000000 97.052 18.1011
4180.000000 97.167 19.2992
4250.000000 97.318 20.3328
4310.000000 97.446 20.9276
4370.000000 97.563 21.3175
4440.000000 97.679 21.5884
4500.000000 97.763 21.7172
4550.000000 97.822 21.7792
4620.000000 97.893 21.8260
4680.000000 97.947 21.8333
4750.000000 98.003 21.7957
4820.000000 98.054 21.6843
4870.000000 98.087 21.5463
4940.000000 98.124 21.2641
5000.000000 98.145 20.9368
5080.000000 98.153 20.3794
5150.000000 98.136 19.7908
5220.000000 98.091 19.1227
5300.000000 98.000 18.2848
