* Measurement data measured by REW V5.31.3
* Source: Scarlett Solo USB, Scarlett Solo USB , L, volume: no control. Timing signal peak level -15.7 dBFS, measurement signal peak level -14.2 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Dec 30, 2025 3:32:37 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0491 ms (-17 mm, -0.66 in) using estimated IR delay relative to Acoustic reference played from Qudelix-5K R with no timing offset Clock adjustment: 25.6 ppm
* Measurement: Ziigaat Luna Stock Gray R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 101.652 33.3059
20.299999 101.671 32.6478
20.600000 101.689 32.0006
20.900000 101.706 31.3642
21.200001 101.724 30.7382
21.400000 101.735 30.3262
21.799999 101.757 29.5151
22.000000 101.768 29.1159
22.400000 101.789 28.3307
22.700001 101.805 27.7537
23.000000 101.819 27.1870
23.299999 101.834 26.6301
23.600000 101.847 26.0823
24.000000 101.865 25.3646
24.299999 101.877 24.8353
24.700001 101.892 24.1413
25.000000 101.903 23.6296
25.400000 101.916 22.9584
25.799999 101.928 22.2984
26.200001 101.939 21.6478
26.500000 101.946 21.1655
26.900000 101.955 20.5300
27.200001 101.961 20.0597
27.600000 101.969 19.4409
28.000000 101.976 18.8307
28.500000 101.985 18.0768
29.000000 101.994 17.3297
29.500000 102.002 16.5891
30.000000 102.008 15.8583
30.400000 102.013 15.2836
30.700001 102.016 14.8591
31.100000 102.019 14.3021
31.500000 102.023 13.7542
32.000000 102.027 13.0801
32.500000 102.030 12.4166
33.000000 102.032 11.7637
33.500000 102.033 11.1227
34.000000 102.033 10.4944
34.500000 102.032 9.8783
35.000000 102.031 9.2723
35.500000 102.028 8.6755
36.000000 102.025 8.0878
36.500000 102.022 7.5112
37.000000 102.018 6.9463
37.500000 102.015 6.3917
38.200001 102.012 5.6255
38.700001 102.011 5.0812
39.500000 102.008 4.2130
40.000000 102.005 3.6741
40.599998 102.001 3.0338
41.200001 101.996 2.4022
41.799999 101.990 1.7795
42.500000 101.981 1.0645
43.099998 101.972 0.4614
43.700001 101.962 -0.1328
44.400002 101.949 -0.8157
45.000000 101.937 -1.3915
45.500000 101.926 -1.8638
46.200001 101.909 -2.5134
46.799999 101.894 -3.0599
47.500000 101.876 -3.6855
48.200001 101.857 -4.2993
48.700001 101.843 -4.7314
49.400002 101.823 -5.3274
50.000000 101.804 -5.8275
50.799999 101.780 -6.4782
51.500000 101.759 -7.0372
52.200001 101.738 -7.5898
53.000000 101.713 -8.2104
53.799999 101.688 -8.8170
54.500000 101.666 -9.3369
55.200001 101.644 -9.8473
56.000000 101.618 -10.4194
57.000000 101.585 -11.1191
58.000000 101.550 -11.7986
59.000000 101.513 -12.4558
60.000000 101.475 -13.0945
60.799999 101.444 -13.5906
61.500000 101.417 -14.0130
62.200001 101.389 -14.4274
63.000000 101.357 -14.8927
64.000000 101.316 -15.4584
65.000000 101.275 -16.0062
66.000000 101.233 -16.5374
67.000000 101.191 -17.0532
68.000000 101.148 -17.5543
69.000000 101.105 -18.0391
70.000000 101.062 -18.5114
71.000000 101.019 -18.9730
72.000000 100.974 -19.4200
73.000000 100.930 -19.8518
74.000000 100.886 -20.2709
75.000000 100.842 -20.6794
76.199997 100.788 -21.1562
77.500000 100.730 -21.6537
78.800003 100.671 -22.1324
80.000000 100.617 -22.5627
81.199997 100.562 -22.9794
82.500000 100.503 -23.4170
83.800003 100.443 -23.8400
85.000000 100.387 -24.2145
86.199997 100.330 -24.5748
87.500000 100.269 -24.9524
88.500000 100.222 -25.2350
90.000000 100.151 -25.6477
91.199997 100.094 -25.9641
92.500000 100.032 -26.2915
93.800003 99.970 -26.6080
95.000000 99.914 -26.8912
96.199997 99.857 -27.1665
97.500000 99.795 -27.4554
98.800003 99.733 -27.7315
100.000000 99.675 -27.9744
101.500000 99.604 -28.2649
103.000000 99.533 -28.5448
104.400002 99.467 -28.7938
106.000000 99.391 -29.0629
107.500000 99.320 -29.3019
109.000000 99.250 -29.5300
110.599998 99.174 -29.7639
112.000000 99.108 -29.9595
113.800003 99.023 -30.1958
115.000000 98.967 -30.3453
117.199997 98.864 -30.6008
118.000000 98.827 -30.6879
120.599998 98.706 -30.9537
122.000000 98.642 -31.0859
124.099998 98.545 -31.2666
125.000000 98.504 -31.3388
126.500000 98.436 -31.4534
128.000000 98.368 -31.5600
131.500000 98.211 -31.7733
132.000000 98.189 -31.7997
134.000000 98.100 -31.8962
136.000000 98.012 -31.9822
138.000000 97.924 -32.0571
140.000000 97.837 -32.1188
143.000000 97.708 -32.1909
145.000000 97.623 -32.2276
147.500000 97.518 -32.2562
150.000000 97.414 -32.2656
152.500000 97.312 -32.2598
155.000000 97.210 -32.2395
157.500000 97.110 -32.2054
160.000000 97.012 -32.1538
162.500000 96.915 -32.0862
165.000000 96.819 -32.0074
167.500000 96.724 -31.9199
170.000000 96.630 -31.8184
172.500000 96.539 -31.7016
175.000000 96.449 -31.5739
177.500000 96.360 -31.4376
180.000000 96.272 -31.2950
182.500000 96.185 -31.1439
185.000000 96.101 -30.9810
187.500000 96.017 -30.8079
190.000000 95.935 -30.6285
192.500000 95.854 -30.4418
195.000000 95.775 -30.2432
197.500000 95.697 -30.0358
200.000000 95.621 -29.8228
203.000000 95.531 -29.5589
206.000000 95.443 -29.2847
209.000000 95.357 -29.0021
212.000000 95.274 -28.7119
214.000000 95.219 -28.5144
218.000000 95.112 -28.1137
220.000000 95.060 -27.9095
224.000000 94.959 -27.4908
227.000000 94.884 -27.1686
230.000000 94.812 -26.8414
233.000000 94.741 -26.5109
236.000000 94.671 -26.1770
240.000000 94.582 -25.7229
243.000000 94.517 -25.3747
247.000000 94.433 -24.9037
250.000000 94.372 -24.5504
254.000000 94.292 -24.0751
258.000000 94.215 -23.5914
262.000000 94.141 -23.1057
265.000000 94.088 -22.7394
269.000000 94.019 -22.2460
272.000000 93.969 -21.8745
276.000000 93.904 -21.3790
280.000000 93.842 -20.8839
285.000000 93.766 -20.2618
290.000000 93.694 -19.6304
295.000000 93.623 -18.9891
300.000000 93.555 -18.3417
304.000000 93.503 -17.8211
307.000000 93.465 -17.4268
311.000000 93.416 -16.8943
315.000000 93.368 -16.3533
320.000000 93.310 -15.6506
325.000000 93.257 -14.8992
330.000000 93.212 -14.0758
335.000000 93.186 -13.1733
340.000000 93.188 -12.2715
345.000000 93.216 -11.5039
350.000000 93.259 -10.9556
355.000000 93.295 -10.6458
360.000000 93.306 -10.4694
365.000000 93.293 -10.3021
370.000000 93.265 -10.0780
375.000000 93.231 -9.7831
382.000000 93.182 -9.2760
387.000000 93.150 -8.8759
395.000000 93.102 -8.2035
400.000000 93.075 -7.7699
406.000000 93.047 -7.2471
412.000000 93.022 -6.7234
418.000000 92.999 -6.1979
425.000000 92.976 -5.5901
431.000000 92.958 -5.0764
437.000000 92.942 -4.5731
444.000000 92.927 -3.9908
450.000000 92.915 -3.4962
455.000000 92.905 -3.0890
462.000000 92.894 -2.5277
468.000000 92.886 -2.0571
475.000000 92.877 -1.5179
482.000000 92.871 -0.9852
487.000000 92.867 -0.6116
494.000000 92.862 -0.1002
500.000000 92.858 0.3298
508.000000 92.855 0.8994
515.000000 92.854 1.3912
522.000000 92.854 1.8744
530.000000 92.854 2.4175
538.000000 92.856 2.9526
545.000000 92.859 3.4133
552.000000 92.862 3.8641
560.000000 92.869 4.3705
570.000000 92.879 4.9871
580.000000 92.892 5.5798
590.000000 92.905 6.1411
600.000000 92.917 6.6725
608.000000 92.924 7.0823
615.000000 92.927 7.4412
622.000000 92.929 7.8099
630.000000 92.933 8.2454
640.000000 92.939 8.8065
650.000000 92.950 9.3759
660.000000 92.962 9.9415
670.000000 92.977 10.4976
680.000000 92.994 11.0471
690.000000 93.013 11.5920
700.000000 93.033 12.1346
710.000000 93.055 12.6730
720.000000 93.078 13.2045
730.000000 93.103 13.7303
740.000000 93.129 14.2520
750.000000 93.157 14.7706
762.000000 93.194 15.3864
775.000000 93.236 16.0400
788.000000 93.281 16.6859
800.000000 93.326 17.2742
812.000000 93.373 17.8513
825.000000 93.428 18.4629
838.000000 93.487 19.0653
850.000000 93.544 19.6113
862.000000 93.605 20.1473
875.000000 93.674 20.7170
885.000000 93.730 21.1448
900.000000 93.817 21.7662
912.000000 93.890 22.2443
925.000000 93.972 22.7410
938.000000 94.057 23.2109
950.000000 94.139 23.6250
962.000000 94.222 24.0153
975.000000 94.315 24.4081
988.000000 94.409 24.7737
1000.000000 94.498 25.0847
1015.000000 94.610 25.4360
1030.000000 94.723 25.7468
1044.000000 94.829 25.9957
1060.000000 94.949 26.2324
1075.000000 95.062 26.4091
1090.000000 95.173 26.5474
1106.000000 95.289 26.6553
1120.000000 95.389 26.7161
1138.000000 95.514 26.7532
1150.000000 95.595 26.7516
1172.000000 95.739 26.7015
1180.000000 95.790 26.6727
1206.000000 95.948 26.5380
1220.000000 96.029 26.4420
1241.000000 96.144 26.2771
1250.000000 96.192 26.1990
1265.000000 96.269 26.0610
1280.000000 96.343 25.9182
1315.000000 96.504 25.5680
1320.000000 96.526 25.5170
1340.000000 96.611 25.3132
1360.000000 96.692 25.1059
1380.000000 96.769 24.9012
1400.000000 96.843 24.7029
1430.000000 96.951 24.4121
1450.000000 97.020 24.2264
1475.000000 97.104 23.9991
1500.000000 97.187 23.7795
1525.000000 97.268 23.5649
1550.000000 97.347 23.3536
1575.000000 97.427 23.1480
1600.000000 97.506 22.9441
1625.000000 97.586 22.7381
1650.000000 97.666 22.5334
1675.000000 97.746 22.3214
1700.000000 97.827 22.0966
1725.000000 97.908 21.8655
1750.000000 97.990 21.6245
1775.000000 98.073 21.3700
1800.000000 98.156 21.0991
1825.000000 98.240 20.8101
1850.000000 98.324 20.5041
1875.000000 98.409 20.1812
1900.000000 98.493 19.8462
1925.000000 98.579 19.5040
1950.000000 98.666 19.1554
1975.000000 98.752 18.7991
2000.000000 98.837 18.4323
2030.000000 98.939 17.9741
2060.000000 99.039 17.4988
2090.000000 99.139 17.0017
2120.000000 99.235 16.4741
2140.000000 99.298 16.1044
2180.000000 99.420 15.3202
2200.000000 99.478 14.9026
2240.000000 99.588 14.0181
2270.000000 99.665 13.3159
2300.000000 99.735 12.5801
2330.000000 99.797 11.8140
2360.000000 99.851 11.0208
2400.000000 99.909 9.9271
2430.000000 99.942 9.0894
2470.000000 99.968 7.9635
2500.000000 99.975 7.1207
2540.000000 99.968 6.0139
2580.000000 99.940 4.9540
2620.000000 99.894 3.9660
2650.000000 99.851 3.2816
2690.000000 99.786 2.4583
2720.000000 99.735 1.9095
2760.000000 99.667 1.2348
2800.000000 99.600 0.5714
2850.000000 99.507 -0.2694
2900.000000 99.397 -1.0812
2950.000000 99.269 -1.7948
3000.000000 99.132 -2.3797
3040.000000 99.019 -2.7648
3070.000000 98.934 -3.0054
3110.000000 98.819 -3.2700
3150.000000 98.703 -3.4747
3200.000000 98.557 -3.6455
3250.000000 98.409 -3.7273
3300.000000 98.259 -3.7175
3350.000000 98.108 -3.6036
3400.000000 97.957 -3.3795
3450.000000 97.807 -3.0443
3500.000000 97.659 -2.5968
3550.000000 97.515 -2.0305
3600.000000 97.377 -1.3441
3650.000000 97.247 -0.5456
3700.000000 97.126 0.3623
3750.000000 97.019 1.3806
3820.000000 96.897 2.9746
3870.000000 96.835 4.2094
3950.000000 96.789 6.2746
4000.000000 96.795 7.5529
4060.000000 96.836 8.9956
4120.000000 96.908 10.2738
4180.000000 96.998 11.3397
4250.000000 97.113 12.3113
4310.000000 97.211 12.9360
4370.000000 97.304 13.4083
4440.000000 97.405 13.7950
4500.000000 97.485 13.9960
4550.000000 97.545 14.0765
4620.000000 97.616 14.0730
4680.000000 97.664 13.9821
4750.000000 97.702 13.8110
4820.000000 97.725 13.5932
4870.000000 97.733 13.4119
4940.000000 97.733 13.1156
5000.000000 97.722 12.8094
5080.000000 97.688 12.3176
5150.000000 97.636 11.8212
5220.000000 97.559 11.2793
