* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control. Timing signal peak level -19.3 dBFS, measurement signal peak level -18.0 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Feb 12, 2026 8:48:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0231 ms (-7.9 mm, -0.31 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset Clock adjustment: 2.1 ppm
* Measurement: Ziigaat Luna clear L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 95.408 7.4031
20.299999 95.793 6.8671
20.600000 95.993 5.3533
20.900000 95.990 3.7814
21.200001 95.852 2.8583
21.400000 95.740 2.7593
21.799999 95.607 3.5299
22.000000 95.616 4.0698
22.400000 95.748 4.6383
22.700001 95.855 4.3913
23.000000 95.903 3.7548
23.299999 95.879 3.0697
23.600000 95.807 2.6110
24.000000 95.717 2.4574
24.299999 95.692 2.4953
24.700001 95.709 2.3630
25.000000 95.726 2.0235
25.400000 95.715 1.4003
25.799999 95.670 0.8715
26.200001 95.631 0.5673
26.500000 95.627 0.4023
26.900000 95.650 0.0861
27.200001 95.671 -0.2725
27.600000 95.682 -0.8285
28.000000 95.672 -1.3110
28.500000 95.663 -1.6979
29.000000 95.685 -1.9923
29.500000 95.721 -2.3801
30.000000 95.740 -2.8289
30.400000 95.744 -3.1465
30.700001 95.746 -3.3477
31.100000 95.750 -3.5955
31.500000 95.753 -3.8551
32.000000 95.746 -4.1964
32.500000 95.729 -4.5034
33.000000 95.711 -4.7520
33.500000 95.701 -4.9877
34.000000 95.696 -5.2650
34.500000 95.692 -5.5966
35.000000 95.684 -5.9632
35.500000 95.671 -6.3398
36.000000 95.654 -6.7028
36.500000 95.639 -7.0310
37.000000 95.631 -7.3221
37.500000 95.631 -7.6070
38.200001 95.636 -8.0728
38.700001 95.626 -8.4418
39.500000 95.584 -8.8918
40.000000 95.561 -9.0221
40.599998 95.560 -9.1460
41.200001 95.576 -9.4059
41.799999 95.580 -9.8057
42.500000 95.561 -10.2657
43.099998 95.543 -10.5840
43.700001 95.531 -10.8824
44.400002 95.520 -11.2334
45.000000 95.512 -11.4968
45.500000 95.512 -11.6943
46.200001 95.522 -12.0239
46.799999 95.524 -12.3944
47.500000 95.500 -12.8151
48.200001 95.463 -13.0723
48.700001 95.447 -13.1855
49.400002 95.438 -13.4069
50.000000 95.427 -13.7158
50.799999 95.390 -14.1669
51.500000 95.354 -14.4930
52.200001 95.329 -14.8005
53.000000 95.307 -15.1913
53.799999 95.287 -15.5660
54.500000 95.275 -15.8497
55.200001 95.264 -16.1042
56.000000 95.252 -16.3279
57.000000 95.245 -16.5667
58.000000 95.209 -16.7888
59.000000 95.174 -16.6360
60.000000 95.214 -16.7874
60.799999 95.201 -17.4384
61.500000 95.128 -17.8941
62.200001 95.060 -18.0865
63.000000 95.023 -18.3231
64.000000 94.986 -18.8563
65.000000 94.941 -19.3373
66.000000 94.904 -19.7057
67.000000 94.881 -20.0063
68.000000 94.868 -20.3081
69.000000 94.845 -20.5884
70.000000 94.811 -20.7859
71.000000 94.773 -20.9473
72.000000 94.733 -21.1182
73.000000 94.695 -21.4039
74.000000 94.637 -21.8192
75.000000 94.569 -22.1072
76.199997 94.530 -22.3854
77.500000 94.517 -22.8292
78.800003 94.501 -23.3892
80.000000 94.460 -23.7733
81.199997 94.408 -24.0411
82.500000 94.327 -24.1033
83.800003 94.270 -24.1403
85.000000 94.210 -24.3818
86.199997 94.146 -24.6586
87.500000 94.088 -24.9843
88.500000 94.048 -25.2471
90.000000 93.990 -25.5366
91.199997 93.951 -25.6879
92.500000 93.906 -25.9003
93.800003 93.839 -26.1134
95.000000 93.777 -26.2643
96.199997 93.717 -26.4752
97.500000 93.660 -26.7056
98.800003 93.612 -26.9348
100.000000 93.571 -27.1024
101.500000 93.516 -27.2855
103.000000 93.445 -27.4333
104.400002 93.371 -27.5868
106.000000 93.285 -27.8281
107.500000 93.220 -28.0457
109.000000 93.164 -28.2610
110.599998 93.097 -28.3322
112.000000 93.037 -28.3358
113.800003 92.948 -28.4457
115.000000 92.899 -28.6494
117.199997 92.852 -29.3737
118.000000 92.851 -29.6718
120.599998 92.719 -30.7722
122.000000 92.574 -30.2975
124.099998 92.421 -29.5922
125.000000 92.361 -29.4498
126.500000 92.275 -29.3646
128.000000 92.208 -29.2778
131.500000 92.027 -28.8405
132.000000 91.989 -28.7527
134.000000 91.852 -28.5712
136.000000 91.766 -28.6817
138.000000 91.694 -28.1917
140.000000 91.597 -26.3973
143.000000 91.385 -22.8823
145.000000 91.542 -21.9661
147.500000 92.072 -24.3322
150.000000 92.489 -26.6252
152.500000 92.250 -25.1943
155.000000 92.011 -22.9442
157.500000 91.778 -24.1890
160.000000 91.593 -26.5803
162.500000 91.562 -27.2137
165.000000 91.616 -27.6620
167.500000 91.578 -28.3494
170.000000 91.469 -29.0569
172.500000 91.314 -29.4646
175.000000 91.182 -29.4219
177.500000 91.073 -29.2750
180.000000 90.946 -28.9456
182.500000 90.803 -28.6347
185.000000 90.654 -28.5012
187.500000 90.521 -28.5270
190.000000 90.412 -28.5833
192.500000 90.341 -28.6835
195.000000 90.273 -28.7377
197.500000 90.194 -28.3741
200.000000 90.116 -27.7832
203.000000 90.030 -27.3142
206.000000 89.950 -27.1245
209.000000 89.876 -26.8963
212.000000 89.789 -26.6274
214.000000 89.719 -26.4563
218.000000 89.573 -26.1318
220.000000 89.505 -25.9591
224.000000 89.374 -25.4870
227.000000 89.265 -25.0536
230.000000 89.157 -24.6234
233.000000 89.068 -24.1168
236.000000 88.984 -23.5032
240.000000 88.860 -22.5679
243.000000 88.786 -21.8607
247.000000 88.720 -21.0138
250.000000 88.694 -20.2806
254.000000 88.698 -19.2222
258.000000 88.722 -18.3586
262.000000 88.766 -18.0267
265.000000 88.794 -17.9797
269.000000 88.788 -18.0522
272.000000 88.750 -18.0295
276.000000 88.695 -18.1276
280.000000 88.638 -17.8906
285.000000 88.535 -17.4062
290.000000 88.407 -17.1704
295.000000 88.317 -16.6628
300.000000 88.230 -15.9277
304.000000 88.171 -15.4072
307.000000 88.132 -15.0048
311.000000 88.083 -14.4884
315.000000 88.032 -13.9839
320.000000 87.975 -13.3181
325.000000 87.917 -12.6785
330.000000 87.864 -12.0383
335.000000 87.829 -11.3866
340.000000 87.798 -10.7512
345.000000 87.772 -10.1479
350.000000 87.741 -9.5620
355.000000 87.710 -8.9617
360.000000 87.686 -8.3269
365.000000 87.669 -7.6486
370.000000 87.655 -7.0356
375.000000 87.637 -6.4833
382.000000 87.610 -5.7379
387.000000 87.596 -5.1205
395.000000 87.588 -4.2225
400.000000 87.587 -3.7211
406.000000 87.579 -3.0913
412.000000 87.569 -2.4371
418.000000 87.560 -1.8365
425.000000 87.558 -1.1772
431.000000 87.571 -0.6435
437.000000 87.574 -0.0783
444.000000 87.576 0.6188
450.000000 87.587 1.1911
455.000000 87.593 1.6326
462.000000 87.595 2.2455
468.000000 87.602 2.7699
475.000000 87.620 3.3609
482.000000 87.633 3.9144
487.000000 87.637 4.3271
494.000000 87.644 4.9197
500.000000 87.657 5.3844
508.000000 87.679 6.0002
515.000000 87.699 6.5284
522.000000 87.721 7.0200
530.000000 87.745 7.5674
538.000000 87.769 8.1074
545.000000 87.784 8.6612
552.000000 87.796 9.1926
560.000000 87.816 9.7252
570.000000 87.844 10.3533
580.000000 87.867 11.0038
590.000000 87.894 11.6542
600.000000 87.930 12.2966
608.000000 87.957 12.8041
615.000000 87.983 13.2537
622.000000 88.006 13.6965
630.000000 88.031 14.1979
640.000000 88.066 14.8007
650.000000 88.102 15.3969
660.000000 88.137 15.9991
670.000000 88.173 16.5918
680.000000 88.207 17.1767
690.000000 88.243 17.7532
700.000000 88.277 18.3307
710.000000 88.316 18.9213
720.000000 88.359 19.5106
730.000000 88.406 20.0766
740.000000 88.455 20.6467
750.000000 88.493 21.2145
762.000000 88.543 21.8737
775.000000 88.602 22.6053
788.000000 88.664 23.3208
800.000000 88.729 23.9498
812.000000 88.793 24.5850
825.000000 88.861 25.2726
838.000000 88.929 25.9567
850.000000 88.994 26.5954
862.000000 89.065 27.2535
875.000000 89.139 27.9260
885.000000 89.199 28.4102
900.000000 89.295 29.1014
912.000000 89.373 29.6594
925.000000 89.461 30.2650
938.000000 89.544 30.8349
950.000000 89.625 31.3192
962.000000 89.711 31.7805
975.000000 89.807 32.2678
988.000000 89.902 32.7396
1000.000000 89.991 33.1508
1015.000000 90.101 33.6425
1030.000000 90.206 34.0496
1044.000000 90.306 34.4045
1060.000000 90.421 34.8114
1075.000000 90.529 35.1541
1090.000000 90.640 35.4506
1106.000000 90.760 35.6821
1120.000000 90.863 35.8599
1138.000000 90.987 36.1055
1150.000000 91.067 36.2580
1172.000000 91.209 36.4289
1180.000000 91.259 36.4750
1206.000000 91.421 36.6061
1220.000000 91.508 36.6713
1241.000000 91.638 36.7749
1250.000000 91.698 36.8118
1265.000000 91.806 36.8585
1280.000000 91.907 36.8838
1315.000000 92.089 36.9572
1320.000000 92.113 36.9636
1340.000000 92.209 37.0088
1360.000000 92.304 37.0489
1380.000000 92.404 37.0712
1400.000000 92.509 37.1119
1430.000000 92.661 37.1998
1450.000000 92.761 37.2569
1475.000000 92.882 37.3226
1500.000000 93.000 37.4068
1525.000000 93.114 37.4828
1550.000000 93.226 37.5454
1575.000000 93.338 37.6261
1600.000000 93.446 37.7238
1625.000000 93.554 37.7896
1650.000000 93.664 37.8696
1675.000000 93.774 37.9342
1700.000000 93.883 37.9921
1725.000000 93.994 38.0365
1750.000000 94.108 38.0751
1775.000000 94.223 38.1055
1800.000000 94.337 38.1076
1825.000000 94.454 38.0817
1850.000000 94.572 38.0457
1875.000000 94.691 37.9965
1900.000000 94.813 37.9268
1925.000000 94.939 37.8388
1950.000000 95.066 37.7196
1975.000000 95.192 37.5587
2000.000000 95.319 37.3755
2030.000000 95.470 37.1332
2060.000000 95.622 36.8519
2090.000000 95.775 36.5428
2120.000000 95.927 36.2090
2140.000000 96.029 35.9513
2180.000000 96.238 35.3688
2200.000000 96.345 35.0483
2240.000000 96.561 34.3390
2270.000000 96.725 33.7066
2300.000000 96.888 32.9548
2330.000000 97.046 32.0902
2360.000000 97.194 31.1186
2400.000000 97.367 29.6680
2430.000000 97.478 28.4893
2470.000000 97.596 26.8539
2500.000000 97.664 25.5889
2540.000000 97.728 23.8752
2580.000000 97.761 22.1747
2620.000000 97.765 20.5287
2650.000000 97.750 19.3293
2690.000000 97.707 17.7860
2720.000000 97.660 16.6938
2760.000000 97.578 15.3398
2800.000000 97.479 14.1152
2850.000000 97.335 12.7588
2900.000000 97.176 11.5950
2950.000000 97.011 10.6341
3000.000000 96.844 9.8463
3040.000000 96.707 9.3104
3070.000000 96.602 8.9707
3110.000000 96.462 8.5966
3150.000000 96.320 8.2927
3200.000000 96.134 8.0195
3250.000000 95.940 7.8508
3300.000000 95.739 7.8082
3350.000000 95.542 7.8906
3400.000000 95.354 8.0764
3450.000000 95.181 8.3738
3500.000000 95.023 8.7792
3550.000000 94.874 9.3069
3600.000000 94.722 9.9468
3650.000000 94.567 10.6834
3700.000000 94.407 11.5291
3750.000000 94.256 12.4865
3820.000000 94.083 13.9827
3870.000000 94.008 15.1171
3950.000000 94.004 16.9772
4000.000000 94.064 18.0925
4060.000000 94.190 19.3000
4120.000000 94.357 20.2808
4180.000000 94.537 21.0004
4250.000000 94.746 21.5286
4310.000000 94.910 21.7515
4370.000000 95.058 21.8187
4440.000000 95.206 21.7310
4500.000000 95.315 21.5614
4550.000000 95.395 21.3735
4620.000000 95.494 21.0564
4680.000000 95.569 20.7275
4750.000000 95.651 20.2399
4820.000000 95.724 19.6530
4870.000000 95.770 19.1793
4940.000000 95.825 18.4286
5000.000000 95.861 17.6949
5080.000000 95.891 16.6093
5150.000000 95.898 15.5620
5220.000000 95.890 14.4440
