* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control. Timing signal peak level -19.6 dBFS, measurement signal peak level -18.9 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Feb 12, 2026 8:50:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0233 ms (-8.0 mm, -0.32 in) using estimated IR delay relative to Acoustic reference played from  R with no timing offset Clock adjustment: 1.7 ppm
* Measurement: Ziigaat Luna clear R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 96.538 3.2178
20.299999 96.236 3.6249
20.600000 96.071 4.6320
20.900000 96.050 5.5529
21.200001 96.105 5.9187
21.400000 96.143 5.8163
21.799999 96.150 5.0972
22.000000 96.112 4.6816
22.400000 95.989 4.1219
22.700001 95.905 4.0070
23.000000 95.861 4.0115
23.299999 95.861 3.9412
23.600000 95.882 3.6541
24.000000 95.898 2.9573
24.299999 95.882 2.3477
24.700001 95.835 1.6530
25.000000 95.801 1.2864
25.400000 95.782 0.9440
25.799999 95.794 0.6285
26.200001 95.821 0.2561
26.500000 95.840 -0.0485
26.900000 95.861 -0.4420
27.200001 95.877 -0.7106
27.600000 95.898 -1.0366
28.000000 95.917 -1.3348
28.500000 95.935 -1.6614
29.000000 95.951 -1.9380
29.500000 95.968 -2.2217
30.000000 95.978 -2.5645
30.400000 95.976 -2.8655
30.700001 95.967 -3.0849
31.100000 95.952 -3.3552
31.500000 95.936 -3.6069
32.000000 95.916 -3.9147
32.500000 95.899 -4.2087
33.000000 95.891 -4.4860
33.500000 95.898 -4.8074
34.000000 95.910 -5.2432
34.500000 95.906 -5.7497
35.000000 95.881 -6.1721
35.500000 95.855 -6.4136
36.000000 95.853 -6.5571
36.500000 95.874 -6.7806
37.000000 95.895 -7.1576
37.500000 95.893 -7.5962
38.200001 95.862 -8.0846
38.700001 95.841 -8.3419
39.500000 95.816 -8.7941
40.000000 95.795 -9.1038
40.599998 95.768 -9.4161
41.200001 95.757 -9.6853
41.799999 95.764 -10.0237
42.500000 95.768 -10.5293
43.099998 95.760 -10.9457
43.700001 95.753 -11.2975
44.400002 95.751 -11.6970
45.000000 95.740 -12.0453
45.500000 95.720 -12.2762
46.200001 95.693 -12.4370
46.799999 95.688 -12.5185
47.500000 95.699 -12.7760
48.200001 95.690 -13.2373
48.700001 95.661 -13.5688
49.400002 95.609 -13.8992
50.000000 95.574 -14.0844
50.799999 95.545 -14.3217
51.500000 95.531 -14.5204
52.200001 95.533 -14.7021
53.000000 95.553 -15.0245
53.799999 95.557 -15.4869
54.500000 95.537 -15.8362
55.200001 95.514 -16.1053
56.000000 95.481 -16.4225
57.000000 95.427 -16.7781
58.000000 95.373 -17.2325
59.000000 95.271 -17.6183
60.000000 95.216 -17.5413
60.799999 95.236 -17.7169
61.500000 95.238 -18.1049
62.200001 95.223 -18.4489
63.000000 95.214 -18.8021
64.000000 95.195 -19.2982
65.000000 95.159 -19.6376
66.000000 95.125 -19.9349
67.000000 95.081 -20.2642
68.000000 95.037 -20.5543
69.000000 95.000 -20.8403
70.000000 94.967 -21.1409
71.000000 94.938 -21.4180
72.000000 94.913 -21.7070
73.000000 94.879 -22.0098
74.000000 94.838 -22.2249
75.000000 94.803 -22.4165
76.199997 94.759 -22.7277
77.500000 94.702 -23.1128
78.800003 94.651 -23.4423
80.000000 94.622 -23.9026
81.199997 94.557 -24.3710
82.500000 94.494 -24.5803
83.800003 94.433 -24.7472
85.000000 94.391 -24.7643
86.199997 94.364 -24.9508
87.500000 94.315 -25.2723
88.500000 94.271 -25.5129
90.000000 94.205 -25.8977
91.199997 94.149 -26.1683
92.500000 94.099 -26.3489
93.800003 94.058 -26.5124
95.000000 94.012 -26.6367
96.199997 93.955 -26.7381
97.500000 93.880 -26.8497
98.800003 93.807 -26.9714
100.000000 93.753 -27.1978
101.500000 93.695 -27.5731
103.000000 93.661 -27.9053
104.400002 93.624 -28.2744
106.000000 93.529 -28.4570
107.500000 93.419 -28.4057
109.000000 93.319 -28.3721
110.599998 93.247 -28.6210
112.000000 93.201 -28.9695
113.800003 93.148 -29.1715
115.000000 93.088 -29.1027
117.199997 92.840 -28.5109
118.000000 92.715 -28.0623
120.599998 92.578 -26.4805
122.000000 92.623 -27.4863
124.099998 92.622 -29.0019
125.000000 92.623 -29.3788
126.500000 92.584 -29.5883
128.000000 92.501 -29.2083
131.500000 92.309 -28.5998
132.000000 92.284 -28.7000
134.000000 92.188 -29.1208
136.000000 92.150 -29.1049
138.000000 92.130 -29.2622
140.000000 92.046 -29.7538
143.000000 91.857 -30.1625
145.000000 91.805 -29.8499
147.500000 91.752 -27.9987
150.000000 91.875 -26.0044
152.500000 91.884 -26.9626
155.000000 91.775 -27.6238
157.500000 91.748 -27.8641
160.000000 91.700 -27.8846
162.500000 91.677 -28.4050
165.000000 91.649 -29.2724
167.500000 91.617 -29.5916
170.000000 91.532 -29.6636
172.500000 91.396 -29.7416
175.000000 91.297 -29.9108
177.500000 91.215 -30.1342
180.000000 91.108 -30.2468
182.500000 90.959 -30.3179
185.000000 90.792 -30.1428
187.500000 90.668 -29.9035
190.000000 90.584 -29.7849
192.500000 90.517 -29.7322
195.000000 90.437 -29.6533
197.500000 90.347 -29.4244
200.000000 90.269 -29.2229
203.000000 90.147 -29.0851
206.000000 90.011 -28.7672
209.000000 89.879 -28.4779
212.000000 89.771 -28.0214
214.000000 89.713 -27.7323
218.000000 89.592 -27.3101
220.000000 89.528 -27.0914
224.000000 89.390 -26.5096
227.000000 89.295 -26.0712
230.000000 89.203 -25.6073
233.000000 89.115 -25.0497
236.000000 89.039 -24.4164
240.000000 88.977 -23.4315
243.000000 88.935 -22.8719
247.000000 88.872 -22.0271
250.000000 88.874 -21.3357
254.000000 88.887 -20.6459
258.000000 88.901 -20.2826
262.000000 88.921 -20.2321
265.000000 88.901 -20.2056
269.000000 88.840 -20.0270
272.000000 88.801 -19.9071
276.000000 88.752 -19.8511
280.000000 88.680 -19.6598
285.000000 88.557 -19.0726
290.000000 88.448 -18.5381
295.000000 88.364 -17.9960
300.000000 88.277 -17.3806
304.000000 88.212 -16.9617
307.000000 88.166 -16.6010
311.000000 88.111 -16.0811
315.000000 88.066 -15.5942
320.000000 88.006 -14.9706
325.000000 87.950 -14.3195
330.000000 87.900 -13.6411
335.000000 87.850 -12.9479
340.000000 87.809 -12.3570
345.000000 87.761 -11.7806
350.000000 87.724 -11.1323
355.000000 87.709 -10.5540
360.000000 87.686 -9.9909
365.000000 87.656 -9.3413
370.000000 87.629 -8.6940
375.000000 87.620 -8.1509
382.000000 87.614 -7.3473
387.000000 87.603 -6.7592
395.000000 87.576 -5.9128
400.000000 87.566 -5.3629
406.000000 87.557 -4.6821
412.000000 87.548 -4.0402
418.000000 87.539 -3.5142
425.000000 87.537 -2.8557
431.000000 87.528 -2.2079
437.000000 87.523 -1.6316
444.000000 87.535 -1.0095
450.000000 87.537 -0.4698
455.000000 87.538 -0.0233
462.000000 87.548 0.6232
468.000000 87.555 1.1364
475.000000 87.559 1.7479
482.000000 87.570 2.3423
487.000000 87.581 2.7289
494.000000 87.593 3.2981
500.000000 87.602 3.7953
508.000000 87.615 4.4263
515.000000 87.619 4.9875
522.000000 87.627 5.5041
530.000000 87.646 6.0540
538.000000 87.664 6.5508
545.000000 87.680 7.0616
552.000000 87.700 7.6295
560.000000 87.727 8.2463
570.000000 87.760 8.9641
580.000000 87.783 9.6044
590.000000 87.800 10.2555
600.000000 87.829 10.8955
608.000000 87.851 11.4398
615.000000 87.868 11.8969
622.000000 87.888 12.3048
630.000000 87.916 12.7914
640.000000 87.948 13.4500
650.000000 87.985 14.0425
660.000000 88.025 14.6167
670.000000 88.056 15.2066
680.000000 88.085 15.7958
690.000000 88.118 16.4115
700.000000 88.151 17.0317
710.000000 88.188 17.6308
720.000000 88.232 18.1964
730.000000 88.273 18.7798
740.000000 88.313 19.3602
750.000000 88.357 19.9246
762.000000 88.408 20.5858
775.000000 88.464 21.2928
788.000000 88.520 22.0889
800.000000 88.576 22.7836
812.000000 88.636 23.4370
825.000000 88.710 24.1143
838.000000 88.782 24.8097
850.000000 88.846 25.4562
862.000000 88.909 26.0623
875.000000 88.983 26.6909
885.000000 89.047 27.1927
900.000000 89.145 27.9351
912.000000 89.219 28.5025
925.000000 89.300 29.1156
938.000000 89.383 29.6714
950.000000 89.464 30.1421
962.000000 89.550 30.6203
975.000000 89.642 31.1299
988.000000 89.735 31.6179
1000.000000 89.817 32.0530
1015.000000 89.917 32.5515
1030.000000 90.026 33.0062
1044.000000 90.127 33.3944
1060.000000 90.245 33.7802
1075.000000 90.360 34.0930
1090.000000 90.469 34.3943
1106.000000 90.580 34.6836
1120.000000 90.674 34.9086
1138.000000 90.790 35.1335
1150.000000 90.867 35.2549
1172.000000 91.012 35.4680
1180.000000 91.065 35.5345
1206.000000 91.227 35.6974
1220.000000 91.314 35.7857
1241.000000 91.444 35.8872
1250.000000 91.502 35.9312
1265.000000 91.603 36.0006
1280.000000 91.699 36.0433
1315.000000 91.878 36.1335
1320.000000 91.901 36.1476
1340.000000 91.995 36.1989
1360.000000 92.091 36.2702
1380.000000 92.193 36.3405
1400.000000 92.296 36.4012
1430.000000 92.451 36.4933
1450.000000 92.552 36.5642
1475.000000 92.674 36.6399
1500.000000 92.789 36.7274
1525.000000 92.901 36.8317
1550.000000 93.014 36.9476
1575.000000 93.124 37.0556
1600.000000 93.235 37.1322
1625.000000 93.345 37.2073
1650.000000 93.451 37.2869
1675.000000 93.559 37.3566
1700.000000 93.667 37.4301
1725.000000 93.778 37.5102
1750.000000 93.890 37.5794
1775.000000 94.007 37.6044
1800.000000 94.125 37.5997
1825.000000 94.242 37.5846
1850.000000 94.359 37.5617
1875.000000 94.480 37.5359
1900.000000 94.604 37.4718
1925.000000 94.729 37.3794
1950.000000 94.855 37.2594
1975.000000 94.985 37.1066
2000.000000 95.114 36.9279
2030.000000 95.266 36.6729
2060.000000 95.417 36.3744
2090.000000 95.568 36.0276
2120.000000 95.718 35.6521
2140.000000 95.816 35.3698
2180.000000 96.010 34.7627
2200.000000 96.109 34.4350
2240.000000 96.306 33.7072
2270.000000 96.452 33.1048
2300.000000 96.596 32.4489
2330.000000 96.739 31.7145
2360.000000 96.880 30.9038
2400.000000 97.060 29.6810
2430.000000 97.183 28.6392
2470.000000 97.324 27.1016
2500.000000 97.408 25.8797
2540.000000 97.492 24.1989
2580.000000 97.542 22.4883
2620.000000 97.557 20.8065
2650.000000 97.547 19.5846
2690.000000 97.508 18.0072
2720.000000 97.464 16.8918
2760.000000 97.386 15.5109
2800.000000 97.289 14.2464
2850.000000 97.148 12.8608
2900.000000 96.991 11.6851
2950.000000 96.823 10.7067
3000.000000 96.650 9.9036
3040.000000 96.513 9.3774
3070.000000 96.409 9.0436
3110.000000 96.267 8.6666
3150.000000 96.124 8.3605
3200.000000 95.939 8.0863
3250.000000 95.747 7.9284
3300.000000 95.549 7.8611
3350.000000 95.350 7.9004
3400.000000 95.161 8.0629
3450.000000 94.986 8.3245
3500.000000 94.825 8.6877
3550.000000 94.672 9.1628
3600.000000 94.514 9.7570
3650.000000 94.350 10.4542
3700.000000 94.180 11.2537
3750.000000 94.017 12.1573
3820.000000 93.817 13.5973
3870.000000 93.717 14.7444
3950.000000 93.669 16.6854
4000.000000 93.705 17.9153
4060.000000 93.810 19.3107
4120.000000 93.964 20.5262
4180.000000 94.145 21.4974
4250.000000 94.368 22.2758
4310.000000 94.550 22.6669
4370.000000 94.715 22.8436
4440.000000 94.881 22.8479
4500.000000 95.000 22.7192
4550.000000 95.087 22.5436
4620.000000 95.196 22.2400
4680.000000 95.280 21.9207
4750.000000 95.369 21.4576
4820.000000 95.448 20.9030
4870.000000 95.497 20.4435
4940.000000 95.553 19.7199
5000.000000 95.590 19.0172
5080.000000 95.623 17.9641
5150.000000 95.634 16.9597
5220.000000 95.627 15.8848
