* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control. Timing signal peak level -17.9 dBFS, measurement signal peak level -18.4 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Feb 12, 2026 8:55:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0254 ms (-8.7 mm, -0.34 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset Clock adjustment: 2.0 ppm
* Measurement: Ziigaat Luna coffee L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 94.747 5.0505
20.299999 95.306 8.1727
20.600000 95.890 8.7089
20.900000 96.291 7.5237
21.200001 96.451 5.7283
21.400000 96.441 4.6560
21.799999 96.266 3.5305
22.000000 96.168 3.5633
22.400000 96.083 4.3604
22.700001 96.136 4.9340
23.000000 96.238 5.0335
23.299999 96.323 4.6124
23.600000 96.348 3.8839
24.000000 96.285 2.9371
24.299999 96.200 2.4933
24.700001 96.103 2.2877
25.000000 96.066 2.2587
25.400000 96.062 2.1657
25.799999 96.084 1.8891
26.200001 96.111 1.4485
26.500000 96.133 1.0410
26.900000 96.159 0.4031
27.200001 96.171 -0.1382
27.600000 96.167 -0.8804
28.000000 96.137 -1.5219
28.500000 96.088 -2.0302
29.000000 96.070 -2.2789
29.500000 96.094 -2.5598
30.000000 96.130 -3.0984
30.400000 96.136 -3.7017
30.700001 96.119 -4.1832
31.100000 96.067 -4.7457
31.500000 95.996 -5.1008
32.000000 95.920 -5.2001
32.500000 95.902 -5.1241
33.000000 95.937 -5.2424
33.500000 95.964 -5.6678
34.000000 95.938 -6.0523
34.500000 95.893 -5.9347
35.000000 95.921 -5.3228
35.500000 96.064 -4.8049
36.000000 96.251 -4.9201
36.500000 96.383 -5.6087
37.000000 96.417 -6.3937
37.500000 96.377 -6.8334
38.200001 96.295 -6.5582
38.700001 96.294 -5.8507
39.500000 96.503 -5.1273
40.000000 96.687 -5.8836
40.599998 96.747 -7.9456
41.200001 96.543 -9.8439
41.799999 96.241 -10.3124
42.500000 96.073 -9.6137
43.099998 96.075 -9.1673
43.700001 96.128 -8.8924
44.400002 96.319 -8.8322
45.000000 96.538 -9.7910
45.500000 96.625 -11.2277
46.200001 96.548 -12.9292
46.799999 96.440 -13.5486
47.500000 96.358 -14.0242
48.200001 96.221 -14.4770
48.700001 96.096 -14.4575
49.400002 95.971 -14.0326
50.000000 95.920 -13.6119
50.799999 95.958 -13.2197
51.500000 96.101 -13.9742
52.200001 96.103 -16.0980
53.000000 95.759 -17.7031
53.799999 95.472 -16.5867
54.500000 95.535 -15.3607
55.200001 95.668 -15.3605
56.000000 95.722 -15.9449
57.000000 95.719 -16.4915
58.000000 95.695 -17.0056
59.000000 95.630 -17.6988
60.000000 95.510 -18.0232
60.799999 95.477 -17.9419
61.500000 95.496 -18.0975
62.200001 95.501 -18.4658
63.000000 95.483 -18.8099
64.000000 95.474 -19.0096
65.000000 95.476 -19.2422
66.000000 95.443 -19.6329
67.000000 95.363 -19.9551
68.000000 95.288 -20.1066
69.000000 95.248 -20.3583
70.000000 95.215 -20.8165
71.000000 95.182 -21.2313
72.000000 95.171 -21.6028
73.000000 95.154 -22.0222
74.000000 95.116 -22.2477
75.000000 95.091 -22.3365
76.199997 95.054 -22.5804
77.500000 94.993 -22.8544
78.800003 94.942 -23.2506
80.000000 94.889 -23.7266
81.199997 94.838 -24.1727
82.500000 94.769 -24.5602
83.800003 94.705 -24.5901
85.000000 94.686 -24.6337
86.199997 94.658 -24.9645
87.500000 94.588 -25.3850
88.500000 94.525 -25.6038
90.000000 94.469 -25.7473
91.199997 94.472 -25.9614
92.500000 94.473 -26.4025
93.800003 94.442 -26.7960
95.000000 94.374 -27.0530
96.199997 94.268 -26.9778
97.500000 94.168 -26.5453
98.800003 94.125 -26.1418
100.000000 94.113 -26.3920
101.500000 93.978 -27.1840
103.000000 93.844 -27.0715
104.400002 93.876 -27.3340
106.000000 93.841 -28.5074
107.500000 93.776 -28.9587
109.000000 93.731 -29.2930
110.599998 93.638 -29.4365
112.000000 93.566 -29.3245
113.800003 93.503 -29.5275
115.000000 93.484 -29.7557
117.199997 93.578 -30.1902
118.000000 93.651 -30.4719
120.599998 93.603 -32.3657
122.000000 93.387 -31.8571
124.099998 93.215 -31.1328
125.000000 93.140 -31.2612
126.500000 93.018 -31.3136
128.000000 92.979 -31.1299
131.500000 92.929 -31.3517
132.000000 92.890 -31.3779
134.000000 92.685 -31.3372
136.000000 92.520 -31.2782
138.000000 92.451 -31.5907
140.000000 92.384 -31.9270
143.000000 92.167 -31.6982
145.000000 92.070 -31.3246
147.500000 92.089 -31.4406
150.000000 92.104 -31.9601
152.500000 91.902 -31.5126
155.000000 91.683 -31.0496
157.500000 91.574 -31.6716
160.000000 91.556 -33.0802
162.500000 91.409 -33.1780
165.000000 91.216 -31.8623
167.500000 91.110 -30.0253
170.000000 91.190 -29.3148
172.500000 91.205 -29.7996
175.000000 91.084 -29.9600
177.500000 90.908 -29.6244
180.000000 90.738 -29.1083
182.500000 90.580 -28.5601
185.000000 90.457 -27.7111
187.500000 90.410 -26.7274
190.000000 90.424 -25.9326
192.500000 90.454 -25.5764
195.000000 90.483 -25.5729
197.500000 90.516 -25.7688
200.000000 90.543 -26.1351
203.000000 90.536 -26.6552
206.000000 90.471 -27.0812
209.000000 90.369 -27.3472
212.000000 90.258 -27.5148
214.000000 90.191 -27.5306
218.000000 90.060 -27.3488
220.000000 89.987 -27.2072
224.000000 89.834 -26.9243
227.000000 89.726 -26.6423
230.000000 89.624 -26.3321
233.000000 89.528 -26.0148
236.000000 89.450 -25.6840
240.000000 89.372 -25.2842
243.000000 89.301 -24.9820
247.000000 89.188 -24.3411
250.000000 89.116 -23.9129
254.000000 89.024 -23.5114
258.000000 88.930 -23.0665
262.000000 88.840 -22.5908
265.000000 88.774 -22.2171
269.000000 88.698 -21.6141
272.000000 88.641 -21.1430
276.000000 88.555 -20.5785
280.000000 88.488 -19.9627
285.000000 88.421 -19.1201
290.000000 88.354 -18.3849
295.000000 88.290 -17.9344
300.000000 88.247 -17.4105
304.000000 88.214 -17.0173
307.000000 88.171 -16.5005
311.000000 88.120 -15.6590
315.000000 88.071 -15.0546
320.000000 88.010 -14.4252
325.000000 87.954 -13.7339
330.000000 87.897 -12.9994
335.000000 87.830 -12.4064
340.000000 87.799 -11.8051
345.000000 87.793 -11.1583
350.000000 87.763 -10.5568
355.000000 87.744 -9.8523
360.000000 87.737 -9.2451
365.000000 87.724 -8.7561
370.000000 87.709 -8.1762
375.000000 87.697 -7.4440
382.000000 87.677 -6.5720
387.000000 87.660 -6.0215
395.000000 87.653 -5.0709
400.000000 87.647 -4.4979
406.000000 87.643 -3.8882
412.000000 87.635 -3.2211
418.000000 87.628 -2.5582
425.000000 87.628 -1.8706
431.000000 87.636 -1.3743
437.000000 87.640 -0.7526
444.000000 87.635 0.0090
450.000000 87.649 0.5323
455.000000 87.663 0.9424
462.000000 87.672 1.5211
468.000000 87.682 2.0806
475.000000 87.700 2.7774
482.000000 87.717 3.4370
487.000000 87.726 3.8517
494.000000 87.735 4.4370
500.000000 87.745 4.9266
508.000000 87.769 5.5135
515.000000 87.789 5.9959
522.000000 87.797 6.4941
530.000000 87.822 7.1203
538.000000 87.846 7.6658
545.000000 87.871 8.1277
552.000000 87.894 8.6511
560.000000 87.914 9.2795
570.000000 87.946 9.9523
580.000000 87.973 10.5599
590.000000 88.000 11.2115
600.000000 88.029 11.8038
608.000000 88.048 12.3070
615.000000 88.070 12.7965
622.000000 88.098 13.2815
630.000000 88.129 13.7472
640.000000 88.169 14.2859
650.000000 88.205 14.9086
660.000000 88.237 15.5227
670.000000 88.280 16.1441
680.000000 88.322 16.7400
690.000000 88.358 17.2768
700.000000 88.397 17.8285
710.000000 88.436 18.3701
720.000000 88.474 18.9420
730.000000 88.518 19.5289
740.000000 88.563 20.1025
750.000000 88.605 20.6405
762.000000 88.655 21.2947
775.000000 88.708 22.0143
788.000000 88.780 22.7053
800.000000 88.849 23.3683
812.000000 88.906 24.0066
825.000000 88.975 24.6974
838.000000 89.048 25.3540
850.000000 89.117 25.9258
862.000000 89.186 26.5524
875.000000 89.255 27.2864
885.000000 89.311 27.8269
900.000000 89.405 28.5504
912.000000 89.485 29.0554
925.000000 89.577 29.6129
938.000000 89.669 30.1835
950.000000 89.747 30.6750
962.000000 89.827 31.1376
975.000000 89.919 31.6461
988.000000 90.013 32.1637
1000.000000 90.103 32.5807
1015.000000 90.216 33.0233
1030.000000 90.324 33.4339
1044.000000 90.426 33.7889
1060.000000 90.541 34.1582
1075.000000 90.653 34.4842
1090.000000 90.768 34.7735
1106.000000 90.890 35.0068
1120.000000 90.989 35.1716
1138.000000 91.111 35.3495
1150.000000 91.191 35.4709
1172.000000 91.339 35.6475
1180.000000 91.392 35.6906
1206.000000 91.556 35.7833
1220.000000 91.642 35.8209
1241.000000 91.774 35.8640
1250.000000 91.833 35.8843
1265.000000 91.935 35.9149
1280.000000 92.033 35.9278
1315.000000 92.217 35.9459
1320.000000 92.240 35.9503
1340.000000 92.333 35.9593
1360.000000 92.426 35.9610
1380.000000 92.524 35.9895
1400.000000 92.622 35.9793
1430.000000 92.771 35.9779
1450.000000 92.868 36.0107
1475.000000 92.985 36.0455
1500.000000 93.100 36.0711
1525.000000 93.214 36.1320
1550.000000 93.325 36.1800
1575.000000 93.429 36.2142
1600.000000 93.531 36.2542
1625.000000 93.636 36.3072
1650.000000 93.739 36.3502
1675.000000 93.842 36.4109
1700.000000 93.948 36.4545
1725.000000 94.057 36.4753
1750.000000 94.164 36.4684
1775.000000 94.272 36.4563
1800.000000 94.383 36.4506
1825.000000 94.496 36.4150
1850.000000 94.608 36.3555
1875.000000 94.723 36.2879
1900.000000 94.842 36.1970
1925.000000 94.964 36.0723
1950.000000 95.090 35.9145
1975.000000 95.216 35.7307
2000.000000 95.340 35.5190
2030.000000 95.487 35.2219
2060.000000 95.635 34.8702
2090.000000 95.786 34.4649
2120.000000 95.934 34.0091
2140.000000 96.032 33.6727
2180.000000 96.226 32.9090
2200.000000 96.321 32.4891
2240.000000 96.507 31.5763
2270.000000 96.639 30.8228
2300.000000 96.764 30.0134
2330.000000 96.881 29.1362
2360.000000 96.991 28.1988
2400.000000 97.122 26.8661
2430.000000 97.206 25.8109
2470.000000 97.300 24.3456
2500.000000 97.356 23.2051
2540.000000 97.407 21.6544
2580.000000 97.432 20.0897
2620.000000 97.429 18.5467
2650.000000 97.409 17.4187
2690.000000 97.362 15.9712
2720.000000 97.312 14.9343
2760.000000 97.228 13.6414
2800.000000 97.125 12.4708
2850.000000 96.981 11.1628
2900.000000 96.823 10.0023
2950.000000 96.652 9.0179
3000.000000 96.475 8.1659
3040.000000 96.327 7.5927
3070.000000 96.212 7.2202
3110.000000 96.055 6.8016
3150.000000 95.892 6.4666
3200.000000 95.679 6.1618
3250.000000 95.457 5.9923
3300.000000 95.224 5.9523
3350.000000 94.991 6.0632
3400.000000 94.767 6.3057
3450.000000 94.557 6.7034
3500.000000 94.364 7.2544
3550.000000 94.184 7.9640
3600.000000 94.007 8.8269
3650.000000 93.831 9.8129
3700.000000 93.658 10.9005
3750.000000 93.499 12.0807
3820.000000 93.323 13.8353
3870.000000 93.249 15.1363
3950.000000 93.249 17.2041
4000.000000 93.314 18.4274
4060.000000 93.449 19.7307
4120.000000 93.626 20.7749
4180.000000 93.815 21.5051
4250.000000 94.028 21.9736
4310.000000 94.188 22.1071
4370.000000 94.321 22.0509
4440.000000 94.437 21.8452
4500.000000 94.510 21.6129
4550.000000 94.555 21.3971
4620.000000 94.600 21.0790
4680.000000 94.625 20.8057
4750.000000 94.648 20.4732
4820.000000 94.667 20.1075
4870.000000 94.675 19.8214
4940.000000 94.679 19.3749
5000.000000 94.676 18.9469
5080.000000 94.665 18.2875
5150.000000 94.645 17.6323
5220.000000 94.616 16.9271
