* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control. Timing signal peak level -18.8 dBFS, measurement signal peak level -18.9 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Feb 12, 2026 8:56:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0254 ms (-8.7 mm, -0.34 in) using estimated IR delay relative to Acoustic reference played from  R with no timing offset Clock adjustment: 1.8 ppm
* Measurement: Ziigaat Luna coffee R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 95.941 5.5870
20.299999 95.928 6.1305
20.600000 95.997 6.2612
20.900000 96.078 5.7687
21.200001 96.099 4.8065
21.400000 96.064 4.0923
21.799999 95.899 3.0002
22.000000 95.800 2.7657
22.400000 95.662 2.8542
22.700001 95.652 3.0234
23.000000 95.701 2.8867
23.299999 95.753 2.3098
23.600000 95.756 1.4402
24.000000 95.650 0.4139
24.299999 95.527 0.1553
24.700001 95.418 0.6465
25.000000 95.446 1.3190
25.400000 95.629 1.8413
25.799999 95.866 1.4291
26.200001 96.029 0.2594
26.500000 96.071 -0.7401
26.900000 96.043 -1.7676
27.200001 96.003 -2.1722
27.600000 95.978 -2.3381
28.000000 95.999 -2.3914
28.500000 96.041 -2.6150
29.000000 96.052 -2.8915
29.500000 96.048 -2.9652
30.000000 96.075 -2.9325
30.400000 96.116 -3.0399
30.700001 96.143 -3.2469
31.100000 96.155 -3.6233
31.500000 96.139 -3.9791
32.000000 96.108 -4.2675
32.500000 96.098 -4.4720
33.000000 96.107 -4.7899
33.500000 96.110 -5.2609
34.000000 96.093 -5.7480
34.500000 96.073 -6.1353
35.000000 96.067 -6.4546
35.500000 96.076 -6.8071
36.000000 96.082 -7.2249
36.500000 96.078 -7.6459
37.000000 96.065 -7.9845
37.500000 96.048 -8.1733
38.200001 96.038 -8.1202
38.700001 96.070 -7.9540
39.500000 96.200 -8.1289
40.000000 96.264 -8.7802
40.599998 96.244 -9.8093
41.200001 96.127 -10.4633
41.799999 96.012 -10.4968
42.500000 95.965 -10.3380
43.099998 95.957 -10.4789
43.700001 95.936 -10.7631
44.400002 95.921 -11.0930
45.000000 95.926 -11.5239
45.500000 95.921 -12.0291
46.200001 95.876 -12.7134
46.799999 95.827 -13.0901
47.500000 95.793 -13.3812
48.200001 95.770 -13.6849
48.700001 95.749 -13.8795
49.400002 95.719 -14.0365
50.000000 95.711 -14.1342
50.799999 95.710 -14.4670
51.500000 95.675 -14.8859
52.200001 95.612 -15.0929
53.000000 95.580 -15.0580
53.799999 95.608 -15.2375
54.500000 95.625 -15.7043
55.200001 95.611 -16.2101
56.000000 95.583 -16.6310
57.000000 95.559 -17.0151
58.000000 95.529 -17.2113
59.000000 95.543 -17.2410
60.000000 95.562 -17.8394
60.799999 95.483 -18.3702
61.500000 95.394 -18.3763
62.200001 95.356 -18.2606
63.000000 95.339 -18.4563
64.000000 95.284 -18.8381
65.000000 95.243 -19.1041
66.000000 95.202 -19.4410
67.000000 95.169 -19.6240
68.000000 95.165 -19.8594
69.000000 95.153 -20.0571
70.000000 95.171 -20.1912
71.000000 95.193 -20.6705
72.000000 95.156 -21.2883
73.000000 95.081 -21.6551
74.000000 95.020 -21.7563
75.000000 95.000 -21.8839
76.199997 94.985 -22.3668
77.500000 94.938 -23.0121
78.800003 94.866 -23.6188
80.000000 94.789 -23.9291
81.199997 94.745 -24.1662
82.500000 94.696 -24.5299
83.800003 94.641 -24.9113
85.000000 94.573 -25.2383
86.199997 94.505 -25.4796
87.500000 94.426 -25.6440
88.500000 94.378 -25.6652
90.000000 94.329 -25.8102
91.199997 94.284 -26.0623
92.500000 94.216 -26.3373
93.800003 94.150 -26.4852
95.000000 94.102 -26.6823
96.199997 94.045 -26.9448
97.500000 93.973 -27.1786
98.800003 93.902 -27.3296
100.000000 93.843 -27.4348
101.500000 93.774 -27.5626
103.000000 93.710 -27.7189
104.400002 93.651 -27.8612
106.000000 93.591 -28.0038
107.500000 93.531 -28.1396
109.000000 93.463 -28.2161
110.599998 93.383 -28.3556
112.000000 93.298 -28.5740
113.800003 93.179 -28.8476
115.000000 93.109 -28.9694
117.199997 93.014 -29.0454
118.000000 92.988 -29.0162
120.599998 92.868 -29.1923
122.000000 92.732 -29.1387
124.099998 92.540 -28.8028
125.000000 92.474 -28.7113
126.500000 92.377 -28.6390
128.000000 92.290 -28.5361
131.500000 92.064 -27.7909
132.000000 92.028 -27.5915
134.000000 91.890 -26.6218
136.000000 91.774 -25.4549
138.000000 91.694 -24.0912
140.000000 91.660 -22.4319
143.000000 91.798 -20.1071
145.000000 91.985 -19.2863
147.500000 92.283 -19.3456
150.000000 92.546 -20.1687
152.500000 92.782 -21.5402
155.000000 92.890 -23.4303
157.500000 92.876 -25.1530
160.000000 92.788 -26.5822
162.500000 92.663 -27.6703
165.000000 92.539 -28.5475
167.500000 92.423 -29.2189
170.000000 92.310 -29.6959
172.500000 92.187 -30.0676
175.000000 92.050 -30.3102
177.500000 91.896 -30.3466
180.000000 91.748 -30.2665
182.500000 91.594 -30.3534
185.000000 91.430 -30.4927
187.500000 91.285 -30.5430
190.000000 91.162 -30.4872
192.500000 91.046 -30.3735
195.000000 90.936 -30.2220
197.500000 90.844 -30.0751
200.000000 90.765 -29.9946
203.000000 90.662 -29.8339
206.000000 90.559 -29.5436
209.000000 90.452 -29.2931
212.000000 90.343 -29.0375
214.000000 90.277 -28.8363
218.000000 90.150 -28.4078
220.000000 90.082 -28.1632
224.000000 89.955 -27.7858
227.000000 89.865 -27.5496
230.000000 89.772 -27.2183
233.000000 89.685 -26.8262
236.000000 89.602 -26.4924
240.000000 89.489 -26.0496
243.000000 89.403 -25.6699
247.000000 89.301 -25.1480
250.000000 89.236 -24.7554
254.000000 89.153 -24.1403
258.000000 89.065 -23.5850
262.000000 88.982 -23.0892
265.000000 88.923 -22.6992
269.000000 88.843 -22.1307
272.000000 88.785 -21.6697
276.000000 88.713 -21.0164
280.000000 88.645 -20.3965
285.000000 88.566 -19.6653
290.000000 88.488 -18.9042
295.000000 88.427 -18.1941
300.000000 88.390 -17.2365
304.000000 88.352 -16.5850
307.000000 88.327 -16.1943
311.000000 88.309 -15.7168
315.000000 88.298 -15.2944
320.000000 88.267 -14.8131
325.000000 88.225 -14.2506
330.000000 88.188 -13.7091
335.000000 88.150 -13.2537
340.000000 88.099 -12.7739
345.000000 88.048 -12.2259
350.000000 88.016 -11.6287
355.000000 87.989 -10.9576
360.000000 87.963 -10.3586
365.000000 87.931 -9.7833
370.000000 87.906 -9.1998
375.000000 87.882 -8.6183
382.000000 87.853 -7.8550
387.000000 87.837 -7.3416
395.000000 87.809 -6.4417
400.000000 87.796 -5.8954
406.000000 87.791 -5.2633
412.000000 87.795 -4.6036
418.000000 87.793 -4.0283
425.000000 87.783 -3.3680
431.000000 87.779 -2.6955
437.000000 87.779 -2.1233
444.000000 87.773 -1.4742
450.000000 87.772 -0.9092
455.000000 87.775 -0.4669
462.000000 87.783 0.1562
468.000000 87.787 0.6874
475.000000 87.792 1.3058
482.000000 87.808 1.8688
487.000000 87.818 2.2482
494.000000 87.825 2.8574
500.000000 87.834 3.3827
508.000000 87.848 4.0198
515.000000 87.857 4.5168
522.000000 87.867 5.0704
530.000000 87.886 5.6683
538.000000 87.902 6.1657
545.000000 87.919 6.6321
552.000000 87.939 7.1132
560.000000 87.959 7.6799
570.000000 87.977 8.4022
580.000000 88.006 9.0749
590.000000 88.035 9.7405
600.000000 88.059 10.4053
608.000000 88.082 10.8828
615.000000 88.105 11.3117
622.000000 88.128 11.7427
630.000000 88.152 12.2516
640.000000 88.183 12.8967
650.000000 88.214 13.5074
660.000000 88.244 14.0980
670.000000 88.280 14.6842
680.000000 88.314 15.2657
690.000000 88.345 15.8497
700.000000 88.374 16.4103
710.000000 88.405 16.9655
720.000000 88.444 17.5754
730.000000 88.492 18.1854
740.000000 88.539 18.7452
750.000000 88.582 19.2910
762.000000 88.630 19.9700
775.000000 88.686 20.7170
788.000000 88.746 21.4242
800.000000 88.802 22.0817
812.000000 88.859 22.7429
825.000000 88.918 23.4895
838.000000 88.985 24.1772
850.000000 89.054 24.7766
862.000000 89.123 25.3872
875.000000 89.200 26.0571
885.000000 89.259 26.5396
900.000000 89.351 27.2742
912.000000 89.425 27.8661
925.000000 89.505 28.4486
938.000000 89.592 28.9988
950.000000 89.675 29.5060
962.000000 89.759 29.9885
975.000000 89.851 30.4898
988.000000 89.946 30.9635
1000.000000 90.038 31.3775
1015.000000 90.149 31.8432
1030.000000 90.252 32.2816
1044.000000 90.345 32.6582
1060.000000 90.455 33.0305
1075.000000 90.567 33.3250
1090.000000 90.681 33.6091
1106.000000 90.794 33.8723
1120.000000 90.892 34.0583
1138.000000 91.017 34.2443
1150.000000 91.099 34.3790
1172.000000 91.245 34.5674
1180.000000 91.296 34.6137
1206.000000 91.452 34.7672
1220.000000 91.537 34.8177
1241.000000 91.668 34.8486
1250.000000 91.726 34.8713
1265.000000 91.827 34.9124
1280.000000 91.926 34.9486
1315.000000 92.109 34.9628
1320.000000 92.131 34.9651
1340.000000 92.221 34.9662
1360.000000 92.316 34.9754
1380.000000 92.416 34.9985
1400.000000 92.516 35.0231
1430.000000 92.665 35.0668
1450.000000 92.760 35.0835
1475.000000 92.877 35.1154
1500.000000 92.989 35.1728
1525.000000 93.095 35.2349
1550.000000 93.201 35.2787
1575.000000 93.306 35.3410
1600.000000 93.408 35.4007
1625.000000 93.508 35.4664
1650.000000 93.611 35.5178
1675.000000 93.717 35.5547
1700.000000 93.823 35.5880
1725.000000 93.929 35.6403
1750.000000 94.034 35.6726
1775.000000 94.142 35.6643
1800.000000 94.253 35.6469
1825.000000 94.364 35.6255
1850.000000 94.476 35.5715
1875.000000 94.593 35.4880
1900.000000 94.712 35.3875
1925.000000 94.835 35.2724
1950.000000 94.960 35.1360
1975.000000 95.082 34.9614
2000.000000 95.203 34.7455
2030.000000 95.350 34.4486
2060.000000 95.500 34.1195
2090.000000 95.650 33.7336
2120.000000 95.800 33.2840
2140.000000 95.899 32.9510
2180.000000 96.090 32.2117
2200.000000 96.184 31.7920
2240.000000 96.370 30.9009
2270.000000 96.503 30.1660
2300.000000 96.630 29.3488
2330.000000 96.748 28.4725
2360.000000 96.858 27.5464
2400.000000 96.991 26.2186
2430.000000 97.077 25.1627
2470.000000 97.175 23.7018
2500.000000 97.234 22.5665
2540.000000 97.288 21.0114
2580.000000 97.316 19.4482
2620.000000 97.315 17.8942
2650.000000 97.299 16.7546
2690.000000 97.254 15.2838
2720.000000 97.205 14.2276
2760.000000 97.122 12.9027
2800.000000 97.022 11.6909
2850.000000 96.879 10.3219
2900.000000 96.721 9.1208
2950.000000 96.551 8.0864
3000.000000 96.370 7.1987
3040.000000 96.222 6.5947
3070.000000 96.107 6.1926
3110.000000 95.948 5.7302
3150.000000 95.782 5.3553
3200.000000 95.569 5.0025
3250.000000 95.346 4.7783
3300.000000 95.112 4.6644
3350.000000 94.876 4.6901
3400.000000 94.651 4.8552
3450.000000 94.437 5.1532
3500.000000 94.233 5.5880
3550.000000 94.033 6.1534
3600.000000 93.833 6.8542
3650.000000 93.634 7.6996
3700.000000 93.430 8.6729
3750.000000 93.231 9.8026
3820.000000 92.993 11.6166
3870.000000 92.876 13.0280
3950.000000 92.816 15.3904
4000.000000 92.852 16.8636
4060.000000 92.967 18.4864
4120.000000 93.139 19.8586
4180.000000 93.341 20.9044
4250.000000 93.585 21.6581
4310.000000 93.774 21.9274
4370.000000 93.930 21.9373
4440.000000 94.065 21.7303
4500.000000 94.147 21.4589
4550.000000 94.196 21.1965
4620.000000 94.241 20.8011
4680.000000 94.263 20.4810
4750.000000 94.276 20.1353
4820.000000 94.277 19.7981
4870.000000 94.275 19.5529
4940.000000 94.266 19.1945
5000.000000 94.256 18.8521
5080.000000 94.236 18.3477
5150.000000 94.212 17.8389
5220.000000 94.181 17.2603
