* Measurement data measured by REW V5.31.3
* Source: Scarlett Solo USB, Scarlett Solo USB , L, volume: no control. Timing signal peak level -15.3 dBFS, measurement signal peak level -14.6 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Dec 31, 2025 10:38:42 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0831 ms (-29 mm, -1.12 in) using estimated IR delay relative to Acoustic reference played from Qudelix-5K L with no timing offset Clock adjustment: 14.9 ppm
* Measurement: Ziigaat Luna gray L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 101.310 29.5386
20.299999 101.328 28.8928
20.600000 101.346 28.2574
20.900000 101.362 27.6315
21.200001 101.377 27.0143
21.400000 101.386 26.6072
21.799999 101.404 25.8030
22.000000 101.412 25.4054
22.400000 101.427 24.6194
22.700001 101.437 24.0378
23.000000 101.447 23.4631
23.299999 101.456 22.8954
23.600000 101.464 22.3344
24.000000 101.476 21.5967
24.299999 101.484 21.0513
24.700001 101.495 20.3346
25.000000 101.502 19.8049
25.400000 101.513 19.1086
25.799999 101.523 18.4237
26.200001 101.532 17.7503
26.500000 101.538 17.2534
26.900000 101.547 16.6027
27.200001 101.552 16.1233
27.600000 101.559 15.4952
28.000000 101.565 14.8783
28.500000 101.571 14.1216
29.000000 101.576 13.3800
29.500000 101.579 12.6531
30.000000 101.580 11.9398
30.400000 101.581 11.3782
30.700001 101.581 10.9619
31.100000 101.581 10.4127
31.500000 101.580 9.8698
32.000000 101.578 9.1979
32.500000 101.576 8.5331
33.000000 101.573 7.8774
33.500000 101.570 7.2332
34.000000 101.566 6.6013
34.500000 101.562 5.9805
35.000000 101.557 5.3689
35.500000 101.552 4.7669
36.000000 101.546 4.1755
36.500000 101.539 3.5956
37.000000 101.532 3.0262
37.500000 101.524 2.4659
38.200001 101.511 1.6954
38.700001 101.501 1.1555
39.500000 101.484 0.3085
40.000000 101.473 -0.2122
40.599998 101.459 -0.8280
41.200001 101.444 -1.4318
41.799999 101.429 -2.0234
42.500000 101.411 -2.7013
43.099998 101.396 -3.2733
43.700001 101.379 -3.8350
44.400002 101.359 -4.4753
45.000000 101.341 -5.0126
45.500000 101.326 -5.4535
46.200001 101.304 -6.0599
46.799999 101.284 -6.5685
47.500000 101.260 -7.1486
48.200001 101.236 -7.7174
48.700001 101.219 -8.1179
49.400002 101.194 -8.6709
50.000000 101.172 -9.1364
50.799999 101.143 -9.7426
51.500000 101.116 -10.2575
52.200001 101.089 -10.7594
53.000000 101.059 -11.3219
53.799999 101.027 -11.8738
54.500000 100.998 -12.3459
55.200001 100.969 -12.8086
56.000000 100.935 -13.3269
57.000000 100.892 -13.9582
58.000000 100.849 -14.5726
59.000000 100.804 -15.1722
60.000000 100.759 -15.7515
60.799999 100.723 -16.2015
61.500000 100.692 -16.5881
62.200001 100.660 -16.9677
63.000000 100.623 -17.3921
64.000000 100.577 -17.9099
65.000000 100.530 -18.4142
66.000000 100.483 -18.9054
67.000000 100.435 -19.3832
68.000000 100.386 -19.8469
69.000000 100.337 -20.2971
70.000000 100.287 -20.7348
71.000000 100.237 -21.1611
72.000000 100.187 -21.5758
73.000000 100.137 -21.9792
74.000000 100.087 -22.3710
75.000000 100.036 -22.7510
76.199997 99.975 -23.1934
77.500000 99.909 -23.6544
78.800003 99.842 -24.0977
80.000000 99.780 -24.4940
81.199997 99.718 -24.8794
82.500000 99.650 -25.2841
83.800003 99.581 -25.6730
85.000000 99.518 -26.0178
86.199997 99.456 -26.3502
87.500000 99.387 -26.6979
88.500000 99.335 -26.9578
90.000000 99.255 -27.3318
91.199997 99.192 -27.6180
92.500000 99.123 -27.9183
93.800003 99.054 -28.2069
95.000000 98.990 -28.4622
96.199997 98.927 -28.7095
97.500000 98.859 -28.9693
98.800003 98.790 -29.2175
100.000000 98.726 -29.4346
101.500000 98.646 -29.6918
103.000000 98.567 -29.9370
104.400002 98.494 -30.1538
106.000000 98.410 -30.3862
107.500000 98.332 -30.5915
109.000000 98.255 -30.7869
110.599998 98.172 -30.9852
112.000000 98.100 -31.1479
113.800003 98.007 -31.3438
115.000000 97.946 -31.4662
117.199997 97.834 -31.6689
118.000000 97.794 -31.7375
120.599998 97.665 -31.9487
122.000000 97.594 -32.0511
124.099998 97.489 -32.1872
125.000000 97.445 -32.2400
126.500000 97.371 -32.3225
128.000000 97.297 -32.3987
131.500000 97.128 -32.5420
132.000000 97.104 -32.5587
134.000000 97.008 -32.6181
136.000000 96.913 -32.6661
138.000000 96.819 -32.7013
140.000000 96.725 -32.7227
143.000000 96.586 -32.7314
145.000000 96.494 -32.7214
147.500000 96.381 -32.6885
150.000000 96.270 -32.6379
152.500000 96.160 -32.5793
155.000000 96.051 -32.5106
157.500000 95.942 -32.4269
160.000000 95.834 -32.3292
162.500000 95.727 -32.2117
165.000000 95.620 -32.0732
167.500000 95.515 -31.9161
170.000000 95.410 -31.7382
172.500000 95.309 -31.5416
175.000000 95.210 -31.3352
177.500000 95.111 -31.1195
180.000000 95.014 -30.8915
182.500000 94.917 -30.6518
185.000000 94.820 -30.3988
187.500000 94.724 -30.1300
190.000000 94.627 -29.8384
192.500000 94.529 -29.5139
195.000000 94.432 -29.1497
197.500000 94.337 -28.7431
200.000000 94.243 -28.2842
203.000000 94.138 -27.6498
206.000000 94.045 -26.9249
209.000000 93.972 -26.1318
212.000000 93.924 -25.3060
214.000000 93.907 -24.7705
218.000000 93.906 -23.8456
220.000000 93.916 -23.4896
224.000000 93.943 -23.0010
227.000000 93.960 -22.8276
230.000000 93.963 -22.7968
233.000000 93.946 -22.8524
236.000000 93.908 -22.9243
240.000000 93.833 -22.9488
243.000000 93.766 -22.8866
247.000000 93.673 -22.7054
250.000000 93.603 -22.5085
254.000000 93.514 -22.1843
258.000000 93.430 -21.8144
262.000000 93.352 -21.4206
265.000000 93.297 -21.1180
269.000000 93.226 -20.7094
272.000000 93.174 -20.3975
276.000000 93.106 -19.9703
280.000000 93.040 -19.5324
285.000000 92.961 -18.9695
290.000000 92.886 -18.3926
295.000000 92.815 -17.8030
300.000000 92.747 -17.2008
304.000000 92.695 -16.7079
307.000000 92.658 -16.3292
311.000000 92.609 -15.8134
315.000000 92.562 -15.2803
320.000000 92.506 -14.5733
325.000000 92.458 -13.8003
330.000000 92.425 -12.9440
335.000000 92.421 -12.0363
340.000000 92.452 -11.2143
345.000000 92.507 -10.6559
350.000000 92.553 -10.4058
355.000000 92.569 -10.3192
360.000000 92.557 -10.2251
365.000000 92.527 -10.0490
370.000000 92.493 -9.7925
375.000000 92.459 -9.4772
382.000000 92.415 -8.9719
387.000000 92.387 -8.5901
395.000000 92.348 -7.9663
400.000000 92.327 -7.5746
406.000000 92.305 -7.1073
412.000000 92.286 -6.6403
418.000000 92.268 -6.1774
425.000000 92.251 -5.6515
431.000000 92.238 -5.2103
437.000000 92.226 -4.7784
444.000000 92.216 -4.2802
450.000000 92.208 -3.8572
455.000000 92.202 -3.5114
462.000000 92.195 -3.0396
468.000000 92.191 -2.6451
475.000000 92.186 -2.1917
482.000000 92.184 -1.7463
487.000000 92.182 -1.4349
494.000000 92.181 -1.0066
500.000000 92.180 -0.6467
508.000000 92.181 -0.1721
515.000000 92.182 0.2382
522.000000 92.184 0.6428
530.000000 92.187 1.0983
538.000000 92.191 1.5507
545.000000 92.195 1.9441
552.000000 92.200 2.3329
560.000000 92.207 2.7751
570.000000 92.216 3.3183
580.000000 92.227 3.8549
590.000000 92.239 4.3838
600.000000 92.252 4.9095
608.000000 92.263 5.3259
615.000000 92.272 5.6860
622.000000 92.282 6.0432
630.000000 92.294 6.4468
640.000000 92.311 6.9476
650.000000 92.329 7.4503
660.000000 92.347 7.9496
670.000000 92.366 8.4413
680.000000 92.388 8.9304
690.000000 92.410 9.4199
700.000000 92.433 9.9103
710.000000 92.457 10.4001
720.000000 92.483 10.8853
730.000000 92.510 11.3669
740.000000 92.538 11.8481
750.000000 92.568 12.3296
762.000000 92.606 12.9040
775.000000 92.651 13.5228
788.000000 92.698 14.1422
800.000000 92.743 14.7130
812.000000 92.792 15.2762
825.000000 92.848 15.8749
838.000000 92.907 16.4658
850.000000 92.965 17.0008
862.000000 93.025 17.5247
875.000000 93.093 18.0831
885.000000 93.149 18.5028
900.000000 93.236 19.1136
912.000000 93.308 19.5823
925.000000 93.388 20.0670
938.000000 93.472 20.5280
950.000000 93.552 20.9343
962.000000 93.634 21.3160
975.000000 93.725 21.7017
988.000000 93.817 22.0609
1000.000000 93.903 22.3661
1015.000000 94.012 22.7120
1030.000000 94.122 23.0211
1044.000000 94.224 23.2723
1060.000000 94.340 23.5167
1075.000000 94.449 23.7053
1090.000000 94.557 23.8588
1106.000000 94.669 23.9863
1120.000000 94.765 24.0682
1138.000000 94.886 24.1392
1150.000000 94.964 24.1655
1172.000000 95.104 24.1721
1180.000000 95.153 24.1648
1206.000000 95.306 24.1061
1220.000000 95.384 24.0557
1241.000000 95.497 23.9669
1250.000000 95.543 23.9248
1265.000000 95.618 23.8505
1280.000000 95.690 23.7750
1315.000000 95.850 23.5940
1320.000000 95.871 23.5683
1340.000000 95.956 23.4680
1360.000000 96.037 23.3660
1380.000000 96.115 23.2668
1400.000000 96.191 23.1749
1430.000000 96.301 23.0438
1450.000000 96.372 22.9642
1475.000000 96.459 22.8694
1500.000000 96.544 22.7831
1525.000000 96.629 22.7024
1550.000000 96.713 22.6245
1575.000000 96.797 22.5527
1600.000000 96.882 22.4855
1625.000000 96.967 22.4156
1650.000000 97.051 22.3441
1675.000000 97.136 22.2666
1700.000000 97.222 22.1802
1725.000000 97.308 22.0918
1750.000000 97.396 21.9973
1775.000000 97.485 21.8925
1800.000000 97.574 21.7738
1825.000000 97.664 21.6412
1850.000000 97.755 21.4944
1875.000000 97.846 21.3304
1900.000000 97.938 21.1476
1925.000000 98.030 20.9448
1950.000000 98.123 20.7200
1975.000000 98.215 20.4716
2000.000000 98.306 20.2006
2030.000000 98.414 19.8433
2060.000000 98.521 19.4536
2090.000000 98.626 19.0295
2120.000000 98.728 18.5659
2140.000000 98.795 18.2350
2180.000000 98.924 17.5229
2200.000000 98.986 17.1400
2240.000000 99.102 16.3192
2270.000000 99.181 15.6609
2300.000000 99.253 14.9660
2330.000000 99.316 14.2415
2360.000000 99.370 13.4961
2400.000000 99.425 12.4817
2430.000000 99.454 11.7178
2470.000000 99.475 10.7262
2500.000000 99.480 10.0283
2540.000000 99.479 9.1856
2580.000000 99.479 8.4333
2620.000000 99.488 7.6819
2650.000000 99.497 7.0469
2690.000000 99.496 6.0800
2720.000000 99.479 5.3070
2760.000000 99.430 4.2888
2800.000000 99.358 3.3404
2850.000000 99.249 2.2937
2900.000000 99.127 1.3999
2950.000000 99.001 0.6426
3000.000000 98.873 -0.0002
3040.000000 98.773 -0.4526
3070.000000 98.697 -0.7561
3110.000000 98.594 -1.1211
3150.000000 98.490 -1.4454
3200.000000 98.356 -1.7874
3250.000000 98.219 -2.0561
3300.000000 98.077 -2.2466
3350.000000 97.927 -2.3418
3400.000000 97.770 -2.3112
3450.000000 97.608 -2.1154
3500.000000 97.449 -1.7299
3550.000000 97.301 -1.1592
3600.000000 97.169 -0.4398
3650.000000 97.055 0.3903
3700.000000 96.958 1.3143
3750.000000 96.883 2.3229
3820.000000 96.815 3.8417
3870.000000 96.798 4.9721
3950.000000 96.828 6.7700
4000.000000 96.882 7.8108
4060.000000 96.979 8.8943
4120.000000 97.101 9.7491
4180.000000 97.237 10.3554
4250.000000 97.398 10.7642
4310.000000 97.530 10.8917
4370.000000 97.650 10.8693
4440.000000 97.775 10.7143
4500.000000 97.871 10.4982
4550.000000 97.947 10.2619
4620.000000 98.047 9.8442
4680.000000 98.127 9.4026
4750.000000 98.213 8.7933
4820.000000 98.293 8.0740
4870.000000 98.344 7.4865
4940.000000 98.404 6.5691
5000.000000 98.443 5.7095
5080.000000 98.475 4.4714
5150.000000 98.479 3.3079
5220.000000 98.454 2.0768
