* Measurement data measured by REW V5.31.3
* Source: Scarlett Solo USB, Scarlett Solo USB , L, volume: no control. Timing signal peak level -15.8 dBFS, measurement signal peak level -14.6 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Dec 31, 2025 10:39:34 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0192 ms (-6.6 mm, -0.26 in) using estimated IR delay relative to Acoustic reference played from Qudelix-5K R with no timing offset Clock adjustment: -178.4 ppm
* Measurement: Ziigaat Luna gray R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 101.400 30.1917
20.299999 101.418 29.5319
20.600000 101.436 28.8828
20.900000 101.453 28.2440
21.200001 101.469 27.6151
21.400000 101.480 27.2011
21.799999 101.499 26.3849
22.000000 101.509 25.9824
22.400000 101.527 25.1888
22.700001 101.540 24.6035
23.000000 101.552 24.0269
23.299999 101.564 23.4584
23.600000 101.575 22.8978
24.000000 101.589 22.1617
24.299999 101.599 21.6180
24.700001 101.612 20.9042
25.000000 101.620 20.3775
25.400000 101.631 19.6871
25.799999 101.641 19.0096
26.200001 101.651 18.3443
26.500000 101.657 17.8527
26.900000 101.665 17.2063
27.200001 101.671 16.7279
27.600000 101.678 16.0980
28.000000 101.685 15.4763
28.500000 101.692 14.7098
29.000000 101.698 13.9549
29.500000 101.702 13.2125
30.000000 101.706 12.4843
30.400000 101.708 11.9121
30.700001 101.709 11.4889
31.100000 101.710 10.9315
31.500000 101.712 10.3807
32.000000 101.713 9.6996
32.500000 101.714 9.0270
33.000000 101.713 8.3641
33.500000 101.712 7.7118
34.000000 101.709 7.0709
34.500000 101.706 6.4424
35.000000 101.702 5.8275
35.500000 101.698 5.2252
36.000000 101.693 4.6328
36.500000 101.688 4.0474
37.000000 101.683 3.4685
37.500000 101.676 2.8976
38.200001 101.666 2.1131
38.700001 101.659 1.5618
39.500000 101.646 0.6917
40.000000 101.637 0.1555
40.599998 101.625 -0.4775
41.200001 101.613 -1.0992
41.799999 101.601 -1.7109
42.500000 101.586 -2.4136
43.099998 101.573 -3.0059
43.700001 101.558 -3.5875
44.400002 101.541 -4.2515
45.000000 101.525 -4.8076
45.500000 101.512 -5.2625
46.200001 101.493 -5.8888
46.799999 101.476 -6.4166
47.500000 101.456 -7.0203
48.200001 101.434 -7.6094
48.700001 101.419 -8.0219
49.400002 101.396 -8.5903
50.000000 101.377 -9.0697
50.799999 101.350 -9.6978
51.500000 101.327 -10.2374
52.200001 101.302 -10.7681
53.000000 101.274 -11.3632
53.799999 101.245 -11.9457
54.500000 101.219 -12.4460
55.200001 101.193 -12.9376
56.000000 101.163 -13.4882
57.000000 101.125 -14.1595
58.000000 101.087 -14.8105
59.000000 101.048 -15.4446
60.000000 101.008 -16.0668
60.799999 100.975 -16.5522
61.500000 100.946 -16.9665
62.200001 100.917 -17.3728
63.000000 100.883 -17.8287
64.000000 100.840 -18.3867
65.000000 100.797 -18.9307
66.000000 100.753 -19.4579
67.000000 100.709 -19.9709
68.000000 100.664 -20.4720
69.000000 100.619 -20.9584
70.000000 100.573 -21.4325
71.000000 100.528 -21.8970
72.000000 100.482 -22.3519
73.000000 100.436 -22.7969
74.000000 100.389 -23.2318
75.000000 100.343 -23.6558
76.199997 100.287 -24.1470
77.500000 100.227 -24.6624
78.800003 100.166 -25.1643
80.000000 100.110 -25.6150
81.199997 100.054 -26.0549
82.500000 99.992 -26.5192
83.800003 99.929 -26.9681
85.000000 99.871 -27.3696
86.199997 99.813 -27.7593
87.500000 99.750 -28.1683
88.500000 99.701 -28.4735
90.000000 99.627 -28.9171
91.199997 99.568 -29.2596
92.500000 99.504 -29.6183
93.800003 99.440 -29.9661
95.000000 99.381 -30.2769
96.199997 99.322 -30.5788
97.500000 99.258 -30.8989
98.800003 99.195 -31.2110
100.000000 99.136 -31.4890
101.500000 99.062 -31.8230
103.000000 98.989 -32.1436
104.400002 98.921 -32.4329
106.000000 98.843 -32.7543
107.500000 98.771 -33.0463
109.000000 98.698 -33.3303
110.599998 98.621 -33.6211
112.000000 98.553 -33.8639
113.800003 98.466 -34.1594
115.000000 98.408 -34.3469
117.199997 98.301 -34.6743
118.000000 98.262 -34.7888
120.599998 98.136 -35.1423
122.000000 98.069 -35.3184
124.099998 97.969 -35.5652
125.000000 97.926 -35.6650
126.500000 97.855 -35.8249
128.000000 97.784 -35.9774
131.500000 97.620 -36.3063
132.000000 97.597 -36.3502
134.000000 97.504 -36.5178
136.000000 97.413 -36.6732
138.000000 97.322 -36.8181
140.000000 97.232 -36.9486
143.000000 97.099 -37.1187
145.000000 97.010 -37.2168
147.500000 96.899 -37.3210
150.000000 96.790 -37.4060
152.500000 96.683 -37.4729
155.000000 96.577 -37.5275
157.500000 96.472 -37.5751
160.000000 96.367 -37.6129
162.500000 96.263 -37.6350
165.000000 96.158 -37.6361
167.500000 96.054 -37.6141
170.000000 95.952 -37.5717
172.500000 95.852 -37.5112
175.000000 95.754 -37.4349
177.500000 95.657 -37.3462
180.000000 95.560 -37.2472
182.500000 95.463 -37.1376
185.000000 95.367 -37.0076
187.500000 95.271 -36.8539
190.000000 95.176 -36.6776
192.500000 95.082 -36.4685
195.000000 94.990 -36.2143
197.500000 94.902 -35.9138
200.000000 94.820 -35.5729
203.000000 94.731 -35.1310
206.000000 94.656 -34.6880
209.000000 94.591 -34.2740
212.000000 94.529 -33.8918
214.000000 94.489 -33.6381
218.000000 94.412 -33.0657
220.000000 94.383 -32.7343
224.000000 94.357 -32.0549
227.000000 94.367 -31.6712
230.000000 94.389 -31.5126
233.000000 94.401 -31.5817
236.000000 94.389 -31.7827
240.000000 94.334 -32.0651
243.000000 94.273 -32.2072
247.000000 94.178 -32.2746
250.000000 94.104 -32.2431
254.000000 94.009 -32.1166
258.000000 93.919 -31.9263
262.000000 93.835 -31.6991
265.000000 93.776 -31.5157
269.000000 93.701 -31.2606
272.000000 93.647 -31.0610
276.000000 93.579 -30.7878
280.000000 93.513 -30.5120
285.000000 93.435 -30.1650
290.000000 93.360 -29.8211
295.000000 93.287 -29.4783
300.000000 93.214 -29.1248
304.000000 93.157 -28.8303
307.000000 93.115 -28.6010
311.000000 93.060 -28.2833
315.000000 93.008 -27.9520
320.000000 92.945 -27.5146
325.000000 92.885 -27.0391
330.000000 92.831 -26.5092
335.000000 92.786 -25.9142
340.000000 92.757 -25.2548
345.000000 92.755 -24.5766
350.000000 92.785 -23.9999
355.000000 92.833 -23.6700
360.000000 92.874 -23.6175
365.000000 92.885 -23.7194
370.000000 92.868 -23.8152
375.000000 92.835 -23.8253
382.000000 92.779 -23.6946
387.000000 92.740 -23.5299
395.000000 92.684 -23.2051
400.000000 92.654 -22.9829
406.000000 92.622 -22.7092
412.000000 92.594 -22.4316
418.000000 92.569 -22.1526
425.000000 92.544 -21.8328
431.000000 92.523 -21.5662
437.000000 92.506 -21.3099
444.000000 92.488 -21.0162
450.000000 92.474 -20.7662
455.000000 92.463 -20.5605
462.000000 92.450 -20.2798
468.000000 92.440 -20.0494
475.000000 92.430 -19.7809
482.000000 92.422 -19.5133
487.000000 92.418 -19.3276
494.000000 92.413 -19.0753
500.000000 92.410 -18.8664
508.000000 92.408 -18.5952
515.000000 92.406 -18.3657
522.000000 92.405 -18.1439
530.000000 92.405 -17.8999
538.000000 92.406 -17.6661
545.000000 92.407 -17.4675
552.000000 92.409 -17.2753
560.000000 92.413 -17.0592
570.000000 92.419 -16.7979
580.000000 92.426 -16.5441
590.000000 92.434 -16.2971
600.000000 92.443 -16.0489
608.000000 92.451 -15.8527
615.000000 92.459 -15.6843
622.000000 92.468 -15.5188
630.000000 92.478 -15.3362
640.000000 92.493 -15.1138
650.000000 92.509 -14.8906
660.000000 92.525 -14.6724
670.000000 92.543 -14.4635
680.000000 92.562 -14.2589
690.000000 92.583 -14.0581
700.000000 92.605 -13.8610
710.000000 92.627 -13.6675
720.000000 92.650 -13.4785
730.000000 92.676 -13.2944
740.000000 92.703 -13.1134
750.000000 92.731 -12.9330
762.000000 92.768 -12.7185
775.000000 92.809 -12.4904
788.000000 92.854 -12.2620
800.000000 92.899 -12.0505
812.000000 92.947 -11.8434
825.000000 93.002 -11.6281
838.000000 93.060 -11.4236
850.000000 93.116 -11.2497
862.000000 93.175 -11.0904
875.000000 93.243 -10.9350
885.000000 93.297 -10.8293
900.000000 93.383 -10.6925
912.000000 93.453 -10.6030
925.000000 93.533 -10.5280
938.000000 93.615 -10.4778
950.000000 93.693 -10.4506
962.000000 93.774 -10.4450
975.000000 93.863 -10.4655
988.000000 93.953 -10.5121
1000.000000 94.038 -10.5792
1015.000000 94.145 -10.6940
1030.000000 94.252 -10.8414
1044.000000 94.353 -11.0125
1060.000000 94.468 -11.2482
1075.000000 94.575 -11.5109
1090.000000 94.681 -11.8103
1106.000000 94.792 -12.1675
1120.000000 94.886 -12.5120
1138.000000 95.005 -12.9945
1150.000000 95.082 -13.3393
1172.000000 95.219 -14.0132
1180.000000 95.267 -14.2671
1206.000000 95.416 -15.1270
1220.000000 95.492 -15.6076
1241.000000 95.601 -16.3381
1250.000000 95.646 -16.6544
1265.000000 95.718 -17.1842
1280.000000 95.788 -17.7136
1315.000000 95.942 -18.9425
1320.000000 95.963 -19.1165
1340.000000 96.045 -19.8079
1360.000000 96.124 -20.4979
1380.000000 96.200 -21.1864
1400.000000 96.273 -21.8723
1430.000000 96.379 -22.8967
1450.000000 96.447 -23.5704
1475.000000 96.531 -24.4078
1500.000000 96.613 -25.2354
1525.000000 96.693 -26.0551
1550.000000 96.773 -26.8687
1575.000000 96.852 -27.6694
1600.000000 96.931 -28.4602
1625.000000 97.011 -29.2463
1650.000000 97.091 -30.0248
1675.000000 97.172 -30.8040
1700.000000 97.254 -31.5939
1725.000000 97.337 -32.3911
1750.000000 97.421 -33.2018
1775.000000 97.505 -34.0299
1800.000000 97.591 -34.8752
1825.000000 97.676 -35.7347
1850.000000 97.761 -36.6085
1875.000000 97.847 -37.5004
1900.000000 97.933 -38.4127
1925.000000 98.020 -39.3450
1950.000000 98.106 -40.2964
1975.000000 98.192 -41.2650
2000.000000 98.278 -42.2498
2030.000000 98.380 -43.4569
2060.000000 98.481 -44.6901
2090.000000 98.582 -45.9524
2120.000000 98.680 -47.2538
2140.000000 98.744 -48.1467
2180.000000 98.867 -49.9989
2200.000000 98.924 -50.9593
2240.000000 99.031 -52.9377
2270.000000 99.104 -54.4611
2300.000000 99.169 -56.0157
2330.000000 99.225 -57.5946
2360.000000 99.272 -59.1874
2400.000000 99.320 -61.3069
2430.000000 99.346 -62.8705
2470.000000 99.370 -64.8889
2500.000000 99.387 -66.3463
2540.000000 99.418 -68.2584
2580.000000 99.457 -70.2476
2620.000000 99.489 -72.4146
2650.000000 99.495 -74.1422
2690.000000 99.471 -76.4744
2720.000000 99.431 -78.1729
2760.000000 99.355 -80.3219
2800.000000 99.262 -82.3337
2850.000000 99.131 -84.6733
2900.000000 98.993 -86.8477
2950.000000 98.852 -88.8856
3000.000000 98.712 -90.8132
3040.000000 98.603 -92.2943
3070.000000 98.522 -93.3722
3110.000000 98.413 -94.7747
3150.000000 98.302 -96.1417
3200.000000 98.157 -97.7905
3250.000000 98.003 -99.3507
3300.000000 97.835 -100.7723
3350.000000 97.662 -101.9905
3400.000000 97.493 -102.9895
3450.000000 97.337 -103.8196
3500.000000 97.195 -104.5418
3550.000000 97.063 -105.1749
3600.000000 96.940 -105.7177
3650.000000 96.825 -106.1675
3700.000000 96.720 -106.5182
3750.000000 96.628 -106.7639
3820.000000 96.530 -106.9352
3870.000000 96.486 -106.9547
3950.000000 96.471 -106.8822
4000.000000 96.500 -106.8390
4060.000000 96.574 -106.8712
4120.000000 96.683 -107.0688
4180.000000 96.818 -107.4951
4250.000000 96.992 -108.3091
4310.000000 97.143 -109.2660
4370.000000 97.287 -110.4175
4440.000000 97.441 -111.9458
4500.000000 97.560 -113.3722
4550.000000 97.652 -114.6267
4620.000000 97.767 -116.4637
